't	t
Heeschnapp	h eː ʃ n a p
Heesprénger	h eː ʃ p ʀ e ŋ ɐ
Heet	h eː t
Heizkierper	h a i̯ t s k i e̯ p e ʀ
Held	h æ l t
Helm	h æ l m
Hengscht	h æ ŋ ʃ t
Herrlechkeet	h æ ʀ l e χ k eː t
Herzog	h æ r t s o χ
Herzog	h æ r t s oː χ
Herzogtum	h æ ʀ t s o χ t u m
Hetz	h æ t s
Hiecht	h i e̯ χ t
Hief	h i e̯ f
Hiel	h i e̯ l
Hielenner	h i e̯ l æ n e ʀ
Hiem	h i e̯ m
Hier	h iː r
Hierk	h i e̯ k
Hierscht	h i e̯ ʃ t
Hierschtkueb	h i e̯ ʃ t k u e̯ p
Hiert	h i e̯ ʀ t
Hieselnoss	h i e̯ z e l n o s
Hieselter	h i e̯ z e l t e ʀ
Hiewan	h i ə̯ v aː n
Hiewel	h i e̯ v e l
Himmel	h i m e l
Himmelräich	h i m e l ʀ æ i̯ χ
Himmelsdéierchen	h i m e l s d e i̯ e ʀ χ e n
Hirsch	h i ʀ ʃ
Historiker	h i s t oː ʀ i k e ʀ
Hitt	h i t
Hiwwel	h i v e l
Ho	h o
Hoer	h oː e r
Hoerbiischt	h oː e ʀ b iː ʃ t
Hoff	h o f
Hol	h oː l
Holland	h o l a n t
Hollännesch	h o l æ n e ʃ
Holz	h o l s
Homard	h o m aː ʀ
Hond	h o n t
Hong	h o ŋ
Honger	h o ŋ e ʀ
Honnert	h o n e ʀ t
Horaire	h o ʀ eː ʀ
Horaire	h oː ʀ eː ʀ
Hotel	h o t æ l
Hotel	h oː t æ l
Hott	h o t
Houeren	h e u̯ r e n
Houf	h e u̯ f
Houfeisen	h e u̯ f a i̯ z e n
Houfert	h e u̯ f e ʀ t
Houfschmadd	h e u̯ f ʃ m a t
Houscht	h e u̯ ʃ t
Huer	h uː ʀ
Hues	h u e̯ s
Huesenziwwi	h u e̯ z e n t s i v i
Huewer	h u e̯ v e ʀ
Hummer	h u m e r
Hunn	h u n
Hunneg	h u n e χ
Hutt	h u t
Huwwel	h u v e l
Häerd	h eː r t
Häerz	h eː r t s
Häerzer	h eː r t s e r
Häll	h æ l
Hällewull	h æ l e v u l
Hämmel	h æ m ə l
Hämmelfleesch	h æ m e l f l eː ʃ
Händchen	h æ n t χ e n
Händsch	h æ n t ʃ
Hänn	h æ n
Hännercher	h æ n ɐ ɕ ɐ
Här	h eː r
Härchen	h eː r χ e n
Härcher	h eː r χ e r
Hären	h eː r e n
Härercher	h eː r e r χ e r
Héichhaus	h e i̯ χ h æ u̯ s
Héichsprong	h e i̯ χ ʃ p ʀ o ŋ
Héicht	h e i̯ χ t
Héichtenangscht	h e i̯ χ t e n a ŋ ʃ t
Héichuewen	h e i̯ χ u e̯ v e n
Héiflechkeet	h e i̯ f l e χ k eː t
Héil	h e i̯ l
Héiss	h e i̯ s
Hénger	h e ŋ e r
Héngeree	h e ŋ e ʀ e
Héngerhaut	h e ŋ e r h æ u̯ t
Hëft	h e f t
Hëllef	h e l e f
Hëllefsverb	h e l e f s v æ ʀ p
Hënn	h ə n
Hënt	h e n t
Hëtzt	h e t s t
Iech	i e̯ χ
Iechternach	i e̯ χ t e ʀ n a χ
Ielebou	i e̯ l e b e u̯
Ierbes	i e̯ b e s
Ierger	i e̯ ʁ e ʀ
Ierwen	i e̯ v e n
Iesel	i e̯ z e l
Iessen	i e̯ s e n
Iessläffel	i e̯ s l æ f e l
Iesszëmmer	i e̯ s t s e m e ʀ
Iewen	i e̯ v e n
Igel	i ʁ e l
Imaginatioun	i m a ʒ i n a t s j e u̯ n
Improvisatioun	æ̃ p ʀ o v i z a t s j e u̯ n
Indien	i n d i e n
Indien	i n d j e n
Infektioun	i n f æ k s j o ʊ̯ n
Ingenieur	æ̃ ʒ e n j øː e ʀ
Insekt	i n z æ k t
Insel	i n z e l
Inspekter	i n s p æ k t ɐ
Installateur	i n s t ɑ l ɑ t øː ɐ̯
Int	i n t
Ir	iː ʀ
Iwwel	i v e l
Iwwerfall	i v e ʀ f a l
Iwwerfloss	i v e ʀ f l o s
Jach	j a χ
Jackett	ʒ a k æ t
Jalousie	ʒ a l u z i
Japanesch	j a p aː n e ʃ
Jatt	ʒ a t
Jeans	d ʒ iː n s
Jo	j o
Joer	j oː e r
Joer	ʒ oː e r
Joerdausend	j oː e ʀ d a u̯ z e n t
Joerhonnert	j oː e ʀ h o n e ʀ t
Joerzéngt	j oː e ʀ t s e ŋ t
Joffer	j o f e ʀ
Joffer	ʒ o f e ʀ
Jomer	j oː m e ʀ
Jomer	ʒ oː m e ʀ
Jong	j o ŋ
Jongfra	j o ŋ f ʀ aː
Joreszäit	j oː ʀ e s t s æ i̯ t
Juck	j u k
Judd	j u t
Jugend	j uː ʁ e n t
Jugendchômage	j uː ʁ e n t ʃ oː m aː ʃ
Juli	j uː l i
Juli	ʒ uː l i
Juni	j uː n i
Juni	ʒ uː n i
Jupe	ʒ y p
Jus	ʒ y
Jéngelchen	j e ŋ e l χ e n
Kaalwer	k aː l v e r
Kaarp	k aː ʀ p
Kaart	k aː ʀ t
Kaascht	k aː ʃ t
Kabes	k aː b e s
Kachkéis	k a χ k e i̯ s
Kachmaschinn	k a χ m a ʃ i n
Kadaster	k a d a s t e ʀ
Kaffi	k a f i
Kalbass	k a l b a s
Kalenner	k a l æ n e ʀ
Kallef	k a l e f
Kalleffleesch	k a l e f f l eː ʃ
Kallek	k a l e k
Kammoud	k a m e u̯ t
Kamp	k a m p
Kaméidi	k a m e i̯ d i
Kan	k aː n
Kanal	k ɑ n aː l
Kanner	k ɑ n ɐ
Kanoun	k ɑ n ə ʊ̯ n
Kanton	k ɑ n t oː n
Kanäl	k ɑ n æ l
Kanéil	k ɑ n ɜ ɪ̯ l
Kanéngchen	k a n e ŋ χ e n
Kap	k aː p
Kapell	k ɑ p æ l
Kapellen	k ɑ p æ l ə n
Kapitel	k ɑ p i t ə l
Kapp	k a p
Kappball	k ɑ b b ɑ l
Kapsel	k ɑ p s ə l
Kar	k aː ʀ
Karaff	k ɑ ʁ ɑ f
Karamell	k a ʀ a m æ l
Karausch	k ɑ ʀ ɑ ʊ̯ ʃ
Karo	k aː ʀ oː
Kascht	k ɑ ʃ t
Katz	k ɑ t s
Kaul	k a u̯ l
Kauzekapp	k ɑ ʊ̯ t͡s ə k ɑ p
Kauzekäpp	k ɑ ʊ̯ t͡s ə k æ p
Kaweechelchen	k aː v eː ɕ ə l ɕ ə n
Kaweechelcher	k aː v eː ɕ ə l ɕ ɐ
Kaz	k aː t s
Kazena	k aː t s ə n ʔ aː
Keel	k eː l
Keelt	k eː l t
Keeser	k eː z ɐ
Keess	k eː s
Keim	k ɑ ɪ̯ m
Keller	k æ l ɐ
Kess	k æ s
Kessel	k æ s ə l
Ketten	k æ t ə n
Kichelchen	k i χ e l χ e n
Kichen	k i χ e n
Kierbiischt	k iː ə̯ b iː ʃ t
Kierch	k iː ə̯ ɕ
Kierchelidd	k iː ə̯ ɕ ə l i t
Kierfmécher	k i e̯ ʀ f m e χ e ʀ
Kiermes	k iː ə̯ m ə s
Kierper	k iː ə̯ p ɐ
Kierwel	k iː ə̯ v ə l
Kiewerlek	k i e̯ v e r l e k
Kiewerleken	k i e̯ v e r l e k e n
Kiischt	k iː ʃ t
Kilometer	k i l o m eː t ɐ
Kinnek	k i n e k
Kinneken	k i n e k e n
Kinnekräich	k i n e ɡ ʁ æː ɪ̯ ɕ
Kinnigin	k i n i ɡ i n
Klack	k l a k
Klam	k l aː m
Klamer	k l aː m ɐ
Klang	k l ɑ ŋ
Klapp	k l ɑ p
Klarinett	k l ɑ ʀ i n æ t
Klass	k l ɑ s
Kleed	k l eː t
Klett	k l æ t
Klierf	k l i e̯ f
Klo	k l oː
Klouschter	k l ə ʊ̯ ʃ t ɐ
Kläckelchen	k l æ k e l χ e n
Kléi	k l ɜ ɪ̯
Kléng	k l e ŋ
Klëppel	k l ə p ə l
Knachen	k n ɑ χ ə n
Knall	k n ɑ l
Knapp	k n a p
Knascht	k n ɑ ʃ t
Kniddel	k n i d ə l
Kniecht	k n i e̯ χ t
Kniet	k n i ə t
Knippchen	k n i p χ e n
Kniwweler	k n i v ə l ɐ
Knoll	k n o l
Knuet	k n u ə̯ t
Knuewelek	k n u ə̯ v ə l ə k
Knuppert	k n u p ɐ t
Knäckebrout	k n æ k ə b ʀ ə ʊ̯ t
Knäip	k n æː ɪ̯ p
Knäpp	k n æ p
Knäppchen	k n æ p χ e n
Knéchel	k n ə ɕ ə l
Knéischeif	k n ɜ ɪ̯ ʃ ɑ ɪ̯ f
Koffer	k o f ɐ
Koiné	k o i̯ n eː
Kokosnoss	k o k o s n o s
Kokosnëss	k o k o s n ə s
Koll	k o l
Kolleeg	k o l eː χ
Kolleegen	k o l eː ʁ e n
Komma	k o m ɑ
Kompetitioun	k o m p e t i s j ə ʊ̯ n
Koméit	k o m ɜ ɪ̯ t
Konn	k o n
Konscht	k o n ʃ t
Konstellatioun	k o n s t æ l ɑ s j ə ʊ̯ n
Konstitutioun	k o n s t i t u t s j o u̯ n
Kont	k o n t
Kontroll	k o n t ʁ o l
Konzentratioun	k o n t͡s æ n t ʀ ɑ s j ə ʊ̯ n
Kopp	k o p
Kork	k o χ k
Kornischong	k o ʁ n i ʃ o ŋ
Korruptioun	k o ʁ u p s i ə ʊ n
Koschter	k o ʃ t ɐ
Koseng	k o z e ŋ
Kosengen	k o z e ŋ e n
Kotteng	k o t e ŋ
Kou	k e u̯
Koumëllech	k ə ʊ m ə l ə ɕ
Kraaft	k ʀ aː f t
Krack	k ʀ ɑ k
Kraidchen	k r a i̯ t χ e n
Kraider	k r a i̯ d e r
Krall	k ʀ ɑ l
Kramp	k ʀ ɑ m p
Kran	k ʀ aː n
Kranz	k ʀ ɑ n t͡s
Krapp	k ʀ ɑ p
Kraut	k r æ u̯ t
Krawatt	k ʀ ɑ v ɑ t
Krazert	k ʀ aː t͡s ɐ t
Krees	k ʀ eː s
Kreesch	k ʀ eː ʃ
Kreesverkéier	k r eː s f ə r k e i̯ e r
Krich	k ʀ i ɕ
Kriibs	k ʀ iː p s
Krimi	k ʀ i m i
Kristall	k ʁ i s t ɑ l
Krokodil	k ʁ o k o d iː l
Krom	k ʀ oː m
Kromm	k ʀ o m
Krop	k ʀ oː p
Krou	k ʀ ə ʊ̯
Kroun	k r e u̯ n
Krunn	k ʀ u n
Kräiz	k r æ i̯ t s
Kräizer	k r æ i̯ t s e r
Kräizwuerträtsel	k ʁ æː ɪ̯ d͡z v uː ə̯ d ʁ æ t͡s ə l
Krämp	k ʀ æ m p
Kréchel	k ʁ ə ɕ ə l
Kréi	k ʀ ɜ ɪ̯
Kréiena	k ʀ ɜ ɪ̯ ə n aː
Kréischel	k ʀ ɜ ɪ̯ ʃ ə l
Krëpp	k ʀ ə p
Krëppchen	k ʀ ə p ɕ ə n
Krëppebësser	k ʀ ə p ə b ə s ɐ
Krëppel	k ʀ ə p ə l
Krësch	k ʀ ə ʃ
Kuch	k u χ
Kuddelfleck	k u d ə l f l æ k
Kueberei	k u ə b ə ʀ ɑ ɪ̯
Kueder	k u ə̯ d ɐ
Kuel	k u ə l
Kuelestoff	k u ə l ə ʃ t o f
Kuer	k uː r
Kueren	k uː r e n
Kummer	k u m ɐ
Kupplung	k u p l u ŋ
Kurv	k u r f
Kusin	k u z i n
Kusinnen	k u z i n e n
Kutsch	k u t͡ʃ
Kuuscht	k uː ʃ t
Käerz	k eː r t s
Käfeg	k eː f ə ɕ
Källefchen	k æ l e f χ e n
Känguru	k æ ŋ ɡ u ʁ u
Käppchen	k æ p χ e n
Kär	k eː r
Kärel	k ɛː ʀ ə l
Käscht	k æ ʃ t
Käschtebam	k æ ʃ t ə b aː m
Kätzchen	k æ t͡s ɕ ə n
Kätzercher	k æ t͡s e ʀ χ e ʀ
Kéier	k ɜ ɪ̯ ɐ
Kéiseker	k e i̯ z e k e r
Kéng	k e ŋ
Këndchen	k ə n t ɕ ə n
Kënn	k ə n
Kënnercher	k ə n ɐ ɕ ɐ
Këscht	k ə ʃ t
Këssen	k ə s ə n
Kürbis	k ʏ r b ɪ s
Küst	k y s t
Laach	l aː χ
Laangfësch	l aː ŋ f ə ʃ
Laangfëschmudder	l aː ŋ f ə ʃ m u d ɐ
Laascht	l aː ʃ t
Lack	l ɑ k
Laf	l aː f
Lag	l aː χ
Lagen	l aː ʁ ə n
Lais	l a i̯ s
Laitue	l e t yː
Lamm	l ɑ m
Land	l ɑ n t
Landstrooss	l ɑ n t ʃ t ʀ oː s
Lann	l a n
Lanter	l ɑ n t ɐ
Lanz	l ɑ n t s
Lat	l aː t
Lauer	l ɑ ʊ̯ ɐ
Laus	l æ u̯ s
Laut	l æː ʊ̯ t
Lavendel	l ɑ v æ n d ə l
Lawin	l ɑ v i n
Lazert	l aː t͡s ɐ t
Lee	l eː
Leed	l eː t
Leeder	l eː d e r
Leefer	l eː f ɐ
Leem	l eː m
Leescht	l eː ʃ t
Leeschten	l eː ʃ t ə n
Leeschtung	l eː ʃ t u ŋ
Leier	l ɑ ɪ̯ ɐ
Leif	l a i̯ f
Leit	l ɑ ɪ̯ t
Lektioun	l æ k s j ə ʊ n
Libell	l i b æ l
Lidd	l i t
Lieder	l i e̯ d e r
Liewen	l i ə̯ v ə n
Liewer	l i e̯ v e r
Ligen	l i ʁ e n
Liibling	l iː b l i ŋ
Liicht	l iː ɕ t
Liichttuerm	l iː χ t t u ə̯ ʀ m
Limburgesch	l i m b u ə̯ j ə ʃ
Limonad	l i m o n aː t
Linn	l i n
Lissabon	l i s ɑ b o n
Liwwerung	l i v ə ʁ u ŋ
Lo	l oː
Locher	l o χ ɐ
Loft	l o f t
Lomp	l o m p
Long	l o ŋ
Lorber	l o ʁ b ɐ
Lorberblat	l o ʁ b ɐ b l aː t
Loscht	l o ʃ t
Loun	l e u̯ n
Lous	l ə ʊ̯ s
Loyer	l w ɑ j eː
Luchs	l u k s
Lued	l u ə̯ t
Luef	l u ə̯ f
Lupp	l u p
Luucht	l uː χ t
Luuss	l uː s
Luxus	l u k s u s
Lycée	l i s e
Lycéesschüler	l i s eː s ʃ yː l e r
Lycéeën	l i s eː ə n
Lächer	l æ χ e r
Läffel	l æ f ə l
Läich	l æː ɪ̯ ɕ
Läif	l æ i̯ f
Läim	l æː ɪ̯ m
Läimer	l æː ɪ̯ m ɐ
Längt	l æ ŋ t
Léck	l e k
Léier	l ɜ ɪ̯ ɐ
Léift	l e ɪ̯ f t
Léisung	l ɜ ɪ̯ z u ŋ
Léiw	l e i̯ f
Léngt	l e ŋ t
Lëns	l ə n s
Lëppestëft	l ə p ə ʃ t ə f t
Lëps	l ə p s
Lësch	l ə ʃ
Lëscht	l e ʃ t
Lëtsch	l ə t ʃ
Lëtzebuerger	l e t s e b u e̯ ʁ e r
Lëtzebuergesch	l e t s e b u e̯ ʁ e ʃ
Maach	m aː χ
Maandel	m aː n d ə l
Maart	m aː χ t
Maascht	m aː ʃ t
Magie	m ɑ ʒ iː
Makréil	m ɑ k ʀ ɜ ɪ̯ l
Mall	m ɑ l
Malz	m ɑ l t͡s
Mamendéier	m aː m ə n d ɜ ɪ̯ ɐ
Mamm	m ɑ m
Mango	m ɑ ŋ ɡ oː
Mann	m ɑ n
Mantel	m ɑ n t ə l
Mapp	m ɑ p
Marder	m aː d ɐ
Margréitchen	m a ʁ ɡ ʁ ɜ ɪ̯ t ɕ ə n
Marionett	m ɑ ʀ j o n æ t
Markéierstëft	m ɑ ʀ k ɜ ɪ̯ ɐ ʃ t ə f t
Maroun	m ɑ ʀ ə ʊ̯ n
Marqueur	m ɑ ʀ k øː ʀ
Masch	m ɑ ʃ
Maschinn	m ɑ ʃ i n
Mass	m a s
Massendénger	m ɑ s ə n d e ŋ ɐ
Matt	m ɑ t
Mattant	m ɑ t ɑ n t
Mauer	m ɑ ʊ̯ e ʀ
Mauer	m ɑ ʊ̯ ʀ
Maul	m æː ʊ̯ l
Maulef	m ɑ ʊ̯ l ə f
Maulefskoup	m ɑ ʊ̯ l ə f s k ə ʊ̯ p
Maus	m æ u̯ s
Mecanicien	m e k ɑ n i s j ɛ̃ː
Mee	m eː
Meedchen	m eː d ɕ ə n
Meefësch	m eː f ə ʃ
Meenung	m eː n u ŋ
Mees	m eː s
Meeschter	m eː ʃ t ɐ
Meeschtesch	m eː ʃ t ə ʃ
Meil	m ɑ ɪ̯ l
Meldung	m æ l d u ŋ
Meloun	m ə l ə ʊ̯ n
Member	m ɑ̃ː b ɐ
Memoire	m e m w aː ʀ
Messer	m æ s ɐ
Metall	m e t ɑ l
Middel	m i d ə l
Miel	m i ə̯ l
Mielda	m i ə̯ l d aː
Mier	m iː ə̯
Miersch	m iː ə̯ ʃ
Mierschwéngchen	m i ə̯ ʃ w e ŋ ɕ ə n
Millen	m ɪ l ə n
Millioun	m i l j ə ʊ̯ n
Mineral	m i n ə ʀ aː l
Mineralogie	m i n e ʀ ɑ l o ʒ iː
Mineralwaasser	m iː n ə ʁ aː l v aː s ɐ
Mineur	m i n øː ɐ̯
Minn	m i n
Minutt	m i n u t
Mirabell	m i ʁ a b æ l
Misär	m i z ɛː ə̯
Mitock	m iː t o k
Miwwel	m i v ə l
Mo	m oː
Mod	m oː t
Modell	m o d æ l
Moff	m o f
Mol	m oː l
Molbier	m oː l b iː ə̯
Mond	m o n t
Monni	m o n i
Monsieur	m e s j ø
Monsieuren	m e s j ø e n
Moolzecht	m oː l t͡s ə ɕ t
Moos	m oː s
Mooss	m oː s
Moschter	m o ʃ t e r
Moschwier	m oː ʃ w iː ə̯
Moss	m o s
Moto	m oː t oː
Motocyclist	m oː t o s i k l i s t
Motorrad	m oː t o ʀ ʀ aː t
Motorsee	m oː t o ʁ z eː
Moud	m ə ʊ̯ t
Mouk	m ə ʊ̯ k
Moul	m ə ʊ̯ l
Mound	m ə ʊ̯ n t
Mount	m ə ʊ̯ n t
Mous	m ə ʊ̯ s
Mudder	m u d ɐ
Muecht	m u ə ɕ t
Muerch	m uː ə̯ ɕ
Muerd	m uː ə̯ t
Mueren	m uː r e n
Mull	m u l
Multiplikatioun	m u l t i p l i k ɑ s j ə ʊ̯ n
Mupp	m u p
Musek	m u z e k
Museker	m u z e k e r
Musekerin	m u z e k e r i n
Muskel	m u s k ə l
Mutt	m u t
Muttwëll	m u d v ə l
Muuss	m uː s
Mäerder	m ɛː ə̯ d ɐ
Mäert	m ɛː ɐ̯ t
Méck	m e k
Méckefänkert	m e k ə f æ ŋ k ɐ t
Méi	m ɜ ɪ
Méint	m ɜ ɪ̯ n t
Méiw	m e i̯ f
Mëllech	m e l e χ
Mëllechmann	m e l e χ m a n
Mëlz	m ə l t͡s
Mënsch	m e n ʃ
Mënschlechkeet	m e n ʃ l e χ k eː t
Mënz	m ə n t͡s
Mësch	m ə ʃ
Mëscht	m e ʃ t
Mëschtgreef	m ə ʃ t ɡ ʀ eː f
Mëspel	m ə s p ə l
Mëssel	m ə s ə l
Mëtsch	m ə t ʃ
Mëtt	m ə t
Mëtteg	m e t e χ
Mëtteger	m e t e ʁ e r
Mëttegiessen	m ə t ə ʑ i ə̯ s ə n
Mëttel	m ə t ə l
Mëttelfeldspiller	m e t e l f æ l t ʃ p i l ɐ
Mëtten	m e t e n
Mëtternuecht	m ə t ɐ n u ə̯ ɕ t
Mëttwoch	m e t v o χ
Naachen	n aː χ e n
Naivitéit	n ɑ i v i t ɜ ɪ̯ t
Nanzeg	n ɑ n t͡s ə ɕ
Napp	n ɑ p
Narziss	n ɑ χ t͡s i s
Nascht	n ɑ ʃ t
Nationalitéit	n ɑ t͡s j o n ɑ l i t ɜ ɪ̯ t
Neelcheskapp	n eː l ɕ ə s k ɑ p
Neiegkeet	n ɑ ɪ̯ ə ɕ k eː t
Neimound	n ɑ ɪ̯ m ə ʊ̯ n t
Neiséiland	n ɑ ɪ̯ z ɜ ɪ̯ l ɑ n t
Nervesee	n æ ʀ v ə z eː
Netz	n æ t͡s
Netzwierk	n æ t͡s v i ə̯ ʀ k
Neveu	n e v ø
Neveuen	n e v øː e n
Nidderkuer	n i d ɐ k uː ə̯
Nidderlanden	n i d e ʀ l a n d ə n
Nidderträchtegkeet	n i d ɐ t ʀ æ ɕ t ə ɕ k eː t
Nier	n iː r
Niess	n i e̯ s
Niessen	n i e̯ s e n
Niewefloss	n i ə v ə f l o s
Nilpäerd	n iː l p ɛː ə t
Nimm	n i m
Nitt	n i t
Niwwel	n i v ə l
Nodeel	n oː d eː l
Nohëllef	n oː h ə l ə f
Nol	n oː l
Nomëtteg	n oː m ə t ə ɕ
Nonn	n o n
Noper	n oː p e r
Noperen	n oː p e r e n
Nopesch	n oː p e ʃ
Norden	n o r d e n
Noriicht	n oː ʀ iː ɕ t
Norwegen	n o ʀ v eː ʑ ə n
Noss	n o s
Nott	n o t
Notten	n o t ə n
Notzen	n o t͡s ə n
Nout	n ə ʊ̯ t
Nouvelle	n u v æ l
Nuddel	n u d ə l
Nuecht	n u e̯ χ t
Nuechtegailchen	n u ə̯ χ t e ɡ ɑ ɪ̯ l χ e n
Nuef	n u ə f
Nuesen	n u ə z ə n
Nuesschnappech	n u ə̯ s ʃ n ɑ p ə ɕ
Null	n u l
Numm	n u m
Nummer	n u m ɐ
Nächsteléift	n æ k s t ə l ɜ ɪ̯ f t
Näid	n æː ɪ̯ t
Néckel	n e k ə l
Néiesch	n ɜ ɪ̯ ə ʃ
Nénga	n e ŋ aː
Nëssert	n ə s ɐ t
Nëwwi	n e v i
Nëwwien	n e v iː e n
Ochs	o k s
Oder	oː d ɐ
Odermëllech	oː d ɐ m ə l ə ɕ
Offall	o f f ɑ l
Offer	o f ɐ
Offloss	o f f l o s
Offlëss	o f f l ə s
Offäll	o f f æ l
Oflaf	o f l aː f
Ofleef	o f l eː f
Ofstamung	o f ʃ t aː m u ŋ
Oliv	o l iː f
Olivenueleg	o l iː v e n u e̯ l e χ
Onbaarmhäerzegkeet	o n b aː m h ɛː ə̯ t͡s ə ɕ k e t
Ongedold	o n ɡ ə d o l t
Ongléck	o ŋ ɡ l e k
Onkraut	o ŋ k ʀ æː ʊ̯ t
Onrecht	o n ʀ æ ɕ t
Onuerdnung	o n uː ə̯ d n u ŋ
Oochen	oː χ e n
Ootmung	oː t m u ŋ
Opfaassung	o p f aː s u ŋ
Oprou	o p ʀ ə ʊ̯
Opsaz	o p z aː t͡s
Optrieden	o p t ʀ i ə̯ d ə n
Optrëtt	o p t ʀ ə t
Orange	o ʁ ɑ̃ː ʃ
Orientéierungslaf	o ʀ j ə n t ɜ ɪ̯ ə ʀ u ŋ z l aː f
Origine	o ʀ i ʒ i n
Osten	o s t ə n
Otem	oː t ə m
Owend	oː v ə n t
Owendiessen	oː v ə n d i ə̯ s ə n
Ozean	oː t͡s e aː n
Paangech	p aː ŋ e χ
Pabeier	p ɑ b ɜ ɪ̯ ɐ
Pad	p aː t
Paf	p aː f
Pai	p ɑ ɪ̯
Pak	p aː k
Palais	p ɑ l eː
Pampelmousse	p ɑ m p ə l m u s
Pampelmuss	p ɑ m p ə l m u s
Pan	p aː n
Pand	p ɑ n t
Pandemie	p ɑ n d e m iː
Panech	p aː n e χ
Panewippchen	p aː n ə v i p ɕ ə n
Pankech	p ɑ ŋ k e χ
Pankuch	p aː ŋ k u χ
Pann	p ɑ n
Panz	p ɑ n t͡s
Panéil	p ɑ n ɜ ɪ l
Pap	p aː p
Papagei	p ɑ p ɑ ɡ ɑ ɪ̯
Papp	p ɑ p
Paprika	p ɑ p ʀ i k aː
Par	p aː r
Parréck	p ɑ ʀ e k
Parzell	p a ʁ t s æ l
Paschtouer	p ɑ ʃ t ə ʊ̯ ɐ
Pass	p ɑ s
Passiounsfruucht	p ɑ s j ə ʊ̯ n s f ʁ uː χ t
Patent	p ɑ t æ n t
Pawee	p ɑ v eː
Pech	p æ ɕ
Pechband	p æ ʑ b ɑ n t
Pechbänner	p æ ʑ b æ n ɐ
Pedagogik	p eː d a ɡ o ʒ iː k
Peepst	p eː p s t
Peffer	p æ f ɐ
Peffermënz	p æ f ɐ m ə n t͡s
Peiler	p a i̯ l e r
Pennek	p æ n e k
Personal	p æ ʀ z o n aː l
Persoun	p e r z e u̯ n
Pescht	p æ ʃ t
Peschtvull	p æ ʃ t f u l
Phar	f aː ʀ
Phas	f aː s
Physik	f i z i k
Piipsert	p iː p s ɐ t
Piisch	p iː ʃ
Pijen	p iː ʒ ə n
Pilger	p i l ʑ ɐ
Pilgerfaart	p i l ʑ ɐ f aː χ t
Pill	p i l
Pinguin	p i ŋ ɡ u iː n
Pissblumm	p i z b l u m
Pistoul	p i s t ə ʊ̯ l
Piwitsch	p iː v i t͡ʃ
Pizzasdeeg	p i t s aː s d eː ɕ
Plafong	p l ɑ f o ŋ
Plage	p l aː ʃ
Plang	p l ɑ ŋ
Planz	p l ɑ n t s
Plastik	p l ɑ s t iː k
Plaum	p l a u̯ m
Plo	p l oː
Plomm	p l o m
Plott	p l o t
Plou	p l e u̯
Pluriel	p l u ʀ i æ l
Pluriel	p l u ʀ i ə̯ l
Pläng	p l æ ŋ
Poker	p oː k ɐ
Pol	p oː l
Polarbier	p oː l aː b i ə̯
Polen	p oː l ə n
Police	p o l i s
Politiker	p o l i t i k ɐ
Polizist	p o l i t͡s i s t
Polizistin	p o l i t͡s i s t i n
Polver	p o l f e r
Polver	p o l v e r
Pompjee	p o m p j eː
Pompjeesgefier	p o m p j eː z ɡ ə f iː ə̯
Pond	p o n t
Poopst	p oː p s t
Popp	p o p
Por	p oː r
Pornographie	p o ʁ n o ɡ ʁ a f iː
Porrett	p o ʀ æ t
Portal	p o χ t aː l
Portier	p o ʀ t j eː
Portmonni	p o χ t m o n i
Posch	p o ʃ
Post	p o s t
Pouk	p ə ʊ̯ k
Poul	p ə ʊ̯ l
Pout	p ə ʊ̯ t
Praff	p ʀ ɑ f
Praum	p ʀ a u̯ m
Priedeger	p ʀ i ə̯ d e ʁ e ʀ
Priedegt	p ʀ i ə̯ d e χ t
Primmel	p ʀ i m ə l
Prisong	p r i z ɔ ŋ
Problem	p ʁ o b l æ m
Programm	p ʀ o ɡ ʀ ɑ m
Promenad	p ʀ o m ə n aː t
Promm	p ʀ o m
Prouf	p ʀ ə ʊ̯ f
Provënz	p ʁ oː v ə n t͡s
Pruecht	p r u e̯ χ t
Präis	p ʀ æː ɪ̯ s
Prënz	p ʀ ə n t͡s
Publikatioun	p u b l i k ɑ s j ə ʊ̯ n
Puer	p u ɐ
Pull	p u l
Punkt	p ʊ ŋ k t
Puppelchen	p u p e l χ e n
Päerd	p eː r t
Päerdsbier	p eː r t s b iː r
Päerdscourse	p ɛː ə̯ t s k u ʀ s
Päif	p æː ɪ̯ f
Päifint	p æː ɪ̯ v i n t
Päinetsch	p æː ɪ̯ n ə t͡ʃ
Päiperlek	p æː ɪ̯ p ɐ l ə k
Pällem	p æ l ə m
Pärel	p ɛː ʀ ə l
Péil	p ɜ ɪ̯ l
Péis	p ɜ ɪ̯ s
Péng	p e ŋ
Pëll	p e l
Pëppel	p ə p ə l
Pëtz	p e t s
Quecksëlwer	k v æ k z e l v e ʀ
Quell	k v æ l
Quetsch	k v æ t ʃ
Rack	r a k
Rad	r aː t
Radio	ʀ aː d j o
Radioaktivitéit	ʀ aː d j o ɑ k t i v i t ɜ ɪ̯ t
Radiowell	ʀ aː d j oː v æ l
Raf	ʀ aː f
Raim	r a i̯ m
Rakéit	ʀ ɑ k ɜ ɪ̯ t
Ram	ʀ aː m
Ramm	ʀ ɑ m
Rampli	ʀ ɑ m p l i
Rand	ʀ ɑ n t
Rank	ʀ ɑ ŋ k
Rapfen	ʀ ɑ p f ə n
Rapp	ʀ ɑ p
