A	a
alegere	a l e d͡ʒ e r e
alegeri	a l e d͡ʒ e rʲ
alegoriza	a l e ɡ o r i z a
alegător	a l e ɡ ə t o r
alei	a l e j
alene	a l e n e
alerga	a l e r ɡ a
alergat	a l e r ɡ a t
alesidă	a l e s i d ə
alfabet	a l f a b e t
alfabetic	a l f a b e t i k
alfabetiza	a l f a b e t i z a
alfabetul	a l f a b e t u
alfabetul	a l f a b e t u l
algebric	a l d͡ʒ e b r i k
algebră	a l d͡ʒ e b r ə
algoritm	a l ɡ o r i t m
algă	a l ɡ ə
aliat	a l i a t
aliment	a l i m e n t
alimenta	a l i m e n t a
alimentară	a l i m e n t a r ə
alimon	a l i m o n
alina	a l i n a
alinta	a l i n t a
alio	a l j o
alivancă	a l i v a n k ə
almintire	a l m i n t i r e
alo	a l o
aloca	a l o k a
alodiu	a l o d j u
alogic	a l o d͡ʒ i k
alotropic	a l o t r o p i k
alpaca	a l p a k a
alt	a l t
altar	a l t a r
altceva	a l t t͡ʃ e v a
altceva	a l t͡ʃ e v a
altcineva	a l t t͡ʃ i n e v a
altcumva	a l t k u m v a
altcândva	a l t k ɨ n d v a
alte	a l t e
altera	a l t e r a
alterna	a l t e r n a
altminteri	a l t m i n t e rʲ
altoi	a l t o i
altoi	a l t o j
altundeva	a l t u n d e v a
altă	a l t ə
altădată	a l t ə d a t ə
aluat	a l u a t
aluminifer	a l u m i n i f e r
aluminiu	a l u m i n j u
alunar	a l u n a r
aluneca	a l u n e k a
alunecos	a l u n e k o s
alunga	a l u n ɡ a
alungi	a l u n d͡ʒ i
alungi	a l u n d͡ʒʲ
aluniu	a l u n i w
alună	a l u n ə
alură	a l u r ə
alămojnă	a l ə m o ʒ n ə
alăpta	a l ə p t a
alătura	a l ə t u r a
alături	a l ə t u rʲ
alții	a l t͡s i j
am	a m
amabil	a m a b i l
amabile	a m a b i l e
amabili	a m a b i lʲ
amabilitate	a m a b i l i t a t e
amalgam	a m a l ɡ a m
amaneta	a m a n e t a
amar	a m a r
amara	a m a r a
amarant	a m a r a n t
amarilis	a m a r i l i s
amarilisul	a m a r i l i s u
amarilisul	a m a r i l i s u l
ambala	a m b a l a
ambalaj	a m b a l a ʒ
ambalaje	a m b a l a ʒ e
ambalare	a m b a l a r e
ambalări	a m b a l ə rʲ
ambasadă	a m b a s a d ə
ambii	a m b i j
ambiție	a m b i t͡s i e
amenința	a m e n i n t͡s a
amenințând	a m e n i n t͡s ɨ n d
amenință	a m e n i n t͡s ə
amenințător	a m e n i n t͡s ə t o r
american	a m e r i k a n
americancă	a m e r i k a ŋ k ə
americani	a m e r i k a nʲ
americană	a m e r i k a n ə
amesteca	a m e s t e k a
amestecat	a m e s t e k a t
ametist	a m e t i s t
amețeală	a m e t͡s e̯ a l ə
ameți	a m e t͡s i
amețit	a m e t͡s i t
amețitor	a m e t͡s i t o r
amfibian	a m f i b i a n
amfibian	a m f i b j a n
amfibiu	a m f i b j u
amfiteatru	a m f i t e̯ a t r u
amfitrion	a m f i t r i o n
amiazi	a m j a z i
amiază	a m j a z ə
amic	a m i k
amical	a m i k a l
amicale	a m i k a l e
amicie	a m i t͡ʃ i e
amiciție	a m i t͡ʃ i t͡s i e
amiciție	a m i t͡ʃ i t͡s j e
amică	a m i k ə
amidon	a m i d o n
amintească	a m i n t e̯ a s k ə
amintesc	a m i n t e s k
aminti	a m i n t i
amnar	a m n a r
amonte	a m o n t e
amontele	a m o n t e l e
amontelui	a m o n t e l u j
amor	a m o r
amplifica	a m p l i f i k a
ampulă	a m p u l ə
amputa	a m p u t a
amuza	a m u z a
amvon	a m v o n
amâna	a m ɨ n a
amânat	a m ɨ n a t
amănunțit	a m ə n u n t͡s i t
amăreală	a m ə r e̯ a l ə
amărui	a m ə r u j
amărât	a m ə r ɨ t
amărăcios	a m ə r ə t͡ʃʲ o s
an	a n
anacruză	a n a k r u z ə
anagogic	a n a ɡ o d͡ʒ i k
analist	a n a l i s t
analistă	a n a l i s t ə
analizând	a n a l i z ɨ n d
analog	a n a l o ɡ
analogic	a n a l o d͡ʒ i k
ananas	a n a n a s
ananghie	a n a n ɡ i e
ananghie	a n a n ɡ j e
anapest	a n a p e s t
anarhic	a n a r h i k
anason	a n a s o n
anatide	a n a t i d e
anatomia	a n a t o m i a
anatomic	a n a t o m i k
anatomist	a n a t o m i s t
anchetă	a n k e t ə
ancora	a n k o r a
andorran	a n d o r a n
andrea	a n d r e̯ a
anecdotic	a n e k d o t i k
anevoie	a n e v o j e
anevoință	a n e v o i n t͡s ə
anexa	a n e k s a
anghilă	a n ɡ i l ə
anghinare	a n ɡ i n a r e
anglican	a ŋ ɡ l i k a n
anglofon	a ŋ ɡ l o f o n
anii	a n i j
anima	a n i m a
animal	a n i m a l
animaliza	a n i m a l i z a
animală	a n i m a l ə
animatoare	a n i m a t o̯ a r e
animator	a n i m a t o r
animație	a n i m a t͡s i e
anormal	a n o r m a l
anotimp	a n o t i m p
ansamblu	a n s a m b l u
anterior	a n t e r i o r
antic	a n t i k
antiguan	a n t i ɡ u a n
antilopă	a n t i l o p ə
antisocial	a n t i s o t͡ʃ i a l
antiviral	a n t i v i r a l
antiîmbătrânire	a n t i ɨ m b ə t r ɨ n i r e
antologa	a n t o l o ɡ a
antrena	a n t r e n a
antrenare	a n t r e n a r e
antropolog	a n t r o p o l o ɡ
antropologă	a n t r o p o l o ɡ ə
anual	a n u a l
anulare	a n u l a r e
anulat	a n u l a t
anulări	a n u l ə rʲ
anumit	a n u m i t
anusul	a n u s u
anusul	a n u s u l
aoleo	a o l e o̯
aoleu	a o l e w
apa	a p a
apanaj	a p a n a ʒ
aparat	a p a r a t
apariție	a p a r i t͡s i e
apartament	a p a r t a m e n t
apatit	a p a t i t
apatrid	a p a t r i d
apela	a p e l a
apendice	a p e n d i t͡ʃ e
apex	a p e k s
apicultoare	a p i k u l t o̯ a r e
apicultor	a p i k u l t o r
aplaudac	a p l a u d a k
aplicație	a p l i k a t͡s i e
aplicație	a p l i k a t͡s j e
apocalipsul	a p o k a l i p s u
apocalipsul	a p o k a l i p s u l
apocalipticul	a p o k a l i p t i k u
apocalipticul	a p o k a l i p t i k u l
apoi	a p o j
apologiza	a p o l o d͡ʒ i z a
apos	a p o s
aprig	a p r i ɡ
aprilie	a p r i l i j e
aprins	a p r i n s
apropo	a p r o p o
apuca	a p u k a
apus	a p u s
apă	a p ə
apărământ	a p ə r ə m ɨ n t
apărătoare	a p ə r ə t o̯ a r e
apăsa	a p ə s a
apăsare	a p ə s a r e
apătos	a p ə t o s
ar	a r
ara	a r a
arab	a r a b
arabic	a r a b i k
arabil	a r a b i l
arabiza	a r a b i z a
aragonit	a r a ɡ o n i t
arahide	a r a h i d e
arahidă	a r a h i d ə
arahnidă	a r a h n i d ə
aramă	a r a m ə
aranja	a r a n ʒ a
aratru	a r a t r u
arbitrar	a r b i t r a r
arbora	a r b o r a
arbore	a ɾ b o r e
arboricultoare	a r b o r i k u l t o̯ a r e
arboricultor	a r b o r i k u l t o r
arbuz	a r b u z
arcaș	a r k a ʃ
arcuș	a r k u ʃ
arde	a r d e
ardei	a r d e j
are	a r e
arenda	a r e n d a
arendare	a r e n d a r e
arete	a r e t e
argilos	a r d͡ʒ i l o s
argint	a r d͡ʒ i n t
argintie	a r d͡ʒ i n t i e
argintii	a r d͡ʒ i n t i j
argon	a r ɡ o n
arhaic	a r h a i k
arhaitate	a r h a i t a t e
arhaiza	a r h a i z a
arheolog	a r h e o l o ɡ
arheologă	a r h e o l o ɡ ə
arhicunoscut	a r h i k u n o s k u t
arhitect	a r h i t e k t
arhitectă	a r h i t e k t ə
arhivar	a r h i v a r
arhivist	a r h i v i s t
arinos	a r i n o s
aripă	a r i p ə
aritmetic	a r i t m e t i k
armadă	a r m a d ə
armat	a r m a t
armator	a r m a t o r
armean	a r m e̯ a n
armeancă	a r m e̯ a ŋ k ə
armeană	a r m e̯ a n ə
armonie	a r m o n i e
armoniza	a r m o n i z a
armurier	a r m u r i e r
armânesc	a r m ɨ n e s k
armânești	a r m ɨ n e ʃ tʲ
armână	a r m ɨ n ə
armăsarul	a r m ə s a r u
armăsarul	a r m ə s a r u l
arogant	a r o ɡ a n t
aromân	a r o m ɨ n
aromânaș	a r o m ɨ n a ʃ
aromânească	a r o m ɨ n e̯ a s k ə
aromânesc	a r o m ɨ n e s k
aromânește	a r o m ɨ n e ʃ t e
arpagic	a r p a d͡ʒ i k
ars	a r s
arsen	a r s e n
artificial	a r t i f i t͡ʃ i a l
artistic	a r t i s t i k
artrogramă	a r t r o ɡ r a m ə
artă	a r t ə
arvună	a r v u n ə
arădui	a r ə d u i
arămiu	a r ə m i w
arător	a r ə t o r
arătos	a r ə t o s
arțar	a r t͡s a r
ascensor	a s t͡ʃ e n s o r
asculta	a s k u l t a
ascultător	a s k u l t ə t o r
ascunde	a s k u n d e
ascunzătoare	a s k u n z ə t o̯ a r e
ascuțit	a s k u t͡s i t
ascuțitoare	a s k u t͡s i t o̯ a r e
aseamănă	a s e̯ a m ə n ə
asemenea	a s e m e n e̯ a
asemăna	a s e m ə n a
asemănare	a s e m ə n a r e
asemănat	a s e m ə n a t
asemănător	a s e m ə n ə t o r
asigna	a s i ɡ n a
asigura	a s i ɡ u r a
asigurat	a s i ɡ u r a t
asimila	a s i m i l a
asistat	a s i s t a t
aspirator	a s p i r a t o r
aspirație	a s p i r a t͡s i e
asprete	a s p r e t e
aspru	a s p r u
astea	a s t e̯ a
astmatic	a s t m a t i k
astmă	a s t m ə
astrobiolog	a s t r o b i o l o ɡ
astrobiologă	a s t r o b i o l o ɡ ə
astrofizic	a s t r o f i z i k
astrofizician	a s t r o f i z i t͡ʃ i a n
astrofiziciană	a s t r o f i z i t͡ʃ i a n ə
astrolab	a s t r o l a b
astronaut	a s t r o n a u t
astronaută	a s t r o n a u t ə
astronom	a s t r o n o m
astronomă	a s t r o n o m ə
astruca	a s t r u k a
astupa	a s t u p a
astăzi	a s t ə zʲ
atacant	a t a k a n t
atare	a t a r e
atent	a t e n t
atenta	a t e n t a
atentator	a t e n t a t o r
ateu	a t e w
atinge	a t i n d͡ʒ e
atingând	a t i n ɡ ɨ n d
atlantic	a t l a n t i k
atom	a t o m
atotputernic	a t o t p u t e r n i k
atotvăzător	a t o t v ə z ə t o r
atotștiutor	a t o t ʃ t i u t o r
atrage	a t r a d͡ʒ e
atrăgător	a t r ə ɡ ə t o r
atrăsei	a t r ə s e j
atunci	a t u n t͡ʃʲ
atât	a t ɨ t
atâta	a t ɨ t a
atâtea	a t ɨ t e̯ a
atâția	a t ɨ t͡s j a
au	a w
audiovizual	a u d i o v i z u a l
augit	a w ɡ i t
augur	a w ɡ u r
august	a w ɡ u s t
aur	a u r
auriu	a u r i w
australian	a u s t r a l i a n
autoadministra	a u t o a d m i n i s t r a
autoafirma	a u t o a f i r m a
autobuz	a u t o b u z
autoflagela	a u t o f l a d͡ʒ e l a
autohton	a u t o h t o n
automat	a u t o m a t
automate	a u t o m a t e
automată	a u t o m a t ə
autonomie	a u t o n o m i e
autor	a u t o r
autoritate	a u t o r i t a t e
autoriza	a u t o r i z a
auă	a u ə
auș	a u ʃ
aușel	a u ʃ e l
aval	a v a l
avansa	a v a n s a
avantajos	a v a n t a ʒ o s
avaria	a v a r i a
avea	a v e̯ a
aventura	a v e n t u r a
avere	a v e r e
avertiza	a v e r t i z a
aviatoare	a v i a t o̯ a r e
aviator	a v i a t o r
avion	a v j o n
aviva	a v i v a
avizo	a v i z o
avocat	a v o k a t
avocată	a v o k a t ə
avut	a v u t
având	a v ɨ n d
avânta	a v ɨ n t a
azi	a zʲ
azot	a z o t
azotos	a z o t o s
azur	a z u r
azurit	a z u r i t
azurită	a z u r i t ə
aș	a ʃ
aș	a ʒ
așa	a ʃ a
așază	a ʃ a z ə
așez	a ʃ e z
așeza	a ʃ e z a
așezați	a ʃ e z a t͡sʲ
așeze	a ʃ e z e
așezi	a ʃ e zʲ
așeză	a ʃ e z ə
așezăm	a ʃ e z ə m
ași	a ʃ i
ași	a ʃʲ
aștepta	a ʃ t e p t a
așteptare	a ʃ t e p t a r e
așteptând	a ʃ t e p t ɨ n d
b	b
baban	b a b a n
babau	b a b a w
babaua	b a b a w a
babetă	b a b e t ə
babă	b a b ə
bac	b a k
bacalaureat	b a k a l a u r e a t
baci	b a t͡ʃʲ
baclava	b a k l a v a
bacă	b a k ə
bagaj	b a ɡ a ʒ
bagatel	b a ɡ a t e l
bagateliza	b a ɡ a t e l i z a
bagdadie	b a ɡ d a d i e
bagă	b a ɡ ə
baie	b a j e
bairam	b a j r a m
balanită	b a l a n i t ə
balcon	b a l k o n
bale	b a l e
balenă	b a l e n ə
balerină	b a l e r i n ə
baletistă	b a l e t i s t ə
balistă	b a l i s t ə
baloș	b a l o ʃ
balsam	b a l s a m
bală	b a l ə
ban	b a n
banaliza	b a n a l i z a
banană	b a n a n ə
bancnotă	b a n k n o t ə
bancrută	b a n k r u t ə
banda	b a n d a
bandaj	b a n d a ʒ
bani	b a nʲ
bara	b a r a
barabulă	b a r a b u l ə
baraj	b a r a ʒ
barbă	b a ɾ b ə
barman	b a r m a n
barmaniță	b a r m a n i t͡s ə
barz	b a r z
barză	b a r z ə
baschetbal	b a s k e t b a l
basculă	b a s k u l ə
bască	b a s k ə
basm	b a s m
batat	b a t a t
bate	b a t e
batist	b a t i s t
batista	b a t i s t a
batistă	b a t i s t ə
batjocori	b a t ʒ o k o r i
batjocură	b a t ʒ o k u r ə
batoane	b a t o̯ a n e
baton	b a t o n
batăr	b a t ə r
baza	b a z a
bazic	b a z i k
bază	b a z ə
bea	b e̯ a
beau	b e̯ a w
bebe	b e b e
bebeluș	b e b e l u ʃ
becciu	b e k t͡ʃ i w
beep	b i p
bei	b e j
bej	b e ʒ
belciug	b e l t͡ʃ j u ɡ
belengher	b e l e n ɡ e r
belitoare	b e l i t o̯ a r e
bendeu	b e n d e w
benefic	b e n e f i k
bengal	b e ŋ ɡ a l
benzinărie	b e n z i n ə r i e
benzol	b e n z o l
bere	b e r e
beriliu	b e r i l i w
berărie	b e r ə r i e
bete	b e t e
beteag	b e t e̯ a ɡ
beteji	b e t e ʒ i
bezmetic	b e z m e t i k
beznă	b e z n ə
beți	b e t͡sʲ
beție	b e t͡s i e
bețivan	b e t͡s i v a n
bianual	b i a n u a l
biată	b j a t ə
biban	b i b a n
bibilică	b i b i l i k ə
biblie	b i b l i e
bibliotecar	b i b l i o t e k a r
bibliotecă	b i b l i o t e k ə
bibliotecă	b i b l j o t e k ə
bicicleta	b i t͡ʃ i k l e t a
bicicletă	b i t͡ʃ i k l e t ə
biclă	b i k l ə
bideu	b i d e w
bidon	b i d o n
biet	b j e t
biete	b j e t e
bieți	b j e t sʲ
bifurca	b i f u r k a
bilet	b i l e t
binar	b i n a r
bine	b i n e
binecuvântare	b i n e k u v ɨ n t a r e
binefacere	b i n e f a t͡ʃ e r e
binefăcător	b i n e f ə k ə t o r
binevoi	b i n e v o i
bineînțeles	b i n e ɨ n t s e l e s
biochimic	b i o c i m i k
biochimist	b i o k i m i s t
biochimistă	b i o k i m i s t ə
biografica	b i o ɡ r a f i k a
biografică	b i o ɡ r a f i k ə
biolog	b i o l o ɡ
biologic	b i o l o d͡ʒ i k
biologie	b i o l o d͡ʒ i e
biologă	b i o l o ɡ ə
biotic	b i o t i k
bioxid	b i o k s i d
bip	b i p
birman	b i r m a n
birou	b i r o w
birt	b i r t
biruință	b i r u i n t͡s ə
biscuit	b i s k u i t
bisericesc	b i s e r i t͡ʃ e s k
bisericos	b i s e r i k o s
bisericuță	b i s e r i k u t͡s ə
biserică	b i s e r i k ə
bisexual	b i s e k s u a l
bisexualitatea	b i s e k s u a l i t a t e̯ a
bisexualității	b i s e k s u a l i t ə t͡s i
bismut	b i s m u t
bisturiu	b i s t u r i u
bitcoin	b i t k o j n
bitumen	b i t u m e n
bituminos	b i t u m i n o s
bivalent	b i v a l e n t
bizon	b i z o n
bizui	b i z u i
blajin	b l a ʒ i n
blajinătate	b l a ʒ i n ə t a t e
blană	b l a n ə
blasfema	b l a s f e m a
blasfemie	b l a s f e m i e
bleg	b l e ɡ
blestemat	b l e s t e m a t
bleu	b l ø
bloc	b l o k
bloca	b l o k a
blocadă	b l o k a d ə
blogger	b l o ɡ ə r
blond	b l o n d
blând	b l ɨ n d
blândișor	b l ɨ n d i ʃ o r
blănar	b l ə n a r
blănăreasă	b l ə n ə r e̯ a s ə
boace	b o̯ a t͡ʃ e
boacter	b o̯ a k t e r
boacănă	b o̯ a k ə n ə
boala	b o̯ a l a
boașele	b o̯ a ʃ e l e
bob	b o b
boboc	b o b o k
boccaccesc	b o k a k t ʃ e s k
boccaccesc	b o k a t ʃ e s k
boccea	b o k t͡ʃ e̯ a
boem	b o e m
bogat	b o ɡ a t
boi	b o j
boia	b o j a
boicot	b o j k o t
boier	b o j e r
boieri	b o j e r i
boieri	b o j e rʲ
bolivian	b o l i v i a n
bolnav	b o l n a v
bolnăvior	b o l n ə v j o r
bolând	b o l ɨ n d
bomba	b o m b a
bombardament	b o m b a r d a m e n t
bombardier	b o m b a r d i e r
bombardier	b o m b a r d j e r
bombardon	b o m b a r d o n
bomboană	b o m b o̯ a n ə
bombonel	b o m b o n e l
bombă	b o m b ə
bomfaier	b o m f a j e r
bont	b o n t
bontaș	b o n t a ʃ
bor	b o r
borcan	b o r k a n
bortă	b o r t ə
borură	b o r u r ə
borțoasă	b o r t͡s o̯ a s ə
borțos	b o r t͡s o s
boschet	b o s k e t
boss	b o s
bosumfla	b o s u m f l a
bosumflat	b o s u m f l a t
bot	b o t
botanic	b o t a n i k
botanică	b o t a n i k ə
botanist	b o t a n i s t
botanistă	b o t a n i s t ə
botezat	b o t e z a t
botgros	b o t ɡ r o s
botroș	b o t r o ʃ
bou	b o w
bovin	b o v i n
box	b o k s
boxer	b o k s e r
boșorog	b o ʃ o r o ɡ
brancardier	b r a ŋ k a r d i e r
brasaj	b r a s a ʒ
brav	b r a v
bravissimo	b r a v i s i m o
braț	b r a t͡s
bre	b r e
breabăn	b r e̯ a b ə n
brebenea	b r e b e n e̯ a
brebenel	b r e b e n e l
bretea	b r e t e̯ a
bretele	b r e t e l e
bretelă	b r e t e l ə
breton	b r e t o n
brici	b r i t͡ʃʲ
brie	b r i
briefing	b r i f i ŋ ɡ
brigadier	b r i ɡ a d i e r
britanic	b r i t a n i k
britanici	b r i t a n i t͡ʃʲ
brom	b r o m
bronz	b r o n z
brumar	b r u m a r
brumă	b r u m ə
brumărel	b r u m ə r e l
brumăriu	b r u m ə r i w
brun	b r u n
bruna	b r u n a
brune	b r u n e
bruni	b r u nʲ
brusc	b r u s k
brutal	b r u t a l
bruștin	b r u ʃ t i n
brâncovenesc	b r ɨ n k o v e n e s k
brâncă	b r ɨ n k ə
brânză	b r ɨ n z ə
brâu	b r ɨ w
brâuț	b r ɨ u t͡s
brăbin	b r ə b i n
brădioară	b r ə d i o̯ a r ə
bubuitură	b u b u i t u r ə
bucată	b u k a t ə
bucile	b u t͡ʃ i l e
bucureștean	b u k u r e ʃ t e̯ a n
bucureșteni	b u k u r e ʃ t e nʲ
bucurie	b u k u r i e
bucuros	b u k u r o s
bucurând	b u k u r ɨ n d
bucă	b u k ə
bucătărie	b u k ə t ə r i j e
bucățea	b u k ə t͡s e̯ a
bucăți	b u k ə t͡s i
bucăți	b u k ə t͡sʲ
buda	b u d a
budincă	b u d i n k ə
budism	b u d i s m
budă	b u d ə
bufal	b u f a l
bufniță	b u f n i t͡s ə
bufnă	b u f n ə
bufon	b u f o n
buged	b u d͡ʒ e d
bugetar	b u d͡ʒ e t a r
buhai	b u h a j
buiestru	b u j e s t r u
bujor	b u ʒ o r
bulangiu	b u l a n d ʒ i w
bulevard	b u l e v a r d
bulgare	b u l ɡ a r e
bulon	b u l o n
buluci	b u l u t͡ʃ i
bumașcă	b u m a ʃ k ə
bumb	b u m b
bun	b u n
bunget	b u n d͡ʒ e t
buni	b u nʲ
bunic	b u n i k
bunicel	b u n i t͡ʃ e l
bunici	b u n i t͡ʃʲ
bunicuț	b u n i k u t͡s
bunicuță	b u n i k u t͡s ə
bunică	b u n i k ə
bunișor	b u n i ʃ o r
bunuri	b u n u rʲ
bunuț	b u n u t͡s
bunăvoie	b u n ə v o j e
bunăvoință	b u n ə v o i n t͡s ə
bura	b u r a
burghiu	b u r ɡ i w
burlac	b u r l a k
burlan	b u r l a n
burtos	b u r t o s
buruiană	b u r u j a n ə
bură	b u r ə
buză	b u z ə
byte	b a j t
byți	b a j t sʲ
bâjbâi	b ɨ ʒ b ɨ i
bâlci	b ɨ l t͡ʃʲ
bârlog	b ɨ r l o ɡ
bâtlan	b ɨ t l a n
bâzu	b ɨ z u
bă	b ə
băcan	b ə k a n
bădăran	b ə d ə r a n
băgăreț	b ə ɡ ə r e t͡s
băi	b ə j
băiețașul	b ə j e t͡s a ʃ u
băiețașul	b ə j e t͡s a ʃ u l
băieței	b ə j e t͡s e j
băiețeii	b ə j e t s e i j
băiețelul	b ə j e t͡s e l u
băiețelul	b ə j e t͡s e l u l
băl	b ə l
bălai	b ə l a j
bălan	b ə l a n
bălbău	b ə l b ə w
bălegar	b ə l e ɡ a r
bălmăjeală	b ə l m ə ʒ e̯ a l ə
bălos	b ə l o s
băltos	b ə l t o s
băltău	b ə l t ə w
bălăior	b ə l ə j o r
bălțat	b ə l t͡s a t
bănui	b ə n u i
bănuială	b ə n u j a l ə
bărbat	b ə r b a t
bărbați	b ə r b a t sʲ
bărbos	b ə r b o s
bărbătească	b ə r b ə t e̯ a s k ə
bărbătesc	b ə r b ə t e s k
bărbătos	b ə r b ə t o s
bărbătuș	b ə r b ə t u ʃ
băsni	b ə s n i
bătaie	b ə t a j e
bătrân	b ə t r ɨ n
bătrânet	b ə t r ɨ n e t
bătrâni	b ə t r ɨ nʲ
bătrână	b ə t r ɨ n ə
bătut	b ə t u t
băubil	b ə u b i l
băut	b ə u t
băutor	b ə u t o r
băutură	b ə u t u r ə
băși	b ə ʃ i
bășină	b ə ʃ i n ə
c	k
c	t ʃ
ca	k a
cabanier	k a b a n i e r
cabană	k a b a n ə
cacadâr	k a k a d ɨ r
cacologie	k a k o l o d͡ʒ i e
cad	k a d
cadavrul	k a d a v r u
cadavrul	k a d a v r u l
cadența	k a d e n t͡s a
cadențare	k a d e n t͡s a r e
cado	k a d o
cadou	k a d o w
cadru	k a d r u
cafea	k a f e̯ a
cafenea	k a f e n e̯ a
cafeniu	k a f e n i w
cai	k a j
caiarlâc	k a j a r l ɨ k
caiman	k a j m a n
caisă	k a i s ə
cal	k a l
calamar	k a l a m a r
calambur	k a l a m b u r
calarabă	k a l a r a b ə
calcan	k a l k a n
calcar	k a l k a r
calcare	k a l k a r e
calcaros	k a l k a r o s
calcit	k a l t͡ʃ i t
calciu	k a l t͡ʃ j u
calcul	k a l k u l
calcula	k a l k u l a
calculat	k a l k u l a t
cald	k a l d
caldarâmgiu	k a l d a r ɨ m d͡ʒ i w
calde	k a l d e
caldă	k a l d ə
cale	k a l e
calibra	k a l i b r a
califica	k a l i f i k a
calificat	k a l i f i k a t
caligrafie	k a l i ɡ r a f i e
calități	k a l i t ə t͡sʲ
calmar	k a l m a r
calotă	k a l o t ə
calzi	k a l zʲ
cameraman	k a m e r a m a n
cameră	k a m e r ə
camion	k a m i o n
camping	k e m p i n ɡ
campus	k a m p u s
canal	k a n a l
canalul	k a n a l u
canalul	k a n a l u l
canar	k a n a r
canava	k a n a v a
canavale	k a n a v a l e
canci	k a n t͡ʃʲ
cangur	k a ŋ ɡ u r
canibal	k a n i b a l
canibală	k a n i b a l ə
canicular	k a n i k u l a r
caniculă	k a n i k u l ə
canonicat	k a n o n i k a t
cantalup	k a n t a l u p
cantata	k a n t a t a
cantautor	k a n t a u t o r
cantinier	k a n t i n i e r
canton	k a n t o n
cap	k a p
capabil	k a p a b i l
capac	k a p a k
capete	k a p e t e
capital	k a p i t a l
capitalist	k a p i t a l i s t
capitală	k a p i t a l ə
capitol	k a p i t o l
capnomanție	k a p n o m a n t͡s i e
caprin	k a p r i n
caprină	k a p r i n ə
capră	k a p r ə
captiva	k a p t i v a
captivant	k a p t i v a n t
captura	k a p t u r a
capturează	k a p t u r e̯ a z ə
caracara	k a r a k a r a
caracteristici	k a r a k t e r i s t i t͡ʃʲ
caracteristică	k a r a k t e r i s t i k ə
carambol	k a r a m b o l
carameliza	k a r a m e l i z a
carantină	k a r a n t i n ə
carbinol	k a r b i n o l
carbon	k a r b o n
carbonat	k a r b o n a t
carbonic	k a r b o n i k
carboxilic	k a r b o k s i l i k
carcinom	k a r t͡ʃ i n o m
cardamom	k a r d a m o m
cardinal	k a r d i n a l
cardinali	k a r d i n a lʲ
cardiolog	k a r d i o l o ɡ
cardiologă	k a r d i o l o ɡ ə
care	k a r e
caretă	k a r e t ə
caricaturist	k a r i k a t u r i s t
caricaturistă	k a r i k a t u r i s t ə
carici	k a r i t͡ʃʲ
carne	k a r n e
carnet	k a r n e t
carnivor	k a r n i v o r
carte	k a r t e
cartea	k a r t e̯ a
cartel	k a r t e l
cartezian	k a r t e z i a n
cartof	k a r t o f
cartofi	k a r t o fʲ
cartofor	k a r t o f o r
cartograf	k a r t o ɡ r a f
cartografic	k a r t o ɡ r a f i k
cartomantic	k a r t o m a n t i k
cartomanție	k a r t o m a n t͡s i e
cartonaj	k a r t o n a ʒ
carâmb	k a r ɨ m b
cascador	k a s k a d o r
cascadă	k a s k a d ə
casnic	k a s n i k
caso	k a s o
cast	k a s t
castaniu	k a s t a n i w
castană	k a s t a n ə
castel	k a s t e l
castelan	k a s t e l a n
castra	k a s t r a
castravete	k a s t r a v e t e
casâncă	k a s ɨ n k ə
cat	k a t
catadicsi	k a t a d i k s i
catalan	k a t a l a n
catalană	k a t a l a n ə
cataliza	k a t a l i z a
cataloga	k a t a l o ɡ a
catapulta	k a t a p u l t a
catastrofic	k a t a s t r o f i k
catehiza	k a t e h i z a
caterisi	k a t e r i s i
catifea	k a t i f e̯ a
catifelat	k a t i f e l a t
catolicitate	k a t o l i t͡ʃ i t a t e
catran	k a t r a n
catren	k a t r e n
catâr	k a t ɨ r
caute	k a u t e
cauză	k a u z ə
cauză	k a u̯ z ə
caval	k a v a l
cavalerie	k a v a l e r i e
caviar	k a v i a r
cazuar	k a z u a r
cazuistic	k a z u i s t i k
caș	k a ʃ
cașalot	k a ʃ a l o t
cașcaval	k a ʃ k a v a l
cașă	k a ʃ ə
cață	k a t͡s ə
ce	t͡ʃ e
cea	t͡ʃ e̯ a
ceacâr	t͡ʃ e̯ a k ɨ r
ceai	t͡ʃ e̯ a j
ceair	t͡ʃ e̯ a i r
ceapă	t͡ʃ e̯ a p ə
ceară	t͡ʃ e̯ a r ə
ceas	t͡ʃ e̯ a s
ceașcă	t͡ʃ e̯ a ʃ k ə
ceață	t͡ʃ e̯ a t͡s ə
cec	t͡ʃ e k
cecen	t͡ʃ e t͡ʃ e n
ceea	t͡ʃ e e̯ a
ceh	t͡ʃ e h
cehi	t͡ʃ e hʲ
cei	t͡ʃ e j
celar	t͡ʃ e l a r
cele	t͡ʃ e l e
celebra	t͡ʃ e l e b ɾ a
celebru	t͡ʃ e l e b r u
celiachie	t͡ʃ e l i a k i e
celniță	t͡ʃ e l n i t͡s ə
celt	t͡ʃ e l t
celui	t͡ʃ e l u i
celui	t͡ʃ e l u j
celulă	t͡ʃ e l u l ə
celălalt	t͡ʃ e̞ l ə l a l t
celți	t͡ʃ e l t͡sʲ
centra	t͡ʃ e n t r a
centrali	t͡ʃ e n t r a lʲ
centraliza	t͡ʃ e n t r a l i z a
cenușiu	t͡ʃ e n u ʃ i w
cenzurând	t͡ʃ e n z u r ɨ n d
