あ	a̠
うらうつり	ɯ̟ ɾ a̠ ɯ̟ t͡s ɨ ɾʲ i
うらかた	ɯ̟ ɾ a̠ k a̠ t a̠
うらがき	ɯ̟ ɾ a̠ ɡ a̠ kʲ i
うらごし	ɯ̟ ɾ a̠ ɡ o̞ ɕ i
うらて	ɯ̟ ɾ a̠ t e̞
うらとり	ɯ̟ ɾ a̠ t o̞ ɾʲ i
うらどり	ɯ̟ ɾ a̠ d o̞ ɾʲ i
うらはら	ɯ̟ ɾ a̠ h a̠ ɾ a̠
うらまき	ɯ̟ ɾ a̠ m a̠ kʲ i
うらみぶし	ɯ̟ ɾ a̠ mʲ i b ɯ̟ ɕ i
うらめ	ɯ̟ ɾ a̠ m e̞
うらる	ɯ̟ ɾ a̠ ɾ ɯ̟
うりかい	ɯ̟ ɾʲ i k a̠ i
うりこ	ɯ̟ ɾʲ i k o̞
うりもの	ɯ̟ ɾʲ i m o̞ n o̞
うるうどし	ɯ̟ ɾ ɯ̟ː d o̞ ɕ i
うるうびょう	ɯ̟ ɾ ɯ̟ː bʲ o̞ː
うるうる	ɯ̟ ɾ ɯ̟ ɯ̟ ɾ ɯ̟
うるか	ɯ̟ ɾ ɯ̟ k a̠
うるさい	ɯ̟ ɾ ɯ̟ s a̠ i
うるせえ	ɯ̟ ɾ ɯ̟ s e̞ e̞
うるち	ɯ̟ ɾ ɯ̟ t͡ɕ i
うるむ	ɯ̟ ɾ ɯ̟ m ɯ̟
うれい	ɯ̟ ɾ e̞ i
うれう	ɯ̟ ɾ e̞ ɯ̟
うれし	ɯ̟ ɾ e̞ ɕ i
うれぴい	ɯ̟ ɾ e̞ pʲ iː
うろうろ	ɯ̟ ɾ o̞ ɯ̟ ɾ o̞
うろたえる	ɯ̟ ɾ o̞ t a̠ e̞ ɾ ɯ̟
うろちょろ	ɯ̟ ɾ o̞ t͡ɕ o̞ ɾ o̞
うろつく	ɯ̟ ɾ o̞ t͡s ɨ̥ k ɯ̟
うわぁ	ɯ̟ β̞ a̠ː
うわあ	ɯ̟ β̞ a̠ː
うわっ	ɯ̟ β̞ a̠ ʔ
うわづみ	ɯ̟ β̞ a̠ z ɨ mʲ i
うわぶれ	ɯ̟ β̞ a̠ b ɯ̟ ɾ e̞
うわむき	ɯ̟ β̞ a̠ m ɯ̟ kʲ i
うわめづかい	ɯ̟ β̞ a̠ m e̞ z ɨ k a̠ i
うわん	ɯ̟ β̞ ã̠ ɴ
うわー	ɯ̟ β̞ a̠ː
うん	ɯ̟̃ ɴ
うんうん	ɯ̟̃ ɰ̃ ɯ̟̃ ɴ
うんこ	ɯ̟̃ ŋ k o̞
うんざり	ɯ̟̃ n d͡z a̠ ɾʲ i
うんたらかんたら	ɯ̟̃ n t a̠ ɾ a̠ k ã̠ n t a̠ ɾ a̠
うんち	ɯ̟̃ ɲ̟ t͡ɕ i
うんつく	ɯ̟̃ n t͡s ɨ k ɯ̟
うんと	ɯ̟̃ n t o̞
え	e̞
ええ	e̞ː
ええっと	e̞ː t̚ t o̞
ええと	e̞ː t o̞
えがった	e̞ ɡ a̠ t̚ t a̠
えきもれ	e̞ kʲ i m o̞ ɾ e̞
えぐい	e̞ ɡ ɯ̟ i
えぐる	e̞ ɡ ɯ̟ ɾ ɯ̟
えぐれる	e̞ ɡ ɯ̟ ɾ e̞ ɾ ɯ̟
えげつない	e̞ ɡ e̞ t͡s ɨ n a̠ i
えさもち	e̞ s a̠ m o̞ t͡ɕ i
えずく	e̞ z ɨ k ɯ̟
えせ	e̞ s e̞
えそらごと	e̞ s o̞ ɾ a̠ ɡ o̞ t o̞
えた	e̞ t a̠
えだげ	e̞ d a̠ ɡ e̞
えちえち	e̞ t͡ɕ i e̞ t͡ɕ i
えっへん	e̞ hː ẽ̞ ɴ
えてして	e̞ t e̞ ɕ i t e̞
えど	e̞ d o̞
えな	e̞ n a̠
えもの	e̞ m o̞ n o̞
えやみ	e̞ j a̠ mʲ i
えらあな	e̞ ɾ a̠ a̠ n a̠
えらびだす	e̞ ɾ a̠ bʲ i d a̠ s ɨ
えりぐり	e̞ ɾʲ i ɡ ɯ̟ ɾʲ i
えんやこら	ẽ̞ ɰ̃ j a̠ k o̞ ɾ a̠
えーっと	e̞ː t̚ t o̞
えーと	e̞ː t o̞
お	o̞
おい	o̞ i
おいうち	o̞ i ɯ̟ t͡ɕ i
おいえげい	o̞ i e̞ ɡ e̞ː
おいおい	o̞ i o̞ i
おいこし	o̞ i k o̞ ɕ i
おいさらばえる	o̞ i s a̠ ɾ a̠ b a̠ e̞ ɾ ɯ̟
おいた	o̞ i t a̠
おいだき	o̞ i d a̠ kʲ i
おいっこ	o̞ i k̚ k o̞
おいて	o̞ i t e̞
おいてきぼり	o̞ i t e̞ kʲ i b o̞ ɾʲ i
おいてけぼり	o̞ i t e̞ k e̞ b o̞ ɾʲ i
おいなりさん	o̞ i n a̠ ɾʲ i s ã̠ ɴ
おいぴー	o̞ i pʲ iː
おいぼれ	o̞ i b o̞ ɾ e̞
おいわけ	o̞ i β̞ a̠ k e̞
おいわけぶし	o̞ i β̞ a̠ k e̞ b ɯ̟ ɕ i
おう	o̞ː
おうな	o̞ː n a̠
おおあざ	o̞ː a̠ z a̠
おおあな	o̞ː a̠ n a̠
おおい	o̞ː i
おおいかぶさる	o̞ː i k a̠ b ɯ̟ s a̠ ɾ ɯ̟
おおいそぎ	o̞ː i s o̞ ɡʲ i
おおか	o̞ː k a̠
おおきめ	o̞ː kʲ i m e̞
おおこけ	o̞ː k o̞ k e̞
おおし	o̞ː ɕ i
おおじ	o̞ː ʑ i
おおせ	o̞ː s e̞
おおっぴら	o̞ː p̚ʲ pʲ i ɾ a̠
おおとのごもる	o̞ː t o̞ n o̞ ɡ o̞ m o̞ ɾ ɯ̟
おおとり	o̞ː t o̞ ɾʲ i
おおはずれ	o̞ː h a̠ z ɨ ɾ e̞
おおめ	o̞ː m e̞
おおもの	o̞ː m o̞ n o̞
おおもり	o̞ː m o̞ ɾʲ i
おおやけ	o̞ː j a̠ k e̞
おおよそ	o̞ː j o̞ s o̞
おおらか	o̞ː ɾ a̠ k a̠
おおわく	o̞ː β̞ a̠ k ɯ̟
おか	o̞ k a̠
おかげ	o̞ k a̠ ɡ e̞
おかし	o̞ k a̠ ɕ i
おかす	o̞ k a̠ s ɨ
おかべ	o̞ k a̠ b e̞
おかま	o̞ k a̠ m a̠
おかもち	o̞ k a̠ m o̞ t͡ɕ i
おかん	o̞ k ã̠ ɴ
おがくず	o̞ ɡ a̠ k ɯ̟ z ɨ
おがたん	o̞ ɡ a̠ t ã̠ ɴ
おき	o̞ kʲ i
おきざり	o̞ kʲ i z a̠ ɾʲ i
おきた	o̞ kʲ i t a̠
おぎなう	o̞ ɡʲ i n a̠ ɯ̟
おぎゃあ	o̞ ɡʲ a̠ː
おぎゃる	o̞ ɡʲ a̠ ɾ ɯ̟
おくのて	o̞ k ɯ̟ n o̞ t e̞
おくび	o̞ k ɯ̟ bʲ i
おくまる	o̞ k ɯ̟ m a̠ ɾ ɯ̟
おくゆかしい	o̞ k ɯ̟ j ɯ̟ k a̠ ɕ iː
おくらいり	o̞ k ɯ̟ ɾ a̠ i ɾʲ i
おくりむかえ	o̞ k ɯ̟ ɾʲ i m ɯ̟ k a̠ e̞
おくれげ	o̞ k ɯ̟ ɾ e̞ ɡ e̞
おけけ	o̞ k e̞ k e̞
おこげ	o̞ k o̞ ɡ e̞
おこじ	o̞ k o̞ ʑ i
おこじょ	o̞ k o̞ ʑ o̞
おこぜ	o̞ k o̞ z e̞
おこぼ	o̞ k o̞ b o̞
おこわ	o̞ k o̞ β̞ a̠
おさがり	o̞ s a̠ ɡ a̠ ɾʲ i
おさながお	o̞ s a̠ n a̠ ɡ a̠ o̞
おさなごころ	o̞ s a̠ n a̠ ɡ o̞ k o̞ ɾ o̞
おさなづま	o̞ s a̠ n a̠ z ɨ m a̠
おさふ	o̞ s a̠ ɸ ɯ̟
おさらい	o̞ s a̠ ɾ a̠ i
おさわり	o̞ s a̠ β̞ a̠ ɾʲ i
おし	o̞ ɕ i
おしいる	o̞ ɕ i i ɾ ɯ̟
おしいろ	o̞ ɕ i i ɾ o̞
おしえご	o̞ ɕ i e̞ ɡ o̞
おしえさとす	o̞ ɕ i e̞ s a̠ t o̞ s ɨ
おしかける	o̞ ɕ i k a̠ k e̞ ɾ ɯ̟
おしごと	o̞ ɕ i ɡ o̞ t o̞
おしだまる	o̞ ɕ i d a̠ m a̠ ɾ ɯ̟
おしっこ	o̞ ɕ i k̚ k o̞
おしながき	o̞ ɕ i n a̠ ɡ a̠ kʲ i
おしのび	o̞ ɕ i n o̞ bʲ i
おしへん	o̞ ɕ i h ẽ̞ ɴ
おしべ	o̞ ɕ i b e̞
おしまい	o̞ ɕ i m a̠ i
おしゃぶり	o̞ ɕ a̠ b ɯ̟ ɾʲ i
おしゃべり	o̞ ɕ a̠ b e̞ ɾʲ i
おしゃれぎ	o̞ ɕ a̠ ɾ e̞ ɡʲ i
おじゃる	o̞ ʑ a̠ ɾ ɯ̟
おじゃん	o̞ ʑ ã̠ ɴ
おすいだめ	o̞ s ɨ i d a̠ m e̞
おすすめ	o̞ s ɨ s ɨ m e̞
おすそわけ	o̞ s ɨ s o̞ β̞ a̠ k e̞
おせっせ	o̞ s e̞ sː e̞
おそい	o̞ s o̞ i
おそし	o̞ s o̞ ɕ i
おそじも	o̞ s o̞ ʑ i m o̞
おそそ	o̞ s o̞ s o̞
おそめ	o̞ s o̞ m e̞
おそれる	o̞ s o̞ ɾ e̞ ɾ ɯ̟
おそろ	o̞ s o̞ ɾ o̞
おそろい	o̞ s o̞ ɾ o̞ i
おた	o̞ t a̠
おたおめ	o̞ t a̠ o̞ m e̞
おたかつ	o̞ t a̠ k a̠ t͡s ɨ
おたとも	o̞ t a̠ t o̞ m o̞
おたま	o̞ t a̠ m a̠
おだ	o̞ d a̠
おちおち	o̞ t͡ɕ i o̞ t͡ɕ i
おちくぼむ	o̞ t͡ɕ i k ɯ̟ b o̞ m ɯ̟
おちこぼれる	o̞ t͡ɕ i̥ k o̞ b o̞ ɾ e̞ ɾ ɯ̟
おちば	o̞ t͡ɕ i b a̠
おちびさん	o̞ t͡ɕ i bʲ i s ã̠ ɴ
おちぼ	o̞ t͡ɕ i b o̞
おちめ	o̞ t͡ɕ i m e̞
おちゃっぱ	o̞ t͡ɕ a̠ p̚ p a̠
おちゃらかす	o̞ t͡ɕ a̠ ɾ a̠ k a̠ s ɨ
おちゃらける	o̞ t͡ɕ a̠ ɾ a̠ k e̞ ɾ ɯ̟
おちょくる	o̞ t͡ɕ o̞ k ɯ̟ ɾ ɯ̟
おちんちん	o̞ t͡ɕ ĩ ɲ̟ t͡ɕ ĩ ɴ
おっかない	o̞ k̚ k a̠ n a̠ i
おっかなびっくり	o̞ k̚ k a̠ n a̠ bʲ i k̚ k ɯ̟ ɾʲ i
おっかん	o̞ k̚ k ã̠ ɴ
おっかー	o̞ k̚ k a̠ː
おっきい	o̞ k̚ʲ kʲ i i
おっこちる	o̞ k̚ k o̞ t͡ɕ i ɾ ɯ̟
おっさん	o̞ sː ã̠ ɴ
おっしゃる	o̞ ɕː a̠ ɾ ɯ̟
おっす	o̞ sː ɨ
おっせえ	o̞ sː e̞ː
おったつ	o̞ t̚ t a̠ t͡s ɨ
おったまげる	o̞ t̚ t a̠ m a̠ ɡ e̞ ɾ ɯ̟
おっと	o̞ t̚ t o̞
おっとっと	o̞ t̚ t o̞ t̚ t o̞
おっはー	o̞ hː a̠ː
おっぱい	o̞ p̚ p a̠ i
おっぱじめる	o̞ p̚ p a̠ ʑ i m e̞ ɾ ɯ̟
おっぱらう	o̞ p̚ p a̠ ɾ a̠ ɯ̟
おっぴら	o̞ p̚ʲ pʲ i ɾ a̠
おつあり	o̞ t͡s ɨ a̠ ɾʲ i
おつかれかい	o̞ t͡s ɨ̥ k a̠ ɾ e̞ k a̠ i
おつき	o̞ t͡s ɨ kʲ i
おつむ	o̞ t͡s ɨ m ɯ̟
おてぃんてぃん	o̞ tʲ ĩ n tʲ ĩ ɴ
おてつき	o̞ t e̞ t͡s ɨ kʲ i
おてて	o̞ t e̞ t e̞
おでき	o̞ d e̞ kʲ i
おでこ	o̞ d e̞ k o̞
おでん	o̞ d ẽ̞ ɴ
おとがい	o̞ t o̞ ɡ a̠ i
おとこうけ	o̞ t o̞ k o̞ː k e̞
おとこづれ	o̞ t o̞ k o̞ z ɨ ɾ e̞
おとこなき	o̞ t o̞ k o̞ n a̠ kʲ i
おとこまえ	o̞ t o̞ k o̞ m a̠ e̞
おとど	o̞ t o̞ d o̞
おともれ	o̞ t o̞ m o̞ ɾ e̞
おどける	o̞ d o̞ k e̞ ɾ ɯ̟
おどす	o̞ d o̞ s ɨ
おどりあかす	o̞ d o̞ ɾʲ i a̠ k a̠ s ɨ
おどろく	o̞ d o̞ ɾ o̞ k ɯ̟
おなちゅう	o̞ n a̠ t͡ɕ ɨː
おなべ	o̞ n a̠ b e̞
おねしょ	o̞ n e̞ ɕ o̞
おねむ	o̞ n e̞ m ɯ̟
おはぎ	o̞ h a̠ ɡʲ i
おはなつみ	o̞ h a̠ n a̠ t͡s ɨ mʲ i
おはよう	o̞ h a̠ j o̞ː
おひさー	o̞ ç i s a̠ː
おひとりさま	o̞ ç i t o̞ ɾʲ i s a̠ m a̠
おひらき	o̞ ç i ɾ a̠ kʲ i
おふる	o̞ ɸ ɯ̟ ɾ ɯ̟
おふれ	o̞ ɸ ɯ̟ ɾ e̞
おべっか	o̞ b e̞ k̚ k a̠
おべんちゃら	o̞ b ẽ̞ ɲ̟ t͡ɕ a̠ ɾ a̠
おぼえ	o̞ b o̞ e̞
おぼっちゃま	o̞ b o̞ t̚ t͡ɕ a̠ m a̠
おぼっちゃん	o̞ b o̞ t̚ t͡ɕ ã̠ ɴ
おぼれじに	o̞ b o̞ ɾ e̞ ʑ i ɲ̟ i
おぼれる	o̞ b o̞ ɾ e̞ ɾ ɯ̟
おまいう	o̞ m a̠ i ɯ̟
おまいさん	o̞ m a̠ i s ã̠ ɴ
おまいつ	o̞ m a̠ i t͡s ɨ
おまえさん	o̞ m a̠ e̞ s ã̠ ɴ
おまけ	o̞ m a̠ k e̞
おます	o̞ m a̠ s ɨ
おまた	o̞ m a̠ t a̠
おまへん	o̞ m a̠ h ẽ̞ ɴ
おまる	o̞ m a̠ ɾ ɯ̟
おまん	o̞ m ã̠ ɴ
おまんこ	o̞ m ã̠ ŋ k o̞
おみゃあ	ò̞ m ǽː
おめ	o̞ m e̞
おめえさん	o̞ m e̞ː s ã̠ ɴ
おめかし	o̞ m e̞ k a̠ ɕ i
おめこ	o̞ m e̞ k o̞
おめさん	o̞ m e̞ s ã̠ ɴ
おめでた	o̞ m e̞ d e̞ t a̠
おめでとう	o̞ m e̞ d e̞ t o̞ː
おめでとうございます	o̞ m e̞ d e̞ t o̞ː ɡ o̞ z a̠ i m a̠ s ɨ̥
おも	o̞ m o̞
おもいいれ	o̞ m o̞ i i ɾ e̞
おもいえがく	o̞ m o̞ i e̞ ɡ a̠ k ɯ̟
おもいびと	o̞ m o̞ i bʲ i t o̞
おもき	o̞ m o̞ kʲ i
おもしろおかしい	o̞ m o̞ ɕ i ɾ o̞ o̞ k a̠ ɕ iː
おもたい	o̞ m o̞ t a̠ i
おもちかえり	o̞ m o̞ t͡ɕ i k a̠ e̞ ɾʲ i
おもなが	o̞ m o̞ n a̠ ɡ a̠
おももち	o̞ m o̞ m o̞ t͡ɕ i
おもろい	o̞ m o̞ ɾ o̞ i
おもろない	o̞ m o̞ ɾ o̞ n a̠ i
おもわせぶり	o̞ m o̞ β̞ a̠ s e̞ b ɯ̟ ɾʲ i
おもんない	o̞ m õ̞ nː a̠ i
おもんぱかり	o̞ m õ̞ m p a̠ k a̠ ɾʲ i
おや	o̞ j a̠
おやこ	o̞ j a̠ k o̞
おやばか	o̞ j a̠ b a̠ k a̠
おやびん	o̞ j a̠ bʲ ĩ ɴ
およそ	o̞ j o̞ s o̞
おらぶ	o̞ ɾ a̠ b ɯ̟
おり	o̞ ɾʲ i
おりおり	o̞ ɾʲ i o̞ ɾʲ i
おりたたみがさ	o̞ ɾʲ i t a̠ t a̠ mʲ i ɡ a̠ s a̠
おりめ	o̞ ɾʲ i m e̞
おりもの	o̞ ɾʲ i m o̞ n o̞
おる	o̞ ɾ ɯ̟
おれさま	o̞ ɾ e̞ s a̠ m a̠
おれっこ	o̞ ɾ e̞ k̚ k o̞
おれもの	o̞ ɾ e̞ m o̞ n o̞
おろおろ	o̞ ɾ o̞ː ɾ o̞
おろか	o̞ ɾ o̞ k a̠
おろかもの	o̞ ɾ o̞ k a̠ m o̞ n o̞
おわりね	o̞ β̞ a̠ ɾʲ i n e̞
おんおん	õ̞ ɰ̃ õ̞ ɴ
おんこ	õ̞ ŋ k o̞
おんながらみ	õ̞ nː a̠ ɡ a̠ ɾ a̠ mʲ i
おんなぐせ	õ̞ nː a̠ ɡ ɯ̟ s e̞
おんなたらし	õ̞ nː a̠ t a̠ ɾ a̠ ɕ i
おんなのこすわり	õ̞ nː a̠ n o̞ k o̞ s ɨ β̞ a̠ ɾʲ i
おんにゃのこ	õ̞ ɲ̟ː a̠ n o̞ k o̞
おんぶ	õ̞ m b ɯ̟
おんぼろ	õ̞ m b o̞ ɾ o̞
か	k a̠
かあいい	k a̠ː iː
かいあつめる	k a̠ i a̠ t͡s ɨ m e̞ ɾ ɯ̟
かいいれ	k a̠ i i ɾ e̞
かいけん	k a̠ i k ẽ̞ ɴ
かいたす	k a̠ i t a̠ s ɨ
かいつまむ	k a̠ i t͡s ɨ m a̠ m ɯ̟
かいひも	k a̠ i ç i m o̞
かいもとめる	k a̠ i m o̞ t o̞ m e̞ ɾ ɯ̟
かいもどす	k a̠ i m o̞ d o̞ s ɨ
かえ	k a̠ e̞
かえば	k a̠ e̞ b a̠
かえりうち	k a̠ e̞ ɾʲ i ɯ̟ t͡ɕ i
かえりち	k a̠ e̞ ɾʲ i t͡ɕ i
かえりみち	k a̠ e̞ ɾʲ i mʲ i t͡ɕ i
かえりよみ	k a̠ e̞ ɾʲ i j o̞ mʲ i
かえる	k a̠ e̞ ɾ ɯ̟
かおじゃしん	k a̠ o̞ ʑ a̠ ɕ ĩ ɴ
かおつき	k a̠ o̞ t͡s ɨ kʲ i
かおみせ	k a̠ o̞ mʲ i s e̞
かかあ	k a̠ k a̠ː
かかえて	k a̠ k a̠ e̞ t e̞
かかえる	k a̠ k a̠ e̞ ɾ ɯ̟
かかし	k a̠ k a̠ ɕ i
かかり	k a̠ k a̠ ɾʲ i
かかりむすび	k a̠ k a̠ ɾʲ i m ɯ̟ s ɨ bʲ i
かかわらず	k a̠ k a̠ β̞ a̠ ɾ a̠ z ɨ
かかわる	k a̠ k a̠ β̞ a̠ ɾ ɯ̟
かがく	k a̠ ɡ a̠ k ɯ̟
かがし	k a̠ ɡ a̠ ɕ i
かがやき	k a̠ ɡ a̠ j a̠ kʲ i
かがる	k a̠ ɡ a̠ ɾ ɯ̟
かがん	k a̠ ɡ ã̠ ɴ
かきあげ	k a̠ kʲ i a̠ ɡ e̞
かきおろし	k a̠ kʲ i o̞ ɾ o̞ ɕ i
かきおろす	k a̠ kʲ i o̞ ɾ o̞ s ɨ
かきくだす	k a̠ kʲ i k ɯ̟ d a̠ s ɨ
かきけす	k a̠ kʲ i k e̞ s ɨ
かきことば	k a̠ kʲ i k o̞ t o̞ b a̠
かきそんじ	k a̠ kʲ i s õ̞ ɲ̟ d͡ʑ i
かきだし	k a̠ kʲ i d a̠ ɕ i
かきて	k a̠ kʲ i t e̞
かきなぐる	k a̠ kʲ i n a̠ ɡ ɯ̟ ɾ ɯ̟
かきのこす	k a̠ kʲ i n o̞ k o̞ s ɨ
かぎあけ	k a̠ ɡʲ i a̠ k e̞
かぎしめ	k a̠ ɡʲ i ɕ i m e̞
かぎりない	k a̠ ɡʲ i ɾʲ i n a̠ i
かくかく	k a̠ k ɯ̟ k a̠ k ɯ̟
かくかくしかじか	k a̠ k ɯ̟ k a̠ k ɯ̟ ɕ i k a̠ ʑ i k a̠
かくしご	k a̠ k ɯ̟ ɕ i ɡ o̞
かくしごと	k a̠ k ɯ̟ ɕ i ɡ o̞ t o̞
かくして	k a̠ k ɯ̟̊ ɕ i t e̞
かくつく	k a̠ k ɯ̟ t͡s ɨ k ɯ̟
かくまき	k a̠ k ɯ̟ m a̠ kʲ i
かくれが	k a̠ k ɯ̟ ɾ e̞ ɡ a̠
かけあし	k a̠ k e̞ a̠ ɕ i
かけこみ	k a̠ k e̞ k o̞ mʲ i
かけこむ	k a̠ k e̞ k o̞ m ɯ̟
かけごえ	k a̠ k e̞ ɡ o̞ e̞
かけっこ	k a̠ k e̞ k̚ k o̞
かけよる	k a̠ k e̞ j o̞ ɾ ɯ̟
かげる	k a̠ ɡ e̞ ɾ ɯ̟
かげろう	k a̠ ɡ e̞ ɾ o̞ ɯ̟
かこいち	k a̠ k o̞ i t͡ɕ i
かさね	k a̠ s a̠ n e̞
かさねぎ	k a̠ s a̠ n e̞ ɡʲ i
かさねどり	k a̠ s a̠ n e̞ d o̞ ɾʲ i
かさばる	k a̠ s a̠ b a̠ ɾ ɯ̟
かさむ	k a̠ s a̠ m ɯ̟
かざ	k a̠ z a̠
かざす	k a̠ z a̠ s ɨ
かしきり	k a̠ ɕ i kʲ i ɾʲ i
かしきる	k a̠ ɕ i kʲ i ɾ ɯ̟
かしこ	k a̠ ɕ i̥ k o̞
かしこい	k a̠ ɕ i̥ k o̞ i
かす	k a̠ s ɨ
かすか	k a̠ s ɨ̥ k a̠
かすかす	k a̠ s ɨ k a̠ s ɨ
かすとり	k a̠ s ɨ t o̞ ɾʲ i
かすれる	k a̠ s ɨ ɾ e̞ ɾ ɯ̟
かずあわせ	k a̠ z ɨ a̠ β̞ a̠ s e̞
かせぐ	k a̠ s e̞ ɡ ɯ̟
かぞえ	k a̠ z o̞ e̞
かたあし	k a̠ t a̠ a̠ ɕ i
かたいれ	k a̠ t a̠ i ɾ e̞
かたうで	k a̠ t a̠ ɯ̟ d e̞
かたおや	k a̠ t a̠ o̞ j a̠
かたかた	k a̠ t a̠ k a̠ t a̠
かたがき	k a̠ t a̠ ɡ a̠ kʲ i
かたがわり	k a̠ t a̠ ɡ a̠ β̞ a̠ ɾʲ i
かたぎ	k a̠ t a̠ ɡʲ i
かたくな	k a̠ t a̠ k ɯ̟ n a̠
かたこと	k a̠ t a̠ k o̞ t o̞
かたじけない	k a̠ t a̠ ʑ i k e̞ n a̠ i
かたじけのう	k a̠ t a̠ ʑ i k e̞ n o̞ː
かたたたき	k a̠ t a̠ t a̠ t a̠ kʲ i
かたはば	k a̠ t a̠ h a̠ b a̠
かたや	k a̠ t a̠ j a̠
かたやぶり	k a̠ t a̠ j a̠ b ɯ̟ ɾʲ i
かたよる	k a̠ t a̠ j o̞ ɾ ɯ̟
かたらう	k a̠ t a̠ ɾ a̠ ɯ̟
かたりぐさ	k a̠ t a̠ ɾʲ i ɡ ɯ̟ s a̠
かたりつぐ	k a̠ t a̠ ɾʲ i t͡s ɨ ɡ ɯ̟
かたわら	k a̠ t a̠ β̞ a̠ ɾ a̠
かたん	k a̠ t ã̠ ɴ
かちかち	k a̠ t͡ɕ i k a̠ t͡ɕ i
かちぐみ	k a̠ t͡ɕ i ɡ ɯ̟ mʲ i
かちぐり	k a̠ t͡ɕ i ɡ ɯ̟ ɾʲ i
かちこみ	k a̠ t͡ɕ i k o̞ mʲ i
かちすじ	k a̠ t͡ɕ i s ɨ ʑ i
かちぬく	k a̠ t͡ɕ i n ɯ̟ k ɯ̟
かちゃかちゃ	k a̠ t͡ɕ a̠ k a̠ t͡ɕ a̠
かちん	k a̠ t͡ɕ ĩ ɴ
かっさらう	k a̠ sː a̠ ɾ a̠ ɯ̟
かったるい	k a̠ t̚ t a̠ ɾ ɯ̟ i
かっちょいい	k a̠ t̚ t͡ɕ o̞ iː
かっぺい	k a̠ p̚ p e̞ː
かつあげ	k a̠ t͡s ɨ a̠ ɡ e̞
かつて	k a̠ t͡s ɨ t e̞
かて	k a̠ t e̞
かとう	k a̠ t o̞ː
かどで	k a̠ d o̞ d e̞
かどまる	k a̠ d o̞ m a̠ ɾ ɯ̟
かどわかす	k a̠ d o̞ β̞ a̠ k a̠ s ɨ
かなくず	k a̠ n a̠ k ɯ̟ z ɨ
かなくそ	k a̠ n a̠ k ɯ̟ s o̞
かなり	k a̠ n a̠ ɾʲ i
かなん	k a̠ n ã̠ ɴ
かにかま	k a̠ ɲ̟ i k a̠ m a̠
かねあい	k a̠ n e̞ a̠ i
かねて	k a̠ n e̞ t e̞
かの	k a̠ n o̞
かばしら	k a̠ b a̠ ɕ i ɾ a̠
かばね	k a̠ b a̠ n e̞
かびる	k a̠ bʲ i ɾ ɯ̟
かぶりもの	k a̠ b ɯ̟ ɾʲ i m o̞ n o̞
かぼす	k a̠ b o̞ s ɨ
かま	k a̠ m a̠
かまう	k a̠ m a̠ ɯ̟
かまくら	k a̠ m a̠ k ɯ̟ ɾ a̠
かませいぬ	k a̠ m a̠ s e̞ː n ɯ̟
かまちょ	k a̠ m a̠ t͡ɕ o̞
かまとと	k a̠ m a̠ t o̞ t o̞
かまん	k a̠ m ã̠ ɴ
かみいろ	k a̠ mʲ iː ɾ o̞
かみきり	k a̠ mʲ i kʲ i ɾʲ i
かみきりむし	k a̠ mʲ i kʲ i ɾʲ i m ɯ̟ ɕ i
かみきれ	k a̠ mʲ i kʲ i ɾ e̞
かみごたえ	k a̠ mʲ i ɡ o̞ t a̠ e̞
かみざら	k a̠ mʲ i z a̠ ɾ a̠
かみだのみ	k a̠ mʲ i d a̠ n o̞ mʲ i
かみつく	k a̠ mʲ i t͡s ɨ k ɯ̟
かみぺら	k a̠ mʲ i p e̞ ɾ a̠
かみより	k a̠ mʲ i j o̞ ɾʲ i
かみわざ	k a̠ mʲ i β̞ a̠ z a̠
から	k a̠ ɾ a̠
からかう	k a̠ ɾ a̠ k a̠ ɯ̟
からかさ	k a̠ ɾ a̠ k a̠ s a̠
からから	k a̠ ɾ a̠ k a̠ ɾ a̠
からす	k a̠ ɾ a̠ s ɨ
からすとんび	k a̠ ɾ a̠ s ɨ̥ t õ̞ m bʲ i
からだ	k a̠ ɾ a̠ d a̠
からだつき	k a̠ ɾ a̠ d a̠ t͡s ɨ kʲ i
からぶみ	k a̠ ɾ a̠ b ɯ̟ mʲ i
からむし	k a̠ ɾ a̠ m ɯ̟ ɕ i
からめかす	k a̠ ɾ a̠ m e̞ k a̠ s ɨ
からめく	k a̠ ɾ a̠ m e̞ k ɯ̟
からもの	k a̠ ɾ a̠ m o̞ n o̞
かりうた	k a̠ ɾʲ i ɯ̟ t a̠
かりそめ	k a̠ ɾʲ i s o̞ m e̞
かりっと	k a̠ ɾʲ i t̚ t o̞
かりぱく	k a̠ ɾʲ i p a̠ k ɯ̟
かりも	k a̠ ɾʲ i m o̞
かれいい	k a̠ ɾ e̞ iː
かれえだ	k a̠ ɾ e̞ e̞ d a̠
かれは	k a̠ ɾ e̞ h a̠
かれはてる	k a̠ ɾ e̞ h a̠ t e̞ ɾ ɯ̟
かれぴっぴ	k a̠ ɾ e̞ pʲ i p̚ʲ pʲ i
かれる	k a̠ ɾ e̞ ɾ ɯ̟
かろやか	k a̠ ɾ o̞ j a̠ k a̠
かわあそび	k a̠ β̞ a̠ a̠ s o̞ bʲ i
かわいそう	k a̠ β̞ a̠ i s o̞ː
かわきり	k a̠ β̞ a̠ kʲ i ɾʲ i
かわぐつ	k a̠ β̞ a̠ ɡ ɯ̟ t͡s ɨ
かわぞい	k a̠ β̞ a̠ z o̞ i
