あ	a̠
うんら	ɯ̟̃ᵝ n ɾ a̠
え	e̞
えい	e̞ i
えい	e̞ː
えいあん	e̞ː ã̠ ɴ
えいい	e̞ iː
えいい	e̞ː i
えいえん	e̞ː ẽ̞ ɴ
えいか	e̞ː k a̠
えいかいわ	e̞ː k a̠ i ɰᵝ a̠
えいき	e̞ː kʲ i
えいきゅうきかん	e̞ː kʲ ɨᵝː kʲ i k ã̠ ɴ
えいきょう	e̞ː kʲ o̞ː
えいきん	e̞ː kʲ ĩ ɴ
えいくん	e̞ː k ɯ̟̃ᵝ ɴ
えいけつ	e̞ː k e̞ t͡s ɨᵝ
えいこ	e̞ː k o̞
えいこう	e̞ː k o̞ː
えいこく	e̞ː k o̞ k ɯ̟ᵝ
えいこせいすい	e̞ː k o̞ s e̞ː s ɨᵝ i
えいこん	e̞ː k õ̞ ɴ
えいさい	e̞ː s a̠ i
えいしゃ	e̞ː ɕ a̠
えいしゃき	e̞ː ɕ a̠ kʲ i
えいしゅ	e̞ː ɕ ɨᵝ
えいしゅん	e̞ː ɕ ɨ̃ᵝ ɴ
えいしゅんけん	e̞ː ɕ ɨ̃ᵝ ŋ k ẽ̞ ɴ
えいしょう	e̞ː ɕ o̞ː
えいしょく	e̞ː ɕ o̞ k ɯ̟ᵝ
えいすう	e̞ː s ɨᵝː
えいせい	e̞ː s e̞ː
えいせいてき	e̞ː s e̞ː t e̞ kʲ i
えいせいとし	e̞ː s e̞ː t o̞ ɕ i
えいてん	e̞ː t ẽ̞ ɴ
えいねん	e̞ː n ẽ̞ ɴ
えいへい	e̞ː h e̞ː
えいほう	e̞ː h o̞ː
えいみん	e̞ː mʲ ĩ ɴ
えいやく	e̞ː j a̠ k ɯ̟ᵝ
えいゆうたん	e̞ː j ɯ̟ᵝː t ã̠ ɴ
えいよ	e̞ː j o̞
えいよう	e̞ː j o̞ː
えいようえん	e̞ː j o̞ː ẽ̞ ɴ
えいようえんるい	e̞ː j o̞ː ẽ̞ n ɾ ɯ̟ᵝ i
えいようしっちょう	e̞ː j o̞ː ɕ i t̚ t͡ɕ o̞ː
えいようふりょう	e̞ː j o̞ː ɸ ɯ̟ᵝ ɾʲ o̞ː
えいり	e̞ː ɾʲ i
えいりょく	e̞ː ɾʲ o̞ k ɯ̟ᵝ
えいれい	e̞ː ɾ e̞ː
えいろく	e̞ː ɾ o̞ k ɯ̟ᵝ
えいん	e̞ ĩ ɴ
ええ	e̞ː
ええっと	e̞ː t̚ t o̞
ええと	e̞ː t o̞
えかき	e̞ k a̠ kʲ i
えき	e̞ kʲ i
えきいん	e̞ kʲ i ĩ ɴ
えきか	e̞ kʲ i k a̠
えききょう	e̞ kʲ i̥ kʲ o̞ː
えきしゃ	e̞ kʲ i ɕ a̠
えきそう	e̞ kʲ i s o̞ː
えきたい	e̞ kʲ i t a̠ i
えきたいさんそ	e̞ kʲ i t a̠ i s ã̠ ɰ̃ s o̞
えきたいせっけん	e̞ kʲ i t a̠ i s e̞ k̚ k ẽ̞ ɴ
えきたいちっそ	e̞ kʲ i t a̠ i t͡ɕ i sː o̞
えきちゅう	e̞ kʲ i̥ t͡ɕ ɨᵝː
えきちょう	e̞ kʲ i̥ t͡ɕ o̞ː
えきてき	e̞ kʲ i t e̞ kʲ i
えきとう	e̞ kʲ i t o̞ː
えきむ	e̞ kʲ i m ɯ̟ᵝ
えきめい	e̞ kʲ i m e̞ː
えきめいひょう	e̞ kʲ i m e̞ː ç o̞ː
えきもれ	e̞ kʲ i m o̞ ɾ e̞
えきらん	e̞ kʲ i ɾ ã̠ ɴ
えこひいき	e̞ k o̞ ç iː kʲ i
えさ	e̞ s a̠
えさし	e̞ s a̠ ɕ i
えさもち	e̞ s a̠ m o̞ t͡ɕ i
えし	e̞ ɕ i
えしゃく	e̞ ɕ a̠ k ɯ̟ᵝ
えず	e̞ z ɨᵝ
えせ	e̞ s e̞
えそ	e̞ s o̞
えぞ	e̞ z o̞
えた	e̞ t a̠
えたい	e̞ t a̠ i
えちえち	e̞ t͡ɕ i e̞ t͡ɕ i
えっきょう	e̞ k̚ʲ kʲ o̞ː
えっけん	e̞ k̚ k ẽ̞ ɴ
えっとう	e̞ t̚ t o̞ː
えつ	e̞ t͡s ɨᵝ
えつにいる	e̞ t͡s ɨᵝ ɲ̟ i i ɾ ɯ̟ᵝ
えつらく	e̞ t͡s ɨᵝ ɾ a̠ k ɯ̟ᵝ
えつらん	e̞ t͡s ɨᵝ ɾ ã̠ ɴ
えつらんしつ	e̞ t͡s ɨᵝ ɾ ã̠ ɰ̃ ɕ i t͡s ɨᵝ
えてして	e̞ t e̞ ɕ i t e̞
えとく	e̞ t o̞ k ɯ̟ᵝ
えにっき	e̞ ɲ̟ i k̚ʲ kʲ i
えにわ	e̞ ɲ̟ i ɰᵝ a̠
えぬ	e̞ n ɯ̟ᵝ
えのきたけ	e̞ n o̞ kʲ i t a̠ k e̞
えひめ	e̞ ç i m e̞
えひめけん	e̞ ç i m e̞ k ẽ̞ ɴ
えび	e̞ bʲ i
えびす	e̞ bʲ i s ɨᵝ
えふ	e̞ ɸ ɯ̟ᵝ
えほうまき	e̞ h o̞ː m a̠ kʲ i
えま	e̞ m a̠
えみ	e̞ mʲ i
えみこ	e̞ mʲ i k o̞
えむ	e̞ m ɯ̟ᵝ
えもと	e̞ m o̞ t o̞
えもの	e̞ m o̞ n o̞
えもん	e̞ m õ̞ ɴ
えもんふ	e̞ m õ̞ ɰ̃ ɸ ɯ̟ᵝ
えやみ	e̞ j a̠ mʲ i
えら	e̞ ɾ a̠
えらあな	e̞ ɾ a̠ a̠ n a̠
えらい	e̞ ɾ a̠ i
えらそう	e̞ ɾ a̠ s o̞ː
えり	e̞ ɾʲ i
えりか	e̞ ɾʲ i k a̠
えりしょう	e̞ ɾʲ i ɕ o̞ː
えりぬき	e̞ ɾʲ i n ɯ̟ᵝ kʲ i
えりまき	e̞ ɾʲ i m a̠ kʲ i
えりもと	e̞ ɾʲ i m o̞ t o̞
える	e̞ ɾ ɯ̟ᵝ
えん	ẽ̞ ɴ
えんあん	ẽ̞ ɰ̃ ã̠ ɴ
えんえき	ẽ̞ ɰ̃ e̞ kʲ i
えんえきほう	ẽ̞ ɰ̃ e̞ kʲ i h o̞ː
えんえん	ẽ̞ ɰ̃ ẽ̞ ɴ
えんか	ẽ̞ ŋ k a̠
えんかい	ẽ̞ ŋ k a̠ i
えんかく	ẽ̞ ŋ k a̠ k ɯ̟ᵝ
えんかくそうさ	ẽ̞ ŋ k a̠ k ɯ̟ᵝ s o̞ː s a̠
えんかつ	ẽ̞ ŋ k a̠ t͡s ɨᵝ
えんかん	ẽ̞ ŋ k ã̠ ɴ
えんかんこう	ẽ̞ ŋ k ã̠ ŋ k o̞ː
えんき	ẽ̞ ŋʲ kʲ i
えんきせい	ẽ̞ ŋʲ kʲ i̥ s e̞ː
えんきょりれんあい	ẽ̞ ŋʲ kʲ o̞ ɾʲ i ɾ ẽ̞ ɰ̃ a̠ i
えんきり	ẽ̞ ŋʲ kʲ i ɾʲ i
えんきん	ẽ̞ ŋʲ kʲ ĩ ɴ
えんきんほう	ẽ̞ ŋʲ kʲ ĩ ɰ̃ h o̞ː
えんこ	ẽ̞ ŋ k o̞
えんこう	ẽ̞ ŋ k o̞ː
えんこし	ẽ̞ ŋ k o̞ ɕ i
えんこん	ẽ̞ ŋ k õ̞ ɴ
えんさん	ẽ̞ ɰ̃ s ã̠ ɴ
えんし	ẽ̞ ɰ̃ ɕ i
えんしゅう	ẽ̞ ɰ̃ ɕ ɨᵝː
えんしゅうりつ	ẽ̞ ɰ̃ ɕ ɨᵝː ɾʲ i t͡s ɨᵝ
えんしゅつ	ẽ̞ ɰ̃ ɕ ɨᵝ t͡s ɨᵝ
えんしょ	ẽ̞ ɰ̃ ɕ o̞
えんしょう	ẽ̞ ɰ̃ ɕ o̞ː
えんしょく	ẽ̞ ɰ̃ ɕ o̞ k ɯ̟ᵝ
えんしん	ẽ̞ ɰ̃ ɕ ĩ ɴ
えんすい	ẽ̞ ɰ̃ s ɨᵝ i
えんすいかくまく	ẽ̞ ɰ̃ s ɨᵝ i k a̠ k ɯ̟ᵝ m a̠ k ɯ̟ᵝ
えんすいきょくせん	ẽ̞ ɰ̃ s ɨᵝ i kʲ o̞ k ɯ̟̊ᵝ s ẽ̞ ɴ
えんせい	ẽ̞ ɰ̃ s e̞ː
えんせいか	ẽ̞ ɰ̃ s e̞ː k a̠
えんせいかん	ẽ̞ ɰ̃ s e̞ː k ã̠ ɴ
えんせいてき	ẽ̞ ɰ̃ s e̞ː t e̞ kʲ i
えんせき	ẽ̞ ɰ̃ s e̞ kʲ i
えんせん	ẽ̞ ɰ̃ s ẽ̞ ɴ
えんそ	ẽ̞ ɰ̃ s o̞
えんそう	ẽ̞ ɰ̃ s o̞ː
えんそうか	ẽ̞ ɰ̃ s o̞ː k a̠
えんそうかい	ẽ̞ ɰ̃ s o̞ː k a̠ i
えんそうしゃ	ẽ̞ ɰ̃ s o̞ː ɕ a̠
えんたく	ẽ̞ n t a̠ k ɯ̟ᵝ
えんたつ	ẽ̞ n t a̠ t͡s ɨᵝ
えんたん	ẽ̞ n t ã̠ ɴ
えんち	ẽ̞ ɲ̟ t͡ɕ i
えんちゃく	ẽ̞ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
えんちゅうしょう	ẽ̞ ɲ̟ t͡ɕ ɨᵝː ɕ o̞ː
えんちゅうひょう	ẽ̞ ɲ̟ t͡ɕ ɨᵝː ç o̞ː
えんちょ	ẽ̞ ɲ̟ t͡ɕ o̞
えんちょう	ẽ̞ ɲ̟ t͡ɕ o̞ː
えんちょうせん	ẽ̞ ɲ̟ t͡ɕ o̞ː s ẽ̞ ɴ
えんちょく	ẽ̞ ɲ̟ t͡ɕ o̞ k ɯ̟ᵝ
えんてい	ẽ̞ n t e̞ː
えんてん	ẽ̞ n t ẽ̞ ɴ
えんでん	ẽ̞ n d ẽ̞ ɴ
えんとう	ẽ̞ n t o̞ː
えんとうし	ẽ̞ n t o̞ː ɕ i
えんとつ	ẽ̞ n t o̞ t͡s ɨᵝ
えんどん	ẽ̞ n d õ̞ ɴ
えんない	ẽ̞ nː a̠ i
えんにち	ẽ̞ ɲ̟ ɲ̟ i t͡ɕ i
えんねつ	ẽ̞ nː e̞ t͡s ɨᵝ
えんま	ẽ̞ mː a̠
えんまく	ẽ̞ mː a̠ k ɯ̟ᵝ
えんまん	ẽ̞ mː ã̠ ɴ
えんむ	ẽ̞ mː ɯ̟ᵝ
えんむしつ	ẽ̞ mː ɯ̟ᵝ ɕ i t͡s ɨᵝ
えんめい	ẽ̞ mː e̞ː
えんやこら	ẽ̞ ɰ̃ j a̠ k o̞ ɾ a̠
えんやす	ẽ̞ ɰ̃ j a̠ s ɨᵝ
えんらい	ẽ̞ n ɾ a̠ i
えんりょ	ẽ̞ n ɾʲ o̞
えんるい	ẽ̞ n ɾ ɯ̟ᵝ i
えんろ	ẽ̞ n ɾ o̞
えんろう	ẽ̞ n ɾ o̞ː
えーっと	e̞ː t̚ t o̞
えーと	e̞ː t o̞
お	o̞
おい	o̞ i
おいうち	o̞ i ɯ̟ᵝ t͡ɕ i
おいうつ	o̞ i ɯ̟ᵝ t͡s ɨᵝ
おいおい	o̞ i o̞ i
おいかけっこ	o̞ i k a̠ k e̞ k̚ k o̞
おいかける	o̞ i k a̠ k e̞ ɾ ɯ̟ᵝ
おいこし	o̞ i k o̞ ɕ i
おいこす	o̞ i k o̞ s ɨᵝ
おいこむ	o̞ i k o̞ m ɯ̟ᵝ
おいしい	o̞ i ɕ iː
おいたち	o̞ i t a̠ t͡ɕ i
おいたつ	o̞ i t a̠ t͡s ɨᵝ
おいちらす	o̞ i t͡ɕ i ɾ a̠ s ɨᵝ
おいっこ	o̞ i k̚ k o̞
おいつく	o̞ i t͡s ɨᵝ k ɯ̟ᵝ
おいつめる	o̞ i t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
おいて	o̞ i t e̞
おいぬく	o̞ i n ɯ̟ᵝ k ɯ̟ᵝ
おいはらう	o̞ i h a̠ ɾ a̠ ɯ̟ᵝ
おいらん	o̞ i ɾ ã̠ ɴ
おいる	o̞ i ɾ ɯ̟ᵝ
おいわけ	o̞ i ɰᵝ a̠ k e̞
おう	o̞ ɯ̟ᵝ
おう	o̞ː
おういん	o̞ː ĩ ɴ
おううつ	o̞ː ɯ̟ᵝ t͡s ɨᵝ
おうえん	o̞ː ẽ̞ ɴ
おうおうにして	o̞ː o̞ː ɲ̟ i ɕ i t e̞
おうか	o̞ː k a̠
おうかくまく	o̞ː k a̠ k ɯ̟ᵝ m a̠ k ɯ̟ᵝ
おうかん	o̞ː k ã̠ ɴ
おうきゅう	o̞ː kʲ ɨᵝː
おうけ	o̞ː k e̞
おうこう	o̞ː k o̞ː
おうこく	o̞ː k o̞ k ɯ̟ᵝ
おうさい	o̞ː s a̠ i
おうさか	o̞ː s a̠ k a̠
おうさま	o̞ː s a̠ m a̠
おうし	o̞ ɯ̟ᵝ ɕ i
おうしゃく	o̞ː ɕ a̠ k ɯ̟ᵝ
おうしゅう	o̞ː ɕ ɨᵝː
おうしょうしゃ	o̞ː ɕ o̞ː ɕ a̠
おうしょうへい	o̞ː ɕ o̞ː h e̞ː
おうじょ	o̞ː ʑ o̞
おうすい	o̞ː s ɨᵝ i
おうせ	o̞ː s e̞
おうせい	o̞ː s e̞ː
おうせいふっこ	o̞ː s e̞ː ɸ ɯ̟ᵝ k̚ k o̞
おうせつ	o̞ː s e̞ t͡s ɨᵝ
おうたい	o̞ː t a̠ i
おうたいし	o̞ː t a̠ i ɕ i
おうちゃく	o̞ː t͡ɕ a̠ k ɯ̟ᵝ
おうちょう	o̞ː t͡ɕ o̞ː
おうてっこう	o̞ː t e̞ k̚ k o̞ː
おうてん	o̞ː t ẽ̞ ɴ
おうと	o̞ː t o̞
おうとう	o̞ː t o̞ː
おうとうき	o̞ː t o̞ː kʲ i
おうとつ	o̞ː t o̞ t͡s ɨᵝ
おうな	o̞ː n a̠
おうなつ	o̞ː n a̠ t͡s ɨᵝ
おうねん	o̞ː n ẽ̞ ɴ
おうのう	o̞ː n o̞ː
おうひ	o̞ː ç i
おうふ	o̞ː ɸ ɯ̟ᵝ
おうふく	o̞ː ɸ ɯ̟ᵝ k ɯ̟ᵝ
おうへい	o̞ː h e̞ː
おうまえ	o̞ː m a̠ e̞
おうむ	o̞ː m ɯ̟ᵝ
おうめんきょう	o̞ː m ẽ̞ ŋʲ kʲ o̞ː
おうよう	o̞ː j o̞ː
おうりょう	o̞ː ɾʲ o̞ː
おうりょく	o̞ː ɾʲ o̞ k ɯ̟ᵝ
おうりょくこう	o̞ː ɾʲ o̞ k ɯ̟ᵝ k o̞ː
おうりょくしょく	o̞ː ɾʲ o̞ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
おうれん	o̞ː ɾ ẽ̞ ɴ
おえ	o̞ e̞
おえかき	o̞ e̞ k a̠ kʲ i
おえる	o̞ e̞ ɾ ɯ̟ᵝ
おおあな	o̞ː a̠ n a̠
おおあめ	o̞ː a̠ m e̞
おおあらい	o̞ː a̠ ɾ a̠ i
おおありくい	o̞ː a̠ ɾʲ i k ɯ̟ᵝ i
おおい	o̞ː i
おおいかくす	o̞ː i k a̠ k ɯ̟ᵝ s ɨᵝ
おおいたけん	o̞ː i t a̠ k ẽ̞ ɴ
おおいに	o̞ː i ɲ̟ i
おおう	o̞ː ɯ̟ᵝ
おおうそ	o̞ː ɯ̟ᵝ s o̞
おおうち	o̞ː ɯ̟ᵝ t͡ɕ i
おおか	o̞ː k a̠
おおかた	o̞ː k a̠ t a̠
おおかみ	o̞ː k a̠ mʲ i
おおかみおとこ	o̞ː k a̠ mʲ i o̞ t o̞ k o̞
おおかみおんな	o̞ː k a̠ mʲ i õ̞ nː a̠
おおきい	o̞ː kʲ iː
おおきに	o̞ː kʲ i ɲ̟ i
おおきみ	o̞ː kʲ i mʲ i
おおきめ	o̞ː kʲ i m e̞
おおくにぬし	o̞ː k ɯ̟ᵝ ɲ̟ i n ɯ̟ᵝ ɕ i
おおくらきょう	o̞ː k ɯ̟ᵝ ɾ a̠ kʲ o̞ː
おおくらしょう	o̞ː k ɯ̟ᵝ ɾ a̠ ɕ o̞ː
おおこうち	o̞ː k o̞ː t͡ɕ i
おおこうもり	o̞ː k o̞ː m o̞ ɾʲ i
おおこけ	o̞ː k o̞ k e̞
おおさかふ	o̞ː s a̠ k a̠ ɸ ɯ̟ᵝ
おおさこ	o̞ː s a̠ k o̞
おおさんしょううお	o̞ː s ã̠ ɰ̃ ɕ o̞ː ɯ̟ᵝ o̞
おおし	o̞ː ɕ i
おおしい	o̞ː ɕ iː
おおしけ	o̞ː ɕ i k e̞
おおしま	o̞ː ɕ i m a̠
おおじか	o̞ː ʑ i k a̠
おおじがふぐり	o̞ː ʑ i ɡ a̠ ɸ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾʲ i
おおせ	o̞ː s e̞
おおぜい	o̞ː z e̞ː
おおたか	o̞ː t a̠ k a̠
おおたわら	o̞ː t a̠ ɰᵝ a̠ ɾ a̠
おおつ	o̞ː t͡s ɨᵝ
おおづつ	o̞ː z ɨᵝ t͡s ɨᵝ
おおとり	o̞ː t o̞ ɾʲ i
おおなみ	o̞ː n a̠ mʲ i
おおね	o̞ː n e̞
おおはくちょう	o̞ː h a̠ k ɯ̟̊ᵝ t͡ɕ o̞ː
おおはし	o̞ː h a̠ ɕ i
おおまか	o̞ː m a̠ k a̠
おおみず	o̞ː mʲ i z ɨᵝ
おおみそか	o̞ː mʲ i s o̞ k a̠
おおむかし	o̞ː m ɯ̟ᵝ k a̠ ɕ i
おおむね	o̞ː m ɯ̟ᵝ n e̞
おおめ	o̞ː m e̞
おおもと	o̞ː m o̞ t o̞
おおもの	o̞ː m o̞ n o̞
おおもり	o̞ː m o̞ ɾʲ i
おおやけ	o̞ː j a̠ k e̞
おおやしま	o̞ː j a̠ ɕ i m a̠
おおやまつみ	o̞ː j a̠ m a̠ t͡s ɨᵝ mʲ i
おおやまつみのかみ	o̞ː j a̠ m a̠ t͡s ɨᵝ mʲ i n o̞ k a̠ mʲ i
おおやまつみのみこと	o̞ː j a̠ m a̠ t͡s ɨᵝ mʲ i n o̞ mʲ i k o̞ t o̞
おおやまとねこのすめらみこと	o̞ː j a̠ m a̠ t o̞ n e̞ k o̞ n o̞ s ɨᵝ m e̞ ɾ a̠ mʲ i k o̞ t o̞
おおやまねこ	o̞ː j a̠ m a̠ n e̞ k o̞
おおらか	o̞ː ɾ a̠ k a̠
おおるり	o̞ː ɾ ɯ̟ᵝ ɾʲ i
おおわし	o̞ː ɰᵝ a̠ ɕ i
おおわらい	o̞ː ɰᵝ a̠ ɾ a̠ i
おおわらわ	o̞ː ɰᵝ a̠ ɾ a̠ ɰᵝ a̠
おか	o̞ k a̠
おかあさん	o̞ k a̠ː s ã̠ ɴ
おかえり	o̞ k a̠ e̞ ɾʲ i
おかえりなさい	o̞ k a̠ e̞ ɾʲ i n a̠ s a̠ i
おかけになる	o̞ k a̠ k e̞ ɲ̟ i n a̠ ɾ ɯ̟ᵝ
おかし	o̞ k a̠ ɕ i
おかしい	o̞ k a̠ ɕ iː
おかしな	o̞ k a̠ ɕ i n a̠
おかしや	o̞ k a̠ ɕ i j a̠
おかす	o̞ k a̠ s ɨᵝ
おかた	o̞ k a̠ t a̠
おかだ	o̞ k a̠ d a̠
おかね	o̞ k a̠ n e̞
おかはら	o̞ k a̠ h a̠ ɾ a̠
おかま	o̞ k a̠ m a̠
おかまい	o̞ k a̠ m a̠ i
おかみ	o̞ k a̠ mʲ i
おかもち	o̞ k a̠ m o̞ t͡ɕ i
おかやま	o̞ k a̠ j a̠ m a̠
おかやまけん	o̞ k a̠ j a̠ m a̠ k ẽ̞ ɴ
おから	o̞ k a̠ ɾ a̠
おかわり	o̞ k a̠ ɰᵝ a̠ ɾʲ i
おき	o̞ kʲ i
おきあみ	o̞ kʲ i a̠ mʲ i
おきた	o̞ kʲ i t a̠
おきて	o̞ kʲ i t e̞
おきな	o̞ kʲ i n a̠
おきなわ	o̞ kʲ i n a̠ ɰᵝ a̠
おきなわけん	o̞ kʲ i n a̠ ɰᵝ a̠ k ẽ̞ ɴ
おきぬけ	o̞ kʲ i n ɯ̟ᵝ k e̞
おきはい	o̞ kʲ i h a̠ i
おきもちひょうめい	o̞ kʲ i m o̞ t͡ɕ i ç o̞ː m e̞ː
おきゃく	o̞ kʲ a̠ k ɯ̟ᵝ
おきゃくさま	o̞ kʲ a̠ k ɯ̟̊ᵝ s a̠ m a̠
おきゃくさん	o̞ kʲ a̠ k ɯ̟̊ᵝ s ã̠ ɴ
おきや	o̞ kʲ i j a̠
おきる	o̞ kʲ i ɾ ɯ̟ᵝ
おきわすれる	o̞ kʲ i ɰᵝ a̠ s ɨᵝ ɾ e̞ ɾ ɯ̟ᵝ
おく	o̞ k ɯ̟ᵝ
おくう	o̞ k ɯ̟ᵝ ɯ̟ᵝ
おくさま	o̞ k ɯ̟̊ᵝ s a̠ m a̠
おくさん	o̞ k ɯ̟̊ᵝ s ã̠ ɴ
おくする	o̞ k ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ
おくそこ	o̞ k ɯ̟ᵝ s o̞ k o̞
おくち	o̞ k ɯ̟ᵝ t͡ɕ i
おくない	o̞ k ɯ̟ᵝ n a̠ i
おくのて	o̞ k ɯ̟ᵝ n o̞ t e̞
おくはら	o̞ k ɯ̟ᵝ h a̠ ɾ a̠
おくまる	o̞ k ɯ̟ᵝ m a̠ ɾ ɯ̟ᵝ
おくまん	o̞ k ɯ̟ᵝ m ã̠ ɴ
おくめん	o̞ k ɯ̟ᵝ m ẽ̞ ɴ
おくゆかしい	o̞ k ɯ̟ᵝ j ɯ̟ᵝ k a̠ ɕ iː
おくらいり	o̞ k ɯ̟ᵝ ɾ a̠ i ɾʲ i
おくらせる	o̞ k ɯ̟ᵝ ɾ a̠ s e̞ ɾ ɯ̟ᵝ
おくりな	o̞ k ɯ̟ᵝ ɾʲ i n a̠
おくりむかえ	o̞ k ɯ̟ᵝ ɾʲ i m ɯ̟ᵝ k a̠ e̞
おくりもの	o̞ k ɯ̟ᵝ ɾʲ i m o̞ n o̞
おくる	o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
おくれ	o̞ k ɯ̟ᵝ ɾ e̞
おくれる	o̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
おぐら	o̞ ɡ ɯ̟ᵝ ɾ a̠
おけけ	o̞ k e̞ k e̞
おこし	o̞ k o̞ ɕ i
おこす	o̞ k o̞ s ɨᵝ
おこたる	o̞ k o̞ t a̠ ɾ ɯ̟ᵝ
おこなう	o̞ k o̞ n a̠ ɯ̟ᵝ
おこのみやき	o̞ k o̞ n o̞ mʲ i j a̠ kʲ i
おこもり	o̞ k o̞ m o̞ ɾʲ i
おこる	o̞ k o̞ ɾ ɯ̟ᵝ
おこわ	o̞ k o̞ ɰᵝ a̠
おさえ	o̞ s a̠ e̞
おさえる	o̞ s a̠ e̞ ɾ ɯ̟ᵝ
おさけ	o̞ s a̠ k e̞
おさない	o̞ s a̠ n a̠ i
おさひと	o̞ s a̠ ç i t o̞
おさふ	o̞ s a̠ ɸ ɯ̟ᵝ
おさまる	o̞ s a̠ m a̠ ɾ ɯ̟ᵝ
おさめる	o̞ s a̠ m e̞ ɾ ɯ̟ᵝ
おさらい	o̞ s a̠ ɾ a̠ i
おさわり	o̞ s a̠ ɰᵝ a̠ ɾʲ i
おし	o̞ ɕ i
おしあう	o̞ ɕ i a̠ ɯ̟ᵝ
おしい	o̞ ɕ i i
おしいる	o̞ ɕ i i ɾ ɯ̟ᵝ
おしいれ	o̞ ɕ i i ɾ e̞
おしいろ	o̞ ɕ i i ɾ o̞
おしうみ	o̞ ɕ i ɯ̟ᵝ mʲ i
おしえさとす	o̞ ɕ i e̞ s a̠ t o̞ s ɨᵝ
おしえてくん	o̞ ɕ i e̞ t e̞ k ɯ̟̃ᵝ ɴ
おしえる	o̞ ɕ i e̞ ɾ ɯ̟ᵝ
おしおき	o̞ ɕ i o̞ kʲ i
おしかける	o̞ ɕ i k a̠ k e̞ ɾ ɯ̟ᵝ
おしかつ	o̞ ɕ i k a̠ t͡s ɨᵝ
おしきる	o̞ ɕ i kʲ i ɾ ɯ̟ᵝ
おしこむ	o̞ ɕ i k o̞ m ɯ̟ᵝ
おしころす	o̞ ɕ i k o̞ ɾ o̞ s ɨᵝ
おしすすめる	o̞ ɕ i s ɨᵝ s ɨᵝ m e̞ ɾ ɯ̟ᵝ
おしっこ	o̞ ɕ i k̚ k o̞
おしつける	o̞ ɕ i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
おしはかる	o̞ ɕ i h a̠ k a̠ ɾ ɯ̟ᵝ
おしへん	o̞ ɕ i h ẽ̞ ɴ
おしまい	o̞ ɕ i m a̠ i
おしむ	o̞ ɕ i m ɯ̟ᵝ
おしゃか	o̞ ɕ a̠ k a̠
おしゃかさま	o̞ ɕ a̠ k a̠ s a̠ m a̠
おしゃれ	o̞ ɕ a̠ ɾ e̞
おしや	o̞ ɕ i j a̠
おしよせる	o̞ ɕ i j o̞ s e̞ ɾ ɯ̟ᵝ
おしり	o̞ ɕ i ɾʲ i
おしろ	o̞ ɕ i ɾ o̞
おしんこ	ɕ ĩ ŋ k o̞
おす	o̞ s ɨᵝ
おす	ɕ o̞ k ɯ̟ᵝ s ɨᵝ
おすすめ	o̞ s ɨᵝ s ɨᵝ m e̞
おすそわけ	o̞ s ɨᵝ s o̞ ɰᵝ a̠ k e̞
おせっせ	o̞ s e̞ sː e̞
おせん	o̞ s ẽ̞ ɴ
おそ	o̞ s o̞
おそい	o̞ s o̞ i
おそう	o̞ s o̞ ɯ̟ᵝ
おそう	o̞ s o̞ː
おそかれはやかれ	o̞ s o̞ k a̠ ɾ e̞ h a̠ j a̠ k a̠ ɾ e̞
おそそ	o̞ s o̞ s o̞
おそめ	o̞ s o̞ m e̞
おそらく	o̞ s o̞ ɾ a̠ k ɯ̟ᵝ
おそる	o̞ s o̞ ɾ ɯ̟ᵝ
おそれ	o̞ s o̞ ɾ e̞
おそれいる	o̞ s o̞ ɾ e̞ i ɾ ɯ̟ᵝ
おそれる	o̞ s o̞ ɾ e̞ ɾ ɯ̟ᵝ
おそろしい	o̞ s o̞ ɾ o̞ ɕ i i
おそわる	o̞ s o̞ ɰᵝ a̠ ɾ ɯ̟ᵝ
おそん	o̞ s õ̞ ɴ
おた	o̞ t a̠
おたかくとまる	o̞ t a̠ k a̠ k ɯ̟ᵝ t o̞ m a̠ ɾ ɯ̟ᵝ
おたかつ	o̞ t a̠ k a̠ t͡s ɨᵝ
おたく	o̞ t a̠ k ɯ̟ᵝ
おたとも	o̞ t a̠ t o̞ m o̞
おたま	o̞ t a̠ m a̠
おだ	o̞ d a̠
おち	o̞ t͡ɕ i
おちいる	o̞ t͡ɕ i i ɾ ɯ̟ᵝ
おちこむ	o̞ t͡ɕ i k o̞ m ɯ̟ᵝ
おちつく	o̞ t͡ɕ i t͡s ɨ̥ᵝ k ɯ̟ᵝ
おちつける	o̞ t͡ɕ i t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
おちむしゃ	o̞ t͡ɕ i m ɯ̟ᵝ ɕ a̠
おちめ	o̞ t͡ɕ i m e̞
おちゃ	o̞ t͡ɕ a̠
おちゃこ	o̞ t͡ɕ a̠ k o̞
おちゃする	o̞ t͡ɕ a̠ s ɨᵝ ɾ ɯ̟ᵝ
