Ааӷәа	aː ʁʷ a
кьам'а	kʰʲ a mˤ a
кьанасу	kʼʲ a n a s ə w
кьарахәа	kʼʲ a r a χʷ a
кәашькь	kʼʷ a ʃ kʼʲ
кәыкәм'ав'	kʼʷ ə kʼʷ mˤ a vˤ
кәыпы	kʼʷ ə pʼ ə
Қаламаҭ	kʰ a l a m a tʰ
қамԥ	kʰ a m pʰ
қаса	kʰ a s a
қауар	kʰ a w a r
қефҽы	kʰ e̞ f ʈ ʂʰ ə
қилиса	kʰ i l i s a
қоза	kʰ o z a
қьааҳаҭ	kʰʲ aː h a tʰ
қьаӷ	kʰʲ a ʁ
қьаԥоу	kʰʲ a pʰ o̞ w
қьир	kʰʲ i r
қьои	kʰʲ o̞ j
қьыныҫәа	kʰʲ ə n ə ɕʷ a
қәабжа	kʰʷ a b ʐ a
қәы	kʰʷ ə
қәыԯамыџь	kʰʷ ə ɬ a m ə d ʒ
Қәышьықә	kʰʷ ə ʃ ə kʰʷ
ҟаапа	qʼ aː pʼ a
ҟааҭа	qʼ aː tʰ a
ҟада	qʼ a d a
ҟаԯьа	qʼ a ɬʼ a
Ҟамлаҭ	qʼ a m l a tʰ
ҟапа	qʼ a pʼ a
ҟасаба	qʼ a s a b a
ҟасеҭбза	qʼ a s e̞ tʰ b z a
Ҟасеҭшәабла	qʼ a s e̞ tʰ ʃʷ a b l a
ҟауа	qʼ a w a
ҟауж	qʼ a w ə ʐ
ҟашха	qʼ a ʂ χ a
ҟашхауаԯ	qʼ a ʂ χ a w a ɬ
ҟынҭәа	qʼ ə n tʰʷ a
ҟьыҵә	qʼʲ ə t ɕʼʷ
ҟьыҵәҟа	qʼʲ ə t ɕʼʷ qʼ a
ҟәарыҵәа	qʼʷ a r ə t ɕʼʷ a
ҟәау	qʼʷ a w ə
ҟ'аб'агьы	qˤʼ a bˤ a ɡʲ ə
ҟ'аб'цәа	qˤʼ a bˤ t ɕʰʷ a
ҟ'амаҟ'	qˤʼ a m a qˤʼ
ҟ'анӡаҟ'ә	qˤʼ a n d z a qˤʼʷ
ҟ'әы	qˤʼʷ ə
ҟ'әызаҷы	qˤʼʷ ə z a t ʃʼ ə
ӄ	q
ӄа	q a
ӄабасӄа	q a b a s q a
ӄадифа	q a d i f a
ӄадыԯшәа	q a d ə ɬ ʃʷ a
ӄаз	q a z
ӄаиқ	q a j ə kʰ
ӄаиқџы	q a j ə kʰ ɖ ʐ ə
ӄаиҵәадыԯшәа	q a j t ɕʼʷ a d ə ɬ ʃʷ a
ӄалаҟа	q a l a qʼ a
ӄамчы	q a m t ʃʰ ə
ӄарар	q a r a r
ӄароу	q a r a w
ӄасы	q a s ə
ӄаҭыр	q a tʰ ə r
ӄацәиа	q a t ɕʰʷ ə j a
ӄаџыӄ	q a ɖ ʐ ə q
Ӄурӏан	q u r ʔ a n
ӄыҟа	q ə qʼ a
ӄырԥыз	q ə r pʰ ə z
ӄәымаала	qʷ ə m aː l a
ӄ'ала	qˤ a l a
ӄ'ыԯы	qˤ ə ɬ ə
ӄ'әаӷ'ы	qˤʷ a ʁˤ ə
Ӄ'әыҟ'әышә	qˤʷ ə qˤʼʷ ə ʃʷ
лаажьа	l aː ʒ a
Лаӷ'әа	l a ʁˤʷ a
лаҟа	l a qʼ a
лаҟабыша	l a qʼ a b ə ʂ a
лаҟаҫха	l a qʼ a ɕ χ a
лаҟьы	l a qʼʲ ə
лаҟәыма	l a qʼʷ ə m a
ламба	l a m b a
ландәа	l a n dʷ a
ландәаҭәыӡьа	l a n dʷ a tʰʷ ə d ʑ a
лаҳбза	l a h b z a
Лаҳшәабла	l a h ʃʷ a b l a
леилақ	l e̞ j l a kʰ
леишәа	l e̞ j ʃʷ a
лу'а	l wˤ a
ԯа	ɬ a
ԯаапа	ɬ aː pʼ a
ԯаапагә	ɬ aː pʼ a ɡʷ
ԯаапарыҫәа	ɬ aː pʼ a r ə ɕʷ a
ԯаача	ɬ aː t ʃʰ a
ԯабжьа	ɬ a b ʒ a
ԯамса	ɬ a m s a
ԯанцәа	ɬ a n t ɕʰʷ a
ԯаԥад	ɬ a p a d
ԯаԥӄы	b ʑ a qʼ a
Ԯаԥҫоу	tʰ l a pʰ ɕ o̞ w
ԯаха	ɬ a x a
ԯахадема	ɬ a x a d ɛ m a
ԯахадыма	ɬ a x a d ə m a
ԯацәабыҟ'ә	ɬ a t ɕʰʷ a b ə qˤʼʷ
ԯыӄәса	ɬ ə qʷ s a
ԯьаӷа	ɬʼ a ʁ a
ԯьаӄәа	ɬʼ a qʷ a
Ԯьыҵыкә	ɬʼ ə t sʼ ə kʼʷ
ԯьыҷа	ɬʼ ə t ʃʼ a
мааӷ'әа	m aːˤʷ a
маадакьа	m aː d a kʼʲ a
маадан	m aː d a n
маахәҽа	m aː χʷ ʈ ʂʰ a
мааҵа	m aː t sʼ a
маашьа	m aː ʃ a
Мазҳаԥ	m a z h a pʰ
Мазҳар	m a z h a r
маӡьеи	m a d ʑ a j
маимун	m a j m ə w n
макыф	m a kʼ ə f
мақьҭаб	m a kʰʲ tʰ a b
малеиқьа	m a l a j kʰʲ a
мардуан	m a r d w a n
матаҫа	m a tʼ a ɕ a
матаҫаӷәыны	m a tʼ a ɕ a ʁʷ ə n ə
махәҽа	m a χʷ ʈ ʂʰ a
маҳалы	m a h a l ə
мацаҟаала	m a t sʰ a qʼ aː l a
маҵә	m a t ɕʼʷ
маҵәақәымӷьа	m a t ɕʼʷ a kʰʷ ə m ʁʲ a
маҵәаҟаала	m a t ɕʼʷ a qʼ aː l a
маҵәгьыӷы	m a t ɕʼʷ ɡʲ ə ʁ ə
маҵәшашын	m a t ɕʼʷ ʂ a ʂ ə n
маџьарбза	m a d ʒ a r b z a
Маџьаршәабла	m a d ʒ a r ʃʷ a b l a
мереқьеб	m e r e kʰʲ e b
мецьа	m e t ɕʰ a
мецьаҟа	m e t ɕʰ a qʼ a
мецьаҟаԥшьа	m e t ɕʰ a qʼ a pʰ ʃ a
мӡаҵьа	m d z a t ɕʼ a
мӡаша	m d z a ʂ a
мимаар	m ə j m aː r
моухәҽа	m o̞ w χʷ ʈ ʂʰ a
мыӷьа	m ə ʁʲ a
мыжыӄ	m ə ʐ ə q
мыӡьы	m ə d ʑ ə
мыӡьыҫәа	m ə d ʑ ə ɕʷ a
мыҫа	m ə ɕ a
Мыҫаакьа	m ə ɕ aː kʲʼ a
мыҫаԯа	m ə ɕ a ɬ a
мыҫәа	m ə ɕʷ a
мыҫәамых	m ə ɕʷ a m ə χ
мыцаныб'а	m ə t sʰ a n ə bˤ a
мыҵьаҟаԥшьа	m ə t ɕʼ a qʼ a pʰ ʃ a
мышамша	m ə ʂ a m ʂ a
мышьха	m ə ʃ χ a
мышьы	m ə ʃ ə
мышьыԥҫа	m ə ʃ ə pʰ ɕ a
мышәа	m ə ʃʷ a
мышәы	m ə ʃʷ ə
мышәыб'ашхәы	m ə ʃʷ ə bˤ a ʂ χʷ ə
мџьаҭхәацав'аца	m d ʒ a tʰ χʷ a t sʰ a vˤ a t sʰ a
м'а	mˤ a
м'аӡьы	mˤ a d ʑ ə
м'ашәа	mˤ a ʃʷ a
м'ашәы	mˤ a ʃʷ ə
на	n a
нааб'а	n aː bˤ a
наатыф	n aː tʰ ə f
нааша	n aː ʂ a
нагьыӡа	n a ɡʲ ə d z a
наӷәеибза	n a ʁʷ e̞ j b z a
наҟаамыӷ	n a qʼ aː m ə ʁ
наноу	n a n o̞ w
нарыԥԯа	n a r ə pʰ ɬ a
насыԥ	n a s ə pʰ
наџьаԥхьа	n a d ʒ a pʰ χʲ a
наџьыԯа	n a d ʒ ə ɬ a
ндәыҟа	n dʷ ə qʼ a
ниқаҳ	n i kʰ a h
нқьааӷ	n kʰʲ aː ʁ
ныб'а	n ə bˤ a
пԯьы	pʼ ɬʼ ə
португаԯбза	pʼ o r tʼ u ɡ a ɬ b z a
Португаԯшәабла	pʼ o r tʼ u ɡ a ɬ ʃʷ a b l a
пҵа	pʼ t sʼ a
П'ап'ыжә	pˤʼ a pˤʼ ə ʒʷ
ԥа	pʰ a
ԥԯы	pʰ ɬ ə
ԥолис	pʰ o l i s
ԥса	pʰ s a
ԥсакәады	pʰ s a kʼʷ a d ə
ԥсаҟааҽы	pʰ s a qʼ aː ʈ ʂʰ ə
ԥсаԯыхә	pʰ s a ɬ ə χʷ
ԥсапҟьа	pʰ s a pʼ qʼʲ a
ԥсауа	pʰ s a w a
ԥсафы	pʰ s a f ə
ԥсашь	pʰ s a ʃ
ԥсашьаакьа	pʰ s a ʃ aː kʼʲ a
ԥсашьоу	pʰ s a ʃ a w
ԥсыбыӷә	pʰ s ə b ə ʁʷ
ԥҫаб'ы	pʰ ɕ a bˤ ə
ԥушьқула	pʰ u ʃ kʰ u l a
ԥхьа	pʰ χʲ a
ԥшьа	pʰ ʃ a
ԥылоу	pʰ ə l o̞ w
ԥышҭоу	pʰ ə ʂ tʰ o̞ w
сааба	s aː b a
сабр	s a b r
саӡ	s a d z
санаҳаҭ	s a n a h a tʰ
саниа	s a n ə j a
сахаҭ	s a χ a tʰ
сечоу	s e t ʃʰ o̞ w
сыӷәа	s ə ʁʷ a
сыԯоу	s ə ɬ o̞ w
ҫа	ɕ a
ҫаба	ɕ a b a
Ҫоуԯьыхә	ɕ o̞ w ɬʼ ə χʷ
ҫыҫы	ɕ ə ɕ ə
ҫәаԯа	ɕʷ a ɬ a
ҫәаны	ɕʷ a n ə
ҫәыҟа	ɕʷ ə qʼ a
ҫәымб'а	ɕʷ ə m bˤ a
такә	tʼ a kʼʷ
тап'	tʼ a pˤʼ
тҟәа	tʼ qʷʼ a
тҟәаза	tʼ qʼʷ a z a
тҟәатәы	tʼ qʼʷ a tʼʷ ə
тҟәаць	tʼ qʼʷ a t ɕʰ
тҟәырыса	tʼ qʼʷ ə r ə s a
тыҙа	tʼ ə ʑ a
тым'а	tʼ ə mˤ a
тыԥса	tʼ ə pʰ s a
ҭабақа	tʰ a b a kʰ a
ҭаҟәысаҫ	tʰ a qʼʷ ə s a ɕ
ҭаӄым	tʰ a q ə m
ҭалмашь	tʰ a l m a ʃ
ҭамӷа	tʰ a m ʁ a
ҭаҳҭабиҭ	tʰ a h tʰ a b ə j tʰ
ҭашьмыҟ'ә	tʰ a ʃ m ə qˤʼʷ
ҭемам	tʰ e̞ m a m
ҭенџере	tʰ e̞ n ɖ ʐ e̞ r e̞
ҭоԥ	tʰ o̞ pʰ
ҭоԥҽы	tʰ o̞ pʰ ʈ ʂʰ ə
ҭорба	tʰ ɔ r b a
ҭоу	tʰ a w
ҭохҭеи	tʰ o̞ χ tʰ e̞ j
ҭрамуаи	tʰ r a m w a j
ҭуҭун	tʰ u tʰ u n
ҭхамааҭа	tʰ χ a m aː tʰ a
ҭхоу	t x a w
ҭырқә	tʰ ə r kʰʷ
ҭырқәбза	tʰ ə r kʰʷ b z a
Ҭырқәшәабла	tʰ ə r kʰʷ ʃʷ a b l a
ҭырҟә	tʰ ə r qʼʷ
ҭыҭ	tʰ ə tʰ
ҭыҭб'ыҟә	tʰ ə tʰ b ə qˤʼʷ
ҭыҭгьыбӷы	tʰ ə tʰ ɡʲ ə b ʁ ə
ҭыҭлеишәа	tʰ ə tʰ l a j ʃʷ a
ҭыҭышь	tʰ ə tʰ ə ʃ
ҭәахыбза	tʰʷ a χ ə b z a
у'а	wˤ a
у'ааҭәа	wˤ aː tʰʷ a
у'абаӡьы	w aˤ b a d ʑ ə
у'абла	w aˤ b l a
у'анџа	w aˤ n ɖ ʐ a
у'аҭәа	w aˤ tʰʷ a
у'ацакь	w aˤ t sʰ a kʼʲ
у'ацьхы	w aˤ t ɕʰ x ə
у'ашхалаҟәы	w aˤ ʂ χ a l a qʼʷ ə
у'аџа	w aˤ ɖ ʐ a
у'ҟ'әав'а	wˤ ə qˤʼʷ a vˤ a
уа	w a
Уа	w a
уаа	w aː
уаауа	w aː w a
Уаб'а	w a bˤ a
уады	w o̞ d ə
уаз	w a z
уақыҭ	w o̞ kʰ ə tʰ
уандера	w a n d e̞ r a
уанџьаӄ	w o̞ n d ʒ a q
уаҭх	w a tʰ χ
уаҭәаакьа	w a tʷ aː kʲʼ a
уафада	w o̞ f a d a
уергьы	w e̞ r ɡʲ ə
уоқ	w o̞ kʰ
урум	u r u m
Урумшәабла	u r u m ʃʷ a b l a
урымбза	w ə r ə m b z a
урысбза	w ə r ə s b z a
Урысшәабла	w ə r ə s ʃʷ a b l a
уҫа	w ə ɕ a
утәакәача	w ə tʼʷ a kʼʷ a t ʃʰ a
утәафааҟа	w ə tʼʷ a f aː qʼ a
ушақ	w ə ʂ a kʰ
Уыӷәа	w ə ʁʷ a
ф	f
фаакьа	f aː kʼʲ a
фаамышь	f aː m ə ʃ
фаас	f aː s
фаахьа	f aː χʲ a
фаахьах	f aː χʲ a χ
фабҙаҭә	f a b ʑ a tʰʷ
фагьыӷа	f a ɡʲ ə ʁ a
фаиада	f a j a d a
фаҟ	f a qʼ
фаҟәа	f a qʼʷ a
фаҟәаԯьа	f a qʼʷ a ɬʼ a
фаҟәаҭәыџь	f a qʼʷ a tʰʷ ə d ʒ
фалааԥԯа	f a l aː pʰ ɬ a
фаԥԯа	f a pʰ ɬ a
фаԥха	f a pʰ χ a
фаԥхьа	f a pʰ χʲ a
фау	f a w ə
фауаакьа	f a w aː kʼʲ a
фаҵьа	f a t ɕʼ a
фаҵьабзы	f a t ɕʼ a b z ə
фаҵьаԥшьаҭхә	f a t ɕʼ a pʰ ʃ a tʰ χʷ
фаҷа	f a t ʃʼ a
фаҷаҭә	f a t ʃʼ a tʰʷ
фаҷы	f a t ʃʼ ə
фашаԥш	f a ʂ a pʰ ʂ
фашь	f a ʃ
фашьеиа	f a ʃ e̞ j a
фашьишьа	f a ʃ ə j ʃ a
фицар	f i t sʰ a r
франгьбза	f r a n ɡʲ b z a
Франгьшәабла	f r a n ɡʲ ʃʷ a b l a
фы	f ə
фыӷәа	f ə ʁʷ a
фым	f ə m
фырыџьан	f ə r ə d ʒ a n
фыҽы	f ə ʈ ʂʰ ə
хааҫа	χ aː ɕ a
хааҭа	χː a tʰ a
хазына	χ a z ə n a
хаироон	χ a j r o̞ː n
хандық	χ a n d ə kʰ
ханым	χ a n ə m
хапрааҫәа	χ a pʼ r aː ɕʷ a
хау	χ a w
хаџы	χ a ɖ ʐ ə
хьаакә	χʲ aː kʼʷ
Хьырԥыҫ	χʲ ə r pʰ ə ɕ
хәарыш	χʷ a r ə ʂ
хәорош	χʷ o̞ r o̞ ʂ
х'абзы	χˤ a b z ə
х'ашь	χˤ a ʃ
х'ыцәа	χˤ ə t ɕʰʷ a
х'әа	χˤʷ a
ҳаб	h a b
ҳазнадар	h a z n a d a r
ҳазыр	h a z ə r
ҳаи	ħ a j
ҳаиуан	h a j w a n
ҳалаиқ	h a l a j ə kʰ
ҳалы	h a l ə
Ҳанаҫә	ħ a n a ɕʷ
Ҳанашхә	h a n a ʂ χʷ
ҳарам	h a r a m
ҳауз	h a w ə z
ҳедиа	h e̞ d ə j a
ҳем	h e m
ҳилеҟаӷ	h i l e̞ qʼ a ʁ
ҳисар	h ə j s a r
ҳоџа	h o̞ ɖ ʐ a
ҳында	h ə n d a
ҳырқьа	h ə r kʰʲ a
ца	t sʰ a
цагәа	t sʰ a ɡʷ a
цаӷа	t sʰ a ʁ a
цадӷоҫәа	t sʰ a d ʁ o̞ ɕʷ a
цакьы	t sʰ a kʼʲ ə
цакьыԯафа	t sʰ a kʼʲ ə ɬ a f a
цаҟ'	t sʰ a qˤʼ
цаӄ'аԥ'ы	t sʰ a qˤ a pˤʰ ə
цалаӷ'әа	t sʰ a l a ʁˤʷ a
цамха	t sʰ a m x a
цанҭха	t sʰ a n tʰ χ a
цанхәыреи	t sʰ a n χʷ ə r e̞ j
цанцахәа	t sʰ a n t sʰ χʷ a
цанцышь	t sʰ a n t sʰ ə ʃ
цаны	t sʰ a n ə
цаныб'а	t sʰ a n ə bˤ a
цаныпҟьа	t sʰ a n ə pʼ qʼʲ a
цанышә	t sʰ a n ə ʃʷ
цанышәкәы	t sʰ a n ə ʃʷ kʼʷ ə
цанышәышә	t sʰ a n ə ʃʷ ə ʃʷ
цаԥҫаб'ҟа	t sʰ a pʰ ɕ a bˤ qʼ a
цаԥҫагәыҟа	t sʰ a pʰ ɕ a ɡʷ ə qʼ a
цаҭхәы	t sʰ a tʰ χʷ ə
цахь	t sʰ a χʲ
цаца	t sʰ a t sʰ a
цынцахәеи	t sʰ ə n t sʰ χʷ e̞ j
цышх	t sʰ ə ʂ χ
ць	t ɕʰ
цьа	t ɕʰ a
цьал	t ɕʰ a l
цьахь	t ɕʰ a χʲ
цьаца	t ɕʰ a t sʰ a
цьхы	t ɕʰ x ə
цьх'	t ɕʰ χˤ
цьыҟ'	t ɕʰ ə qˤʼ
цьыхатәа	t ɕʰ ə χ a tʼʷ a
цьыцьа	t ɕʰ ə t ɕʰ a
цәа	t ɕʰʷ a
цәаабӷа	t ɕʰʷ aː b ʁ a
цәааԥа	t ɕʰʷ aː pʰ a
цәабжь	t ɕʰʷ a b ʒ
цәабҙа	t ɕʰʷ a b ʑ a
цәагьыҭә	t ɕʰʷ a ɡʲ ə tʰʷ
цәагьыцәаб'а	t ɕʰʷ a ɡʲ ə t ɕʰʷ a bˤ a
цәаӷәа	t ɕʰʷ a ʁʷ a
цәаӷ'әы	t ɕʰʷ a ʁˤʷ ə
цәаӷ'әыԥԯы	t ɕʰʷ a ʁˤʷ ə pʰ ɬ ə
цәаӷ'әыҫәа	t ɕʰʷ a ʁˤʷ ə ɕʷ a
цәада	t ɕʰʷ a d a
цәадыҟәаҟа	t ɕʰʷ a d ə qʼʷ a qʼ a
цәадыҟәашәа	t ɕʰʷ a d ə qʼʷ a ʃʷ a
цәажәа	t ɕʰʷ a ʒʷ a
цәаӡьа	t ɕʰʷ a d ʑ a
цәаҟа	t ɕʰʷ a qʼ a
цәаҟәа	t ɕʰʷ a qʼʷ a
цәаҟ'ына	t ɕʰʷ a qˤʼ ə n a
цәала	t ɕʰʷ a l a
цәаԯа	t ɕʰʷ a ɬ a
цәаԯабжьа	t ɕʰʷ a ɬ a b ʒ a
цәамааџьа	t ɕʰʷ a m aː d ʒ a
цәамӷьа	t ɕʰ o m ʁ e
цәамыӷаатәа	t ɕʰʷ a m ə ʁ aː tʼʷ a
цәафаӡьа	t ɕʰʷ a f a d ʑ a
цәаха	t ɕʰʷ a x a
цәахааҭа	t ɕʰʷ a χ aː tʰ a
цәаҷа	t ɕʰʷ a t ʃʼ a
цәаш	t ɕʰʷ a ʂ
цәашаӷ	t ɕʰʷ a ʂ a ʁ
цәашх	t ɕʰʷ a ʂ χ
цәашәадады	t ɕʰʷ a ʃʷ a d a d ə
цәаџьа	t ɕʰʷ a d ʒ a
цәеи	t ɕʰʷ e̞ j
цәиа	t ɕʰʷ ə j a
цәу'ҟәа	t ɕʰʷ ə wˤ qʼʷ a
цәуԥҫ	ɕʷ uː pʰ ɕ e
цәх'а	t ɕʰʷ χˤ a
цәы	t ɕʰʷ ə
цәыбана	t ɕʰʷ ə b a n a
цәыбжьы	t ɕʰʷ ə b ʒ ə
цәыҙа	t ɕʰʷ ə ʑ a
цәықәа	t ɕʰʷ ə kʰʷ a
цәымӷь	t ɕʰʷ ə m ʁʲ
цәымӷьы	t ɕʰʷ ə m ʁʲ ə
цәынҭа	t ɕʰʷ ə n tʰ a
цәыцы	t ɕʰʷ ə t sʰ ə
ҵа	t sʼ a
ҵааӷа	t sʼ aː ʁ a
ҵаҟә	t sʼ a qʼʷ
ҵаԥа	t sʼ a pʰ a
ҵаԥха	t sʼ a pʰ χ a
ҵатәа	t sʼ a tʼʷ a
ҵаҭәа	t sʼ a tʰʷ a
ҵына	t sʼ ə n a
ҵыҭәа	t sʼ ə tʰʷ a
ҵышха	t sʼ ə ʂ χ a
ҵьа	t ɕʼ a
ҵьаапҟьа	t ɕʼ aː pʼ qʼʲ a
ҵьада	t ɕʼ a d a
ҵьаӡьаӡьа	t ɕʼ a d ʑ a d ʑ a
ҵьаста	t ɕʼ a s tʼ a
ҵьашь	t ɕʼ a ʃ
ҵьашә	t ɕʼ a ʃʷ
ҵьыкь	t ɕʼ ə kʼʲ
ҵьынӡьа	t ɕʼ ə n d ʑ a
ҵьынӡьаҟа	t ɕʼ ə n d ʑ a qʼ a
ҵьыҫы	t ɕʼ ə ɕ ə
ҵәа	t ɕʼʷ a
ҵәанажь	t ɕʼʷ a n a ʒ
ҵәанкь	t ɕʼʷ a n kʼʲ
ҵәанҭа	t ɕʼʷ a n tʰ a
ҵәаҫа	t ɕʼʷ a ɕ a
ҵәаца	t ɕʼʷ a t sʰ a
ҵәаҵә	t ɕʼʷ a t ɕʼʷ
ҵәаҵәы	t ɕʼʷ a t ɕʼʷ ə
ҵәынҭоу	t ɕʼʷ ə n tʰ o̞ w
ҵәыԥшьыкь	t ɕʼʷ ə pʰ ʃ ə kʼʲ
ч	t ʃʰ
ча	t ʃʰ a
чааԯа	t ʃʰ aː ɬ a
чаасӄәа	t ʃʰ aː s qʷ a
чааҭа	t ʃʰ aː tʰ a
чааҭәа	t ʃʰ aː tʰʷ a
чаахьа	t ʃʰ aː χʲ a
чабӷьас	t ʃʰ a b ʁʲ a s
чаӷьа	t ʃʰ a ʁʲ a
чадыр	t ʃʰ a d ə r
чаҙәатәа	t ʃʰ a ʑʷ a tʼʷ a
чаӡьа	t ʃʰ a d ʑ a
чақәыца	t ʃʰ a kʰʷ ə t sʰ a
чаԯмыӄ	t ʃʰ a ɬ m ə q
чамагь	t ʃʰ a m a ɡʲ
чамбыл	t ʃʰ a m b ə l
чаԥс	t ʃʰ a pʰ s
чаԥҫы	t ʃʰ a pʰ ɕ ə
чарх	t ʃʰ a r χ
часԯаӄ	t ʃʰ a s ɬ a q
чатәаҟа	t ʃʰ a tʼʷ a qʼ a
чаҭра	t ʃʰ a tʰ r a
чах'ә	t ʃʰ a χˤʷ
чашаҫәа	t ʃʰ a ʂ a ɕʷ a
чаџьы	t ʃʰ a d ʒ ə
Чохәа	t ʃʰ o̞ χʷ a
чуаауа	t ʃʰ ə w aː w a
чуана	t ʃʰ ə w a n a
чы	t ʃʰ ə
чыбахахоу	t ʃʰ ə b a χ a χ o̞ w
чыбжьиа	t ʃʰ ə b ʒ ə j a
чыгьыблы	t ʃʰ ə ɡʲ ə b l ə
чыгьыс	t ʃʰ ə ɡʲ ə s
чыда	t ʃʰ ə d a
чыдаҟәы	t ʃʰ ə d a qʼʷ ə
чыдыӄ'а	t ʃʰ ə d ə qˤ a
Чызамыӷәа	t ʃʰ ə z a m ə ʁʷ a
чыӡа	t ʃʰ ə d z a
чыӡадәа	t ʃʰ ə d z a dʷ a
чыӡьа	t ʃʰ ə d ʑ a
чықә	t ʃʰ ə kʰʷ
чыҟа	t ʃʰ ə qʼ a
чыҟәаҷоу	t ʃʰ ə qʼʷ a t ʃʼ o̞ w
чыҟ'әы	t ʃʰ ə qˤʼʷ ə
чыҟ'әыԯах	t ʃʰ ə qˤʼʷ ə ɬ a χ
чыҟ'әыҭәаны	t ʃʰ ə qˤʼʷ ə tʰʷ a n ə
чыӄәымаала	t ʃʰ ə qʷ ə m aː l a
чынҭәа	t ʃʰ ə n tʰʷ a
чынчоу	t ʃʰ ə n t ʃʰ o̞ w
чыԥааԥа	t ʃʰ ə pʰ aː pʰ a
чыԥшьыкь	t ʃʰ ə pʰ ʃ ə kʼʲ
чысы	t ʃʰ ə s ə
чыу'ҟ'әа	t ʃʰ ə wˤ qˤʼʷ a
чыфа	t ʃʰ ə f a
чыфаҷаҭәшәа	t ʃʰ ə f a t ʃʼ a tʰʷ ʃʷ a
чыца	t ʃʰ ə t sʰ a
чычаҟа	t ʃʰ ə t ʃʰ a qʼ a
чыҷаԯ	t ʃʰ ə t ʃʼ a ɬ
чыҿаԯ	t ʃʰ ə ʈ ʂʼ a ɬ
чышақәа	t ʃʰ ə ʂ a kʰʷ a
ҷа	t ʃʼ a
ҷааӡа	t ʃʼ aː d z a
ҷаацәа	t ʃʼ aː t ɕʰʷ a
ҷааҷа	t ʃʼ aː t ʃʼ a
ҷабзы	t ʃʼ a b z ə
ҷабҙауча	t ʃʼ a b ʑ a w ə t ʃʰ a
ҷагьиа	t ʃʼ a ɡʲ ə j a
ҷагьыҟәа	t ʃʼ a ɡʲ ə qʼʷ a
ҷагьыс	t ʃʼ a ɡʲ ə s
ҷагьытә	t ʃʼ a ɡʲ ə tʼʷ
ҷагьытәас	t ʃʼ a ɡʲ ə tʼʷ a s
ҷагьыҭә	t ʃʼ a ɡʲ ə tʰʷ
ҷагьыу	t ʃʼ a ɡʲ ə w ə
ҷаӷа	t ʃʼ a ʁ a
ҷаӷәа	t ʃʼ a ʁʷ a
ҷаӷ'а	t ʃʼ a ʁˤ a
ҷаҙы	t ʃʼ a ʑ ə
ҷакәа	t ʃʼ a kʼʷ a
ҷакәацәа	t ʃʼ a kʼʷ a t ɕʰʷ a
ҷаҟ	t ʃʼ a qʼ
ҷалаҭә	t ʃʼ a ɡʲ ə tʰʷ
ҷапҟьа	t ʃʼ a pʼ qʼʲ a
ҷаԥԯа	t ʃʼ a pʰ ɬ a
ҷаԥшьа	t ʃʼ a pʰ ʃ a
ҷарыҷан	t ʃʼ a r ə t ʃʼ a n
ҷас	t ʃʼ a s
ҷахәа	t ʃʼ a χʷ a
ҷахәах	t ʃʼ a χʷ a χ
ҷацәа	t ʃʼ a t ɕʰʷ a
ҷаҽа	t ʃʼ a ʈ ʂʰ a
ҷашалацәа	t ʃʼ a ʂ a l a t ɕʰʷ a
ҷоутәоу	t ʃʼ o̞ w tʼʷ o̞ w
ҷынҷаӷь	t ʃʼ ə n t ʃʼ a ʁʲ
ҷыркәа	t ʃʼ ə r kʼʷ a
ҷыча	t ʃʼ ə t ʃʰ a
ҷыҷаха	t ʃʼ ə t ʃʼ a x a
ҽады	ʈ ʂʰ a d ə
ҽадыҟа	ʈ ʂʰ a d ə qʼ a
ҽадыӄьа	ʈ ʂʰ a d ə qʲ a
ҽаҟәы	ʈ ʂʰ a qʼʷ ə
ҽан	ʈ ʂʰ a n
ҽанҽаԥԯы	ʈ ʂʰ a n ʈ ʂʰ a pʰ ɬ ə
ҽыгә	ʈ ʂʰ ə ɡʷ
ҽыҟа	ʈ ʂʰ ə qʼ a
ҽып	ʈ ʂʰ ə pʼ
ҽыфҭ	ʈ ʂʰ ə f tʰ
ҿа	ʈ ʂʼ a
ҿаҟәаҭә	ʈ ʂʼ a qʼʷ a tʰʷ
ҿас	ʈ ʂʼ a s
ҿафа	ʈ ʂʼ a f a
ҿафау	ʈ ʂʼ a f a w ə
ҿафацакь	ʈ ʂʼ a f a t sʰ a kʼʲ
ҿахындаҟа	ʈ ʂʼ a χ ə n d a qʼ a
ҿашь	ʈ ʂʼ a ʃ
ҿеиаҷа	ʈ ʂʼ e̞ j a t ʃʼ a
шанҭәа	ʂ a n tʰʷ a
шаԥсоу	ʂ a pʰ s a w
шаҳар	ʂ a h a r
шашаԥш	ʂ a ʂ a pʰ ʂ
шьақьар	ʃ a kʰʲ a r
шьаршьаф	ʃ a r ʃ a f
шьха	ʃ x a
шьхаҟа	ʃ x a qʼ a
шьхы	ʃ χ ə
шьхыӷәыны	ʃ x ə ʁʷ ə n ə
шьыԯа	ʃ ə ɬ a
шьыных	ʃ ə n ə χ
шәа	ʃʷ a
шәаӄафа	ʃʷ a q a f a
шәеицәа	ʃʷ e̞ j t ɕʰʷ a
шәыҟа	ʃʷ ə qʼ a
шәыҭне	ʃʷ y tʰ n e̞
џ	ɖ ʐ
џамиа	ɖ ʐ a m ə j a
џанаса	ɖ ʐ ä n ä s ä
