અ	ə
કંટાળવું	k ə ɳ ʈ ɑ ɭ ʋ ũ
કંદહાર	k ə n d̪ʱ ɑ ɾ
કંદિલ	k ə n d̪ i l
કંપાલા	k ə m p ɑ l ɑ
કંપાસ	k ə m p ɑ s
કકળાટ	k ə k ɭ ɑ ʈ
કચરો	k ə t͡ʃ ɾ o
કચેરી	k ə t͡ʃ eː ɾ i
કચોરી	k ə t͡ʃ o ɾ i
કચ્છ	k ə t͡ʃ t͡ʃʰ
કડછો	k ə ɽ t͡ʃʰ o
કડવું	k ə ɽ ʋ ũ
કઢાઈ	k ə ɖʱ ɑ i
કઢી	k ə ɖʱ i
કથીર	k ə t̪ʰ i ɾ
કથોલિક	k ə t̪ʰ o l i k
કદમી	k ə d̪ m i
કદાચ	k ə d̪ ɑ t͡ʃ
કદી	k ə d̪ i
કનોજ	k ə n o d͡ʒ
કપડું	k ə p ɽ ũ
કપાળ	k ə p ɑ ɭ
કપાશિયો	k ə p ɑ ʃ i j o
કપાસ	k ə p ɑ s
કપોત	k ə p o t̪
કપ્તાન	k ə p t̪ ɑ n
કફ	k ə pʰ
કફન	k ə pʰ ə n
કફસ	k ə pʰ ə s
કબર	k ə b ə ɾ
કબરસ્તાન	k ə b ɾ ə s t̪ ɑ n
કબાટ	k ə b ɑ ʈ
કબાબ	k ə b ɑ b
કબૂતર	k ə b u t̪ ə ɾ
કબૂલ	k ə b u l
કબૂલવું	k ə b u l ʋ ũ
કબૂલાત	k ə b u l ɑ t̪
કમર	k ə m ə ɾ
કમરો	k ə m ɾ o
કમલ	k ə m ə l
કમળ	k ə m ə ɭ
કમળા	k ə m ɭ ɑ
કમળો	k ə m ɭ o
કમાડ	k ə m ɑ ɽ
કમાલ	k ə m ɑ l
કયામત	k ə j ɑ m ə t̪
કયું	k ə j ũ
કરચલો	k ə ɾ ə t͡ʃ l o
કરચોરી	k ə ɾ t͡ʃ o ɾ i
કરડવું	k ə ɾ ɖ ʋ ũ
કરમ	k ə ɾ ə m
કરવું	k ə ɾ ʋ ũ
કરાંચી	k ə ɾ ɑ̃ t͡ʃ i
કરાચી	k ə ɾ ɑ t͡ʃ i
કરાર	k ə ɾ ɑ ɾ
કરીશું	k ə ɾ i ʃ ũ
કરેણ	k ə ɾ eː ɳ
કરોડ	k ə ɾ o ɖ
કરોળિયો	k ə ɾ o ɭ i j o
કર્ણાટક	k ə ɾ ɳ ɑ ʈ ə k
કર્ણાવતી	k ə ɾ ɳ ɑ ʋ ə t̪ i
કર્મ	k ə ɾ m ə
કલંદર	k ə l ə n d̪ ə ɾ
કલમ	k ə l ə m
કલમો	k ə l m o
કલા	k ə l ɑ
કલાક	k ə l ɑ k
કલાકાર	k ə l ɑ k ɑ ɾ
કલાર	k ə l ɑ ɾ
કલિંગર	k ə l i ŋ ɡ ə ɾ
કલ્પના	k ə l p ə n ɑ
કલ્બ	k ə l b
કળણ	k ə ɭ ə ɳ
કળશ	k ə ɭ ə ʃ
કવર	k ə ʋ ə ɾ
કવિ	k ə ʋ i
કવ્વાલી	k ə ʋ ʋ ɑ l i
કશું	k ə s ũ
કશું	k ə ʃ ũ
કશ્તી	k ə ʃ t̪ i
કશ્મીર	k ə ʃ m i ɾ
કસરત	k ə s ɾ ə t̪
કસવું	k ə s ʋ ũ
કસાઈ	k ə s ɑ i
કસિનો	k ə s i n o
કસીદો	k ə s i d̪ o
કસુંબો	k ə s u m b o
કસ્તૂરી	k ə s t̪ u ɾ i
કહવા	k əʱ ʋ ɑ
કહાણી	k ə ɦ ɑ ɳ i
કહીં	k ə ɦ ĩ
કહું	k ə ɦ ũ
કહેવત	k ə ɦ ɛ ʋ ə t̪
કહેવું	k ə ɦ ɛ ʋ ũ
કાંઈ	k ɑ̃ i
કાંકરી	k ɑ̃ k ɾ i
કાંજી	k ɑ ɲ d͡ʒ i
કાંટો	k ɑ̃ ʈ o
કાંઠો	k ɑ̃ ʈʰ o
કાંડું	k ɑ ɳ ɖ ũ
કાંદો	k ɑ n d̪ o
કાંબળી	k ɑ m b ɭ i
કાંબળો	k ɑ m b ɭ o
કાંસકો	k ɑ̃ s k o
કાંસાં	k ɑ̃ s ɑ̃
કાંસું	k ɑ̃ s ũ
કાઇન	k ɑ i n
કાકડી	k ɑ k ɽ i
કાકણક	k ɑ k ɳ ə k
કાકા	k ɑ k ɑ
કાકી	k ɑ k i
કાકો	k ɑ k o
કાગડો	k ɑ ɡ ɽ o
કાગળ	k ɑ ɡ ə ɭ
કાગળકામ	k ɑ ɡ ə ɭ k ɑ m
કાચ	k ɑ t͡ʃ
કાચંડો	k ɑ t͡ʃ ə ɳ ɖ o
કાચબો	k ɑ t͡ʃ b o
કાછ	k ɑ t͡ʃʰ
કાજ	k ɑ d͡ʒ
કાજળ	k ɑ d͡ʒ ə ɭ
કાજી	k ɑ d͡ʒ i
કાજુ	k ɑ d͡ʒ u
કાટ	k ɑ ʈ
કાઠિયાવાડ	k ɑ ʈʰ i j ɑ ʋ ɑ ɖ
કાઠિયાવાડી	k ɑ ʈʰ i j ɑ ʋ ɑ ɖ i
કાડ	k ɑ ɽ
કાઢવું	k ɑ ɖʱ ʋ ũ
કાણું	k ɑ ɳ ũ
કાતર	k ɑ t̪ ə ɾ
કાદવ	k ɑ d̪ ə ʋ
કાન	k ɑ n
કાનજી	k ɑ n d͡ʒ i
કાનપુર	k ɑ n p u ɾ
કાનમ	k ɑ n ə m
કાનસ	k ɑ n ə s
કાનૂગો	k ɑ n u ɡ o
કાનૂન	k ɑ n u n
કાનો	k ɑ n o
કાન્તિલાલ	k ɑ n t̪ i l ɑ l
કાપડિયા	k ɑ p ə ɽ i j ɑ
કાપવું	k ɑ p ʋ ũ
કાફી	k ɑ pʰ i
કાબરચીતરું	k ɑ b ə ɾ t͡ʃ i t̪ ɾ ũ
કાબા	k ɑ b ɑ
કાબુલ	k ɑ b u l
કામ	k ɑ m
કાયમ	k ɑ j ə m
કાયર	k ɑ j ə ɾ
કારકુન	k ɑ ɾ k u n
કારખાનું	k ɑ ɾ kʰ ɑ n ũ
કારતૂસ	k ɑ ɾ t̪ u s
કારવાં	k ɑ ɾ ʋ ɑ̃
કારાકોરમ	k ɑ ɾ ɑ k o ɾ ə m
કારેલું	k ɑ ɾ eː l ũ
કાર્બનિક	k ɑ ɾ b ə n i k
કાર્ય	k ɑ ɾ j ə
કાલ	k ɑ l
કાલુપુર	k ɑ l u p u ɾ
કાલ્પનિક	k ɑ l p ə n i k
કાળજું	k ɑ ɭ d͡ʒ ũ
કાળિયાર	k ɑ ɭ i j ɑ ɾ
કાળિયો	k ɑ ɭ i j o
કાળું	k ɑ ɭ ũ
કાશ્મીર	k ɑ ʃ m i ɾ
કિંમત	k i m m ə t̪
કિતાબ	k i t̪ ɑ b
કિનારી	k i n ɑ ɾ i
કિનારો	k i n ɑ ɾ o
કિબ્લા	k i b l ɑ
કિરણ	k i ɾ ə ɳ
કિરતાસ	k i ɾ t̪ ɑ s
કિલાવો	k i l ɑ ʋ o
કિલ્લો	k i l l o
કિશોરી	k i ʃ o ɾ i
કિસમિસ	k i s m i s
કિસાન	k i s ɑ n
કિસ્મત	k i s m ə t̪
કીટલી	k i ʈ l i
કીડો	k i ɽ o
કીર	k i ɾ
કુંજડો	k ũ d͡ʒ ɽ o
કુંડ	k u ɳ ɖ
કુંડળ	k u ɳ ɖ ə ɭ
કુંદન	k u n d̪ ə n
કુંભકાર	k u m bʱ k ɑ ɾ
કુંભાર	k u m bʱ ɑ ɾ
કુંભી	k u m bʱ i
કુંવારી	k ũ ʋ ɑ ɾ i
કુટુંબ	k u ʈ u m b
કુતૂહલ	k u t̪ u ɦ ə l
કુદરત	k u d̪ ɾ ə t̪
કુફરિસ્તાન	k u pʰ ɾ i s t̪ ɑ n
કુમાર	k u m ɑ ɾ
કુમારી	k u m ɑ ɾ i
કુમુદિની	k u m u d̪ i n i
કુરકુરિયું	k u ɾ k u ɾ i j ũ
કુરતની	k u ɾ t̪ ə n i
કુરબાન	k u ɾ b ɑ n
કુરાન	k u ɾ ɑ n
કુરૂષ	k u ɾ u ʂ
કુર્દિસ્તાન	k u ɾ d̪ i s t̪ ɑ n
કુલટા	k u l ʈ ɑ
કુલી	k u l i
કુલ્ફી	k u l pʰ i
કુવાથમ	k u ʋ ɑ t̪ʰ ə m
કુવેણ	k u ʋ ɛ ɳ
કુસુંબો	k u s u m b o
કુસુમ	k u s u m
કુસ્તી	k u s t̪ i
કુહાડો	k u ɦ ɑ ɽ o
કૂંચી	k ũ t͡ʃ i
કૂકડી	k u k ɽ i
કૂકડો	k u k ɽ o
કૂખ	k u kʰ
કૂતરું	k u t̪ ɾ ũ
કૂતરો	k u t̪ ɾ o
કૂદવું	k u d̪ ʋ ũ
કૂમચી	k u m t͡ʃ i
કૂલો	k u l o
કૂવો	k u ʋ o
કૃષ્ણ	k ɾ u ʃ ɳ ə
કૃષ્ણસાર	k ɾ u ʃ ɳ ə s ɑ ɾ
કેંચી	k ɛ̃ t͡ʃ i
કેંદ્ર	k eː n d̪ ɾ ə
કેક	k eː k
કેટલું	k eː ʈ l ũ
કેટલોગ	k eː ʈ ə l o ɡ
કેડ	k ɛ ɽ
કેથલિક	k eː t̪ʰ l i k
કેથોલિક	k eː t̪ʰ o l i k
કેદખાનું	k eː d̪ kʰ ɑ n ũ
કેનાન	k eː n ɑ n
કેનેડા	k eː n eː ɖ ɑ
કેન્યા	k eː n j ɑ
કેફ	k ɛ pʰ
કેમ	k ɛ m
કેમિસ્ટ	k eː m i s ʈ
કેર	k eː ɾ
કેરળ	k eː ɾ ə ɭ
કેરી	k ɛ ɾ i
કેલિફોર્નિયા	k æ l i f o ɾ n i ɑ
કેલેંડર	k eː l eː n ɖ ə ɾ
કેલ્ટિક	k eː l ʈ i k
કેળું	k eː ɭ ũ
કેવું	k eː ʋ ũ
કેસર	k eː s ə ɾ
કૈલાસ	k ə i l ɑ s
કૉફી	k ɔ pʰ i
કોંકણ	k ɔ ŋ k ə ɳ
કોંગ્રેસ	k o ŋ ɡ ɾ eː s
કોઈ	k o i
કોઈપણ	k o i p ə ɳ
કોક	k o k
કોગળો	k ɔ ɡ ɭ o
કોચલું	k o t͡ʃ l ũ
કોટ	k o ʈ
કોઠારી	k o ʈʰ ɑ ɾ i
કોઠી	k o ʈʰ i
કોઠી	k ɔ ʈʰ i
કોડ	k o ɖ
કોણ	k ɔ ɳ
કોણમાપક	k o ɳ m ɑ p ə k
કોણી	k o ɳ i
કોથળી	k o t̪ʰ ɭ i
કોદરા	k o d̪ ɾ ɑ
કોનું	k o n ũ
કોન્ટ્રાક્ટર	k o n ʈ ɾ ɑ k ʈ ə ɾ
કોન્લી	k o n l i
કોફી	k o f i
કોફી	k o pʰ i
કોફી	k ɔ f i
કોફી	k ɔ pʰ i
કોબી	k o b i
કોબીજ	k o b i d͡ʒ
કોમ	k o m
કોમી	k o m i
કોમેન્ટ	k ɔ m eː n ʈ
કોયલ	k ɔ j ə l
કોયલો	k ɔ j ə l ɔ
કોરી	k o ɾ i
કોરું	k o ɾ ũ
કોલેજ	k ɔ l eː d͡ʒ
કોળિયો	k ɔ ɭ i j o
કોળી	k o ɭ i
કોળું	k o ɭ ũ
કોશિશ	k o ʃ i ʃ
કોસ	k o s
કોહળું	k o ɦ ə ɭ ũ
કોહવું	k ɔ ɦ ʋ ũ
કોહિનૂર	k o ɦ i n u ɾ
ક્યાં	k j ɑ̃
ક્યાંક	k j ɑ̃ k
ક્યારે	k j ɑ ɾ ɛ
ક્રિકેટ	k ɾ i k eː ʈ
ક્રિયાવિશેષણઅવ્યય	k ɾ i j ɑ ʋ i ʃ eː ʃ ɳ ə ə ʋ j ə j ə
ક્રિશ્ચિયન	k ɾ i ʃ t͡ʃ i j ə n
ક્રીડા	k ɾ i ɖ ɑ
ક્રૂસ	k ɾ u s
ક્રૂસારોહણ	k ɾ u s ɑ ɾ o ɦ ə ɳ
ક્લીનર	k l i n ə ɾ
ક્ષ	k ʃ ə
ક્ષત્રિય	k ʃ ə t̪ ɾ i j ə
ક્ષમા	k ʃ ə m ɑ
ક્ષેત્ર	k ʃ eː t̪ ɾ ə
ખ	kʰ ə
ખંખેરવું	kʰ ə ŋ kʰ eː ɾ ʋ ũ
ખંજર	kʰ ə ɲ d͡ʒ ə ɾ
ખંજવાળવું	kʰ ə d͡ʒ ʋ ɑ ɭ ʋ ũ
ખંડ	kʰ ə ɳ ɖ
ખંભાત	kʰ ə m bʱ ɑ t̪
ખચ્ચર	kʰ ə t͡ʃ t͡ʃ ə ɾ
ખજાનચી	kʰ ə d͡ʒ ɑ n t͡ʃ i
ખજાનો	kʰ ə d͡ʒ ɑ n o
ખજૂર	kʰ ə d͡ʒ u ɾ
ખટમંડુ	kʰ ə ʈ m ə ɳ ɖ u
ખડગ	kʰ ə ɖ ə ɡ
ખતરનાક	kʰ ə t̪ ə r n ɑː k
ખફા	kʰ ə pʰ ɑ
ખબર	kʰ ə b ə ɾ
ખમણ	kʰ ə m ə ɳ
ખમીર	kʰ ə m i ɾ
ખમીસ	kʰ ə m i s
ખરગોશ	kʰ ə ɾ ɡ o ʃ
ખરચવું	kʰ ə ɾ ə t͡ʃ ʋ ũ
ખરચો	kʰ ə ɾ t͡ʃ o
ખરજવું	kʰ ə ɾ ə d͡ʒ ʋ ũ
ખરીદવું	kʰ ə ɾ i d̪ ʋ ũ
ખરીદી	kʰ ə ɾ i d̪ i
ખરું	kʰ ə ɾ ũ
ખલબત્તો	kʰ ə l b ə t̪ t̪ ɔ
ખલાસ	kʰ ə l ɑ s
ખલાસી	kʰ ə l ɑ s i
ખલીલ	kʰ ə l i l
ખસવું	kʰ ə s ʋ ũ
ખાંડ	kʰ ɑ ɳ ɖ
ખાંડણિયો	kʰ ɑ̃ ɖ ɳ i j o
ખાંપણ	kʰ ɑ̃ p ə ɳ
ખાંસવું	kʰ ɑ̃ s ʋ ũ
ખાકાન	kʰ ɑ k ɑ n
ખાખરા	kʰ ɑ kʰ ɾ ɑ
ખાટકી	kʰ ɑ ʈ k i
ખાટલી	kʰ ɑ ʈ l i
ખાટલો	kʰ ɑ ʈ l o
ખાટું	kʰ ɑ ʈ ũ
ખાડો	kʰ ɑ ɖ o
ખાણ	kʰ ɑ ɳ
ખાતર	kʰ ɑ t̪ ə ɾ
ખાતું	kʰ ɑ t̪ ũ
ખાધું	kʰ ɑ d̪ʱ ũ
ખાન	kʰ ɑ n
ખાનગી	kʰ ɑ n ɡ i
ખાનદાન	kʰ ɑ n d̪ ɑ n
ખાનું	kʰ ɑ n ũ
ખાર	kʰ ɑ ɾ
ખાલા	kʰ ɑ l ɑ
ખાલિક	kʰ ɑ l i k
ખાલિસ્તાન	kʰ ɑ l i s t̪ ɑ n
ખાવંદ	kʰ ɑ ʋ ə n d̪
ખાવસા	kʰ ɑ ʋ s ɑ
ખાવાનું	kʰ ɑ ʋ ɑ n ũ
ખાવું	kʰ ɑ ʋ ũ
ખિડકી	kʰ i ɽ k i
ખિસકોલી	kʰ i s k o l i
ખિસ્સું	kʰ i s s ũ
ખીચડી	kʰ i t͡ʃ ɖ i
ખીચડી	kʰ i t͡ʃ ɽ i
ખીજડો	kʰ i d͡ʒ ɖ o
ખીજવું	kʰ i d͡ʒ ʋ ũ
ખીમો	kʰ i m o
ખીર	kʰ i ɾ
ખીસાખરચ	kʰ i s ɑ kʰ ə ɾ t͡ʃ
ખીસાખરચ	kʰ i s ɑ kʰ ə ɾ ə t͡ʃ
ખુતબો	kʰ u t̪ b o
ખુદ	kʰ u d̪
ખુદા	kʰ u d̪ ɑ
ખુરશી	kʰ u ɾ ʃ i
ખુરશેદ	k u ɾ ʃ eː d̪
ખુરશેદ	kʰ u ɾ ʃ eː d̪
ખુરસી	kʰ u ɾ s i
ખુશ	kʰ u ʃ
ખુશામદ	kʰ u ʃ ɑ m ə d̪
ખુશી	kʰ u ʃ i
ખૂણો	kʰ u ɳ o
ખૂન	kʰ u n
ખેંખડો	kʰ eː ŋ k ɽ o
ખેંચવું	kʰ ɛ ɲ t͡ʃ ʋ ũ
ખેત	kʰ eː t̪
ખેતર	kʰ eː t̪ ə ɾ
ખેતી	kʰ eː t̪ i
ખેલાડી	kʰ eː l ɑ ɖ i
ખેલાડી	kʰ eː l ɑ ɽ i
ખોખું	kʰ o kʰ ũ
ખોજા	kʰ o d͡ʒ ɑ
ખોજો	kʰ o d͡ʒ o
ખોડિયાર	kʰ o ɖ i j ɑ ɾ
ખોદા	kʰ o d̪ ɑ
ખોપરી	kʰ o p ɾ i
ખોરદાદ	kʰ o ɾ d̪ ɑ d̪
ખોલવું	kʰ o l ʋ ũ
ખોળ	kʰ ɔ ɭ
ખોળો	kʰ ɔ ɭ o
ખોસવું	kʰ o s ʋ ũ
ખ્યાલ	kʰ j ɑ l
ખ્રિસ્ત	kʰ ɾ i s t̪
ખ્રિસ્તયજ્ઞ	kʰ ɾ i s t̪ j ə ɡ n ə
ખ્રિસ્તીકરણ	kʰ ɾ i s t̪ i k ə ɾ ə ɳ
ગ	ɡ ə
ગંગા	ɡ ə ŋ ɡ ɑ
ગંગાસ્નાન	ɡ ə ŋ ɡ ɑ s n ɑ n
ગંગોપાધ્યાય	ɡ ə ŋ ɡ o p ɑ d̪ʱ j ɑ j
ગંદું	ɡ ə n d̪ ũ
ગંધક	ɡ ə n d̪ʱ ə k
ગગન	ɡ ə ɡ ə n
ગચ્છ	ɡ ə t͡ʃ t͡ʃʰ
ગજ	ɡ ə d͡ʒ
ગજલ	ɡ ə d͡ʒ ə l
ગજવું	ɡ ə d͡ʒ ʋ ũ
ગઝલ	ɡ ə d͡ʒʱ ə l
ગઠબંધન	ɡ ə ʈʰ b ə n d̪ʱ ə n
ગઢવી	ɡ ə ɖʱ ʋ i
ગણના	ɡ ə ɳ n ɑ
ગણપતિ	ɡ ə ɳ ə p ə t̪ i
ગણવું	ɡ ə ɳ ʋ ũ
ગણિત	ɡ ə ɳ i t̪
ગધેડી	ɡ ə d̪ʱ eː ɽ i
ગધેડું	ɡ ə d̪ʱ eː ɽ ũ
ગધેડો	ɡ ə d̪ʱ eː ɽ o
ગભરામણ	ɡ ə bʱ ɾ ɑ m ə ɳ
ગભરાવું	ɡ ə bʱ ɾ ɑ ʋ ũ
ગમવું	ɡ ə m ʋ ũ
ગમાણ	ɡ ə m ɑ ɳ
ગયંદ	ɡ ə j ə n d̪
ગરકાવ	ɡ ə ɾ k ɑ ʋ
ગરદન	ɡ ə ɾ d̪ ə n
ગરબો	ɡ ə ɾ b o
ગરમ	ɡ ə ɾ ə m
ગરમી	ɡ ə ɾ m i
ગરીબ	ɡ ə ɾ i b
ગરુડ	ɡ ə ɾ u ɖ
ગર્ભવતી	ɡ ə ɾ bʱ ə ʋ ə t̪ i
ગર્ભશ્રીમંત	ɡ ə ɾ bʱ ə ʃ ɾ i m ə n t̪
ગલગોટો	ɡ ə l ɡ o ʈ ɔ
ગલ્લો	ɡ ə l l o
ગળવું	ɡ ə ɭ ʋ ũ
ગળું	ɡ ə ɭ ũ
ગહું	ɡ ə ɦ ũ
ગાંગેય	ɡ ə ŋ ɡ eː j
ગાંજો	ɡ ɑ ɲ d͡ʒ o
ગાંડું	ɡ ɑ ɳ ɖ ũ
ગાંધી	ɡ ɑ n d̪ʱ i
ગાંધીગીરી	ɡ ɑ n d̪ʱ i ɡ i ɾ i
ગાંધીનગર	ɡ ɑ n d̪ʱ i n ə ɡ ə ɾ
ગાછ	ɡ ɑ t͡ʃʰ
ગાજર	ɡ ɑ d͡ʒ ə ɾ
ગાઝા	ɡ ɑ d͡ʒʱ ɑ
ગાડવો	ɡ ɑ ɖ ʋ o
ગાડી	ɡ ɑ ɽ i
ગાણું	ɡ ɑ ɳ ũ
ગાથા	ɡ ɑ t̪ʰ ɑ
ગાદલું	ɡ ɑ d̪ l ũ
ગાભ	ɡ ɑ bʱ
ગાભણી	ɡ ɑ bʱ ɳ i
ગામ	ɡ ɑ m
ગામડું	ɡ ɑ m ɽ ũ
ગાય	ɡ ɑ j
ગાયક	ɡ ɑ j ə k
ગાલ	ɡ ɑ l
ગાલિબ	ɡ ɑ l i b
ગાલીચો	ɡ ɑ l i t͡ʃ o
ગાવી	ɡ ɑ ʋ i
ગાવું	ɡ ɑ ʋ ũ
ગાહ	ɡ ɑʱ
ગિરજા	ɡ i ɾ d͡ʒ ɑ
ગિરદી	ɡ i ɾ d̪ i
ગિરફતારી	ɡ i ɾ ə pʰ t̪ ɑ ɾ i
ગીગી	ɡ i ɡ i
ગીત	ɡ i t̪
ગીતશાસ્ત્ર	ɡ i t̪ ʃ ɑ s t̪ ɾ ə
ગીધ	ɡ i d̪ʱ
ગીનાન	ɡ i n ɑ n
ગીની	ɡ i n i
ગુંડો	ɡ u ɳ ɖ o
ગુજરવું	ɡ u d͡ʒ ə ɾ ʋ ũ
ગુજરાત	ɡ u d͡ʒ ɾ ɑ t̪
ગુજરાતી	ɡ u d͡ʒ ɾ ɑ t̪ i
ગુજરાનવાલા	ɡ u d͡ʒ ɾ ɑ n ʋ ɑ l ɑ
ગુજારિશ	ɡ u d͡ʒ ɑ ɾ i ʃ
ગુણવંત	ɡ u ɳ ʋ ə n t̪
ગુનો	ɡ u n o
ગુફા	ɡ u pʰ ɑ
ગુમ	ɡ u m
ગુમાસ્તો	ɡ u m ɑ s t̪ o
ગુરખો	ɡ u ɾ kʰ o
ગુરુ	ɡ u ɾ u
ગુરુદ્વારા	ɡ u ɾ u d̪ ʋ ɑ ɾ ɑ
ગુરુવાર	ɡ u ɾ u ʋ ɑ ɾ
ગુલ	ɡ u l
ગુલદસ્ત	ɡ u l d̪ ə s t̪
ગુલમોર	ɡ u l m ɔ ɾ
ગુલશન	ɡ u l ʃ ə n
ગુલાબ	ɡ u l ɑ b
ગુલાબજળ	ɡ u l ɑ b d͡ʒ ə ɭ
ગુલાબજાંબુ	ɡ u l ɑ b d͡ʒ ɑ m b u
ગુલાબમાળા	ɡ u l ɑ b m ɑ ɭ ɑ
ગુલાબી	ɡ u l ɑ b i
ગુશતાસ્પ	ɡ u ʃ t̪ ɑ s p
ગુસલ	ɡ u s ə l
ગુસ્તાદ	ɡ u s t̪ ɑ d̪
ગુસ્સો	ɡ u s s o
ગે	ɡ eː
ગેંડો	ɡ eː ɳ ɖ o
ગેરસમજ	ɡ ɛ ɾ s ə m ə d͡ʒ
ગેરહાજર	ɡ ɛ ɾ ɦ ɑ d͡ʒ ə ɾ
ગેરહાજરી	ɡ ɛ ɾ ɦ ə d͡ʒ ɑ ɾ i
ગોકળગાય	ɡ o k ə ɭ ɡ ɑ j
ગોખવું	ɡ o kʰ ʋ ũ
ગોચરી	ɡ o t͡ʃ ɾ i
ગોટલો	ɡ o ʈ l o
ગોઠવણ	ɡ o ʈʰ ʋ ə ɳ
ગોઠો	ɡ o ʈʰ o
ગોતું	ɡ o t̪ ũ
ગોદ	ɡ o d̪
ગોદડી	ɡ o d̪ ɽ i
ગોદડું	ɡ o d̪ ɽ ũ
ગોદામ	ɡ o d̪ ɑ m
ગોધરા	ɡ o d̪ʱ ɾ ɑ
ગોપાલ	ɡ o p ɑ l
ગોપી	ɡ o p i
ગોમાંસ	ɡ o m ɑ̃ s
ગોર	ɡ o r
ગોર	ɡ ɔ r
ગોરપદું	ɡ ɔ ɾ p ə d̪ ũ
ગોરું	ɡ o ɾ ũ
ગોરો	ɡ o ɾ o
ગોલંદાજ	ɡ o l ə n d̪ ɑ d͡ʒ
ગોલાબ	ɡ o l ɑ b
ગોળ	ɡ o ɭ
ગોળધાણા	ɡ o ɭ d̪ʱ ɑ ɳ ɑ
ગોળી	ɡ o ɭ i
ગોવા	ɡ o ʋ ɑ
ગોવાળ	ɡ o ʋ ɑ ɭ
ગોશ્ત	ɡ o ʃ t̪
ગોષ્ઠ	ɡ o ʂ ʈʰ
ગોસ	ɡ o s
ગોસાંઈ	ɡ o s ɑ̃ i
ગોહત્યા	ɡ o ɦ ə t̪ j ɑ
ગોહિલ	ɡ o ɦ i l
ગ્રંથ	ɡ ɾ ə n t̪ʰ
ગ્રીવા	ɡ ɾ i ʋ ɑ
ગ્રીષ્મ	ɡ ɾ i ʂ m ə
ગ્રીસ	ɡ ɾ i s
ગ્લાસ	ɡ l ɑ s
ઘ	ɡʱ ə
ઘંટી	ɡʱ ə ɳ ʈ i
ઘઉં	ɡʱ ə ũ
ઘટવું	ɡʱ ə ʈ ʋ ũ
ઘડિયાળ	ɡʱ ə ɖ i j ɑ ɭ
ઘડિયાળી	ɡʱ ə ɖ i j ɑ ɭ i
ઘડી	ɡʱ ə ɽ i
ઘડો	ɡʱ ə ɽ ɔ
ઘણું	ɡʱ ə ɳ ũ
ઘર	ɡʱ ə ɾ
ઘરકામ	ɡʱ ə ɾ k ɑ m
ઘરડું	ɡʱ ə ɾ ɖ ũ
ઘરેણું	ɡʱ ə ɾ ɛ ɳ ũ
ઘરો	ɡʱ ə ɾ o
ઘવાવું	ɡʱ ə ʋ ɑ ʋ ũ
ઘસવું	ɡʱ ə s ʋ ũ
ઘામ	ɡʱ ɑ m
ઘારણ	ɡʱ ɑ ɾ ə ɳ
ઘાસ	ɡʱ ɑ s
ઘી	ɡʱ i
ઘુવડ	ɡʱ u ʋ ə ɖ
ઘૂંટ	ɡʱ ũ ʈ
ઘૂંટણ	ɡʱ ũ ʈ ə ɳ
ઘૂઘરો	ɡʱ u ɡʱ ɾ o
ઘૂમટો	ɡʱ u m ʈ o
ઘૂમર	ɡʱ u m ə ɾ
ઘૂસવું	ɡʱ u s ʋ ũ
ઘેટાંપાળક	ɡʱ eː ʈ ɑ̃ p ɑ ɭ ə k
ઘેટું	ɡʱ eː ʈ ũ
ઘો	ɡʱ o
ઘોઘો	ɡʱ o ɡʱ o
ઘોડલો	ɡʱ o ɖ l o
ઘોડાગાડી	ɡʱ o ɖ ɑ ɡ ɑ ɖ i
ઘોડું	ɡʱ o ɽ ũ
ઘોડો	ɡʱ o ɽ o
ઘોષ	ɡʱ o ʂ
ઙ	ŋ ə
ચ	t͡ʃ ə
ચંદન	t͡ʃ ə n d̪ ə n
ચંદ્ર	t͡ʃ ə n d̪ ɾ ə
ચંદ્રબિંદુ	t͡ʃ ə n d̪ ɾ ə b i n d̪ u
ચંદ્રવાર	t͡ʃ ə n d̪ ɾ ə ʋ ɑ ɾ
ચંપલ	t͡ʃ ə m p ə l
ચંબેલી	t͡ʃ ə m b eː l i
ચકડોળ	t͡ʃ ə k ɖ o ɭ
ચકલી	t͡ʃ ə k l i
ચકલું	t͡ʃ ə k l ũ
ચકલો	t͡ʃ ə k l o
ચકવે	t͡ʃ ə k ʋ ɛ
ચકોર	t͡ʃ ə k o ɾ
ચક્કર	t͡ʃ ə k k ə ɾ
ચક્ર	t͡ʃ ə k ɾ ə
ચટગાંવ	t͡ʃ ə ʈ ɡ ɑ̃ ʋ
ચટ્ટોપાધ્યાય	t͡ʃ ə ʈ ʈ o p ɑ d̪ʱ j ɑ j
ચડ્ડી	t͡ʃ ə ɖ ɖ i
ચઢવું	t͡ʃ ə ɖʱ ʋ ũ
ચણિયો	t͡ʃ ə ɳ i j o
ચણો	t͡ʃ ə ɳ o
ચપટી	t͡ʃ ə p ʈ i
ચમચી	t͡ʃ ə m t͡ʃ i
ચમચો	t͡ʃ ə m t͡ʃ o
ચમત્કાર	t͡ʃ ə m ə t̪ k ɑ ɾ
ચમાર	t͡ʃ ə m ɑ ɾ
ચરખો	t͡ʃ ə ɾ kʰ o
ચરો	t͡ʃ ə ɾ o
ચર્ચ	t͡ʃ ə ɾ t͡ʃ
ચર્ચગેટ	t͡ʃ ə ɾ t͡ʃ ɡ eː ʈ
