Ё	j ɔ
ангигүйгээ	a ŋ k i ɣ u i̯ ɣ eː
ангид	a ŋ k i t
ангидаа	a ŋ k i t aː
ангийг	a ŋ k iː k
ангийгаа	a ŋ k iː k aː
ангийн	a ŋ k iː ŋ
ангийнхаа	a ŋ k iː ŋ x aː
ангийнхан	a ŋ k iː ŋ x a ŋ
ангитай	a ŋ k i tʰ ɛː
ангитайгаа	a ŋ k i tʰ ɛː k aː
ангиуд	a ŋ k i̯ ʊː t
ангиудаа	a ŋ k i̯ ʊː t aː
ангиудаар	a ŋ k i̯ ʊː t aː r̥
ангиудаараа	a ŋ k i̯ ʊː t aː r aː
ангиудаас	a ŋ k i̯ ʊː t aː s
ангиудаасаа	a ŋ k i̯ ʊː t aː s aː
ангиудад	a ŋ k i̯ ʊː t a t
ангиудгүй	a ŋ k i̯ ʊː t k u i̯
ангиудгүйгээ	a ŋ k i̯ ʊː t k u i̯ ɣ eː
ангиуддаа	a ŋ k i̯ ʊː t͉ t aː
ангиудтай	a ŋ k i̯ ʊː t tʰ ɛː
ангиудтайгаа	a ŋ k i̯ ʊː t tʰ ɛː k aː
ангиудыг	a ŋ k i̯ ʊː t i k
ангиудыгаа	a ŋ k i̯ ʊː t i ɣ aː
ангиудын	a ŋ k i̯ ʊː t i ŋ
ангиудынхаа	a ŋ k i̯ ʊː t i ŋ x aː
англи	a ŋ k i ɮ
англичууд	a ŋ k ɮ i t͡ɕʰ ʊː t
анекдот	a nʲ ɵ kʰ t ɔ tʰ
анх	a ŋ x
анхаарал	a ŋ x aː r a ɮ
анхилга	a ŋ x i ɮ k
анхилгаа	a ŋ x i ɮ k aː
анхилгаар	a ŋ x i ɮ k aː r̥
анхилгаараа	a ŋ x i ɮ k aː r aː
анхилгаас	a ŋ x i ɮ k aː s
анхилгаасаа	a ŋ x i ɮ k aː s aː
анхилгагүй	a ŋ x i ɮ k a ɣ u i̯
анхилгагүйгээ	a ŋ x i ɮ k a ɣ u i̯ ɣ eː
анхилгад	a ŋ x i ɮ k a t
анхилгадаа	a ŋ x i ɮ k a t aː
анхилгатай	a ŋ x i ɮ k a tʰ ɛː
анхилгатайгаа	a ŋ x i ɮ k a tʰ ɛː k aː
анхилгууд	a ŋ x i ɮ k ʊː t
анхилгуудаа	a ŋ x i ɮ k ʊː t aː
анхилгуудаар	a ŋ x i ɮ k ʊː t aː r̥
анхилгуудаараа	a ŋ x i ɮ k ʊː t aː r aː
анхилгуудаас	a ŋ x i ɮ k ʊː t aː s
анхилгуудаасаа	a ŋ x i ɮ k ʊː t aː s aː
анхилгуудад	a ŋ x i ɮ k ʊː t a t
анхилгуудгүй	a ŋ x i ɮ k ʊː t k u i̯
анхилгуудгүйгээ	a ŋ x i ɮ k ʊː t k u i̯ ɣ eː
анхилгууддаа	a ŋ x i ɮ k ʊː t͉ t aː
анхилгуудтай	a ŋ x i ɮ k ʊː t tʰ ɛː
анхилгуудтайгаа	a ŋ x i ɮ k ʊː t tʰ ɛː k aː
анхилгуудыг	a ŋ x i ɮ k ʊː t i k
анхилгуудыгаа	a ŋ x i ɮ k ʊː t i ɣ aː
анхилгуудын	a ŋ x i ɮ k ʊː t i ŋ
анхилгуудынхаа	a ŋ x i ɮ k ʊː t i ŋ x aː
анхилгыг	a ŋ x i ɮ k i k
анхилгыгаа	a ŋ x i ɮ k i ɣ aː
анхилгын	a ŋ x i ɮ k i ŋ
анхилгынхаа	a ŋ x i ɮ k i ŋ x aː
анчдаар	a n t͡ɕʰ t aː r̥
анчдаас	a n t͡ɕʰ t aː s
анчдад	a n t͡ɕʰ t a t
анчдыг	a n t͡ɕʰ t i k
анчдын	a n t͡ɕʰ t i ŋ
анчдынх	a n t͡ɕʰ t i ŋ x
анчид	a n t͡ɕʰ i t
анчидгүй	a n t͡ɕʰ i t k u i̯
анчидтай	a n t͡ɕʰ i t tʰ ɛː
анчин	a n t͡ɕʰ i ŋ
анчингүй	a n t͡ɕʰ i ŋ k u i̯
анчинд	a n t͡ɕʰ i n t
анчинтай	a n t͡ɕʰ i n tʰ ɛː
анчнаар	a n t͡ɕʰ n aː r̥
анчнаас	a n t͡ɕʰ n aː s
анчны	a n t͡ɕʰ n i
анчныг	a n t͡ɕʰ n i k
анчных	a n t͡ɕʰ n i x
анчныхан	a n t͡ɕʰ n i x a ŋ
апелсин	a pʰʲ ɵ ɮ s i ŋ
аппарат	a pʰ a r a tʰ
аптек	a pʰ tʰ e kʰ
араар	a r aː r̥
араас	a r aː s
аравдугаар	a r a w̜ t ʊ ɣ aː r̥
арал	a r ə ɮ
арбитраж	a r p i tʰ r a t͡ɕ
арвай	a r w a i
арга	a r k
аргүй	a r k u i̯
ард	a r t
ардчилах	a r t t͡ɕʰ i ɮ a x
артай	a r̥ tʰ ɛː
архиваар	a r x i w̜ aː r̥
архиваас	a r x i w̜ aː s
архивгүй	a r x i w̜ k u i̯
архивт	a r x i w̜ tʰ
архивтай	a r x i w̜ tʰ ɛː
архивууд	a r x i w̜ ʊː t
архивуудаар	a r x i w̜ ʊː t aː r̥
архивуудаас	a r x i w̜ ʊː t aː s
архивуудад	a r x i w̜ ʊː t a t
архивуудгүй	a r x i w̜ ʊː t k u i̯
архивуудтай	a r x i w̜ ʊː t tʰ ɛː
архивуудыг	a r x i w̜ ʊː t i k
архивуудын	a r x i w̜ ʊː t i ŋ
архивыг	a r x i w̜ i k
архивын	a r x i w̜ i ŋ
архичин	ɛ r x t͜ɕʰ ə ŋ
архичны	a r x i t͡ɕʰ n i
арц	a r̥ t͡sʰ
арыг	a r i k
арын	a r i ŋ
арынх	a r i ŋ x
арынхан	a r i ŋ x a ŋ
арьс	a rʲ s
арьстан	a rʲ s tʰ a ŋ
арьстны	a rʲ s tʰ n i
асуух	a s ʊ x
атаа	a tʰ a
атаархах	a tʰ a r x ə x
аугаа	a ʊ̯ ɣ aː
африкаанс	a f r i kʰ aː n s
ахлагч	a x ɮ a k t͡ɕʰ
ахмад	a x m a t
ац	a t͡sʰ
ачаа	ä t͡ʃʰ äː
ачих	a t͡ɕʰ i x
ая	a j
аяган	a j a ɣ a ŋ
б	p
ба	p a
баавар	p aː w̜ ə r
баавгай	p aː w̜ k ɛː
баасан	p aː s a ŋ
баатар	p aː tʰ a r̥
баах	p aː x
баг	p a k
бага	p a ɢ
багааж	p a ɣ aː t͡ɕ
багаж	p a ɢ t͡ɕ
баглаа	p a k ɮ aː
багс	p a ɡ s
бадмаараг	p a t m aː r a k
байгалиа	p ɛː k a ɮ i̯ aː
байгалиар	p ɛː k a ɮ i̯ aː r̥
байгалиараа	p ɛː k a ɮ i̯ aː r aː
байгалиас	p ɛː k a ɮ i̯ aː s
байгалиасаа	p ɛː k a ɮ i̯ aː s aː
байгалийг	p ɛː k a ɮ iː k
байгалийгаа	p ɛː k a ɮ iː k aː
байгалийн	p ɛː k a ɮ iː ŋ
байгалийнх	p ɛː k a ɮ iː ŋ x
байгалийнхаа	p ɛː k a ɮ iː ŋ x aː
байгалийнхан	p ɛː k a ɮ iː ŋ x a ŋ
байгальгүй	p ɛː k a ɮʲ k u i̯
байгальгүйгээ	p ɛː k a ɮʲ k u i̯ ɣ eː
байгальд	p ɛː k a ɮʲ t
байгальдаа	p ɛː k a ɮʲ t aː
байгальтай	p ɛː k a ɮʲ tʰ ɛː
байгальтайгаа	p ɛː k a ɮʲ tʰ ɛː k aː
байгууллага	p ɛː k ʊː ɮː a ɣ
байгууллагаар	p ɛː k ʊː ɮː a ɣ aː r̥
байгууллагаас	p ɛː k ʊː ɮː a ɣ aː s
байгууллагагүй	p ɛː k ʊː ɮː a ɣ a k u i̯
байгууллагад	p ɛː k ʊː ɮː a ɣ a t
байгууллагатай	p ɛː k ʊː ɮː a ɣ a tʰ ɛː
байгууллагууд	p ɛː k ʊː ɮː a ɣ ʊː t
байгууллагуудаар	p ɛː k ʊː ɮː a ɣ ʊː t aː r̥
байгууллагуудаас	p ɛː k ʊː ɮː a ɣ ʊː t aː s
байгууллагуудад	p ɛː k ʊː ɮː a ɣ ʊː t a t
байгууллагуудгүй	p ɛː k ʊː ɮː a ɣ ʊː t k u i̯
байгууллагуудтай	p ɛː k ʊː ɮː a ɣ ʊː t tʰ ɛː
байгууллагуудыг	p ɛː k ʊː ɮː a ɣ ʊː t i k
байгууллагуудын	p ɛː k ʊː ɮː a ɣ ʊː t i ŋ
байгууллагуудынх	p ɛː k ʊː ɮː a ɣ ʊː t i ŋ x
байгууллагуудынхан	p ɛː k ʊː ɮː a ɣ ʊː t i ŋ x a ŋ
байгууллагыг	p ɛː k ʊː ɮː a ɣ i k
байгууллагын	p ɛː k ʊː ɮː a ɣ i ŋ
байгууллагынх	p ɛː k ʊː ɮː a ɣ i ŋ x
байгууллагынхан	p ɛː k ʊː ɮː a ɣ i ŋ x a ŋ
байдал	p ɛː t a ɮ
байлдагч	p ɛː ɮ t a k t͡ɕʰ
баймж	p ɛː m t͡ɕ
байна	p æː n
байр	p ɛː r̥
байраа	p ɛː r aː
байраар	p ɛː r aː r̥
байраараа	p ɛː r aː r aː
байран	p ɛː r a ŋ
байранд	p ɛː r a n t
байрандаа	p ɛː r a n t aː
байргүй	p ɛː r k u i̯
байргүйгээ	p ɛː r k u i̯ ɣ eː
байрнаас	p ɛː r n aː s
байрнаасаа	p ɛː r n aː s aː
байрнууд	p ɛː r n ʊː t
байрнуудаа	p ɛː r n ʊː t aː
байрнуудаар	p ɛː r n ʊː t aː r̥
байрнуудаараа	p ɛː r n ʊː t aː r aː
байрнуудаас	p ɛː r n ʊː t aː s
байрнуудаасаа	p ɛː r n ʊː t aː s aː
байрнуудад	p ɛː r n ʊː t a t
байрнуудгүй	p ɛː r n ʊː t k u i̯
байрнуудгүйгээ	p ɛː r n ʊː t k u i̯ ɣ eː
байрнууддаа	p ɛː r n ʊː t͉ t aː
байрнуудтай	p ɛː r n ʊː t tʰ ɛː
байрнуудтайгаа	p ɛː r n ʊː t tʰ ɛː k aː
байрнуудыг	p ɛː r n ʊː t i k
байрнуудыгаа	p ɛː r n ʊː t i ɣ aː
байрнуудын	p ɛː r n ʊː t i ŋ
байрнуудынх	p ɛː r n ʊː t i ŋ x
байрнуудынхаа	p ɛː r n ʊː t i ŋ x aː
байрнуудынхан	p ɛː r n ʊː t i ŋ x a ŋ
байрны	p ɛː r n i
байрных	p ɛː r n i x
байрныхаа	p ɛː r n i x aː
байрныхан	p ɛː r n i x a ŋ
байртай	p ɛː r̥ tʰ ɛː
байртайгаа	p ɛː r̥ tʰ ɛː k aː
байрыг	p ɛː r i k
байрыгаа	p ɛː r i ɣ aː
байх	p æː χ
байц	p a i t͡sʰ
байцаа	p ɛː t͡sʰ aː
байцаатай	p ɛː t͡sʰ aː tʰ ɛː
бакалавр	p a kʰ a ɮ a w̜ r̥
баклава	p a kʰ ɮ a w̜ a
балар	p a ɮ a r̥
балархай	p a ɮ a r x ɛː
балет	p a ɮʲ ɵ tʰ
бандан	p a n t a ŋ
банжо	p a n t͡ɕ ɔ
банзал	p a n t͡s a ɮ
банк	p a ŋ kʰ
бар	p a r
бараг	p a r a k
барамнас	p a r a m n a s
барга	p ä r ə q
барилга	p a rʲ ɮ a ɢ
барилдах	p a r i ɮ t a x
барих	p a rʲ ə x
баруун	p a r ʊː n
баруунтан	p ä r ʊː n tʰ ə ŋ
бассейн	b a s e j ŋ
батарей	p a tʰ a rʲ ɵ i̯
батга	p a tʰ k
батган	p a tʰ k a ŋ
батраш	p a tʰ r a ɕ
бахиал	p a x i̯ aː ɮ
баяд	p ä j t ə
баялаг	p a j ɮ ə k̠
баян	p a j ə ŋ̠
баянаар	p a j a n aː r̥
баянаас	p a j a n aː s
баянгүй	p a j a ŋ k u i̯
баянд	p a j a n t
баянтай	p a j a n tʰ ɛː
баяны	p a j a n i
баяныг	p a j a n i k
баяр	p a j r
баяртай	p a j ə̠ r tʰ æː
баячуудын	p a j a t͡ɕʰ ʊː t i ŋ
бид	p i t
бийр	p iː r
бич	p i t͡ɕʰ
бичгийн	p i t͡ɕʰ k iː ŋ
бичлэг	p i t͡ʃʰ ɮ e ɡ
бичээч	p i t͡ɕʰ eː t͡ɕʰ
блог	p ɮ ɔ k
блүтүүт	p ɮ u tʰ uː tʰ
богино	p ɔ ɡʲ ə n
бодибилдинг	p ɔ t i p i ɮ t i ŋ k
бодис	p œ t ʊ s
бодох	p ɔ t ɔ x
бодьсадва	p ɔ tʲ s a t w̜
бойжих	p ɔ i t͡ɕ ə x
бойпор	p ɔ i̯ pʰ ɔ r̥
боломж	p ɔ ɮ ə m t͡ɕ
болон	p ɔ ɮ ɔ ŋ
болор	p ɔ ɮ ʊ r
болох	p ɔ ɮ ə x
болохоор	p ɔ ɮ χ ɔː r
больниц	p ɔ ɮʲ nʲ ə t͡sʰ
боов	p ɔː w
боодог	p oː t ɔ k
боол	p oː ɮ
боомт	p oː m tʰ
боорцог	p ɔː r t͡sʰ ə ɡ
боох	p oː x
боохой	p oː x ɔ i̯
боошиг	p oː ɕ i k
борной	p ɔ r n ɔ i
бороо	p ɔ r oː
борш	p ɔ r ɕ
борщ	p ɔ r ɕ
бослого	p ɔ s ɮ ə ɢ
босох	p ɔ s ə x
боть	p œ tʰ
бохь	p ɔ xʲ
бригад	p r i ɣ a t
британичууд	p r i tʰ a n i t͡ɕʰ ʊː t
буга	p ʊ ɢ
буддаа	p ʊ t͉ t aː
буддаар	p ʊ t͉ t aː r̥
буддаараа	p ʊ t͉ t aː r aː
буддаас	p ʊ t͉ t aː s
буддаасаа	p ʊ t͉ t aː s aː
буддагүй	p ʊ t͉ t a ɣ u i̯
буддагүйгээ	p ʊ t͉ t a ɣ u i̯ ɣ eː
буддад	p ʊ t͉ t a t
буддадаа	p ʊ t͉ t a t aː
буддатай	p ʊ t͉ t a tʰ ɛː
буддатайгаа	p ʊ t͉ t a tʰ ɛː k aː
буддизм	p ʊ t͉ t i t͡s m
буддыг	p ʊ t͉ t i k
буддыгаа	p ʊ t͉ t i ɣ aː
буддын	p ʊ t͉ t i ŋ
буддынх	p ʊ t͉ t i ŋ x
буддынхаа	p ʊ t͉ t i ŋ x aː
буддынхан	p ʊ t͉ t i ŋ x a ŋ
буйдан	p ʊ i̯ t a ŋ
буйл	p ʊ i ɮ
булаалгах	p ʊ ɮ aː ɮ k a x
булаах	p ʊ ɮ aː x
булаацалдах	p ʊ ɮ aː t͡sʰ a ɮ t a x
булга	p ʊ ɮ ə ɢ
булган	p ʊ ɮ k a ŋ
булчирхай	p ʊ ɮ t͡ɕʰ ə r x a i
бульдозер	p ʊ ɮʲ t ɔ t͡s j ɵ r̥
бульдозерчин	p ʊ ɮʲ t ɔ t͡s j ɵ r̥ t͡ɕʰ i ŋ
бум	p ʊ m
бумба	p ʊ m p
бургасаар	p ʊ r k a s aː r̥
бургасан	p ʊ r k a s a ŋ
бургасанд	p ʊ r k a s a n t
бургасгүй	p ʊ r k a s k u i̯
бургаснаас	p ʊ r k a s n aː s
бургаснууд	p ʊ r k a s n ʊː t
бургаснуудаар	p ʊ r k a s n ʊː t aː r̥
бургаснуудаас	p ʊ r k a s n ʊː t aː s
бургаснуудад	p ʊ r k a s n ʊː t a t
бургаснуудгүй	p ʊ r k a s n ʊː t k u i̯
бургаснуудтай	p ʊ r k a s n ʊː t tʰ ɛː
бургаснуудыг	p ʊ r k a s n ʊː t i k
бургаснуудын	p ʊ r k a s n ʊː t i ŋ
бургаснуудынх	p ʊ r k a s n ʊː t i ŋ x
бургаснуудынхан	p ʊ r k a s n ʊː t i ŋ x a ŋ
бургасны	p ʊ r k a s n i
бургасных	p ʊ r k a s n i x
бургасныхан	p ʊ r k a s n i x a ŋ
бургастай	p ʊ r k a s tʰ ɛː
бургасыг	p ʊ r k a s i k
бурхан	p ʊ r x a ŋ
буудал	p ʊː t a ɮ
бууз	p ʊː t͡s
бууралтах	p ʊː r ə ɮ tʰ ə x
бух	p ʊ x
буян	p ʊ j ə ŋ
бэ	p e
бэйкери	p e i̯ kʰʲ ɵ r i
бэлтгэл	p e ɮ tʰ ɡ e ɮ
бэлэг	p i ɮ i ɡ
бэх	p e x
бямба	pʲ a m p
бярга	pʲ a r k
бяруу	pʲ a r ʊ
бясалгал	pʲ a s ə ɮ ɢ ə ɮ
бясалгах	pʲ a s ə ɮ ɢ ə x
бүжигчин	p u t͡ɕ ə ɡ t͡ɕʰ ə ŋ
бүйлс	p u i ɮ s
бүр	p u r
бүрхэвч	p u r x e w̜ t͡ɕʰ
бүрхүүл	p u r x u ɮ
бүс	p u s
бүсгүйчүүдэд	p u s k u i̯ t͡ɕʰ uː t e t
бүтээвэр	p u tʰ eː w̜ e r̥
бүх	p u x
бүхний	p u x n iː
бүхнээр	p u x n eː r̥
бүхнээс	p u x n eː s
бүхэн	p u x ə ŋ
бүхэнд	p u x e n t
бүхэнтэй	p u x e n tʰ e i̯
бөгс	p ɵ k s
бөгөөд	p ɵ ɣ ɵː t
бөднө	p o t ə n
бөс	p ɵ s
бөхчүүд	p ɵ x t͡ɕʰ uː t
бөхчүүдийн	p ɵ x t͡ɕʰ uː t iː ŋ
бөө	p ɵː
бөөг	p ɵː k
бөөгийн	p ɵː k iː ŋ
бөөгийнх	p ɵː k iː ŋ x
бөөгийнхөн	p ɵː k iː ŋ x ɵ ŋ
бөөгүй	p ɵː k u i̯
бөөгөөр	p ɵː k ɵː r̥
бөөгөөс	p ɵː k ɵː s
бөөд	p ɵː t
бөөлжих	p oː ɮ t͡ɕ ə x
бөөс	p oː s
бөөтэй	p ɵː tʰ e i̯
в	w̜
ваар	w̜ aː r̥
вавилончууд	w̜ a w̜ i ɮ ɔ n t͡ɕʰ ʊː t
вакцин	w̜ a kʰ t͡sʰ i ŋ
валют	w̜ a ɮʲ ʊ tʰ
ван	w a ŋ̠
веб	w̜ʲ ɵ p
видео	w̜ i tʲ ɵ
вий	w̜ iː
вирус	w̜ i r ʊ s
вирусгүй	w̜ i r ʊ s k u i̯
вирусийг	w̜ i r ʊ s iː k
вирусийн	w̜ i r ʊ s iː ŋ
вируст	w̜ i r ʊ s tʰ
вирустэй	w̜ i r ʊ s tʰ e i̯
вирусээр	w̜ i r ʊ s eː r̥
вирусээс	w̜ i r ʊ s eː s
вирусүүд	w̜ i r ʊ s uː t
вирусүүдгүй	w̜ i r ʊ s uː t k u i̯
вирусүүдийг	w̜ i r ʊ s uː t iː k
вирусүүдийн	w̜ i r ʊ s uː t iː ŋ
вирусүүдтэй	w̜ i r ʊ s uː t tʰ e i̯
вирусүүдэд	w̜ i r ʊ s uː t e t
вирусүүдээр	w̜ i r ʊ s uː t eː r̥
вирусүүдээс	w̜ i r ʊ s uː t eː s
вэ	w̜ e
г	k
г	ɡ
г	ɢ
гаанс	ɢ aː n s
гавал	ɢ a w ə ɮ
гадил	ɢ a tʲ ə ɮ
гадна	ɢ a t ə n
газарч	k a t͡s a r̥ t͡ɕʰ
гайхал	ɢ a i x a ɮ
гайхалгүй	k ɛː x a ɮ k u i̯
гайхалд	k ɛː x a ɮ t
гайхалтай	k ɛː x a ɮ tʰ ɛː
гайхамшиг	ɢ a i x a m ʃ i ɡ
гайхамшигтай	ɢ a i x a m ʃ i ɡ tʰ a i
гайхах	ɢ a i x a x
гайхлаар	k ɛː x ɮ aː r̥
гайхлаас	k ɛː x ɮ aː s
гайхлууд	k ɛː x ɮ ʊː t
гайхлуудаар	k ɛː x ɮ ʊː t aː r̥
гайхлуудаас	k ɛː x ɮ ʊː t aː s
гайхлуудад	k ɛː x ɮ ʊː t a t
гайхлуудгүй	k ɛː x ɮ ʊː t k u i̯
гайхлуудтай	k ɛː x ɮ ʊː t tʰ ɛː
гайхлуудыг	k ɛː x ɮ ʊː t i k
гайхлуудын	k ɛː x ɮ ʊː t i ŋ
гайхлыг	k ɛː x ɮ i k
гайхлын	k ɛː x ɮ i ŋ
гал	ɢ a ɮ
галдах	ɢ a ɮ t ə x
галиг	k a ɮ i k
галигаар	k a ɮ i ɣ aː r̥
галигаас	k a ɮ i ɣ aː s
галиггүй	k a ɮ i ɣ u i̯
галигийг	k a ɮ i ɣ iː k
галигийн	k a ɮ i ɣ iː ŋ
галигт	k a ɮ i k tʰ
галигтай	k a ɮ i k tʰ ɛː
галигууд	k a ɮ i ɣ ʊː t
галигуудаар	k a ɮ i ɣ ʊː t aː r̥
галигуудаас	k a ɮ i ɣ ʊː t aː s
галигуудад	k a ɮ i ɣ ʊː t a t
галигуудгүй	k a ɮ i ɣ ʊː t k u i̯
галигуудтай	k a ɮ i ɣ ʊː t tʰ ɛː
галигуудыг	k a ɮ i ɣ ʊː t i k
галигуудын	k a ɮ i ɣ ʊː t i ŋ
галт	ɢ a ɮ tʰ
галуу	ɢ a ɮ ʊː
гамбургер	k a m p ʊ r kʲ ɵ r̥
ган	ɢ a ŋ
ганжин	ɢ a n t͡ɕ ə ŋ
ганц	ɢ a n t͡sʰ
гар	ɢ a r
гараас	k a r aː s
гарааш	k a r aː ɕ
гараг	k a r a k
гараж	k a r a t͡ɕ
гарал	k a r a ɮ
гарах	ɢ a r ə x
гараш	k a r a ɕ
гариг	k a r i k
гарт	ɢ ä r tʰ
гарчиг	ɢ a r t͡ɕʰ ə ɡ
гатлах	ɢ a tʰ ɮ ə x
гахай	ɢ a χ æː
гектар	kʲ ɵ kʰ tʰ a r̥
гелий	kʲ ɵ ɮ iː
герман	ɡ e r m aˑ ŋ
гийгэх	ɡ iː ɡ ĕ x
гийгүүлэгч	k iː k uː ɮ e k t͡ɕʰ
гийгүүлэх	ɡ iː ɡ uː ɮ ĕ x
гитар	k i tʰ a r̥
гитараа	k i tʰ a r aː
гитараар	k i tʰ a r aː r̥
гитараараа	k i tʰ a r aː r aː
гитараас	k i tʰ a r aː s
гитараасаа	k i tʰ a r aː s aː
гитаргүй	k i tʰ a r k u i̯
гитаргүйгээ	k i tʰ a r k u i̯ ɣ eː
гитарт	k i tʰ a r̥ tʰ
гитартаа	k i tʰ a r̥ tʰ aː
гитартай	k i tʰ a r̥ tʰ ɛː
гитартайгаа	k i tʰ a r̥ tʰ ɛː k aː
гитарууд	k i tʰ a r ʊː t
гитаруудаа	k i tʰ a r ʊː t aː
гитаруудаар	k i tʰ a r ʊː t aː r̥
гитаруудаараа	k i tʰ a r ʊː t aː r aː
гитаруудаас	k i tʰ a r ʊː t aː s
гитаруудаасаа	k i tʰ a r ʊː t aː s aː
гитаруудад	k i tʰ a r ʊː t a t
гитаруудгүй	k i tʰ a r ʊː t k u i̯
гитаруудгүйгээ	k i tʰ a r ʊː t k u i̯ ɣ eː
гитарууддаа	k i tʰ a r ʊː t͉ t aː
гитаруудтай	k i tʰ a r ʊː t tʰ ɛː
гитаруудтайгаа	k i tʰ a r ʊː t tʰ ɛː k aː
гитаруудыг	k i tʰ a r ʊː t i k
гитаруудыгаа	k i tʰ a r ʊː t i ɣ aː
гитаруудын	k i tʰ a r ʊː t i ŋ
гитаруудынх	k i tʰ a r ʊː t i ŋ x
гитаруудынхаа	k i tʰ a r ʊː t i ŋ x aː
гитаруудынхан	k i tʰ a r ʊː t i ŋ x a ŋ
гитарыг	k i tʰ a r i k
гитарыгаа	k i tʰ a r i ɣ aː
гитарын	k i tʰ a r i ŋ
гитарынх	k i tʰ a r i ŋ x
гитарынхаа	k i tʰ a r i ŋ x aː
гитарынхан	k i tʰ a r i ŋ x a ŋ
гич	k i t͡ɕʰ
гоймон	ɢ ɔ i m ə ŋ
гол	ɢ ɔ ɮ
гольф	k ɔ ɮʲ f
гольфчин	k ɔ ɮʲ f t͡ɕʰ i ŋ
гомдоох	ɢ ɔ m t ɔː x
гомдох	ɢ ɔ m t ɔ x
граж	k r a t͡ɕ
грек	k rʲ ɵ kʰ
грекгүй	k rʲ ɵ kʰ k u i̯
грекгүйгээ	k rʲ ɵ kʰ k u i̯ ɣ eː
грекийг	k rʲ ɵ kʰ iː k
грекийгээ	k rʲ ɵ kʰ iː k eː
грекийн	k rʲ ɵ kʰ iː ŋ
грекийнх	k rʲ ɵ kʰ iː ŋ x
грекийнхэн	k rʲ ɵ kʰ iː ŋ x e ŋ
грекийнхээ	k rʲ ɵ kʰ iː ŋ x eː
грект	k rʲ ɵ kʰ tʰ
гректэй	k rʲ ɵ kʰ tʰ e i̯
гректэйгээ	k rʲ ɵ kʰ tʰ e i̯ ɣ eː
гректээ	k rʲ ɵ kʰ tʰ eː
грекчүүд	k rʲ ɵ kʰ t͡ɕʰ uː t
грекээ	k rʲ ɵ kʰ eː
грекээр	k rʲ ɵ kʰ eː r̥
грекээрээ	k rʲ ɵ kʰ eː r eː
грекээс	k rʲ ɵ kʰ eː s
грекээсээ	k rʲ ɵ kʰ eː s eː
грекүүд	k rʲ ɵ kʰ uː t
грекүүдгүй	k rʲ ɵ kʰ uː t k u i̯
грекүүдгүйгээ	k rʲ ɵ kʰ uː t k u i̯ ɣ eː
грекүүддээ	k rʲ ɵ kʰ uː t͉ t eː
грекүүдийг	k rʲ ɵ kʰ uː t iː k
грекүүдийгээ	k rʲ ɵ kʰ uː t iː k eː
грекүүдийн	k rʲ ɵ kʰ uː t iː ŋ
грекүүдийнх	k rʲ ɵ kʰ uː t iː ŋ x
грекүүдийнхэн	k rʲ ɵ kʰ uː t iː ŋ x e ŋ
грекүүдийнхээ	k rʲ ɵ kʰ uː t iː ŋ x eː
грекүүдтэй	k rʲ ɵ kʰ uː t tʰ e i̯
грекүүдтэйгээ	k rʲ ɵ kʰ uː t tʰ e i̯ ɣ eː
грекүүдэд	k rʲ ɵ kʰ uː t e t
грекүүдээ	k rʲ ɵ kʰ uː t eː
грекүүдээр	k rʲ ɵ kʰ uː t eː r̥
грекүүдээрээ	k rʲ ɵ kʰ uː t eː r eː
грекүүдээс	k rʲ ɵ kʰ uː t eː s
грекүүдээсээ	k rʲ ɵ kʰ uː t eː s eː
групп	k r ʊ pʰ
гуай	k u̯ ɛː
гуайг	k u̯ ɛː k
гуайгаар	k u̯ ɛː k aː r̥
гуайгаас	k u̯ ɛː k aː s
гуайгүй	k u̯ ɛː k u i̯
гуайд	k u̯ ɛː t
гуайн	k u̯ ɛː ŋ
гуайнд	k u̯ ɛː n t
гуайнууд	k u̯ ɛː n ʊː t
гуайнуудаар	k u̯ ɛː n ʊː t aː r̥
гуайнуудаас	k u̯ ɛː n ʊː t aː s
гуайнуудад	k u̯ ɛː n ʊː t a t
гуайнуудгүй	k u̯ ɛː n ʊː t k u i̯
гуайнуудтай	k u̯ ɛː n ʊː t tʰ ɛː
гуайнуудыг	k u̯ ɛː n ʊː t i k
гуайнуудын	k u̯ ɛː n ʊː t i ŋ
гуайнуудынд	k u̯ ɛː n ʊː t i n t
гуайтай	k u̯ ɛː tʰ ɛː
гудамж	ɢ ʊ t ə m t͡ɕ
гуйх	ɢ ʊ i x
гулууз	ɢ ʊ ɮ ʊ t͡s
гурав	ɢ ʊ r ə w
гуравдугаар	k ʊ r a w̜ t ʊ ɣ aː r̥
гурамсан	k ʊ r a m s a ŋ
гурил	ɢ ʊ rʲ ə ɮ
гутаах	ɢ ʊ tʰ a x
гутал	ɢ ʊ tʰ ə ɮ
гууль	ɢ ʊː ɮʲ
гуя	k ʊ j
гэ	k e
гэгээнтэн	k e ɣ eː n tʰ e ŋ
гэдэс	k e t e s
гэлэн	ɡ i ɮ ə ŋ
гэлэнмаа	ɡ i ɮ ə m m a
гэмших	ɡ i m ʃ ə x
гэр	ɡ e r
гэргий	ɡ e r ɡ iː
гэргүй	k e r k u i̯
гэргүйгээ	k e r k u i̯ ɣ eː
гэрийг	k e r iː k
гэрийгээ	k e r iː k eː
гэрийн	k e r iː ŋ
гэрийнх	k e r iː ŋ x
гэрийнхээ	k e r iː ŋ x eː
гэрт	k e r̥ tʰ
