अ	ə
खयालें	x ə j ɑː l ẽː
खयालो	kʰ ə j ɑː l oː
खयालो	x ə j ɑː l oː
खयालों	kʰ ə j ɑː l õː
खयालों	x ə j ɑː l õː
खरगोश	kʰ ə ɾ ɡ oː ʃ
खरगोश	x ə ɾ ɡ oː ʃ
खरब	kʰ ə ɾ ə b
खरा	kʰ ə ɾ ɑː
खराई	kʰ ə ɾ ɑː iː
खरोंच	kʰ ə ɾ oː n t͡ʃ
खरोंचना	kʰ ə ɾ oː n t͡ʃ n ɑː
खर्च	kʰ ə ɾ t͡ʃ
खर्च	x ə ɾ t͡ʃ
खर्जु	kʰ ə ɾ d͡ʒ uː
खलना	kʰ ə l n ɑː
खलनायक	kʰ ə l n ɑː j ə k
खलासी	kʰ ə l ɑː s iː
खलासी	x ə l ɑː s iː
खलिहान	kʰ ə l ɪ ɦ ɑː n
खल्लास	kʰ ə l l ɑː s
खसरा	kʰ ə s ɾ ɑː
ख़	kʰ ə
ख़	x ə
ख़ंजर	kʰ ə n d͡ʒ ə ɾ
ख़ंजर	x ə n d͡ʒ ə ɾ
ख़ज़ाना	kʰ ə d͡ʒ ɑː n ɑː
ख़ज़ाना	x ə z ɑː n ɑː
ख़तम	kʰ ə t̪ ə m
ख़तम	x ə t̪ ə m
ख़ता	kʰ ə t̪ ɑː
ख़ता	x ə t̪ ɑː
ख़त्म	kʰ ə t̪ m
ख़त्म	kʰ ə t̪ ə m
ख़त्म	x ə t̪ m
ख़त्म	x ə t̪ ə m
ख़फ़ा	kʰ ə pʰ ɑː
ख़फ़ा	x ə f ɑː
ख़बर	kʰ ə b ə ɾ
ख़बर	x ə b ə ɾ
ख़बरनवीस	kʰ ə b ə ɾ n ə ʋ iː s
ख़बरनवीस	x ə b ə ɾ n ə ʋ iː s
ख़बरी	kʰ ə b ɾ iː
ख़बरी	x ə b ɾ iː
ख़म	kʰ ə m
ख़म	x ə m
ख़मियाज़ा	kʰ ə m ɪ j ɑː d͡ʒ ɑː
ख़मियाज़ा	x ə m ɪ j ɑː z ɑː
ख़मीर	kʰ ə m iː ɾ
ख़मीर	x ə m iː ɾ
ख़याल	kʰ ə j ɑː l
ख़याल	x ə j ɑː l
ख़रगोश	kʰ ə ɾ ɡ oː ʃ
ख़रगोश	x ə ɾ ɡ oː ʃ
ख़रबूज़ा	kʰ ə ɾ b uː d͡ʒ ɑː
ख़रबूज़ा	x ə ɾ b uː z ɑː
ख़राब	kʰ ə ɾ ɑː b
ख़राब	x ə ɾ ɑː b
ख़राश	kʰ ə ɾ ɑː ʃ
ख़राश	x ə ɾ ɑː ʃ
ख़रीद	kʰ ə ɾ iː d̪
ख़रीद	x ə ɾ iː d̪
ख़रीदना	kʰ ə ɾ iː d̪ n ɑː
ख़रीदना	x ə ɾ iː d̪ n ɑː
ख़रीदवाना	kʰ ə ɾ iː d̪ ʋ ɑː n ɑː
ख़रीदवाना	x ə ɾ iː d̪ ʋ ɑː n ɑː
ख़रीदार	kʰ ə ɾ iː d̪ ɑː ɾ
ख़रीदार	x ə ɾ iː d̪ ɑː ɾ
ख़रीदारी	kʰ ə ɾ iː d̪ ɑː ɾ iː
ख़रीदारी	x ə ɾ iː d̪ ɑː ɾ iː
ख़र्च	kʰ ə ɾ t͡ʃ
ख़र्च	x ə ɾ t͡ʃ
ख़र्चा	kʰ ə ɾ t͡ʃ ɑː
ख़र्चा	x ə ɾ t͡ʃ ɑː
ख़लक़	kʰ ə l k
ख़लक़	x ə l q
ख़लासी	kʰ ə l ɑː s iː
ख़लासी	x ə l ɑː s iː
ख़लिश	kʰ ə l ɪ ʃ
ख़लिश	x ə l ɪ ʃ
ख़लीफ़ा	kʰ ə l iː pʰ ɑː
ख़लीफ़ा	x ə l iː f ɑː
ख़सरा	kʰ ə s ɾ ɑː
ख़सरा	x ə s ɾ ɑː
ख़ाक	kʰ ɑː k
ख़ाक	x ɑː k
ख़ाक़ान	kʰ ɑː k ɑː n
ख़ाक़ान	x ɑː q ɑː n
ख़ाका	kʰ ɑː k ɑː
ख़ाका	x ɑː k ɑː
ख़ातिर	kʰ ɑː t̪ ɪ ɾ
ख़ातिर	x ɑː t̪ ɪ ɾ
ख़ातून	kʰ ɑː t̪ uː n
ख़ातून	x ɑː t̪ uː n
ख़ान	kʰ ɑː n
ख़ान	x ɑː n
ख़ानक़ाह	kʰ ɑː n k ɑː ɦ
ख़ानक़ाह	x ɑː n q ɑː ɦ
ख़ानगी	kʰ ɑː n ɡ iː
ख़ानगी	x ɑː n ɡ iː
ख़ानदान	kʰ ɑː n d̪ ɑː n
ख़ानदान	x ɑː n d̪ ɑː n
ख़ानदानी	kʰ ɑː n d̪ ɑː n iː
ख़ानदानी	x ɑː n d̪ ɑː n iː
ख़ानसामा	kʰ ɑː n s ɑː m ɑː
ख़ानसामा	x ɑː n s ɑː m ɑː
ख़ानसामाँ	kʰ ɑː n s ɑː m ɑ̃ː
ख़ानसामाँ	x ɑː n s ɑː m ɑ̃ː
ख़ाना	kʰ ɑː n ɑː
ख़ाना	x ɑː n ɑː
ख़ानाबदोश	kʰ ɑː n ɑː b ə d̪ oː ʃ
ख़ानाबदोश	x ɑː n ɑː b ə d̪ oː ʃ
ख़ामी	kʰ ɑː m iː
ख़ामी	x ɑː m iː
ख़ारिज	kʰ ɑː ɾ ɪ d͡ʒ
ख़ारिज	x ɑː ɾ ɪ d͡ʒ
ख़ाला	kʰ ɑː l ɑː
ख़ाला	x ɑː l ɑː
ख़ालिक़	kʰ ɑː l ɪ k
ख़ालिक़	x ɑː l ɪ q
ख़ालिस	kʰ ɑː l ɪ s
ख़ालिस	x ɑː l ɪ s
ख़ालिस्तान	kʰ ɑː l ɪ s t̪ ɑː n
ख़ालिस्तान	x ɑː l ɪ s t̪ ɑː n
ख़ाली	kʰ ɑː l iː
ख़ाली	x ɑː l iː
ख़ावंद	kʰ ɑː ʋ ə n d̪
ख़ावंद	x ɑː ʋ ə n d̪
ख़ास	kʰ ɑː s
ख़ास	x ɑː s
ख़ासियत	kʰ ɑː s ɪ j ə t̪
ख़ासियत	x ɑː s ɪ j ə t̪
ख़िताब	kʰ ɪ t̪ ɑː b
ख़िताब	x ɪ t̪ ɑː b
ख़िताबी	kʰ ɪ t̪ ɑː b iː
ख़िताबी	x ɪ t̪ ɑː b iː
ख़िदमत	kʰ ɪ d̪ m ə t̪
ख़िदमत	x ɪ d̪ m ə t̪
ख़िदमतगार	kʰ ɪ d̪ m ə t̪ ɡ ɑː ɾ
ख़िदमतगार	x ɪ d̪ m ə t̪ ɡ ɑː ɾ
ख़िलाफ़	kʰ ɪ l ɑː pʰ
ख़िलाफ़	x ɪ l ɑː f
ख़ुद	kʰ ʊ d̪
ख़ुद	x ʊ d̪
ख़ुदकुशी	kʰ ʊ d̪ k ʊ ʃ iː
ख़ुदकुशी	x ʊ d̪ k ʊ ʃ iː
ख़ुदा	kʰ ʊ d̪ ɑː
ख़ुदा	x ʊ d̪ ɑː
ख़ुदावंद	kʰ ʊ d̪ ɑː ʋ ə n d̪
ख़ुदावंद	x ʊ d̪ ɑː ʋ ə n d̪
ख़ुफ़िया	kʰ ʊ pʰ ɪ j ɑː
ख़ुफ़िया	x ʊ f ɪ j ɑː
ख़ुराफ़ात	kʰ ʊ ɾ ɑː pʰ ɑː t̪
ख़ुराफ़ात	x ʊ ɾ ɑː f ɑː t̪
ख़ुलासा	kʰ ʊ l ɑː s ɑː
ख़ुलासा	x ʊ l ɑː s ɑː
ख़ुशआमदीद	kʰ ʊ ʃ ə ɑː m d̪ iː d̪
ख़ुशआमदीद	x ʊ ʃ ə ɑː m d̪ iː d̪
ख़ुशक़िस्मत	kʰ ʊ ʃ k ɪ s m ə t̪
ख़ुशक़िस्मत	x ʊ ʃ q ɪ s m ə t̪
ख़ुशख़बरी	kʰ ʊ ʃ kʰ ə b ɾ iː
ख़ुशख़बरी	x ʊ ʃ x ə b ɾ iː
ख़ुशनसीब	kʰ ʊ ʃ n ə s iː b
ख़ुशनसीब	x ʊ ʃ n ə s iː b
ख़ुशबू	kʰ ʊ ʃ b uː
ख़ुशबू	x ʊ ʃ b uː
ख़ुशबूदार	kʰ ʊ ʃ b uː d̪ ɑː ɾ
ख़ुशबूदार	x ʊ ʃ b uː d̪ ɑː ɾ
ख़ुशमिज़ाज	kʰ ʊ ʃ m ɪ d͡ʒ ɑː d͡ʒ
ख़ुशमिज़ाज	x ʊ ʃ m ɪ z ɑː d͡ʒ
ख़ुशहाल	kʰ ʊ ʃ ɦ ɑː l
ख़ुशहाल	x ʊ ʃ ɦ ɑː l
ख़ुशहाली	kʰ ʊ ʃ ɦ ɑː l iː
ख़ुशहाली	x ʊ ʃ ɦ ɑː l iː
ख़ुशाब	kʰ ʊ ʃ ɑː b
ख़ुशाब	x ʊ ʃ ɑː b
ख़ुशामद	kʰ ʊ ʃ ɑː m ə d̪
ख़ुशामद	x ʊ ʃ ɑː m ə d̪
ख़ुशी	kʰ ʊ ʃ iː
ख़ुशी	x ʊ ʃ iː
ख़ूँख़ार	kʰ ũː kʰ ɑː ɾ
ख़ूँख़ार	x ũː x ɑː ɾ
ख़ून	kʰ uː n
ख़ून	x uː n
ख़ूनी	kʰ uː n iː
ख़ूनी	x uː n iː
ख़ूबसूरत	kʰ uː b s uː ɾ ə t̪
ख़ूबसूरत	x uː b s uː ɾ ə t̪
ख़ूबसूरती	kʰ uː b s uː ɾ t̪ iː
ख़ूबसूरती	x uː b s uː ɾ t̪ iː
ख़ूबानी	kʰ uː b ɑː n iː
ख़ूबानी	x uː b ɑː n iː
ख़ूबी	kʰ uː b iː
ख़ूबी	x uː b iː
ख़ैर	kʰ ɛː ɾ
ख़ैर	x ɛː ɾ
ख़ैरात	kʰ ɛː ɾ ɑː t̪
ख़ैरात	x ɛː ɾ ɑː t̪
ख़ैरियत	kʰ ɛː ɾ ɪ j ə t̪
ख़ैरियत	x ɛː ɾ ɪ j ə t̪
ख़ौफ़	kʰ ɔː pʰ
ख़ौफ़	x ɔː f
ख़्याल	kʰ j ɑː l
ख़्याल	x j ɑː l
ख़्वाजा	kʰ ʋ ɑː d͡ʒ ɑː
ख़्वाजा	x ʋ ɑː d͡ʒ ɑː
ख़्वाब	kʰ ʋ ɑː b
ख़्वाब	x ʋ ɑː b
ख़्वाबगाह	kʰ ʋ ɑː b ɡ ɑː ɦ
ख़्वाबगाह	x ʋ ɑː b ɡ ɑː ɦ
ख़्वाहिश	kʰ ɑː ɦ ɪ ʃ
ख़्वाहिश	kʰ ʋ ɑː ɦ ɪ ʃ
ख़्वाहिश	x ɑː ɦ ɪ ʃ
ख़्वाहिश	x ʋ ɑː ɦ ɪ ʃ
ख़्वुरशेद	kʰ ʋ ʊ ɾ ʃ eː d̪
ख़्वुरशेद	x ʋ ʊ ɾ ʃ eː d̪
खाँग	kʰ ɑː ŋ ɡ
खाँसना	kʰ ɑ̃ː s n ɑː
खाँसी	kʰ ɑ̃ː s iː
खांसना	kʰ ɑː n s n ɑː
खाई	kʰ ɑː iː
खाट	kʰ ɑː ʈ
खाड़ी	kʰ ɑː ɽ iː
खाता	kʰ ɑː t̪ ɑː
खाद	kʰ ɑː d̪
खादन	kʰ ɑː d̪ ə n
खादी	kʰ ɑː d̪ iː
खाद्य	kʰ ɑː d̪ j ə
खान	kʰ ɑː n
खाना	kʰ ɑː n ɑː
खानि	kʰ ɑː n iː
खाने	kʰ ɑː n eː
खाप	kʰ ɑː p
खारा	kʰ ɑː ɾ ɑː
खाली	kʰ ɑː l iː
खाली	x ɑː l iː
खिंचाव	kʰ ɪ n t͡ʃ ɑː ʋ
खिचड़ी	kʰ ɪ t͡ʃ ɽ iː
खिडकी	kʰ ɪ ɽ k iː
खिड़की	kʰ ɪ ɽ k iː
खिलना	kʰ ɪ l n ɑː
खिलवाना	kʰ ɪ l ʋ ɑː n ɑː
खिलाड़ी	kʰ ɪ l ɑː ɽ iː
खिलाना	kʰ ɪ l ɑː n ɑː
खिलौना	kʰ ɪ l ɔː n ɑː
खिसकना	kʰ ɪ s ə k n ɑː
खींच	kʰ ĩː t͡ʃ
खींचतान	kʰ ĩː t͡ʃ t̪ ɑː n
खींचना	kʰ ĩː t͡ʃ n ɑː
खीर	kʰ iː ɾ
खीरा	kʰ iː ɾ ɑː
खील	kʰ iː l
खीसा	kʰ iː s ɑː
खुजलाना	kʰ ʊ d͡ʒ l ɑː n ɑː
खुजली	kʰ ʊ d͡ʒ l iː
खुद	kʰ ʊ d̪
खुद	x ʊ d̪
खुदरा	kʰ ʊ d̪ ɾ ɑː
खुदाई	kʰ ʊ d̪ ɑː iː
खुबानी	kʰ uː b ɑː n iː
खुबानी	x uː b ɑː n iː
खुर	kʰ ʊ ɾ
खुरपा	kʰ ʊ ɾ p ɑː
खुलकर	kʰ ʊ l k ə ɾ
खुलना	kʰ ʊ l n ɑː
खुला	kʰ ʊ l ɑː
खुलापन	kʰ ʊ l ɑː p ə n
खुलेआम	kʰ ʊ l eː ɑː m
खुश	kʰ ʊ ʃ
खुश	x ʊ ʃ
खूँटी	kʰ ũː ʈ iː
खूब	kʰ uː b
खूब	x uː b
खेत	kʰ eː t̪
खेतिहर	kʰ eː t̪ ɪ ɦ ə ɾ
खेती	kʰ eː t̪ iː
खेद	kʰ eː d̪
खेना	kʰ eː n ɑː
खेल	kʰ eː l
खेलकूद	kʰ eː l k uː d̪
खेलना	kʰ eː l n ɑː
खेला	kʰ eː l ɑː
खैरात	kʰ ɛː ɾ ɑː t̪
खैरात	x ɛː ɾ ɑː t̪
खोंसना	kʰ oː n s n ɑː
खोआ	kʰ oː ɑː
खोका	kʰ oː k ɑː
खोज	kʰ oː d͡ʒ
खोजना	kʰ oː d͡ʒ n ɑː
खोदना	kʰ oː d̪ n ɑː
खोना	kʰ oː n ɑː
खोपड़ी	kʰ oː p ɽ iː
खोया	kʰ oː j ɑː
खोलना	kʰ oː l n ɑː
खोला	kʰ oː l ɑː
ख्मेर	kʰ m eː ɾ
ख्वाब	kʰ ʋ ɑː b
ख्वाब	x ʋ ɑː b
ग	ɡ ə
गँवाना	ɡ ə̃ ʋ ɑː n ɑː
गंगई	ɡ ə ŋ ɡ ə iː
गंगाजल	ɡ ə ŋ ɡ ɑː d͡ʒ ə l
गंजा	ɡ ə n d͡ʒ ɑː
गंजी	ɡ ə n d͡ʒ iː
गंदगी	ɡ ə n d̪ ə ɡ iː
गंदा	ɡ ə n d̪ ɑː
गंध	ɡ ə n d̪ʱ
गंभीर	ɡ ə m bʱ iː ɾ
गंवाना	ɡ ə m ʋ ɑː n ɑː
गई	ɡ ə iː
गऊ	ɡ ə uː
गगन	ɡ ə ɡ ə n
गगनचुंबी	ɡ ə ɡ ə n t͡ʃ ʊ m b iː
गगनभेदी	ɡ ə ɡ ə n bʱ eː d̪ iː
गज	ɡ ə d͡ʒ
गज़	ɡ ə d͡ʒ
गज़	ɡ ə z
गज़र	ɡ ə d͡ʒ ə ɾ
गज़र	ɡ ə z ə ɾ
गठजोड़	ɡ ə ʈʰ d͡ʒ oː ɽ
गठन	ɡ ə ʈʰ ə n
गठबंधन	ɡ ə ʈʰ b ə n d̪ʱ ə n
गठित	ɡ ə ʈʰ ɪ t̪
गड़गड़ाना	ɡ ə ɽ ɡ ə ɽ ɑː n ɑː
गड़गड़ाहट	ɡ ə ɽ ɡ ə ɽ ɑː ɦ ə ʈ
गड़बड़	ɡ ə ɽ b ə ɽ
गड़बड़झाला	ɡ ə ɽ b ə ɽ d͡ʒʱ ɑː l ɑː
गड्ढा	ɡ ə ɖ ɖʱ ɑː
गढ़	ɡ ə ɽʱ
गढ़ना	ɡ ə ɽʱ n ɑː
गढ़वाल	ɡ ə ɽʱ ʋ ɑː l
गढ़ी	ɡ ə ɽʱ iː
गढी	ɡ ə ɽʱ iː
गण	ɡ ə ɳ
गणक	ɡ ə ɳ ə k
गणना	ɡ ə ɳ n ɑː
गणित	ɡ ə ɳ ɪ t̪
गणितज्ञ	ɡ ə ɳ ɪ t̪ ə ɡ j
गणेश	ɡ ə ɳ eː ʃ
गत	ɡ ə t̪
गति	ɡ ə t̪ iː
गतिकी	ɡ ə t̪ ɪ k iː
गतिज	ɡ ə t̪ ɪ d͡ʒ
गतिमान	ɡ ə t̪ ɪ m ɑː n
गतिरोध	ɡ ə t̪ ɪ ɾ oː d̪ʱ
गत्ता	ɡ ə t̪ t̪ ɑː
गदा	ɡ ə d̪ ɑː
गधा	ɡ ə d̪ʱ ɑː
गनी	ɡ ə n iː
गन्दा	ɡ ə n d̪ ɑː
गन्ना	ɡ ə n n ɑː
गप	ɡ ə p
गपशप	ɡ ə p ʃ ə p
गमछा	ɡ ə m t͡ʃʰ ɑː
गमन	ɡ ə m ə n
गमला	ɡ ə m l ɑː
गम्भीर	ɡ ə m bʱ iː ɾ
गया	ɡ ə j ɑː
गरज	ɡ ə ɾ ə d͡ʒ
गरिमा	ɡ ə ɾ ɪ m ɑː
गरीब	ɡ ə ɾ iː b
गरीब	ɣ ə ɾ iː b
गरुड	ɡ ə ɾ ʊ ɖ
गरुड़	ɡ ə ɾ ʊ ɽ
गरेबान	ɡ ə ɾ eː b ɑː n
गर्द	ɡ ə ɾ d̪
गर्दन	ɡ ə ɾ d̪ ə n
गर्दिश	ɡ ə ɾ d̪ ɪ ʃ
गर्भ	ɡ ə ɾ bʱ
गर्भपात	ɡ ə ɾ bʱ p ɑː t̪
गर्भवती	ɡ ə ɾ bʱ ʋ ə t̪ iː
गर्भावस्था	ɡ ə ɾ bʱ ɑː ʋ ə s t̪ʰ ɑː
गर्भाशय	ɡ ə ɾ bʱ ɑː ʃ ə j
गर्म	ɡ ə ɾ m
गर्म	ɡ ə ɾ ə m
गर्मागर्म	ɡ ə ɾ m ɑː ɡ ə ɾ m
गलत	ɡ ə l ə t̪
गलत	ɣ ə l ə t̪
गलना	ɡ ə l n ɑː
गलबाँही	ɡ ə l b ɑ̃ː ɦ iː
गलसुआ	ɡ ə l s ʊ ɑː
गला	ɡ ə l ɑː
गलियारा	ɡ ə l ɪ j ɑː ɾ ɑː
गली	ɡ ə l iː
गवारा	ɡ ə ʋ ɑː ɾ ɑː
गवाह	ɡ ə ʋ ɑː ɦ
गवाही	ɡ ə ʋ ɑː ɦ iː
गश्त	ɡ ə ʃ t̪
गहन	ɡ ə ɦ ə n
गहना	ɡ ə ɦ n ɑː
गहरा	ɡ ə ɦ ɾ ɑː
गहराई	ɡ ə ɦ ɾ ɑː iː
ग़	ɡ ə
ग़	ɣ ə
ग़ज़ब	ɡ ə d͡ʒ ə b
ग़ज़ब	ɣ ə z ə b
ग़द्दार	ɡ ə d̪ d̪ ɑː ɾ
ग़द्दार	ɣ ə d̪ d̪ ɑː ɾ
ग़नीमत	ɡ ə n iː m ə t̪
ग़नीमत	ɣ ə n iː m ə t̪
ग़बन	ɡ ə b ə n
ग़बन	ɣ ə b ə n
ग़म	ɡ ə m
ग़म	ɣ ə m
ग़मज़दा	ɡ ə m ə d͡ʒ d̪ ɑː
ग़मज़दा	ɣ ə m ə z d̪ ɑː
ग़रारा	ɡ ə ɾ ɑː ɾ ɑː
ग़रारा	ɣ ə ɾ ɑː ɾ ɑː
ग़रीब	ɡ ə ɾ iː b
ग़रीब	ɣ ə ɾ iː b
ग़रीबी	ɡ ə ɾ iː b iː
ग़रीबी	ɣ ə ɾ iː b iː
ग़लत	ɡ ə l ə t̪
ग़लत	ɣ ə l ə t̪
ग़लतफ़हमी	ɡ ə l ə t̪ pʰ ə ɦ m iː
ग़लतफ़हमी	ɣ ə l ə t̪ f ə ɦ m iː
ग़लती	ɡ ə l t̪ iː
ग़लती	ɣ ə l t̪ iː
ग़ाज़ियाबाद	ɡ ɑː d͡ʒ ɪ j ɑː b ɑː d̪
ग़ाज़ियाबाद	ɣ ɑː z ɪ j ɑː b ɑː d̪
ग़ायब	ɡ ɑː j b
ग़ायब	ɡ ɑː j ə b
ग़ायब	ɣ ɑː j b
ग़ायब	ɣ ɑː j ə b
ग़ुब्बारा	ɡ ʊ b b ɑː ɾ ɑː
ग़ुब्बारा	ɣ ʊ b b ɑː ɾ ɑː
ग़ुरूर	ɡ ʊ ɾ uː ɾ
ग़ुरूर	ɣ ʊ ɾ uː ɾ
ग़ुसल	ɡ ʊ s ə l
ग़ुसल	ɣ ʊ s ə l
ग़ुसलख़ाना	ɡ ʊ s ə l kʰ ɑː n ɑː
ग़ुसलख़ाना	ɣ ʊ s ə l x ɑː n ɑː
ग़ुस्ल	ɡ ʊ s l
ग़ुस्ल	ɣ ʊ s l
ग़ुस्लख़ाना	ɡ ʊ s l kʰ ɑː n ɑː
ग़ुस्लख़ाना	ɣ ʊ s l x ɑː n ɑː
ग़ुस्सा	ɡ ʊ s s ɑː
ग़ुस्सा	ɣ ʊ s s ɑː
ग़ुस्साना	ɡ ʊ s s ɑː n ɑː
ग़ुस्साना	ɣ ʊ s s ɑː n ɑː
ग़ैर	ɡ ɛː ɾ
ग़ैर	ɣ ɛː ɾ
ग़ैरक़ानूनी	ɡ ɛː ɾ k ɑː n uː n iː
ग़ैरक़ानूनी	ɣ ɛː ɾ q ɑː n uː n iː
ग़ैरमौजूदगी	ɡ ɛː ɾ m ɔː d͡ʒ uː d̪ ɡ iː
ग़ैरमौजूदगी	ɣ ɛː ɾ m ɔː d͡ʒ uː d̪ ɡ iː
ग़ोता	ɡ oː t̪ ɑː
ग़ोता	ɣ oː t̪ ɑː
ग़ोताख़ोर	ɡ oː t̪ ɑː kʰ oː ɾ
ग़ोताख़ोर	ɣ oː t̪ ɑː x oː ɾ
ग़ौरतलब	ɡ ɔː ɾ t̪ ə l ə b
ग़ौरतलब	ɣ ɔː ɾ t̪ ə l ə b
गाँजा	ɡ ɑː n d͡ʒ ɑː
गाँठ	ɡ ɑ̃ː ʈʰ
गाँठकट	ɡ ɑ̃ː ʈʰ k ə ʈ
गाँडू	ɡ ɑː ɳ ɖ uː
गाँधी	ɡ ɑː n d̪ʱ iː
गाँधीनगर	ɡ ɑː n d̪ʱ iː n ə ɡ ə ɾ
गाँववाला	ɡ ɑ̃ː ʋ ʋ ɑː l ɑː
गांगुली	ɡ ɑː ŋ ɡ ʊ l iː
गांजा	ɡ ɑː n d͡ʒ ɑː
गांड	ɡ ɑː ɳ ɖ
गांडू	ɡ ɑː ɳ ɖ uː
गांधीगिरी	ɡ ɑː n d̪ʱ iː ɡ ɪ ɾ iː
गांव	ɡ ɑː m ʋ
गांसू	ɡ ɑː n s uː
गाउँ	ɡ ɑː ũː
गाजर	ɡ ɑː d͡ʒ ə ɾ
गाड़ना	ɡ ɑː ɽ n ɑː
गाड़ा	ɡ ɑː ɽ ɑː
गाढ़ा	ɡ ɑː ɽʱ ɑː
गाण्डू	ɡ ɑː ɳ ɖ uː
गान	ɡ ɑː n
गाना	ɡ ɑː n ɑː
गाम	ɡ ɑː m
गाय	ɡ ɑː j
गायक	ɡ ɑː j ə k
गायकी	ɡ ɑː j ə k iː
गायन	ɡ ɑː j ə n
गायब	ɡ ɑː j b
गायब	ɡ ɑː j ə b
गायब	ɣ ɑː j b
गायब	ɣ ɑː j ə b
गायिका	ɡ ɑː j ɪ k ɑː
गाल	ɡ ɑː l
गाली	ɡ ɑː l iː
गाहक	ɡ ɑː ɦ ə k
गिद्ध	ɡ ɪ d̪ d̪ʱ
गिनतारा	ɡ ɪ n t̪ ɑː ɾ ɑː
गिनती	ɡ ɪ n t̪ iː
गिनना	ɡ ɪ n n ɑː
गिनी	ɡ ɪ n iː
गिरगिट	ɡ ɪ ɾ ɡ ɪ ʈ
गिरजा	ɡ ɪ ɾ d͡ʒ ɑː
गिरजाघर	ɡ ɪ ɾ d͡ʒ ɑː ɡʱ ə ɾ
गिरना	ɡ ɪ ɾ n ɑː
गिरफ़्त	ɡ ɪ ɾ ə f t̪
गिरफ़्त	ɡ ɪ ɾ ə pʰ t̪
गिरफ़्तार	ɡ ɪ ɾ ə f t̪ ɑː ɾ
गिरफ़्तार	ɡ ɪ ɾ ə pʰ t̪ ɑː ɾ
गिरफ़्तारी	ɡ ɪ ɾ ə f t̪ ɑː ɾ iː
गिरफ़्तारी	ɡ ɪ ɾ ə pʰ t̪ ɑː ɾ iː
गिरमिट	ɡ ɪ ɾ m ɪ ʈ
गिरमिटिया	ɡ ɪ ɾ m ɪ ʈ ɪ j ɑː
गिरह	ɡ ɪ ɾ ə ɦ
गिरा	ɡ ɪ ɾ ɑː
गिराना	ɡ ɪ ɾ ɑː n ɑː
गिरिह	ɡ ɪ ɾ ɪ ɦ
गिरोह	ɡ ɪ ɾ oː ɦ
गिलहरी	ɡ ɪ l ə ɦ ɾ iː
गिला	ɡ ɪ l ɑː
गिलास	ɡ ɪ l ɑː s
गीतकार	ɡ iː t̪ k ɑː ɾ
गीदड़	ɡ iː d̪ ə ɽ
गीला	ɡ iː l ɑː
गुंजाइश	ɡ ʊ n d͡ʒ ɑː ɪ ʃ
गुंटूर	ɡ ʊ ɳ ʈ uː ɾ
गुंडा	ɡ ʊ ɳ ɖ ɑː
गुंडागर्दी	ɡ ʊ ɳ ɖ ɑː ɡ ə ɾ d̪ iː
गुआम	ɡ ʊ ɑː m
गुओमिंदांग	ɡ ʊ oː m ɪ n d̪ ɑː ŋ ɡ
गुगल	ɡ ʊ ɡ ə l
गुच्छा	ɡ ʊ t͡ʃ t͡ʃʰ ɑː
गुजरांवाला	ɡ ʊ d͡ʒ ɾ ɑː m ʋ ɑː l ɑː
गुजरात	ɡ ʊ d͡ʒ ɾ ɑː t̪
गुजराती	ɡ ʊ d͡ʒ ɾ ɑː t̪ iː
गुज़रना	ɡ ʊ d͡ʒ ə ɾ n ɑː
गुज़रना	ɡ ʊ z ə ɾ n ɑː
गुज़श्ता	ɡ ʊ d͡ʒ ə ʃ t̪ ɑː
गुज़श्ता	ɡ ʊ z ə ʃ t̪ ɑː
गुझिया	ɡ ʊ d͡ʒʱ ɪ j ɑː
गुठली	ɡ ʊ ʈʰ l iː
गुड़	ɡ ʊ ɽ
गुड़ाकू	ɡ ʊ ɽ ɑː k uː
गुड़िया	ɡ ʊ ɽ ɪ j ɑː
गुण	ɡ ʊ ɳ
गुणधर्म	ɡ ʊ ɳ d̪ʱ ə ɾ m
गुणा	ɡ ʊ ɳ ɑː
गुणांक	ɡ ʊ ɳ ɑ̃ː k
गुदड़ी	ɡ ʊ d̪ ɽ iː
गुदा	ɡ ʊ d̪ ɑː
गुदाद्वार	ɡ ʊ d̪ ɑː d̪ ʋ ɑː ɾ
गुनगुनाना	ɡ ʊ n ɡ ʊ n ɑː n ɑː
गुनना	ɡ ʊ n n ɑː
गुनाह	ɡ ʊ n ɑː ɦ
गुप्तचर	ɡ ʊ p t̪ t͡ʃ ə ɾ
गुप्तांग	ɡ ʊ p t̪ ɑː ŋ ɡ
गुफ़ा	ɡ ʊ f ɑː
गुफ़्तगू	ɡ ʊ f t̪ ə ɡ uː
गुफ़्तगू	ɡ ʊ f t̪ ɡ uː
गुफ़्तगू	ɡ ʊ pʰ t̪ ə ɡ uː
गुफ़्तगू	ɡ ʊ pʰ t̪ ɡ uː
गुफ़्तार	ɡ ʊ f t̪ ɑː ɾ
गुफ़्तार	ɡ ʊ pʰ t̪ ɑː ɾ
गुफा	ɡ ʊ f ɑː
गुफा	ɡ ʊ pʰ ɑː
गुबरैला	ɡ ʊ b ɾ ɛː l ɑː
गुब्बारा	ɡ ʊ b b ɑː ɾ ɑː
गुब्बारा	ɣ ʊ b b ɑː ɾ ɑː
गुम	ɡ ʊ m
गुमना	ɡ ʊ m n ɑː
गुमनाम	ɡ ʊ m n ɑː m
गुमशुदा	ɡ ʊ m ʃ ʊ d̪ ɑː
गुमसुम	ɡ ʊ m s ʊ m
