â	ɑ̃
kom	k o m
kombësi	k ɔ m b ə s i
kombëtar	k ɔ m b ə t a ɾ
konsistoj	k ɔ n s ɪ s t ɔ j
kopaçe	k ɔ p a t͡ʃ ɛ
koqe	k ɔ c ɕ ɛ
korbull	k ɔ ɾ b u ɫ
korr	k o r
korrë	k o r ə
korrë	k o r
korriqe	k o r i c ç e
korrje	k o r j ɛ
Kosova	k ɔ s oː v a
Kosovë	k ɔ s oː v
kotec	k ɔ t ɛ t͡s
krah	k ɾ a h
krasit	k ɾ a s i t
krejt	k ɾ ɛ j t
kria	k ɾ i a
kripë	k ɹ i p ə
kripë	k ɹ i p
kripë	k ɹ iː p ə
kripë	k ɹ iː p
krushk	k ɾ u ʃ k
krypë	k r y p
krroku	k r ɔ k u
kuçedër	k u t ʃ ɛ d ɚ
kukumalkë	k u k u m a l k ə
kulaç	k u l a t͡ʃ
kuletë	k u l ɛː t
kulturë	k u l t u ɹ
kulturë	k u l t u ɽ ə
kumt	k u m t
kuptoj	k u̞ p t ɔ j
kuptueshëm	k ʊ p t u e ʃ ɜ m
kuptueshme	k ʊ p t u e ʃ m e
kuq	k u c
kurbet	k u r b ɛ t
kurrë	k u r ə
kurrë	k u r
kurriz	k ʊ r i z
kush	k u ʃ
kushdo	k u ʃ d ɔ
kuzhinë	k u ʒ i n
ky	k y
ky	k ø̃ n ɛ̃
lâ	lʲ ɑ̃ː
lajthatë	l a j θ aː t
lakuriq	l a k u ɾ i c͡ç
lakuriq	l a k u ɾ i c
lakuriq	ʎ a k u ɾ i c͡ç
lakuriq	ʎ a k u ɾ i c͡ç
lakuriq	ʎ a k u ɾ i c͡ɕ
lakuriq	ʎ a k u ɾ i c t͡ɕ
lakuriq	ʎ a k u ɾ i t͡ʃ
lakuriqësi	l a k u ɽ i c ɕ s i
lamtumirë	l a m t u m i ɾ
ledhatoj	l ɛ ð a t ɔ j
legjendar	l ɛ ɟ ʑ ɛ n d a ɹ
legjendë	l ɛ ɟ ʑ ɛ n d ə
legjendë	l ɛ ɟ ʑ ɛ n d
lehonë	l ɛ h ɔ n ə
lehonë	l ɛ h ɔː n
Leka	l ɛː k a
lezbike	l ɛ z b i k ɛ
lë	l ə
lë	l ə̃
lëkurë	l ə k u ɹ ə
lëkurë	l ə k u ɹ
lëng	l ə ŋ
lëvizje	l ə v i z j ɛ
libër	l i b ə ɹ
lidh	l iː ð
lindje	l i n d j ɛ
lindjes	l i n d j ɛ s
liqen	l i c ɕ ɛ n
lirë	l i ɹ ə
lisën	l i s ə n
lodër	l ɔ d ə ɾ
lodhem	l ɔ ð ɛ m
lofatë	l ɔ f aː t
log	l ɔ ɡ
luc	l u t͡s
luc	ʎ u t͡s
luc	ʎ u t͡s
luftëtar	l u f t ə t a ɹ
luftëtar	l u f t a ɹ
lugat	l u ɡ a t
luginë	l ʊ ɡ iː n
lule	l u l ɛ
lulëkuqe	l u l ə k uː c ɕ e
lulëkuqe	l u l k uː c ɕ e
lumë	l u m ə
lus	l ʊ s
lut	l ʊ t
lut	l ʊ s
lyej	l y ɛ j
lyerëse	l yː ɛ ɾ ə s ɛ
lyerëse	l yː ɛ ɾ s ɛ
llahtarshëm	ɫ a t a ɹ ʃ m̩
llaq	ɣ a c
llërë	ɫ ə ɾ ə
llmallë	ɫ m aː ɫ
llohazë	l o ɣ aː z
llokum	ɫ ɔ k ʊ m
madh	m a θ
mahnit	m a h n i t
majdanoz	m a j d a n ɔ z
makë	m aː k
mal	m a l
mall	m a ɫ
mardh	m a ɾ ð
marenë	m a ɾ ɛ̃ː n
marr	m a r
mas	m a s
masturbim	m a s t u ɹ b i m
masturboj	m a s t u ɹ b ɔ j
mashkull	m a ʃ k ʊ ɫ
mashkullor	m a ʃ k ʊ ɫ ɔ ɹ
matematik	m a t ɛ m a t i k
matematikan	m a t ɛ m a t i k a n
matematikisht	m a t ɛ m a t i k i ʃ t
mbarë	m b aː ɹ
mbes	m b ɛ s
mbërdhok	m b ə ɾ ð ɔ k
mbret	m b ɾ ɛ t
mbyll	m b y ɫ
me	m ɛ
medie	m e d i ɛ
medie	m e d j ɛ
megjithatë	m ɛ ɟ͡ʝ i θ ä t ɜ
megjithatë	m ɛ ɟ͡ʝ i θ ä t
memec	m ɛ m ɛ t͡s
mên	m ɛ n
mençur	m ɛ n t ʃ u ɹ
mendër	m ɛ n d ə ɾ
mendje	m ɛ n d j ɛ
mendje	m ɛː n j ɛ
mesazh	m ɛ s a ʒ
mëndafsh	m ə n d a f ʃ
mërdhok	m ə ɾ ð ɔ k
mërzi	m ə ɾ z i
mërzitur	m ə ɾ z i t u ɾ
mësoj	m ə s ɔ j
mësueset	m ə s u ɛ s ɛ t
mësuesi	m ə s u ɛ s i
mësuesit	m ə s u ɛ s i t
mi	m i
midis	m i d i s
miell	m i ɛ ɫ
mik	m i k
mik	m ɪ k
milor	m i l ɔ ɾ
mirëmëngjes	m i ɹ ɜ m ɜ ɲ ɟ͡ʝ ɛ s
mirëmëngjes	m i ɹ m ɜ ɲ ɟ͡ʝ ɛ s
miskë	mː i s k
mjaft	m j a f t
mjaftoj	m j a f t o j
moçal	m ɔ t͡ʃ a l
mokër	m ɔ k ə ɾ
mol	m õ̞ l
molikë	m ɔ l iː k
mollaqe	m ɔ ɫ a c ɕ ɛ
mollë	m ɔ ɫ
monopatinë	m ɔ n ɔ p a t i n ə
monopatinë	m ɔ n ɔ p a t i n
more	m o r e
moshë	m ɔː ʃ
motor	m ɔ t ɔ ɾ
muhabet	m u h a b ɛ t
mungoj	m u n ɡ ɔ j
mushtëkohem	m u ʃ t ə k ɔ j
mysliman	m y s l i m a n
narth	n a ɾ θ
natë	n aː t ə
natë	n õ̞ː t
ndaj	n d a j
ndal	n d a l
ndal	n a l
ndalem	n d a l ɛ m
ndalur	n d äː l u̞ ɹ
ndalur	n d ä l u̞ ɹ
nder	n d ɛ ɾ
nder	n ɛ̃ ɾ
ndiej	n d i ɛ j
ndih	n d iː
ndihmoj	n d i h m ɔ j
ndishk	n d i ʃ k
ndjej	n d j ɛ j
ndjesë	n d j ɛː s ə
ndjesë	n d j ɛː s
ndormë	n d ɔ ɾ m
ndoshta	n d o s h t a
ndoshta	n ɔ̃ s h t a
ndot	n d ɔ t
ndreq	n d ɾ e c ç
ne	n ɛ
nenexhik	n ɛ n ɛ d͡ʒ i k
neverit	n ɛ v ɛ ɾ i t
në	n ə
në	ə n
në	n
në	n ə
në	n a
nëndore	n ə n d ɔ ɾ ɛ
nëndoret	n ə n d ɔ ɾ ɛ t
nëndorja	n ə n d ɔ ɾ j a
nënkuptoj	n ə ŋ k u p t ɔ j
ngallecë	n ɡ a ɫ ɛ t͡s ə
ngallecët	n ɡ a ɫ ɛ t͡s ə t
ngalleci	n ɡ a ɫ ɛ t͡s i
ngrij	ŋ ɡ ɹ i j
ngrij	ŋ ɡ ɹ iː j
ngrij	ŋ ɡ ɹ ɑː j
ngrij	ŋ ɡ ɹ ɑː j
ngjalë	ɲ ɟ͡ʝ äː l ɜ
ngjalë	ɲ ɟ͡ʝ äː l
ngjashëm	n ɟ͡ʝ aː ʃ ə m
ngjitem	n ɟ i t e m
ngjitem	n d͡ʒ i t e m
ngjyra	ɲ ɟ͡ʝ ʏː ɽ ä
ngjyrash	ɲ ɟ͡ʝ ʏː ɽ ä ʃ
ngjyrat	ɲ ɟ͡ʝ ʏː ɽ ä t
ngjyre	ɲ ɟ͡ʝ ʏː ɽ ɛ
ngjyrë	ɲ ɟ͡ʝ ʏː ɽ ɜ
ngjyrë	ɲ ɟ͡ʝ ʏː ɹ
ngjyrën	ɲ ɟ͡ʝ ʏː ɽ ɜ n
ngjyrës	ɲ ɟ͡ʝ ʏː ɽ ɜ s
nikoqir	n i k ɔ c i ɾ
notoj	n ɔ t ɔ j
nuhat	n u h a t
nuk	n ʊ k
nur	n u ɾ
nxeh	n d͡z ɛ h
nxej	n d͡z ɛ j
nxë	n d͡z ə
nxënës	n d͡z ə n ə s
nxënëse	n d͡z ə n ə s e
njerëz	ɲ ɛ ɾ ə z
njerëz	ɲ ɛ ɾ z
njeri	ɲ ɛ ɾ i
njeriu	ɲ ɛ ɾ i u
një	ɲ ə
një	ɲ i
një	ɲ ɜ
një	ɲ a
një	ɲ o
një	ɲ i
një	n i
një	i
njëkohësisht	ɲ ə k ɔ s i ʃ t
njoftim	ɲ ɔ f t i m
njoftoj	ɲ ɔ f t ɔ j
njoh	n j ɔ h
njoh	n j ɔ f
ogiç	ɔ ɡ i t͡ʃ
ograjë	ɔ ɡ ɾ aː j
Ohër	o h ə ɾ
oqean	ɔ c ɛ a n
orëçuet	ɔ ɾ t͡ʃ ũ t
organizoj	ɔ ɹ ɡ a n i z ɔ j
orgazmë	ɔ ɹ ɡ a z m ə
ortak	ɔ ɹ t a k
pacang	p a t͡s a n ɡ
paepshëm	p a ɛ p ʃ ə m
paksa	p a k s a
palloj	p a ɫ ɔ j
pallua	p a ɫ uː a
pambuk	p a m b u k
panxhar	p a n d͡ʒ a ɾ
parë	p ä ɹ
pasiv	p a s i f
pasqyrë	p a s c ç y ɾ ə
pasqyrë	p a s c ç y ɾ
pasqyrë	p a s c ç y ɻ ə
pasqyrë	p a s c ç y ɻ
pastrohem	p a s t ɾ ɔ h ɛ m
pastroj	p a s t ɾ ɔ j
pasur	p äː s u ɹ
pasurohem	p a s u ɾ ɔ h ɛ m
pasuroj	p a s u ɾ ɔ j
pashpjegueshëm	p a ʃ p j ɛ ɡ u ɛ ʃ ə m
pe	p e
pehar	p ɛ h a ɾ
pelë	p ɛː l
penis	p ɛ n i s
pesëzet	p e s z e t
pesëzet	p e z z e t
pesëzet	p e s z e t
pesëzet	p e z z e t
peshk	p ɛ ʃ k
Peshorja	p ɛ ʃ ɔ ɾ j a
përafërsi	p ə ɾ a f ə ɾ s i
përbindësh	p ə ɾ b i n d ə ʃ
përcjell	p ə ɾ t͡s j ɛ ɫ
përcjellë	p ə ɾ t͡s j ɛ ɫ ə
përcjellë	p ə ɾ t͡s j ɛ ɫ
përdorur	p ɜ ɹ d o ɽ u̞ ɹ
përdhunoj	p ə ɾ ð u n ɔ j
përkujtimore	p ə ɾ k u j t i m o ɾ e
përqafim	p ə ɾ c ɕ a f i m
përqafim	p ə ɻ c ɕ a f i m
përqafoj	p ə ɾ c ɕ a f ɔ j
përqafoj	p ə ɻ c ɕ a f ɔ j
përsëri	p ə ɾ s ə ɾ i
përsëri	p ə ɻ s ə ɻ i
përveç	p ə ɹ v ɛ t ʃ
pështymë	p ə ʃ t y m ə
pi	p i
picipillaksoj	p i t͡s i p i ɫ a k s ɔ j
picverdhë	p i t͡s v ɛː ɾ ð
pjek	p j ɛ k
pjek	c ç ɛ k
pjek	p j ɛ k
pjerdh	p j e ɾ ð
plak	p l a k
plak	p ʎ a k
plak	c ç æ k
plakem	p l a k ɛ m
planet	p l a n ɛ t
plazh	p l a ʒ
pleme	p l ɛ m ɛ
plep	p l ɛ p
plënx	p l ə n t͡s
plënx	p l ə n d͡z
pompoj	p ɔ m p ɔ j
popull	p ɔ p u ɫ
popullsi	p ɔ p u ɫ s i
por	p ɔ ɹ
portokalle	p ɔ ɾ t ɔ k a ɫ ɛ
prapanicë	p ɾ a p a n iː t s
prehën	p ɹ e h ə n
prehën	p ɾ e h ə n
premtoj	p ɾ ɛ m t ɔ j
prëhën	p ɹ ə h ə n
prëhën	p ɾ ə h ə n
prish	p ɻ i ʃ
Prishtinë	p ɾ ɪ ʃ t i n ə
Prishtinë	p ɾ ɪ ʃ t i n
prodhoi	p ɽ ɔ ð ɔ i
prodhoj	p ɽ ɔ ð ɔ j
prodhon	p ɽ ɔ ð ɔ n
prodhova	p ɽ ɔ ð ɔ v ä
prodhove	p ɽ ɔ ð ɔ v e
prodhuam	p ɽ ɔ ð u ä m
prodhuan	p ɽ ɔ ð u ä n
prodhuar	p ɽ ɔ ð u ä ɹ
prodhuat	p ɽ ɔ ð u ä t
propozoj	p ɾ ɔ p ɔ z ɔ j
pse	p s e
pse	p s ɛ
pshurr	p ʃ u r
Pukë	p uː k
puna	p u̞ n ä
punë	p u̞ː n ɜ
punë	p u̞ː n
punëdhënës	p u n ð ə n ə s
punësi	p u n s i
punësohem	p u n s ɔ h ɛ m
punësoj	p u n s ɔ j
punësuar	p u n s u a ɹ
punësuara	p u n s u a ɽ a
punëtor	p u n t o ɹ
puth	p u θ
puthje	p u θ j ɛ
pyll	p y ɫ
qafë	c ɕ a f ə
qafë	c ɕ a f
qafir	c ɑ f i ɾ
qahem	c ɕ a h ɛ m
qaj	c a j
qelizë	c ɕ ɛ l i z ə
qelizë	c ɕ ɛ l i z
qelizor	c ɕ ɛ l i z ɔ ɹ
qemë	c ɕ ɛ m
qendër	c ɕ ɛ n d ə ɹ
qenë	c ɛ n ə
qenë	c͡ç ẽ n
qenë	c͡ç ɛ̃ n
qenë	k æ̃ n ɘ
qenë	k æ̃ n
qenë	k ɑ̃ n
qenka	c ɕ ɛ ŋ k a
qenkam	c ɕ ɛ ŋ k a m
qenkan	c ɕ ɛ ŋ k a n
qenke	c ɕ ɛ ŋ k ɛ
qenkemi	c ɕ ɛ ŋ k ɛ m i
qenkeni	c ɕ ɛ ŋ k ɛ n i
qenkësh	c ɕ ɛ ŋ k ə ʃ
qenkësha	c ɕ ɛ ŋ k ə ʃ a
qenkëshe	c ɕ ɛ ŋ k ə ʃ ɛ
qenkëshim	c ɕ ɛ ŋ k ə ʃ i m
qenkëshin	c ɕ ɛ ŋ k ə ʃ i n
qenkëshit	c ɕ ɛ ŋ k ə ʃ i t
qerth	c͡ç ɛ ɽ θ
qerth	c͡ç ɛ ɹ θ
qeshë	c ç ɛ ʃ
qetë	c͡ɕ ɛ t ə
qetë	c ɕ e t
qetë	c ɕ ɛ t
qetësoj	c ɕ ɛ t s o j
qëllim	c͡ç ɜ ɫ̪ ˖ i m
qëllime	c͡ç ɜ ɫ̪ ˖ i m ɛ
qëllimesh	c͡ç ɜ ɫ̪ ˖ i m ɛ ʃ
qëllimet	c͡ç ɜ ɫ̪ ˖ i m ɛ t
qëllimeve	c͡ç ɜ ɫ̪ ˖ i m ɛ v ɛ
qëllimevet	c͡ç ɜ ɫ̪ ˖ i m ɛ v ɛ t
qëllimi	c͡ç ɜ ɫ̪ ˖ i m i
qëllimin	c͡ç ɜ ɫ̪ ˖ i m i n
qëllimit	c͡ç ɜ ɫ̪ ˖ i m i t
qiall	c i a ɣ
qiell	c͡ɕ i ɛ ɫ
qihem	c ɪ h ɛ m
qihem	c͡ɕ ɪ h ɛ m
qij	c ɪ j
qij	c͡ɕ ɪ j
qij	c ɪː
qij	c͡ɕ ɪː
qij	t͡ɕ ɪː
qij	t͡ʃ ɪː
qimnon	c i m n ɔ n
qivur	c i v u ɾ
quar	k uː ɾ
quar	k u e ɾ
quar	k j u e ɾ
quar	k j uː ɾ
quar	t͡ʃ u e ɾ
quar	t͡ʃ uː ɾ
quar	c u a ɾ
quar	c u a ɾ
quar	k ʎ u a ɾ
quhem	c ç u h ɛ m
Qup	t͡ʃ u p
Qup	t͡ɕ u p
Qupi	t͡ʃ u p i
Qupi	t͡ɕ u p i
qyr	c ç y ɾ
qyr	c ç y ɻ
qysh	c ɕ y ʃ
qytet	c ɕ y t ɛ t
qytetar	c ɕ y t ɛ t a r
qytetare	c ɕ y t ɛ t a r ɛ
qytezë	c ɕ y t e z ə
qytezë	c ɕ y t e z
rabeckë	r a b e c k ə
radhiqe	ɾ a ð iː c͡ɕ ɛ
rejë	r e j ə
relaksohem	ɾ ɛ l a k s ɔ h ɛ m
restorant	ɽ ɛ s t ɔ ɽ ä n t
Rexhaj	ɾ eː d͡ʒ a j
Rexhaj	ɹ eː d͡ʒ a j
ri	ɾ i
rigon	ɾ i ɡ ɔ n
rob	ɾ ɔ b
rob	ɹ ɔˑ b
rojtar	r o j t a ɾ
rojtar	r o j t ɒ ɾ
rozmarinë	ɾ ɔ z m a ɾ iː n
rujtar	r u j t ɒ ɾ
rraboshtë	r a b ɔː ʃ t
rradake	r a d a k ɛ
rrallë	r aː ɫ
rrath	r a θ
rrej	r ɛ j
rrem	r ɛ m
rreshk	r ɛ ʃ k
rrëcok	r ə t͡s ɔ k
rrëcokë	r ə t͡s ɔ k ə
rrëcokët	r ə t͡s ɔ k ə t
rrëcoku	r ə t͡s ɔ k u
rrënjë	r əː ɲ
rrgjë	r̩ d͡ʒ
rrgjë	ə ɾ d͡ʒ
rri	r i
rrjet	r j ɛ t
rrugë	r uː ɡ
rrumbullak	r u m b u ɫ a k
rrush	r u ʃ
sajë	s aː j
sakicë	s a k iː t͡s ə
sandali	s ɑ̃ n d a l ɪ
sanë	s aː n
Saturn	s a t u ɾ n
Savnjan	s a v ɲ a n
seks	s ɛ k s
seksolog	s ɛ k s ɔ l ɔ k
seksologji	s ɛ k s ɔ l ɔ ɟ ʑ i
seksologjik	s ɛ k s ɔ l ɔ ɟ ʑ i k
seksualitet	s ɛ k s u a l i t ɛ t
selino	s ɛ l i n ɔ
senë	s ɛ n
sëmundja	s ə m u n d j a
sëmundje	s ə m u n d j ɛ
sëmundjet	s ə m u n d j ɛ t
sëmurë	s ɜ m u ɽ ɜ
sëmurë	s ɜ m u ɹ
si	s i
siç	s i t ʃ
sistematik	s ɪ s t ɛ m a t i k
sistematikisht	s ɪ s t ɛ m a t ɪ k i ʃ t
sjapth	s j a p θ
skifter	s k i f t ɛ ɾ
skuter	s k u t ɛ ɾ
sot	s o t
sotëm	s ɔː t ə m
spang	s p a ŋ k
spinaq	s p i n a c
spontan	s p ɔ n t a n
spontanisht	s p ɔ n t a n i ʃ t
sqapth	s c ɕ a p θ
sqepth	s c ɕ ɛ p θ
sqetull	s c ɕ ɛ t u ɫ
stuhi	s t u h i
stuhishëm	s t u h i ʃ ə m
sulmim	s ʊ l m i m
sulmohem	s ʊ l m ɔ h ɛ m
supe	s u p ɛ
superyll	s u p ɛ ɾ y ɫ
supesh	s u p ɛ ʃ
supet	s u p ɛ t
supeve	s u p ɛ v ɛ
supevet	s u p ɛ v ɛ t
supi	s u p i
supin	s u p i n
supit	s u p i t
sy	s y
sy	s ɑ̃ j
synet	s y n ɛ t
syskë	s y s k ə
shah	ʃ a h
shalë	ʃ aː l
Shalë	ʃ aː l
shaploj	ʃ a p l ɔ j
shegë	ʃ eː ɡ
shend	ʃ ɛ n̪
sheqer	ʃ e c͡ɕ ɛ ɾ
Sherife	ʃ ɛ ɾ iː f ɛ
sherp	ʃ ɛ ɾ p
shëmtoj	ʃ ə m t ɔ j
shëndet	ʃ ə n d ɛ t
shëndetshëm	ʃ ə n d ɛ t ʃ ə m
shëndoshë	ʃ ɜ n d ɔ ʃ ɜ
shëndoshë	ʃ ɜ n d ɔ ʃ
shfuqizim	ʃ f u c ɕ i z i m
shfuqizoj	ʃ f u c ɕ ɪ z ɔ j
shi	ʃ i
shigjetar	ʃ i d ʑ ɛ t a ɹ
shikojmë	ʃ i k ɔ j m ɜ
shikojmë	ʃ i k ɔ j m
shikon	ʃ i k ɔ n
shikonin	ʃ i k o̞ n i̞ n
Shikrije	ʃ i k ɹ i j ɛ
shkatërroj	ʃ k a t ə r ɔ j
shkencëtar	ʃ k e n t͡s ɜ t ä ɹ
shkencëtar	ʃ k e n t͡s t ä ɹ
shkencëtarëve	ʃ k e n t͡s ɜ t ä ɽ ɜ v e
shkencëtarëve	ʃ k e n t͡s t ä ɽ ɜ v e
shkencëtarëve	ʃ k e n t͡s ɜ t ä ɹ v e
shkencëtarëve	ʃ k e n t͡s t ä ɹ v e
shkencor	ʃ k ɛ n t s ɔ ɹ
shkëlqej	ʃ k ə l c ɕ ɛ j
shkëlqyer	ʃ k ə l c ɕ y ɛ ɹ
shkëlqyeshëm	ʃ k ə l c ɕ y ɛ ʃ ə m
shkëndijë	ʃ k ə n d iː j ə
shkëndijë	ʃ k ə n d iː j
shkolla	ʃ k ɔ ɫ̪ ˖ ä
shkretë	ʃ k ɾ ɛː t ə
shkretë	ʃ k ɾ ɛː t
shok	ʃ ɔ k
shoqe	ʃ ɔ c ɛ
shoqe	ʃ ɔ c͡ɕ ɛ
Shosh	ʃ ɔ ʃ
shoshë	ʃ oː ʃ
shpall	ʃ p a ɫ
shpallje	ʃ p a ɫ j ɛ
shpëtim	ʃ p ə t i m
shpinë	ʃ p iː n
shpirt	ʃ p i ɹ t
shpirt	ʃ p ɪ ɹ t
shpjegueshëm	ʃ p j ɛ ɡ u ɛ ʃ ə m
shpresë	ʃ p ɾ ɛ s ə
shpresë	ʃ p ɾ ɛ s
shpresë	ʃ p ɾ ɛ s
shpullë	ʃ p uː ɫ
shqim	ʃ c͡ɕ i m
shqim	ʃ c i m
shqim	ʃ k y m
shqim	ʃ kʲ i m b
Shqipëri	ʃ c i p ə ɾ i
Shqipëri	ʃ c͡ɕ i p ə ɾ i
Shqipëri	ʃ c i p ə n i
Shqipëri	ʃ c i p n i
Shqipëri	ʃ c͡ɕ i p ə n i
Shqipëri	ʃ c͡ɕ i p n i
Shqipëri	ʃ k y p ə n i
Shqipëri	ʃ k y p n i
Shqipëri	ʃ kʲ i p ə ɾ i
shqiponjë	ɕ ɪ p ɔː ɲ ə
shqymb	ʃ kʲ i m b
shqymb	ʃ k y m
shqymb	ʃ c͡ɕ i m
shqymb	ʃ c i m
shqyptar	ʃ c͡ɕ ʏ p̚ t äː ɹ
shtambë	ʃ t aː m b
shtat	ʃ t a t
shteg	ʃ t ɛ ɡ
shtegtoj	ʃ t ɛ k t ɔ j
shtëpi	ʃ t ə p i
shtëpi	ʃ p i
shtëpi	ʃ p ɜ j
shtëpi	ʃ p æ j
shtrungë	ʃ t ɹ u ŋ
shtyp	ʃ t y p
shuaj	ʃ ʊ a j
Shukrije	ʃ u k ɹ i j ɛ
shum	ʃ u̞ m
shumë	ʃ u̞ m ɜ
shumë	ʃ u̞ m
shumëgjuhëshe	ʃ u m ə ɟ u h ə ʃ ɛ
shurdhër	ʃ u ɾ ð ə ɾ
shurdhët	ʃ u ɾ ð ə t
shurdhoj	ʃ u ɾ ð ɔ j
shurrohem	ʃ ʊ r ɔ h ɛ m
shurroj	ʃ ʊ r ɔ j
Shykrije	ʃ y k ɹ i j ɛ
tagër	t a ɡ ə r
takohem	t a k ɔ h ɛ m
takoj	t a k ɔ j
tallaz	t a ɫ a z
tambël	t ɑ̃ m b ə l
tambël	t ɑ̃ m ə l
tamblagjak	t a m b l a ɟ a k
tani	t a n i
tash	t a ʃ
tashti	t a ʃ t i
tavë	t a v
tavë	t a f
tavut	t a v u t
tekë	t ɛː k
telefon	t e l e f ɔ n
telefona	t e l e f oː n ä
telefonat	t e l e f oː n ä t
telefonin	t e l e f oː n i n
telefonit	t e l e f oː n i t
tepsi	t ɛ p s i
ter	t ɛ ɾ
testikul	t ɛ s t i k u l
të	t ə
tërthor	t ə ɾ θ ɔ ɾ
tërthorak	t ə ɾ θ ɔ ɾ a k
tërthoras	t ə ɾ θ ɔ ɾ a s
tërthorazi	t ə ɾ θ ɔ ɾ a z i
tërthore	t ə ɾ θ ɔ ɾ ɛ
tërthoret	t ə ɾ θ ɔ ɾ ɛ t
tërthorëse	t ə ɾ θ ɔ ɾ ə s ɛ
tërthorim	t ə ɾ θ ɔ ɾ i m
tërthorja	t ə ɾ θ ɔ ɾ j a
tërthoroj	t ə ɾ θ ɔ ɾ ɔ j
tërthortë	t ə ɾ θ ɔ ɾ t ə
tërthorzim	t ə ɾ θ ɔ ɾ z i m
tërthorzoj	t ə ɾ θ ɔ ɾ z ɔ j
ti	t i
titull	t i t u ɫ
tjetër	t j e t ɜ ɹ
tradhëtoj	t ɾ a ð ə t ɔ j
tradhtoj	t ɾ a ð t ɔ j
transferoj	t ɾ a n s f ɛ ɾ ɔ j
transferoj	t ɹ a n s f ɛ ɹ ɔ j
tre	t ɾ ɛ
tremujor	t ɾ ɛ m u j o ɾ
trëndafil	t ɾ ə n d a f i l
trinë	t ɾ iː n
trishtohem	t ɾ i ʃ t ɔ h ɛ m
trumzë	t ɾ uː m z
Turqi	t ʊ ɾ c ɕ i
ty	t y
ty	t y
ty	t ø̝̃ n ɛ̃
ty	t ɑː j
ty	t ø̝̃ n ɛ̃
ty	t ɑː j
tytë	t y t ə
tämël	t ɒ m ə l
thaj	θ a j
thelb	θ ɛ l b
thelpër	θ ɛ l p ɾ̩
thellë	θ e ɫ ə
them	θ ɛ m
them	θ ɑ̃ m
them	θ ɔ̃ m
them	θ ɛ̃ m
them	θ ẽː m
themeloj	θ ɛ m ɛ l ɔ j
therkë	θ e r k ə
therkë	θ e r k
thëllëzë	θ l ɔː z
thëmboj	θ ə m b ɔ j
thëmbonj	θ ə m b ɔ ɲ
thërras	θ ə r a s
thikare	θ i k a r ɛ
thikëz	θ i k ə z
thikëz	θ i k z
thithë	θ i θ ə
thithkë	θ i θ k ə
thithkën	θ i θ k ə n
thjesht	θ j ɛ ʃ t
thjeshta	θ j ɛ ʃ t a
thjeshtazi	θ j ɛ ʃ t a z ɪ
thjeshtë	θ j ɛ ʃ t
thjeshtësi	θ j ɛ ʃ t ə s i
thjeshtëzoj	θ j ɛ ʃ t ə z ɔ j
thumb	θ u m b
thumboj	θ u m b ɔ j
thump	θ u m p
thyese	θ y ɛː s e
udhëhiqem	ʊ ð h i c ɕ ɛ m
udhëtoj	ʊ θ t ɔ j
ujdi	u j d i
ujk	u j k
ujq	ɲ ɛ r ə z
ulla	u l a
unë	u n
unë	u n ə
unë	u
unë	u t h
unë	u
unë	u t h
unë	ũ n
unë	ũ n
unë	ũ n a
unë	ũ n ɛ
unë	ũ n ɔ
unë	ũ n
unë	ũ n ɛ
unë	ũ n
unë	ũ n a
unë	ũ n ɛ
unë	ũ n ɔ
unë	ũ n
unë	ũ n ɛ
unë	u n ə
urc	u ɾ t͡s
uriq	u ɾ i c
ushqim	u̞ ʃ c͡ç i m
ushqime	u̞ ʃ c͡ç i m ɛ
ushqimet	u̞ ʃ c͡ç i m ɛ t
ushqimi	u̞ ʃ c͡ç i m i
ushqimin	u̞ ʃ c͡ç i m i n
uzdajë	u z d aː j
va	v a
vade	v a d ɛ
vadhë	v a ð ə
vajzë	v a j z ə
vampir	v a m p i ɹ
varfër	v ä ɹ f ɜ ɹ
varfër	v ɔ ɹ f ɜ n
vazë	v a z
vazhdë	v a ʒ d
vazhdoj	v a ʒ d ɔ j
veçoj	v ɛ t ʃ ɔ j
venit	v ɛ n i t
vernikokull	v e ɾ n i k o k u l
veshtë	v ɛ ʃ t
vetë	v ɛ t
vetiu	v ɛ t i u
vetvetiu	v ɛ t v ɛ t i u
vezë	v ɛ z ə
vezë	v ɛː z
vë	v ə
vëlla	v ɫ aː
vëlla	v ð aː
vëlla	v ɣ aː
vëlla	v u aː
vëlla	w aː
vëlla	v u l aː
vëlla	v l ɔ
vëlla	v ɫ ɔ
vëllam	v ə ɣ aː m
vigan	v i ɡ a n
Virgjëresha	v i ɾ ɟ ə ɾ ɛ ʃ a
virgjëreshë	v i ɾ ɟ ə ɾ ɛ ʃ ə
vis	v i s
visele	v i s ɛ l ɛ
vjershë	v j eː ɹ ʃ ə
vjershë	v j eː ɹ ʃ
vlla	v ɫ ɑ̃ː
vllajë	v ɫ ɑ̃ː j
vllav	v ɫ aː v
vodkë	v o d k ə
vregën	v r eː ɡ ə n
vregën	v r eː ɡ n
vrit	v ɾ i t
vulla	v u ɫ ɑ̃ː
vulla	v u aː
vulla	w aː
vulla	v u l aː
vullajë	v u ɫ ɑ̃ː j
vullnet	v ʊ ɫ n ɛ t
vullnetar	v ʊ ɫ n ɛ t a r
vyshkem	v y ʃ k ɛ m
xarba	d͡z a ɾ b a
xarbat	d͡z a ɾ b a t
xarbë	d͡z a ɾ b ə
