А	a
влезеха	v l ɛ z ɛ x ɐ
влезехме	v l ɛ z ɛ x m ɛ
влезехте	v l ɛ z ɛ x t ɛ
влезеш	v l ɛ z ɛ ʃ
влезеше	v l ɛ z ɛ ʃ ɛ
влезли	v l ɛ z l i
влезлите	v l ɛ z l i t ɛ
влезлия	v l ɛ z l i j ɐ
влезлият	v l ɛ z l i j ɐ t
влезте	v l ɛ s t ɛ
влека	v l ɛ k ɤ
влекач	v l ɛ k a t͡ʃ
влечуго	v l ɛ t͡ʃ u̟ ɡ o
влиза	v l i z ɐ
влизай	v l i z ɐ j
влизайки	v l i z ɐ j k i
влизайте	v l i z ɐ j t ɛ
влизал	v l i z ɐ ɫ
влизала	v l i z ɐ ɫ ɐ
влизалата	v l i z ɐ ɫ ɐ t ɐ
влизали	v l i z ɐ l i
влизалите	v l i z ɐ l i t ɛ
влизалия	v l i z ɐ l i j ɐ
влизалият	v l i z ɐ l i j ɐ t
влизало	v l i z ɐ ɫ o
влизалото	v l i z ɐ ɫ o t o
влизам	v l i z ɐ m
влизаме	v l i z ɐ m ɛ
влизане	v l i z ɐ n ɛ
влизанета	v l i z ɐ n ɛ t ɐ
влизанетата	v l i z ɐ n ɛ t ɐ t ɐ
влизането	v l i z ɐ n ɛ t o
влизания	v l i z ɐ n i j ɐ
влизанията	v l i z ɐ n i j ɐ t ɐ
влизат	v l i z ɐ t
влизате	v l i z ɐ t ɛ
влизах	v l i z ɐ x
влизаха	v l i z ɐ x ɐ
влизахме	v l i z ɐ x m ɛ
влизахте	v l i z ɐ x t ɛ
влизаш	v l i z ɐ ʃ
влизаше	v l i z ɐ ʃ ɛ
влизащ	v l i z ɐ ʃ t
влизаща	v l i z ɐ ʃ t ɐ
влизащата	v l i z ɐ ʃ t ɐ t ɐ
влизащи	v l i z ɐ ʃ t i
влизащите	v l i z ɐ ʃ t i t ɛ
влизащия	v l i z ɐ ʃ t i j ɐ
влизащият	v l i z ɐ ʃ t i j ɐ t
влизащо	v l i z ɐ ʃ t o
влизащото	v l i z ɐ ʃ t o t o
влъхва	v ɫ ɤ x v ɐ
влюбва	v lʲ u̟ b v ɐ
влюбвай	v lʲ u̟ b v ɐ j
влюбвайки	v lʲ u̟ b v ɐ j k i
влюбвайте	v lʲ u̟ b v ɐ j t ɛ
влюбвал	v lʲ u̟ b v ɐ ɫ
влюбвала	v lʲ u̟ b v ɐ ɫ ɐ
влюбвалата	v lʲ u̟ b v ɐ ɫ ɐ t ɐ
влюбвали	v lʲ u̟ b v ɐ l i
влюбвалите	v lʲ u̟ b v ɐ l i t ɛ
влюбвалия	v lʲ u̟ b v ɐ l i j ɐ
влюбвалият	v lʲ u̟ b v ɐ l i j ɐ t
влюбвало	v lʲ u̟ b v ɐ ɫ o
влюбвалото	v lʲ u̟ b v ɐ ɫ o t o
влюбвам	v lʲ u̟ b v ɐ m
влюбваме	v lʲ u̟ b v ɐ m ɛ
влюбване	v lʲ u̟ b v ɐ n ɛ
влюбванета	v lʲ u̟ b v ɐ n ɛ t ɐ
влюбванетата	v lʲ u̟ b v ɐ n ɛ t ɐ t ɐ
влюбването	v lʲ u̟ b v ɐ n ɛ t o
влюбвания	v lʲ u̟ b v ɐ n i j ɐ
влюбванията	v lʲ u̟ b v ɐ n i j ɐ t ɐ
влюбват	v lʲ u̟ b v ɐ t
влюбвате	v lʲ u̟ b v ɐ t ɛ
влюбвах	v lʲ u̟ b v ɐ x
влюбваха	v lʲ u̟ b v ɐ x ɐ
влюбвахме	v lʲ u̟ b v ɐ x m ɛ
влюбвахте	v lʲ u̟ b v ɐ x t ɛ
влюбваш	v lʲ u̟ b v ɐ ʃ
влюбваше	v lʲ u̟ b v ɐ ʃ ɛ
влюбващ	v lʲ u̟ b v ɐ ʃ t
влюбваща	v lʲ u̟ b v ɐ ʃ t ɐ
влюбващата	v lʲ u̟ b v ɐ ʃ t ɐ t ɐ
влюбващи	v lʲ u̟ b v ɐ ʃ t i
влюбващите	v lʲ u̟ b v ɐ ʃ t i t ɛ
влюбващия	v lʲ u̟ b v ɐ ʃ t i j ɐ
влюбващият	v lʲ u̟ b v ɐ ʃ t i j ɐ t
влюбващо	v lʲ u̟ b v ɐ ʃ t o
влюбващото	v lʲ u̟ b v ɐ ʃ t o t o
влюбел	v lʲ u̟ b ɛ ɫ
влюбела	v lʲ u̟ b ɛ ɫ ɐ
влюбели	v lʲ u̟ b ɛ l i
влюбело	v lʲ u̟ b ɛ ɫ o
влюбете	v lʲ o̟ b ɛ t ɛ
влюбех	v lʲ u̟ b ɛ x
влюбеха	v lʲ u̟ b ɛ x ɐ
влюбехме	v lʲ u̟ b ɛ x m ɛ
влюбехте	v lʲ u̟ b ɛ x t ɛ
влюбеше	v lʲ u̟ b ɛ ʃ ɛ
влюби	v lʲ o̟ b i
влюби	v lʲ u̟ b i
влюбил	v lʲ u̟ b i ɫ
влюбила	v lʲ u̟ b i ɫ ɐ
влюбилата	v lʲ u̟ b i ɫ ɐ t ɐ
влюбили	v lʲ u̟ b i l i
влюбилите	v lʲ u̟ b i l i t ɛ
влюбилия	v lʲ u̟ b i l i j ɐ
влюбилият	v lʲ u̟ b i l i j ɐ t
влюбило	v lʲ u̟ b i ɫ o
влюбилото	v lʲ u̟ b i ɫ o t o
влюбим	v lʲ u̟ b i m
влюбите	v lʲ u̟ b i t ɛ
влюбих	v lʲ u̟ b i x
влюбиха	v lʲ u̟ b i x ɐ
влюбихме	v lʲ u̟ b i x m ɛ
влюбихте	v lʲ u̟ b i x t ɛ
влюбиш	v lʲ u̟ b i ʃ
влюбя	v lʲ u̟ bʲ ɐ
влюбят	v lʲ u̟ bʲ ɐ t
вляза	v lʲ a̟ z ɐ
влязат	v lʲ a̟ z ɐ t
влязла	v lʲ a̟ z ɫ ɐ
влязлата	v lʲ a̟ z ɫ ɐ t ɐ
влязло	v lʲ a̟ z ɫ o
влязлото	v lʲ a̟ z ɫ o t o
влязох	v lʲ a̟ z o x
влязоха	v lʲ a̟ z o x ɐ
влязохме	v lʲ a̟ z o x m ɛ
влязохте	v lʲ a̟ z o x t ɛ
влязъл	v lʲ a̟ z ɐ ɫ
вменяем	v m ɛ nʲ a̟ ɛ m
вместо	v m ɛ s t o
внася	v n a sʲ ɐ
внасяй	v n a sʲ ɐ j
внасяйки	v n a sʲ ɐ j k i
внасяйте	v n a sʲ ɐ j t ɛ
внасял	v n a sʲ ɐ ɫ
внасяла	v n a sʲ ɐ ɫ ɐ
внасялата	v n a sʲ ɐ ɫ ɐ t ɐ
внасяли	v n a sʲ ɐ l i
внасялите	v n a sʲ ɐ l i t ɛ
внасялия	v n a sʲ ɐ l i j ɐ
внасялият	v n a sʲ ɐ l i j ɐ t
внасяло	v n a sʲ ɐ ɫ o
внасялото	v n a sʲ ɐ ɫ o t o
внасям	v n a sʲ ɐ m
внасяме	v n a sʲ ɐ m ɛ
внасян	v n a sʲ ɐ n
внасяна	v n a sʲ ɐ n ɐ
внасяната	v n a sʲ ɐ n ɐ t ɐ
внасяне	v n a sʲ ɐ n ɛ
внасянета	v n a sʲ ɐ n ɛ t ɐ
внасянетата	v n a sʲ ɐ n ɛ t ɐ t ɐ
внасянето	v n a sʲ ɐ n ɛ t o
внасяни	v n a sʲ ɐ n i
внасяните	v n a sʲ ɐ n i t ɛ
внасяния	v n a sʲ ɐ n i j ɐ
внасяният	v n a sʲ ɐ n i j ɐ t
внасянията	v n a sʲ ɐ n i j ɐ t ɐ
внасяно	v n a sʲ ɐ n o
внасяното	v n a sʲ ɐ n o t o
внасят	v n a sʲ ɐ t
внасяте	v n a sʲ ɐ t ɛ
внасях	v n a sʲ ɐ x
внасяха	v n a sʲ ɐ x ɐ
внасяхме	v n a sʲ ɐ x m ɛ
внасяхте	v n a sʲ ɐ x t ɛ
внасяш	v n a sʲ ɐ ʃ
внасяше	v n a sʲ ɐ ʃ ɛ
внасящ	v n a sʲ ɐ ʃ t
внасяща	v n a sʲ ɐ ʃ t ɐ
внасящата	v n a sʲ ɐ ʃ t ɐ t ɐ
внасящи	v n a sʲ ɐ ʃ t i
внасящите	v n a sʲ ɐ ʃ t i t ɛ
внасящия	v n a sʲ ɐ ʃ t i j ɐ
внасящият	v n a sʲ ɐ ʃ t i j ɐ t
внасящо	v n a sʲ ɐ ʃ t o
внасящото	v n a sʲ ɐ ʃ t o t o
внезапен	v n ɛ z a p ɛ n
внезапно	v n ɛ z a p n o
внеса	v n ɛ s ɤ
внесат	v n ɛ s ɤ t
внесе	v n ɛ s ɛ
внесели	v n ɛ s ɛ l i
внесем	v n ɛ s ɛ m
внесен	v n ɛ s ɛ n
внесена	v n ɛ s ɛ n ɐ
внесената	v n ɛ s ɛ n ɐ t ɐ
внесени	v n ɛ s ɛ n i
внесените	v n ɛ s ɛ n i t ɛ
внесения	v n ɛ s ɛ n i j ɐ
внесеният	v n ɛ s ɛ n i j ɐ t
внесено	v n ɛ s ɛ n o
внесеното	v n ɛ s ɛ n o t o
внесете	v n ɛ s ɛ t ɛ
внесеш	v n ɛ s ɛ ʃ
внесеше	v n ɛ s ɛ ʃ ɛ
внеси	v n ɛ s i
внесла	v n ɛ s ɫ ɐ
внеслата	v n ɛ s ɫ ɐ t ɐ
внесли	v n ɛ s l i
внеслите	v n ɛ s l i t ɛ
внеслия	v n ɛ s l i j ɐ
внеслият	v n ɛ s l i j ɐ t
внесло	v n ɛ s ɫ o
внеслото	v n ɛ s ɫ o t o
внесох	v n ɛ s o x
внесоха	v n ɛ s o x ɐ
внесохме	v n ɛ s o x m ɛ
внесохте	v n ɛ s o x t ɛ
внесъл	v n ɛ s ɐ ɫ
внесял	v n ɛ sʲ a̟ ɫ
внесяла	v n ɛ sʲ a̟ ɫ ɐ
внесяло	v n ɛ sʲ a̟ ɫ o
внесях	v n ɛ sʲ a̟ x
внесяха	v n ɛ sʲ a̟ x ɐ
внесяхме	v n ɛ sʲ a̟ x m ɛ
внесяхте	v n ɛ sʲ a̟ x t ɛ
внимание	v n i m a n i ɛ
внимателен	v n i m a t ɛ l ɛ n
внимателно	v n i m a t ɛ ɫ n o
внимателност	v n i m a t ɛ ɫ n o s t
внук	v n u k
внучка	v n u t͡ʃ k ɐ
воал	v o a ɫ
вогава	v o ɡ a v ɐ
вод	v ɔ t
вода	v o d a
вода	v ɔ d ɐ
водата	v o d a t ɐ
водач	v o d a t͡ʃ
воден	v ɔ d ɛ n
воденица	v o d ɛ n i t͡s ɐ
водещ	v ɔ d ɛ ʃ t
води	v o d i
водка	v ɔ t k ɐ
воднист	v o d n i s t
водоизпускател	v ɔ d o i s p o s k a t ɛ ɫ
водолеи	v o d o l ɛ i
водолей	v o d o l ɛ j
водолюбив	v o d o lʲ o̟ b i f
водопад	v o d o p a t
водопой	v o d o p ɔ j
водопроводчик	v o d o p r o v ɔ t t͡ʃ i k
водоравен	v o d o r a v ɛ n
водоравност	v o d o r a v n o s t
водорасло	v o d o r a s ɫ o
водород	v o d o r ɔ t
водоскок	v o d o s k ɔ k
водосток	v o d o s t ɔ k
водя	v ɔ dʲ ɐ
воевода	v o ɛ v ɔ d ɐ
военачалник	v o ɛ n ɐ t͡ʃ a̟ ɫ n i k
военен	v o ɛ n ɛ n
вожд	v ɔ ʃ t
возатай	v o z ɐ t a j
возач	v o z a t͡ʃ
возило	v o z i ɫ o
возия	v o z i j ɐ
возя	v ɔ zʲ ɐ
воин	v ɔ i n
воинственост	v ɔ i n s t v ɛ n o s t
вой	v ɔ j
войвода	v o j v ɔ d ɐ
войн	v ɔ j n
война	v o j n a
войник	v o j n i k
войска	v o j s k a
войски	v o j s k i
вол	v ɔ ɫ
волан	v o ɫ a n
волен	v ɔ l ɛ n
волт	v ɔ ɫ t
волфрам	v ɔ ɫ f r ɐ m
воля	v ɔ lʲ ɐ
вонещ	v o n ɛ ʃ t
вонка	v ɔ ŋ k ɐ
вонта	v ɔ n t ɐ
воня	v o nʲ a̟
воня	v o nʲ ɤ̟
воняя	v o nʲ a̟ j ɐ
воспитание	v o s p i t a n i ɛ
востегарка	v o s t ɛ ɡ a r k ɐ
восторг	v o s t ɔ r k
восхищение	v o s x i ʃ t ɛ n i ɛ
восък	v ɔ s ɐ k
воювам	v o j u̟ v ɐ m
впечатление	f p ɛ t͡ʃ ɐ t l ɛ n i ɛ
вплел	f p l ɛ ɫ
вплела	f p l ɛ ɫ ɐ
вплелата	f p l ɛ ɫ ɐ t ɐ
вплели	f p l ɛ l i
вплелите	f p l ɛ l i t ɛ
вплелия	f p l ɛ l i j ɐ
вплелият	f p l ɛ l i j ɐ t
вплело	f p l ɛ ɫ o
вплелото	f p l ɛ ɫ o t o
вплета	f p l ɛ t ɤ
вплетат	f p l ɛ t ɤ t
вплете	f p l ɛ t ɛ
вплетели	f p l ɛ t ɛ l i
вплетем	f p l ɛ t ɛ m
вплетен	f p l ɛ t ɛ n
вплетена	f p l ɛ t ɛ n ɐ
вплетената	f p l ɛ t ɛ n ɐ t ɐ
вплетени	f p l ɛ t ɛ n i
вплетените	f p l ɛ t ɛ n i t ɛ
вплетения	f p l ɛ t ɛ n i j ɐ
вплетеният	f p l ɛ t ɛ n i j ɐ t
вплетено	f p l ɛ t ɛ n o
вплетеното	f p l ɛ t ɛ n o t o
вплетете	f p l ɛ t ɛ t ɛ
вплетеш	f p l ɛ t ɛ ʃ
вплетеше	f p l ɛ t ɛ ʃ ɛ
вплети	f p l ɛ t i
вплетох	f p l ɛ t o x
вплетоха	f p l ɛ t o x ɐ
вплетохме	f p l ɛ t o x m ɛ
вплетохте	f p l ɛ t o x t ɛ
вплетял	f p l ɛ tʲ a̟ ɫ
вплетяла	f p l ɛ tʲ a̟ ɫ ɐ
вплетяло	f p l ɛ tʲ a̟ ɫ o
вплетях	f p l ɛ tʲ a̟ x
вплетяха	f p l ɛ tʲ a̟ x ɐ
вплетяхме	f p l ɛ tʲ a̟ x m ɛ
вплетяхте	f p l ɛ tʲ a̟ x t ɛ
вплита	f p l i t ɐ
вплитай	f p l i t ɐ j
вплитайки	f p l i t ɐ j k i
вплитайте	f p l i t ɐ j t ɛ
вплитал	f p l i t ɐ ɫ
вплитала	f p l i t ɐ ɫ ɐ
вплиталата	f p l i t ɐ ɫ ɐ t ɐ
вплитали	f p l i t ɐ l i
вплиталите	f p l i t ɐ l i t ɛ
вплиталия	f p l i t ɐ l i j ɐ
вплиталият	f p l i t ɐ l i j ɐ t
вплитало	f p l i t ɐ ɫ o
вплиталото	f p l i t ɐ ɫ o t o
вплитам	f p l i t ɐ m
вплитаме	f p l i t ɐ m ɛ
вплитан	f p l i t ɐ n
вплитана	f p l i t ɐ n ɐ
вплитаната	f p l i t ɐ n ɐ t ɐ
вплитане	f p l i t ɐ n ɛ
вплитанета	f p l i t ɐ n ɛ t ɐ
вплитанетата	f p l i t ɐ n ɛ t ɐ t ɐ
вплитането	f p l i t ɐ n ɛ t o
вплитани	f p l i t ɐ n i
вплитаните	f p l i t ɐ n i t ɛ
вплитания	f p l i t ɐ n i j ɐ
вплитаният	f p l i t ɐ n i j ɐ t
вплитанията	f p l i t ɐ n i j ɐ t ɐ
вплитано	f p l i t ɐ n o
вплитаното	f p l i t ɐ n o t o
вплитат	f p l i t ɐ t
вплитате	f p l i t ɐ t ɛ
вплитах	f p l i t ɐ x
вплитаха	f p l i t ɐ x ɐ
вплитахме	f p l i t ɐ x m ɛ
вплитахте	f p l i t ɐ x t ɛ
вплиташ	f p l i t ɐ ʃ
вплиташе	f p l i t ɐ ʃ ɛ
вплитащ	f p l i t ɐ ʃ t
вплитаща	f p l i t ɐ ʃ t ɐ
вплитащата	f p l i t ɐ ʃ t ɐ t ɐ
вплитащи	f p l i t ɐ ʃ t i
вплитащите	f p l i t ɐ ʃ t i t ɛ
вплитащия	f p l i t ɐ ʃ t i j ɐ
вплитащият	f p l i t ɐ ʃ t i j ɐ t
вплитащо	f p l i t ɐ ʃ t o
вплитащото	f p l i t ɐ ʃ t o t o
впрягам	f p rʲ a̟ ɡ ɐ m
вра	v r ɤ
врабей	v r a b ɛ j
врабец	v r ɐ b ɛ t͡s
врабка	v r a p k ɐ
врабче	v r ɐ p t͡ʃ ɛ
врабчи	v r a p t͡ʃ i
враг	v r a k
врага	v r a ɡ ɐ
врагове	v r a ɡ o v ɛ
врагове	v r ɐ ɡ o v ɛ
враговете	v r a ɡ o v ɛ t ɛ
враговете	v r ɐ ɡ o v ɛ t ɛ
врагът	v r a ɡ ɐ t
врагът	v r ɐ ɡ ɤ t
вража	v r a ʒ ɐ
вража	v r ɐ ʒ ɤ̟
вражалец	v r ɐ ʒ ɐ l ɛ t͡s
вражда	v r ɐ ʒ d a
вран	v r a n
врана	v r a n ɐ
врат	v r a t
врата	v r ɐ t a
вратар	v r ɐ t a r
вратига	v r ɐ t i ɡ ɐ
вратика	v r ɐ t i k ɐ
вратле	v r ɐ t l ɛ
вратня	v r a t nʲ ɐ
вратовръзка	v r ɐ t o v r ɤ s k ɐ
вратя	v r a tʲ ɐ
врачба	v r ɐ d͡ʒ b a
вре	v r ɛ
вреда	v r ɛ d a
вреден	v r ɛ d ɛ n
вреж	v r ɛ ʃ
врейки	v r ɛ j k i
врели	v r ɛ l i
врелите	v r ɛ l i t ɛ
врелия	v r ɛ l i j ɐ
врелият	v r ɛ l i j ɐ t
врем	v r ɛ m
време	v r ɛ m ɛ
времена	v r ɛ m ɛ n a
временен	v r ɛ m ɛ n ɛ n
времето	v r ɛ m ɛ t o
врене	v r ɛ n ɛ
вренета	v r ɛ n ɛ t ɐ
вренетата	v r ɛ n ɛ t ɐ t ɐ
вренето	v r ɛ n ɛ t o
врени	v r ɛ n i
врените	v r ɛ n i t ɛ
врения	v r ɛ n i j ɐ
вреният	v r ɛ n i j ɐ t
вренията	v r ɛ n i j ɐ t ɐ
врете	v r ɛ t ɛ
вретен	v r ɛ t ɛ n
вретено	v r ɛ t ɛ n o
вретище	v r ɛ t i ʃ t ɛ
вреш	v r ɛ ʃ
вреше	v r ɛ ʃ ɛ
врещ	v r ɛ ʃ t
вреща	v r ɛ ʃ t ɐ
врещя	v r ɛ ʃ tʲ ɤ̟
ври	v r i
връв	v r ɤ f
връвца	v r ɐ f t͡s a
връзвам	v r ɤ z v ɐ m
връзка	v r ɤ s k ɐ
връзки	v r ɤ s k i
връст	v r ɤ s t
врът	v r ɤ t
врътка	v r ɤ t k ɐ
връх	v r ɤ x
връчва	v r ɤ t͡ʃ v ɐ
връщам	v r ɤ ʃ t ɐ m
вря	v rʲ a̟
врява	v rʲ a̟ v ɐ
вряк	v rʲ a̟ k
врял	v rʲ a̟ ɫ
вряла	v rʲ a̟ ɫ ɐ
врялата	v rʲ a̟ ɫ ɐ t ɐ
вряло	v rʲ a̟ ɫ o
врялото	v rʲ a̟ ɫ o t o
врян	v rʲ a̟ n
вряна	v rʲ a̟ n ɐ
вряната	v rʲ a̟ n ɐ t ɐ
вряно	v rʲ a̟ n o
вряното	v rʲ a̟ n o t o
врях	v rʲ a̟ x
вряха	v rʲ a̟ x ɐ
вряхме	v rʲ a̟ x m ɛ
вряхте	v rʲ a̟ x t ɛ
врящ	v rʲ a̟ ʃ t
вряща	v rʲ a̟ ʃ t ɐ
врящата	v rʲ a̟ ʃ t ɐ t ɐ
врящи	v rʲ a̟ ʃ t i
врящите	v rʲ a̟ ʃ t i t ɛ
врящия	v rʲ a̟ ʃ t i j ɐ
врящият	v rʲ a̟ ʃ t i j ɐ t
врящо	v rʲ a̟ ʃ t o
врящото	v rʲ a̟ ʃ t o t o
все	f s ɛ
всежегом	f s ɛ ʒ ɛ ɡ o m
всезнайка	f s ɛ z n a j k ɐ
всезнайко	f s ɛ z n a j k o
всеки	f s ɛ k i
всекиго	f s ɛ k i ɡ o
всекидневна	f s ɛ k i d n ɛ v n ɐ
вселена	f s ɛ l ɛ n ɐ
вси	f s i
всички	f s i t͡ʃ k i
всичкия	f s i t͡ʃ k i j ɐ
всичко	f s i t͡ʃ k o
всуе	f s u ɛ
всъщност	f s ɤ ʃ n o s t
всякак	f sʲ a̟ k ɐ k
всякаква	f sʲ a̟ k ɐ k v ɐ
всякакви	f sʲ a̟ k ɐ k v i
всякакво	f sʲ a̟ k ɐ k v o
всякакъв	f sʲ a̟ k ɐ k ɐ f
всяко	f sʲ a̟ k o
всякога	f sʲ a̟ k o ɡ ɐ
втвърдител	f t v ɐ r d i t ɛ ɫ
втечнели	f t ɛ t͡ʃ n ɛ l i
втечнен	f t ɛ t͡ʃ n ɛ n
втечнена	f t ɛ t͡ʃ n ɛ n ɐ
втечнената	f t ɛ t͡ʃ n ɛ n ɐ t ɐ
втечнени	f t ɛ t͡ʃ n ɛ n i
втечнените	f t ɛ t͡ʃ n ɛ n i t ɛ
втечнения	f t ɛ t͡ʃ n ɛ n i j ɐ
втечненият	f t ɛ t͡ʃ n ɛ n i j ɐ t
втечнено	f t ɛ t͡ʃ n ɛ n o
втечненото	f t ɛ t͡ʃ n ɛ n o t o
втечнете	f t ɛ t͡ʃ n ɛ t ɛ
втечнеше	f t ɛ t͡ʃ n ɛ ʃ ɛ
втечни	f t ɛ t͡ʃ n i
втечнил	f t ɛ t͡ʃ n i ɫ
втечнила	f t ɛ t͡ʃ n i ɫ ɐ
втечнилата	f t ɛ t͡ʃ n i ɫ ɐ t ɐ
втечнили	f t ɛ t͡ʃ n i l i
втечнилите	f t ɛ t͡ʃ n i l i t ɛ
втечнилия	f t ɛ t͡ʃ n i l i j ɐ
втечнилият	f t ɛ t͡ʃ n i l i j ɐ t
втечнило	f t ɛ t͡ʃ n i ɫ o
втечнилото	f t ɛ t͡ʃ n i ɫ o t o
втечним	f t ɛ t͡ʃ n i m
втечните	f t ɛ t͡ʃ n i t ɛ
втечних	f t ɛ t͡ʃ n i x
втечниха	f t ɛ t͡ʃ n i x ɐ
втечнихме	f t ɛ t͡ʃ n i x m ɛ
втечнихте	f t ɛ t͡ʃ n i x t ɛ
втечниш	f t ɛ t͡ʃ n i ʃ
втечня	f t ɛ t͡ʃ nʲ ɤ̟
втечнява	f t ɛ t͡ʃ nʲ a̟ v ɐ
втечнявай	f t ɛ t͡ʃ nʲ a̟ v ɐ j
втечнявайки	f t ɛ t͡ʃ nʲ a̟ v ɐ j k i
втечнявайте	f t ɛ t͡ʃ nʲ a̟ v ɐ j t ɛ
втечнявал	f t ɛ t͡ʃ nʲ a̟ v ɐ ɫ
втечнявала	f t ɛ t͡ʃ nʲ a̟ v ɐ ɫ ɐ
втечнявалата	f t ɛ t͡ʃ nʲ a̟ v ɐ ɫ ɐ t ɐ
втечнявали	f t ɛ t͡ʃ nʲ a̟ v ɐ l i
втечнявалите	f t ɛ t͡ʃ nʲ a̟ v ɐ l i t ɛ
втечнявалия	f t ɛ t͡ʃ nʲ a̟ v ɐ l i j ɐ
втечнявалият	f t ɛ t͡ʃ nʲ a̟ v ɐ l i j ɐ t
втечнявало	f t ɛ t͡ʃ nʲ a̟ v ɐ ɫ o
втечнявалото	f t ɛ t͡ʃ nʲ a̟ v ɐ ɫ o t o
втечнявам	f t ɛ t͡ʃ nʲ a̟ v ɐ m
втечняваме	f t ɛ t͡ʃ nʲ a̟ v ɐ m ɛ
втечняван	f t ɛ t͡ʃ nʲ a̟ v ɐ n
втечнявана	f t ɛ t͡ʃ nʲ a̟ v ɐ n ɐ
втечняваната	f t ɛ t͡ʃ nʲ a̟ v ɐ n ɐ t ɐ
втечняване	f t ɛ t͡ʃ nʲ a̟ v ɐ n ɛ
втечняванета	f t ɛ t͡ʃ nʲ a̟ v ɐ n ɛ t ɐ
втечняванетата	f t ɛ t͡ʃ nʲ a̟ v ɐ n ɛ t ɐ t ɐ
втечняването	f t ɛ t͡ʃ nʲ a̟ v ɐ n ɛ t o
втечнявани	f t ɛ t͡ʃ nʲ a̟ v ɐ n i
втечняваните	f t ɛ t͡ʃ nʲ a̟ v ɐ n i t ɛ
втечнявания	f t ɛ t͡ʃ nʲ a̟ v ɐ n i j ɐ
втечняваният	f t ɛ t͡ʃ nʲ a̟ v ɐ n i j ɐ t
втечняванията	f t ɛ t͡ʃ nʲ a̟ v ɐ n i j ɐ t ɐ
втечнявано	f t ɛ t͡ʃ nʲ a̟ v ɐ n o
втечняваното	f t ɛ t͡ʃ nʲ a̟ v ɐ n o t o
втечняват	f t ɛ t͡ʃ nʲ a̟ v ɐ t
втечнявате	f t ɛ t͡ʃ nʲ a̟ v ɐ t ɛ
втечнявах	f t ɛ t͡ʃ nʲ a̟ v ɐ x
втечняваха	f t ɛ t͡ʃ nʲ a̟ v ɐ x ɐ
втечнявахме	f t ɛ t͡ʃ nʲ a̟ v ɐ x m ɛ
втечнявахте	f t ɛ t͡ʃ nʲ a̟ v ɐ x t ɛ
втечняваш	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ
втечняваше	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ ɛ
втечняващ	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t
втечняваща	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t ɐ
втечняващата	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t ɐ t ɐ
втечняващи	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t i
втечняващите	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t i t ɛ
втечняващия	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t i j ɐ
втечняващият	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t i j ɐ t
втечняващо	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t o
втечняващото	f t ɛ t͡ʃ nʲ a̟ v ɐ ʃ t o t o
втечнял	f t ɛ t͡ʃ nʲ a̟ ɫ
втечняла	f t ɛ t͡ʃ nʲ a̟ ɫ ɐ
втечняло	f t ɛ t͡ʃ nʲ a̟ ɫ o
втечнят	f t ɛ t͡ʃ nʲ ɤ̟ t
втечнях	f t ɛ t͡ʃ nʲ a̟ x
втечняха	f t ɛ t͡ʃ nʲ a̟ x ɐ
втечняхме	f t ɛ t͡ʃ nʲ a̟ x m ɛ
втечняхте	f t ɛ t͡ʃ nʲ a̟ x t ɛ
втора	f t ɔ r ɐ
втори	f t ɔ r i
вторник	f t ɔ r n i k
второ	f t ɔ r o
второразреден	f t o r o r ɐ z r ɛ d ɛ n
втрисане	f t r i s ɐ n ɛ
вуйчо	v u j t͡ʃ o̟
вулгаризъм	v o ɫ ɡ ɐ r i z ɐ m
вулкан	v o ɫ k a n
вход	f x ɔ t
вчера	f t͡ʃ ɛ r ɐ
вчерашен	f t͡ʃ ɛ r ɐ ʃ ɛ n
въбел	v ɤ b ɛ ɫ
във	v ɤ f
въведа	v ɐ v ɛ d ɤ
въведат	v ɐ v ɛ d ɤ t
въведе	v ɐ v ɛ d ɛ
въведели	v ɐ v ɛ d ɛ l i
въведем	v ɐ v ɛ d ɛ m
въведен	v ɐ v ɛ d ɛ n
въведена	v ɐ v ɛ d ɛ n ɐ
въведената	v ɐ v ɛ d ɛ n ɐ t ɐ
въведени	v ɐ v ɛ d ɛ n i
въведените	v ɐ v ɛ d ɛ n i t ɛ
въведения	v ɐ v ɛ d ɛ n i j ɐ
въведеният	v ɐ v ɛ d ɛ n i j ɐ t
въведено	v ɐ v ɛ d ɛ n o
въведеното	v ɐ v ɛ d ɛ n o t o
въведете	v ɐ v ɛ d ɛ t ɛ
въведеш	v ɐ v ɛ d ɛ ʃ
въведеше	v ɐ v ɛ d ɛ ʃ ɛ
въведи	v ɐ v ɛ d i
въведох	v ɐ v ɛ d o x
въведоха	v ɐ v ɛ d o x ɐ
въведохме	v ɐ v ɛ d o x m ɛ
въведохте	v ɐ v ɛ d o x t ɛ
въведял	v ɐ v ɛ dʲ a̟ ɫ
