अक्का	ɐ k̚ k ɑː
गच्छावस्	ɡ ɐ t̚ t͡ɕʰ ɑː ʋ ɐ s
गच्छावस्	ɡ ɐ t̪̚ t͡ɕʰ ɑː ʋ ɐ s̪
गच्छेत	ɡ ɐ t̚ t͡ɕʰ ɐ j t ɐ
गच्छेत	ɡ ɐ t̪̚ t͡ɕʰ eː t̪ ɐ
गच्छेतम्	ɡ ɐ t̚ t͡ɕʰ ɐ j t ɐ m
गच्छेतम्	ɡ ɐ t̪̚ t͡ɕʰ eː t̪ ɐ m
गच्छेताम्	ɡ ɐ t̚ t͡ɕʰ ɐ j t ɑː m
गच्छेताम्	ɡ ɐ t̪̚ t͡ɕʰ eː t̪ ɑː m
गच्छेत्	ɡ ɐ t̚ t͡ɕʰ ɐ j t
गच्छेत्	ɡ ɐ t̪̚ t͡ɕʰ eː t̪
गच्छेम	ɡ ɐ t̚ t͡ɕʰ ɐ j m ɐ
गच्छेम	ɡ ɐ t̪̚ t͡ɕʰ eː m ɐ
गच्छेयम्	ɡ ɐ t̚ t͡ɕʰ ɐ j j ɐ m
गच्छेयम्	ɡ ɐ t̪̚ t͡ɕʰ eː j ɐ m
गच्छेयुस्	ɡ ɐ t̚ t͡ɕʰ ɐ j j u s
गच्छेयुस्	ɡ ɐ t̪̚ t͡ɕʰ eː j u s̪
गच्छेव	ɡ ɐ t̚ t͡ɕʰ ɐ j ʋ ɐ
गच्छेव	ɡ ɐ t̪̚ t͡ɕʰ eː ʋ ɐ
गच्छेस्	ɡ ɐ t̚ t͡ɕʰ ɐ j s
गच्छेस्	ɡ ɐ t̪̚ t͡ɕʰ eː s̪
गण्य	ɡ ɐ j̃ j ɐ
गम्यताम्	ɡ ɐ j̃ j ɐ t ɑː m
गम्यते	ɡ ɐ j̃ j ɐ́ t ɐ j
गम्यन्ते	ɡ ɐ j̃ j ɐ n t ɐ j
गम्ये	ɡ ɐ j̃ j ɐ j
गम्येत	ɡ ɐ j̃ j ɐ j t ɐ
गम्येते	ɡ ɐ j̃ j ɐ j t ɐ j
गुच्छ	ɡ u t̚ t͡ɕʰ ɐ
गुच्छ	ɡ u t̪̚ t͡ɕʰ ɐ
गुप्त	ɡ u p̚ t ɐ́
गुप्त	ɡ u p̚ t̪ ɐ
गुलः	ɡ u l̪ ɐ h ɐ̆
गृद्धि	ɡ r̩ d̚ dʱ i
गृद्धि	ɡ r̩ d̪̚ d̪ʱ i
गोप्तुम्	ɡ oː p̚ t̪ u m
गोप्तुम्	ɡ ɐ w p̚ t u m
गोप्तृ	ɡ oː p̚ t̪ r̩
गोप्तृ	ɡ ɐ w p̚ t r̩
घट्ट	ɡʱ ɐ ʈ̚ ʈ ɐ
घट्टयति	ɡʱ ɐ ʈ̚ ʈ ɐ j ɐ t̪ i
घट्टयति	ɡʱ ɐ ʈ̚ ʈ ɐ́ j ɐ t i
घट्ट्	ɡʱ ɐ ʈ̚ ʈ
चन्द्रगुप्त	t͡ɕ ɐ n d ɾ ɐ ɡ u p̚ t ɐ
चन्द्रगुप्त	t͡ɕ ɐ n̪ d̪ ɾ ɐ ɡ u p̚ t̪ ɐ
चन्द्रमः	t͡ɕ ɐ n̪ d̪ ɾ ɐ m ɐ h ɐ̆
चन्द्रमाः	t͡ɕ ɐ n̪ d̪ ɾ ɐ m ɑː h ɑ̆
चमत्कार	t͡ɕ ɐ m ɐ t̚ k ɑː ɾ ɐ
चमत्कार	t͡ɕ ɐ m ɐ t̪̚ k ɑː ɾ ɐ
चषक	t͡ɕ ɐ ʂ ɐ k ɐ h ɐ̆
चिकित्सकः	t͡ɕ i k i t̪ s̪ ɐ k ɐ h ɐ̆
चिकित्सकाः	t͡ɕ i k i t̪ s̪ ɐ k ɑː h ɑ̆
चिकित्सकेभ्यः	t͡ɕ i k i t̪ s̪ ɐ k eː bʱ j ɐ h ɐ̆
चिकित्सकैः	t͡ɕ i k i t̪ s̪ ɐ k ɑ j h ɑ̆
चिकित्सिकाः	t͡ɕ i k i t̪ s̪ i k ɑː h ɑ̆
चिकित्सिकायाः	t͡ɕ i k i t̪ s̪ i k ɑː j ɑː h ɑ̆
चिकेत्ति	t͡ɕ i k eː t̪̚ t̪ i
चिकेत्ति	t͡ɕ í k ɐ j t̚ t i
चिक्कण	t͡ɕ i k̚ k ɐ ɳ ɐ
चिक्कण	t͡ɕ i k̚ k ɐ́ ɳ ɐ
चिक्किण	t͡ɕ i k̚ k i ɳ ɐ
चिच्छक्ति	t͡ɕ i t̪̚ t͡ɕʰ ɐ k̚ t̪ i
चित्त	t͡ɕ i t̚ t ɐ́
चित्त	t͡ɕ i t̪̚ t̪ ɐ
चित्ति	t͡ɕ i t̪̚ t̪ i
चित्ति	t͡ɕ í t̚ t i
चीत्कार	t͡ɕ iː t̚ k ɑː ɾ ɐ
चीत्कार	t͡ɕ iː t̪̚ k ɑː ɾ ɐ
चुकोट्ट	t͡ɕ u k oː ʈ̚ ʈ ɐ
चुकोट्ट	t͡ɕ u k ɐ w ʈ̚ ʈ ɐ
छच्छिका	t͡ɕʰ ɐ t̚ t͡ɕʰ i k ɑː
छच्छिका	t͡ɕʰ ɐ t̪̚ t͡ɕʰ i k ɑː
छत्त्र	t͡ɕʰ ɐ t̚ t ɾ ɐ
छत्त्र	t͡ɕʰ ɐ t̪̚ t̪ ɾ ɐ
छात्त्र	t͡ɕʰ ɑː t̚ t ɾ ɐ
छात्त्र	t͡ɕʰ ɑː t̪̚ t̪ ɾ ɐ
छिक्कति	t͡ɕʰ i k̚ k ɐ t̪ i
छिनत्ति	t͡ɕʰ i n ɐ́ t̚ t i
छिनत्ति	t͡ɕʰ i n̪ ɐ t̪̚ t̪ i
जग्ध	d͡ʑ ɐ ɡ̚ dʱ ɐ́
जग्ध	d͡ʑ ɐ ɡ̚ d̪ʱ ɐ
जग्मथुः	d͡ʑ ɐ ɡ m ɐ t̪ʰ u h ŭ
जग्मुः	d͡ʑ ɐ ɡ m u h ŭ
जज्झती	d͡ʑ ɐ d̪̚ d͡ʑʱ ɐ t̪ iː
जज्झती	d͡ʑ ɐ́ d̚ d͡ʑʱ ɐ t iː
जन्य	d͡ʑ ɐ́ j̃ j ɐ
जालवृत्ति	d͡ʑ ɑː l̪ ɐ ʋ r̩ t̪̚ t̪ i
जेन्य	d͡ʑ ɐ́ j j̃ j ɐ
ज्ञप्त	d͡ʑ ɲ ɐ p̚ t ɐ́
ज्ञप्त	d͡ʑ ɲ ɐ p̚ t̪ ɐ
ज्ञातयः	d͡ʑ ɲ ɑː t̪ ɐ j ɐ h ɐ̆
ज्योगपरुद्ध	d͡ʑ j oː ɡ ɐ p ɐ ɾ u d̪̚ d̪ʱ ɐ
ज्योगपरुद्ध	d͡ʑ j ɐ́ w ɡ ɐ p ɐ ɾ u d̚ dʱ ɐ
झणत्कार	d͡ʑʱ ɐ ɳ ɐ t̚ k ɑː ɾ ɐ
झणत्कार	d͡ʑʱ ɐ ɳ ɐ t̪̚ k ɑː ɾ ɐ
टट्टनी	ʈ ɐ ʈ̚ ʈ ɐ n iː
टट्टनी	ʈ ɐ ʈ̚ ʈ ɐ n̪ iː
टट्टरी	ʈ ɐ ʈ̚ ʈ ɐ ɾ iː
टिट्टिभ	ʈ i ʈ̚ ʈ i bʱ ɐ
टिप्पणी	ʈ i p̚ p ɐ ɳ iː
टिप्प्	ʈ i p̚ p
टुप्पिका	ʈ u p̚ p i k ɑː
ठक्क	ʈʰ ɐ k̚ k ɐ
ठक्कुर	ʈʰ ɐ k̚ k u ɾ ɐ
डक्कारी	ɖ ɐ k̚ k ɑː ɾ iː
डवित्थ	ɖ ɐ ʋ i t̚ tʰ ɐ
डवित्थ	ɖ ɐ ʋ i t̪̚ t̪ʰ ɐ
डिक्करी	ɖ i k̚ k ɐ ɾ iː
डित्थ	ɖ i t̚ tʰ ɐ
डित्थ	ɖ i t̪̚ t̪ʰ ɐ
ढक्क	ɖʱ ɐ k̚ k ɐ
ढक्का	ɖʱ ɐ k̚ k ɑː
ढक्कारी	ɖʱ ɐ k̚ k ɑː ɾ iː
ण्य	j̃ j ɐ
तक्ति	t ɐ k̚ t i
तक्ति	t̪ ɐ k̚ t̪ i
तत्क्षण	t ɐ t̚ k ʂ ɐ ɳ ɐ
तत्क्षण	t̪ ɐ t̪̚ k ʂ ɐ ɳ ɐ
तत्त्वमसि	t ɐ t̚ t ʋ ɐ m ɐ s i
तत्त्वमसि	t̪ ɐ t̪̚ t̪ ʋ ɐ m ɐ s̪ i
तत्पश्चात्	t ɐ t̚ p ɐ ɕ t͡ɕ ɑː t
तत्पश्चात्	t̪ ɐ t̪̚ p ɐ ɕ t͡ɕ ɑː t̪
तनक्ति	t ɐ n ɐ́ k̚ t i
तनक्ति	t̪ ɐ n̪ ɐ k̚ t̪ i
तनुमः	t̪ ɐ n̪ u m ɐ h ɐ̆
तनुवः	t̪ ɐ n̪ u ʋ ɐ h ɐ̆
तन्मः	t̪ ɐ n̪ m ɐ h ɐ̆
तन्यति	t ɐ j̃ j ɐ t i
तन्वः	t ɐ ʋ̃ ʋ ɐ h
तन्वः	t̪ ɐ n̪ ʋ ɐ h ɐ̆
तप्त	t ɐ p̚ t ɐ́
तप्त	t̪ ɐ p̚ t̪ ɐ
तप्ता	t ɐ p̚ t ɑː
तप्ता	t̪ ɐ p̚ t̪ ɑː
तप्ति	t ɐ p̚ t i
तप्ति	t̪ ɐ p̚ t̪ i
तात्पर्य	t ɑː t̚ p ɐ ɾ j ɐ
तात्पर्य	t̪ ɑː t̪̚ p ɐ ɾ j ɐ
ताम्बूलिकः	t̪ ɑː m b uː l̪ i k ɐ h ɐ̆
ताम्यति	t ɑ́ː j̃ j ɐ t i
तावत्क	t ɑ́ː ʋ ɐ t̚ k ɐ
तावत्क	t̪ ɑː ʋ ɐ t̪̚ k ɐ
तिक्त	t i k̚ t ɐ
तिक्त	t̪ i k̚ t̪ ɐ
तित्तिर	t i t̚ t i ɾ ɐ́
तित्तिर	t̪ i t̪̚ t̪ i ɾ ɐ
तिथीः	t̪ i t̪ʰ iː h ĭ
तिलोत्तमा	t i l ɐ w t̚ t ɐ m ɑ́ː
तिलोत्तमा	t̪ i l̪ oː t̪̚ t̪ ɐ m ɑː
तुच्छ	t u t̚ t͡ɕʰ ɐ
तुच्छ	t̪ u t̪̚ t͡ɕʰ ɐ
तुच्छ्य	t u t̚ t͡ɕʰ j ɐ́
तुच्छ्य	t̪ u t̪̚ t͡ɕʰ j ɐ
तृन्त्ते	t r̩ n t̚ t ɐ j
तृन्त्ते	t̪ r̩ n̪ t̪̚ t̪ eː
तृप्त	t r̩ p̚ t ɐ́
तृप्त	t̪ r̩ p̚ t̪ ɐ
तृप्ति	t ŕ̩ p̚ t i
तृप्ति	t̪ r̩ p̚ t̪ i
तृप्तिद	t r̩ p̚ t i d ɐ
तृप्तिद	t̪ r̩ p̚ t̪ i d̪ ɐ
तेभ्यः	t̪ eː bʱ j ɐ h ɐ̆
त्यक्त	t j ɐ k̚ t ɐ
त्यक्त	t̪ j ɐ k̚ t̪ ɐ
त्रटत्कार	t ɾ ɐ ʈ ɐ t̚ k ɑː ɾ ɐ
त्रटत्कार	t̪ ɾ ɐ ʈ ɐ t̪̚ k ɑː ɾ ɐ
त्वच्छेद	t̪ ʋ ɐ t̪̚ t͡ɕʰ eː d̪ ɐ
दग्ध	d ɐ ɡ̚ dʱ ɐ́
दग्ध	d̪ ɐ ɡ̚ d̪ʱ ɐ
दत्त	d ɐ t̚ t ɐ́
दत्त	d̪ ɐ t̪̚ t̪ ɐ
दत्तनिधि	d ɐ t̚ t ɐ n i dʱ i
दत्तनिधि	d̪ ɐ t̪̚ t̪ ɐ n̪ i d̪ʱ i
दत्तांश	d ɐ t̚ t ɑ̃ː ɕ ɐ
दत्तांश	d̪ ɐ t̪̚ t̪ ɑ̃ː ɕ ɐ
दत्तात्	d ɐ t̚ t ɑː t
दत्तात्	d̪ ɐ t̪̚ t̪ ɑː t̪
दत्ताम्	d ɐ t̚ t ɑː m
दत्ताम्	d̪ ɐ t̪̚ t̪ ɑː m
दशाब्द	d ɐ ɕ ɑ́ː b̚ d ɐ
दशाब्द	d̪ ɐ ɕ ɑː b̚ d̪ ɐ
दाक्षिण्य	d ɑː k ʂ i j̃ j ɐ
दाम्यति	d ɑ́ː j̃ j ɐ t i
दिक्करिन्	d i k̚ k ɐ ɾ i n
दिक्करिन्	d̪ i k̚ k ɐ ɾ i n̪
दिग्ध	d i ɡ̚ dʱ ɐ́
दिग्ध	d̪ i ɡ̚ d̪ʱ ɐ
दुःख	d u x kʰ ɐ́
दुःखिन्	d u x kʰ i n
दुःखी	d u x kʰ iː
दुग्ध	d u ɡ̚ dʱ ɐ́
दुग्ध	d̪ u ɡ̚ d̪ʱ ɐ
दुग्धं	d u ɡ̚ dʱ ɐ m
दुग्धं	d̪ u ɡ̚ d̪ʱ ɐ m
दुग्धाग्र	d u ɡ̚ dʱ ɑː ɡ ɾ ɐ
दुग्धाग्र	d̪ u ɡ̚ d̪ʱ ɑː ɡ ɾ ɐ
दुर्दान्तः	d̪ u ɾ d̪ ɑː n̪ t̪ ɐ h ɐ̆
दूरभाषः	d̪ uː ɾ ɐ bʱ ɑː ʂ ɐ h ɐ̆
दूरभाषाः	d̪ uː ɾ ɐ bʱ ɑː ʂ ɑː h ɑ̆
दृशेन्य	d r̩ ɕ ɐ́ j j̃ j ɐ
देग्धि	d ɐ́ j ɡ̚ dʱ i
देग्धि	d̪ eː ɡ̚ d̪ʱ i
दोग्धि	d ɐ́ w ɡ̚ dʱ i
दोग्धि	d̪ oː ɡ̚ d̪ʱ i
दोग्धृ	d ɐ w ɡ̚ dʱ ŕ̩
दोग्धृ	d̪ oː ɡ̚ d̪ʱ r̩
दोग्ध्री	d ɐ́ w ɡ̚ dʱ ɾ iː
दोग्ध्री	d̪ oː ɡ̚ d̪ʱ ɾ iː
द्युः	d̪ j u h ŭ
धन्य	dʱ ɐ j̃ j ɐ
धन्यवाद	dʱ ɐ j̃ j ɐ ʋ ɑː d ɐ
धन्यवादः	dʱ ɐ j̃ j ɐ ʋ ɑː d ɐ h
धन्यवादः	d̪ʱ ɐ n̪ j ɐ ʋ ɑː d̪ ɐ h ɐ̆
धन्वन्	dʱ ɐ́ ʋ̃ ʋ ɐ n
धर्मयुद्ध	dʱ ɐ ɾ m ɐ j u d̚ dʱ ɐ
धर्मयुद्ध	d̪ʱ ɐ ɾ m ɐ j u d̪̚ d̪ʱ ɐ
धान्य	dʱ ɑː j̃ j ɐ́
धिक्कार	dʱ i k̚ k ɑː ɾ ɐ
धिक्कार	d̪ʱ i k̚ k ɑː ɾ ɐ
धिष्ण्य	dʱ í ʂ j̃ j ɐ
धेनोः	d̪ʱ eː n̪ oː h ŏ
नक्त	n ɐ́ k̚ t ɐ
नक्त	n̪ ɐ k̚ t̪ ɐ
नक्ति	n ɐ́ k̚ t i
नक्ति	n̪ ɐ k̚ t̪ i
नप्ति	n ɐ p̚ t í
नप्ति	n̪ ɐ p̚ t̪ i
नप्ती	n ɐ p̚ t íː
नप्ती	n̪ ɐ p̚ t̪ iː
नप्तृ	n ɐ́ p̚ t r̩
नप्तृ	n̪ ɐ p̚ t̪ r̩
नयतः	n̪ ɐ j ɐ t̪ ɐ h ɐ̆
नयथः	n̪ ɐ j ɐ t̪ʰ ɐ h ɐ̆
नयामः	n̪ ɐ j ɑː m ɐ h ɐ̆
नयावः	n̪ ɐ j ɑː ʋ ɐ h ɐ̆
नरः	n̪ ɐ ɾ ɐ h ɐ̆
नरयोः	n̪ ɐ ɾ ɐ j oː h ŏ
नराः	n̪ ɐ ɾ ɑː h ɑ̆
नरेभ्यः	n̪ ɐ ɾ eː bʱ j ɐ h ɐ̆
नरैः	n̪ ɐ ɾ ɑ j h ɑ̆
नष्टाप्तिसूत्र	n ɐ ʂ ʈ ɑː p̚ t i s uː t ɾ ɐ
नष्टाप्तिसूत्र	n̪ ɐ ʂ ʈ ɑː p̚ t̪ i s̪ uː t̪ ɾ ɐ
निक्त	n i k̚ t ɐ́
निक्त	n̪ i k̚ t̪ ɐ
निषत्त	n̪ i ʂ ɐ t̪̚ t̪ ɐ
निषत्त	n̪ i ʂ ɐ t̪̚ t̪ ɐ́
निषत्त	n̪ í ʂ ɐ t̪̚ t̪ ɐ
निषत्ति	n í ʂ ɐ t̚ t i
निषत्ति	n̪ i ʂ ɐ t̪̚ t̪ i
निषत्तिः	n í ʂ ɐ t̚ t i h
निषत्तिः	n̪ i ʂ ɐ t̪̚ t̪ i h ĭ
निष्टप्त	n í ʂ ʈ ɐ p̚ t ɐ
निष्टप्त	n̪ i ʂ ʈ ɐ p̚ t̪ ɐ
नृत्त	n r̩ t̚ t ɐ
नृत्त	n̪ r̩ t̪̚ t̪ ɐ
नेत्रच्छद	n̪ eː t̪ ɾ ɐ t̪̚ t͡ɕʰ ɐ d̪ ɐ
नेनेक्ति	n ɐ́ j n ɐ j k̚ t i
नेनेक्ति	n̪ eː n̪ eː k̚ t̪ i
न्यग्रोध	j̃ j ɐ ɡ ɾ ɐ́ w dʱ ɐ
न्यस्	j̃ j ɐ s
न्याय	j̃ j ɑː j ɐ
पक्ता	p ɐ k̚ t ɑ́ː
पक्ता	p ɐ k̚ t̪ ɑː
पक्ति	p ɐ k̚ t̪ i
पक्ति	p ɐ k̚ t̪ í
पक्ति	p ɐ́ k̚ t̪ i
पक्तृ	p ɐ k̚ t ŕ̩
पक्तृ	p ɐ k̚ t̪ r̩
पङ्क्ति	p ɐ ŋ k̚ t í
पङ्क्ति	p ɐ ŋ k̚ t̪ i
पट्ट	p ɐ ʈ̚ ʈ ɐ
पट्टन	p ɐ ʈ̚ ʈ ɐ n ɐ
पट्टन	p ɐ ʈ̚ ʈ ɐ n̪ ɐ
पट्टिका	p ɐ ʈ̚ ʈ i k ɑː
पत्ति	p ɐ t̚ t í
पत्ति	p ɐ t̪̚ t̪ i
पत्त्र	p ɐ t̪̚ t̪ ɾ ɐ
पत्त्र	p ɐ́ t̚ t ɾ ɐ
पत्त्रक	p ɐ t̚ t ɾ i k ɑː
पत्त्रक	p ɐ t̪̚ t̪ ɾ i k ɑː
पत्त्रल	p ɐ t̚ t ɾ ɐ l ɐ
पत्त्रल	p ɐ t̪̚ t̪ ɾ ɐ l̪ ɐ
पत्त्रिका	p ɐ t̚ t ɾ i k ɑː
पत्त्रिका	p ɐ t̪̚ t̪ ɾ i k ɑː
पत्रिका	p ɐ t̚ t ɾ i k ɑː
पत्रिका	p ɐ t̪̚ t̪ ɾ i k ɑː
पद्धति	p ɐ d̚ dʱ ɐ t i
पद्धति	p ɐ d̪̚ d̪ʱ ɐ t̪ i
परार्द्ध	p ɐ ɾ ɑː ɾ d̚ dʱ ɐ
परार्द्ध	p ɐ ɾ ɑː ɾ d̪̚ d̪ʱ ɐ
परिच्छिद्	p ɐ ɾ i t̚ t͡ɕʰ i d
परिच्छिद्	p ɐ ɾ i t̪̚ t͡ɕʰ i d̪
परिच्छेद	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ
परिच्छेद	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɐ
परिच्छेदम्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ m
परिच्छेदम्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɐ m
परिच्छेदयोस्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ j ɐ w s
परिच्छेदयोस्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɐ j oː s̪
परिच्छेदस्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ s
परिच्छेदस्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɐ s̪
परिच्छेदस्य	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ s j ɐ
परिच्छेदस्य	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɐ s̪ j ɐ
परिच्छेदात्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː t
परिच्छेदात्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑː t̪
परिच्छेदान्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː n
परिच्छेदान्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑː n̪
परिच्छेदाभ्याम्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː bʱ j ɑː m
परिच्छेदाभ्याम्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑː bʱ j ɑː m
परिच्छेदाय	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː j ɐ
परिच्छेदाय	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑː j ɐ
परिच्छेदास्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː s
परिच्छेदास्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑː s̪
परिच्छेदे	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ j
परिच्छेदे	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ eː
परिच्छेदेन	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ j n ɐ
परिच्छेदेन	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ eː n̪ ɐ
परिच्छेदेभ्यस्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ j bʱ j ɐ s
परिच्छेदेभ्यस्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ eː bʱ j ɐ s̪
परिच्छेदेषु	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɐ j ʂ u
परिच्छेदेषु	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ eː ʂ u
परिच्छेदैस्	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː j s
परिच्छेदैस्	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑ j s̪
परिच्छेदौ	p ɐ ɾ i t̚ t͡ɕʰ ɐ j d ɑː w
परिच्छेदौ	p ɐ ɾ i t̪̚ t͡ɕʰ eː d̪ ɑ w
परिमन्यु	p ɐ ɾ i m ɐ j̃ j ú
परिशुद्ध	p ɐ ɾ i ɕ u d̚ dʱ ɐ
परिशुद्ध	p ɐ ɾ i ɕ u d̪̚ d̪ʱ ɐ
पश्चात्ताप	p ɐ ɕ t͡ɕ ɑː t̚ t ɑː p ɐ
पश्चात्ताप	p ɐ ɕ t͡ɕ ɑː t̪̚ t̪ ɑː p ɐ
पादत्राणैः	p ɑː d̪ ɐ t̪ ɾ ɑː ɳ ɑ j h ɑ̆
पिङ्क्ते	p i ŋ k̚ t̪ eː
पिच्छोरा	p i t̚ t͡ɕʰ ɐ w ɾ ɑː
पिच्छोरा	p i t̪̚ t͡ɕʰ oː ɾ ɑː
पिण्याक	p i j̃ j ɑː k ɐ
पितुः	p i t̪ u h ŭ
पितृदेवः	p i t̪ r̩ d̪ eː ʋ ɐ h ɐ̆
पित्तल	p i t̚ t ɐ l ɐ
पित्तल	p i t̪̚ t̪ ɐ l̪ ɐ
पिनद्ध	p i n ɐ́ d̚ dʱ ɐ
पिनद्ध	p i n̪ ɐ d̪̚ d̪ʱ ɐ
पिप्पल	p i p̚ p ɐ l̪ ɐ
पिप्पल	p í p̚ p ɐ l ɐ
पिप्पलि	p i p̚ p ɐ l i
पिप्पलि	p i p̚ p ɐ l̪ i
पुच्छ	p u t̪̚ t͡ɕʰ ɐ
पुच्छ	p ú t̚ t͡ɕʰ ɐ
पुण्य	p u j̃ j ɐ
पुद्गल	p u d̚ ɡ ɐ l ɐ
पुद्गल	p u d̪̚ ɡ ɐ l̪ ɐ
पुरुषोत्तम	p u ɾ u ʂ oː t̪̚ t̪ ɐ m ɐ
पुरुषोत्तम	p u ɾ u ʂ ɐ w t̚ t ɐ m ɐ
पृच्छति	p r̩ t̚ t͡ɕʰ ɐ́ t i
पृच्छति	p r̩ t̪̚ t͡ɕʰ ɐ t̪ i
पृच्छा	p r̩ t̚ t͡ɕʰ ɑː
पृच्छा	p r̩ t̪̚ t͡ɕʰ ɑː
पृणक्ति	p r̩ ɳ ɐ k̚ t̪ i
पृणक्ति	p r̩ ɳ ɐ́ k̚ t i
पृतन्यति	p r̩ t ɐ j̃ j ɐ́ t i
प्रतिगच्छति	p ɾ ɐ t i ɡ ɐ t̚ t͡ɕʰ ɐ t i
प्रतिगच्छति	p ɾ ɐ t̪ i ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ i
प्रतिबद्ध	p ɾ ɐ t i b ɐ d̚ dʱ ɐ́
प्रतिबद्ध	p ɾ ɐ t̪ i b ɐ d̪̚ d̪ʱ ɐ
प्रतिबुद्ध	p ɾ ɐ t̪ i b u d̪̚ d̪ʱ ɐ
प्रतिबुद्ध	p ɾ ɐ́ t i b u d̚ dʱ ɐ
प्रत्युत्पन्न	p ɾ ɐ t̪ j u t̪̚ p ɐ n̪ n̪ ɐ
प्रवृद्ध	p ɾ ɐ ʋ r̩ d̚ dʱ ɐ́
प्रवृद्ध	p ɾ ɐ ʋ r̩ d̪̚ d̪ʱ ɐ
प्रसिद्ध	p ɾ ɐ s i d̚ dʱ ɐ
प्रसिद्ध	p ɾ ɐ s̪ i d̪̚ d̪ʱ ɐ
प्रसिद्धि	p ɾ ɐ s̪ i d̪̚ d̪ʱ i
प्रातःकाल	p ɾ ɑː t ɐ x k ɑː l ɐ
प्राप्तिका	p ɾ ɑː p̚ t̪ i k ɑː
प्रोक्त	p ɾ oː k̚ t̪ ɐ
प्रोक्त	p ɾ ɐ w k̚ t ɐ
फुत्कार	pʰ u t̚ k ɑː ɾ ɐ
फुत्कार	pʰ u t̪̚ k ɑː ɾ ɐ
फुप्फुस	pʰ u p̚ pʰ u s ɐ
फुप्फुस	pʰ u p̚ pʰ u s̪ ɐ
बद्ध	b ɐ d̚ dʱ ɐ́
बद्ध	b ɐ d̪̚ d̪ʱ ɐ
बद्धक	b ɐ d̪̚ d̪ʱ ɐ k ɐ
बद्धक	b ɐ́ d̚ dʱ ɐ k ɐ
बलीवर्दः	b ɐ l̪ iː ʋ ɐ ɾ d̪ ɐ h ɐ̆
बहिः	b ɐ ɦ i h ĭ
बुक्कति	b u k̚ k ɐ t i
बुक्कति	b u k̚ k ɐ t̪ i
बुक्कन	b u k̚ k ɐ n ɐ
बुक्कन	b u k̚ k ɐ n̪ ɐ
बुक्कयति	b u k̚ k ɐ j ɐ t i
बुक्कयति	b u k̚ k ɐ j ɐ t̪ i
बुक्क्	b u k̚ k
बुद्ध	b u d̚ dʱ ɐ́
बुद्ध	b u d̪̚ d̪ʱ ɐ
बुद्धि	b u d̪̚ d̪ʱ i
बुद्धि	b ú d̚ dʱ i
बुद्धीन्द्रिय	b u d̚ dʱ iː n d ɾ i j ɐ́
बुद्धीन्द्रिय	b u d̪̚ d̪ʱ iː n̪ d̪ ɾ i j ɐ
बुद्ध्वा	b u d̚ dʱ ʋ ɑː
बुद्ध्वा	b u d̪̚ d̪ʱ ʋ ɑː
बुद्बुद	b u d̚ b u d ɐ
बुद्बुद	b u d̪̚ b u d̪ ɐ
बृहदारण्यक	b r̩ ɦ ɐ d ɑ́ː ɾ ɐ j̃ j ɐ k ɐ
बोधिसत्त्व	b oː d̪ʱ i s̪ ɐ t̪̚ t̪ ʋ ɐ
भक्त	bʱ ɐ k̚ t ɐ́
भक्त	bʱ ɐ k̚ t̪ ɐ
भक्ति	bʱ ɐ k̚ t í
भक्ति	bʱ ɐ k̚ t̪ i
भगदत्त	bʱ ɐ ɡ ɐ d̪ ɐ t̪̚ t̪ ɐ
भगवद्गीता	bʱ ɐ ɡ ɐ ʋ ɐ d̚ ɡ iː t ɑː
