Є	j ɛ
витай	v i t a j
витайце	v i t a j t͡s ɛ
витани	v i t a n i
витанє	v i t a ɲ ɛ
витац	v i t a t͡s
витерняк	v i t ɛ r ɲ a k
витирвали	v i t i r v a l i
витирвало	v i t i r v a l ɔ
витирвалосц	v i t i r v a l ɔ s t͡s
витирвац	v i t i r v a t͡s
витор	v i t ɔ r
витриол	v i t r i ɔ l
витрион	v i t r i ɔ n
витрионов	v i t r i ɔ n ɔ w
витрионови	v i t r i ɔ n ɔ v i
витуширац	v i t u ʃ i r a t͡s
вифарбиц	v i f a r b i t͡s
вифарбйованка	v i f a r b j ɔ v a ŋ k a
вифарбйовац	v i f a r b j ɔ v a t͡s
вифлеємски	v i f l ɛ j ɛ m s k i
виход	v i x ɔ t
виходзаци	v i x ɔ d͡z a t͡s i
виходзенє	v i x ɔ d͡z ɛ ɲ ɛ
виходзиско	v i x ɔ d͡z i s k ɔ
виходзиц	v i x ɔ d͡z i t͡s
виходни	v i x ɔ d n i
вични	v i t͡ʃ n i
вично	v i t͡ʃ n ɔ
вичножелєни	v i t͡ʃ n ɔ ʒ ɛ ʎ ɛ n i
вичносц	v i t͡ʃ n ɔ s t͡s
вишколовац	v i ʃ k ɔ l ɔ v a t͡s
вишмейованє	v i ʃ m ɛ j ɔ v a ɲ ɛ
вишмейовац	v i ʃ m ɛ j ɔ v a t͡s
вишмеююци	v i ʃ m ɛ j u j u t͡s i
вишмеяц	v i ʃ m ɛ j a t͡s
вишньов	v i ʃ ɲ ɔ w
вишньови	v i ʃ ɲ ɔ v i
вишня	v i ʃ ɲ a
виява	v i j a v a
виявиц	v i j a v i t͡s
виявйовац	v i j a v j ɔ v a t͡s
виявни	v i j a w n i
вияшньованє	v i j a ʃ ɲ ɔ v a ɲ ɛ
вияшньовац	v i j a ʃ ɲ ɔ v a t͡s
вияшнєти	v i j a ʃ ɲ ɛ t i
вияшнїц	v i j a ʃ ɲ i t͡s
виєднани	v i j ɛ d n a n i
виєднац	v i j ɛ d n a t͡s
виєдновац	v i j ɛ d n ɔ v a t͡s
вкупни	f k u p n i
вкупно	f k u p n ɔ
вкупносц	f k u p n ɔ s t͡s
влада	v l a d a
владика	v l a d i k a
владиков	v l a d i k ɔ w
владикове	v l a d i k ɔ v ɛ
владически	v l a d i t͡ʃ ɛ s k i
владичество	v l a d i t͡ʃ ɛ s t v ɔ
владо	v l a d ɔ
владов	v l a d ɔ w
власа	v l a s a
власни	v l a s n i
власносц	v l a s n ɔ s t͡s
власнїк	v l a s ɲ i k
власнїца	v l a s ɲ i t͡s a
власнїцки	v l a s ɲ i t͡s k i
власнїцтво	v l a s ɲ i t͡s t v ɔ
власц	v l a s t͡s
влонї	v l ɔ ɲ i
влєце	v ʎ ɛ t͡s ɛ
вноци	v n ɔ t͡s i
внєдзелю	v ɲ ɛ d͡z ɛ ʎ u
во	v ɔ
вовк	v ɔ v k
вовторками	v ɔ w t ɔ r k a m i
вовторкови	v ɔ w t ɔ r k ɔ v i
вовторок	v ɔ w t ɔ r ɔ k
вода	v ɔ d a
водзиц	v ɔ d͡z i t͡s
водитель	v ɔ d i t ɛ ʎ
воднє	v ɔ ɟ ɲ ɛ
водови	v ɔ d ɔ v i
водство	v ɔ t s t v ɔ
вожацки	v ɔ ʒ a t͡s k i
вожач	v ɔ ʒ a t͡ʃ
вожд	v ɔ ʃ t
вождство	v ɔ ʃ t s t v ɔ
вожиц	v ɔ ʒ i t͡s
воздух	v ɔ z d u x
воздушни	v ɔ z d u ʃ n i
войвода	v ɔ j v ɔ d a
войводина	v ɔ j v ɔ d i n a
войводкиня	v ɔ j v ɔ t k i ɲ a
войводство	v ɔ j v ɔ t s t v ɔ
войводянски	v ɔ j v ɔ ɟ a n s k i
война	v ɔ j n a
войнови	v ɔ j n ɔ v i
войска	v ɔ j s k a
войски	v ɔ j s k i
войско	v ɔ j s k ɔ
войскови	v ɔ j s k ɔ v i
войсководитель	v ɔ j s k ɔ v ɔ d i t ɛ ʎ
вократци	v ɔ k r a t͡sː i
вол	v ɔ l
волани	v ɔ l a n i
волац	v ɔ l a t͡s
воли	v ɔ l i
волна	v ɔ l n a
волнар	v ɔ l n a r
волнарня	v ɔ l n a r ɲ a
волночка	v ɔ l n ɔ t͡ʃ k a
волняни	v ɔ ʎ ɲ a n i
волов	v ɔ l ɔ w
воловски	v ɔ l ɔ w s k i
волонтер	v ɔ l ɔ n t ɛ r
волонтерка	v ɔ l ɔ n t ɛ r k a
волонтерски	v ɔ l ɔ n t ɛ r s k i
волонтиранє	v ɔ l ɔ n t i r a ɲ ɛ
волонтирац	v ɔ l ɔ n t i r a t͡s
вольни	v ɔ ʎ n i
вольно	v ɔ ʎ n ɔ
вольо	v ɔ ʎ ɔ
воля	v ɔ ʎ a
волї	v ɔ ʎ i
волїц	v ɔ ʎ i t͡s
вон	v ɔ n
вона	v ɔ n a
вони	v ɔ n i
вонка	v ɔ ŋ k a
вонкашньосц	v ɔ n k a ʃ ɲ ɔ s t͡s
вонкашнї	v ɔ n k a ʃ ɲ i
воно	v ɔ n ɔ
вообще	v ɔ ɔ p ʃ t͡ʃ ɛ
восток	v ɔ s t ɔ k
восточни	v ɔ s t ɔ t͡ʃ n i
восточно	v ɔ s t ɔ t͡ʃ n ɔ
вочи	v ɔ t͡ʃ i
вошнє	v ɔ ʃ ɲ ɛ
вояк	v ɔ j a k
вояцки	v ɔ j a t͡s k i
воєни	v ɔ j ɛ n i
вплїв	f p ʎ i w
вплївни	f p ʎ i w n i
вплївовац	f p ʎ i v ɔ v a t͡s
врацанє	v r a t͡s a ɲ ɛ
врацац	v r a t͡s a t͡s
врациц	v r a t͡s i t͡s
вредзиц	v r ɛ d͡z i t͡s
вредни	v r ɛ d n i
вредно	v r ɛ d n ɔ
вреднованє	v r ɛ d n ɔ v a ɲ ɛ
вредновац	v r ɛ d n ɔ v a t͡s
вредносни	v r ɛ d n ɔ s n i
вредносц	v r ɛ d n ɔ s t͡s
всевидущи	f s ɛ v i d u ʃ t͡ʃ i
всезнанє	f s ɛ z n a ɲ ɛ
всезнаюци	f s ɛ z n a j u t͡s i
вселена	f s ɛ l ɛ n a
вселенски	f s ɛ l ɛ n s k i
вселенєц	f s ɛ l ɛ ɲ ɛ t͡s
всемогущи	f s ɛ m ɔ ɦ u ʃ t͡ʃ i
всеможлїви	f s ɛ m ɔ ʒ ʎ i v i
всемоц	f s ɛ m ɔ t͡s
всемоцни	f s ɛ m ɔ t͡s n i
всемудри	f s ɛ m u d r i
всесилни	f s ɛ s i l n i
всестрани	f s ɛ s t r a n i
всестрано	f s ɛ s t r a n ɔ
всестраносц	f s ɛ s t r a n ɔ s t͡s
всоботу	f s ɔ b ɔ t u
вулкан	v u l k a n
вчас	f ʃ t͡ʃ a s
вчасни	f ʃ t͡ʃ a s n i
вчера	f ʃ t͡ʃ ɛ r a
вчерайши	f ʃ t͡ʃ ɛ r a j ʃ i
вчерайшосц	f ʃ t͡ʃ ɛ r a j ʃ ɔ s t͡s
вчерашнї	f ʃ t͡ʃ ɛ r a ʃ ɲ i
вша	f ʃ a
вшадзи	f ʃ a d͡z i
вше	f ʃ ɛ
вшелїяк	f ʃ ɛ ʎ i j a k
вшелїяки	f ʃ ɛ ʎ i j a k i
вшелїячина	f ʃ ɛ ʎ i j a t͡ʃ i n a
вяже	v j a ʒ ɛ
вяжем	v j a ʒ ɛ m
вяжеме	v j a ʒ ɛ m ɛ
вяжеце	v j a ʒ ɛ t͡s ɛ
вяжеш	v j a ʒ ɛ ʃ
вяжу	v j a ʒ u
вяза	v j a z a
вязац	v j a z a t͡s
вєдно	v j ɛ d n ɔ
вєдносц	v j ɛ d n ɔ s t͡s
вєшенї	v j ɛ ʃ ɛ ɲ i
г	ɦ
габа	ɦ a b a
габов	ɦ a b ɔ w
габови	ɦ a b ɔ v i
гад	ɦ a t
гадасти	ɦ a d a s t i
гадваб	ɦ a d v a p
гадвабарня	ɦ a d v a b a r ɲ a
гадвабасти	ɦ a d v a b a s t i
гадвабни	ɦ a d v a b n i
гаджи	ɦ a d͡ʒ i
гаджица	ɦ a d͡ʒ i t͡s a
гадзик	ɦ a d͡z i k
гадзиско	ɦ a d͡z i s k ɔ
гадов	ɦ a d ɔ w
гайде	ɦ a j d ɛ
гайдук	ɦ a j d u k
гайдуцки	ɦ a j d u t͡s k i
гайзибан	ɦ a j z i b a n
гайзибанами	ɦ a j z i b a n a m i
гайзибански	ɦ a j z i b a n s k i
гайзибанскима	ɦ a j z i b a n s k i m a
галицки	ɦ a l i t͡s k i
галов	ɦ a l ɔ w
галушка	ɦ a l u ʃ k a
галушками	ɦ a l u ʃ k a m i
галушочка	ɦ a l u ʃ ɔ t͡ʃ k a
гамбурґер	ɦ a m b u r ɡ ɛ r
ганьба	ɦ a ɲ b a
ганьбиц	ɦ a ɲ b i t͡s
ганьблїви	ɦ a ɲ b ʎ i v i
ганьблївосц	ɦ a ɲ b ʎ i v ɔ s t͡s
ганєбни	ɦ a ɲ ɛ b n i
гарешт	ɦ a r ɛ ʃ t
гарештанка	ɦ a r ɛ ʃ t a ŋ k a
гарештански	ɦ a r ɛ ʃ t a n s k i
гарештанєц	ɦ a r ɛ ʃ t a ɲ ɛ t͡s
гарештовани	ɦ a r ɛ ʃ t ɔ v a n i
гарештованє	ɦ a r ɛ ʃ t ɔ v a ɲ ɛ
гарештовац	ɦ a r ɛ ʃ t ɔ v a t͡s
гаринґа	ɦ a r i ŋ ɡ a
гарло	ɦ a r l ɔ
гарлови	ɦ a r l ɔ v i
гарсточка	ɦ a r s t ɔ t͡ʃ k a
гарсц	ɦ a r s t͡s
гарсцочка	ɦ a r s t͡s ɔ t͡ʃ k a
гартовальня	ɦ a r t ɔ v a ʎ ɲ a
гартовац	ɦ a r t ɔ v a t͡s
гартовач	ɦ a r t ɔ v a t͡ʃ
гарчкар	ɦ a r t͡ʃ k a r
гарчок	ɦ a r t͡ʃ ɔ k
гашиц	ɦ a ʃ i t͡s
гвариц	ɦ v a r i t͡s
гвизда	ɦ v i z d a
гвозд	ɦ v ɔ s t
гвоздзик	ɦ v ɔ z d͡z i k
гвоздзичок	ɦ v ɔ z d͡z i t͡ʃ ɔ k
гев	ɦ ɛ w
геверни	ɦ ɛ v ɛ r n i
гевтот	ɦ ɛ w t ɔ t
гей	ɦ ɛ j
геликоптер	ɦ ɛ l i k ɔ p t ɛ r
геликоптерски	ɦ ɛ l i k ɔ p t ɛ r s k i
герб	ɦ ɛ r p
герлїче	ɦ ɛ r ʎ i t͡ʃ ɛ
герлїчи	ɦ ɛ r ʎ i t͡ʃ i
герлїчка	ɦ ɛ r ʎ i t͡ʃ k a
герлїчков	ɦ ɛ r ʎ i t͡ʃ k ɔ w
герой	ɦ ɛ r ɔ j
геройски	ɦ ɛ r ɔ j s k i
геройство	ɦ ɛ r ɔ j s t v ɔ
героїзем	ɦ ɛ r ɔ j i z ɛ m
героїзм	ɦ ɛ r ɔ j i z m̩
героїня	ɦ ɛ r ɔ j i ɲ a
героїнї	ɦ ɛ r ɔ j i ɲ i
герцеґ	ɦ ɛ r t͡s ɛ k
герцеґиня	ɦ ɛ r t͡s ɛ ɡ i ɲ a
герцеґовски	ɦ ɛ r t͡s ɛ ɡ ɔ w s k i
герцоґ	ɦ ɛ r t͡s ɔ k
гесло	ɦ ɛ s l ɔ
гет	ɦ ɛ t
гибай	ɦ i b a j
гибайце	ɦ i b a j t͡s ɛ
гинуц	ɦ i n u t͡s
гиґиєна	ɦ i ɡ i j ɛ n a
гиґиєничар	ɦ i ɡ i j ɛ n i t͡ʃ a r
гиґиєничарка	ɦ i ɡ i j ɛ n i t͡ʃ a r k a
гиґиєнски	ɦ i ɡ i j ɛ n s k i
глава	ɦ l a v a
главни	ɦ l a w n i
глад	ɦ l a t
гладни	ɦ l a d n i
гладнїц	ɦ l a ɟ ɲ i t͡s
глас	ɦ l a s
гласанка	ɦ l a s a ŋ k a
гласанки	ɦ l a s a ŋ k i
гласанє	ɦ l a s a ɲ ɛ
гласац	ɦ l a s a t͡s
гласацки	ɦ l a s a t͡s k i
гласач	ɦ l a s a t͡ʃ
гласачка	ɦ l a s a t͡ʃ k a
гласни	ɦ l a s n i
гласно	ɦ l a s n ɔ
гласнїк	ɦ l a s ɲ i k
гласовац	ɦ l a s ɔ v a t͡s
гласови	ɦ l a s ɔ v i
гласок	ɦ l a s ɔ k
глашиско	ɦ l a ʃ i s k ɔ
глашиц	ɦ l a ʃ i t͡s
глашнїк	ɦ l a ʃ ɲ i k
глащок	ɦ l a ʃ t͡ʃ ɔ k
глог	ɦ l ɔ x
глєдац	ɦ ʎ ɛ d a t͡s
глїбина	ɦ ʎ i b i n a
глїбоки	ɦ ʎ i b ɔ k i
гнїздо	ɦ ɲ i z d ɔ
го	ɦ ɔ
гоби	ɦ ɔ b i
говедзина	ɦ ɔ v ɛ d͡z i n a
говедзинов	ɦ ɔ v ɛ d͡z i n ɔ w
говедзинови	ɦ ɔ v ɛ d͡z i n ɔ v i
говедо	ɦ ɔ v ɛ d ɔ
годзен	ɦ ɔ d͡z ɛ n
годзин	ɦ ɔ d͡z i n
годзина	ɦ ɔ d͡z i n a
годзинка	ɦ ɔ d͡z i ŋ k a
годзинкар	ɦ ɔ d͡z i ŋ k a r
годна	ɦ ɔ d n a
годни	ɦ ɔ d n i
годно	ɦ ɔ d n ɔ
гойдац	ɦ ɔ j d a t͡s
голандски	ɦ ɔ l a n t s k i
голи	ɦ ɔ l i
голт	ɦ ɔ l t
голуб	ɦ ɔ l u p
голубар	ɦ ɔ l u b a r
голубарски	ɦ ɔ l u b a r s k i
голубарство	ɦ ɔ l u b a r s t v ɔ
голуби	ɦ ɔ l u b i
голубисти	ɦ ɔ l u b i s t i
голубица	ɦ ɔ l u b i t͡s a
голубка	ɦ ɔ l u p k a
голубкови	ɦ ɔ l u p k ɔ v i
голубнїк	ɦ ɔ l u b ɲ i k
голубов	ɦ ɔ l u b ɔ w
голубок	ɦ ɔ l u b ɔ k
голубочка	ɦ ɔ l u b ɔ t͡ʃ k a
голубче	ɦ ɔ l u p t͡ʃ ɛ
голубчецина	ɦ ɔ l u p t͡ʃ ɛ t͡s i n a
голубчок	ɦ ɔ l u p t͡ʃ ɔ k
гольт	ɦ ɔ ʎ t
голєм	ɦ ɔ ʎ ɛ m
гонїц	ɦ ɔ ɲ i t͡s
гора	ɦ ɔ r a
горами	ɦ ɔ r a m i
горватски	ɦ ɔ r v a t s k i
горди	ɦ ɔ r d i
гордо	ɦ ɔ r d ɔ
гордов	ɦ ɔ r d ɔ w
гордова	ɦ ɔ r d ɔ v a
гордовасти	ɦ ɔ r d ɔ v a s t i
гордове	ɦ ɔ r d ɔ v ɛ
гордови	ɦ ɔ r d ɔ v i
гордовик	ɦ ɔ r d ɔ v i k
гордовче	ɦ ɔ r d ɔ w t͡ʃ ɛ
гордосц	ɦ ɔ r d ɔ s t͡s
горе	ɦ ɔ r ɛ
гореводом	ɦ ɔ r ɛ v ɔ d ɔ m
горнї	ɦ ɔ r ɲ i
город	ɦ ɔ r ɔ t
городоначалнїк	ɦ ɔ r ɔ d ɔ n a t͡ʃ a ʎ ɲ i k
городоначалнїца	ɦ ɔ r ɔ d ɔ n a t͡ʃ a ʎ ɲ i t͡s a
городски	ɦ ɔ r ɔ t s k i
горуци	ɦ ɔ r u t͡s i
горуцо	ɦ ɔ r u t͡s ɔ
горуцосц	ɦ ɔ r u t͡s ɔ s t͡s
горучава	ɦ ɔ r u t͡ʃ a v a
горучка	ɦ ɔ r u t͡ʃ k a
горучков	ɦ ɔ r u t͡ʃ k ɔ w
горучкови	ɦ ɔ r u t͡ʃ k ɔ v i
горчица	ɦ ɔ r t͡ʃ i t͡s a
горше	ɦ ɔ r ʃ ɛ
горши	ɦ ɔ r ʃ i
горяк	ɦ ɔ r j a k
горяцки	ɦ ɔ r j a t͡s k i
горяцтво	ɦ ɔ r j a t͡s t v ɔ
господар	ɦ ɔ s p ɔ d a r
господарски	ɦ ɔ s p ɔ d a r s k i
господарство	ɦ ɔ s p ɔ d a r s t v ɔ
госц	ɦ ɔ s t͡s
госценє	ɦ ɔ s t͡s ɛ ɲ ɛ
госци	ɦ ɔ s t͡s i
госцина	ɦ ɔ s t͡s i n a
госцинска	ɦ ɔ s t͡s i n s k a
госцински	ɦ ɔ s t͡s i n s k i
госциц	ɦ ɔ s t͡s i t͡s
готел	ɦ ɔ t ɛ l
готови	ɦ ɔ t ɔ v i
гохштаплер	ɦ ɔ x ʃ t a p l ɛ r
гохштаплерство	ɦ ɔ x ʃ t a p l ɛ r s t v ɔ
гоч	ɦ ɔ t͡ʃ
грабелки	ɦ r a b ɛ l k i
грабельки	ɦ r a b ɛ ʎ k i
граблї	ɦ r a b ʎ i
граждан	ɦ r a ʒ d a n
гражданами	ɦ r a ʒ d a n a m i
гражданка	ɦ r a ʒ d a ŋ k a
граждански	ɦ r a ʒ d a n s k i
гражданство	ɦ r a ʒ d a n s t v ɔ
гранє	ɦ r a ɲ ɛ
гранїца	ɦ r a ɲ i t͡s a
гранїчар	ɦ r a ɲ i t͡ʃ a r
гранїчни	ɦ r a ɲ i t͡ʃ n i
грац	ɦ r a t͡s
гращков	ɦ r a ʃ t͡ʃ k ɔ w
гращкови	ɦ r a ʃ t͡ʃ k ɔ v i
гращок	ɦ r a ʃ t͡ʃ ɔ k
грецки	ɦ r ɛ t͡s k i
греческа	ɦ r ɛ t͡ʃ ɛ s k a
гречески	ɦ r ɛ t͡ʃ ɛ s k i
грибами	ɦ r i b a m i
гриби	ɦ r i b i
грибка	ɦ r i p k a
грибками	ɦ r i p k a m i
григориянски	ɦ r i ɦ ɔ r i j a n s k i
грих	ɦ r i x
гришиц	ɦ r i ʃ i t͡s
гришка	ɦ r i ʃ k a
гришни	ɦ r i ʃ n i
гроженко	ɦ r ɔ ʒ ɛ ŋ k ɔ
грозно	ɦ r ɔ z n ɔ
грознов	ɦ r ɔ z n ɔ w
грознови	ɦ r ɔ z n ɔ v i
громада	ɦ r ɔ m a d a
громадзиц	ɦ r ɔ m a d͡z i t͡s
громадка	ɦ r ɔ m a t k a
грушка	ɦ r u ʃ k a
грушков	ɦ r u ʃ k ɔ w
грушочка	ɦ r u ʃ ɔ t͡ʃ k a
грушочков	ɦ r u ʃ ɔ t͡ʃ k ɔ w
грушочкови	ɦ r u ʃ ɔ t͡ʃ k ɔ v i
гудак	ɦ u d a k
гудацки	ɦ u d a t͡s k i
гумно	ɦ u m n ɔ
гуска	ɦ u s k a
гусков	ɦ u s k ɔ w
густи	ɦ u s t i
густосц	ɦ u s t ɔ s t͡s
густота	ɦ u s t ɔ t a
гуториц	ɦ u t ɔ r i t͡s
гуторя	ɦ u t ɔ r j a
гушатко	ɦ u ʃ a t k ɔ
гушатков	ɦ u ʃ a t k ɔ w
гуше	ɦ u ʃ ɛ
гушенїца	ɦ u ʃ ɛ ɲ i t͡s a
гушенїцар	ɦ u ʃ ɛ ɲ i t͡s a r
гушецина	ɦ u ʃ ɛ t͡s i n a
гуши	ɦ u ʃ i
гушля	ɦ u ʃ ʎ a
гушлями	ɦ u ʃ ʎ a m i
гуя	ɦ u j a
д	d
да	d a
дабоме	d a b ɔ m ɛ
даванє	d a v a ɲ ɛ
даванїна	d a v a ɲ i n a
даватель	d a v a t ɛ ʎ
давателька	d a v a t ɛ ʎ k a
давац	d a v a t͡s
давни	d a w n i
давнима	d a w n i m a
давно	d a w n ɔ
давнєйше	d a w ɲ ɛ j ʃ ɛ
давнєйши	d a w ɲ ɛ j ʃ i
давнїна	d a w ɲ i n a
дай	d a j
дайбоже	d a j b ɔ ʒ ɛ
дакеди	d a k ɛ d i
дакедишнї	d a k ɛ d i ʃ ɲ i
дакус	d a k u s
дальше	d a ʎ ʃ ɛ
дальши	d a ʎ ʃ i
далєй	d a ʎ ɛ j
далєки	d a ʎ ɛ k i
далєко	d a ʎ ɛ k ɔ
далєковидни	d a ʎ ɛ k ɔ v i d n i
далєковидносц	d a ʎ ɛ k ɔ v i d n ɔ s t͡s
далєкосц	d a ʎ ɛ k ɔ s t͡s
далєкосяжни	d a ʎ ɛ k ɔ s j a ʒ n i
далїна	d a ʎ i n a
далїнски	d a ʎ i n s k i
дамаски	d a m a s k i
данска	d a n s k a
дански	d a n s k i
дараз	d a r a s
дарашнї	d a r a ʃ ɲ i
дас	d a s
даскельо	d a s k ɛ ʎ ɔ
даскељо	d a s k ɛ ʎ ɔ
датум	d a t u m
дахто	d a x t ɔ
дац	d a t͡s
дацо	d a t͡s ɔ
дачий	d a t͡ʃ i j
даяк	d a j a k
даяки	d a j a k i
даєден	d a j ɛ d ɛ n
даґдзе	d a ɡ d͡z ɛ
два	d v a
дванасти	d v a n a s t i
дванац	d v a n a t͡s
двацети	d v a t͡s ɛ t i
двацец	d v a t͡s ɛ t͡s
двацецме	d v a t͡s ɛ t͡s m ɛ
двойо	d v ɔ j ɔ
двом	d v ɔ m
двома	d v ɔ m a
двоме	d v ɔ m ɛ
двох	d v ɔ x
двоґамбови	d v ɔ ɡ a m b ɔ v i
двоґамбовима	d v ɔ ɡ a m b ɔ v i m a
держава	d ɛ r ʒ a v a
державами	d ɛ r ʒ a v a m i
державни	d ɛ r ʒ a w n i
державян	d ɛ r ʒ a v j a n
державянка	d ɛ r ʒ a v j a ŋ k a
державянски	d ɛ r ʒ a v j a n s k i
державянство	d ɛ r ʒ a v j a n s t v ɔ
деска	d ɛ s k a
деталь	d ɛ t a ʎ
детальни	d ɛ t a ʎ n i
детально	d ɛ t a ʎ n ɔ
детальнєйше	d ɛ t a ʎ ɲ ɛ j ʃ ɛ
детальнєйши	d ɛ t a ʎ ɲ ɛ j ʃ i
децембер	d ɛ t͡s ɛ m b ɛ r
децемберски	d ɛ t͡s ɛ m b ɛ r s k i
джамия	d͡ʒ a m i j a
джунґла	d͡ʒ u ŋ ɡ l a
дзбац	d͡z b a t͡s
дзвери	d͡z v ɛ r i
дзвиганє	d͡z v i ɦ a ɲ ɛ
дзвигац	d͡z v i ɦ a t͡s
дзвигач	d͡z v i ɦ a t͡ʃ
дзвигачка	d͡z v i ɦ a t͡ʃ k a
дзвигачкар	d͡z v i ɦ a t͡ʃ k a r
дзвигнути	d͡z v i ɦ n u t i
дзвигнуц	d͡z v i ɦ n u t͡s
дзвин	d͡z v i n
дзвиняци	d͡z v i ɲ a t͡s i
дзвиняцо	d͡z v i ɲ a t͡s ɔ
дзвиняцосц	d͡z v i ɲ a t͡s ɔ s t͡s
дзвинїц	d͡z v i ɲ i t͡s
дзвон	d͡z v ɔ n
дзвонки	d͡z v ɔ ŋ k i
дзвонко	d͡z v ɔ ŋ k ɔ
дзвонкосц	d͡z v ɔ ŋ k ɔ s t͡s
дзвонїц	d͡z v ɔ ɲ i t͡s
дзвонїца	d͡z v ɔ ɲ i t͡s a
дзе	d͡z ɛ
дзеведзешат	d͡z ɛ v ɛ d͡z ɛ ʃ a t
дзеведзешати	d͡z ɛ v ɛ d͡z ɛ ʃ a t i
дзеветнасти	d͡z ɛ v ɛ t n a s t i
дзеветнац	d͡z ɛ v ɛ t n a t͡s
дзеветнацме	d͡z ɛ v ɛ t n a t͡s m ɛ
дзевец	d͡z ɛ v ɛ t͡s
дзевецме	d͡z ɛ v ɛ t͡s m ɛ
дзевяти	d͡z ɛ v j a t i
дзека	d͡z ɛ k a
дзековац	d͡z ɛ k ɔ v a t͡s
дзекове	d͡z ɛ k ɔ v ɛ
дзекови	d͡z ɛ k ɔ v i
дзекую	d͡z ɛ k u j u
дзекуюци	d͡z ɛ k u j u t͡s i
дзекує	d͡z ɛ k u j ɛ
дзекуєм	d͡z ɛ k u j ɛ m
дзекуєме	d͡z ɛ k u j ɛ m ɛ
дзекуєце	d͡z ɛ k u j ɛ t͡s ɛ
дзекуєш	d͡z ɛ k u j ɛ ʃ
дзело	d͡z ɛ l ɔ
дзелов	d͡z ɛ l ɔ w
дзельба	d͡z ɛ ʎ b a
дзелєнє	d͡z ɛ ʎ ɛ ɲ ɛ
дзелїдба	d͡z ɛ ʎ i d b a
дзелїц	d͡z ɛ ʎ i t͡s
дзень	d͡z ɛ ɲ
дзепоєден	d͡z ɛ p ɔ j ɛ d ɛ n
дзеци	d͡z ɛ t͡s i
дзецински	d͡z ɛ t͡s i n s k i
дзецинство	d͡z ɛ t͡s i n s t v ɔ
дзецко	d͡z ɛ t͡s k ɔ
дзецков	d͡z ɛ t͡s k ɔ w
дзецочко	d͡z ɛ t͡s ɔ t͡ʃ k ɔ
дзечни	d͡z ɛ t͡ʃ n i
дзечносц	d͡z ɛ t͡ʃ n ɔ s t͡s
дзечнє	d͡z ɛ t͡ʃ ɲ ɛ
дзечнєйше	d͡z ɛ t͡ʃ ɲ ɛ j ʃ ɛ
дзешати	d͡z ɛ ʃ a t i
дзешатнїк	d͡z ɛ ʃ a c ɲ i k
дзешец	d͡z ɛ ʃ ɛ t͡s
дзешецме	d͡z ɛ ʃ ɛ t͡s m ɛ
дзешка	d͡z ɛ ʃ k a
дзењ	d͡z ɛ ɲ
дзиви	d͡z i v i
дзивина	d͡z i v i n a
дзивка	d͡z i w k a
дзивков	d͡z i w k ɔ w
дзивоцке	d͡z i v ɔ t͡s k ɛ
дзивоцки	d͡z i v ɔ t͡s k i
дзивоцтво	d͡z i v ɔ t͡s t v ɔ
дзивче	d͡z i w t͡ʃ ɛ
дзира	d͡z i r a
дзирави	d͡z i r a v i
дзириска	d͡z i r i s k a
дзирка	d͡z i r k a
дзиркави	d͡z i r k a v i
дзиркасти	d͡z i r k a s t i
дзирочка	d͡z i r ɔ t͡ʃ k a
дзурйове	d͡z u r j ɔ v ɛ
дзурйови	d͡z u r j ɔ v i
диждж	d i ʃ t͡ʃ
дижджове	d i ʒ d͡ʒ ɔ v ɛ
дижджови	d i ʒ d͡ʒ ɔ v i
дижджовка	d i ʒ d͡ʒ ɔ w k a
дижджовни	d i ʒ d͡ʒ ɔ w n i
дижджовно	d i ʒ d͡ʒ ɔ w n ɔ
динар	d i n a r
диня	d i ɲ a
дироньски	d i r ɔ ɲ s k i
дияспора	d i j a s p ɔ r a
длань	d l a ɲ
длуги	d l u ɦ i
длуго	d l u ɦ ɔ
длугоки	d l u ɦ ɔ k i
длужина	d l u ʒ i n a
дно	d n ɔ
дньове	ɟ ɲ ɔ v ɛ
дньови	ɟ ɲ ɔ v i
дньовнїк	ɟ ɲ ɔ w ɲ i k
дньово	ɟ ɲ ɔ v ɔ
дньом	ɟ ɲ ɔ m
дньох	ɟ ɲ ɔ x
дню	ɟ ɲ u
дня	ɟ ɲ a
днями	ɟ ɲ a m i
днєш	ɟ ɲ ɛ ʃ
днєшка	ɟ ɲ ɛ ʃ k a
днєшнї	ɟ ɲ ɛ ʃ ɲ i
днї	ɟ ɲ i
днїна	ɟ ɲ i n a
до	d ɔ
добре	d ɔ b r ɛ
добри	d ɔ b r i
доброволька	d ɔ b r ɔ v ɔ ʎ k a
добровольни	d ɔ b r ɔ v ɔ ʎ n i
добровольно	d ɔ b r ɔ v ɔ ʎ n ɔ
доброволєц	d ɔ b r ɔ v ɔ ʎ ɛ t͡s
доброволєцки	d ɔ b r ɔ v ɔ ʎ ɛ t͡s k i
доброго	d ɔ b r ɔ ɦ ɔ
добродзечни	d ɔ b r ɔ d͡z ɛ t͡ʃ n i
добродзечно	d ɔ b r ɔ d͡z ɛ t͡ʃ n ɔ
добродзечнє	d ɔ b r ɔ d͡z ɛ t͡ʃ ɲ ɛ
добру	d ɔ b r u
довидзеня	d ɔ v i d͡z ɛ ɲ a
довириє	d ɔ v i r i j ɛ
доган	d ɔ ɦ a n
доганови	d ɔ ɦ a n ɔ v i
догански	d ɔ ɦ a n s k i
