אָ	ɔ
אימפּעט	ɪ m p ɛ t
אימפּעראַטאָר	ɪ m p ə r a t ɔ r
אינדוסטריעל	ɪ n d ʊ s t r ɪ j ɛ ɫ
אינדוסטריעל	ɪ n d ʊ s t r ɪ ɛ ɫ
אינדזל	ɪ n d͡z ɫ̩
אינדזליאַנער	ɪ n d͡z ʎ a n ə r
אינדיווידואַליזירט	ɪ n d ɪ v ɪ d ʊ a ɫ ɪ z ɪ ʁ t
אינדיווידואַליזירן	ɪ n d ɪ v ɪ d ʊ a ɫ ɪ z ɪ ʁ n̩
אינדיום	ɪ n d j ʊ m
אינדיק	i n d ɪ k
אינדערפֿרי	ɪ n d ə ʁ f ʁ ɪ
אינזעקט	ɪ n z ɛ k t
אינטערוואַל	ɪ n t ə r v a ɫ
אינטערנאַציאָנאַל	ɪ n t ə ʁ n a t͡s j ɔ n a ɫ
אינטערנעט	ɪ n t ə r n ɛ t
אינטערנעץ	ɪ n t ə ʁ n ɛ t͡s
אינטערעסאַנט	ɪ n t ɛ ʁ ɛ s a n t
אינלאַנד	ɪ n ɫ a n d
אינסטאַלאַטאָר	ɪ n s t a ɫ a t ɔ r
אינסעקט	ɪ n s ɛ k t
אינסצענירן	ɪ n s t͡s ə n iː r n̩
אינעווייניק	ɪ n ə v ɛ ɪ̯ n ɪ k
אינפֿאָרמאַציע	ɪ n f ɔ ʁ m a t͡s j ə
אינפֿוזאָריע	ɪ n f ʊ z ɔ ʁ j ə
איסלאַם	ɪ s ɫ a m
איסלאַנד	ɪ s ɫ a n d
אַיעדן	a j ɛ d n̩
אַיעדער	a j ɛ d ə ʁ
איצט	ɪ t͡s t
אַיִר	a ɪ ʁ
אַיִר	a ɪ ʁ
איראַן	ɪ ʁ a n
איראַק	ɪ ʁ a k
איריס	ɪ r ɪ s
איריס	ɪ r ɪ s
איריסקע	ɪ r ɪ s k ə
אירצן	ɪ ʁ t͡s n̩
אירצן	ɨ ʁ t͡s n̩
אכזריות	a χ z ɔ ʁ j ə s
אַכט	a χ t
אַכט	ɔ χ t
אַכטונג	a χ t ʊ ŋ ɡ
אַכלען	a χ l ə n
אַכלען	h a χ ə l ə n
אַכלען	a χ ə l ə n
אַכסניא	a χ s a n j ə
אַכציקער	a χ t͡s ɪ k ə r
אלא	ɛ ɫ ə
אַלאַמברירן	a ɫ a m b r i r n̩
אַלדאָס	a l d ɔ s
אַלדאָס	a l d ə s
אַלדי	a l d ɪ
אלול	ɛ l ə l
אלול	ɛ l ɪ l
אַלומיניום	a l ʊ m ɪ n j ʊ m
אַלט	a ɫ t
אַלטע	a ɫ t ə
אליהו	ɛ ʎ j ɔ h u
אָליוו	ɔ ʎ ɪ v
אַליין	a ɫ ɛ ɪ̯ n
אַליין־דרך־ארץ	a l ɛ ɪ̯ n ‿ d ɛ r ə χ ɛ r ə t͡s
אַליין־דרך־ארץ	a l ɛ ɪ̯ n ‿ d ɛ r χ ɛ r ə t͡s
אַליין־דרך־ארץ	a l a ɪ̯ n ‿ d ɛ r ə χ ɛ ɪ̯ r ə t͡s
אַליין־דרך־ארץ	a l a ɪ̯ n ‿ d ɛ r χ ɛ ɪ̯ r ə t͡s
אַליין־דרך־ארץ	a l ɛ ɪ̯ n ‿ d ɛ r ə χ ɛ ɪ̯ r ə t͡s
אַליין־דרך־ארץ	a l ɛ ɪ̯ n ‿ d ɛ r χ ɛ ɪ̯ r ə t͡s
אַלע	a ɫ ə
אַלעע	a ʎ ɛ ɛ
אַלערוועגן	a l ə r v ɛ ɡ n̩
אַלף־בית	a l ɜ f b ɛ ɪ̯ s
אַלפּן	a ɫ p n̩
אַלפּן	a ɫ p m̩
אַלץ	a l t͡s
אָלרײַטניק	ɔ ɫ ʁ a ɪ̯ t n ɪ k
אָלשינע	ɔ ɫ ʃ ɪ n ə
אם־ירצה־השם	ɪ m j ɪ ʁ t s ə a ʃ ɛ m
אם־ירצה־השם	m ɪ ʁ t s ə ʃ ɛ m
אם־ירצה־השם	m ɛ ʁ t ʃ ə m
אַמאָליק	a m ɔ l ɪ k
אַמאָליק	a m uː l ɪ k
אַמאָליק	a m u l ɨ k
אַמאַרעטאָ	a m a r ɛ t ɔ
אַמבאָס	a m b ɔ s
אַמבאַסאַדע	a m b a s a d ə
אַמט	a m t
אַמייזע	a m e ɪ̯ z ə
אָמן	ɔ m ɛ ɪ̯ n
אָמן	ʊ m a ɪ̯ n
אַמנעזיע	a m n ɛ z j ə
אַמעריקאַניש	a m ɛ ʁ ɪ k a n ɪ ʃ
אַמעריקאַנישן	a m ɛ ʁ ɪ k a n ɪ ʃ n̩
אַמעריקאַנישע	a m ɛ ʁ ɪ k a n ɪ ʃ ə
אַמעריקע	a m ɛ ʁ ɪ k ə
אַמעריקע	a m eː ʁ ɪ k e
אַמפֿאָראַ	a m f ɔ r a
אַמפּער	a m p ə r
אַמפּער	a m p ɛ r
אמת	ɛ m ə s
אמתדיק	ɛ m ə z d i k
אַן	a n
אָן	ɔ n
אָן	uː n
אָן	u n
אָן	oː n
אָן	aː n
אַנאַלפֿאַבעט	a n a l f a b ɛ t
אַנאַלפֿאַבעטיש	a n a l f a b ɛ t ɪ ʃ
אַנאַנאַס	a n a n a s
אַנאַקאַרד	a n a k a r d
אַנגאַזשירן	a ŋ ɡ a ʒ ɪ ʁ n̩
אַנדאָרע	a n d ɔ ʁ ə
אַנדעזיט	a n d ɜ z ɪ t
אַנדער	a n d ə ʁ
אָנדערטהאַלבן	ɔ n d ə ʁ t h a ɫ b n̩
אַנדערש	a n d ə ʁ ʃ
אָנהייב	ɔ n h ɛ ɪ̯ b
אָנהייבן	ɔ n h ɛ ɪ̯ b n̩
אָנוואַרעמען	ɔ n v a ʁ ə m ə n
אַנולירן	a n ʊ l ɪ ʁ n̩
אַנומלט	a n ʊ m ɫ̩ t
אַנונג	a n ʊ ŋ ɡ
אָנחזירן	ɔ n χ a z ə ʁ n̩
אָנטאָן	ɔ n t ɔ n
אַנטאַרקטיקע	a n t a ʁ k t ɪ k ə
אַנטוויקלער	a n t v ɪ k ɫ ə r
אָנטייל	ɔ n t ɛ ɪ̯ ɫ
אַנטילן	a n t ɪ ʎ n̩
אַנטימאָניום	a n t ɪ m ɔ n j ʊ m
אַנטיסעמיט	a n t ɪ s ɛ m ɪ t
אַנטיסעמיטיזם	a n t ɪ s ɜ m ɪ t ɪ z m̩
אַנטיסעמיטיזם	a n t ɪ s ɜ m ɪ t ɪ z ɜ m
אַנטפּלעקונג	a n t p ɫ ɛ k ʊ ŋ ɡ
אַנטפּלעקן	a n t p ɫ ɛ k ŋ̩
אַנטקעגנ־	a n t k ɛ ɡ n̩
אַנטקעגנאיבער	a n t k ɛ ɡ n̩ ɪ b ə r
אַנטקעגנשמייכלען	a n t k ɛ ɡ n̩ ʃ m ɛ ɪ̯ χ l ə n
אַנטראָפּאָלאָגיסט	a n t r ɔ p ɔ l ɔ ɡ ɪ s t
אַנטראָפּאָלאָגיע	a n t r ɔ p ɔ l ɔ ɡ j ə
אַנטראָפּאָלאָגיש	a n t r ɔ p ɔ l ɔ ɡ ɪ ʃ
אַנטראָפּאָמאָרפֿיזם	a n t r ɔ p ɔ m ɔ r f i z m
אַנטשולדיק	a n t ʃ ʊ ɫ d ɪ k
אַנטשולדיקט	a n t ʃ ʊ ɫ d ɪ k t
אַנטשולדיקן	a n t ʃ ʊ ɫ d ɪ k n̩
אַניז	a n ɪ z
אַנישט	a n ɪ ʃ t
אָנלאָדער	ɔ n ɫ ɔ d ə ʁ
אָנלײַן	ɔ n ɫ a ɪ̯ n
אָנלײַן	ɔ n ɫ a ɪ̯ n
אָנמיניק	ɔ n m ɪ n ɪ k
אָנפֿירן	ɔ n f ɪ ʁ n̩
אָנפֿירער	ɔ n f ɪ ʁ ə ʁ
אָנקומען	ɔ ŋ k ʊ m ə n
אָנקלאָג	ɔ n k ɫ ɔ ɡ
אָנקלאָגן	ɔ n k ɫ ɔ ɡ n̩
אָנרופֿן	ɔ n ʁ ʊ f n̩
אָנרײַסן	ɔ n r a ɪ̯ s n̩
אָנרירן	ɔ n ʁ ɪ ʁ n̩
אָנשיכּורן	ɔ n ʃ ɪ k ə ʁ ə n
אָסאָבע	ɔ s ɔ b ə
אַסאָציִיִרן	a s ɔ t͡s ɪ ɪ ʁ n̩
אסור	ɔ s ə ʁ
אסור	uː s ə ʁ
אַסותא	a s ʊ s ə
אַסותא	a s i s ə
אַסותא	ɔ s i s ə
אַסטראַכאַן	a s t ʁ a χ a n
אַסטראָנאָמיע	a s t ʁ ɔ n ɔ m ɪ ə
אַסיגנאַציע	a s ɪ ɡ n a t͡s j ə
אַספּיראַנט	a s p ɪ r a n t
אַספּיראַנטקע	a s p ɪ r a n t k ə
אַסרן	a s ə ʁ n̩
אסתּר	ɛ s t ə ʁ
אָפּ	ɔ p
אַפּאָלאָ	a p ɔ l ɔ
אָפּאָסום	ɔ p ɔ s ʊ m
אָפּבײַסן	ɔ p b a ɪ̯ s n̩
אָפּבערשטן	ɔ p b ɛ r ʃ t n̩
אַפֿגאַניסטאַן	a f ɡ a n ɪ s t a n
אָפּגעביסן	ɔ p ɡ ə b ɪ s n̩
אָפּדיכען	ɔ p d ɪ χ ə n
אָפּהאַלטן	ɔ p h a l t n̩
אָפּוואַלגערן	ɔ p v a l ɡ ɛ r n̩
אָפּוואַקסן	ɔ p v a k s n̩
אָפּזאָגן	ɔ p z ɔ ɡ ŋ̩
אַפֿילו	a f ɪ ɫ ə
אָפֿיס	ɔ f ɪ s
אָפֿיסן	ɔ f ɪ s n̩
אָפֿיציעל	ɔ f ɪ t͡s j ɛ ɫ
אַפֿיקומן	a f i k ɔ ɪ̯ m ə n
אַפֿיקומן	a f i k ɛ j m ə n
אַפּיקורס	a p ɪ k ɔ ɪ̯ ʁ ə s
אַפּל	a p ɫ̩
אָפּלאָזן	ɔ p ɫ ɔ z n̩
אָפּלייג	ɔ p l ɛ ɪ̯ ɡ
אָפּלייגן	ɔ p ɫ ɛ ɪ̯ ɡ ŋ̩
אָפּלייגעכץ	ɔ p ɫ ɛ ɪ̯ ɡ ə χ t͡s
אָפֿלײַן	ɔ f l a ɪ̯ n
אָפּלייקענונג	ɔ p ɫ ɛ ɪ̯ k ə n ʊ ŋ ɡ
אָפּלייקענונג	u p ɫ a ɪ̯ k ə n i ŋ k
אָפּלייקענונג	u p ɫ ɛ ɪ̯ k ə n ɨ ŋ ɡ
אָפּמשלען	ɔ p m ɔ ʃ l ə n
אָפּמשלען	uː p m uː ʃ l ə n
אָפּמשלען	u p m u ʃ l ə n
אָפֿן	ɔ f n̩
אַפֿע	a f ə
אַפּעל	a p ɛ ɫ
אַפֿענדל	a f ə n d ɫ̩
אַפֿענדל	a f n̩ d ɫ̩
אַפֿענע	a f ə n ə
אָפֿענעם	ɔ f ə n ə m
אָפּפֿלייץ	ɔ p f l e ɪ̯ t͡s
אָפּציע	ɔ p t͡s j ɜ
אָפּקילן	ɔ p k ɪ ɫ n̩
אָפּקלינגען	ɔ p k l ɪ ŋ ɡ ə n
אָפּקלינגען	ɔ p k l ɪ ŋ ɡ n̩
אַפֿראָדיטע	a f r ɔ d ɪ t ə
אָפּרופֿן	ɔ p r ʊ f n̩
אַפּריל	a p ʁ ɪ ʎ
אַפֿריקאַניש	a f ʁ ɪ k a n ɪ ʃ
אַפּריקאָס	a p r ɪ k ɔ s
אַפֿריקע	a f ʁ ɪ k ə
אָפּשטאַם	ɔ p ʃ t a m
אָפּשטאַמלינג	ɔ p ʃ t a m l ɪ n ɡ
אָפּשיקן	ɔ p ʃ ɪ k n̩
אָפּשיקער	ɔ p ʃ ɪ k ə ʁ
אָפּשיקערס	ɔ p ʃ ɪ k ə ʁ s
אָפּשפּרעכן	ɔ p ʃ p ʁ ɛ χ n̩
אפֿשר	ɛ f ʃ ə ʁ
אָפּשריפֿט	ɔ p ʃ r ɪ f t
אָפּשרעקן	ɔ p ʃ ʁ ɛ k n̩
אַקאַדעמיע	a k a d ɛ m ɪ j ə
אַקאַדעמיע	a k a d ɛ m j ə
אַקאַציע	a k a t͡s j ə
אַקוואַריום	a k v a r j ʊ m
אָקיי	ɔ k ɛ ɪ̯
אָקס	ɔ k s
אָקסיגען	ɔ k s ɪ ɡ ɛ n
אַקסל	a k s ɫ̩
אַקסלען	a k s ɫ̩ ə n
אָקסנפֿליג	ɔ k s n̩ f ʎ ɪ ɡ
אַקעגן	a k ɛ ɡ n̩
אַקער	a k ə ʁ
אַקצידענט	a k t͡s ɪ d ɛ n t
אַקציע	a k t͡s j ə
אַקצענט	a k t͡s ɛ n t
אָראַנג־אוטאַנג	ɔ ʁ a ŋ ɡ ʊ t a ŋ ɡ
אָראַנזש	ɔ ʁ a n ʒ
אַראָפּ	a ʁ ɔ p
אַראָפּגענומען	a ʁ ɔ p ɡ ə n ʊ m ə n
אַראָפּנעמען	a ʁ ɔ p n ɛ m ə n
אַראָפּפֿאַלן	a ʁ ɔ p f a ɫ n̩
אָראַקעל	ɔ ʁ a k ə ɫ
אַרבע־כּנפֿות	a ʁ b ə k a n f ə s
אַרבעטסלאָז	a ʁ b ɛ t s l ɔ z
אַרבעטער	a ʁ b ɛ t ə ʁ
אַרבעס	a ʁ b ə s
אַרגאָן	a ʁ ɡ ɔ n
אָרגאַן	ɔ ʁ ɡ a n
אָרגעל	ɔ ʁ ɡ ə ɫ
אַרגענטינע	a ʁ ɡ ɛ n t ɪ n ə
אַרוגולע	a r ʊ ɡ ʊ ɫ ə
אַרויס	a ʁ ɔ ɪ̯ s
אַרויסגאַנג	a ʁ ɔ ɪ̯ s ɡ a ŋ ɡ
אַרויסגיין	a ʁ ɔ ɪ̯ s ɡ ɛ ɪ̯ n
אַרויסגיין	a ʁ o ʊ̯ s ɡ a ɪ̯ n
אַרויסגעבן	a ʁ ɔ ɪ̯ s ɡ ɛ b n̩
אַרויסגעבער	a ʁ ɔ ɪ̯ s ɡ ɛ b ə ʁ
אַרויסגעבער	a ʁ o ʊ̯ s ɡ eː b ə ʁ
אַרויסגעבער	ɔ ʁ ʊ s ɡ i b ə ʁ
אַרויסציִען	a ʁ ɔ ɪ̯ s t͡s ɪ ə n
אַרויסציִען	a ʁ ɔ ʊ̯ s t͡s iː ə n
אַרויסציִען	a ʁ ɔ ʊ̯ s t͡s i ə n
אַרויף	a ʁ ɔ ɪ̯ f
אַרויף	a ʁ a f
אַרויף	a ʁ ɔ f
אַרויף	a r o ʊ̯ f
אַרום	a ʁ ʊ m
אַרום	a ʁ ɔ m
אַרומגיין	a ʁ ʊ m ɡ ɛ ɪ̯ n
אַרומנעמיק	a r ʊ m n ɛ m ɪ k
אַרומנעמען	a ʁ ʊ m n ɛ m ə n
אַרומנעמען	a ʁ ɪ m n e ɪ̯ m ə n
אַרומנעמען	a ʁ ɪ m n eː m ə n
אַרומנעמען	ɔ ʁ ɨ m n i m ɜ n
אַרומנעמען	ɔ ʁ ɨ m n ɛ ɪ̯ m ə n
אָרון	ɔ ʁ ə n
אָרון־קודש	ɔ ʁ ə n k ɔ ɪ̯ d ə ʃ
אַרט	a ʁ t
אָרט	ɔ ʁ t
אָרטאָלאַן	ɔ ʁ t ɔ ɫ a n
אַריבערפֿאָרן	a ʁ i b ə ʁ f ɔ ʁ n̩
אַריבערקריגן	a r ɪ b ə r k r ɪ ɡ n̩
אָריגאַן	ɔ r ɪ ɡ a n
אַריטמעטיק	a r ɪ t m ɛ t ɪ k
אַריטמעטיש	a r ɪ t m ɛ t ɪ ʃ
אַרײַנגאַנג	a ʁ a ɪ̯ n ɡ a ŋ ɡ
אַרײַנגיין	a ʁ a ɪ̯ n ɡ ɛ ɪ̯ n
אַרײַנוואַשעווען	a ʁ a ɪ̯ n v a ʃ ə v ə n
אַרײַנזעצן	a ʁ a ɪ̯ n z ɛ t͡s n̩
אַרײַנכאַפּן	a r a ɪ̯ n χ a p n̩
אַריכות	a ʁ ɪ χ ə s
אַריכת־יומים	a ʁ ɪ χ ə s j ɔ m ə m
אַריכת־יומים	a ʁ ɪ χ ə s j u m ə m
אַריסטאָקראַטיע	a r ɪ s t ɔ k r a t j ə
אַרכעאָלאָגיע	a r χ ɛ ɔ l ɔ ɡ j ə
אַרמברוסט	a ʁ m b ʁ ʊ s t
אַרמיי	a ʁ m ɛ ɪ̯
אַרמיי	a ʁ m e ɪ̯
אַרמיי	a ʁ m a ɪ̯
אָרניטאָגראַפֿיע	ɔ ʁ n ɪ t ɔ ɡ ʁ a f j ə
אָרניטאָלאָגיסט	ɔ ʁ n ɪ t ɔ ɫ ɔ ɡ ɪ s t
אָרניטאָלאָגיע	ɔ ʁ n ɪ t ɔ ɫ ɔ ɡ j ə
אַרסעניק	a ʁ s ɛ n ɪ k
אָרעם	ɔ ʁ ə m
אָרעמקייט	ɔ ʁ ə m k a ɪ̯ t
אַרץ	a r t͡s
אָרקעסטער	ɔ ʁ k ɛ s t ə ʁ
אש־להבֿה	ɛ ɪ̯ ʃ l ə h ɔ v ə
אש־להבֿה	a ɪ̯ ʃ l ə h u v ə
אש־להבֿהדיק	ɛ ɪ̯ ʃ l ə h ɔ v ə d ɪ k
אש־להבֿהדיק	a ɪ̯ ʃ l ə h u v ə d ɪ k
אשה	ɪ ʃ ə
אַשכּנזי	a ʃ k ə n a z i
אתרוג	ɛ s ʁ ə ɡ
אתרוגים	ɛ s ʁ ɔ ɪ̯ ɡ ə m
באַאײַנפֿלוסונג	b a a ɪ̯ n f ɫ ʊ s ʊ ŋ ɡ
באַאײַנפֿלוסן	b a a ɪ̯ n f ɫ ʊ s n̩
באָבע	b ɔ b ə
באָבע־מעשׂה	b ɔ b ə m a ɪ s ə
באָבע־מעשׂה	b ʊ b ə m a n s ə
באָבע־מעשׂה	b ʊ b ə m a s ə
באַבעלע	b a b ə ɫ ə
באָבקע	b ɔ p k ə
באָבקעס	b ɔ p k ə s
באַגנבֿענען	b a ɡ a n v ə n ə n
באַגריסן	b a ɡ ʁ ɪ s ə n
באָד	b ɔ d
באָד	b uː t
באָד	b u d
באַדויערונג	b a d ɔ ɪ̯ ə ʁ ʊ ŋ ɡ
באַדויערונג	b a d o ʊ̯ ə ʁ ɪ ŋ ɡ
באַדויערונג	b ɔ d ɔ ɪ̯ ə ʁ ɨ ŋ ɡ
באַדויערן	b a d ɔ ɪ̯ ə ʁ n̩
באַדויערן	b a d o ʊ̯ ə ʁ n̩
באַדויערן	b ɔ d ɔ ɪ̯ ə ʁ n̩
באָדן	b ɔ d n̩
באָדקאָסטום	b ɔ d k ɔ s t ʊ m
באַהאַלט	b a h a ɫ t
באַהאַלטן	b a h a ɫ t n̩
באַהאַלטסט	b a h a ɫ t s t
באַהאַרצט	b a h a ʁ t͡s t
באַהבֿה	b ə a h a v ə
באַהבֿה	b ə a h a v ə
באַהבֿה	b ə ə h a v ə
באַהבֿה	b ə a ɪ̯ v ə
באַחנט	b a χ ɛ ɪ̯ n t
באַטײַט	b a t a ɪ̯ t
באַטעמט	b a t a m t
באַלאַגאַן	b a ɫ a ɡ a n
באַלאַנגט	b a ɫ a ŋ k t
באַלאַנגען	b a ɫ a ŋ ɡ ə ŋ
באַלד	b a ɫ d
באַלויפֿונג	b a ɫ ɔ ɪ̯ f ʊ ŋ ɡ
באַלזאַם־יאָדלע	b a l z a m j ɔ d l ə
באַליבט	b a ɫ ɪ b t
באָלניצע	b ɔ ɫ n ɪ t s ə
באָלניצע	b ɔ ʎ n ɪ t s ə
באַלעבאַטיש	b a l ə b a t ɪ ʃ
באַלעבאַטיש	b a l ə b a t ɨ ʃ
באַלעבאַטעווען	b a l ə b a t ə v ə n
באַלקאָן	b a ɫ k ɔ n
באָמאָז	b ɔ m ɔ z
באָמאָז	b ɔ m ɔ s
באַמבוק	b a m b ʊ k
באַמוטשונג	b a m ʊ t͡ʃ ʊ ŋ ɡ
באַמיע	b a m j ə
באַמערקן	b a m ɛ ʁ k n̩
באמת	b ə ɛ m ə s
באַן	b a n
באַנאַל	b a n a ɫ
באַנאַל	b a n a ʎ
באַנאַנע	b a n a n ə
באַנד	b a n d
באַנײַען	b a n a ɪ̯ ə n
באַניצן	b a n ɪ t͡s n̩
באַניצער	b a n ɪ t͡s ɜ r
באַנק	b a ŋ k
באַנקאָמאַט	b a ŋ k ɔ m a t
באַנקראָט	b a n k ʁ ɔ t
באַסיין	b a s ɛ ɪ̯ n
באַעוולען	b a a v l ə n
באַפֿעלקערונג	b a f ɛ ɫ k ə r ʊ ŋ
באַפֿרײַ	b a f ʁ a ɪ̯
באַפֿרײַט	b a f ʁ a ɪ̯ t
באַפֿרײַנדן	b a f ʁ a ɪ̯ n d n̩
באַפֿרײַנדן	b a f ʁ aː n d n̩
באַפֿרײַנדן	b a f ʁ a n d n̩
באַפֿרײַען	b a f ʁ a ɪ̯ ə n
באָץ	b ɔ t͡s
באַצאָל	b a t͡s a ɫ
באָק	b ɔ k
באַקאַליי	b a k a l ɛ ɪ̯
באַקאַנט	b a k a n t
באַקוועם	b a k v ɛ m
באַקום	b a k ʊ m
באַקומט	b a k ʊ m t
באַקומען	b a k ʊ m ə n
באַקומער	b a k ʊ m ə ʁ
באַקומערס	b a k ʊ m ə ʁ s
באַקלאַוואַ	b a k ɫ a v a
באַקן	b a k n̩
באַקסאָדע	b a k s ɔ d ə
באַקענען	b a k ɛ n ə n
באָר	b ɔ ʁ
באַראַבאַן	b a ʁ a b a n
באַראַנאָוויטש	b a r a n ɔ v ɪ t͡ʃ
באַרגיק	b a ʁ ɡ ɪ k
באַריין	b a ʁ ɛ ɪ̯ n
באַריכט	b a r ɪ χ t
באַריער	b a r ɪ j ɛ r
באַריער	b a r j ɛ r
באַרן	b a ʁ n̩
באַרעכטיקט	b a r e χ t ɪ k t
באַשטיין	b a ʃ t e ɪ n
באַשטיין	b a ʃ t æ i n
באַשטיין	b a ʃ t a i n
באַשטיין	b a ʃ t e i n
באַשטעלונג	b a ʃ t ɛ ɫ ʊ ŋ ɡ
באַשטעלט	b a ʃ t ɛ ɫ t
באַשטעלן	b a ʃ t ɛ ɫ n̩
באַשטערנדלען	b a ʃ t ɛ r n d ɫ ə n
באַשיידן	b a ʃ ɛ ɪ̯ d n̩
באַשיינען	b a ʃ ɛ ɪ̯ n ə n
באַשיינען	b a ʃ a ɪ̯ n ə n
באַשמוצן	b a ʃ m ʊ t͡s n̩
באַשערט	b a ʃ ɛ ʁ t
באשר	b a n ʃ ə ʁ
באשר	b a ʃ ə ʁ
באַשרײַבונג	b a ʃ r a ɪ̯ b ʊ n ɡ
באַשרײַבונג	b a ʃ r aː b ɪ n ɡ
בדחן	b a d χ ə n
בדלות	b ə d a ɫ ə s
בהמה	b ə h ɛ ɪ̯ m ə
בודקע	b ʊ d k ə
בוהײַ	b u h a ɪ̯
בוטערבראָד	b ʊ t ə r b r ɔ d
בוטערבראָד	b ʊ t ə r b r ɔ t
בוי	b ɔ ɪ̯
בוּיאַן	b ʊ j a n
בויט	b ɔ ɪ̯ t
בוים	b ɔ ɪ̯ m
בוים־מאַרדער	b ɔ ɪ̯ m m a ʁ d ə ʁ
בויען	b ɔ ɪ̯ ə n
בוכוואַץ	b ʊ χ v a t͡s
בוכווייץ	b ʊ χ v ɛ ɪ̯ t͡s
בוכטשע	b ʊ χ t͡ʃ ə
בולט	b ɔ ɪ̯ l ə t
בולט	b e ɪ̯ l ə t
בוליאָן	b ʊ ʎ ɔ n
בולקע	b ʊ ɫ k ə
בונט	b ʊ n t
בונטעווען	b ʊ n t ə v ə n
בורא־עולם	b ɔ ɪ̯ ʁ ə ɔ ɪ̯ l ə m
בורא־עולם	b e ɪ̯ ʁ ə e ɪ̯ l ə m
בורבאָן	b ʊ r b ɔ n
בוש	b ʊ ʃ
בוש־ראַץ	b ʊ ʃ ʁ a t͡s
בושה	b ʊ ʃ ə
בושל	b ʊ ʃ ɫ̩
בזיון	b ə z ɔ ɪ̯ ə n
בחור	b ɔ χ ə ʁ
בחור	b u χ ə ʁ
בחורווײַז	b ɔ χ ə ʁ v a ɪ̯ z
בחורים	b ɔ χ ɛ ʁ ə m
בחינה	p χ ɪ n ə
בחינם	b ɜ χ ɪ n ɜ m
בחרם	b ə χ ɛ ɪ̯ ʁ ə m
בטוח	b ə t ʊ ə χ
בטחון	b ə t ɔ χ n̩
ביאָלאָגיע	b j ɔ ɫ ɔ ɡ j ə
ביאַלי	b j a ɫ ɪ
ביבל	b ɪ b ɫ̩
ביבליאָטעק	b ɪ b ʎ j ɔ t ɛ k
ביוקר	b ə j ɔ ɪ̯ k ə ʁ
ביוקר	b ə j e ɪ̯ k ə ʁ
ביוראָ	b j ʊ ʁ ɔ
ביוש	b ɪ j ə ʃ
ביז	b ɪ z
ביז	b ɨ z
ביטומען	b ɪ t ʊ m ə n
ביטל	b ɪ t ɫ̩
ביטל	b iː t ɫ̩
ביטע	b ɪ t ə
ביטקוין	b ɪ t k ɔ ɪ̯ n
בייגל	b ɛ ɪ̯ ɡ ɫ̩
בייגל	b a ɪ̯ ɡ ɫ̩
ביידע	b ɛ ɪ̯ d ə
בײַוואַלן	b a ɪ̯ v a ɫ n̩
בייז	b ɛ ɪ̯ z
בײַזײַן	b a ɪ̯ z a ɪ̯ n
בײַטאָג	b a ɪ̯ t ɔ ɡ
בײַטל	b a ɪ̯ t ɫ̩
בײַטלען	b a ɪ̯ t l̩ n
בײַכער	b a ɪ̯ χ ə ʁ
ביימל	b ɛ ɪ̯ m ɫ̩
ביימל־ראַץ	b ɛ ɪ̯ m ɫ̩ ʁ a t͡s
ביין	b ɛ ɪ̯ n
בײַנאַכט	b a ɪ̯ n a χ t
ביינדל	b ɛ ɪ̯ n d ɫ̩
ביינער	b ɛ ɪ̯ n ə ʁ
בייסבאָל	b ɛ ɪ̯ s b ɔ l
בײַסט	b a ɪ̯ s t
בײַסן	b a ɪ̯ s n̩
בײַקומען	b a ɪ̯ k ʊ m ə n
בײַקע	b a ɪ̯ k ə
בײַשטײַערונג	b a ɪ̯ ʃ t a ɪ̯ ə ʁ ʊ ŋ ɡ
בײַשטײַערן	b a ɪ̯ ʃ t a ɪ̯ ə ʁ n̩
ביליאָן	b ɪ l j ɔ n
ביליק	b ɪ ɫ ɪ k
ביליק	b ɪ ɫ ɪ ɡ
בילן	b ɪ ɫ n̩
בילסט	b ɪ ɫ s t
בילעט	b ɪ ʎ ɛ t
בין	b ɪ n
בין	b iː n
בין	b ɪ n
בין	b i n
בין	b ɨ n
בין־השמשות	b ɛ ɪ̯ n h a ʃ m ɔ ʃ ə s
בין־השמשות	b ɛ ɪ̯ n a ʃ m ɔ ʃ ə s
בינסט	b ɪ n s t
ביס	b ɪ s
ביסל	b ɪ s ɫ̩
ביסלעכווײַז	b ɪ s ɫ ə χ v a ɪ̯ z
ביפֿסטייק	b iː f s t ɛ ɪ̯ k
ביפֿסטייק	b i f s t ɛ ɪ̯ k
ביצה	b ɛ ɪ̯ t͡s ə
ביציקל	b ɪ t͡s ɪ k ɫ̩
ביקס	b ɪ k s
ביר	b ɪ ʁ
בירגערמײַסטער	b ɪ r ɡ ə r m a ɪ̯ s t ə r
בירזשע	b ɪ r ʒ ə
בית	b ɛ ɪ̯ s
בית	b a ɪ̯ s
בית־דין	b ɛ z d n̩
בית־דין	b ɛ z n̩
בית־דין	b e ɪ̯ z d ɪ n
בית־דין	b a ɪ̯ z d ɪ n
בית־דין	b ɛ ɪ̯ z d ɨ n
בית־הכּנסת	b ɛ ɪ̯ s a k n ɛ s ə s
בית־הכּסא	b ɛ ɪ̯ s h a k ɪ s ə
בית־הכּסא	b ɛ ɪ̯ s a k ɪ s ə
בית־הקבֿרות	b ɛ ɪ̯ s a k v ɔ ʁ ə s
בית־הקבֿרות	b e ɪ̯ s a k v ɔ ʁ ə s
