ԱԱ	ɑ ɑ
Սոս	s o s
Սորբոն	s o ɾ p o n
Սորոս	s o ɾ o s
Սուլահյան	s u l ɑ h j ɑ n
Սուխում	s u χ u m
Սուխումի	s u χ u m i
Սուկրե	s u ɡ ɾ e
Սուճյան	s u d͡ʒ j ɑ n
Սումեր	s u m e ɾ
Սուչավա	s u t͡ʃ ɑ v ɑ
Սուջյան	s u t͡ʃ j ɑ n
Սուվա	s u v ɑ
Սուրամ	s u ɾ ɑ m
Սուրամի	s u ɾ ɑ m i
Սուրգուտ	s u ɾ k u d
Սուրեն	s u ɾ e n
Սուրենյան	s u ɾ e n j ɑ n
Սուրինամ	s u ɾ i n ɑ m
Սուքիաս	s u k i ɑ s
Սուքիասյան	s u k i ɑ s j ɑ n
Սոփոկլես	s o p o ɡ l e s
Սոֆիա	s o f i ɑ
Սոֆոկլես	s o f o ɡ l e s
Սպահան	s b ɑ h ɑ n
Սպանիա	s b ɑ n i ɑ
Սպերցյան	s b e ɾ t͡s j ɑ n
Սպիտակաձյունիկ	s b i d ɑ ɡ ɑ t͡s ʏ n i ɡ
Սվազիլենդ	s v ɑ z i l e n t
Սվերդլովսկ	s v ə ɾ t l o f s ɡ
Ստալին	s d ɑ l i n
Ստալինգրադ	s d ɑ l i n k ɾ ɑ t
Ստամբուլ	s d ɑ m p u l
Ստավրոպոլ	s d ɑ v ɾ o b o l
Ստեսիքորոս	s d e s i k o ɾ o s
Ստեփան	s d e p ɑ n
Ստեփանակերտ	s d e p ɑ n ɑ ɡ e ɾ d
Ստեփանյան	s d e p ɑ n j ɑ n
Ստեփանոս	s d e p ɑ n o s
Ստյոպա	s d j o b ɑ
Ստոկհոլմ	s d o ɡ h o l m
Ստոքհոլմ	s d o k h o l m
Ստրաբոն	s d ɾ ɑ p o n
Ստրասբուրգ	s d ɾ ɑ s p u ɾ k
Սրուճ	s ə ɾ u d͡ʒ
Սփյուռք	s p ʏ r k
Սևադա	s e v ɑ t ɑ
Սևակ	s e v ɑ ɡ
Սևան	s e v ɑ n
Սևանա	s e v ɑ n ɑ
Սևր	s e v ə ɾ
Սևրուկյան	s e v ɾ u ɡ j ɑ n
Վ	v ə
Վադուց	v ɑ t u t͡s
Վազգեն	v ɑ s k e n
Վազիրիստան	v ɑ z i ɾ i s d ɑ n
Վալետա	v ɑ l e d ɑ
Վալերիանոս	v ɑ l e ɾ i ɑ n o s
Վահագ	v ɑ h ɑ k
Վահագն	v ɑ h ɑ k ə n
Վահագնիկ	v ɑ h ɑ k n i ɡ
Վահան	v ɑ h ɑ n
Վահե	v ɑ h e
Վահրամ	v ɑ h ɾ ɑ m
Վաղարշ	v ɑ ʁ ɑ ɾ ʃ
Վաղարշակ	v ɑ ʁ ɑ ɾ ʃ ɑ ɡ
Վաղարշապատ	v ɑ ʁ ɑ ɾ ʃ ɑ b ɑ d
Վաղես	v ɑ ʁ e s
Վաղինակ	v ɑ ʁ i n ɑ ɡ
Վայմար	v ɑ j m ɑ ɾ
Վայք	v ɑ j k
Վան	v ɑ n
Վանաձոր	v ɑ n ɑ t͡s o ɾ
Վանդեա	v ɑ n t e j ɑ
Վանեցյան	v ɑ n e t͡s j ɑ n
Վանկուվեր	v ɑ n ɡ u v e ɾ
Վանո	v ɑ n o
Վանուատու	v ɑ n u ɑ d u
Վաշինգտոն	v ɑ ʃ i n k d o n
Վաչագան	v ɑ t͡ʃ ɑ k ɑ n
Վաչե	v ɑ t͡ʃ e
Վառնա	v ɑ r n ɑ
Վասակ	v ɑ s ɑ ɡ
Վասիլ	v ɑ s i l
Վասիլի	v ɑ s i l i
Վատիկան	v ɑ d i ɡ ɑ n
Վարազդատ	v ɑ ɾ ɑ s t ɑ d
Վարաժնունի	v ɑ ɾ ɑ ʒ n u n i
Վարդան	v ɑ ɾ t ɑ n
Վարդանյան	v ɑ ɾ t ɑ n j ɑ n
Վարդապետյան	v ɑ ɾ t ɑ b e d j ɑ n
Վարդավառ	v ɑ ɾ t ɑ v ɑ r
Վարդգես	v ɑ ɾ t k e s
Վարդենիս	v ɑ ɾ t e n i s
Վարդերեսյան	v ɑ ɾ t e ɾ e s j ɑ n
Վարդիթեր	v ɑ ɾ t i t e ɾ
Վարդիվառյան	v ɑ ɾ t i v ɑ r j ɑ n
Վարդուհի	v ɑ ɾ t u h i
Վարշամ	v ɑ ɾ ʃ ɑ m
Վարշավա	v ɑ ɾ ʃ ɑ v ɑ
Վարոս	v ɑ ɾ o s
Վարուժան	v ɑ ɾ u ʒ ɑ n
Վարվառա	v ɑ ɾ v ɑ r ɑ
Վարվառե	v ɑ ɾ v ɑ r e
Վեդա	v e t ɑ
Վեզնեճյան	v e z n e d͡ʒ j ɑ n
Վեզուվ	v e z u v
Վելինգտոն	v e l i n k d o n
Վենեսուելա	v e n e s u e l ɑ
Վենետիկ	v e n e d i ɡ
Վեներա	v e n e ɾ ɑ
Վենսան	v e n s ɑ n
Վերածնունդ	v e ɾ ɑ d͡z ə n u n t
Վերգիլիոս	v e ɾ k i l i o s
Վերգինե	v e ɾ k i n e
Վիբորգ	v i p o ɾ k
Վիգեն	v i k e n
Վիեննա	v i j e n n ɑ
Վիենտյան	v i e n d j ɑ n
Վիետնամ	v j e d n ɑ m
Վիլհելմ	v i l h e l m
Վիլնյուս	v i l n ʏ s
Վիկտոր	v i ɡ d o ɾ
Վինդհուկ	v i n t h u ɡ
Վիշի	v i ʃ i
Վիշնու	v i ʃ n u
Վիսլա	v i s l ɑ
Վիտեբսկ	v i d e p s ɡ
Վիրգիլիոս	v i ɾ k i l i o s
Վիրո	v i ɾ o
Վիրք	v i ɾ k
Վիքիբառարան	v i k i p ɑ r ɑ ɾ ɑ n
Վիքիպեդիա	v i k i b e t i ɑ
Վիքիփեդիա	v i k i p e t i ɑ
Վլադիկավկազ	v l ɑ t i ɡ ɑ v ɡ ɑ z
Վլադիմիր	v l ɑ t i m i ɾ
Վլադիսլավ	v l ɑ t i s l ɑ v
Վլադիվոստոկ	v l ɑ t i v o s d o ɡ
Վլադլեն	v l ɑ t l e n
Վոգեզներ	v o k e z n e ɾ
Վոլգա	v o l k ɑ
Վոլգոգրադ	v o l k o k ɾ ɑ t
Վովա	v o v ɑ
Վորկուտա	v o ɾ ɡ u d ɑ
Վորոնեժ	v o ɾ o n e ʒ
Վռամ	v ə r ɑ m
Վռամշապուհ	v ə r ɑ m ʃ ɑ b u h
Վրաստան	v ə ɾ ɑ s d ɑ n
Վրեժ	v ə ɾ e ʒ
Վրթանես	v ə ɾ t ɑ n e s
Վրույր	v ə ɾ u j ɾ
Տ	d ə
ՏՏ	d ə d ə
Տաթև	d ɑ t e v
Տաթևիկ	d ɑ t e v i ɡ
Տալլին	d ɑ l l i n
Տակիտոս	d ɑ ɡ i d o s
Տաղլյան	d ɑ ʁ l j ɑ n
Տաճատ	d ɑ d͡ʒ ɑ d
Տաճատուհի	d ɑ d͡ʒ ɑ d u h i
Տաճկաստան	d ɑ d͡ʒ ɡ ɑ s d ɑ n
Տամատյան	d ɑ m ɑ d j ɑ n
Տամբով	d ɑ m p o v
Տամկաճյան	d ɑ m ɡ ɑ d͡ʒ j ɑ n
Տամղաճյան	d ɑ m ʁ ɑ d͡ʒ j ɑ n
Տայբեյ	d ɑ j p e j
Տայք	d ɑ j k
Տաշքենդ	d ɑ ʃ k e n t
Տաջիկստան	d ɑ t͡ʃ i ɡ s d ɑ n
Տավուշ	d ɑ v u ʃ
Տավրիս	d ɑ v ɾ i s
Տավրոս	d ɑ v ɾ o s
Տարենթոն	d ɑ ɾ e n t o n
Տարենտ	d ɑ ɾ e n d
Տարոն	d ɑ ɾ o n
Տարսոն	d ɑ ɾ s o n
Տարտուս	d ɑ ɾ d u s
Տեգուսիգալպա	d e k u s i k ɑ l b ɑ
Տեխաս	d e χ ɑ s
Տեղ	d e ʁ
Տեմպինիս	d e m b i n i s
Տենեդոս	d e n e t o s
Տերպանդրոս	d e ɾ b ɑ n t ɾ o s
Տերտերյան	d e ɾ d e ɾ j ɑ n
Տեփոյան	d e p o j ɑ n
Տիբեթ	d i p e t
Տիբեր	d i p e ɾ
Տիբերիոս	d i p e ɾ i o s
Տիբերիս	d i p e ɾ i s
Տիգրան	d i k ɾ ɑ n
Տիգրանյան	d i k ɾ ɑ n j ɑ n
Տիգրանուհի	d i k ɾ ɑ n u h i
Տիգրիս	d i k ɾ i s
Տիզբոն	d i s p o n
Տիմոթեոս	d i m o t e o s
Տիշճյան	d i ʃ d͡ʒ j ɑ n
Տիշչյան	d i ʃ t͡ʃ j ɑ n
Տիրան	d i ɾ ɑ n
Տիրանա	d i ɾ ɑ n ɑ
Տիրատուրյան	d i ɾ ɑ d u ɾ j ɑ n
Տիրուվանանտապուրամ	d i ɾ u v ɑ n ɑ n d ɑ b u ɾ ɑ m
Տիրտեոս	d i ɾ d e o s
Տյուլկերյան	d ʏ l ɡ e ɾ j ɑ n
Տյումեն	d ʏ m e n
Տյուտյուկճյան	d ʏ d ʏ ɡ d͡ʒ j ɑ n
Տյուտյուքճյան	d ʏ d ʏ k d͡ʒ j ɑ n
Տյուրոս	d ʏ ɾ o s
Տոգո	d o k o
Տոլաշյան	d o l ɑ ʃ j ɑ n
Տոլյատի	d o l j ɑ d i
Տոկիո	d o ɡ i o
Տոմսկ	d o m s ɡ
Տոնիկյան	d o n i ɡ j ɑ n
Տոնոյան	d o n o j ɑ n
Տորք	d o ɾ k
Տուլա	d u l ɑ
Տուրին	d u ɾ i n
Տուրուբերան	d u ɾ u p e ɾ ɑ n
Տվեր	d v e ɾ
Տրայանոս	d ɾ ɑ j ɑ n o s
Տրանսիլվանիա	d ɾ ɑ n s i l v ɑ n i ɑ
Տրապիզոն	d ɾ ɑ b i z o n
Տրդատ	d ə ɾ t ɑ d
Տրիպոլի	d ɾ i b o l i
Տրիպուրա	d ɾ i b u ɾ ɑ
Տփղիս	d ə p χ i s
Տևեճյան	d e v e d͡ʒ j ɑ n
Ր	ɾ ə
Րաֆֆի	ɾ ɑ f f i
Րաֆֆի	ɾ ɑ f i
Ց	t͡s ə
Ցեյլոն	t͡s e j l o n
Ցիցերոն	t͡s i t͡s e ɾ o n
Ցխինվալ	t͡s χ i n v ɑ l
Ցխինվալի	t͡s χ i n v ɑ l i
Ցյուրիխ	t͡s ʏ ɾ i χ
Ցոլակ	t͡s o l ɑ ɡ
Ցոլակյան	t͡s o l ɑ ɡ j ɑ n
Ցուլ	t͡s u l
Ւ	v ə
Փ	p ə
ՓՄՁ	p ə m ə t͡s ə
Փաթափության	p ɑ t ɑ p u t j ɑ n
Փալանճյան	p ɑ l ɑ n d͡ʒ j ɑ n
Փալանջյան	p ɑ l ɑ n t͡ʃ j ɑ n
Փայլածու	p ɑ j l ɑ d͡z u
Փայլակ	p ɑ j l ɑ ɡ
Փայտակարան	p ɑ j d ɑ ɡ ɑ ɾ ɑ n
Փաշա	p ɑ ʃ ɑ
Փաշայան	p ɑ ʃ ɑ j ɑ n
Փաշինյան	p ɑ ʃ i n j ɑ n
Փառանձեմ	p ɑ r ɑ n t͡s e m
Փավստոս	p ɑ f s d o s
Փարիզ	p ɑ ɾ i z
Փարիխան	p ɑ ɾ i χ ɑ n
Փարոս	p ɑ ɾ o s
Փարպի	p ɑ ɾ b i
Փարսադան	p ɑ ɾ s ɑ t ɑ n
Փափազյան	p ɑ p ɑ z j ɑ n
Փելթեկյան	p e l t e ɡ j ɑ n
Փելթեքյան	p e l t e k j ɑ n
Փեհլիվանյան	p e h l i v ɑ n j ɑ n
Փենիրճյան	p e n i ɾ d͡ʒ j ɑ n
Փենջաբ	p e n t͡ʃ ɑ p
Փերիխան	p e ɾ i χ ɑ n
Փերիխանյան	p e ɾ i χ ɑ n j ɑ n
Փերտեճյան	p e ɾ d e d͡ʒ j ɑ n
Փիլիպոս	p i l i b o s
Փիլիպոսյան	p i l i b o s j ɑ n
Փիլիպպոս	p i l i b b o s
Փխենյան	p ə χ e n j ɑ n
Փյունիկիա	p ʏ n i ɡ i ɑ
Փյուսկյուլճյան	p ʏ s ɡ ʏ l d͡ʒ j ɑ n
Փոթի	p o t i
Փոկեա	p o ɡ e ɑ
Փոկիա	p o ɡ i ɑ
Փոստաճյան	p o s d ɑ d͡ʒ j ɑ n
Փոստանջյան	p o s d ɑ n t͡ʃ j ɑ n
Փոստաջյան	p o s d ɑ t͡ʃ j ɑ n
Փորթուգալիա	p o ɾ t u k ɑ l i ɑ
Փռյուգիա	p ə r ʏ k i ɑ
Ք	k ə
Քաբուլ	k ɑ p u l
Քաթար	k ɑ t ɑ ɾ
Քալանթարյան	k ɑ l ɑ n t ɑ ɾ j ɑ n
Քաղդեա	k ɑ χ t e j ɑ
Քաղկեդոն	k ɑ ʁ ɡ e t o n
Քամանչաջյան	k ɑ m ɑ n t͡ʃ ɑ t͡ʃ j ɑ n
Քայմաքճյան	k ɑ j m ɑ k d͡ʒ j ɑ n
Քանան	k ɑ n ɑ n
Քաշան	k ɑ ʃ ɑ n
Քարամանյան	k ɑ ɾ ɑ m ɑ n j ɑ n
Քարոն	k ɑ ɾ o n
Քարտաշյան	k ɑ ɾ d ɑ ʃ j ɑ n
Քեթենջյան	k e t e n t͡ʃ j ɑ n
Քեթևան	k e t e v ɑ n
Քելեկյան	k e l e ɡ j ɑ n
Քեմբրիջ	k e m p ɾ i t͡ʃ
Քեմենչեջյան	k e m e n t͡ʃ e t͡ʃ j ɑ n
Քենիա	k e n i ɑ
Քեշիշյան	k e ʃ i ʃ j ɑ n
Քեոպս	k e o b s
Քեոսայան	k œ s ɑ j ɑ n
Քեոփս	k e o p s
Քերեսթեճյան	k e ɾ e s t e d͡ʒ j ɑ n
Քերոբ	k e ɾ o p
Քերոբյան	k e ɾ o p j ɑ n
Քինգստոն	k i n k s d o n
Քիշնև	k i ʃ n e v
Քիոս	k i o s
Քիպրիթճյան	k i b ɾ i t d͡ʒ j ɑ n
Քիրամիջյան	k i ɾ ɑ m i t͡ʃ j ɑ n
Քիրեմիթճյան	k i ɾ e m i t d͡ʒ j ɑ n
Քիրեմիճյան	k i ɾ e m i d͡ʒ j ɑ n
Քիրեմիտճյան	k i ɾ e m i d d͡ʒ j ɑ n
Քիրմանշահ	k i ɾ m ɑ n ʃ ɑ h
Քիրփիքյան	k i ɾ p i k j ɑ n
Քլինթոն	k l i n t o n
Քյավառ	k j ɑ v ɑ r
Քյոլն	k j o l n
Քյուլահճյան	k ʏ l ɑ h d͡ʒ j ɑ n
Քյուչյուքյան	k ʏ t͡ʃ ʏ k j ɑ n
Քյուրեկճյան	k ʏ ɾ e ɡ d͡ʒ j ɑ n
Քյուրեքճյան	k ʏ ɾ e k d͡ʒ j ɑ n
Քյուրքճյան	k ʏ ɾ k d͡ʒ j ɑ n
Քյուրքչյան	k ʏ ɾ k t͡ʃ j ɑ n
Քնարիկ	k ə n ɑ ɾ i ɡ
Քոչարյան	k o t͡ʃ ɑ ɾ j ɑ n
Քութաիս	k u t ɑ j i s
Քութայիս	k u t ɑ j i s
Քութայիսի	k u t ɑ j i s i
Քուչակ	k u t͡ʃ ɑ ɡ
Քուչուկյան	k u t͡ʃ u ɡ j ɑ n
Քուռ	k u r
Քուվեյթ	k u v e j t
Քոքոբելյան	k o k o p e l j ɑ n
Քսենոկրատես	k s e n o ɡ ɾ ɑ d e s
Քսենոփանես	k s e n o p ɑ n e s
Քսենոփոն	k s e n o p o n
Քսենոֆան	k s e n o f ɑ n
Քսենոֆոն	k s e n o f o n
Քրդստան	k ə ɾ t ə s d ɑ n
Քրիստոս	k ɾ i s d o s
Օ	o
ՕԵԿ	o j e ɡ
Օբ	o p
Օբամա	o p ɑ m ɑ
Օգոստոս	o k o s d o s
Օդաբաշյան	o t ɑ p ɑ ʃ j ɑ n
Օդաջյան	o t ɑ t͡ʃ j ɑ n
Օզանյան	o z ɑ n j ɑ n
Օլիմպոս	o l i m b o s
Օկա	o ɡ ɑ
Օկտավիանոս	o ɡ d ɑ v i ɑ n o s
Օհայո	o h ɑ j o
Օհան	o h ɑ n
Օհանես	o h ɑ n e s
Օհանեսյան	o h ɑ n e s j ɑ n
Օհանյան	o h ɑ n j ɑ n
Օման	o m ɑ n
Օմարտյան	o m ɑ ɾ d j ɑ n
Օմսկ	o m s ɡ
Օնիկ	o n i ɡ
Օշ	o ʃ
Օսեթիա	o s e t i ɑ
Օսիա	o s i ɑ
Օսիրիս	o s i ɾ i s
Օսլո	o s l o
Օսկան	o s ɡ ɑ n
Օսկանյան	o s ɡ ɑ n j ɑ n
Օսրոյենե	o s ɾ o j e n e
Օվկիանիա	o v ɡ i j ɑ n i ɑ
Օտաճյան	o d ɑ d͡ʒ j ɑ n
Օտունճյան	o d u n d͡ʒ j ɑ n
Օտտավա	o d d ɑ v ɑ
Օրբելյան	o ɾ p e l j ɑ n
Օրդուբադ	o ɾ t u p ɑ t
Օրեգոն	o ɾ e k o n
Օրենբուրգ	o ɾ e n p u ɾ k
Օրիսա	o ɾ i s ɑ
Օրյոլ	o ɾ j o l
Օրջանյան	o ɾ t͡ʃ ɑ n j ɑ n
Օրտա	o ɾ d ɑ
Օքսֆորդ	o k s f o ɾ t
Օֆելյա	o f e l j ɑ
Ֆ	f ə
Ֆաթիմյան	f ɑ t i m j ɑ n
Ֆամագուստա	f ɑ m ɑ k u s d ɑ
Ֆարերներ	f ɑ ɾ e ɾ n e ɾ
Ֆարսակյան	f ɑ ɾ s ɑ ɡ j ɑ n
Ֆեյս	f e j s
Ֆերմանյան	f e ɾ m ɑ n j ɑ n
Ֆիլիպ	f i l i b
Ֆիլիպիններ	f i l i b i n n e ɾ
Ֆինլանդիա	f i n l ɑ n t i ɑ
Ֆիշենկճյան	f i ʃ e n ɡ d͡ʒ j ɑ n
Ֆիջի	f i t͡ʃ i
Ֆլանդրիա	f l ɑ n t ɾ i ɑ
Ֆլորենցիա	f l o ɾ e n t͡s i ɑ
Ֆրանգուլյան	f ɾ ɑ n k u l j ɑ n
Ֆրանսիա	f ə ɾ ɑ n s i ɑ
Ֆրանսիա	f ɾ ɑ n s i ɑ
Ֆրեզնո	f ɾ e z n o
Ֆրիդրիխ	f ɾ i t ɾ i χ
Ֆրիուլի	f ɾ i u l i
Ֆրունզե	f ɾ u n z e
ա	ɑ
աբա	ɑ p ɑ
աբանոս	ɑ p ɑ n o s
աբասանոց	ɑ p ɑ s ɑ n o t͡s
աբասի	ɑ p ɑ s i
աբարանցի	ɑ p ɑ ɾ ɑ n t͡s i
աբբա	ɑ p p ɑ
աբբահայր	ɑ p p ɑ h ɑ j ɾ
աբբայական	ɑ p p ɑ j ɑ ɡ ɑ n
աբբայարան	ɑ p p ɑ j ɑ ɾ ɑ n
աբբայություն	ɑ p p ɑ j u t ʏ n
աբբայուհի	ɑ p p ɑ j u h i
աբեթ	ɑ p e t
աբեթասունկ	ɑ p e t ɑ s u n ɡ
աբեթենի	ɑ p e t e n i
աբեղա	ɑ p e ʁ ɑ
աբեղաթող	ɑ p e ʁ ɑ t o ʁ
աբեղախոտ	ɑ p e ʁ ɑ χ o d
աբեղաձագ	ɑ p e ʁ ɑ t͡s ɑ k
աբեղայական	ɑ p e ʁ ɑ j ɑ ɡ ɑ n
աբեղայակերպ	ɑ p e ʁ ɑ j ɑ ɡ e ɾ b
աբեղայություն	ɑ p e ʁ ɑ j u t ʏ n
աբեղացու	ɑ p e ʁ ɑ t͡s u
աբեղուկ	ɑ p e ʁ u ɡ
աբխազ	ɑ p χ ɑ z
աբխազական	ɑ p χ ɑ z ɑ ɡ ɑ n
աբխազերեն	ɑ p χ ɑ z e ɾ e n
աբխազներ	ɑ p χ ɑ z n e ɾ
աբոլիցիոնիզմ	ɑ p o l i t͡s i o n i z m
աբոնեմենտ	ɑ p o n e m e n d
աբոնեմենտային	ɑ p o n e m e n d ɑ j i n
աբոնենտ	ɑ p o n e n d
աբսոլյուտ	ɑ p s o l ʏ d
աբսոլյուտիզմ	ɑ p s o l ʏ d i z m
աբսորբել	ɑ p s o ɾ p e l
աբսուրդ	ɑ p s u ɾ t
աբստրակտ	ɑ p s d ɾ ɑ ɡ d
աբստրակցիա	ɑ p s d ɾ ɑ k t͡s i ɑ
աբստրահել	ɑ p s d ɾ ɑ h e l
աբստրահում	ɑ p s d ɾ ɑ h u m
աբստրահվել	ɑ p s d ɾ ɑ h v e l
աբրա	ɑ p ɾ ɑ
աբրեշում	ɑ p ɾ e ʃ u m
աբրեշումե	ɑ p ɾ e ʃ u m e
ագաթ	ɑ k ɑ t
ագահ	ɑ k ɑ h
ագահաբար	ɑ k ɑ h ɑ p ɑ ɾ
ագահանալ	ɑ k ɑ h ɑ n ɑ l
ագահել	ɑ k ɑ h e l
ագահորեն	ɑ k ɑ h o ɾ e n
ագահություն	ɑ k ɑ h u t ʏ n
ագատ	ɑ k ɑ d
ագարակ	ɑ k ɑ ɾ ɑ ɡ
ագարականալ	ɑ k ɑ ɾ ɑ ɡ ɑ n ɑ l
ագարակացնել	ɑ k ɑ ɾ ɑ ɡ ɑ t͡s ə n e l
ագեվազ	ɑ k e v ɑ z
ագի	ɑ k i
ագնոստիկ	ɑ k n o s d i ɡ
ագնոստիցիզմ	ɑ k n o s d i t͡s i z m
ագոն	ɑ k o n
ագույց	ɑ k u j t͡s
ագուռ	ɑ k u r
ագուցահանել	ɑ k u t͡s ɑ h ɑ n e l
ագուցանել	ɑ k u t͡s ɑ n e l
ագուցավորել	ɑ k u t͡s ɑ v o ɾ e l
ագուցել	ɑ k u t͡s e l
ագուցվել	ɑ k u t͡s v e l
ագռավ	ɑ k r ɑ v
ագռավանալ	ɑ k r ɑ v ɑ n ɑ l
ագրարային	ɑ k ɾ ɑ ɾ ɑ j i n
ագրեգատավորել	ɑ k ɾ e k ɑ d ɑ v o ɾ e l
ագրեսիա	ɑ k ɾ e s i ɑ
ագրեսիաները	ɑ k ɾ e s i ɑ n e ɾ ə
ագրեսիաներից	ɑ k ɾ e s i ɑ n e ɾ i t͡s
ագրեսիվ	ɑ k ɾ e s i v
ադամաթուզ	ɑ t ɑ m ɑ t u z
ադամանդ	ɑ t ɑ m ɑ n t
ադամանդագործ	ɑ t ɑ m ɑ n t ɑ k o ɾ d͡z
ադամանդագործական	ɑ t ɑ m ɑ n t ɑ k o ɾ d͡z ɑ ɡ ɑ n
ադամանդագործություն	ɑ t ɑ m ɑ n t ɑ k o ɾ d͡z u t ʏ n
ադամանդել	ɑ t ɑ m ɑ n t e l
ադամանդվել	ɑ t ɑ m ɑ n t v e l
ադրբեջանական	ɑ t ə ɾ p e t͡ʃ ɑ n ɑ ɡ ɑ n
ադրբեջաներեն	ɑ t ə ɾ p e t͡ʃ ɑ n e ɾ e n
ադրբեջանցի	ɑ t ə ɾ p e t͡ʃ ɑ n t͡s i
ազաբ	ɑ z ɑ p
ազաբանալ	ɑ z ɑ p ɑ n ɑ l
ազաբացնել	ɑ z ɑ p ɑ t͡s ə n e l
ազազանալ	ɑ z ɑ z ɑ n ɑ l
ազազել	ɑ z ɑ z e l
ազապ	ɑ z ɑ b
ազատ	ɑ z ɑ d
ազատագնել	ɑ z ɑ d ɑ k ə n e l
ազատագնվել	ɑ z ɑ d ɑ k ə n v e l
ազատագրել	ɑ z ɑ d ɑ k ɾ e l
ազատագրում	ɑ z ɑ d ɑ k ɾ u m
ազատագրվել	ɑ z ɑ d ɑ k ə ɾ v e l
ազատազրկել	ɑ z ɑ d ɑ z ə ɾ ɡ e l
ազատականացնել	ɑ z ɑ d ɑ ɡ ɑ n ɑ t͡s ə n e l
ազատամարտ	ɑ z ɑ d ɑ m ɑ ɾ d
ազատանի	ɑ z ɑ d ɑ n i
ազատել	ɑ z ɑ d e l
ազատություն	ɑ z ɑ d u t ʏ n
ազատքեղ	ɑ z ɑ t k e ʁ
ազբ	ɑ s p
ազբեստ	ɑ s p e s d
ազգ	ɑ s k
ազգաբան	ɑ s k ɑ p ɑ n
ազգագրական	ɑ s k ɑ k ə ɾ ɑ ɡ ɑ n
ազգադավ	ɑ s k ɑ t ɑ v
ազգական	ɑ s k ɑ ɡ ɑ n
ազգամիջյան	ɑ s k ɑ m i t͡ʃ j ɑ n
ազգային	ɑ s k ɑ j i n
ազգայնականություն	ɑ s k ɑ j n ɑ ɡ ɑ n u t ʏ n
ազգայնացում	ɑ s k ɑ j n ɑ t͡s u m
ազգանուն	ɑ s k ɑ n u n
ազգասեր	ɑ s k ɑ s e ɾ
ազգեր	ɑ s k e ɾ
ազգերի	ɑ s k e ɾ i
ազգովին	ɑ s k o v i n
ազգություն	ɑ s k u t ʏ n
ազգուտակ	ɑ s k u d ɑ ɡ
ազդ	ɑ s t
ազդակ	ɑ s t ɑ ɡ
ազդանշան	ɑ s t ɑ n ə ʃ ɑ n
ազդարար	ɑ s t ɑ ɾ ɑ ɾ
ազդարարել	ɑ s t ɑ ɾ ɑ ɾ e l
ազդել	ɑ s t e l
ազդեցիկ	ɑ s t e t͡s i ɡ
ազդեցություն	ɑ s t e t͡s u t ʏ n
ազդող	ɑ s t o ʁ
ազդու	ɑ s t u
ազդվել	ɑ s t v e l
ազդր	ɑ s t ə ɾ
ազդրոսկր	ɑ s t ɾ o s ɡ ə ɾ
ազերի	ɑ z e ɾ i
ազիկ	ɑ z i ɡ
ազնավոր	ɑ z n ɑ v o ɾ
ազնավուր	ɑ z n ɑ v u ɾ
ազնիվ	ɑ z n i v
ազնվական	ɑ z n ə v ɑ ɡ ɑ n
ազնվամորի	ɑ z n ə v ɑ m o ɾ i
ազոխ	ɑ z o χ
ազոտ	ɑ z o d
աթաբեկ	ɑ t ɑ p e ɡ
աթեիզմ	ɑ t e j i z m
աթեիստ	ɑ t e i s d
աթլաս	ɑ t l ɑ s
աթլետիկա	ɑ t l e d i ɡ ɑ
աթոռ	ɑ t o r
աթոռակ	ɑ t o r ɑ ɡ
աժան	ɑ ʒ ɑ n
աժդահա	ɑ ʃ t ɑ h ɑ
աժդահակ	ɑ ʃ t ɑ h ɑ ɡ
ալ	ɑ l
ալաբաստր	ɑ l ɑ p ɑ s d ə ɾ
ալաբաստրե	ɑ l ɑ p ɑ s d ɾ e
ալաբաստրյա	ɑ l ɑ p ɑ s d ɾ j ɑ
ալաժահրի	ɑ l ɑ ʒ ɑ h ɾ i
ալամ	ɑ l ɑ m
ալան	ɑ l ɑ n
ալանի	ɑ l ɑ n i
ալարել	ɑ l ɑ ɾ e l
ալբաներեն	ɑ l p ɑ n e ɾ e n
ալբատրոս	ɑ l p ɑ d ɾ o s
ալբուխարա	ɑ l p u χ ɑ ɾ ɑ
ալգորիթմ	ɑ l k o ɾ i t m
ալեբաստր	ɑ l e p ɑ s d ə ɾ
ալեբաստրե	ɑ l e p ɑ s d ɾ e
ալեբաստրյա	ɑ l e p ɑ s d ɾ j ɑ
ալեզարդ	ɑ l e z ɑ ɾ t
ալեկոծ	ɑ l e ɡ o d͡z
ալեկոծել	ɑ l e ɡ o d͡z e l
ալեհավաք	ɑ l e h ɑ v ɑ k
ալեհերձ	ɑ l e h e ɾ t͡s
ալեմաներեն	ɑ l e m ɑ n e ɾ e n
ալի	ɑ l i
ալիգատոր	ɑ l i k ɑ d o ɾ
ալիք	ɑ l i k
ալկիոն	ɑ l ɡ i o n
ալկոգել	ɑ l ɡ o k e l
ալկոհոլ	ɑ l ɡ o h o l
ալկոհոլային	ɑ l ɡ o h o l ɑ j i n
ալկոհոլիզմ	ɑ l ɡ o h o l i z m
ալկոհոլիկ	ɑ l ɡ o h o l i ɡ
ալմանախ	ɑ l m ɑ n ɑ χ
ալմաս	ɑ l m ɑ s
ալմաստ	ɑ l m ɑ s d
ալյանս	ɑ l j ɑ n s
ալյումին	ɑ l ʏ m i n
ալյումինում	ɑ l ʏ m i n u m
