ހ	h aː
އިބްރާހީމް	i b ɾ əː h iː m
އިއްޔެ	i j j e
އިއްޖެ	i d̚ d͡ʒ e
އިމާރާތް	i m aː ɾ æː ʔ
އިތުރު	i t̪ u ɾ u
އިލާހު	i l aː h u
އިސަބަ	i s̺ ə b ə
އިސް	i s̺
އިސްކަރާބު	i s̪ k ä ɾ aː b u
އިސްދޫ	i s̺ d̪ uː
އިސްތިރި	i s̪ t̪ i ɾ i
އިސްލާހު	i s̺ l aː h u
އިސްލާމް	i s̺ l əː m
އިސްޓޭޝަން	i s̪ ʈ eː ʃ ä n̪ ~ i s̪ ʈ eː s̪ ä n̪
އިޤްތިޞާދު	i ɡ t̪ i s̺ aː d̪ u
އީ	iː
އީސާގެފާނު	iː s̺ əː ɡ e f əː n u
އީޓު	iː ʈ u
އު	u
އުނދުން	uⁿ d̪ u n̪
އުނގެނެނީ	uᵑ ɡ e n̪ e n̪ iː
އުން	u n̪
އުރަނީ	u ɾ ä n̪ iː
އުރު	u ɾ u
އުރުވަނީ	u ɾ u w ä n̪ iː
އުޅި	u ɭ i
އުކަނީ	u k ä n̪ iː
އުކާލަނީ	u k aː l ä n̪ iː
އުކުނު	u k u n̪ u
އުކުޅު	u k u ɭ u
އުއި	u i
އުއްތަރުކަންދު	u t̪ː ə ɾ u k ə n̪ d̪ u
އުއްތަމަ	u t̚ t̪ ä m ä
އުއްސަނީ	u s̺ s̺ ä n̪ iː
އުއްޑުން	u ɖ ɖ u n̪
އުވަ	u w ə
އުފަން	u f ä n̪
އުފަންވަނީ	u f ä n̪ w ä n̪ iː
އުފުރަނީ	u f u ɾ ä n̪ iː
އުދަ	u d̪ ä
އުތައް	u t̪ ä ʔ
އުތީމު	u t̪ iː m u
އުތުރު	u t̪ u ɾ u
އުތުރެނީ	u t̪ u ɾ e n̪ iː
އުގެނެނީ	e ɡ e n̪ e n̪ iː
އުސް	u s̺
އުޕުރަނީ	u p u ɾ ä n̪ iː
އޫ	uː
އެ	e
އެހުން	e h u n̪
އެހެން	e h e n̪
އެނދު	eⁿ d̪ u
އެނގުން	eᵑ ɡ u n̪
އެނގެނީ	eᵑ ɡ e n̪ iː
އެންމެ	e m m e
އެކަކު	e k ə k u
އެކަމަކު	e k ə m ə k u
އެކާހައްޓި	e k əː h ə ʈː i
އެކާހަތްތެރި	e k əː h ə t̪ː e ɾ i
އެކާހި	e k əː h i
އެކާނަވައި	e k aː n̪ ä w ä i
އެކާނަވައި	e k aː n̪ ä w æː
އެކާޅީސް	e k əː ɭ iː s̺
އެކާވަންނަ	e k aː ʋ ä n̪ n̪ ä
އެކާވީސް	e k əː ʋ iː s̺
އެކު	e k u
އެކުނި	e k u n̪ i
އެކުވަނީ	e k u w ä n̪ iː
އެކުވެރި	e k u w e ɾ i
އެކުވެރިވަނީ	e k u ʋ e ɾ i ʋ ä n̪ iː
އެކުވެރިޔާ	e k u w e ɾ i j aː
އެކުގައި	e k u ɡ æː
އެކެއް	e k e ʔ
އެކޮޅަސް	e k o ɭ o s̺
އެއާ	e əː
އެއާރޕޯޓް	e əː ɾ p oː ʈ
އެއާޕޯޓް	e əː p oː ʈ
އެއް	e ʔ
އެއްތިރީސް	e t̪ː i ɾ iː s̺
އެއްލަނީ	e l l ä n̪ iː
އެވެ	e ʋ e
އެވެނި	e ʋ e n̪ i
އެމެރިކާ	e m e ɾ i k aː
އެފްރިކާ	e f ɾ i k aː
އެދުރު	e d̪ u ɾ u
އެތާ	e t̪ əː
އެތި	e t̪ i
އެތެރެ	e t̪ e ɾ e
އެތެރެވަރި	e t̪ e ɾ e ʋ ä ɾ i
އެތް	e j ʔ
އެގަރަ	e ɡ ə ɾ ə
އެގާރަ	e ɡ əː ɾ ə
އެގްރިމެންޓް	e ɡ ɾ i m e n̪ ʈ
އެޕާޓްމަންޓު	e p aː ʈ m ä n̪ ʈ u
އެޕްރީލް	e p ɾ i l
އެޖެންޓު	e d͡ʒ e n̪ ʈ u
އޭ	eː
އޭނާ	eː n̪ əː
އޭރު	eː ɾ u
އޭތި	eː t̪ i
އޭޝިއާ	eː ʃ i əː
އޮށަނި	o ʂ ə n̪ i
އޮށް	o h
އޮނަހައްޓި	o n̪ ə h ə ʈː i
އޮނަހަތްތެރި	o n̪ ə h ə t̪ː e ɾ i
އޮނައާހި	o n̪ ə ‿ əː h i
އޮނަވައި	o n̪ ə ʋ æː
އޮނަވިހި	o n̪ ə ʋ i h i
އޮނަފަންސާސް	o n̪ ə f ə n̪ s̺ əː s̺
އޮނަތިރީސް	o n ə t̪ i ɾ iː s̺
އޮނަސާޅީސް	o n̪ ə s̺ əː ɭ iː s̺
އޮނު	o n̪ u
އޮންނަނީ	o n̪ n̪ ä n̪ iː
އޮރިއްސާ	o ɾ i s̺ː əː
އޮރެންޖުކުލަ	o ɾ e n̪ d͡ʒ u k u l ə
އޮބަނީ	o b ä n̪ iː
އޮޅަނީ	o ɭ ä n̪ iː
އޮޅުދޫ	o ɭ u d̪ uː
އޮޅުދޫކަރަ	o ɭ u d̪ uː k ä ɾ ä
އޮކްޓޫބަރު	o k ʈ uː b ə ɾ u
އޮއްސަނީ	o s̺ s̺ ä n̪ iː
އޮއްސެނީ	o s̺ s̺ e n̪ iː
އޮފީސް	o f iː s̺
އޮތުން	o t̪ u n̪
އޮލަނބު	o l äᵐ b u
އޮސްޓަރުލިޔާ	o s̺ ʈ ä ɾ u l i j aː
އޮސްޓްރޭލިއާ	o s̺ ʈ ɾ eː l i aː
އޮޑި	o ɖ i
އް	ŋ
އް	ʔ
އްސުރެ	s̺ː u ɾ e
އްޔާ	jː əː
ވ	v ~ w
ވަ	w ä
ވަށަނީ	w ä ʂ ä n̪ iː
ވަނދު	w äⁿ d̪ u
ވަނަ	ʋ ə n̪ ə
ވަނީ	ʋ ə n̪ iː
ވަންހަ	w ä n̪ h ä
ވަންނަނީ	ʋ ə n̪ n̪ ə n̪ iː
ވަންގަ	w ä n̪ ɡ ä
ވަރަށް	ʋ ä ɾ ä h
ވަރު	ʋ ä ɾ u
ވަރުގަދަ	ʋ ä ɾ u ɡ ä d̪ ä
ވަރޮ	ʋ ä ɾ o
ވަޅި	ʋ ə ɭ i
ވަޅު	w ä ɭ u
ވަޅުކޮޓަރި	w ä ɭ u k o ʈ ä ɾ i
ވަކިވެލަން	ʋ ə k i ʋ e l ə n̪
ވައި	ʋ æː
ވައިކަރަދޫ	ʋ a i k a ɾ a d̪ uː ~ ʋ æː k a ɾ a d̪ uː
ވައިގެބަނދަރު	ʋ æː ɡ e b əⁿ d̪ ə ɾ u
ވައްކަން	w ä k̚ k a n̪
ވައްކަންކުރަނީ	w ä k̚ k a n̪ k u ɾ ä n̪ iː
ވައްޓަނީ	ʋ ə ʈ ʈ ə n̪ iː
ވައްޓުވަނީ	ʋ ə ʈ ʈ u w ə n̪ iː
ވަގު	w ä ɡ u
ވަގުތު	w ä ɡ u t̪ u
ވަޑި	w ä ɖ i
ވަޒީރު	w ä z̺ iː ɾ u
ވާ	ʋ aː
ވާހަކަ	w aː h ä k ä
ވާހަކަދައްކަނީ	w aː h ä k ä d̪ ä k̚ k ä n̪ iː
ވާނެ	ʋ əː n̪ e
ވާރު	ʋ aː ɾ u
ވާވު	ʋ əː ʋ u
ވާލި	w aː l i
ވިހަ	v i h ä
ވިހަނީ	v i h ä n̪ iː
ވިހާރަ	ʋ i h aː ɾ ä
ވިހި	ʋ i h i
ވިހެނީ	v i h e n̪ iː
ވިނަ	ʋ i n̪ ä
ވިރުސިކަ	ʋ i ɾ u s̺ i k ə
ވިއެޓުނާމު	ʋ i e ʈ u n̪ aː m u
ވިއްސާރަ	ʋ i s̺ s̺ aː ɾ ä
ވިދުވަރު	v i d̪ u w ä ɾ u
ވިލާ	ʋ e l əː
ވިލާ	ʋ i l əː
ވިލާތް	ʋ i l əː i j ʔ
ވިލިންގިލި	ʋ i l i n̪ ɡ i l i
ވިޔަނަ	v i j ä n̪ ä
ވިޔަނި	v i j ä n̪ i
ވިޔަޒޯރު	v i j ä z oː ɾ u
ވުން	w u n̪
ވުރެ	ʋ u ɾ e
ވެ	ʋ e
ވެހަ	ʋ e h ä
ވެހި	ʋ e h i
ވެހެ	ʋ e h e
ވެނި	ʋ e n̪ i
ވެން	ʋ e ŋ
ވެރި	ʋ e ɾ i
ވެރިރަށް	ʋ e ɾ i ɾ ä h
ވެރިޔާ	ʋ e ɾ i j əː
ވެރު	ʋ e ɾ u
ވެއު	ʋ e u
ވެއްޓެނީ	ʋ e ʈ ʈ e n̪ iː
ވެއްޖެ	ʋ e d͡ʒː e
ވެލާ	ʋ e l aː
ވެލާނާ	ʋ e l aː n̪ aː
ވެލި	ʋ e l i
ވެސް	ʋ e s̺
ވެޑެ	ʋ e ɖ e
ވޭރު	ʋ eː ɾ u
ވޮށް	ʋ o ʔ
މަ	m ə
މަހަންޝްރީ	m ä h ä n̪ ʃ ɾ iː
މަހަލް	m ə h ə l
މަހާ	m ə h əː
މަހާރާޝްތުރާ	m ə h əː ɾ əː ʃ t̪ u ɾ əː
މަހިލަދޫ	m ä h i l ä d̪ uː
މަނަ	m ä n̪ ä
މަނަވަރު	m ə n̪ ə ʋ ə ɾ u
މަނަސް	m ä n̪ ä s̺
މަނާ	m ə n̪ əː
މަނިއްޕުޅު	m ä n̪ i p̚ p u ɭ u
މަނިޕޫރު	m ə n̪ i p uː ɾ u
މަންތިރި	m ä n̪ t̪ i ɾ i
މަރަދޫ	m ä ɾ ä d̪ uː
މަރާޓީ	m ə ɾ əː ʈ iː
މަރު	m ä ɾ u
މަރުކަޒު	m ä ɾ u k ä z̺ u
މަރުވަނީ	m ä ɾ u w ä n̪ iː
މަރުތެޔޮ	m ä ɾ u t̪ e j o
މަރުޙަބާ	m ä ɾ u h ä b aː
މަރޮށި	m ä ɾ o ʂ i
މަކަރަ	m ə k ə ɾ ə
މަކުނު	m ə k u n̪ u
މައިންބަފައިން	m ä i n̪ b ä f ä i n̪
މައިންބަފައިން	m æː n̪ b ä f æː n̪
މައިޒާން	m æː z əː n̪
މައްތިރި	m ä t̪ t̪ i ɾ i
މައްޗަށް	m ä t̚ t͡ʃ a h
މަދިރި	m ä d̪ i ɾ i
މަދު	m ä d̪ u
މަދުރަސާ	m ä d̪ u ɾ ä s̺ aː
މަދޮށި	m ä d̪ o ʂ i
މަތި	m ä t̪ i
މަތިކުރަނީ	m ä t̪ i k u ɾ ä n̪ iː
މަތިމަސް	m a t̪ i m a s̺
މަތިގެ	m ä t̪ i ɡ e
މަތީ	m ä t̪ iː
މަލަ	m ä l ä
މަލާމާތް	m ä l aː m æː ʔ
މަލިކު	m ä l i k u
މަގު	m ə ɡ u
މަސައްކަތު	m ä s̺ ä k k ä t̪ u
މަސީހީދީން	m ə s̺ i h iː d̪ iː n̪
މަސް	m ä s̺
މަޑި	m ä ɖ i
މަޑު	m ä ɖ u
މަޑުލަ	m ä ɖ u l ä
މަޑުލު	m ä ɖ u l u
މަޑޮ	m ä ɖ o
މަޒުމޫނު	m a z u m uː n̪ u
މަޖިލިސް	m ä d͡ʒ i l i s̪
މާ	m əː
މާނު	m əː n̪ u
މާރޗް	m aː ɾ t ʃ
މާޅޮސް	m aː ɭ o s̺
މާޅޮސްމަޑުލު	m aː ɭ o s̺ m ä ɖ u l u
މާވަހަރު	m aː ʋ ä h ä ɾ u
މާމަ	m aː m ä
މާމަކުނުދޫ	m aː m ä k u n̪ u d̪ uː
މާފުށް	m aː f u h
މާދަރީ	m əː d̪ ə ɾ iː
މާދާމަ	m aː d̪ aː m ä
މާތާޕިތާ	m aː t̪ aː p i t̪ aː
މާތް	m æː ʔ
މާލިމީ	m aː l i m iː
މާލެ	m aː l e
މާޒީ	m əː z̺ iː
މި	m i
މިހާރު	m i h əː ɾ u
މިހެން	m i h e n̪
މިނި	m i n̪ i
މިނިކާ	m i n̪ i k aː
މިނިކާރާއްޖެ	m i n̪ i k aː ɾ aː d̚ d͡ʒ e
މިނިސްޓަރު	m i n̪ i s̪ ʈ ä ɾ u
މިނެޓު	m i n̪ e ʈ u
މިރުސް	m i ɾ u s̺
މިއަންމާ	m i ä n̪ m aː
މިއަދު	m i ä d̪ u
މިއުޒިކް	m i u z̺ i k
މިވެނި	m i ʋ e n̪ i
މިތާ	m i t̪ əː
މިތުނަ	m i t̪ u n̪ ə
މިތުރު	m i t̪ u ɾ u
މިލަދުންމަޑުލު	m i l ä d̪ u m m ä ɖ u l u
މިލެނީ	m i l e n̪ iː
މިސްކިތް	m i s̺ k i j ʔ
މިޔަރު	m i j ə ɾ u
މިޞްރު	m i s̺ ɾ u
މީހާ	m iː h əː
މީހުން	m iː h u n̪
މީނާ	m iː n̪ əː
މީންޏަ	m iː ɲ ɲ ə
މީރު	m iː ɾ u
މީރުބަހަރު	m iː ɾ u b ä h ä ɾ u
މީބަ	m iː b ä
މީމު	m iː m u
މުށި	m u ʂ i
މުށް	m u h
މުނިކާފަ	m u n̪ i k aː f ä
މުނިމާމަ	m u n̪ i m aː m ä
މުން	m u n̪
މުންނާރު	m u n̪ n̪ aː ɾ u
މުރަކަ	m u ɾ ä k ä
މުޅަ	m u ɭ ä
މުޅާ	m u ɭ əː
މުކަ	m u k ə
މުކުރިޔާ	m u k u ɾ i j aː
މުއްތު	m u t̪ t̪ u
މުދައްރިސު	m u d̪ ä r r i s̺ u
މުލަކަތޮޅު	m u l ä k ä t̪ o ɭ u
މުލި	m u l i
މުލިއާގެ	m u l i aː ɡ e
މުގު	m u ɡ u
މުގުރާން	m u ɡ u ɾ aː n̪
މުގުރު	m u ɡ u ɾ u
މުސަޅު	m u s̪ a ɭ u
މުޙައްރަމް	m u h ə ɾ ɾ ə m
މުޙައްމަދު	m u h ə m m ə d̪ u
މުޙައްމަދުގެފާނު	m u h ə m m ə d̪ u ɡ e f əː n u
މުޢައްލިމް	m u ʔ ä l l i m
މޫނު	m uː n̪ u
މޫދު	m uː d̪ u
މޫސުން	m uː s̺ u n̪
މޫޑަނީ	m uː ɖ ä n̪ iː
މޫޑު	m uː ɖ u
މެ	m e
މެހި	m e h i
މެހެތި	m e h e t̪ i
މެނުވީ	m e n̪ u ʋ iː
މެން	m e n̪
މެންދުރު	m e n̪ d̪ u ɾ u
މެދުއިރުމަތި	m e d̪ u i ɾ u m ä t̪ i
މެލޭޝިޔާ	m e l eː ʃ i j aː
މޭދާ	m eː d̪ aː
މޭސަ	m eː s̺ ə
މޭޒު	m eː z̺ u
މޮސްކޯ	m o s̺ k oː
މޮޑެނީ	m o ɖ e n̪ iː
މޮޓަ	m o ʈ ä
މޯ	m oː
މޯޅާވަނީ	m oː ɭ aː ʋ ä n̪ iː
ފަހަނީ	f ä h ä n̪ iː
ފަހަރީ	f ä h ä ɾ iː
ފަހަރު	f ä h ä ɾ u
ފަހު	f ə h u
ފަހުރު	f ä h u ɾ u
ފަހުމު	f ä h u m u
ފަހެއް	f ə h e ʔ
ފަށަނީ	f ə ʂ ə n̪ iː
ފަށަން	f ä ʂ ä n̪
ފަށައިގެން	f ä ʂ ä i ɡ e n̪ ~ f ä ʂ æː ɡ e n̪
ފަނގު	f äᵑ ɡ u
ފަނސަތިރީސް	f ə n s̺ ə t̪ i ɾ iː s̺
ފަނޑިޔާރު	f äᶯ ɖ i j aː ɾ u
ފަނޑު	f äᶯ ɖ u
ފަނަރަ	f ə n̪ ə ɾ ə
ފަނަމި	f ä n̪ ä m i
ފަނާވަނީ	f ä n̪ aː ʋ ä n̪ iː
ފަނި	f ä n̪ i
ފަންތި	f ä n̪ t̪ i
ފަންގި	f ä n̪ ɡ i
ފަންސަހައްޓި	f ə n̪ s̺ ə h ə ʈː i
ފަންސަހަތްތެރި	f ə n̪ s̺ ə h ə t̪ː e ɾ i
ފަންސަވަންނަ	f ə n̪ s̺ ə ʋ ə n̪ː ə
ފަންސަޔާހި	f ə n̪ s̺ ə j əː h i
ފަންސަޔާނަވައި	f ə n̪ s̺ ə j əː n̪ ə ʋ æː
ފަންސަޔާޅީސް	f ə n̪ s̺ ə j əː ɭ iː s̺
ފަންސާސް	f ə n̪ s̺ əː s̺
ފަންސުރު	f ə n̪ s̺ u ɾ u
ފަންޑިތަ	f ə n̪ ɖ i t̪ ə
ފަންޑިތަވެރިޔާ	f ə n̪ ɖ i t̪ ə ʋ e ɾ i j əː
ފަރަންޖީ	f ä ɾ ä n̪ d͡ʒ iː
ފަރާތުން	f ä ɾ aː t̪ u n̪
ފަރުމާނު	f ä ɾ u m aː n̪ u
ފަޅި	f ä ɭ i
ފަޅު	f a ɭ u
ފަޅޯ	f ä ɭ oː
ފަކުސަމަ	f ə k u s̺ ə m ə
ފައިސާ	f ä i s̺ aː
ފައިސާ	f æː s̺ aː
ފައުރާ	f ä u ɾ aː
ފައުރު	f ä u ɾ u
ފައުރޮ	f ä u ɾ o
ފައުލަ	f ə u l ə
ފައެރެ	f ä e ɾ e
ފައްޅި	f ə ɭː i
ފައްކާ	f ä k k aː
ފައްޓަނީ	f ə ʈ ʈ ə n̪ iː
ފަވަރަ	f ä ʋ ä ɾ ä
ފަތި	f ä t̪ i
ފަލި	f ä l i
ފަސިންޖަރު	f ä s̪ i n̪ d͡ʒ ä ɾ u
ފަސް	f ä s̺
ފަސްދޫތެރޭ	f ä s̺ d̪ uː t̪ e ɾ eː
ފަޓާސް	f ä ʈ aː s̪
ފަޓުލޫނު	f ä ʈ u l uː n̪ u
ފާ	f əː
ފާނޫޒު	f aː n̪ uː z̺ u
ފާރާ	f aː ɾ aː
ފާރިސީ	f aː ɾ i s̪ iː
ފާރު	f aː ɾ u
ފާރޮށިގެ	f aː ɾ o ʂ i ɡ e
ފާފު	f aː f u
ފާދިރީ	f aː d̪ i ɾ iː
ފާދިއްޕޮޅު	f aː d̪ i p̚ p o ɭ u
ފާލަން	f aː l ä ŋ
ފާޚާނާ	f aː h aː n̪ aː
ފި	f i
ފިހާރަ	f i h aː ɾ ä
ފިނދު	f iⁿ d̪ u
ފިރި	f i ɾ i
ފިލާ	f i l aː
ފިލާވަޅު	f i l aː w ä ɭ u
ފިލި	f i l i
ފިލިނިމެނީ	f i l i n̪ i m e n̪ iː
ފިލިޕީންސް	f i l i p iː n̪ s̺
ފިސްޓޯލަ	f i s̪ ʈ oː l ä
ފިޔަވާ	f i j ə ʋ əː
ފިޔާ	f i j əː
ފިޔާދާ	f i j əː d̪ əː
ފިޔޮހި	f i j o h i
ފިޖީ	f i d͡ʒ iː
ފީނަނީ	f iː n̪ ä n̪ iː
ފީރު	f iː ɾ u
ފީތާ	f iː t̪ aː
ފުހައްޔާ	f u h ä j j aː
ފުށި	f u ʂ i
ފުށް	f u h
ފުނަ	f u n̪ ä
ފުނާ	f u n̪ aː
ފުންނާކު	f u n̪ n̪ aː k u
ފުންމަނީ	f u m m a n̪ iː
ފުރަ	f u ɾ ä
ފުރައައްތަ	f u ɾ ä ä t̪ t̪ ä
ފުރަމާނަ	f u ɾ a m aː n̪ a
ފުރަދާނަ	f u ɾ ä d̪ aː n̪ ä
ފުރާ	f u ɾ əː
ފުރުދު	f u ɾ u d̪ u
ފުރޭނި	f u ɾ eː n̪ i
ފުރޭތަ	f u ɾ eː t̪ ä
ފުރޭތި	f u ɾ eː t̪ i
ފުރޮޅެނީ	f u ɾ o ɭ e n̪ iː
ފުޅާ	f u ɭ aː
ފުޅު	f u ɭ u
ފުވައްމުލައް	f u w ä m m u l ä ʔ
ފުތް	f u j ʔ
ފުލާންޖީބު	f u l aː n̪ d͡ʒ i b
ފުލުސް	f u l u s̺
ފޫރުއްބަ	f uː ɾ u b b ä
ފޫޅު	f uː ɭ u
ފޫޅުމާމަ	f uː ɭ u m aː m ä
ފެހިކުލަ	f e h i k u l ə
ފެހުރިހި	f e h u ɾ i h i
ފެނަ	f e n̪ ä
ފެން	f e ŋ
ފެންނަނީ	f e n̪ n̪ ə n̪ iː
ފެންގަނޑު	f e n̪ ɡ äᶯ ɖ u
ފެރިދޫ	f e ɾ i d̪ uː
ފެރޭތަ	f e ɾ eː t̪ ä
ފެބްރުއަރީ	f e b r u ə ɾ iː
ފެލިދެ	f e l i d̪ e
ފޭރު	f eː ɾ u
ފޮނަދޫ	f o n̪ ə d̪ uː
ފޮނި	f o n̪ i
ފޮނު	f o n̪ ä
ފޮނުވަނީ	f o n̪ u w ä n̪ iː
ފޮނޭއާ	f o n̪ eː aː
ފޮއި	f o e
ފޮއް	f o ʔ
ފޮތި	f o t̪ i
ފޮތް	f o j ʔ
ފޮތްފިހާރަ	f o f f i h aː ɾ ä
ފޯންޗު	f oː n̪ t͡ʃ u
ފޯއް	f oː ʔ
ދ	d̪
ދަހަނާގަ	d̪ ə h ə n̪ əː ɡ ə
ދަހީ	d̪ ə h iː
ދަށް	d̪ ä h
ދަނބިދަރި	d̪ äᵐ b i d̪ ä ɾ i
ދަނބު	d̪ əᵐ b u
ދަނބުކުލަ	d̪ əᵐ b u k u l ə
ދަނޑި	d̪ äᶯ ɖ i
ދަނޑު	d̪ äᶯ ɖ u
ދަނަ	d̪ ə n̪ ə
ދަނާރު	d̪ ä n̪ aː ɾ u
ދަނީ	d̪ ə n̪ iː
ދަނު	d̪ a n̪ u
ދަން	d̪ ä ŋ
ދަންނަނީ	d̪ ə n̪ n̪ ə n̪ iː
ދަންބި	t ä n̪ b i
ދަންވަރު	d̪ ə n̪ ʋ ə ɾ u
ދަރަވަންދޫ	d̪ ä ɾ ä ʋ ä n̪ d̪ uː
ދަރިކޮޅު	d̪ ä ɾ i k o ɭ u
ދަރުމަ	d̪ ə ɾ u m ə
ދަރުޝަނަ	d̪ ə ɾ u ʃ ə n̪ ə
ދަބު	d̪ a b u
ދައްކަނީ	d̪ ä k̚ k ä n̪ iː
ދަވަނީ	d̪ ä ʋ ä n̪ iː
ދަވަޅު	d̪ ə ʋ ə ɭ u
ދަމަނީ	d̪ ä m ä n̪ iː
ދަތުރު	d̪ ä t̪ u ɾ u
ދަތުރުވެރިޔާ	d̪ ä t̪ u ɾ u w e ɾ i j aː
ދަތް	d̪ æ ʔ
ދަތްކާރުވަނީ	d̪ æ ʔ k aː ɾ u w ä n̪ iː
ދާ	d̪ əː
ދާން	d̪ aː n̪
ދާލު	d̪ əː l u
ދާގަބަ	d̪ əː ɡ ə b ə
ދިނުން	d̪ i n̪ u n̪
ދިރި	d̪ i ɾ i
ދިއްދޫ	d̪ i d̪ː uː
ދިއްލެނީ	d̪ i l l e n̪ iː
ދިވެހި	d̪ i ʋ e h i
ދިވެހިރާއްޖެ	d̪ i ʋ e h i ɾ aː d̚ d ʒ e
ދިދަ	d̪ i d̪ ä
ދިލާވަރު	d̪ i l aː w ä ɾ u
ދިގު	d̪ i ɡ u
ދިޔަ	d̪ i j ə
ދިޔާ	d̪ i j əː
ދިޔުން	d̪ ä n̪ iː
ދިޔޯ	d̪ i j oː
ދީން	d̪ iː n̪
ދުނި	d̪ u n̪ i
ދުނިޔެ	d̪ u n̪ i j e
ދުއިސައްތަ	d̪ u i s̺ ə t̪ː ə
ދުއްކާނު	d̪ u kː əː n̪ u
ދުވަނީ	d̪ u w ə n̪ i
ދުވަސް	d̪ u w ə s̺
ދުވާފަރު	d̪ u w aː f ä ɾ u
ދޫ	d̪ uː
ދޫނި	d̪ uː n̪ i
ދޫވެހި	d̪ uː ʋ e h i
ދޫލަ	d̪ uː l ä
ދެ	d̪ e
ދެނީ	d̪ e n̪ iː
ދެން	d̪ e n̪
ދެންމެ	d̪ e m m e
ދެރި	d̪ e ɾ i
ދެރިޔަ	d̪ e ɾ i j ə
ދެކުނު	d̪ e k u n̪ u
ދެކުން	d̪ e k u n̪
ދެކެ	d̪ e k e
ދެކެނީ	d̪ e k e n̪ iː
ދެވި	d̪ e ʋ i
ދެލި	d̪ e l i
ދެގުނަ	d̪ e ɡ u n̪ ä
ދޭއް	d̪ eː ʔ
ދޭވަތާ	d̪ eː ʋ ä t̪ aː
ދޮށި	d̪ o ʂ i
ދޮނަޅަ	d̪ o n̪ ä ɭ ä
ދޮންކެޔޮ	d̪ o n̪ k e j o
ދޮރު	d̪ o ɾ u
ދޮޅަސް	d̪ o ɭ ä s̺
ދޮޅި	d̪ o ɭ i
ދޮޅު	d̪ o ɭ u
ދޯނި	d̪ oː n̪ i
ދޯޅު	d̪ oː ɭ u
ތ	t̪
ތަ	t̪ ä
ތަހުގީގު	t̪ a h u ɡ iː ɡ u
ތަށި	t̪ ä ʂ i
ތަށިމުށި	t̪ ä ʂ i m u ʂ i
ތަނބުރު	t̪ äᵐ b u ɾ u
ތަން	t̪ ə n̪
ތަންބޫރަ	t̪ ə n̪ b uː ɾ ə
ތަރި	t̪ ä ɾ i
ތަރުމޯޒު	t̪ ä ɾ u m oː z u
ތަޅަނީ	t̪ ä ɭ ä n̪ iː
ތަޅު	t̪ ä ɭ u
ތަކުރު	t̪ ä k u ɾ u
ތައިވާން	t̪ æː ʋ əː n̪
ތައް	t̪ ä ʔ
ތައްޓު	t̪ ä ʈ ʈ u
ތައްޔާރު	t̪ ä j j aː ɾ u
ތައްޔާރޮ	t̪ ä j j aː ɾ o
ތަވާ	t̪ ä ʋ aː
ތަމަޅަ	t̪ ä m ä ɭ ä
ތަފުރީލު	t̪ ä f u ɾ iː l u
ތަފުރުނު	t̪ ä f u ɾ u n̪ u
ތަފްސީރު	t̪ ä f s̺ iː ɾ u
ތަލި	t̪ ä l i
ތަޢުލީމް	t̪ ä ʔ u l iː m
ތާ	t̪ əː
ތާނަ	t̪ aː n̪ ä
ތާރީޚު	t̪ aː ɾ iː h u
ތާލު	t̪ əː l u
ތާސީރު	t̪ aː s̺ iː ɾ u
ތާސް	t̪ aː s̺
ތާޓު	t̪ aː ʈ u
ތި	t̪ i
ތިނަ	t̪ i n̪ ä
ތިނަދޫ	t̪ i n̪ ə d̪ uː
ތިނެއް	t̪ i n̪ e ʔ
ތިރީސް	t̪ i ɾ iː s̺
ތިބެނީ	t̪ i b e n̪ iː
ތިކި	t̪ i k i
ތިމަން	t̪ i m ä n̪
ތިމަންނަ	t̪ i m ä n n ä
ތިމަންކަލޭގެފާނު	t̪ i m ə n̪ k ə l eː ɡ e f əː n̪ u
ތިމަންސުވާމީންގެ	t i m ə n̪ s̺ u ʋ əː m iː n̪ ɡ e
ތިލަ	t̪ i l ä
ތިލަދުންމަތީ	t̪ i l ä d̪ u m m ä t̪ iː
ތީ	t̪ iː
ތީނާ	t̪ iː n̪ əː
ތީމު	t̪ iː m u
ތުނޑު	t̪ uᶯ ɖ u
ތުނި	t̪ u n̪ i
ތުން	t̪ u n̪
ތުންބަކަނޑު	t̪ u n̪ b ä k äᶯ ɖ u
ތުންގަނޑު	t̪ u n̪ ɡ äᶯ ɖ u
ތުރިޕޫރާ	t̪ u ɾ i p uː ɾ aː
ތުރުކީ	t̪ u ɾ u k iː
ތުލަ	t̪ u l ä
ތޫނު	t̪ uː n̪ u
ތެރި	t̪ e ɾ i
ތެޅެނީ	t̪ e ɭ e n̪ iː
ތެއްތިރީސް	t̪ e t̪ː i ɾ iː s̺
ތެތް	t̪ e j ʔ
ތެލަ	t̪ e l ä
ތެލެއާ	t̪ e l e aː
ތެލެގަސް	t̪ e l e ɡ ä s̺
ތެޔާހި	t̪ e j əː h i
ތެޔާނަވައި	t̪ e j əː n̪ ə ʋ æː
ތެޔާޅީސް	t̪ e j əː ɭ iː s̺
ތެޔޮ	t̪ e j o
ތޭހައްޓި	t̪ eː h ä ʈ ʈ i
ތޭހަތްތެރި	t̪ eː h ə t̪ː e ɾ i
ތޭރަ	t eː ɾ ə
ތޭރި	t̪ eː ɾ i
ތޭވަންނަ	t̪ eː ʋ ä n̪ n̪ ä
ތޮށި	t̪ o ʂ i
ތޮނަ	t̪ o n̪ ä
