அஃது	ɐ ɦ d̪ ɯ
கிறுக்கு	ɡ i r u kː ɯ
கிற்பு	k i r p ɯ
கிளப்பு	k i ɭ ɐ pː ɯ
கிளம்பு	k i ɭ ɐ m b ɯ
கிளர்த்து	k i ɭ ɐ ɾ t̪ː ɯ
கிளறு	k i ɭ ɐ r ɯ
கிளைப்பு	k i ɭ a ɪ̯ pː ɯ
கிள்ளு	k i ɭː ɯ
கிழக்கு	k i ɻ ɐ kː ɯ
கிழங்கு	k i ɻ ɐ ŋ ɡ ɯ
கிழவு	k i ɻ ɐ ʋ ɯ
கீறு	k iː r ɯ
கீழ்காற்று	k iː ɻ ɡ aː t r ɯ
குசராத்	k u s ɐ ɾ aː t̪
குஞ்சு	k u ɲ d͡ʑ ɯ
குடசப்பாலை	k u ɖ ɐ s ɐ pː aː l a ɪ̯
குடிசை	k u ɖ i s a ɪ̯
குடியரசு	k u ɖ i j ɐ ɾ ɐ s ɯ
குடியிருப்பு	k u ɖ i j i ɾ u pː ɯ
குணிப்பு	k u ɳ i pː ɯ
குத்து	k u t̪ː ɯ
குன்றம்	k u n d r ɐ m
குன்றின்	k u n d r i n
குன்றிமணி	k u n d r i m ɐ ɳ i
குன்று	k u n d r ɯ
கும்பிடு	k u m b i ɖ ɯ
குரங்கு	k u ɾ ɐ ŋ ɡ ɯ
குரு	k u ɾ ɯ
குரு	ɡ u ɾ ɯ
குருசு	k u ɾ u s ɯ
குருடு	k u ɾ u ɖ ɯ
குருட்டுக்கொக்கு	k u ɾ u ʈː u kː o kː ɯ
குருத்து	k u ɾ u t̪ː ɯ
குருத்தெலும்பு	k u ɾ u t̪ː e l u m b ɯ
குருத்தோலைஞாயிறு	k u ɾ u t̪ː oː l a ɪ̯ ɲ aː j i r ɯ
குருவிரசு	k u ɾ u ʋ i ɾ ɐ s ɯ
குறங்கு	k u r ɐ ŋ ɡ ɯ
குறித்து	k u r i t̪ː ɯ
குறிப்பு	k u r i pː ɯ
குறியீடு	k u r i j iː ɖ ɯ
குறுகு	k u r u ɡ ɯ
குற்றங்கள்	k u t r ɐ ŋ ɡ ɐ ɭ
குற்றச்சாட்டு	k u t r ɐ t͡ɕː aː ʈː ɯ
குற்றம்	k u t r ɐ m
குற்றி	k u t r i
குற்றியலிகரம்	k u t r i j ɐ l i ɡ ɐ ɾ ɐ m
குற்றியலுகரம்	k u t r i j ɐ l u ɡ ɐ ɾ ɐ m
குலுக்கு	k u l u kː ɯ
குலுங்கு	k u l u ŋ ɡ ɯ
குளிப்பு	k u ɭ i pː ɯ
குளிர்ப்பு	k u ɭ i ɾ pː ɯ
குழம்பு	k u ɻ ɐ m b ɯ
குழிசி	k u ɻ i s i
குழிவு	k u ɻ i ʋ ɯ
குழைவு	k u ɻ a ɪ̯ ʋ ɯ
குவார்ட்சு	k u ʋ aː ɾ ʈ s ɯ
கூசு	k uː s ɯ
கூடு	k uː ɖ ɯ
கூடைப்பந்து	k uː ɖ a ɪ̯ pː ɐ n̪ d̪ ɯ
கூட்டரவு	k uː ʈː ɐ ɾ ɐ ʋ ɯ
கூட்டு	k uː ʈː ɯ
கூட்டுறவு	k uː ʈː u r ɐ ʋ ɯ
கூத்தாடு	k uː t̪ː aː ɖ ɯ
கூத்து	k uː t̪ː ɯ
கூப்பிடு	k uː pː i ɖ ɯ
கூரைவீடு	k uː ɾ a ɪ̯ ʋ iː ɖ ɯ
கூறு	k uː r ɯ
கூற்று	k uː t r ɯ
கூவிளம்	k uː ʋ ɨ ɭ ə m
கெஞ்சு	k e ɲ d͡ʑ ɯ
கெடு	k e ɖ ɯ
கெட்டு	k e ʈː ɯ
கெழு	k e ɻ ɯ
கேடு	k eː ɖ ɯ
கேதுரு	k eː d̪ u ɾ ɯ
கேள்விப்படு	k eː ɭ ʋ i pː ɐ ɖ ɯ
கேழ்வரகு	k eː ɻ ʋ ɐ ɾ ɐ ɡ ɯ
கைது	k a ɪ̯ d̪ ɯ
கைப்பு	k a ɪ̯ pː ɯ
கையூட்டு	k a ɪ̯ j uː ʈː ɯ
கொக்கு	k o kː ɯ
கொங்கு	k o ŋ ɡ ɯ
கொசு	k o s ɯ
கொஞ்சு	k o ɲ d͡ʑ ɯ
கொடிப்பாசி	k o ɖ i pː aː s i
கொடு	k o ɖ ɯ
கொடும்பாடு	k o ɖ u m b aː ɖ ɯ
கொட்டு	k o ʈː ɯ
கொண்டபாடு	k o ɳ ɖ ɐ b aː ɖ ɯ
கொண்டாடு	k o ɳ ɖ aː ɖ ɯ
கொண்டாட்டு	k o ɳ ɖ aː ʈː ɯ
கொண்டு	k o ɳ ɖ ɯ
கொண்டுகூற்று	k o ɳ ɖ u ɡ uː t r ɯ
கொம்பு	k o m b ɯ
கொற்றம்	k o t r ɐ m
கொற்றவை	k o t r ɐ ʋ a ɪ̯
கொலுசு	k o l u s ɯ
கொலுசு	ɡ o l u s ɯ
கொல்லறு	k o l l ɐ r ɯ
கொல்லற்றுவேலை	k o l l ɐ t r u ʋ eː l a ɪ̯
கொழுப்பு	k o ɻ u pː ɯ
கொழும்பு	k o ɻ u m b ɯ
கோசம்	k oː s ɐ m
கோடகசாலை	k oː ɖ ɐ ɡ ɐ s aː l a ɪ̯
கோடு	k oː ɖ ɯ
கோட்பாடு	k oː ʈ p aː ɖ ɯ
கோணு	k oː ɳ ɯ
கோந்து	k oː n̪ d̪ ɯ
கோந்து	ɡ oː n̪ d̪ ɯ
கோப்பு	k oː pː ɯ
கோளாறு	k oː ɭ aː r ɯ
கோழிக்கோடு	k oː ɻ i kː oː ɖ ɯ
கோவசூரி	k oː ʋ ɐ s uː ɾ i
ச	s ɐ
சகசரி	s ɐ ɡ ɐ s ɐ ɾ i
சகதி	s ɐ ɡ ɐ d̪ i
சகரியா	s ɐ ɡ ɐ ɾ i j aː
சகி	s ɐ ɡ i
சகிப்பு	s ɐ ɡ i pː ɯ
சகோ	s ɐ ɡ oː
சகோதரன்	s ɐ ɡ oː d̪ ɐ ɾ ɐ n
சகோதரி	s ɐ ɡ oː d̪ ɐ ɾ i
சக்கரை	s ɐ kː ɐ ɾ a ɪ̯
சக்கை	s ɐ kː a ɪ̯
சக்தி	s ɐ k t̪ i
சங்கடம்	s ɐ ŋ ɡ ɐ ɖ ɐ m
சங்கத்தமிழ்	s ɐ ŋ ɡ ɐ t̪ː ɐ m i ɻ
சங்கம்	s ɐ ŋ ɡ ɐ m
சங்கரன்	s ɐ ŋ ɡ ɐ ɾ ɐ n
சங்கீதம்	s ɐ ŋ ɡ iː d̪ ɐ m
சசம்	s ɐ s ɐ m
சச்சம்	s ɐ t͡ɕː ɐ m
சஞ்சலம்	s ɐ ɲ d͡ʑ ɐ l ɐ m
சடங்கு	s ɐ ɖ ɐ ŋ ɡ ɯ
சடாலம்	s ɐ ɖ aː l ɐ m
சடுதி	s ɐ ɖ u d̪ i
சடுத்தம்	s ɐ ɖ u t̪ː ɐ m
சடை	s ɐ ɖ a ɪ̯
சடையன்	s ɐ ɖ a ɪ̯ j ɐ n
சட்டசபை	s ɐ ʈː ɐ s ɐ b a ɪ̯
சட்டதிட்டம்	s ɐ ʈː ɐ d̪ i ʈː ɐ m
சட்டமன்றம்	s ɐ ʈː ɐ m ɐ n d r ɐ m
சட்டம்	s ɐ ʈː ɐ m
சட்டம்பி	s ɐ ʈː ɐ m b i
சட்டி	s ɐ ʈː i
சட்டை	s ɐ ʈː a ɪ̯
சட்னி	s ɐ ʈ n i
சணல்	s ɐ ɳ ɐ l
சண்டிகர்	s ɐ ɳ ɖ i ɡ ɐ ɾ
சண்டை	s ɐ ɳ ɖ a ɪ̯
சதகுப்பி	s a d ə ɣ ʉ pː ɨ
சதகுப்பை	s a d ə ɣ ʉ pː a ɪ
சதம்	s ɐ d̪ ɐ m
சதா	s ɐ d̪ aː
சதாசிவன்	s ɐ d̪ aː s i ʋ ɐ n
சதுரங்கம்	s ɐ d̪ u ɾ ɐ ŋ ɡ ɐ m
சதுரம்	s ɐ d̪ u ɾ ɐ m
சதுர்முகன்	s ɐ d̪ u ɾ m u ɡ ɐ n
சதுர்யுகம்	s ɐ d̪ u ɾ j u ɡ ɐ m
சதுர்வருணம்	s ɐ d̪ u ɾ ʋ ɐ ɾ u ɳ ɐ m
சதை	s ɐ d̪ a ɪ̯
சத்தம்	s ɐ t̪ː ɐ m
சத்தி	s ɐ t̪ː i
சத்தியம்	s ɐ t̪ː i j ɐ m
சத்திரம்	s ɐ t̪ː i ɾ ɐ m
சத்தீசுகர்	s ɐ t̪ː iː s u ɡ ɐ ɾ
சத்து	s ɐ t̪ː ɯ
சத்துரு	s ɐ t̪ː u ɾ ɯ
சந்தனம்	s ɐ n̪ d̪ ɐ n ɐ m
சந்தா	s ɐ n̪ d̪ aː
சந்தாதாரர்	s ɐ n̪ d̪ aː d̪ aː ɾ ɐ ɾ
சந்திப்பு	s ɐ n̪ d̪ i pː ɯ
சந்திரசேகரன்	s ɐ n̪ d̪ i ɾ ɐ s eː ɡ ɐ ɾ ɐ n
சந்திரன்	s ɐ n̪ d̪ i ɾ ɐ n
சந்திரப்பிரபை	s ɐ n̪ d̪ i ɾ ɐ pː i ɾ ɐ b a ɪ̯
சந்திராதபம்	s ɐ n̪ d̪ i ɾ aː d̪ ɐ b ɐ m
சந்து	s ɐ n̪ d̪ ɯ
சந்தை	s ɐ n̪ d̪ a ɪ̯
சந்தோஷம்	s ɐ n̪ d̪ oː ʂ ɐ m
சனவரி	s ɐ n ɐ ʋ ɐ ɾ i
சனி	s ɐ n i
சனிக்கிழமை	s ɐ n i kː i ɻ ɐ m a ɪ̯
சன்மார்க்கம்	s ɐ n m aː ɾ kː ɐ m
சபதம்	s ɐ b ɐ d̪ ɐ m
சபாத்தியட்சன்	s ɐ b aː t̪ː i j ɐ ʈ s ɐ n
சபாமூப்பன்	s ɐ b aː m uː pː ɐ n
சபி	s ɐ b i
சபை	s ɐ b a ɪ̯
சப்பங்கி	s ɐ pː ɐ ŋ ɡ i
சப்பாத்தி	s ɐ pː aː t̪ː i
சப்பாத்து	s ɐ pː aː t̪ː ɯ
சப்போட்டா	s ɐ pː oː ʈː aː
சப்ரகமுவ	s ɐ p ɾ ɐ ɡ ɐ m u ʋ ɐ
சமசுகிருதம்	s ɐ m ɐ s u ɡ i ɾ u d̪ ɐ m
சமம்	s ɐ m ɐ m
சமயம்	s ɐ m ɐ j ɐ m
சமர்ப்பணம்	s ɐ m ɐ ɾ pː ɐ ɳ ɐ m
சமர்ப்பி	s ɐ m ɐ ɾ pː i
சமவெளி	s ɐ m ɐ ʋ e ɭ i
சமஸ்கிருதம்	s ɐ m ɐ s k i ɾ u d̪ ɐ m
சமாதானம்	s ɐ m aː d̪ aː n ɐ m
சமுதாயச்சீர்திருத்தம்	s ɐ m u d̪ aː j ɐ t͡ɕː iː ɾ d̪ i ɾ u t̪ː ɐ m
சமுதாயம்	s ɐ m u d̪ aː j ɐ m
சமுத்திரம்	s ɐ m u t̪ː i ɾ ɐ m
சமூகம்	s ɐ m uː ɡ ɐ m
சமை	s ɐ m a ɪ̯
சமைவு	s ɐ m a ɪ̯ ʋ ɯ
சமோசா	s ɐ m oː s aː
சம்சாரம்	s ɐ m s aː ɾ ɐ m
சம்பகம்	s ɐ m b ɐ ɡ ɐ m
சம்பங்கி	s ɐ m b ɐ ŋ ɡ i
சம்பளம்	s ɐ m b ɐ ɭ ɐ m
சம்பவம்	s ɐ m b ɐ ʋ ɐ m
சம்பாதி	s ɐ m b aː d̪ i
சம்புநாவல்	s ɐ m b u n̪ aː ʋ ɐ l
சம்மட்டி	s ɐ mː ɐ ʈː i
சயிக்கம்	s ɐ j i kː ɐ m
சயிந்தவம்	s ɐ j i n̪ d̪ ɐ ʋ ɐ m
சரக்கு	s ɐ ɾ ɐ kː ɯ
சரணியன்	s ɐ ɾ ɐ ɳ i j ɐ n
சரபத்து	s ɐ ɾ ɐ b ɐ t̪ː ɯ
சரி	s ɐ ɾ i
சரித்திரகாரன்	s ɐ ɾ i t̪ː i ɾ ɐ ɡ aː ɾ ɐ n
சரித்திரம்	s ɐ ɾ i t̪ː i ɾ ɐ m
சரிவு	s ɐ ɾ i ʋ ɯ
சருமம்	s ɐ ɾ u m ɐ m
சருவம்	s ɐ ɾ u ʋ ɐ m
சர்க்கரை	s ɐ ɾ kː ɐ ɾ a ɪ̯
சர்ச்சை	s ɐ ɾ t͡ɕː a ɪ̯
சர்பராஜ்	s ɐ ɾ b ɐ ɾ aː d͡ʑ
சர்ப்பம்	s ɐ ɾ pː ɐ m
சர்வத்திர	s ɐ ɾ ʋ ɐ t̪ː i ɾ ɐ
சற்பிரசாதம்	s ɐ r p i ɾ ɐ s aː d̪ ɐ m
சலகம்	s ɐ l ɐ ɡ ɐ m
சலங்கு	s ɐ l ɐ ŋ ɡ ɯ
சலதோசம்	s ɐ l ɐ d̪ oː s ɐ m
சலவைக்காரர்	s ɐ l ɐ ʋ a ɪ̯ kː aː ɾ ɐ ɾ
சல்லடை	s ɐ l l ɐ ɖ a ɪ̯
சல்லரி	s ɐ l l ɐ ɾ i
சளி	s ɐ ɭ i
சவம்	s ɐ ʋ ɐ m
சவால்	s ɐ ʋ aː l
சவுக்கு	s ɐ ʋ u kː ɯ
சவுத்து	s ɐ ʋ u t̪ː ɯ
சவை	s ɐ ʋ a ɪ̯
சா	s aː
சாக்கு	s aː kː ɯ
சாசனம்	s aː s ɐ n ɐ m
சாசுவதம்	s aː s u ʋ ɐ d̪ ɐ m
சாடு	s aː ɖ ɯ
சாட்சி	s aː ʈ s i
சாட்டியம்	s aː ʈː i j ɐ m
சாட்டை	s aː ʈː a ɪ̯
சாணம்	s aː ɳ ɐ m
சாணி	s aː ɳ i
சாணைக்கல்	s aː ɳ a ɪ̯ kː ɐ l
சாதனம்	s aː d̪ ɐ n ɐ m
சாதனை	s aː d̪ ɐ n a ɪ̯
சாதம்	s aː d̪ ɐ m
சாதி	s aː d̪ i
சாதிக்காய்	s aː d̪ i kː aː j
சாந்து	s aː n̪ d̪ ɯ
சானம்	s aː n ɐ m
சான்று	s aː n d r ɯ
சாபம்	s aː b ɐ m
சாப்பாடு	s aː pː aː ɖ ɯ
சாப்பாட்டுக்கடை	s aː pː aː ʈː u kː ɐ ɖ a ɪ̯
சாப்பிடு	s aː pː i ɖ ɯ
சாப்பிட்டீங்களா	s aː pː i ʈː iː ŋ ɡ ɐ ɭ aː
சாமந்தி	s aː m ɐ n̪ d̪ i
சாமி	s aː m i
சாமுவேல்	s aː m u ʋ eː l
சாம்பல்	s aː m b ɐ l
சாம்பார்	s aː m b aː ɾ
சாம்ராச்சியம்	s aː m ɾ aː t͡ɕː i j ɐ m
சாம்ராஜ்யம்	s aː m ɾ aː d͡ʑ j ɐ m
சாயங்காலம்	s aː j ɐ ŋ ɡ aː l ɐ m
சாய்கோடு	s aː j ɡ oː ɖ ɯ
சாய்ப்பிடம்	s aː j pː i ɖ ɐ m
சாரத்துவம்	s aː ɾ ɐ t̪ː u ʋ ɐ m
சாரம்	s aː ɾ ɐ m
சாரல்	s aː ɾ ɐ l
சார்க்கண்டு	s aː ɾ kː ɐ ɳ ɖ ɯ
சார்பெழுத்து	s aː ɾ b e ɻ u t̪ː ɯ
சார்வு	s aː ɾ ʋ ɯ
சாறு	s aː r ɯ
சாலி	s aː l i
சாலியன்	s aː l i j ɐ n
சாலை	s aː l a ɪ̯
சாளம்	s aː ɭ ɐ m
சாளரம்	s aː ɭ ɐ ɾ ɐ m
சாளை	s aː ɭ a ɪ̯
சாவல்	s aː ʋ ɐ l
சாவாமை	s aː ʋ aː m a ɪ̯
சாவி	s aː ʋ i
சாவிகள்	s aː ʋ i ɡ ɐ ɭ
சாவு	s aː ʋ ɯ
சாஸ்திரம்	s aː s t̪ i ɾ ɐ m
சிகப்பு	s i ɡ ɐ pː ɯ
சிகரட்	s i ɡ ɐ ɾ ɐ ʈ
சிகரம்	s i ɡ ɐ ɾ ɐ m
சிகாகோ	s i ɡ aː ɡ oː
சிகிச்சை	s i ɡ i t͡ɕː a ɪ̯
சிகை	s i ɡ a ɪ̯
சிகைக்காய்	s i ɡ a ɪ̯ kː aː j
சிக்கல்	s i kː ɐ l
சிக்கிம்	s i kː i m
சிக்கு	s i kː ɯ
சிங்கப்பூர்	s i ŋ ɡ ɐ pː uː ɾ
சிங்கம்	s i ŋ ɡ ɐ m
சிங்களம்	s i ŋ ɡ ɐ ɭ ɐ m
சிங்காசனம்	s i ŋ ɡ aː s ɐ n ɐ m
சிங்கி	s i ŋ ɡ i
சிங்கு	s i ŋ ɡ ɯ
சிசு	s i s ɯ
சிதடு	s i d̪ ɐ ɖ ɯ
சிதமை	s i d̪ ɐ m a ɪ̯
சிதர்	s i d̪ ɐ ɾ
சிதறியம்	s i d̪ ɐ r i j ɐ m
சிதல்	s i d̪ ɐ l
சிதாரி	s i d̪ aː ɾ i
சிதை	s i d̪ a ɪ̯
சிதைவு	s i d̪ a ɪ̯ ʋ ɯ
சித்தம்	s i t̪ː ɐ m
சித்தார்	s i t̪ː aː ɾ
சித்திரபானு	s i t̪ː i ɾ ɐ b aː n ɯ
சித்திரை	s i t̪ː i ɾ a ɪ̯
சிநேகிதன்	s i n̪ eː ɡ i d̪ ɐ n
சிந்து	s i n̪ d̪ ɯ
சிந்தை	s i n̪ d̪ a ɪ̯
சினகரம்	s i n ɐ ɡ ɐ ɾ ɐ m
சினகர்	s i n ɐ ɡ ɐ ɾ
சினம்	s i n ɐ m
சினாடிகா	s i n aː ɖ i ɡ aː
சினிமா	s i n i m aː
சினேகம்	s i n eː ɡ ɐ m
சினை	s i n a ɪ̯
சினைப்பை	s i n a ɪ̯ pː a ɪ̯
சின்டி	s i n ɖ i
சின்ன	s i nː ɐ
சின்னக்கரடி	s i nː ɐ kː ɐ ɾ ɐ ɖ i
சிப்பாய்	s i pː aː j
சிமிட்டி	s i m i ʈː i
சிமையம்	s i m a ɪ̯ j ɐ m
சிம்சோன்	s i m s oː n
சிம்மம்	s i mː ɐ m
சியோல்	s i j oː l
சிரபுஞ்சி	s i ɾ ɐ p u ɲ d͡ʑ i
சிராத்தம்	s i ɾ aː t̪ː ɐ m
சிரி	s i ɾ i
சிரிப்பு	s i ɾ i pː ɯ
சிருஷ்டி	s i ɾ u ʂ ʈ i
சிரேட்டி	s i ɾ eː ʈː i
சிற	s i r ɐ
சிறகு	s i r ɐ ɡ ɯ
சிறந்த	s i r ɐ n̪ d̪ ɐ
சிறப்பு	s i r ɐ pː ɯ
சிறப்புரிமை	s i r ɐ pː u ɾ i m a ɪ̯
சிறிய	s i r i j ɐ
சிறீதரன்	s i r iː d̪ ɐ ɾ ɐ n
சிறுகதை	s i r u ɡ ɐ d̪ a ɪ̯
சிறுகுறிஞ்சா	s i r u ɡ u r i ɲ d͡ʑ aː
சிறுசெண்பகம்	s i r u s e ɳ b ɐ ɡ ɐ m
சிறுநீரகம்	s i r u n̪ iː ɾ ɐ ɡ ɐ m
சிறுநீர்	s i r u n̪ iː ɾ
சிறுமை	s i r u m a ɪ̯
சிறுவன்	s i r u ʋ ɐ n
சிற்பசாஸ்திரி	s i r p ɐ s aː s t̪ i ɾ i
சிற்பம்	s i r p ɐ m
சிற்பர்	s i r p ɐ ɾ
சிற்பியல்	s i r p i j ɐ l
சிற்றரத்தை	s i t r ɐ ɾ ɐ t̪ː a ɪ̯
சிற்றுண்டி	s i t r u ɳ ɖ i
சிற்றூர்	s i t r uː ɾ
சில	s i l ɐ
சிலந்தி	s i l ɐ n̪ d̪ i
சிலப்பதிகாரம்	s i l ɐ pː ɐ d̪ i ɡ aː ɾ ɐ m
சிலர்	s i l ɐ ɾ
சிலாக்கியம்	s i l aː kː i j ɐ m
சிலுவை	s i l u ʋ a ɪ̯
சிவ	s i ʋ ɐ
சிவகங்கை	s i ʋ ɐ ɡ ɐ ŋ ɡ a ɪ̯
சிவந்தி	s i ʋ ɐ n̪ d̪ i
சிவன்	s i ʋ ɐ n
சிவப்பு	s i ʋ ɐ pː ɯ
சிவப்புக்கல்	s i ʋ ɐ pː u kː ɐ l
சிவப்புமரம்	s i ʋ ɐ pː u m ɐ ɾ ɐ m
சிவரிக்கீரை	s i ʋ ɐ ɾ i kː iː ɾ a ɪ̯
சிவளிகைக்கச்சு	s i ʋ ɐ ɭ i ɡ a ɪ̯ kː ɐ t͡ɕː ɯ
சிவிகை	s i ʋ i ɡ a ɪ̯
சிவிங்கி	s i ʋ i ŋ ɡ i
சிஷ்டம்	s i ʂ ʈ ɐ m
சிஷ்யன்	s i ʂ j ɐ n
சீக்கிரம்	s iː kː i ɾ ɐ m
சீடை	s iː ɖ a ɪ̯
சீட்டு	s iː ʈː ɯ
சீண்டு	s iː ɳ ɖ ɯ
சீதனம்	s iː d̪ ɐ n ɐ m
சீதை	s iː d̪ a ɪ̯
சீந்து	s iː n̪ d̪ ɯ
சீனா	s iː n aː
சீனிக்கிழங்கு	s iː n i kː i ɻ ɐ ŋ ɡ ɯ
சீனிவாசன்	s iː n i ʋ aː s ɐ n
சீபாதம்	s iː b aː d̪ ɐ m
சீமை	s iː m a ɪ̯
சீமைக்கொய்யா	s iː m a ɪ̯ kː o jː aː
சீமைச்சீரகம்	s iː m a ɪ̯ t͡ɕː iː ɾ ɐ ɡ ɐ m
சீமையழவனம்	s iː m a ɪ̯ j ɐ ɻ ɐ ʋ ɐ n ɐ m
சீயக்காய்	s iː j ɐ kː aː j
சீயநெய்	s iː j ɐ n̪ e j
சீயம்	s iː j ɐ m
சீரகம்	s iː ɾ ɐ ɡ ɐ m
சீருடை	s iː ɾ u ɖ a ɪ̯
சீலை	s iː l a ɪ̯
சீலைகள்	s iː l a ɪ̯ ɡ ɐ ɭ
சீழ்	s iː ɻ
சீவன்	s iː ʋ ɐ n
சுகந்தவர்க்கம்	s u ɡ ɐ n̪ d̪ ɐ ʋ ɐ ɾ kː ɐ m
சுகம்	s u ɡ ɐ m
சுகவழி	s u ɡ ɐ ʋ ɐ ɻ i
சுக்கு	s u kː ɯ
சுக்கை	s u kː a ɪ̯
சுடர்	s u ɖ ɐ ɾ
சுடு	s u ɖ ɯ
சுடுகாடு	s u ɖ u ɡ aː ɖ ɯ
சுட்டாமுட்டி	s u ʈː aː m u ʈː i
சுட்டிக்காட்டு	s u ʈː i kː aː ʈː ɯ
சுட்டுவிரல்	s u ʈː u ʋ i ɾ ɐ l
சுண்டல்	s u ɳ ɖ ɐ l
சுண்டு	s u ɳ ɖ ɯ
சுண்டெலி	s u ɳ ɖ e l i
சுண்ணம்	s u ɳː ɐ m
சுண்ணாம்பு	s u ɳː aː m b ɯ
சுண்ணாம்புக்கல்	s u ɳː aː m b u kː ɐ l
சுண்ணாம்புக்காளவாய்	s u ɳː aː m b u kː aː ɭ ɐ ʋ aː j
சுதந்தரம்	s u d̪ ɐ n̪ d̪ ɐ ɾ ɐ m
சுதந்திரம்	s u d̪ ɐ n̪ d̪ i ɾ ɐ m
சுதன்	s u d̪ ɐ n
சுத்தம்	s u t̪ː ɐ m
சுத்தியல்	s u t̪ː i j ɐ l
சுந்தரம்	s u n̪ d̪ ɐ ɾ ɐ m
சுனாமி	s u n aː m i
சுனை	s u n a ɪ̯
சுன்னத்து	s u nː ɐ t̪ː ɯ
சுபம்	s u b ɐ m
சுமை	s u m a ɪ̯
சுரண்டு	s u ɾ ɐ ɳ ɖ ɯ
சுரமண்டலம்	s u ɾ ɐ m ɐ ɳ ɖ ɐ l ɐ m
சுரம்	s u ɾ ɐ m
சுருக்கம்	s u ɾ u kː ɐ m
சுருட்டு	s u ɾ u ʈː ɯ
சுருதி	s u ɾ u d̪ i
சுரும்பு	s u ɾ u m b ɯ
சுருளி	s u ɾ u ɭ i
சுருள்	s u ɾ u ɭ
சுரை	s u ɾ a ɪ̯
சுரைக்காய்	s u ɾ a ɪ̯ kː aː j
சுறவம்	s u r ɐ ʋ ɐ m
சுறா	s u r aː
சுறாமீன்	s u r aː m iː n
சுற்றம்	s u t r ɐ m
சுற்றி	s u t r i
சுற்று	s u t r ɯ
சுற்றுச்சூழல்	s u t r u t͡ɕː uː ɻ ɐ l
சுலபம்	s u l ɐ b ɐ m
சுல்தானகம்	s u l d̪ aː n ɐ ɡ ɐ m
சுழியம்	s u ɻ i j ɐ m
சுவடி	s u ʋ ɐ ɖ i
சுவடு	s u ʋ ɐ ɖ ɯ
சுவாசம்	s u ʋ aː s ɐ m
சுவாசியா	s u ʋ aː s i j aː
சுவானம்	s u ʋ aː n ɐ m
சுவாமி	s u ʋ aː m i
சுவாலை	s u ʋ aː l a ɪ̯
சுவிசேஷம்	s u ʋ i s eː ʂ ɐ m
சுவேதம்	s u ʋ eː t̪ː ɐ m
சுவை	s u ʋ a ɪ̯
சுவையான	s u ʋ a ɪ̯ j aː n ɐ
சூடு	s uː ɖ ɯ
சூட்	s uː ʈ
சூட்டுக்கள்	s uː ʈː u kː ɐ ɭ
சூத்திரம்	s uː t̪ː i ɾ ɐ m
சூனியம்	s uː n i j ɐ m
சூன்	s uː n
சூரியகாந்தி	s uː ɾ i j ɐ ɡ aː n̪ d̪ i
சூரியன்	s uː ɾ i j ɐ n
சூறாவளி	s uː r aː ʋ ɐ ɭ i
சூறை	s uː r a ɪ̯
சூலை	s uː l a ɪ̯
சூழலியல்	s uː ɻ ɐ l i j ɐ l
சூழல்	s uː ɻ ɐ l
செகம்	s e ɡ ɐ m
செக்கு	s e kː ɯ
செங்	s e ŋ
செங்கந்தகம்	s e ŋ ɡ ɐ n̪ d̪ ɐ ɡ ɐ m
செங்கல்	s e ŋ ɡ ɐ l
செங்கல்பட்டு	s e ŋ ɡ ɐ l b ɐ ʈː ɯ
செங்கல்மால்	s e ŋ ɡ ɐ l m aː l
செங்களம்	s e ŋ ɡ ɐ ɭ ɐ m
செங்கழுநீர்	s e ŋ ɡ ɐ ɻ u n̪ iː ɾ
செங்காடை	s e ŋ ɡ aː ɖ a ɪ̯
செங்கிழங்கு	s e ŋ ɡ i ɻ ɐ ŋ ɡ ɯ
செங்கோல்	s e ŋ ɡ oː l
செச்சினியா	s e t͡ɕː i n i j aː
செச்சை	s e t͡ɕː a ɪ̯
செஞ்சந்தனம்	s e ɲ d͡ʑ ɐ n̪ d̪ ɐ n ɐ m
செடி	s e ɖ i
செடிகொடி	s e ɖ i ɡ o ɖ i
செட்டிநாகம்	s e ʈː i n̪ aː ɡ ɐ m
செட்டை	s e ʈː a ɪ̯
செட்டைகள்	s e ʈː a ɪ̯ ɡ ɐ ɭ
செத்தவீடு	s e t̪ː ɐ ʋ iː ɖ ɯ
செத்தை	s e t̪ː a ɪ̯
செந்	s e n̪
செந்தமிழ்	s e n̪ d̪ ɐ m i ɻ
செந்தாமரை	s e n̪ d̪ aː m ɐ ɾ a ɪ̯
செந்துருக்கம்	s e n̪ d̪ u ɾ u kː ɐ m
செந்நீர்	s e n̪ː iː ɾ
சென்னை	s e nː a ɪ̯
செபக்குடம்	s e b ɐ kː u ɖ ɐ m
செபம்	s e b ɐ m
செப்டம்பர்	s e p ʈ ɐ m b ɐ ɾ
செப்டெம்பர்	s e p ʈ e m b ɐ ɾ
செப்பம்	s e pː ɐ m
செப்பு	s e pː ɯ
செம்	s e m
செம்பு	s e m b ɯ
செம்புற்று	s e m b u t r ɯ
செம்ம	s e mː ɐ
செம்மறி	s e mː ɐ r i
செம்மீன்	s e mː iː n
செம்முள்ளி	s e mː u ɭː i
செம்மை	s e mː a ɪ̯
செம்மொழி	s e mː o ɻ i
செயசூறை	s e j ɐ s uː r a ɪ̯
செயப்படுபொருள்குன்றாதவினை	s e j ɐ pː ɐ ɖ u b o ɾ u ɭ ɡ u n d r aː d̪ ɐ ʋ i n a ɪ̯
