అ	ɐ
ఏమో	eː m oː
ఏరు	eː ɾ ʊ
ఏల	eː l ɐ
ఏలు	eː l ʊ
ఐ	a i
ఐదవ	ɐ ɪ̯ d̪ ɐ ʋ ɐ
ఐదింతలు	ɐ ɪ̯ d̪ ɪ n̪ t̪ ɐ l ʊ
ఐదు	ɐ ɪ̯ d̪ ʊ
ఐదువ	ɐ ɪ̯ d̪ ʊ ʋ ɐ
ఐదో	ɐ ɪ̯ d̪ oː
ఐన	ɐ ɪ̯ n̪ ɐ
ఒంటి	ɔ ɳ ʈ ɪ
ఒంటిగంట​	ɔ ɳ ʈ ɪ ɡ ɐ ɳ ʈ ɐ
ఒంటె	ɔ ɳ ʈ ɛ
ఒంటెకోడి	ɔ ɳ ʈ ɛ k oː ɖ ɪ
ఒండు	o ɳ ɖ u
ఒక	ɔ k ɐ
ఒకటవ	ɔ k ɐ ʈ ɐ ʋ ɐ
ఒకటి	ɔ k ɐ ʈ ɪ
ఒకటో	ɔ k ɐ ʈ oː
ఒకతూరి	ɔ k ɐ t̪ uː ɾ ɪ
ఒకవేళ	ɔ k ɐ ʋ eː ɭ ɐ
ఒకసారి	ɔ k ɐ s aː ɾ ɪ
ఒగ్గు	ɔ ɡː ʊ
ఒట్టు	ɔ ʈː ʊ
ఒట్టుపెట్టు	ɔ ʈː ʊ p ɛ ʈː ʊ
ఒడలి	ɔ ɖ ɐ l ɪ
ఒడలిమరువు	ɔ ɖ ɐ l ɪ m ɐ ɾ ʊ ʋ ʊ
ఒడలు	ɔ ɖ ɐ l ʊ
ఒడ్డు	o ɖː u
ఒత్తడము	ɔ t̪ː ɐ ɖ ɐ m ʊ
ఒత్తు	ɔ t̪ː ʊ
ఒత్తుట	ɔ t̪ː ʊ ʈ ɐ
ఒద్ద	ɔ d̪ː ɐ
ఒప్పు	o pː u
ఒళవు	ɔ ɭ ɐ ʋ ʊ
ఒళ్లు	ɔ ɭː ʊ
ఓండ్ర	oː ɳ ɖ ɾ ɐ
ఓటువేయు	oː ʈ ʊ ʋ eː j ʊ
ఓడ	oː ɖ ɐ
ఓడు	oː ɖ ʊ
ఓర్పు	oː ɾ p ʊ
ఓల	oː l ɐ
ఓలపాట	oː l ɐ p aː ʈ ɐ
ఔ	ɐ ʊ̯
ఔచిత్యము	ɐ ʊ̯ t͡ɕ ɪ t̪ j ɐ m ʊ
ఔను	ɐ ʊ̯ n̪ ʊ
ఔనౌను	ɐ ʊ̯ n̪ ɐ ʊ̯ n̪ ʊ
ఔషధం	ɐ ʊ̯ ʂ ɐ d̪ʱ ɐ m̃
ఔషధము	ɐ ʊ̯ ʂ ɐ d̪ʱ ɐ m ʊ
కంచం	k ɐ ɲ t͡ɕ ɐ m̃
కంచి	k ɐ ɲ t͡ɕ ɪ
కంటకము	k ɐ ɳ ʈ ɐ k ɐ m ʊ
కంటి	k ɐ ɳ ʈ ɪ
కంటిచూపు	k ɐ ɳ ʈ ɪ t͡ɕ uː p ʊ
కంటెలు	k ɐ ɳ ʈ ɛ l ʊ
కంఠధ్వని	k ɐ ɳ ʈʰ ɐ d̪ʱ ʋ ɐ n̪ ɪ
కంఠము	k ɐ ɳ ʈʰ ɐ m ʊ
కంఠ్య	k ɐ ɳ ʈʰ j ɐ
కండ	k ɐ ɳ ɖ ɐ
కండ్లు	k ɐ ɳ ɖ l ʊ
కంత	k ɐ n̪ t̪ ɐ
కందిరీగ	k ɐ n̪ d̪ ɪ ɾ iː ɡ ɐ
కంపు	k ɐ m p ʊ
కంప్యూటర్	k ɐ m p j uː ʈ ɐ ɾ
కక్క	k a kː a
కక్కు	k a kː u
కచేరీ	k ɐ t͡ɕ eː ɾ iː
కచ్చితము	k ɐ t͡ɕː ɪ t̪ ɐ m ʊ
కట్ట	k ɐ ʈː ɐ
కట్టడం	k ɐ ʈː ɐ ɖ ɐ m̃
కట్టడము	k ɐ ʈː ɐ ɖ ɐ m ʊ
కట్టిన	k ɐ ʈː ɪ n̪ ɐ
కట్టు	k ɐ ʈː ʊ
కడ	k ɐ ɖ ɐ
కడచు	k ɐ ɖ ɐ t͡ɕ ʊ
కడప	k ɐ ɖ ɐ p ɐ
కడలి	k ɐ ɖ ɐ l ɪ
కడుగు	k ɐ ɖ ʊ ɡ ʊ
కడుపు	k ɐ ɖ ʊ p ʊ
కడుపునొప్పి	k ɐ ɖ ʊ p ʊ n̪ ɔ pː ɪ
కణము	k ɐ ɳ ɐ m ʊ
కత	k ɐ t̪ ɐ
కతల	k ɐ t̪ ɐ l ɐ
కతలు	k ɐ t̪ ɐ l ʊ
కత్తి	k ɐ t̪ː ɪ
కత్తియ	k ɐ t̪ː ɪ j ɐ
కత్తె	k ɐ t̪ː ɛ
కత్తెతనము	k ɐ t̪ː ɛ t̪ ɐ n̪ ɐ m ʊ
కథ	k ɐ t̪ʰ ɐ
కథకుఁడు	k ɐ t̪ʰ ɐ k ʊ ɖ ʊ
కథకుడు	k ɐ t̪ʰ ɐ k ʊ ɖ ʊ
కథకులు	k ɐ t̪ʰ ɐ k ʊ l ʊ
కథనం	k ɐ t̪ʰ ɐ n̪ ɐ m̃
కథనము	k ɐ t̪ʰ ɐ n̪ ɐ m ʊ
కథల	k ɐ t̪ʰ ɐ l ɐ
కథలు	k ɐ t̪ʰ ɐ l ʊ
కథానాయకుడు	k ɐ t̪ʰ aː n̪ aː j ɐ k ʊ ɖ ʊ
కథానాయకులు	k ɐ t̪ʰ aː n̪ aː j ɐ k ʊ l ʊ
కథానాయిక	k ɐ t̪ʰ aː n̪ aː j ɪ k ɐ
కథానిక	k ɐ t̪ʰ aː n̪ ɪ k ɐ
కథానికలు	k ɐ t̪ʰ aː n̪ ɪ k ɐ l ʊ
కథాసరిత్సాగరం	k ɐ t̪ʰ aː s ɐ ɾ ɪ t̪ s aː ɡ ɐ ɾ ɐ m̃
కథాసరిత్సాగరము	k ɐ t̪ʰ aː s ɐ ɾ ɪ t̪ s aː ɡ ɐ ɾ ɐ m ʊ
కదలించు	k ɐ d̪ ɐ l ɪ ɲ t͡ɕ ʊ
కదలిక	k ɐ d̪ ɐ l ɪ k ɐ
కదలు	k ɐ d̪ ɐ l ʊ
కదా	k ɐ d̪ aː
కదురు	k ɐ d̪ ʊ ɾ ʊ
కదూ	k ɐ d̪ uː
కనకము	k ɐ n̪ ɐ k ɐ m ʊ
కను	k ɐ n̪ ʊ
కనుకొను	k ɐ n̪ ʊ k ɔ n̪ ʊ
కనుక్కొను	k ɐ n̪ ʊ kː ɔ n̪ ʊ
కనుదోయి	k ɐ n̪ ʊ d̪ oː j ɪ
కనుబొమ	k ɐ n̪ ʊ b ɔ m ɐ
కనుబొమ్మ	k ɐ n̪ ʊ b ɔ mː ɐ
కన్నం	k ɐ n̪ n̪ ɐ m̃
కన్నడము	k ɐ n̪ n̪ ɐ ɖ ɐ m ʊ
కన్నతల్లి	k ɐ n̪ n̪ ɐ t̪ ɐ lː ɪ
కన్నతల్లులు	k ɐ n̪ n̪ ɐ t̪ ɐ lː ʊ l ʊ
కన్నము	k ɐ n̪ n̪ ɐ m ʊ
కన్నములు	k ɐ n̪ n̪ ɐ m ʊ l ʊ
కన్నవిటి	k ɐ n̪ n̪ ɐ ʋ ɪ ʈ ɪ
కన్నాలు	k ɐ n̪ n̪ aː l ʊ
కన్నీరు	k ɐ n̪ n̪ iː ɾ ʊ
కన్ను	k ɐ n̪ n̪ ʊ
కన్నులు	k ɐ n̪ n̪ ʊ l ʊ
కపటం	k ɐ p ɐ ʈ ɐ m̃
కపటము	k ɐ p ɐ ʈ ɐ m ʊ
కపటాలు	k ɐ p ɐ ʈ aː l ʊ
కపటి	k ɐ p ɐ ʈ ɪ
కప్ప	k ɐ pː ɐ
కప్పము	k ɐ pː ɐ m ʊ
కప్పు	k ɐ pː ʊ
కబురు	k ɐ b ʊ ɾ ʊ
కరం	k ɐ ɾ ɐ m̃
కరచాలనం	k ɐ ɾ ɐ t͡ɕ aː l ɐ n̪ ɐ m̃
కరచాలనము	k ɐ ɾ ɐ t͡ɕ aː l ɐ n̪ ɐ m ʊ
కరణము	k ɐ ɾ ɐ ɳ ɐ m ʊ
కరము	k ɐ ɾ ɐ m ʊ
కర్ణాటక	k ɐ ɾ ɳ aː ʈ ɐ k ɐ
కర్ర	k ɐ r ɐ
కర్రీ	k ɐ r iː
కల	k ɐ l ɐ
కలఁత	k ɐ l ɐ t̪ ɐ
కలగు	k ɐ l ɐ ɡ ʊ
కలచు	k ɐ l ɐ t͡ɕ ʊ
కలత	k ɐ l ɐ t̪ ɐ
కలతలు	k ɐ l ɐ t̪ ɐ l ʊ
కలప	k ɐ l ɐ p ɐ
కలము	k ɐ l ɐ m ʊ
కలలు	k ɐ l ɐ l ʊ
కలవాడు	k ɐ l ɐ ʋ aː ɖ ʊ
కలహము	k ɐ l ɐ h ɐ m ʊ
కలితి	k ɐ l ɪ t̪ ɪ
కలితిలేని	k ɐ l ɪ t̪ ɪ l eː n̪ ɪ
కలిపించు	k ɐ l ɪ p ɪ ɲ t͡ɕ ʊ
కలియు	k ɐ l ɪ j ʊ
కలుగానుగ	k ɐ l ʊ ɡ aː n̪ ʊ ɡ ɐ
కలుగు	k ɐ l ʊ ɡ ʊ
కలుపు	k ɐ l ʊ p ʊ
కలెక్టరు	k ɐ l ɛ k ʈ ɐ ɾ ʊ
కల్తి	k ɐ l t̪ ɪ
కల్తిలేని	k ɐ l t̪ ɪ l eː n̪ ɪ
కల్తీ	k ɐ l t̪ iː
కల్తీలేని	k ɐ l t̪ iː l eː n̪ ɪ
కల్ల	k a l̪ː a
కల్లు	k ɐ lː ʊ
కల్లూరి	k ɐ lː uː ɾ ɪ
కల్లూరు	k ɐ lː uː ɾ ʊ
కళ	k ɐ ɭ ɐ
కళల	k ɐ ɭ ɐ l ɐ
కళలు	k ɐ ɭ ɐ l ʊ
కళాశాల	k ɐ ɭ aː ɕ aː l ɐ
కళ్ళద్దాలు	k ɐ ɭː ɐ d̪ː aː l ʊ
కవి	k ɐ ʋ ɪ
కష్టజీవి	k ɐ ʂ ʈ ɐ d͡ʑ iː ʋ ɪ
కష్టపెట్టు	k ɐ ʂ ʈ ɐ p ɛ ʈː ʊ
కాకం	k aː k ɐ m̃
కాకము	k aː k ɐ m ʊ
కాకా	k aː k aː
కాకి	k aː k ɪ
కాచు	k aː t͡ɕ ʊ
కాటా	k aː ʈ aː
కాడ	k aː ɖ ɐ
కాడలు	k aː ɖ ɐ l ʊ
కాడి	k aː ɖ i
కాన	k aː n̪ a
కాను	k aː n̪ ʊ
కానుక	k aː n̪ ʊ k ɐ
కాపథము	k aː p ɐ t̪ʰ ɐ m ʊ
కాపరి	k aː p ɐ ɾ ɪ
కాపాడు	k aː p aː ɖ ʊ
కాపు	k aː p ʊ
కాబట్టి	k aː b ɐ ʈː ɪ
కామాకు	k aː m aː k u
కాయ	k aː j ɐ
కాయం	k aː j ɐ m̃
కాయము	k aː j ɐ m ʊ
కాయలు	k aː j ɐ l ʊ
కాయు	k aː j ʊ
కారము	k aː r a m u
కారిజము	k aː ɾ ɪ d͡ʑ ɐ m ʊ
కారు	k aː ɾ ʊ
కారుచిచ్చు	k aː ɾ ʊ t͡ɕ ɪ t͡ɕː ʊ
కారూరు	k aː ɾ uː ɾ ʊ
కాలం	k aː l ɐ m̃
కాలము	k aː l ɐ m ʊ
కాలాలు	k aː l aː l ʊ
కాలి	k aː l ɪ
కాలిదారి	k aː l ɪ d̪ aː ɾ ɪ
కాలిదోవ	k aː l ɪ d̪ oː ʋ ɐ
కాలిఫోర్నియా	k aː l ɪ pʰ oː ɾ n̪ ɪ j aː
కాలిబాట	k aː l ɪ b aː ʈ ɐ
కాలివేలు	k aː l ɪ ʋ eː l ʊ
కాలివ్రేలు	k aː l ɪ ʋ ɾ eː l ʊ
కాలు	k aː l ʊ
కాలేయం	k aː l eː j ɐ m̃
కాలేయము	k aː l eː j ɐ m ʊ
కాళి	k aː ɭ ɪ
కాళిక	k aː ɭ ɪ k ɐ
కాళిదాసు	k aː ɭ ɪ d̪ aː s ʊ
కాళ్లు	k aː ɭː ʊ
కావలి	k aː ʋ ɐ l ɪ
కావలివాడు	k aː ʋ ɐ l ɪ ʋ aː ɖ ʊ
కింద	k ɪ n̪ d̪ ɐ
కికి	k ɪ k ɪ
కిటుకు	k ɪ ʈ ʊ k ʊ
కిలోలీటరు	k ɪ l oː l iː ʈ ɐ ɾ ʊ
కీకారణ్యము	k iː k aː ɾ ɐ ɳ j ɐ m ʊ
కీరవాణి	k iː r a ʋ aː ɳ i
కీర్తితము	k iː ɾ t̪ ɪ t̪ ɐ m ʊ
కు	k u
కుంచము	k ʊ ɲ t͡ɕ ɐ m ʊ
కుందనపు	k ʊ n̪ d̪ ɐ n̪ ɐ p ʊ
కుందనపుబొమ్మ	k ʊ n̪ d̪ ɐ n̪ ɐ p ʊ b ɔ mː ɐ
కుందనము	k ʊ n̪ d̪ ɐ n̪ ɐ m ʊ
కుందేలు	k ʊ n̪ d̪ eː l ʊ
కుక్క	k ʊ kː ɐ
కుక్కపిల్ల	k u kː a p i l̪ː a
కుచము	k ʊ t͡ɕ ɐ m ʊ
కుచాగ్రము	k ʊ t͡ɕ aː ɡ ɾ ɐ m ʊ
కుచాననము	k ʊ t͡ɕ aː n̪ ɐ n̪ ɐ m ʊ
కుచ్చు	k ʊ t͡ɕː ʊ
కుడి	k u ɖ i
కుడుచు	k ʊ ɖ ʊ t͡ɕ ʊ
కుడుపు	k ʊ ɖ ʊ p ʊ
కుడ్యము	k ʊ ɖ j ɐ m ʊ
కుప్ప	k ʊ pː ɐ
కుబుసము	k ʊ b ʊ s ɐ m ʊ
కుమ్మర	k ʊ mː ɐ ɾ ɐ
కురుపు	k ʊ ɾ ʊ p ʊ
కురూపము	k ʊ ɾ uː p ɐ m ʊ
కులాసా	k ʊ l aː s aː
కుళాయ	k ʊ ɭ aː j ɐ
కూక	k uː k ɐ
కూకపెట్టు	k uː k ɐ p ɛ ʈː ʊ
కూటము	k uː ʈ ɐ m ʊ
కూడా	k uː ɖ aː
కూడు	k uː ɖ ʊ
కూత	k uː t̪ ɐ
కూతనేల	k uː t̪ ɐ n̪ eː l ɐ
కూతురు	k uː t̪ ʊ ɾ ʊ
కూన	k uː n̪ ɐ
కూయు	k uː j ʊ
కూర	k uː r̪ a
కూరగాయలు	k uː ɾ ɐ ɡ aː j ɐ l ʊ
కూర్చొను	k uː ɾ t͡ɕ ɔ n̪ ʊ
కూలీ	k uː l iː
కృత్యము	k ɻ̍ t̪ j ɐ m ʊ
కృష్ణ	k ɻ̍ ʂ ɳ ɐ
కెంపు	k ɛ m p ʊ
కేదారము	k eː d aː r a m u
కేరు	k eː ɾ ʊ
కొంచెము	k ɔ ɲ t͡ɕ ɛ m ʊ
కొంటె	k ɔ ɳ ʈ ɛ
కొంటెపిల్ల	k ɔ ɳ ʈ ɛ p ɪ lː ɐ
కొండ	k ɔ ɳ ɖ ɐ
కొండముచ్చు	k ɔ ɳ ɖ ɐ m ʊ t͡ɕː ʊ
కొండవీడు	k ɔ ɳ ɖ ɐ ʋ iː ɖ ʊ
కొండెక్కు	k ɔ ɳ ɖ ɛ kː ʊ
కొంప	k ɔ m p ɐ
కొక్కు	k o kː u
కొట్టు	k ɔ ʈː ʊ
కొట్లాట	k ɔ ʈ l aː ʈ ɐ
కొట్లాడు	k ɔ ʈ l aː ɖ ʊ
కొడుకడు	k ɔ ɖ ʊ k ɐ ɖ ʊ
కొడుకు	k ɔ ɖ ʊ k ʊ
కొడ్కు	k ɔ ɖ k ʊ
కొత్త	k ɔ t̪ː ɐ
కొన	k o n̪ a
కొను	k ɔ n̪ ʊ
కొన్ని	k ɔ n̪ n̪ ɪ
కొప్పు	k o pː u
కొబ్బరి	k ɔ bː ɐ ɾ ɪ
కొబ్బరికల్లు	k ɔ bː ɐ ɾ ɪ k ɐ lː ʊ
కొబ్బరికాయ	k ɔ bː ɐ ɾ ɪ k aː j ɐ
కొబ్బరికాయలు	k ɔ bː ɐ ɾ ɪ k aː j ɐ l ʊ
కొబ్బరిచెట్టు	k ɔ bː ɐ ɾ ɪ t͡ɕ ɛ ʈː ʊ
కొబ్బరిచెట్లు	k ɔ bː ɐ ɾ ɪ t͡ɕ ɛ ʈ l ʊ
కొబ్బరిపచ్చడి	k ɔ bː ɐ ɾ ɪ p ɐ t͡ɕː ɐ ɖ ɪ
కొబ్బరిపీచు	k ɔ bː ɐ ɾ ɪ p iː t͡ɕ ʊ
కొబ్బరిపువ్వు	k ɔ bː ɐ ɾ ɪ p ʊ ʋː ʊ
కొమ్మ	k ɔ mː ɐ
కొమ్ము	k ɔ mː ʊ
కొరత	k ɔ ɾ ɐ t̪ ɐ
కొరసంది	k ɔ ɾ ɐ s ɐ n̪ d̪ ɪ
కొల	k ɔ l ɐ
కొలత	k ɔ l ɐ t̪ ɐ
కొలతలు	k ɔ l ɐ t̪ ɐ l ʊ
కొలరాడో	k ɔ l ɐ ɾ aː ɖ oː
కొవ్వు	k o ʋː u
కో	k oː
కోక	k oː k ɐ
కోకో	k oː k oː
కోట	k oː ʈ a
కోటి	k oː ʈ ɪ
కోడి	k oː ɖ ɪ
కోణము	k oː ɳ ɐ m ʊ
కోత	k oː t̪ ɐ
కోతలు	k oː t̪ ɐ l ʊ
కోతి	k oː t̪ ɪ
కోతివన్నె	k oː t̪ ɪ ʋ ɐ n̪ n̪ ɛ
కోతులు	k oː t̪ ʊ l ʊ
కోన	k oː n a
కోపగించు	k oː p ɐ ɡ ɪ ɲ t͡ɕ ʊ
కోపము	k oː p ɐ m ʊ
కోయిల	k oː j ɪ l ɐ
కోయిలలు	k oː j ɪ l ɐ l ʊ
కోయు	k oː j u
కోరిక	k oː ɾ ɪ k ɐ
కోరు	k oː ɾ ʊ
కోరుకొండ	k oː ɾ ʊ k ɔ ɳ ɖ ɐ
కోల	k oː l ɐ
కోళ్లు	k oː ɭː ʊ
కోవెల	k oː ʋ ɛ l ɐ
కోసము	k oː s ɐ m ʊ
కోస్టారీకా	k oː s ʈ aː ɾ iː k aː
కోస్తా	k oː s t̪ aː
కోస్తాంధ్ర	k oː s t̪ aː n̪ d̪ʱ ɾ ɐ
కౌమారము	k a u m aː r a m u
కౌముది	k ɐ ʊ̯ m ʊ d̪ ɪ
క్యూబా	k j uː b aː
క్రమము	k ɾ ɐ m ɐ m ʊ
క్రింద	k ɾ ɪ n̪ d̪ ɐ
క్రియ	k ɾ ɪ j ɐ
క్రీడ	k ɾ iː ɖ ɐ
క్రొత్త	k ɾ ɔ t̪ː ɐ
క్షురము	k ʂ ʊ ɾ ɐ m ʊ
క్షోణి	k ʂ oː ɳ i
ఖగము	kʰ ɐ ɡ ɐ m ʊ
ఖలీఫా	kʰ ɐ l iː pʰ aː
ఖోఖో	kʰ oː kʰ oː
ఖ్యాతి	kʰ j aː t̪ ɪ
గంగ	ɡ ã ŋ ɡ a
గండ	ɡ ɐ ɳ ɖ ɐ
గచ్చకాయ	ɡ ɐ t͡ɕː ɐ k aː j ɐ
గజం	ɡ ɐ d͡ʑ ɐ m̃
గజము	ɡ ɐ d͡ʑ ɐ m ʊ
గట్టు	ɡ a ʈː u
గడచు	ɡ ɐ ɖ ɐ t͡ɕ ʊ
గడప	ɡ ɐ ɖ ɐ p ɐ
గడి	ɡ ɐ ɖ ɪ
గడుచు	ɡ ɐ ɖ ʊ t͡ɕ ʊ
గడ్డ	ɡ ɐ ɖː ɐ
గడ్డం	ɡ ɐ ɖː ɐ m̃
గడ్డకట్టిన	ɡ ɐ ɖː ɐ k ɐ ʈː ɪ n̪ ɐ
గడ్డకట్టు	ɡ ɐ ɖː ɐ k ɐ ʈː ʊ
గడ్డము	ɡ ɐ ɖː ɐ m ʊ
గడ్డి	ɡ a ɖː i
గతి	ɡ a t i
గతిసిద్ధాంతము	ɡ ɐ t̪ ɪ s ɪ d̪ːʱ aː n̪ t̪ ɐ m ʊ
గది	ɡ ɐ d̪ ɪ
గదులు	ɡ ɐ d̪ ʊ l ʊ
గద్ద	ɡ a d̪ː a
గద్దముక్కు	ɡ ɐ d̪ː ɐ m ʊ kː ʊ
గబ్బు	ɡ ɐ bː ʊ
గర్దభము	ɡ ɐ ɾ d̪ ɐ bʱ ɐ m ʊ
గళరవము	ɡ ɐ ɭ ɐ ɾ ɐ ʋ ɐ m ʊ
గాజు	ɡ aː d͡ʑ ʊ
గాజులు	ɡ aː d͡ʑ ʊ l ʊ
గాడిద	ɡ aː ɖ ɪ d̪ ɐ
గాడిదగుడ్డు	ɡ aː ɖ i d a ɡ u ɖː u
గాతి	ɡ aː t i
గాథ	ɡ aː t̪ʰ ɐ
గాథలు	ɡ aː t̪ʰ ɐ l ʊ
గాయకము	ɡ aː j ɐ k ɐ m ʊ
గాలి	ɡ aː l ɪ
గాలికబురు	ɡ aː l ɪ k ɐ b ʊ ɾ ʊ
గాలిగోపురము	ɡ aː l ɪ ɡ oː p ʊ ɾ ɐ m ʊ
గాలిమాట	ɡ aː l ɪ m aː ʈ ɐ
గిండి	ɡ ɪ ɳ ɖ ɪ
గిడ్డ	ɡ i ɖː a
గిన్నె	ɡ ɪ n̪ n̪ ɛ
గిబ్బ	ɡ i bː a
గీ	ɡ iː
గీతి	ɡ iː t i
గుంజల	ɡ ʊ ɲ d͡ʑ ɐ l ɐ
గుంట	ɡ ʊ ɳ ʈ ɐ
గుండ	ɡ ʊ ɳ ɖ ɐ
గుండీ	ɡ ʊ ɳ ɖ iː
గుండీలు	ɡ ʊ ɳ ɖ iː l ʊ
గుండె	ɡ ʊ ɳ ɖ ɛ
గుండెలు	ɡ ʊ ɳ ɖ ɛ l ʊ
గుచ్చు	ɡ u t ʃː u
గుట్ట	ɡ ʊ ʈː ɐ
గుట్టు	ɡ ʊ ʈː ʊ
గుడి	ɡ ʊ ɖ ɪ
గుడ్డ	ɡ u ɖː a
గుడ్డి	ɡ ʊ ɖː ɪ
గుడ్డితనం	ɡ ʊ ɖː ɪ t̪ ɐ n̪ ɐ m̃
గుడ్డితనము	ɡ ʊ ɖː ɪ t̪ ɐ n̪ ɐ m ʊ
గుడ్డివాడు	ɡ ʊ ɖː ɪ ʋ aː ɖ ʊ
గుడ్డు	ɡ u ɖː u
గుడ్ల	ɡ ʊ ɖ l ɐ
గుద్ద	ɡ u d̪ː a
గుబుసు	ɡ ʊ b ʊ s ʊ
గుబ్బ	ɡ ʊ bː ɐ
గుబ్బలి	ɡ ʊ bː ɐ l ɪ
గుమ్మ	ɡ ʊ mː ɐ
గుమ్మం	ɡ ʊ mː ɐ m̃
గుమ్మము	ɡ ʊ mː ɐ m ʊ
గురక	ɡ ʊ ɾ ɐ k ɐ
గురి	ɡ ʊ ɾ ɪ
గురించి	ɡ ʊ ɾ ɪ ɲ t͡ɕ ɪ
గురించు	ɡ ʊ ɾ ɪ ɲ t͡ɕ ʊ
గురిపెట్టు	ɡ ʊ ɾ ɪ p ɛ ʈː ʊ
గురుతించు	ɡ ʊ ɾ ʊ t̪ ɪ ɲ t͡ɕ ʊ
గురుతు	ɡ ʊ ɾ ʊ t̪ ʊ
గురుతుంచు	ɡ ʊ ɾ ʊ t̪ ʊ ɲ t͡ɕ ʊ
గురుతుండు	ɡ ʊ ɾ ʊ t̪ ʊ ɳ ɖ ʊ
గురుతుతెచ్చు	ɡ ʊ ɾ ʊ t̪ ʊ t̪ ɛ t͡ɕː ʊ
గురుతుపట్టు	ɡ ʊ ɾ ʊ t̪ ʊ p ɐ ʈː ʊ
గురుతుపెట్టు	ɡ ʊ ɾ ʊ t̪ ʊ p ɛ ʈː ʊ
గురుతువచ్చు	ɡ ʊ ɾ ʊ t̪ ʊ ʋ ɐ t͡ɕː ʊ
గురుసు	ɡ ʊ ɾ ʊ s ʊ
గుర్తించు	ɡ ʊ ɾ t̪ ɪ ɲ t͡ɕ ʊ
గుర్తు	ɡ ʊ ɾ t̪ ʊ
గుర్తుంచు	ɡ ʊ ɾ t̪ ʊ ɲ t͡ɕ ʊ
గుర్తుండు	ɡ ʊ ɾ t̪ ʊ ɳ ɖ ʊ
గుర్తుతెచ్చు	ɡ ʊ ɾ t̪ ʊ t̪ ɛ t͡ɕː ʊ
గుర్తుపట్టు	ɡ ʊ ɾ t̪ ʊ p ɐ ʈː ʊ
గుర్తుపెట్టు	ɡ ʊ ɾ t̪ ʊ p ɛ ʈː ʊ
గుర్తువచ్చు	ɡ ʊ ɾ t̪ ʊ ʋ ɐ t͡ɕː ʊ
గుర్రము	ɡ ʊ r ɐ m ʊ
గుఱి	ɡ ʊ r ɪ
గుఱించి	ɡ ʊ r ɪ ɲ t͡ɕ ɪ
గుఱించు	ɡ ʊ r ɪ ɲ t͡ɕ ʊ
గుఱుతించు	ɡ ʊ r ʊ t̪ ɪ ɲ t͡ɕ ʊ
గుఱుతు	ɡ ʊ r ʊ t̪ ʊ
గుఱుతుంచు	ɡ ʊ r ʊ t̪ ʊ ɲ t͡ɕ ʊ
గుఱుతుండు	ɡ ʊ r ʊ t̪ ʊ ɳ ɖ ʊ
గుఱుతుతెచ్చు	ɡ ʊ r ʊ t̪ ʊ t̪ ɛ t͡ɕː ʊ
గుఱుతుపట్టు	ɡ ʊ r ʊ t̪ ʊ p ɐ ʈː ʊ
గుఱుతుపెట్టు	ɡ ʊ r ʊ t̪ ʊ p ɛ ʈː ʊ
గుఱుతువచ్చు	ɡ ʊ r ʊ t̪ ʊ ʋ ɐ t͡ɕː ʊ
గుఱ్తించు	ɡ ʊ r t̪ ɪ ɲ t͡ɕ ʊ
గుఱ్తు	ɡ ʊ r t̪ ʊ
గుఱ్తుంచు	ɡ ʊ r t̪ ʊ ɲ t͡ɕ ʊ
గుఱ్తుండు	ɡ ʊ r t̪ ʊ ɳ ɖ ʊ
గుఱ్తుతెచ్చు	ɡ ʊ r t̪ ʊ t̪ ɛ t͡ɕː ʊ
గుఱ్తుపట్టు	ɡ ʊ r t̪ ʊ p ɐ ʈː ʊ
గుఱ్తుపెట్టు	ɡ ʊ r t̪ ʊ p ɛ ʈː ʊ
గుఱ్తువచ్చు	ɡ ʊ r t̪ ʊ ʋ ɐ t͡ɕː ʊ
గుఱ్ఱపుడెక్క	ɡ ʊ rː ɐ p ʊ ɖ ɛ kː ɐ
గులాబి	ɡ ʊ l aː b ɪ
గూడు	ɡ uː ɖ ʊ
గూఢం	ɡ uː ɖʱ ɐ m̃
గూఢచారి	ɡ uː ɖʱ ɐ t͡ɕ aː ɾ ɪ
గూఢము	ɡ uː ɖʱ ɐ m ʊ
గృహకృత్యము	ɡ ɻ̍ h ɐ k ɻ̍ t̪ j ɐ m ʊ
గృహము	ɡ ɻ̍ h ɐ m ʊ
గేదె	ɡ eː d̪ ɛ
గేదెకాళ్లు	ɡ eː d̪ ɛ k aː ɭː ʊ
గేదెదూడ	ɡ eː d̪ ɛ d̪ uː ɖ ɐ
గేదెలు	ɡ eː d̪ ɛ l ʊ
గొండి	ɡ ɔ ɳ ɖ ɪ
గొంతు	ɡ ɔ n̪ t̪ ʊ
గొంతునొప్పి	ɡ ɔ n̪ t̪ ʊ n̪ ɔ pː ɪ
గొడ్డు	ɡ o ɖː u
గొప్ప	ɡ ɔ pː ɐ
గొప్పవాడు	ɡ ɔ pː ɐ ʋ aː ɖ ʊ
గొయ్యాపండు	ɡ ɔ jː aː p ɐ ɳ ɖ ʊ
గోంగూర​	ɡ oː ŋ ɡ uː ɾ ɐ
గోడ	ɡ oː ɖ ɐ
గోపురము	ɡ oː p ʊ ɾ ɐ m ʊ
గోమయము	ɡ oː m ɐ j ɐ m ʊ
గోరింట	ɡ oː ɾ ɪ ɳ ʈ ɐ
గోరు	ɡ oː ɾ ʊ
