𐌰𐌱𐌿	a b u
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽𐌳𐍃	ɡ a b a n d w j a n d s
𐌲𐌰𐌱𐌰𐌽𐌳𐍅𐌾𐌰𐌽𐌳𐍉𐌽𐌰	ɡ a b a n d w j a n d oː n a
𐌲𐌰𐌱𐌰𐌿𐌰𐌽	ɡ a b ɔː a n
𐌲𐌰𐌱𐌰𐌿𐍂	ɡ a b ɔ r
𐌲𐌰𐌱𐌰𐌿𐍂𐌰𐌼	ɡ a b ɔ r a m
𐌲𐌰𐌱𐌰𐌿𐍂𐌰𐌽	ɡ a b ɔ r a n
𐌲𐌰𐌱𐌰𐌿𐍂𐌰𐌽𐍃	ɡ a b ɔ r a n s
𐌲𐌰𐌱𐌰𐌿𐍂𐌲𐌾𐌰	ɡ a b ɔ r ɡ j a
𐌲𐌰𐌱𐌰𐌿𐍂𐌲𐌾𐌰𐌽𐍃	ɡ a b ɔ r ɡ j a n s
𐌲𐌰𐌱𐌰𐌿𐍂𐌾𐌰𐌱𐌰	ɡ a b ɔ r j a b a
𐌲𐌰𐌱𐌰𐌿𐍂𐍉𐍃	ɡ a b ɔ r oː s
𐌲𐌰𐌱𐌴𐌹𐌳𐌰𐌽	ɡ a b iː d a n
𐌲𐌰𐌱𐌴𐌹𐌳𐌹𐌸	ɡ a b iː d i θ
𐌲𐌰𐌱𐌴𐌹𐍃𐍄𐌴𐌹𐌸	ɡ a b iː s t iː θ
𐌲𐌰𐌱𐌴𐌹𐍃𐍄𐌾𐌰𐌽	ɡ a b iː s t j a n
𐌲𐌰𐌱𐌹𐌲𐌰𐌱𐌰	ɡ a b i ɡ a
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽	ɡ a b i ɡ n a n
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a b i ɡ n a n d a n s
𐌲𐌰𐌱𐌹𐌲𐌽𐌰𐌽𐌳𐍃	ɡ a b i ɡ n a n d s
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽	ɡ a b i ɡ j a n
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a b i ɡ j a n d a n s
𐌲𐌰𐌱𐌹𐌲𐌾𐌰𐌽𐌳𐍃	ɡ a b i ɡ j a n d s
𐌲𐌰𐌱𐌹𐌲𐍃	ɣ a β i x s
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌹𐌸	ɡ a b i d j ɛː θ
𐌲𐌰𐌱𐌹𐌳𐌾𐌰𐌽	ɡ a b i d j a n
𐌲𐌰𐌱𐌹𐌿𐌲𐌰𐌽	ɡ a b i u̯ ɡ a n
𐌲𐌰𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽	ɡ a b l ɔː θ j a n
𐌲𐌰𐌱𐌻𐌰𐌿𐌸𐌾𐌰𐌽𐌳𐍃	ɡ a b l ɔː θ j a n d s
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰	ɡ a b l iː θ j a
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽	ɡ a b l iː θ j a n
𐌲𐌰𐌱𐌻𐌴𐌹𐌸𐌾𐌰𐌽𐌳𐍃	ɡ a b l iː θ j a n d s
𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌹𐌳𐌰	ɡ a b l i n d i d a
𐌲𐌰𐌱𐌻𐌹𐌽𐌳𐌾𐌰𐌽	ɡ a b l i n d j a n
𐌲𐌰𐌱𐌿𐌲𐌰𐌽𐌰𐌹𐌼	ɡ a b u ɡ a n ɛː m
𐌲𐌰𐌱𐌿𐌲𐌰𐌽𐍃	ɡ a b u ɡ a n s
𐌲𐌰𐌱𐌿𐌽𐌳𐌿𐌽	ɡ a b u n d u n
𐌲𐌰𐌱𐍂𐌰𐌺	ɡ a b r a k
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌳𐌰𐌹	ɡ a b r a n n i d ɛː
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌳𐌰𐌹𐌶𐍉𐍃	ɡ a b r a n n i d ɛː z oː s
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌹𐌸𐍃	ɡ a b r a n n i θ s
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌹𐌳𐌰𐌿	ɡ a b r a nː j ɛː d ɔː
𐌲𐌰𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌽	ɡ a b r a nː j a n
𐌲𐌰𐌱𐍂𐌹𐌺𐌰𐌽	ɡ a b r i k a n
𐌲𐌰𐌱𐍂𐌹𐌺𐌰𐌽𐌳𐍃	ɡ a b r i k a n d s
𐌲𐌰𐌱𐍂𐌿𐌺𐌰𐌽𐍃	ɡ a b r u k a n s
𐌲𐌰𐌱𐍂𐌿𐌺𐌰𐌽𐍉	ɡ a b r u k a n oː
𐌲𐌰𐌱𐍉𐍄𐌴𐌹𐌸	ɡ a b oː t iː θ
𐌲𐌰𐌱𐍉𐍄𐌾𐌰𐌽	ɡ a b oː t j a n
𐌲𐌰𐌲𐌲𐌰𐌽	ɡ a ŋ ɡ a n
𐌲𐌰𐌲𐌿𐌳𐌰𐌱𐌰	ɡ a ɡ u d a b a
𐌲𐌰𐌲𐌿𐌳𐌴𐌹	ɡ a ɡ u d iː
𐌲𐌰𐌲𐌿𐌳𐌴𐌹𐌽	ɡ a ɡ u d iː n
𐌲𐌰𐌲𐌿𐌳𐌴𐌹𐌽𐍃	ɡ a ɡ u d iː n s
𐌲𐌰𐌲𐌿𐌳𐍃	ɡ a ɡ u θ s
𐌲𐌰𐌳𐌰𐌹𐌻𐌾𐌰𐌽	ɣ a d ɛː l j a n
𐌲𐌰𐌳𐌰𐌿𐌱𐌹𐌳𐌰	ɡ a d ɔː b i d a
𐌲𐌰𐌳𐌰𐌿𐌱𐌾𐌰𐌽	ɡ a d ɔː b j a n
𐌲𐌰𐌳𐌰𐌿𐌺𐌰𐌽𐍃	ɡ a d ɔː k a n s
𐌲𐌰𐌳𐌹𐌲𐌰𐌽	ɡ a d i ɡ a n
𐌲𐌰𐌳𐌹𐌲𐌰𐌽𐍃	ɡ a d i ɡ a n s
𐌲𐌰𐌳𐌹𐌲𐌹𐍃	ɡ a d i ɡ i s
𐌲𐌰𐌳𐌹𐌿𐍀𐌹𐌳𐌰	ɡ a d i u̯ p i d a
𐌲𐌰𐌳𐌹𐌿𐍀𐌾𐌰𐌽	ɡ a d i u̯ p j a n
𐌲𐌰𐌳𐍂𐌰𐌲𐌺𐌴𐌹𐌸	ɡ a d r a ŋ k iː θ
𐌲𐌰𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌹	ɡ a d r a ŋ k j ɛː
𐌲𐌰𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽	ɡ a d r a ŋ k j a n
𐌲𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌹𐍃	ɡ a d r i n k ɛː s
𐌲𐌰𐌳𐍂𐌹𐌲𐌺𐌰𐌽	ɡ a d r i n k a n
𐌲𐌰𐌳𐍂𐌹𐌿𐍃𐌰𐌽	ɡ a d r i u̯ s a n
𐌲𐌰𐌳𐍂𐍉𐌱𐌽𐌰𐌽	ɡ a d r oː b n a n
𐌲𐌰𐌳𐍂𐍉𐌱𐌽𐍉𐌳𐌰	ɡ a d r oː b n oː d a
𐌲𐌰𐌷𐌰𐌹𐌻𐌰𐌽𐌰	ɡ a h ɛː l a n a
𐌲𐌰𐌷𐌰𐌹𐌻𐌹𐌳𐌰	ɡ a h ɛː l i d a
𐌲𐌰𐌷𐌰𐌹𐌻𐌹𐌳𐌰𐌹	ɡ a h ɛː l i d ɛː
𐌲𐌰𐌷𐌰𐌹𐌻𐌹𐌸𐍃	ɡ a h ɛː l i θ s
𐌲𐌰𐌷𐌰𐌹𐌻𐍃	ɡ a h ɛː l s
𐌲𐌰𐌷𐌰𐌹𐍄𐌰𐌽𐌳𐌴𐌹𐌼	ɡ a h ɛː t a n d iː m
𐌲𐌰𐌷𐌰𐌼𐍉𐌳𐌰𐌹	ɡ a h a m oː d ɛː
𐌲𐌰𐌷𐌰𐌼𐍉𐌸	ɡ a h a m oː θ
𐌲𐌰𐌷𐌰𐌼𐍉𐌸𐍃	ɡ a h a m oː θ s
𐌲𐌰𐌷𐌰𐌿𐌽𐌹𐌳𐌰	ɡ a h ɔː n i d a
𐌲𐌰𐌷𐌰𐌿𐌽𐌾𐌰𐌹	ɡ a h ɔː n j ɛː
𐌲𐌰𐌷𐌰𐌿𐌽𐌾𐌰𐌽	ɡ a h ɔː n j a n
𐌲𐌰𐌷𐌰𐌿𐍃𐌹𐌸𐍃	ɡ a h ɔː s i θ s
𐌲𐌰𐌷𐌰𐍂𐌳𐌴𐌹𐌸	ɡ a h a r d iː θ
𐌲𐌰𐌷𐌰𐍂𐌳𐌾𐌰𐌽	ɡ a h a r d j a n
𐌲𐌰𐌷𐌰𐍆𐍄𐌽𐌰𐌽	ɡ a h a f t n a n
𐌲𐌰𐌷𐌰𐍆𐍄𐌽𐌰𐌽𐌳𐌰𐌽	ɡ a h a f t n a n d a n
𐌲𐌰𐌷𐌰𐍆𐍄𐌽𐌰𐌽𐌳𐍃	ɡ a h a f t n a n d s
𐌲𐌰𐌷𐌼𐌴𐌻𐌹𐌳𐌰	ɡ a h m eː l i d a
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌹𐌳𐌰𐌽𐍃	ɡ a h n ɛː w i d a n s
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌹𐌸𐍃	ɡ a h n ɛː w i θ s
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌾𐌰𐌳𐌰	ɡ a h n ɛː w j a d a
𐌲𐌰𐌷𐌽𐌰𐌹𐍅𐌾𐌰𐌽	ɡ a h n ɛː w j a n
𐌲𐌰𐌷𐌽𐌹𐍀𐌽𐌰𐌽	ɡ a h n i p n a n
𐌲𐌰𐌷𐌽𐌹𐍀𐌽𐌰𐌽𐌳𐍃	ɡ a h n i p n a n d s
𐌲𐌰𐌷𐌿𐌻𐌹𐌳𐌰	ɡ a h u l i d a
𐌲𐌰𐌷𐌿𐌻𐌹𐌳𐌰𐌼𐌼𐌰	ɡ a h u l i d a m m a
𐌲𐌰𐌷𐌿𐌻𐌹𐌸	ɡ a h u l i θ
𐌲𐌰𐌷𐌿𐌻𐌹𐌸𐍃	ɡ a h u l i θ s
𐌲𐌰𐌷𐌿𐌻𐌾𐌰𐌹	ɡ a h u l j ɛː
𐌲𐌰𐌷𐌿𐌻𐌾𐌰𐌽	ɡ a h u l j a n
𐌲𐌰𐌷𐍉𐌱𐌰𐌹𐌽𐍃	ɡ a h oː b ɛː n s
𐌲𐌰𐌷𐍉𐍂𐌹𐌽𐍉𐌳𐌰	ɡ a h oː r i n oː d a
𐌲𐌰𐌷𐍉𐍂𐌹𐌽𐍉𐌽	ɡ a h oː r i n oː n
𐌲𐌰𐌹𐍂𐌽𐌾𐌰𐌹𐍃	ɡ ɛ r n j ɛː s
𐌲𐌰𐌹𐍂𐌽𐌾𐌰𐌽	ɡ ɛ r n j a n
𐌲𐌰𐌹𐍄𐌴𐌹𐌽	ɡ ɛː t iː n
𐌲𐌰𐌹𐍄𐍃	ɡ ɛː t s
𐌲𐌰𐌺𐌰𐌿𐍃𐌹𐌳𐌴𐌳𐌿𐌼	ɡ a k ɔː s i d eː d u m
𐌲𐌰𐌺𐌰𐌿𐍃𐌾𐌰𐌽	ɡ a k ɔː s j a n
𐌲𐌰𐌺𐌰𐍂𐍉𐌽	ɣ a k a r oː n
𐌲𐌰𐌺𐌹𐌿𐍃𐌰𐌽𐌳𐌰𐌽𐍃	ɡ a k i u̯ s a n d a n s
𐌲𐌰𐌺𐌹𐌿𐍃𐌰𐌽𐌳𐍃	ɡ a k i u̯ s a n d s
𐌲𐌰𐌺𐍂𐍉𐍄𐍉𐌳𐌰	ɡ a k r oː t oː d a
𐌲𐌰𐌺𐍂𐍉𐍄𐍉𐌽	ɡ a k r oː t oː n
𐌲𐌰𐌻𐌴𐌹𐌺𐌰𐌽	ɡ a l iː k aː n
𐌲𐌰𐌼𐌰𐌲𐌰𐌽	ɡ a m a ɡ a n
𐌲𐌰𐌼𐌰𐌹𐍄𐌰𐌽	ɡ a m ɛː t a n
𐌲𐌰𐌼𐌰𐌹𐍄𐌰𐌽𐍃	ɡ a m ɛː t a n s
𐌲𐌰𐌼𐌰𐌹𐍄𐌰𐌽𐍉𐌽	ɡ a m ɛː t a n oː n
𐌲𐌰𐌼𐌰𐌻𐍅𐌹𐌳𐌰𐌽𐍃	ɡ a m a l w i d a n s
𐌲𐌰𐌼𐌰𐌻𐍅𐌹𐌸𐍃	ɡ a m a l w i θ s
𐌲𐌰𐌼𐌰𐌻𐍅𐌾𐌰𐌽	ɡ a m a l w j a n
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌹𐌳𐌰	ɡ a m ɔ r ɡ j a n d s
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌹𐌳𐌴𐌳𐌹	ɡ a m ɔ r ɡ i d eː d i
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌹𐌸	ɡ a m ɔ r ɡ i θ
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌹𐌸𐍃	ɡ a m ɔ r ɡ i θ s
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌾𐌰𐌽	ɡ a m ɔ r ɡ j a n
𐌲𐌰𐌼𐌰𐌿𐍂𐌲𐌾𐌰𐌽𐌳𐍃	ɡ a m ɔ r ɡ j a n d s
𐌲𐌰𐌼𐌰𐍂𐌺𐍉𐌸	ɡ a m a r k oː θ
𐌲𐌰𐌼𐌰𐍂𐌺𐍉𐌽	ɡ a m a r k oː n
𐌲𐌰𐌼𐌰𐍄	ɡ a m a t
𐌲𐌰𐌼𐌰𐍄𐌹𐌳𐌴𐌳𐌿𐌽	ɡ a m a t i d eː d u n
𐌲𐌰𐌼𐌰𐍄𐌾𐌰𐌽	ɡ a m a t j a n
𐌲𐌰𐌼𐌰𐍄𐌾𐌹𐍃	ɡ a m a t j i s
𐌲𐌰𐌼𐌹𐌺𐌹𐌻𐌹𐌳𐌰	ɡ a m i k i l i d a
𐌲𐌰𐌼𐌹𐌺𐌹𐌻𐌾𐌰𐌽	ɡ a m i k i l j a n
𐌲𐌰𐌼𐌹𐍄𐌰𐌽	ɡ a m i t a n
𐌲𐌰𐌼𐍉𐍄𐌴𐌹𐌼𐌰	ɡ a m oː t iː m a
𐌲𐌰𐌽𐌰𐌲𐌻𐌾𐌰𐌽	ɡ a n a ɡ l j a n
𐌲𐌰𐌽𐌰𐌲𐌻𐌾𐌰𐌽𐌳𐍃	ɡ a n a ɡ l j a n d s
𐌲𐌰𐌽𐌰𐌹𐍄𐌹𐌳𐌰𐌽𐌰	ɡ a n ɛː t i d a n a
𐌲𐌰𐌽𐌰𐌹𐍄𐌹𐌸𐍃	ɡ a n ɛː t i θ s
𐌲𐌰𐌽𐌰𐌹𐍄𐌾𐌰𐌽	ɡ a n ɛː t j a n
𐌲𐌰𐌽𐌰𐌽𐌸𐌹𐌳𐌰	ɡ a n a n θ i d a
𐌲𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽	ɡ a n a n θ j a n
𐌲𐌰𐌽𐌰𐌿𐌷𐌰	ɡ a n ɔ h a
𐌲𐌰𐌽𐌰𐌿𐌷𐌰𐌽	ɡ a n ɔ h a n
𐌲𐌰𐌽𐌰𐌿𐌷𐌹𐌽	ɡ a n ɔ h i n
𐌲𐌰𐌽𐌰𐍃𐌹𐌳𐌰𐌹	ɡ a n a s i d ɛː
𐌲𐌰𐌽𐌰𐍃𐌹𐌸𐍃	ɡ a n a s i θ s
𐌲𐌰𐌽𐌰𐍄𐌹𐌳𐌰	ɡ a n a t i d a
𐌲𐌰𐌽𐌰𐍄𐌾𐌰𐌽	ɡ a n a t j a n
𐌲𐌰𐌽𐌰𐍅𐌹𐍃𐍄𐍂𐍉𐌳𐌰𐌹	ɡ a n a w i s t r oː d ɛː
𐌲𐌰𐌽𐌰𐍅𐌹𐍃𐍄𐍂𐍉𐌸𐍃	ɡ a n a w i s t r oː θ s
𐌲𐌰𐌽𐌰𐍅𐌹𐍃𐍄𐍂𐍉𐌽	ɡ a n a w i s t r oː n
𐌲𐌰𐌿𐍂𐌾𐌰𐌽	ɡ ɔː r j a n
𐌲𐌰𐍂𐌳𐌰	ɡ a r d a
𐌲𐌰𐍂𐌳𐌰𐌽	ɡ a r d a n
𐌲𐌰𐍂𐌴𐌳𐌰𐌽	ɡ a r eː d a n
𐌲𐌰𐍃𐌰𐌲𐌲𐌵	ɡ a s a n kʷ
𐌲𐌰𐍃𐌹𐌲𐌲𐌵𐌰𐌹	ɡ a s i n kʷ ɛː
𐌲𐌰𐍃𐌹𐌲𐌲𐌵𐌰𐌽	ɡ a s i n kʷ a n
𐌲𐌰𐍃𐌹𐌲𐌻𐌾𐌰𐌽	ɡ a s i ɡ l j a n
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌳𐌴𐌹	ɡ a s t i ɡ oː d iː
𐌲𐌰𐍃𐍄𐌹𐌲𐍉𐌸𐍃	ɡ a s t i ɡ oː θ sː
𐌲𐌰𐍄𐌰𐌹𐍂𐌰𐌽	ɣ a t ɛ r a n
𐌲𐌰𐍄𐌰𐌽𐌳𐌹𐌳𐌰	ɡ a t a n d i d a
𐌲𐌰𐍄𐌰𐌽𐌳𐌹𐌸𐍃	ɡ a t a n d i θ s
𐌲𐌰𐍄𐌰𐌽𐌳𐌾𐌰𐌽	ɡ a t a n d j a n
𐌲𐌰𐍄𐌰𐌿𐌾𐌰𐌽	ɣ a t ɔː j a n
𐌲𐌰𐍄𐌹𐌼𐌰𐌽	ɡ a t i m a n
𐌲𐌰𐍄𐌹𐌿𐌷𐌰𐌽	ɡ a t i u̯ h a n
𐌲𐌰𐍅𐌰𐌻𐌳𐌰𐌽	ɡ a w a l d a n
𐌲𐌰𐍅𐌰𐍃𐌾𐌰𐌽	ɡ a w a s j a n
𐌲𐌰𐍆𐌰𐌿𐍂𐌾𐍉𐍃	ɡ a f ɔː r j oː s
𐌲𐌰𐍆𐌰𐌿𐍂𐍃	ɡ a f ɔː r s
𐌲𐌰𐍆𐌴𐌷𐌰𐌱𐌰	ɡ a f eː h a b a
𐌲𐌰𐍆𐌴𐍄𐌴𐌹𐌽𐍃	ɡ a f eː t iː n s
𐌲𐌰𐍆𐍂𐌰𐌸𐌾𐌴𐌹	ɡ a f r a θ j iː
𐌲𐌰𐍆𐍂𐌰𐌸𐌾𐌴𐌹𐌽	ɡ a f r a θ j iː n
𐌲𐌰𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽	ɡ a f r ɛ h n a n
𐌲𐌰𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽𐌳𐌰𐌼	ɡ a f r ɛ h n a n d a m
𐌲𐌰𐍆𐍂𐌰𐌹𐌷𐌽𐌰𐌽𐌳𐍃	ɡ a f r ɛ h n a n d s
𐌲𐌰𐍆𐍂𐌴𐌷𐌿𐌽	ɡ a f r eː h u n
𐌲𐌰𐍆𐍂𐌹𐍃𐌰𐌷𐍄𐌹𐌸	ɡ a f r i s a h t i θ
𐌲𐌰𐍆𐍂𐌹𐍃𐌰𐌷𐍄𐌹𐌸𐍃	ɡ a f r i s a h t i θ s
𐌲𐌰𐍆𐍂𐌹𐍃𐌰𐌷𐍄𐌾𐌰𐌽	ɡ a f r i s a h t j a n
𐌲𐌿𐌻𐌸	ɡ u l θ
𐌲𐌿𐌼𐌰	ɡ u m a
𐌲𐍂𐌰𐌱𐌰𐌽	ɡ r a b a n
𐌲𐍂𐌰𐍃	ɡ r a s
𐌲𐍂𐌰𐍃𐌴	ɡ r a s eː
𐌲𐍂𐌴𐌳𐌰𐌲𐍃	ɡ r eː d a ɡ s
𐌲𐍂𐌴𐌹𐍀𐌰𐌽	ɡ r iː p a n
𐌲𐍂𐍉𐌱𐌰	ɡ r oː b a
𐌲𐍂𐍉𐌱𐍉𐍃	ɡ r oː b oː s
𐌲𐍉𐌸𐍃	ɣ oː θ s
𐌳𐌰𐌹𐌲	d ɛː x
𐌳𐌰𐌹𐌻𐌾𐌰𐌽	d ɛː l j a n
𐌳𐌰𐌹𐌼𐍉𐌽𐌰𐍂𐌴𐌹𐍃	d ɛː m oː n aː r iː s
𐌳𐌰𐌻𐌰𐌸	d a l a θ
𐌳𐌰𐌻𐌰𐌸𐌰	d a l a θ a
𐌳𐌰𐌻𐌴	d a l eː
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌴𐌹𐍃	d ɔː θ u b l iː s
𐌳𐌰𐌿𐌸𐌿𐌱𐌻𐌾𐌰𐌽𐍃	d ɔː θ u b l j a n s
𐌳𐌰𐌿𐌸𐌿𐍃	d ɔː θ u s
𐌳𐌰𐌿𐍀𐌾𐌰𐌽	d ɔː p j a n
𐌳𐌰𐌿𐍀𐌾𐌰𐌽𐌳	d ɔː p j a n d
𐌳𐌰𐌿𐍀𐌾𐌰𐌽𐌳𐌹𐌽	d ɔː p j a n d i n
𐌳𐌰𐌿𐍀𐌾𐌰𐌽𐌳𐌹𐌽𐍃	d ɔː p j a n d i n s
𐌳𐌰𐌿𐍀𐌾𐌰𐌽𐌳𐍃	d ɔː p j a n d s
𐌳𐌰𐌿𐍆𐍃	d ɔː f s
𐌳𐌹𐌲𐌰𐌽	d i ɡ a n
𐌳𐌹𐌲𐌰𐌽𐌰	d i ɡ a n a
𐌳𐌹𐌲𐌰𐌽𐌳𐌹𐌽	d i ɡ a n d i n
𐌳𐌹𐌲𐌰𐌽𐌳𐍃	d i ɡ a n d s
𐌳𐌹𐌲𐌰𐌽𐍃	d i ɡ a n s
𐌳𐌹𐌲𐍂𐌴𐌹	d i ɣ r iː
𐌳𐌹𐌲𐍂𐌴𐌹𐌽	d i ɣ r iː n
𐌳𐌹𐌿𐌶𐌰𐌼	d i u̯ z a m
𐌳𐌹𐌿𐍃	d i u̯ s
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌳𐌰	d i s d ɛː l i d a
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌹𐌸𐍃	d i s d ɛː l i θ s
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌾𐌰𐌽	d i s d ɛː l j a n
𐌳𐌹𐍃𐌳𐌰𐌹𐌻𐌾𐌰𐌽𐌳	d i s d ɛː l j a n d
𐌳𐌹𐍃𐌳𐍂𐌰𐌿𐍃	d i s d r a u̯ s
𐌳𐌹𐍃𐌳𐍂𐌹𐌿𐍃𐌰𐌽	d i s d r i u̯ s a n
𐌳𐌹𐍃𐌷𐌽𐌹𐌿𐍀𐌰𐌽	d i s h n i u̯ p a n
𐌳𐌹𐍃𐌷𐌽𐌹𐌿𐍀𐌰𐌽𐌳𐍃	d i s h n i u̯ p a n d s
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐌰𐌽	d i s h n u p n a n
𐌳𐌹𐍃𐌷𐌽𐌿𐍀𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s h n u p n oː d eː d u n
𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌰𐌽	d i s h u l j a n
𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌹𐌸	d i s h u l j i θ
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽	d i s n i m a n
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽𐌳𐌰𐌽𐍃	d i s n i m a n d a n s
𐌳𐌹𐍃𐌽𐌹𐌼𐌰𐌽𐌳𐍃	d i s n i m a n d s
𐌳𐌹𐍃𐍃𐌹𐌲𐌵𐌰𐌹	d i s s i ŋ kʷ ɛː
𐌳𐌹𐍃𐍃𐌹𐌲𐌵𐌰𐌽	d i s s i ŋ kʷ a n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽	d i s s k ɛː d a n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐌴𐌹𐌽	d i s s k ɛː d a n d iː n
𐌳𐌹𐍃𐍃𐌺𐌰𐌹𐌳𐌰𐌽𐌳𐍃	d i s s k ɛː d a n d s
𐌳𐌹𐍃𐍃𐌺𐍂𐌴𐌹𐍄𐌰𐌽	d i s s k r iː t a n
𐌳𐌹𐍃𐍃𐌺𐍂𐌴𐌹𐍄𐌰𐌽𐌳𐍃	d i s s k r iː t a n d s
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐌰𐌽	d i s s k r i t n a n
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐍉𐌳𐌰	d i s s k r i t n oː ð a
𐌳𐌹𐍃𐍃𐌺𐍂𐌹𐍄𐌽𐍉𐌳𐌴𐌳𐌿𐌽	d i s s k r i t n oː ð a
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽	d i s t a h iː n
𐌳𐌹𐍃𐍄𐌰𐌷𐌴𐌹𐌽𐍃	d i s t a h iː n s
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌰	d i s t a h i d a
𐌳𐌹𐍃𐍄𐌰𐌷𐌹𐌳𐌴𐌳𐌹	d i s t a h i d eː d i
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌳𐌰	d i s t a h j a d a
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌰𐌽	d i s t a h j a n
𐌳𐌹𐍃𐍄𐌰𐌷𐌾𐌹𐌸	d i s t a h j i θ
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌰𐌹	d i s t ɛ r ɛː
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌰𐌽	d i s t ɛ r a n
𐌳𐌹𐍃𐍄𐌰𐌹𐍂𐌹𐌸	d i s t ɛ r i θ
𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽	d i s t ɔ r n a n
𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽𐌳	d i s t ɔ r n a n d
𐌳𐌹𐍃𐍅𐌹𐌻𐍅𐌰𐌹	d i s w i l w ɛː
𐌳𐌹𐍃𐍅𐌹𐌻𐍅𐌰𐌽	d i s w i l w a n
𐌳𐌹𐍃𐍅𐌹𐌽𐌸𐌴𐌹𐌸	d i s w i n θ iː θ
𐌳𐌹𐍃𐍅𐌹𐌽𐌸𐌾𐌰𐌽	d i s w i n θ j a n
𐌳𐌹𐍃𐍅𐌹𐍃𐍃	d i s w i s s
𐌳𐌹𐍃𐍅𐌹𐍃𐍃𐌰𐌹𐍃	d i s w i s s ɛː s
𐌳𐌿𐌰𐍄𐍃𐌽𐌴𐍅𐌿𐌽	d u a t s n eː w u n
𐌳𐌿𐌰𐍄𐍃𐌽𐌹𐍅𐌰𐌽	d u a t s n i w a n
𐌳𐌿𐌲𐌰𐌽	d u ɣ a n
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌰𐌽	d u ɡ a w i n d a n
𐌳𐌿𐌲𐌰𐍅𐌹𐌽𐌳𐌹𐌸	d u ɡ a w i n d i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌰𐌽	d u ɡ i n n a n
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌳	d u ɡ i n n i θ
𐌳𐌿𐌲𐌹𐌽𐌽𐌹𐌸	d u ɡ i n n i θ
𐌳𐌿𐌷𐌸𐌴	d u h θ eː
𐌳𐌿𐌸𐌴	d u θ eː
