Achab	aː k a b
delitably	d ɛ l iː t aː b l iː
delite	d eː l iː t ə
deliten	d eː l iː t ə n
delityng	d eː l iː t i n ɡ
delle	d ɛ l
delphyn	d ɔ l f i n
delphyn	d ɛ l f i n
delphyn	d ɛ l f iː n
deluden	d ə l i u̯ d ə n
deluden	d ɛ l i u̯ d ə n
deluden	d ɛː l i u̯ d ə n
deluge	d ɛː l i u̯ d ʒ ə
delven	d ɛ l v ə n
delvere	d ɛ l v ə r ə
delvere	d ɛ l v ɛː r ə
delvynge	d ɛ l v i n ɡ ə
delynge	d ɛː l i n ɡ
demaunde	d ɛː m a n d ə
demaunde	d ɛː m a u̯ n d ə
demaunden	d ɛː m a n d ə n
demaunden	d ɛː m a u̯ n d ə n
demere	d eː m ə r ə
demon	d ɛː m ɔː n
demure	d ɛː m eː r
demure	d ɛː m i u̯ r
demure	d ɛː m u r
demurely	d ɛː m i u̯ r l iː
demuren	d ɛː m eː r ə n
demuren	d ɛː m i u̯ r ə n
demuren	d ɛː m u r ə n
den	d ɛ n
den	d ɛ n ə
den	d ɛː n
dene	d eː n ə
dene	d ɛː n ə
denyen	d ɛː n iː ə n
depe	d eː p
depely	d eː p l iː
depely	d eː p l iː k ə
depely	d eː p l iː t ʃ ə
depen	d eː p ə n
depnesse	d eː p n ɛ s
deposicion	d ɛ p ɔ z i s j u n
deposicion	d ɛ p ɔ z i s j uː n
depthe	d eː p θ ə
depthe	d ɛ p θ ə
dere	d eː r ə
derelyng	d eː r l i n ɡ
derelyng	d ɛ r l i n ɡ
derk	d ɛ r k
derkly	d ɛ r k l i t͡ʃ ə
derkly	d ɛ r k l iː
derknesse	d ɛ r k n ɛ s
derthe	d a r θ ə
derthe	d eː r θ ə
derthe	d i r θ ə
derthe	d ɛ r θ ə
derthe	d ɛː r θ ə
desert	d ɛ z ɛ r t
desert	d ɛː z ɛ r t
desirous	d ɛ z iː r u s
desirous	d ɛ z iː r uː s
dette	d ɛ t ə
dettour	d ɛ t u r
detty	d ɛ t iː
devel	d eː l
devel	d eː v ə l
devel	d ɛ v ə l
develiche	d eː v ə l iː
develiche	d eː v ə l iː t ʃ
develissh	d eː v ə l i ʃ
develissh	d ɛ v ə l i ʃ
develrye	d eː v ə l ə r iː ə
develrye	d ɛ v ə l ə r iː ə
devely	d eː v ə l iː
devely	d ɛ f l iː t ʃ ə
devouren	d ɛː v uː r ə n
devourere	d ɛː v uː r ə r ə
dew	d ɛ u̯
dewe	d i u̯ ə
dewy	d ɛ u̯ iː
dewyn	d ɛ u̯ ə n
dewynge	d ɛ u̯ i n ɡ
deyen	d iː ə n
deyen	d ɛ i ə n
deyne	d æ i̯ n ə
deyne	d ɛː n ə
deynen	d æ i̯ n ə n
deynous	d æ i̯ n u s
deynous	d æ i̯ n uː s
deynously	d æ i̯ n u s l iː
deynously	d æ i̯ n uː s l iː
deynte	d æ i̯ n t eː
deynte	d ɛ n t eː
deyntely	d æ i̯ n t eː l iː
deyntely	d æ i̯ n t i l iː
deynteth	d æ i̯ n t eː θ
deynteth	d æ i̯ n t ɛ θ
deynteth	d ɛ n t ɛ θ
deyntevous	d æ i̯ n t eː uː s
deyntevous	d æ i̯ n t i u s
deyntevous	d æ i̯ n t ɛ v uː s
deyntevously	d æ i̯ n t i u s l iː
deyntevously	d æ i̯ n t ɛ v uː s l iː
diademe	d iː a d ɛ m ə
diademe	d iː a d ɛː m ə
diall	d iː a l
diall	d iː ə l
dialog	d iː a l ɔ ɡ ə
dialog	d iː a l ɔː ɡ ə
difference	d i f ɛ r ɛ n s ə
different	d i f ɛ r ɛ n t
differently	d i f ɛ r ɛ n t l iː
differren	d i f ɛ r ə n
differryng	d i f ɛ r i n ɡ
dighten	d i x t ə n
digit	d i d ʒ i t
digit	d i d ʒ i t u s
digne	d i n ɡ n ə
digne	d i n ɡ ə
digne	d iː n ə
dignely	d i n ɡ n ə l iː
dignely	d iː n ə l iː
dignyte	d i n ɡ n i t eː
dile	d i l ə
dingen	d i n ɡ ə n
dint	d i n t
dint	d u n t
dint	d ɛ n t
dinten	d i n t ə n
dinten	d u n t ə n
dirige	d i r d͡ʒ ə
dirige	d i r i d͡ʒ ə
dirige	d iː r i d͡ʒ ə
disch	d i ʃ
discres	d i s k r ɛ s
discres	d i s k r ɛː s
discresen	d i s k r ɛ s ə n
discresen	d i s k r ɛː s ə n
disdeyne	d i s d æ i̯ n ə
disdeyne	d ɛː d æ i̯ n ə
disdeynen	d i s d æ i̯ n ə n
disdeynen	d ɛː d æ i̯ n ə n
disdeynous	d i s d æ i̯ n u s
disdeynous	d i s d æ i̯ n uː s
dishoneste	d i s ɔ n ɛ s t eː
dishoneste	d i s ɔ n ɛ s t ə
dishonestly	d i s ɔ n ɛ s t l iː
disparage	d i s p a r a d͡ʒ ə
disparage	d i s p a r aː d͡ʒ ə
disparagen	d i s p a r a d͡ʒ ə
disparagen	d i s p a r aː d͡ʒ ə
displayen	d i s p l æ i̯ ə n
disposicioun	d i s p ɔː s j u n
disposicioun	d i s p ɔː z i s j u n
disposicioun	d i s p ɔː z i s j uː n
dissimulacioun	d i s i m i l aː s j u n
dissimulacioun	d i s i m i u̯ l aː s i uː n
dissimulacioun	d i s i m i u̯ l aː s j u n
dissimulen	d i s i m i u̯ l ə n
dissimulour	d i s i m i l ə r
dissimulour	d i s i m i u̯ l u r
dissimulour	d i s i m i u̯ l uː r
dissolucioun	d i s ɔ l i u̯ s i uː n
dissolucioun	d i s ɔ l i u̯ s j u n
dissolven	d i s s ɔ l v ə n
dissolven	d i z ɔ l v ə n
distaf	d i s t a f
diverse	d i v ə r s
diverse	d iː v ə r s
diversite	d i v ə r s i t eː
diversite	d iː v ə r s i t eː
divisioun	d i v i z i uː n
divisioun	d i v i z j u n
doer	d oː ə r ə
doffen	d ɔ f ə n
dogge	d ɔ ɡ ə
dogh	d ɔ u̯ x
dogh	d ɔ x
dok	d ɔ k ə
doke	d oː k ə
doke	d u k ə
doke	d uː k ə
dokeling	d oː k l i n ɡ
dokeling	d u k l i n ɡ
dokeling	d uː k l i n ɡ
dokke	d ɔ k ə
dokkyn	d ɔ k ə n
dol	d ɔː l
dombenesse	d u m b n ɛ s
dombenesse	d uː m b n ɛ s
don	d oː n
don	d ɔ n
donge	d u n ɡ ə
dongeoun	d u n d ʒ u n
dongeoun	d u n d ʒ uː n
doom	d oː m
dore	d oː r ə
dore	d ɔː r ə
dorry	d ɔ r iː
dorry	d ɔ r ɛː
doseyne	d u z ɛ i̯ n ə
dosk	d u s k
dosk	d ɔ s k
dosk	d ɛ s k
dotacion	d ɔː t aː s j uː n
dotage	d ɔː t a d͡ʒ ə
dotage	d ɔː t aː d͡ʒ ə
dotard	d ɔː t a r d
dote	d ɔː t ə
doten	d ɔː t ə n
dotynge	d ɔː t i n ɡ
douce	d uː s
doucen	d uː s ə n
doucet	d u l s i t
doucet	d uː s i t
douen	d uː ə n
dought	d u x t
dought	d uː x t
doughter	d ɔ u̯ x t ə r
doughty	d u x t iː
doughty	d uː x t iː
doughty	d ɔ u̯ x t iː
doughty	d ɔ x t iː
doughtyly	d u x t i l iː
doughtyly	d u x t iː l iː
doughtynesse	d u x t i n ɛ s ə
doughtynesse	d u x t iː n ɛ s ə
doun	d uː n
dousour	d uː s u r
dousour	d uː s uː r
douthe	d u ɣ ə ð ə
douthe	d uː ð ə
douthe	d uː ə ð ə
douthe	d uː θ ə
douve	d uː f ə
douve	d uː v ə
douve	d uː ə
dovehouse	d uː f h uː s
dovehouse	d uː f uː s
dovehouse	d uː v ə h uː s
dowarye	d uː a r iː ə
dowarye	d uː r iː ə
dowarye	d uː ə r iː ə
dowen	d uː ə n
dower	d uː ə r ə
dower	d uː ɛː r ə
dragoun	d r a ɡ u n
dragoun	d r a ɡ uː n
drake	d r aː k ə
drane	d r aː n ə
drane	d r ɔː n ə
draught	d r a u̯ x t
drawen	d r a u̯ ə n
dred	d r ɛ d
dred	d r ɛː d
dreden	d r eː d ə n
dreden	d r ɛː d ə n
dredful	d r ɛ d f u l
dredful	d r ɛː d f u l
dredfully	d r ɛ d f u l l iː
dredfully	d r ɛː d f u l l iː
dredfulnesse	d r ɛ d f u l n ɛ s ə
dredfulnesse	d r ɛː d f u l n ɛ s ə
dredles	d r ɛ d l ɛː s
dredles	d r ɛː d l ɛː s
drednesse	d r ɛ d n ɛ s ə
drednesse	d r ɛː d n ɛ s ə
dredy	d r ɛː d iː
dregh	d r eː x
dregh	d r iː x
dregh	d r ɛ i̯ x
dreghly	d r eː x l iː
dreghly	d r iː x l iː
drem	d r ɛː m
dremen	d r eː m ə n
dremen	d r ɛː m ə n
dremere	d r ɛː m ə r ə
dremynge	d r eː m i n ɡ ə
dremynge	d r ɛː m i n ɡ ə
drenchen	d r i n t͡ʃ ə n
drenchen	d r ɛ n t͡ʃ ə n
dreng	d r i n d͡ʒ
dreng	d r i n ɡ
dreng	d r ɛ n d͡ʒ
dreng	d r ɛ n ɡ
drepen	d r eː p ə n
drepen	d r æː p ə n
drepen	d r ɛ p ə n
drepen	d r ɛː p ə n
drerily	d r eː r i l iː
drerily	d r eː r iː l i t͡ʃ ə
drerily	d r eː r iː l iː
drerily	d r eː r ə l i t͡ʃ ə
drerily	d r eː r ə l iː
drerimod	d r eː r iː m oː d
drery	d r eː r iː
drery	d r i u̯ r iː
dreryhed	d r eː r iː h ɛː d
drerynesse	d r eː r iː n ɛ s
dresen	d r eː z ə n
dressen	d r ɛ s ə n
dresser	d r ɛ s ə r ə
dressour	d r ɛ s i u̯ r
dressour	d r ɛ s u r
dressynge	d r ɛ s i n ɡ ə
drit	d r i t
driven	d r iː v ə n
droghte	d r u x t ə
droghte	d r u x θ ə
droghte	d r uː x t ə
droghte	d r uː ð ə
droghte	d r uː θ ə
droghte	d r ɔ u̯ x t ə
droghte	d r ɔ x t ə
drounen	d r uː n ə n
drye	d r iː ə
dryenesse	d r iː ə n ɛ s ə
dryenesse	d r yː ə n ɛ s ə
dryenesse	d r ɛ i̯ ə n ɛ s ə
dubler	d u b l eː r
dubler	d u b l ə r
duche	d u t ʃ eː
duchesse	d u t ʃ ɛ s ə
duely	d i u̯ ə l iː
duely	d i u̯ ə l iː t ʃ ə
duete	d i u̯ ə t eː
duk	d i u̯ k
duk	d u k
dukdom	d i u̯ k d oː m
dumb	d u m b
dumb	d uː m b
dumben	d u m b ə n
duracioun	d i u̯ r aː s i uː n
duracioun	d i u̯ r aː s j u n
durren	d u r ə n
dusken	d u s k ə n
dusken	d ɔ s k ə n
dusken	d ɛ s k ə n
dust	d u s t
dust	d uː s t
dusty	d u s t iː
dusty	d uː s t iː
dwale	d w aː l ə
dwalen	d w aː l ə n
dwele	d w ɛ l ə
dwele	d w ɛː l ə
dwelen	d w ɛ l ə n
dwelen	d w ɛː l ə n
dwelle	d w ɛ l ə
dwellen	d w ɛ l ə n
dweller	d w ɛ l ə r ə
dwellynge	d w ɛ l i n ɡ ə
dwergh	d w ɛ r f
dwergh	d w ɛ r i u̯
dwergh	d w ɛ r iː
dwergh	d w ɛ r x
dwynen	d w iː n ə n
dyamaunt	d iː a m a n d
dyamaunt	d iː a m a n t
dyamaunt	d iː a m a u̯ n d
dyamaunt	d iː a m a u̯ n t
dyamaunt	d iː a m ɔ n d
dyaper	d iː a p r ə
dyaper	d iː a p ə r
dyapren	d iː a p ə r ə n
dyggar	d i ɡ ə r
dynen	d iː n ə n
dyner	d i n eː r
dyner	d i n ə r
dyner	d iː n eː r
dyner	d iː n ə r
dynne	d eː n ə
dynne	d i n ə
dynne	d u n ə
dynnen	d i n ə n
dysy	d i z iː
ebbe	ɛ b ə
ebben	ɛ b ə n
eccho	ɛ k ɔː
ech	i l k
ech	i t͡ʃ
ech	ɛ t͡ʃ
ech	ɛː t͡ʃ
eche	eː t͡ʃ ə
edre	ɛː d ɾ ə
eere	ɛː r
eg	ɛ ɡ
egal	ɛ ɡ aː l
egal	ɛː ɡ aː l
egerly	ɛː ɡ ə r l iː
egerly	ɛː ɡ ə r l iː t ʃ ə
egernesse	ɛː ɡ ə r n ɛ s
egge	ɛ d ʒ ə
egged	i ɛ d ʒ i d
egged	ɛ d ʒ i d
egged	ɛ d ʒ ɛ d
eggement	ɛ ɡ ə m ɛ n t
eggen	ɛ ɡ ə n
eggyng	ɛ ɡ i n ɡ
egle	ɛː ɡ l ə
egle	ɛː ɡ ə l
eglenter	ɛ ɡ l ɛ n t eː r
egre	ɛː ɡ r ə
egre	ɛː ɡ ə r
egren	ɛː ɡ ə r ə n
egurdouce	ɛː ɡ ə r d uː s ə
eie	iː ə
eie	ɛ i̯ ə
eifulle	e j ə f u l
eifulle	ɛ i̯ ə f u l
eighte	a u̯ x t ə
eighte	ɛ i̯ x t ə
eightetene	a u̯ x t eː n ə
eightetene	ɛ i̯ x t eː n ə
eightetene	ɛ i̯ x t ə t eː n ə
eilen	ɛ i̯ l ə n
eiliche	e j ə l iː t ʃ
eiliche	ɛ i̯ ə l iː t ʃ
either	ɛ i̯ ð ə r
eiȝtthe	ɛ i̯ x t ə
eiȝtthe	ɛ i̯ x t ə ð ə
eiȝtthe	ɛ i̯ x t θ ə
eiȝtthe	ɛ i̯ x θ ə
ek	ɛː k
el	eː l
el	ɛː l
elat	ɛː l aː t
elbowe	ɛ l b ɔ u̯ ə
eldefader	e l d ə f aː d e r
elf	ɛ l f
elk	ɛ l k
ellern	ɛ l ɛ r n
elles	ɛ l ə s
elleven	n
elleven	ɛ n l ɛ v ə
elleven	ɛ n l ɛ v ə n ə
elleven	ɛ n l ɛː v ə
elleven	ɛ n l ɛː v ə n ə
elne	ɛ l
elne	ɛ l n
elne	ɛ l ə n
elnen	ɛ l n ə n
elven	a l v ə n
elven	ɛ l v ə n
elvyssh	a l v i ʃ
elvyssh	ɛ l v i ʃ
em	ɛː m
emeraude	ɛ m ə r a n t
emeraude	ɛ m ə r a u̯ d ə
emeraude	ɛ m ə r a u̯ n t
emeroides	ɛ m ə r u i̯ d i s
emeroides	ɛ m ə r ɔ u̯ d i s
emperice	ɛ m p ə r i s ə
emperice	ɛ m p ə r iː s ə
emperice	ɛ m p ə r ɛ s ə
emperie	ɛ m p ə r iː ə
emperie	ɛ m p ɛ r iː ə
emperour	ɛ m p ə r u r
emperour	ɛ m p ə r uː r
emperour	ɛ m p ə r ə r
empire	ɛ m p iː r ə
empire	ɛ m p ɛː r ə
emty	a m p t iː
emty	ɛ m p t iː
enamoured	ɛ n a m u r ɛ d
enamoured	ɛ n a m uː r ɛ d
enbawmen	ɛ m b a u̯ m ə n
encens	ɛ n s ɛ n s
encensen	ɛ n s ɛ n s ə n
enchaufen	ɛ n t͡ʃ a u̯ f ə n
enchaufen	ɛ n t͡ʃ aː f ə n
enchauntement	ɛ n t͡ʃ a n t ə m ɛ n t
enchauntement	ɛ n t͡ʃ a u̯ n t ə m ɛ n t
enchaunten	ɛ n t ʃ a n t ə n
enchaunten	ɛ n t ʃ a u̯ n t ə n
enchaunteresse	ɛ n t ʃ a n t ə r ɛ s ə
enchauntour	ɛ n t ʃ a n t u r
enchauntour	ɛ n t ʃ a n t uː r
enchauntour	ɛ n t ʃ a n t ə r
enchauntynge	ɛ n t ʃ a n t i n ɡ
enchauntynge	ɛ n t ʃ a u̯ n t i n ɡ
enchewen	ɛ n t͡ʃ i u̯ ə n
encompassen	ɛ n k u m p a s ə n
encres	ɛ n k r ɛ s
encres	ɛ n k r ɛː s
encresen	ɛ n k r ɛ s ə n
encresen	ɛ n k r ɛː s ə n
encresynge	ɛ n k r ɛ s i n ɡ ə
encresynge	ɛ n k r ɛː s i n ɡ ə
endamagen	ɛ n d a m a d͡ʒ ə n
endamagen	ɛ n d a m aː d͡ʒ ə n
ende	eː n d ə
ende	ɛ n d ə
ende	ɛ n ə d ə
ende	ɛː n d ə
ende	ɛː n ə d ə
endeles	ɛ n d ə l ɛ s
endeles	ɛ n d ə l ɛː s
endeles	ɛː n d ə l ɛ s
endeles	ɛː n d ə l ɛː s
endelesly	ɛ n d ə l ɛ s l iː
endelesly	ɛː n d ə l ɛː s l iː
endelesly	ɛː n d ə l ɛː s l iː t ʃ ə
endelesnesse	ɛ n d ə l ɛ s n ɛ s
endelesnesse	ɛː n d ə l ɛː s n ɛ s
endely	ɛ n d ə l iː
endely	ɛ n d ə l iː t ʃ ə
endely	ɛː n d ə l iː
enden	ɛ n d ə n
enden	ɛː n d ə n
ender	ɛ n d ə r ə
ender	ɛː n d ə r ə
endeynen	ɛ n d ɛ i̯ n ə n
endowable	ɛ n d uː aː b l ə
endowable	ɛ n d uː aː b ə l
endowement	ɛ n d uː ə m ɛ n t
endowen	ɛ n d uː ə n
endower	ɛ n d uː ə r ə
endower	ɛ n d uː ɛː r ə
endowynge	ɛ n d uː i n ɡ
endyng	ɛ n d i n ɡ
endyng	ɛ n d u n ɡ
endyng	ɛː n d i n ɡ
ene	ɛː n ə
enemy	ɛ n m iː
enemy	ɛ n ɛ m iː
enemyte	ɛ n m i t eː
enemyte	ɛ n ɛ m i t eː
enen	ɛː n ə n
enes	ɛ n ɛ s
enes	ɛː n ɛ s
enfeblen	ɛ n f eː b l ə n
enfeblisshen	ɛ n f eː b l i ʃ ə n
engreynen	ɛ n ɡ r æ i̯ n ə n
enhauncen	ɛ n h a n s ə n
enhauncen	ɛ n h a u̯ n s ə n
enhaunsynge	ɛ n h a n s i n ɡ ə
enhaunsynge	ɛ n h a u̯ n s i n ɡ ə
enquest	i n k w ɛ s t ə
enquest	ɛ n k w ɛ s t ə
enserche	ɛ n s ɛ r t͡ʃ ə
enserchen	ɛ n s ɛ r t͡ʃ ə n
enserchen	ɛ n s ɛː r t͡ʃ ə n
ensercher	ə n s ɛ r t ʃ uː r
ensercher	ə n s ɛː r t ʃ ə r
enserching	ɛ n s ɛ r t ʃ i n ɡ
enserching	ɛ n s ɛː r t ʃ i n ɡ
enthrallen	ɛ n θ r a l ə n
enula	ɛ n i u̯ l aː
envenymen	ɛ n v ɛ n i m ə n
envenymen	ɛ n v ɛ n iː m ə n
envenymous	ə n v ɛ n i m ə s
envenymous	ɛ n v ɛ n ə m u s
envenymous	ɛ n v ɛ n ə m uː s
envenymynge	ɛ n v ɛ n i m i n ɡ ə
envenymynge	ɛ n v ɛ n iː m i n ɡ ə
envie	ɛ n v iː ə
envien	ɛ n v iː ə n
envious	ɛ n v i u s
envious	ɛ n v i uː s
equal	ɛː k w a l
equal	ɛː k w aː l
er	ɛː r
erable	ɛː r aː b ə l
erchebischop	a r t͡ʃ ə b i ʃ ə p
erchebischop	ɛ r t͡ʃ ə b i ʃ ə p
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i k ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r i t͡ʃ ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r iː k ə
erchebischopriche	ɛ r t͡ʃ ə b i ʃ u p r iː t͡ʃ ə
erd	a r d
erd	ɛ r d
erd	ɛː r d
ere	ɛː r ə
eren	ɛ r i ə n
eren	ɛː r ə n
erende	ɛ r ɛ n d ə
erende	ɛː r ɛ n d ə
erere	ɛ r i ə r ə
erere	ɛː r ə r ə
ergo	ə r ɡ ɔː
eri	ɛː r iː
erl	j ɛ r l
erl	ɛ r l
erl	ɛ r ə l
erl	ɛː r l
erldom	ɛ r l d a m
erldom	ɛ r l d oː m
erldom	ɛ r l d u m
erldom	ɛ r l d ɔ m
erldom	ɛː r l d oː m
erly	ɛ r l iː
erly	ɛː r l iː
ermyne	a r m i n
ermyne	a r m iː n
ermyne	ɛ r m i n
ermyne	ɛ r m i n eː
ermyne	ɛ r m iː n
ern	a r n
ern	ɛ r n
ern	ɛː r n
ernen	ɛ r n ə n
ernen	ɛː r n ə n
erthe	eː r ð ə
erthe	ɛ r ð ə
erthe	ɛː r ð ə
erthely	ɛ r l iː
erthely	ɛ r ð ə l iː
erthely	ɛː r l iː
erthely	ɛː r ð ə l iː
erve	ɛ r f ə
erve	ɛ r v ə
eschaufen	ɛ s t ʃ a u̯ f ə n
eschaufen	ɛ s t ʃ aː f ə n
escheker	ɛ s t͡ʃ ɛ k eː r
escheker	ɛ s t͡ʃ ɛ k ə r
eschete	ɛ s t͡ʃ ɛː t ə
escheten	ɛ s t͡ʃ ɛː t ə n
escheterie	ɛ s t͡ʃ ɛː t ə r iː ə
eschetour	ɛ s t͡ʃ ɛː t u r
eschetour	ɛ s t͡ʃ ɛː t uː r
eschewen	ɛ s k i u̯ ə n
eschewen	ɛ s t͡ʃ i u̯ ə n
eschewen	ɛ ʃ i u̯ ə n
eschewen	ɛ θ t͡ʃ i u̯ ə n
est	ɛː s t
este	eː s t ə
este	ɛː s t ə
esterne	ɛː s t ə r n ə
esturne	ɛː s t ə r n ə
estward	ɛː s t w a r d
esy	ɛː z iː
ete	ɛː t ə
eten	ɛː t ə n
eternal	ɛː t ɛ r n a l
eternal	ɛː t ɛ r n aː l
eternal	ɛː t ɛ r n ɛː l
eternally	ɛː t ɛ r n a l iː
eternally	ɛː t ɛ r n aː l iː
eterne	ɛ t ɛ r n ə
eterne	ɛ t ɛː r n ə
eternyte	ɛː t ɛ r n i t eː
ethe	eː ð ə
ethe	ɛː ð ə
ethymologie	ɛ t i m ɔ l ɔ d ʒ iː
ethymologie	ɛ t i m ə l ɔ d ʒ iː
eukarist	ɛ u̯ k a r i s t ə
eunuk	ɛ u̯ n i u̯ k
eunuk	ɛ u̯ n u k
eunuk	ɛː n i u̯ k
eure	i u̯ r ə
even	ɛː v ə n
eventyde	ɛː v ə n t iː d ə
ever	ɛ v ə r
ever	ɛː v ə r
everich	ɛ v ə r iː
everich	ɛː v ə r iː
evete	ɛ f t ə
evete	ɛ u̯ t ə
evete	ɛ v ə t ə
evete	ɛː v ə t ə
ew	i u̯
ew	j i u̯
ewage	ɛ u̯ a d ʒ ə
ewe	j ɔ u̯ ə
ewe	ɛ u̯ ə
ewer	ɛ u̯ eː r
ewer	ɛ u̯ ə r
ewilch	i w i l k
ewilch	y w i l t͡ʃ
ewilch	ɛː w i l t͡ʃ
ewrous	i u̯ r u s
ewrous	i u̯ r uː s
exaccion	ɛ k s a k s i uː n
exaccion	ɛ k s a k s j u n
exaumple	ɛ ɡ z a m p ə l
exaumple	ɛ ɡ z a u̯ m p ə l
exposicioun	ɛ k s p ɔː z i s j u n
exposicioun	ɛ k s p ɔː z i s j uː n
extenden	ɛ k s t ɛ n d ə n
extorcion	ə k s t ɔ r s j u n
extorcion	ɛ k s t ɔ r s j uː n
extre	a k s t r eː
extre	a k s t r øː
extre	ɛ k s t r eː
extre	ɛ k s t r øː
ey	iː
ey	æ i̯
ey	ɛ i̯
eye	æ i̯ ə
eye	ɛ j ə
eyed	iː i d
eyed	iː ɛ d
eyed	ɛ i̯ i d
eyed	ɛ i̯ ɛ d
eymynge	ɛ i̯ m i n ɡ
face	f aː s ə
facioun	f a k s j u n
facioun	f a k s j uː n
facioun	f a s j u n
facioun	f a s j uː n
facioun	f a s u n
facioun	f a s uː n
faculte	f a k u l t eː
faden	f aː d ə n
fader	f a ð ə r
fader	f aː d ə r
fader	f ɛː d ə r
faderhode	f a d ə r h ɔː d
faderhode	f a d ə r h ɛː d
faderhode	f aː d ə r h oː d
faderles	f a d ə r l ɛː s
faderles	f aː d ə r l ɛː s
faderles	f ɛː d ə r l ɛː s
faderly	f a d ə r l iː
faderly	f aː d ə r l iː
fadren	f a d ə r ə n
fadren	f aː d ə r ə n
fage	f a d͡ʒ ə
fage	f aː d͡ʒ ə
fagen	f a d͡ʒ ə n
fagen	f aː d͡ʒ ə n
fagot	f a k ə t
fagot	f a ɡ ɔ t
fagot	f a ɡ ə t
faie	f æ i̯ ə
faierie	f æ i̯ ə r i ə
fain	f ɛ i̯ n
fal	f a l
fallen	f a l ə n
fals	f a l s
fals	f a u̯ l s
fals	f a u̯ s
falwen	f a l i u̯ ə n
falwen	f a l w ə n
falwen	f a l ɔ u̯ ə n
fan	f a n
fan	v a n
fane	f aː n ə
fane	v aː n ə
fannen	f a n ə n
fannen	v a n ə n
fanon	f a n u n
fanon	f a n uː n
fanon	f a n ə n
fantasie	f a n t a s iː ə
fantasie	f a n t s iː
fantasie	f a n t ə s iː
fantasien	f a n t a s iː ə n
fantasien	f a n t s iː
fantasien	f a n t ə s iː ə n
fantome	f a n t a m ə
fantome	f a n t i m ə
fantome	f a n t oː m ə
fantome	f a n t u m ə
fantome	f a n t ɔː m ə
fantome	f a n t ɛː m ə
fare	f aː r ə
faren	f a r ə n
faren	f aː r ə n
farowen	f a r i u̯ ə n
farowen	f a r x ə n
farowen	f a r ɔ u̯ ə n
fass	f a s
fass	f aː s
fat	f a t
fat	f aː t
fat	f ɛ t
fat	f ɛː t
fat	v a t
fat	v aː t
fat	v ɛ t
fauconer	f a u̯ k u n eː r
fauconer	f a u̯ k ə n ə r
faucoun	f a u̯ k u n
faucoun	f a u̯ k uː n
faute	f a l t ə
faute	f a u̯ l t ə
faute	f a u̯ t ə
favour	f aː v u r
favour	f aː v uː r
favourable	f aː v u r aː b l ə
favourable	f aː v u r aː b ə l
favouren	f aː v u r ə n
favouren	f aː v uː r ə n
favourere	f aː v u r ə r ə
favourere	f aː v uː r ə r ə
fawn	f a u̯ n
fawnen	f a u̯ n ə n
fawnynge	f a u̯ n i n ɡ ə
fax	f a k s
faxwax	f a k s w a k s
feal	f eː a l
feal	f eː aː l
feaute	f ɛ u̯ t eː
febilte	f eː b ə l t eː
feble	f eː b l ə
feble	f eː b ə l
feblen	f eː b l ə n
feblenesse	f eː b l ə n ɛ s
feblenesse	f eː b ə l n ɛ s
feblesse	f eː b l ɛ s ə
feblischen	f eː b l i ʃ ə n
febly	f eː b ə l iː
febly	f eː b ə l iː t ʃ ə
fecche	f a t͡ʃ ə
fecche	f i t͡ʃ ə
fecche	f ɛ t͡ʃ ə
fecche	v ɛ t͡ʃ ə
fecchen	f ɛ t͡ʃ ə n
fede	f ɛː d ə
feden	f eː d ə n
feeld	f eː l d
feeldi	f eː l d iː
feend	f eː n d
feend	f øː n d
feeste	f ɛː s t e
feith	f æ i̯ θ
felawe	f ɛ l a
felawe	f ɛ l a u̯ ə
felawe	f ɛ l ɔ u̯ ə
felawe	f ɛ l ə
felawely	f ɛ l a u̯ ə l iː
felawely	f ɛ l ɔ u̯ ə l iː
felawen	f ɛ l a u̯ ə n
felawen	f ɛ l ɔ u̯ ə n
felaweshipe	f ɛ l a u̯ ʃ i p ə
felaweshipe	f ɛ l ɔ u̯ ʃ i p ə
felaweshipe	f ɛ l ə ʃ i p ə
felawrede	f ɛ l a u̯ r ɛː d ə
felawrede	f ɛ l ɔ u̯ r ɛː d ə
felawshipen	f ɛ l a u̯ ʃ i p ə n
felawshipen	f ɛ l ɔ u̯ ʃ i p ə n
felawshipen	f ɛ l ə ʃ i p ə n
feldefare	f eː l d ə f aː r ə
fele	f eː l ə
fele	f ɛː l ə
felefold	f ɛː l ə f ɔː l d
felt	f ɛ l t
felten	f ɛ l t ə n
felter	f ɛ l t ə r ə
felynge	f eː l i n ɡ
femele	f ɛː m aː l ə
femele	f ɛː m ɛ l ə
femele	f ɛː m ɛː l ə
femen	f ɛː m ə n
femynyne	f ɛ m i n iː n ə
femynyne	f ɛː m i n i n ə
femynyte	f ɛ m i n i n i t eː
femynyte	f ɛ m i n i t eː
fen	f ɛ n
fenell	f ɛ n ə l
fenkel	f i n k ə l
fenkel	f ɛ n k ə l
fenny	f ɛ n iː
fenygreke	f eː n i u̯ ɡ r eː k
fenygreke	f eː n i ɡ r eː k
fenygreke	f eː n ə ɡ r eː k
fer	f ɛ r
ferd	f ɛː r d
ferde	f eː r d ə
ferde	f iː r d ə
ferde	f ɛː r d ə
ferdful	f ɛː r d f u l
