ab	ɑ b
etimoloji	e t i m o l o ʒ ɯ
etiraf	eː t i r ɑ f
etiraz	eː t i r ɑ z
etmək	e t m æ j
etmək	e t m æ k
ev	e v
evcik	e v d͡z i t͡ʃ
evcik	e v d͡ʒ i j
evcik	e v d͡ʒ i k
evlənmək	e v l æ mː æ j
evlənmək	e v l æ mː æ k
eybəcər	e j b æ d͡z æ r
eybəcər	e j b æ d͡ʒ æ r
eyləmək	e j l æ m æ k
eyləmək	e j l æ m ɑ χ
eynək	e j n æ j
eynək	e j n æ k
eynək	e j n æ ç
eşitmək	e ʃ i t m æ j
eşitmək	e ʃ i t m æ k
fabrik	f ɑ b r i k
fahişə	f ɑ h i ʃ æ
fahişəlik	f ɑ h i ʃ æ l i k
fahişəxana	f ɑ h i ʃ æ χ ɑ n ɑ
ferma	f e r m ɑ
fikirləşmək	f i k i r l æ ʃ m æ j
fikirləşmək	f i k i rː æ ʃ m æ j
film	f i l m
fit	f i t
fonoloji	f o n o l o ʒ ɯ
futbolçu	f u t b o ɫ t ʃ u
fındıq	f ɯ n d ɯ χ
fındıqqıran	f ɯ n d ɯ ɣ ɡ ɯ r ɑ n
fırtına	f ɯ ɾ t ɯ n ɑ
fəaliyyət	f æ ɑ l i j æ t
fəhlə	f æ h l æ
fəlsəfə	f æ l s æ f æ
fərli	f æ r l i
fərli	f æ rː i
fərq	f æ r ɡ
fərqlənmək	f æ r ɡ l æ mː æ j
fərqlənmək	f æ r ɡ l æ mː æ k
fəsil	f æ s i l
gec	ɡ e d͡ʒ æ
gecə	d͡ʒ e d͡z æ
gecə	ɡ e d͡ʒ æ
geniş	d͡ʒ e n i ʃ
geniş	ɡ e n i ʃ
geri	ɡ e r i
getmək	d͡ʒ e t m ɑ χ
getmək	ɡ e t m æ j
getmək	ɡ e t m æ k
geyim	d͡ʒ e j i m
geyim	ɡ e j i m
geyinmək	ɡ e j i n m æ j
geyinmək	ɡ e j i n m æ k
geymək	ɡ e j m æ j
geymək	ɡ e j m æ k
gic	ɡ i d͡z
gic	ɡ i d͡ʒ
gicdıllaq	ɡ i ʒ d ɯ ɫː ɑ χ
giriş	ɡ i r i ʃ
girmək	d͡ʒ i r m ɑ χ
gizləmək	ɡ i z d æ m æ k
gizləmək	ɡ i z l æ m æ k
gizlənmək	ɡ i z d æ n m æ j
gizlənmək	ɡ i z d æ n m æ k
gizlənmək	ɡ i z l æ n m æ j
gizlənmək	ɡ i z l æ n m æ k
gizlətmək	ɡ i z d æ t m æ j
gizlətmək	ɡ i z d æ t m æ k
gizlətmək	ɡ i z l æ t m æ j
gizlətmək	ɡ i z l æ t m æ k
gurluq	ɡ u r ɫ u χ
gurluq	ɡ u rː u χ
göbələk	ɡ œ b æ l æ j
göbələk	ɡ œ b æ l æ k
göl	d͡ʒ œ l
göl	ɡ œ l
gömmək	ɡ œ mː æ j
gömmək	ɡ œ mː æ k
göndərmək	d͡ʒ œ n d æ r m ɑ χ
göndərmək	ɡ œ n d æ r m æ j
göndərmək	ɡ œ n d æ r m æ k
görmək	d͡ʒ œ r m ɑ χ
görmək	ɡ œ r m æ j
görmək	ɡ œ r m æ k
görüş	ɡ œ r y ʃ
görüşmək	ɡ œ r y ʃ m æ j
görüşmək	ɡ œ r y ʃ m æ k
görə	d͡ʒ œ r æ
görə	ɡ œ r æ
görəsən	d͡ʒ œ r æ s æ n
görəsən	ɡ œ r æ s æ n
göstəriş	ɡ œ s t æ r i ʃ
göstərmək	ɡ œ s t æ r m æ j
göstərmək	ɡ œ s t æ r m æ k
göstərmək	ɡ œ s t æ r m ɑ χ
göt	ɡ œ t
götvərən	ɡ œ t v æ r æ n
götvərənlik	ɡ œ t v æ r æ n l i j
götvərənlik	ɡ œ t v æ r æ n l i k
götürmək	ɡ œ t y r m æ j
götürmək	ɡ œ t y r m æ k
gövdə	ɡ œ v d æ
göy	d͡ʒ œ j
göy	ɡ œ j
göydələn	ɡ œ j d æ l æ n
gözləmək	d͡ʒ œ z l æ m ɑ χ
gözləmək	ɡ œ z d æ m e j
gözləmək	ɡ œ z d æ m æ k
gözləmək	ɡ œ z l æ m æ k
gözlənilməz	ɡ œ z l æ n i l m æ z
gözlənti	ɡ œ z l æ n t i
gözüaçıq	ɡ œ z y ɑ t͡s ɯ χ
gözüaçıq	ɡ œ z y ɑ t͡ʃ ɯ χ
güc	d͡ʒ y ʒ
güclü	d͡ʒ y d͡z l y
güclü	ɡ y d͡ʒ l y
güllə	ɡ y lː æ
güllələmək	d ʒ y lː æ l æ m ɑ χ
güllələmək	ɡ y lː æ l æ m æ j
güllələmək	ɡ y lː æ l æ m æ k
gülmək	d͡ʒ y l m ɑ χ
gülmək	ɡ y l m æ k
gülümsəmək	ɡ y l y m s æ m æ j
gülümsəmək	ɡ y l y m s æ m æ k
gülüş	ɡ y l y ʃ
gülərüz	ɡ y l æ r y z
gülərüzlü	ɡ y l æ r y z l y
güləş	d͡ʒ y l æ ʃ
güləş	ɡ y l æ ʃ t͡ʃ
güləşçi	d͡ʒ y l æ ʃ t͡s i
güləşçi	ɡ y l æ ʃ t͡ʃ i
gün	d͡ʒ y n
gün	ɡ y n
günah	d͡ʒ y n ɑ h
gündüz	d͡ʒ y n d y z
gündüz	ɡ y n d y z
gündəlik	d͡ʒ y n d æ l i j
gündəlik	d͡ʒ y n d æ l i k
gündəlik	ɡ y n d æ l i j
gündəlik	ɡ y n d æ l i k
günorta	ɡ y n o r t ɑ
günya	ɡ y n j ɑ
günəbaxan	ɡ y n æ b ɑ x ɑ n
gürcü	d͡ʒ y r d͡z y
gürcü	ɡ y r d͡ʒ y
gürcüstan	d͡ʒ y ɾ d͡z y s t ɑ n
güvənmək	ɡ y v æ mː æ j
güvənmək	ɡ y v æ n m æ k
gəlin	ɡ æ l i n
gəlmə	ɡ æ l m æ
gəlmək	ɡ æ l m æ j
gəlmək	ɡ æ l m æ k
gəmi	d͡ʒ æ m i
gəmi	ɡ æ m i
gəmirici	ɡ æ m i r i d͡z i
gəmirmək	ɡ æ m i r m æ j
gənc	ɡ æ n d͡z
gənc	ɡ æ n d͡ʒ
gənclik	d͡ʒ æ n d͡z l i t͡ʃ
gənclik	ɡ æ n d͡ʒ l i j
gənclik	ɡ æ n d͡ʒ l i k
gənəşmək	ɡ æ n æ ʃ m æ j
gənəşmək	ɡ æ n æ ʃ m æ k
gərgin	ɡ æ r ɡ i n
gərək	ɡ æ r æ j
gərəkmək	ɡ æ r æ k m æ k
gətirmək	ɡ æ t i r m æ j
gətirmək	ɡ æ t i r m æ k
gəzdirmək	d͡ʒ æ z d i r m ɑ χ
gəzdirmək	ɡ æ z d i r m e j
gəzdirmək	ɡ æ z d i r m æ j
gəzdirmək	ɡ æ z d i r m æ k
gəzmək	d͡ʒ æ z m ɑ χ
gəzmək	ɡ æ z m e j
gəzmək	ɡ æ z m æ j
gəzmək	ɡ æ z m æ k
hakim	h ɑː k i m
hakimiyyət	h ɑː k i m i j æ t
hakimiyyət	h ɑː t͡ʃ i m i j æ t
hakimiyyətçi	h ɑː k i m i j æ t t͡ʃ i
hakimiyyətçi	h ɑː t͡ʃ i m i j æ t t͡s i
halbuki	h ɑ ɫ b u k i
hamilə	h ɑ m i l æ
hamı	h ɑ mː ɯ
hamısı	h ɑ m s ɯ
hamısı	h ɑ mː ɯ s ɯ
hansı	h ɑ n s ɯ
hanı	h ɑ n ɯ
haqq	h ɑ ɡ
haqq	h ɑ χ
haqqında	h ɑ kː ɯ n d ɑ
hara	h ɑ r ɑ
harada	h ɑ r ɑ d a
haradan	h ɑ r ɑ d a n
haralı	h ɑ r ɑ ɫ ɯ
haraya	h ɑ r ɑ j ɑ
harda	h ɑ r d a
hasilat	h ɑː s i ɫ ɑ t
hava	h ɑ v ɑ
hazır	h ɑ z ɯ r
hazırki	h ɑ z ɯ r k i
hazırki	h ɑ z ɯ r k ɯ
hazırlamaq	h ɑ z ɯ r ɫ ɑ m ɑ χ
hazırlamaq	h ɑ z ɯ rː ɑ m ɑ χ
hazırlaşmaq	h ɑ z ɯ r ɫ ɑ ʃ m ɑ χ
hazırlaşmaq	h ɑ z ɯ rː ɑ ʃ m ɑ χ
hazırlıq	h ɑ z ɯ r ɫ ɯ χ
hazırlıq	h ɑ z ɯ rː ɯ χ
haçan	h ɑ t͡ʃ ɑ n
heykəltəraş	h e j k æ l t æ r ɑ ʃ
heç	h e t͡s
heç	h e t͡ʃ
homoseksuallıq	h o m o s e k s u a ɫː ɯ χ
hovuz	h o v u z
hökumət	h œ k uː m æ t
hökumət	h œ k y m æ t
hörmətli	h œ r m æ t l i
hörümçək	h œ r y m t͡ʃ æ j
hörümçək	h œ r y m t͡ʃ æ k
hövzə	h œ v z æ
hüceyrə	h y d͡ʒ e j r æ
hündür	h y n d y r
hüquq	h y ɡ u ɡ
hüzn	h y z n
hüznlü	h y z n l y
hədiyyə	h æ d i j æ
həftəlik	h æ f t æ l i j
həftəlik	h æ f t æ l i k
həkim	h æ k i m
hələ	h æ l æ m
həmdilli	h æ m d i lː i
həmin	h æ m i n
həmişə	h æ m i ʃ æ
həmişə	h æ mː i ʃ æ
həmişə	h æ mː æ ʃ æ
həmrəy	h æ m r æ j
həmrəylik	h æ m r æ j l i j
həmrəylik	h æ m r æ j l i k
həmsöhbət	h æ m s œ h b æ t
həmsöhbət	h æ m s œ j b æ t
həmsöhbət	h æ m s œː b æ t
həmyaş	h æ m j ɑ ʃ
həqarət	h æ ɡ ɑː r æ t
həqiqi	h æ ɡ iː ɡ i
hər	h æ r
hərarət	h æ r ɑ r æ t
hərbi	h æ r b i
hərbçi	h æ r b t͡s i
hərbçi	h æ r b t͡ʃ i
hərəkət	h æ r æ k æ t
həyat	h æ j ɑ t
həzm	h æ z m
həştərxan	h æ ʃ t æ r χ ɑ n
ibarət	i b ɑː r æ t
ibrani	i b r ɑː n i
ibri	i b r i
ibrə	i b r æ
icazə	i d͡z ɑː z æ
icazə	i d͡ʒ ɑː z æ
iclas	i d͡z ɫ ɑ s
iclas	i d͡ʒ ɫ ɑ s
icma	i d͡z m ɑ
icma	i d͡ʒ m ɑ
idi	i d i
idmançı	i d m ɑ n t͡s ɯ
idmançı	i d m ɑ n t͡ʃ ɯ
iflas	i f ɫ ɑ s
igidlik	i ɡ i d l i j
igidlik	i ɡ i d l i k
ikiarvadlı	i k i ɑ r v ɑ d ɫ ɯ
ikiarvadlılıq	i k i ɑ r v ɑ d ɫ ɯ l ɯ χ
ilbiz	i l b i z
ildırım	i ɫ d ɯ r ɯ m
ildırım	ɯ ɫ d ɯ ɾ ɯ m
ilk	i l k
ilkin	i l k i n
ilkin	i l t͡ʃ i n
ilıq	i ɫ ɯ χ
ilə	i l æ
imkan	i m t͡ʃ ɑ n
inad	i n ɑ d
inanc	i n ɑ n d͡z
inanc	i n ɑ n d͡ʒ
inanmaq	i n ɑ mː ɑ χ
inanılmaz	i n ɑ n ɯ ɫ m ɑ z
inci	i n d͡z i
inci	i n d͡ʒ i
incimək	i n d͡z i m æ t͡ʃ
incimək	i n d͡ʒ i m æ j
incimək	i n d͡ʒ i m æ k
incitmək	i n d͡z i t m æ t͡ʃ
incitmək	i n d͡ʒ i t m æ j
incitmək	i n d͡ʒ i t m æ k
incə	i n d͡z æ
incə	i n d͡ʒ æ
indi	i n d i
ingilis	i ŋ ɡ i l i s
insan	i n s ɑ n
intihar	i n t i h ɑ r
ipək	i p æ j
ipək	i p æ k
iqlim	i ɡ l i m
iri	i r i
irin	i r i n
irlandiyalı	i r ɫ ɑ n d i j ɑ l ɯ
irmaq	i r m ɑ χ
irəli	i r æ l i
ishal	i s h ɑ ɫ
islandiyalı	i s ɫ ɑ n d i j ɑ l ɯ
istedadlı	i s t e d ɑ d ɫ ɯ
istedadsız	i s t e d ɑ d s ɯ z
istehsal	i s t e h s ɑ ɫ
isti	i s t i
isti	i sː i
istifadə	i s t i f ɑː d æ
istilik	i s t i l i k
istilik	i s t i l i t͡ʃ
istilik	i s t i l i ç
istilikölçən	i s t i l i j œ l t͡ʃ æ n
istilikölçən	i s t i l i k œ l t͡ʃ æ n
istilikölçən	i s t i l i t͡ʃ œ l t͡s æ n
istiot	i s t i o t
istirahət	i s t i r ɑː h æ t
istəmək	i s t æ m e j
istəmək	i s t æ m æ j
istəmək	i s t æ m æ k
istəmək	i s t æ m ɑ χ
isveçli	i s v e t͡s l i
isveçli	i s v e t͡ʃ l i
isveçrəli	i s v e t͡s r æ l i
isveçrəli	i s v e t͡ʃ r æ l i
itaət	i t ɑ æ t
itaətsizlik	i t ɑ æ t s i z l i k
itburnu	i t b u r n u
itirmək	i t i r m e j
itirmək	i t i r m æ j
itirmək	i t i r m æ k
itirmək	i t i r m ɑ χ
itkin	i n k i n
itmək	i t m æ j
itmək	i t m æ k
itələmək	i t æ l æ m æ j
itələmək	i t æ l æ m æ k
ivrit	i v r i t
ixtisar	i χ t i s ɑ r
iyirmi	i j i r m i
iyirmi	i ɡ i r m i
iyirminci	i j i ɾ m i n d͡ʒ i
iynə	i j n æ
izin	i z i n
izləmək	i z l æ m e j
izləmək	i z l æ m æ j
izləmək	i z l æ m æ k
izləmək	i z l æ m ɑ χ
içində	i t͡s i n d æ
içində	i t͡ʃ i n d æ
içizdirmək	i t͡s i z d i r m æ k
içizdirmək	i t͡ʃ i z d i r m æ j
içizdirmək	i t͡ʃ i z d i r m æ k
içkili	i t͡s t͡ʃ i l i
içkili	i t͡ʃ k i l i
içmək	i t͡ʃ m æ j
içmək	i t͡ʃ m æ k
içmək	i ʃ m ɑ χ
içəri	i t͡s æ r i
içəri	i t͡ʃ æ r i
işləmək	i ʃ l æ m æ k
işləmək	i ʃ l æ m ɑ χ
işləmək	i ʃ t æ m e j
işləmək	i ʃ t æ m æ j
iştibah	i ʃ t i b ɑ h
iştirak	i ʃ t i r ɑ k
işverən	i ʃ v e r æ n
işçi	i ʃ t͡s i
işçi	i ʃ t͡ʃ i
işıq	i ʃ ɯ χ
işıq	ɯ ʃ ɯ χ
işəmək	i ʃ æ m æ j
işəmək	i ʃ æ m æ k
janr	ʒ ɑ n ɯ r
jasmin	ʒ ɑ s m i n
jurnal	ʒ u r n ɑ ɫ
jurnalist	ʒ u r n a l i s t
kamança	t͡ʃ ɑ m ɑ n t͡s ɑ
kapa	k aː p a
karp	k ɑ r p
katib	t͡ʃ aː t i b
katib	t͡ʃ aː t ɯ b
katibə	t͡ʃ aː t i b æ
kağız	t͡ʃ ɑ ɣ ɯ z
keçi	d͡ʒ e t͡s i
keçi	t͡ʃ e t͡s i
keçinmək	k e t͡ʃ i n m æ j
keçinmək	k e t͡ʃ i n m æ k
keçinmək	t͡ʃ e t͡s i n m æ t͡ʃ
keçmək	k e t͡ʃ m e j
keçmək	k e t͡ʃ m æ j
keçmək	k e t͡ʃ m æ k
keçmək	ɡ e ʃ m ɑ x
keçəl	k e t͡ʃ æ l
keçəl	t͡ʃ e t͡s æ l
keçəllənmək	k e t͡ʃ æ lː æ n m æ j
keçəllənmək	k e t͡ʃ æ lː æ n m æ k
keçəllənmək	t͡ʃ e t͡s æ lː æ n m æ t͡ʃ
ki	k i
ki	k i n
kilsə	k i l s æ
kim	k i m
kimdənsə	k i m d æ n s æ
kimdəsə	k i m d æ s æ
kimi	k i m i
kimi	t͡ʃ i m i
kiminsə	k i m i n s æ
kimisə	k i m i s æ
kimsə	k i m s æ
kimsədə	k i m s æ d æ
kimsədən	k i m s æ d æ n
kimsəni	k i m s æ n i
kimsənin	k i m s æ n i n
kimsəyə	k i m s æ j æ
kimya	k i m j a
kimya	t͡ʃ i m j a
kimyaçı	k i m j a t͡ʃ ɯ
kimyaçı	t͡ʃ i m j a t͡s ɯ
kimyəvi	k i m j æː v i
kimyəvi	t͡ʃ i m j æː v i
kiməsə	k i m æ s æ
kiriş	k i r i ʃ
kirli	k i r l i
kirpi	k i r p i
kirpik	k i r p i j
kirpik	k i r p i k
kirpik	k i r p i ç
kitabxana	k i t ɑ b χ ɑ n ɑ
kitabxanaçı	k i t ɑ b χ ɑ n ɑ t͡s i
kitabxanaçı	k i t ɑ b χ ɑ n ɑ t͡ʃ i
kiçik	k i t͡s i t͡ʃ
kiçik	k i t͡ʃ i k
kiçilmək	k i t͡ʃ i l m æ j
kiçilmək	k i t͡ʃ i l m æ k
kiçilmək	t͡ʃ i t͡s i l m æ t͡ʃ
kişibaz	k i ʃ i b ɑ z
kişibazlıq	k i ʃ i b ɑ z ɫ ɯ χ
kobud	t͡ʃ o b u d
köhnə	k œ h n æ
köhnə	k œ j n æ
kök	k œ k
kökəlmək	k œ k æ l m æ j
kökəlmək	k œ k æ l m æ k
kölgə	k œ l ɡ æ
kömür	k œ m y r
kömür	t͡ʃ œ m y r
kömək	k œ m æ j
kömək	k œ m æ k
kömək	k œ m æ t͡ʃ
könül	d͡ʒ œː l
könül	k œ n y l
köpük	k œ p y j
köpük	k œ p y k
körpü	k œ r p y
körpə	k œ r p æ
körpə	t͡ʃ œ r p æ
kösöv	k œ s œ v
kösöv	t͡ʃ œ s œ v
köçmək	k œ t͡ʃ m æ k
köşək	k œ ʃ æ j
köşək	k œ ʃ æ k
künc	t͡ʃ y n d͡z
kürəkçi	k y r æ k t͡ʃ i
kürəkçi	t͡ʃ y r æ t͡ʃ t͡s i
kürəkən	k y r æ k æ n
kürəkən	t͡ʃ y r æ t͡ʃ æ n
küsmək	k y s m æ j
küsmək	k y s m æ k
küçə	k y t͡s æ
küçə	k y t͡ʃ æ
küçə	t͡s y t͡s æ
küçə	t͡ʃ y t͡s æ
kəfgir	k æ f ɡ i r
kəlbətin	k æ l b æ t i n
kəlçə	k æ l t͡ʃ æ
kəlçə	t͡ʃ æ l t͡s æ
kənd	k æ n d
kənd	k æ t
kəpək	k æ p æ j
kəpək	k æ p æ k
kəpək	t͡ʃ æ p æ t͡ʃ
kəpənək	k æ p æ n æ k
kərtənkələ	k æ r t æ n k æ l æ
kərə	k æ r æ
kəsilmək	k æ s i l m e j
kəsilmək	k æ s i l m æ j
kəsilmək	k æ s i l m æ k
kəsilmək	t͡ʃ æ s i l m ɑ χ
kəsmək	k æ s m e j
kəsmək	k æ s m æ j
kəsmək	k æ s m æ k
kəsmək	t͡ʃ æ s m ɑ χ
lahiyə	ɫ ɑː h i j æ
lakin	l aː k i n
lampoçka	ɫ ɑ m b ɯ t͡s k ɑ
lampoçka	ɫ ɑ m p ɯ t͡s k ɑ
lampoçka	ɫ ɑ m p ɯ t͡ʃ k ɑ
laqeyd	ɫ ɑː ɡ e j d
layihə	ɫ ɑː j i h æ
lazım	ɫ ɑ z ɯ m
lazım	ɫ ɑː z ɯ m
lazımsız	ɫ ɑ z ɯ m s ɯ z
laçın	ɫ ɑ t͡s ɯ n
laçın	ɫ ɑ t͡ʃ ɯ n
liman	l i m ɑ n
lövbər	l œ v b æ r
lütfən	l y t f æ n
ləzgi	l æ z ɡ i
mahnı	m ɑ h n ɯ
makedoniya	m ɑ t͡ʃ e d o n i j ɑ
mal	m ɑ ɫ
masa	m ɑ s ɑ
matç	m ɑ t t͡ʃ
memar	m e m ɑ r
memar	m eː m ɑ r
meydan	m e j d ɑ n
meydança	m e j d ɑ n t͡s ɑ
meydança	m e j d ɑ n t͡ʃ ɑ
meyit	m e j i t
meyitxana	m e j i t χ ɑ n ɑ
milad	m i ɫ ɑ d
min	m i n
minbər	m i n b æ r
minmək	m i mː æ k
minmək	m i n m e j
minmək	m i n m æ k
minmək	m i n m ɑ χ
minnətdar	m i nː æ t d ɑ r
mismar	m i s m ɑ ɾ
mişar	m i ʃ ɑ r
mişar	m ɯ ʃ ɑ r
molekul	m o l e k u ɫ
molla	m o lː a
morfoloji	m o r f o l o ʒ ɯ
muxtar	m u χ t ɑ r
muştuluq	m u ʃ t u l u χ
muştuluqçu	m u ʃ t u ɫ u χ t͡s u
muştuluqçu	m u ʃ t u ɫ u χ t͡ʃ u
möcüzə	m œː d͡ʒ y z æ
mövcudluq	m œ v d͡z u d ɫ u χ
mövcudluq	m œ v d͡ʒ u d ɫ u χ
mübarizə	m u b ɑː r i z æ
mübarizə	m y b ɑː r i z æ
müflis	m y f l i s
müharibə	m y h ɑː r i b æ
mühüm	m y h y m
mühəndis	m y h æ n d i s
mühərrik	m y h æ rː i k
müjdə	m y d͡ʒ d æ
müjdə	m y ʒ d æ
müjdəçi	m y ʒ d æ t͡s i
müjdəçi	m y ʒ d æ t͡ʃ i
münaqişə	m y n ɑː ɡ i ʃ æ
münşi	m y n ʃ i
müqayisə	m y ɡ ɑː j i s æ
mürəkkəb	m y r æ kː æ b
müsabiqə	m y s ɑː b i ɡ æ
müstəqillik	m y s t æ ɡ i l l i j
müstəqillik	m y s t æ ɡ i l l i k
müvəffəqiyyət	m y v æ f æ ɡ i j æ t
müxalifət	m u χ ɑ l i f æ t
müxalifət	m y χ ɑː l i f æ t
müştəri	m y ʃ t æ r i
müşəmbə	m y ʃ æ m b æ
müəllif	m y æ lː i f
müəllim	m y æ lː i m
müəllimə	m y æ lː i m æ
mıx	m ɯ χ
məcazi	m æ d͡z ɑː z i
məcazi	m æ d͡ʒ ɑː z i
məclis	m æ d͡z l i s
məclis	m æ d͡ʒ l i s
mədrəsə	m æ d r æ s æ
mədəni	m æ d æ n i
mədəniyyət	m æ d æ n i j æ t
məfhum	m æ f h u m
məhkəmə	m æ h k æ m æ
məhşur	m æ h ʃ u r
məhəlli	m æ h æ lː i
məktub	m æ h t u b
məktub	m æ k t u b
məktəb	m æ k t æ b
məktəb	m æ ç t æ b
məlum	m æː ɫ u m
mələfə	m æ l æ f æ
məmur	m æ m u r
məmur	m æː m u r
məna	m æː n ɑ
mənasız	m æː n ɑ s ɯ z
mənfəət	m æ n f æ æ t
mənimsəmə	m æ n i m s æ m æ
mənimsəmək	m æ n i m s æ m æ j
mənimsəmək	m æ n i m s æ m æ k
mənzərə	m æ n z æ ɾ æ
məqsəd	m æ k s æ d
məqsəd	m æ ɡ s æ d
məqsədəuyğun	m æ k s æ d æ u j ɣ u n
məqsədəuyğun	m æ ɡ s æ d æ u j ɣ u n
mərasim	m æ r ɑː s i m
mərhələ	m æ r h æ l æ
mərkəzi	m æ r k æ z i
məsafə	m æ s ɑː f æ
məsləhət	m æ s l æ h æ t
məsələn	m æ s æ l æ n
mətbəə	m æ t b æ æ
mətbəəçi	m æ t b æ æ t͡s i
mətbəəçi	m æ t b æ æ t͡ʃ i
məxəz	m æ χ æ z
məzuniyyət	m æ z u n i j æ t
məğlub	m æ ɣ ɫ u b
məğlubiyyət	m æ ɣ ɫ u b i j æ t
nadir	n ɑː d i r
nal	n ɑ ɫ
namaz	n ɑ m ɑ z
namə	n ɑː m æ
narahat	n ɑ r ɑ h ɑ t
narazı	n ɑ r ɑː z ɯ
natamamlıq	n ɑ t ɑ m ɑ m ɫ ɯ χ
natamamlıq	n ɑ t ɑ m ɑ n ɫ ɯ χ
natəmiz	n ɑː t æ m i z
nazik	n ɑː z i k
nazir	n ɑː z i r
nazirlik	n ɑː z i r l i j
nazirlik	n ɑː z i r l i k
necə	n e d͡z æ
necə	n e d͡ʒ æ
neft	n e f t
neft	n æ f t
neftçi	n e f t t͡s i
neftçi	n e f t t͡ʃ i
neyləmək	n e j l æ m æ j
neyləmək	n e j l æ m æ k
neynəmək	n e j n æ m æ j
neynəmək	n e j n æ m æ k
neyçün	n e j t͡ʃ y n
neçiyədir	n e t͡s j æ d i r
neçiyədir	n e t͡ʃ j æ d i r
neçənci	n e t͡s æ n d͡z i
neçənci	n e t͡ʃ æ n d͡ʒ i
nifrət	n i f r æ t
nikbin	n i k b i n
niyə	n i j æ
nökər	n œ k æ r
nömrə	n œ m r æ
nöqtə	n œ k t æ
növbə	n œ v b æ
nəcib	n æ d͡z i b
nəcib	n æ d͡ʒ i b
nəcis	n æ d͡z i s
nəcis	n æ d͡ʒ i s
nəfər	n æ f æ r
nəfəs	n æ f æ s
nəhəng	n æ h æ ŋ ɡ
nənə	n æ n æ
nərdivan	n æ r d i v ɑ n
nəsə	n æ s æ
nəticə	n æ t i d͡z æ
nəticə	n æ t i d͡ʒ æ
nəticəsində	n æ t i d͡z æ s i n d æ
nəticəsində	n æ t i d͡ʒ æ s i n d æ
nətər	n æ t æ r
nəvə	n æ v æ
nəyinsə	n æ j i n s æ
nəyəsə	n æ j æ s æ
nəzakət	n æ z ɑː k æ t
nəçi	n æ t͡s i
nəçi	n æ t͡ʃ i
ocaq	o d͡z ɑ χ
ocaq	o d͡ʒ ɑ χ
ocaqlıq	o d͡z ɑ ɣ ɫ ɯ χ
ocaqlıq	o d͡ʒ ɑ ɣ ɫ ɯ χ
odun	o d u n
olay	o ɫ ɑ j
oldu	o ɫ d u
olmaq	o l m ɑ χ
olsun	o sː u n
olsun	o ɫ s u n
onuncu	o n u n d͡ʒ u
onurğa	o n u r ɣ ɑ
orada	o r ɑ d ɑ
oradan	o r d ɑ n
oradan	o r ɑ d ɑ n
ordu	o r d u
orta	o r t ɑ
osturaq	o s t u r ɑ χ
osturaqçı	o s t u r a χ t͡s ɯ
osturaqçı	o s t u r a χ t͡ʃ ɯ
osurmaq	o s u r m ɑ χ
otaq	o t ɑ χ
otaqda	o t ɑ ɣ d ɑ
oturacaq	o t u r ɑ d͡z ɑ χ
oturacaq	o t u r ɑ d͡ʒ ɑ χ
oturmaq	o t u r m ɑ χ
otuzuncu	o t u z u n d͡ʒ u
ov	o v
ovuc	o u d͡z
ovuc	o v u d͡z
ovuc	o v u d͡ʒ
ovuq	o j u χ
ovuq	o u χ
ovuq	o v u χ
ovuq	u j u ɣ
ovuq	œ j y χ
ovuq	œː χ
ovçu	o v t͡s u
ovçu	o v t͡s ɯ
ovçu	o v t͡ʃ u
ovçu	o v t͡ʃ ɯ
oxumaq	o χ u m a χ
oxutmaq	o χ u t m ɑ χ
oxşamaq	o χ ʃ ɑ m ɑ χ
oxşar	o χ ʃ ɑ r
oxşarlıq	o χ ʃ ɑ r l ɯ χ
oyanmaq	o j ɑ mː ɑ χ
oyanmaq	o j ɑ n m ɑ χ
oyanış	o j ɑ n ɯ ʃ
oynamaq	o j n ɑ m ɑ χ
oyun	o j u n
oçerk	o t͡s e r t͡ʃ
oçerk	o t͡ʃ e r k
oğru	o ɣ r u
oğul	o ɣ u ɫ
oğurlamaq	o ɣ u rː ɑ m ɑ χ
palçıq	p ɑ ɫ t͡s ɯ χ
palçıq	p ɑ ɫ t͡ʃ ɯ χ
papaq	p ɑ p ɑ χ
parlamaq	p ɑ r l ɑ m ɑ χ
partlamaq	p ɑ r tː ɑ m ɑ χ
partlatmaq	p ɑ r tː ɑ t m ɑ χ
partlayış	p ɑ r tː ɑ j ɯ ʃ
pasxa	p ɑ s χ ɑ
paxıl	p ɑ χ ɯ ɫ
paxıllıq	p ɑ χ ɯ ɫː ɯ χ
paylaşım	p ɑ j ɫ ɑ ʃ ɯ m
paytaxt	p ɑ j t ɑ χ t
pendir	p e n d i r
petux	p e t u χ
peyvənd	p e j v æ n d
peşə	p e ʃ æ
pilotsuz	p i ɫ o t s u z
pinti	p i n t i
pis	p i s
pivə	p iː v æ
pivəxana	p iː v æ χ ɑ n ɑ
planet	p ɫ ɑ n e t
polis	p o l i s
polkovnik	p ɑ ɫ k o v n i k
populyar	p o p u l j ɑ ɾ
portuqal	p o ɾ t u ɡ ɑ l
pota	p o t ɑ
pozmaq	p o z m ɑ χ
poçtalyon	p o t͡ʃ t ɑ l j o n
premyera	p r e m j e r a
proqnozlaşdırmaq	p r o ɡ n o z l ʃ d ɯ r m ɑ χ
proqnozlaşdırmaq	p r ɑ ɡ n o z l ʃ d ɯ r m ɑ χ
proqramçı	p r o ɡ r ɑ m t͡s ɯ
proqramçı	p r o ɡ r ɑ m t͡ʃ ɯ
