ꜣ	ɑ
jrt	j iː ɾ a ʔ
jrt	ʔ iː ɾ a
jrt	ʔ iː ɾ ə
jrt	j iː ɾ a t
jrt	j iː ɾ a ʔ
jrt	ʔ iː ɾ a
jrt	ʔ iː ɾ ə
jrt	i r ɛ t
jrtjw	i r t i uː
jrṯt	j V ɾ aː c a t
jrṯt	j V ɾ aː t a ʔ
jrṯt	ʔ ə ɾ aː t a
jrṯt	ʔ ə ɾ oː t ə
jrṯt	j V ɾ aː c a t
jrṯt	j V ɾ aː t a ʔ
jrṯt	ʔ ə ɾ aː t a
jrṯt	ʔ ə ɾ oː t ə
jrṯt	i r t͡ʃ ɛ t
jhb	i h ɛ b
jhm	i h ɛ m
jḥ	j a ħ i j
jḥ	j a ħ i j
jḥ	ʔ ə ħ e ʔ
jḥ	ʔ ə ħ e ʔ
jḥ	j a ħ i j
jḥ	j a ħ i j
jḥ	ʔ ə ħ e ʔ
jḥ	ʔ ə ħ e ʔ
jḥ	j a ħ i w w
jḥ	j a ħ i w w
jḥ	ʔ ə ħ e w w
jḥ	ʔ ə ħ e w w
jḥ	j a ħ i w w
jḥ	j a ħ i w w
jḥ	ʔ ə ħ e w w
jḥ	ʔ ə ħ e w w
jḥ	i h
jḥw	j a ħ aː w a w
jḥw	j a ħ aː w a w
jḥw	ʔ ə ħ oː w ə
jḥw	ʔ ə ħ oː w
jḥw	j a ħ aː w a w
jḥw	j a ħ aː w a w
jḥw	ʔ ə ħ oː w ə
jḥw	ʔ ə ħ oː w
jḥw	i h uː
jḥt	i h ɛ t
jḫ	j u χ
jḫ	j u χ
jḫ	ʔ u χ
jḫ	ʔ ø χ
jḫ	j u χ
jḫ	j u χ
jḫ	ʔ u χ
jḫ	ʔ ø χ
jḫ	i x
jḫmt	i x m ɛ t
jḫr	i x ɛ r
jḫḫw	i x ɛ x uː
jḫt	i x ɛ t
jz	i z
jzj	i z i
jzwt	i z uː t
jzft	j a z aː f a t
jzft	j a s aː f a ʔ
jzft	ʔ a s aː f a
jzft	ʔ a s oː f ə
jzft	j a z aː f a t
jzft	j a s aː f a ʔ
jzft	ʔ a s aː f a
jzft	ʔ a s oː f ə
jzft	i z f ɛ t
jzftj	i z f ɛ t i
jzr	j a z ɾ V w
jzr	j a s ɾ V w
jzr	ʔ a s ɾ ə
jzr	ʔ a s ɾ
jzr	j a z ɾ V w
jzr	j a s ɾ V w
jzr	ʔ a s ɾ ə
jzr	ʔ a s ɾ
jzr	i z ɛ r
jzzj	i z ɛ z i
jzkn	i z k ɛ n
js	i s
jsw	j iː s V w
jsw	j iː s V w
jsw	ʔ iː s ə
jsw	ʔ iː s
jsw	j iː s V w
jsw	j iː s V w
jsw	ʔ iː s ə
jsw	ʔ iː s
jsw	i s uː
jsw	i s uː
jswr	i s uː r
jsbnbn	i s b ɛ n b ɛ n
jspt	i s p ɛ t
jspt	j i s p a t
jspt	j i s p a ʔ
jspt	ʔ e s p a
jspt	ʔ e s p ə
jspt	j i s p a t
jspt	j i s p a ʔ
jspt	ʔ e s p a
jspt	ʔ e s p ə
jspt	i s p ɛ t
jsr	i s ɛ r
jsry	i s r iː
jsqꜣrwnj	i s k ɑ r uː n i
jsqꜣrnj	i s k ɑ r ɛ n i
jst	i s ɛ t
jsṯ	i s ɛ t͡ʃ
jšst	i ʃ ɛ s ɛ t
jšš	i ʃ ɛ ʃ
jšdt	i ʃ ɛ d ɛ t
jqr	j aː qʼ a ɾ
jqr	j aː qʼ a ʔ
jqr	j aː qʼ a
jqr	j oː qʼ ə
jqr	j aː qʼ a ɾ
jqr	j aː qʼ a ʔ
jqr	j aː qʼ a
jqr	j oː qʼ ə
jqr	j aː qʼ i ɾ
jqr	j aː qʼ i ʔ
jqr	j aː qʼ a
jqr	j oː qʼ ə
jqr	j aː qʼ i ɾ
jqr	j aː qʼ i ʔ
jqr	j aː qʼ a
jqr	j oː qʼ ə
jqr	i k ɛ r
jqḥ	i k ɛ h
jqḥw	i k ɛ h uː
jqdw	i k ɛ d uː
jkꜣw	i k ɑ uː
jkꜣnꜣ	i k ɑ n ɑ
jky	i k iː
jkw	i k uː
jkm	i k ɛ m
jkn	i k ɛ n
jgrt	i ɡ ɛ r ɛ t
jt	j aː t i j
jt	j aː t i j
jt	j aː t ə
jt	j oː t
jt	j aː t i j
jt	j aː t i j
jt	j aː t ə
jt	j oː t
jt	j a t j a w
jt	j a t j a w
jt	j a t j ə
jt	j a t i
jt	j a t j a w
jt	j a t j a w
jt	t
jt	j a t j ə
jt	j a t i
jt	i t
jt	i t
jtj	i t i
jtjw	i t i uː
jty	i t iː
jtmw	i t ɛ m uː
jtn	j aː t i n
jtn	j aː t i n
jtn	j aː t ə j
jtn	j oː t ə j
jtn	j aː t i n
jtn	j aː t i n
jtn	j aː t ə j
jtn	n
jtn	j
jtn	j oː t ə j
jtn	i t ɛ n
jtn	i t ɛ n
jtn	i t ɛ n
jtnw	i t ɛ n uː
jtrw	j a t ɾ a w
jtrw	j a t ɾ a w
jtrw	j a ʔ ɾ ə
jtrw	j a ʔ ɾ
jtrw	j a t ɾ a w
jtrw	j a t ɾ a w
jtrw	j a ʔ ɾ ə
jtrw	j a ʔ ɾ
jtrw	i t ɛ r uː
jtrt	i t r ɛ t
jtḥ	j aː t a ħ
jtḥ	j aː t a ħ
jtḥ	ʔ aː t ə ħ
jtḥ	ʔ oː t ə ħ
jtḥ	j aː t a ħ
jtḥ	j aː t a ħ
jtḥ	ʔ aː t ə ħ
jtḥ	ʔ oː t ə ħ
jtḥ	i t ɛ h
jṯꜣ	i t͡ʃ ɑ
jṯj	i t͡ʃ i
jd	i d
jdj	i d i
jdyt	i d iː t
jdw	i d uː
jdwmꜥ	ʔ e d o m a
jdwmꜥ	ʔ e d o m a
jdwmꜥ	i d uː m ɑː
jdb	i d ɛ b
jdbwj	i d ɛ b uː i
jdmj	j V tʼ uː m V j
jdmj	j V tʼ uː m V j
jdmj	ʔ ə tʼ uː m ə
jdmj	ʔ ə tʼ eː m
jdmj	j V tʼ uː m V j
jdmj	j V tʼ uː m V j
jdmj	ʔ ə tʼ uː m ə
jdmj	ʔ ə tʼ eː m
jdmj	i d m i
jdn	i d ɛ n
jdr	i d ɛ r
jdḥw	i d h uː
jdt	ʔ a ʔ tʼ ə
jdt	ʔ a ʔ tʼ ə
jdt	i d ɛ t
jdt	i d ɛ t
j.	i
yꜣ	iː ɑ
ywnj	iː uː n i
ypw	iː p uː
ym	iː m
yrdwnꜣ	iː r d uː n ɑ
yhwꜣ	iː h uː ɑ
yḥ	iː h
yḥm	iː h ɛ m
ysrjꜣr	iː s r i ɑ r
ꜥ	ʕ uː j
ꜥ	d uː j
ꜥ	ʕ uː j
ꜥ	ʕ eː j
ꜥ	ʕ uː j
ꜥ	d uː j
ꜥ	ʕ uː j
ꜥ	ʕ eː j
ꜥ	ɑː
ꜥ	ɑː
ꜥ	ɑː
ꜥ	ɑː
ꜥꜣ	ʕ a ʀ
ꜥꜣ	ʕ a ʀ
ꜥꜣ	ʕ a ʔ
ꜥꜣ	ʕ a ʔ
ꜥꜣ	ʕ a ʀ
ꜥꜣ	ʕ a ʀ
ꜥꜣ	ʕ a ʔ
ꜥꜣ	ʕ a ʔ
ꜥꜣ	ʕ o ʔ
ꜥꜣ	ɑː ʔ ɑ
ꜥꜣ	j aː ʕ a ʀ
ꜥꜣ	j aː ʕ a ʀ
ꜥꜣ	j aː ʕ ə
ꜥꜣ	j oː ʕ
ꜥꜣ	j aː ʕ a ʀ
ꜥꜣ	j aː ʕ a ʀ
ꜥꜣ	j aː ʕ ə
ꜥꜣ	j oː ʕ
ꜥꜣ	ɑː ʔ ɑ
ꜥꜣj	ʕ i ʀ i j
ꜥꜣj	ʕ i ʀ i j
ꜥꜣj	ʕ a j e j
ꜥꜣj	ʕ a j e j
ꜥꜣj	ʕ i ʀ i j
ꜥꜣj	ʕ i ʀ i j
ꜥꜣj	ʕ a j e j
ꜥꜣj	ʕ a j e j
ꜥꜣj	ɑː ʔ ɑ i
ꜥꜣꜥ	ɑː ʔ ɑ ʔ ɑː
ꜥꜣꜥy	ɑː ʔ ɑ ɑː iː
ꜥꜣw	ɑː ʔ ɑ uː
ꜥꜣb	ɑː ʔ ɑ b
ꜥꜣbt	ɑː ʔ ɑ b ɛ t
ꜥꜣp	ɑː ʔ ɑ p
ꜥꜣpp	ʕ V ʀ p aː p V w
ꜥꜣpp	ʕ V ʀ p aː p V w
ꜥꜣpp	ʕ a p aː p ə
ꜥꜣpp	ʕ a p oː p
ꜥꜣpp	ʕ V ʀ p aː p V w
ꜥꜣpp	ʕ V ʀ p aː p V w
ꜥꜣpp	ʕ a p aː p ə
ꜥꜣpp	ʕ a p oː p
ꜥꜣpp	ɑː ʔ ɑ p ɛ p
ꜥꜣm	ɑː ʔ ɑ m
ꜥꜣmt	ɑː ʔ ɑ m ɛ t
ꜥꜣnbpꜣjr	ɑː ʔ ɑ n ɛ b p ɑ i r
ꜥꜣrwnꜣ	ɑː ʔ ɑ r uː n ɑ
ꜥꜣsjty	ɑː ʔ ɑ s i t iː
ꜥꜣstjr	ɑː ʔ ɑ s t i r
ꜥꜣg	ɑː ʔ ɑ ɡ
ꜥꜣt	ɑː ʔ ɑ t
ꜥꜣdt	ɑː ʔ ɑ d ɛ t
ꜥꜥ	ɑː ʔ ɑː
ꜥꜥꜣm	ɑː ʔ ɑː ɑ m
ꜥꜥj	ɑː ʔ ɑː i
ꜥꜥjw	ɑː ʔ ɑː i uː
ꜥꜥw	ɑː ʔ ɑː uː
ꜥꜥb	ɑː ʔ ɑː b
ꜥꜥfs	ɑː ʔ ɑː f ɛ s
ꜥꜥft	ɑː ʔ ɑː f ɛ t
ꜥꜥt	ɑː ʔ ɑː t
ꜥwꜣ	ɑː uː ɑ
ꜥwꜣj	ɑː uː ɑ i
ꜥwꜣy	ɑː uː ɑ iː
ꜥwt	ɑː uː t
ꜥb	ɑː b
ꜥbꜣ	ɑː b ɑ
ꜥbj	ɑː b i
ꜥbꜥb	ɑː b ɑː b
ꜥbw	ɑː b uː
ꜥbw	ɑː b uː
ꜥbw	ʕ aː b V w
ꜥbw	ʕ aː b V w
ꜥbw	ʕ aː b ə
ꜥbw	ʕ oː β
ꜥbw	ʕ aː b V w
ꜥbw	ʕ aː b V w
ꜥbw	ʕ aː b ə
ꜥbw	ʕ oː β
ꜥbw	ɑː b uː
ꜥbnḫ	ɑː b n ɛ x
ꜥbḫn	ɑː b x ɛ n
ꜥpj	ɑː p i
ꜥpr	ɑː p ɛ r
ꜥpšꜣy	ɑː p ʃ ɑ iː
ꜥf	ɑː f
ꜥfꜣy	ɑː f ɑ iː
ꜥff	ʕ u f f V j
ꜥff	ʕ u f f V j
ꜥff	ʕ u f f ə
ꜥff	ʕ ø f f
ꜥff	ʕ u f f V j
ꜥff	ʕ u f f V j
ꜥff	ʕ u f f ə
ꜥff	ʕ ø f f
ꜥff	ɑː f ɛ f
ꜥftj	ɑː f t i
ꜥfḏt	ɑː f d͡ʒ ɛ t
ꜥm	ɑː m
ꜥmꜥꜣ	ɑː m ɑː ʔ ɑ
ꜥmꜥꜣt	ɑː m ɑː ʔ ɑ ɛ t
ꜥmꜥm	ɑː m ɑː m
ꜥmꜥt	ʕ a m ʕ a t
ꜥmꜥt	ʕ a m ʕ a ʔ
ꜥmꜥt	ʕ a m ʕ a
ꜥmꜥt	ʕ a m ʕ ə
ꜥmꜥt	ʕ a m ʕ a t
ꜥmꜥt	ʕ a m ʕ a ʔ
ꜥmꜥt	ʕ a m ʕ a
ꜥmꜥt	ʕ a m ʕ ə
ꜥmꜥt	ɑː m ɑː t
ꜥmm	ɑː m ɛ m
ꜥmr	ʕ V m r i j
ꜥmr	ʕ V m r i j
ꜥmr	ʕ a m r e ʔ
ꜥmr	ʕ a m r e ʔ
ꜥmr	ʕ V m r i j
ꜥmr	ʕ V m r i j
ꜥmr	ʕ a m r e ʔ
ꜥmr	ʕ a m r e ʔ
ꜥmr	ɑː m ɛ r
ꜥmḏ	ʕ aː m ə t͡ʃʼ
ꜥmḏ	ʕ oː m ə t͡ʃʼ
ꜥmḏ	ʕ aː m ə t͡ʃʼ
ꜥmḏ	ʕ oː m ə t͡ʃʼ
ꜥmḏ	ɑː m ɛ d͡ʒ
ꜥn	ɑː n
ꜥnj	ɑː n i
ꜥnꜥn	ɑː n ɑː n
ꜥnb	ʕ V n aː b V w
ꜥnb	ʕ a n aː b ə
ꜥnb	ʕ a n oː β ə
ꜥnb	ʕ a n oː β
ꜥnb	ʕ V n aː b V w
ꜥnb	ʕ a n aː b ə
ꜥnb	ʕ a n oː β ə
ꜥnb	ʕ a n oː β
ꜥnb	ɑː n ɛ b
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ʕ a n a n
ꜥnn	ɑː n ɛ n
ꜥnḫ	ʕ aː n a χ
ꜥnḫ	ʕ aː n a χ
ꜥnḫ	ʕ aː n ə χ
ꜥnḫ	ʕ oː n ə χ
ꜥnḫ	ʕ aː n a χ
ꜥnḫ	ʕ aː n a χ
ꜥnḫ	ʕ aː n ə χ
ꜥnḫ	ʕ oː n ə χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ʕ a n a χ
ꜥnḫ	ɑː n x
ꜥnḫwj	ɑː n x uː i
ꜥnḫ.tj	ɑː n x ʔ t i
ꜥnq	ɑː n ɛ k
ꜥnqt	ɑː n k ɛ t
ꜥnt	ʕ iː n V t
ꜥnt	ʕ iː n V ʔ
ꜥnt	ʕ iː n a
ꜥnt	ʕ iː n ə
ꜥnt	ʕ iː n V t
ꜥnt	ʕ iː n V ʔ
ꜥnt	ʕ iː n a
ꜥnt	ʕ iː n ə
ꜥnt	ɑː n ɛ t
ꜥnt	ɑː n ɛ t
ꜥntj	ɑː n t i
ꜥntjw	ɑː n t i uː
ꜥntjt	ɑː n t i t
ꜥnḏ	ɑː n ɛ d͡ʒ
ꜥnḏw	ʕ V n cʼ a w w u w
ꜥnḏw	ʕ V n tʼ a w w u w
ꜥnḏw	ʕ a n tʼ a w w ə
ꜥnḏw	ʕ a n tʼ a w w ə
ꜥnḏw	ʕ a n tʼ a w w
ꜥnḏw	ʕ V n cʼ a w w u w
ꜥnḏw	ʕ V n tʼ a w w u w
ꜥnḏw	ʕ a n tʼ a w w ə
ꜥnḏw	ʕ a n tʼ a w w ə
ꜥnḏw	ʕ a n tʼ a w w
ꜥnḏw	ɑː n d͡ʒ uː
ꜥr	ɑː r
ꜥr	ʕ i l
ꜥr	ʕ i l
ꜥr	ʕ e l
ꜥr	ʕ e l
ꜥr	ʕ i l
ꜥr	ʕ i l
ꜥr	ʕ e l
ꜥr	ʕ e l
ꜥr	ɑː r
ꜥr	ɑː r
ꜥr	ɑː r
ꜥrꜥr	ɑː r ɑː r
ꜥrw	ɑː r uː
ꜥrf	ɑː r ɛ f
ꜥrrwt	ɑː r ɛ r uː t
ꜥrq	ʕ aː l a qʼ
ꜥrq	ʕ aː l a qʼ
ꜥrq	ʕ aː l ə qʼ
ꜥrq	ʕ oː l ə qʼ
ꜥrq	ʕ aː l a qʼ
ꜥrq	ʕ aː l a qʼ
ꜥrq	ʕ aː l ə qʼ
ꜥrq	ʕ oː l ə qʼ
ꜥrq	ɑː r ɛ k
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l a qʼ
ꜥrq	ʕ a l aː qʼ a w
ꜥrq	ʕ a l aː qʼ a w
ꜥrq	ʕ a l aː qʼ ə
ꜥrq	ʕ a l oː qʼ
ꜥrq	ʕ a l aː qʼ a w
ꜥrq	ʕ a l aː qʼ a w
ꜥrq	ʕ a l aː qʼ ə
ꜥrq	ʕ a l oː qʼ
ꜥrq	ɑː r ɛ k
ꜥrqy	ʕ V l qʼ i w
ꜥrqy	ʕ V l qʼ i j
ꜥrqy	ʕ a l qʼ e ʔ
ꜥrqy	ʕ a l qʼ e ʔ
ꜥrqy	ʕ V l qʼ i w
ꜥrqy	ʕ V l qʼ i j
ꜥrqy	ʕ a l qʼ e ʔ
ꜥrqy	ʕ a l qʼ e ʔ
ꜥrqy	ɑː r k iː
ꜥrt	ɑː r ɛ t
ꜥḥ	ɑː h
ꜥḥꜣ	ɑː h ɑ
ꜥḥꜣw	ɑː h ɑ uː
ꜥḥꜣwtj	ʕ V ħ ʀ a w t i j
ꜥḥꜣwtj	ʕ V ħ ʀ a w t i j
ꜥḥꜣwtj	ʕ a ħ a w t ə
ꜥḥꜣwtj	ʕ a ħ a w t
ꜥḥꜣwtj	ʕ V ħ ʀ a w t i j
ꜥḥꜣwtj	ʕ V ħ ʀ a w t i j
ꜥḥꜣwtj	ʕ a ħ a w t ə
ꜥḥꜣwtj	ʕ a ħ a w t
ꜥḥꜣwtj	ɑː h ɑ uː t i
ꜥḥꜥ	ʕ aː ħ a ʕ
ꜥḥꜥ	ʕ aː ħ a ʕ
ꜥḥꜥ	ʕ aː ħ ə ʕ
ꜥḥꜥ	ʕ oː ħ ə ʕ
ꜥḥꜥ	ʕ aː ħ a ʕ
ꜥḥꜥ	ʕ aː ħ a ʕ
ꜥḥꜥ	ʕ aː ħ ə ʕ
ꜥḥꜥ	ʕ oː ħ ə ʕ
ꜥḥꜥ	ɑː h ɑː
ꜥḥꜥw	ʕ a ħ ʕ a w
ꜥḥꜥw	j a ħ j a w
ꜥḥꜥw	ʔ a ħ j ə
ꜥḥꜥw	ʔ a ħ i
ꜥḥꜥw	ʕ a ħ ʕ a w
ꜥḥꜥw	j a ħ j a w
ꜥḥꜥw	ʔ a ħ j ə
ꜥḥꜥw	ʔ a ħ i
ꜥḥꜥw	ɑː h ɑː uː
ꜥḫj	ɑː x i
ꜥḫm	ʕ aː χ a m
ꜥḫm	ʕ aː χ a m
ꜥḫm	ʕ aː χ ə m
ꜥḫm	ʕ oː χ ə m
ꜥḫm	ʕ aː χ a m
ꜥḫm	ʕ aː χ a m
ꜥḫm	ʕ aː χ ə m
ꜥḫm	ʕ oː χ ə m
ꜥḫm	ɑː x ɛ m
ꜥḫḫw	ɑː x ɛ x uː
ꜥẖj	ɑː ç i
ꜥẖm	ʕ a ç aː m a w
ꜥẖm	ʕ a ç aː m a w
ꜥẖm	ʕ a ç aː m ə
ꜥẖm	ʕ a ç oː m
ꜥẖm	ʕ a ç aː m a w
ꜥẖm	ʕ a ç aː m a w
ꜥẖm	ʕ a ç aː m ə
ꜥẖm	ʕ a ç oː m
ꜥẖm	ɑː ç ɛ m
ꜥsṯjrṯt	ɑː s t͡ʃ i r t͡ʃ ɛ t
ꜥsṯrt	ɑː s t͡ʃ ɛ r ɛ t
ꜥsṯrdt	ɑː s t͡ʃ ɛ r d ɛ t
ꜥsṯt	ɑː s t͡ʃ ɛ t
ꜥš	ʕ aː ʃ
ꜥš	ʕ aː ʃ
ꜥš	ʕ aː ʃ
ꜥš	ʕ oː ʃ
ꜥš	ʕ aː ʃ
ꜥš	ʕ aː ʃ
ꜥš	ʕ aː ʃ
ꜥš	ʕ oː ʃ
ꜥš	ɑː ʃ
ꜥš	ɑː ʃ
ꜥš	ɑː ʃ
ꜥšꜣ	ʕ i ʃ i ʀ
ꜥšꜣ	ʕ i ʃ i ʀ
ꜥšꜣ	ʕ a ʃ e j
ꜥšꜣ	ʕ a ʃ e j
ꜥšꜣ	ʕ i ʃ i ʀ
ꜥšꜣ	ʕ i ʃ i ʀ
ꜥšꜣ	ʕ a ʃ e j
ꜥšꜣ	ʕ a ʃ e j
ꜥšꜣ	ɑː ʃ ɑ
ꜥšꜣ	ɑː ʃ ɑ
ꜥšꜣt	ɑː ʃ ɑ t
ꜥšj	ɑː ʃ i
ꜥšm	ɑː ʃ ɛ m
ꜥq	ʕ aː qʼ
ꜥq	ʕ aː qʼ
ꜥq	ʕ aː qʼ
ꜥq	ʕ oː qʼ
ꜥq	ʕ aː qʼ
ꜥq	ʕ aː qʼ
ꜥq	ʕ aː qʼ
ꜥq	ʕ oː qʼ
ꜥq	ɑː k
ꜥqꜣ	ɑː k ɑ
ꜥqy	ʕ i qʼ j a w
ꜥqy	ʕ i qʼ j a w
ꜥqy	ʕ e j qʼ ə
ꜥqy	ʕ e j qʼ
ꜥqy	ʕ i qʼ j a w
ꜥqy	ʕ i qʼ j a w
ꜥqy	ʕ e j qʼ ə
ꜥqy	ʕ e j qʼ
ꜥqy	ɑː k iː
ꜥqyt	ɑː k iː t
ꜥqw	ʕ a qʼ w u w
ꜥqw	ʕ a qʼ j u w
ꜥqw	ʕ a j qʼ ə
ꜥqw	ʕ a j qʼ
ꜥqw	ʕ a qʼ w u w
ꜥqw	ʕ a qʼ j u w
ꜥqw	ʕ a j qʼ ə
ꜥqw	ʕ a j qʼ
ꜥqw	ɑː k uː
ꜥkꜣ	ɑː k ɑ
ꜥgt	ɑː ɡ ɛ t
ꜥt	ɑː t
ꜥtḫ	ɑː t ɛ x
ꜥḏ	ɑː d͡ʒ
ꜥḏt	ɑː d͡ʒ ɛ t
w	uː
wꜣ	w a ʀ V w
wꜣ	w a ʕ ə
wꜣ	w a ʕ
wꜣ	w a ʀ V w
wꜣ	w a ʕ ə
wꜣ	w a ʕ
wꜣ	w ɑ
wꜣj	w ɑ i
wꜣjwrjy	w ɑ i uː r i ʔ iː
wꜣyšꜣtjsꜣpy	w ɑ iː ʃ ɑ t i s ɑ p iː
wꜣw	w ɑ uː
wꜣwꜣt	w ɑ uː ɑ t
wꜣb	w ɑ b
wꜣr	w ɑ r
wꜣrt	w ɑ r ɛ t
wꜣḥ	w aː ʀ a ħ
wꜣḥ	w aː ʀ a ħ
wꜣḥ	w aː ʔ ə ħ
wꜣḥ	w oː ʔ ə ħ
wꜣḥ	w aː ʀ a ħ
wꜣḥ	w aː ʀ a ħ
wꜣḥ	w aː ʔ ə ħ
wꜣḥ	w oː ʔ ə ħ
wꜣḥ	w ɑ h
wꜣḥyt	w ɑ h iː t
wꜣḫj	w ɑ x i
wꜣs	w ɑ s
wꜣsꜣrkn	w ɑ s ɑ r k ɛ n
wꜣsj	w ɑ s i
wꜣst	w ɑ s ɛ t
wꜣg	w ɑ ɡ
wꜣt	w ɑ t
wꜣḏ	w aː ʀ a cʼ
wꜣḏ	w aː ʀ a tʼ
wꜣḏ	w aː ʔ ə tʼ
wꜣḏ	w oː ʔ ə tʼ
wꜣḏ	w aː ʀ a cʼ
wꜣḏ	w aː ʀ a tʼ
wꜣḏ	w aː ʔ ə tʼ
wꜣḏ	w oː ʔ ə tʼ
wꜣḏ	w aː ʀ i cʼ
wꜣḏ	w aː ʀ i tʼ
wꜣḏ	w aː ʔ ə tʼ
wꜣḏ	w oː ʔ ə tʼ
wꜣḏ	w aː ʀ i cʼ
wꜣḏ	w aː ʀ i tʼ
wꜣḏ	w aː ʔ ə tʼ
wꜣḏ	w oː ʔ ə tʼ
wꜣḏ	w ɑ d͡ʒ
wꜣḏw	w ɑ d͡ʒ uː
wꜣḏt	w ɑ d͡ʒ ɛ t
wj	w i
wjꜣ	w i ɑ
wjn	w i n
wꜥ	w i ʕ j V w
wꜥ	w i ʕ j V w
wꜥ	w i ʕ j ə
wꜥ	w e ʕ i
wꜥ	w i ʕ j V w
wꜥ	w i ʕ j V w
wꜥ	w i ʕ j ə
wꜥ	w e ʕ i
wꜥ	w ɑː
wꜥ	w ə ʕ
wꜥ	w ə ʕ
wꜥ	w ɑː
wꜥꜣ	w a ʕ ʀ V w
wꜥꜣ	w a ʕ ə
wꜥꜣ	w a ʕ
wꜥꜣ	w a ʕ ʀ V w
wꜥꜣ	w a ʕ ə
wꜥꜣ	w a ʕ
wꜥꜣ	w ɑː ʔ ɑ
wꜥj	w i ʕ j i t
wꜥj	w i ʕ j i t
wꜥj	w ɑː i
wꜥꜥw	w ɑː ʔ ɑː uː
wꜥw	w iː ʕ i w
wꜥw	w iː ʕ i w
wꜥw	w iː ʕ ə
wꜥw	w eː ʕ ə
wꜥw	w eː ʕ
wꜥw	w iː ʕ i w
wꜥw	w iː ʕ i w
wꜥw	w iː ʕ ə
wꜥw	w eː ʕ ə
wꜥw	w eː ʕ
wꜥw	w ɑː uː
wꜥb	w a ʕ a b
wꜥb	w a ʕ a b
wꜥb	w ə ʕ a b
wꜥb	w ə ʕ a p
wꜥb	w a ʕ a b
wꜥb	w a ʕ a b
wꜥb	w ə ʕ a b
wꜥb	w ə ʕ a p
wꜥb	w iː ʕ a b
wꜥb	w iː ʕ a b
wꜥb	w eː ʕ ə b
wꜥb	w eː ʕ ə β
wꜥb	w iː ʕ a b
wꜥb	w iː ʕ a b
wꜥb	w eː ʕ ə b
wꜥb	w eː ʕ ə β
wꜥb	w ɑː b
wꜥbw	w ɑː b uː
wꜥbt	w ɑː b ɛ t
wꜥf	w ɑː f
wꜥr	w ɑː r
wꜥrt	w ɑː r ɛ t
wꜥḥ	w ɑː h
wꜥtj	w V ʕ t i j
wꜥtj	w V ʕ t i j
wꜥtj	w ə ʕ t e ʔ
wꜥtj	w ə ʕ t e ʔ
wꜥtj	w V ʕ t i j
wꜥtj	w V ʕ t i j
wꜥtj	w ə ʕ t e ʔ
wꜥtj	w ə ʕ t e ʔ
wꜥtj	w ɑː t i
wbꜣ	w ɛ b ɑ
wbꜣyt	w ɛ b ɑ iː t
wbn	w ɛ b ɛ n
wbnw	w ɛ b ɛ n uː
wbnt	w ɛ b n ɛ t
wbḫ	w a b a χ
wbḫ	w a b a χ
wbḫ	w ə b a χ
wbḫ	w ə β a χ
wbḫ	w a b a χ
wbḫ	w a b a χ
wbḫ	w ə b a χ
wbḫ	w ə β a χ
wbḫ	w ɛ b ɛ x
wbḫt	w ɛ b x ɛ t
wbd	w ɛ b ɛ d
wpj	w ɛ p i
wpw	w ɛ p uː
wpwt	w a p w u t
wpwt	w a p w u ʔ
wpwt	w a p w a
wpwt	w a p w ə
wpwt	w a p w u t
wpwt	w a p w u ʔ
wpwt	w a p w a
wpwt	w a p w ə
wpwt	w ɛ p uː t
wpwt	w ɛ p uː t
wpwt	w ɛ p uː t
wpwtj	w a p w uː t i j
wpwtj	w a p w uː t i j
wpwtj	w ə p w uː t ə
wpwtj	w ə p w eː t
wpwtj	w a p w uː t i j
wpwtj	w a p w uː t i j
wpwtj	w ə p w uː t ə
wpwtj	w ə p w eː t
wpwtj	w a p w u t j V w
wpwtj	w a p w u t j V w
wpwtj	w ə p w u t j ə
wpwtj	w ə p w ø t i
wpwtj	w a p w u t j V w
wpwtj	w a p w u t j V w
wpwtj	w ə p w u t j ə
wpwtj	w ə p w ø t i
wpwtj	w ɛ p uː t i
wprt	w ɛ p r ɛ t
wps	w ɛ p ɛ s
wpt	w ɛ p ɛ t
wfꜣ	w aː f a ʀ
wfꜣ	w aː f a ʀ
wfꜣ	w aː f ə
wfꜣ	w oː f
wfꜣ	w aː f a ʀ
wfꜣ	w aː f a ʀ
wfꜣ	w aː f ə
wfꜣ	w oː f
wfꜣ	w a f ʀ u w
wfꜣ	w a f ʀ u w
wfꜣ	w a f ə
wfꜣ	w a f
wfꜣ	w a f ʀ u w
wfꜣ	w a f ʀ u w
wfꜣ	w a f ə
wfꜣ	w a f
wfꜣ	w ɛ f ɑ
