ئارد	ʔ aː ɾ d
کوردستان	k ʊ ɾ d ə s t aː n
کوز	k ʊ z
کول	k ʊ l
کون	k ʊ n
کونجی	k ʊ n d͡ʒ iː
کوند	k ʊ n d
کوو	k uː
کوڵاندن	k ʊ ɫ aː n d ə n
کوێر	c ø e̯ ɾ
کڕێوە	k ə r e̞ː w a
کڵاو	k ə ɫ aː u̯
کڵێسا	k ə ɫ e̞ː s aː
کۆر	k ɔː ɾ
کۆش	k o̞ː ʃ
کۆلارە	k o̞ː l aː ɾ a
کۆمەڵەدوورگە	k o̞ː m a ɫ a d uː ɾ ɡ a
کۆن	k o̞ː n
کۆپارە	k o̞ː p aː ɾ a
کۆکین	k o̞ː c iː n
کۆکە	k o̞ː k a
کۆیلە	k oː i̯ l a
کیمیا	c iː m j aː
کێ	c e̞ː
کێر	c e̞ː ɾ
کێرد	c e̞ː ɾ d
کێشان	c e̞ː ʃ aː n
کێو	c eː u̯
کێچ	c e̞ː t͡ʃ
کێک	c e̞ː k
کێڵان	c e̞ː ɫ aː n
کەباب	k æ b aː b
کەر	k a ɾ
کەرە	k a ɾ a
کەرەباب	k æ ɾ æ b aː b
کەرەوز	k a ɾ a u̯ z
کەزی	k a z iː
کەس	k a s
کەسی	k a s iː
کەمتیار	k a m t j aː ɾ
کەنداو	k a n d aː u̯
کەندن	k a n d ə n
کەندەسمە	k a n d a s ə m a
کەنیشک	k a n iː ʃ k
کەنین	k a n iː n
کەوان	k a w aː n
کەوتن	k a u̯ t ə n
کەوچک	k a u̯ t͡ʃ ə k
کەپوو	k æ p uː
کەچەڵ	k a t͡ʃ a ɫ
کەچەڵی	k a t͡ʃ a ɫ iː
کەڕ	k a r
کەڕی	k a r iː
کەڵەباب	k a ɫ a b aː b
کەڵەشێر	k a ɫ a ʃ eː ɾ
کەیوان	k ɛ i̯ w aː n
گا	ɡ aː
گامێش	ɡ aː m e̞ː ʃ
گران	ɡ ɾ aː n
گرد	ɡ ə ɾ d
گرنگ	ɡ ə ɾ ə ŋ ɡ
گرنگی	ɡ ə ɾ ə ŋ ɡ iː
گسک	ɡ ə s ə k
گوارە	ɡ w aː ɾ a
گوتن	ɡ u t ɪ n
گورچیلە	ɡ ʊ ɾ t͡ʃ iː l a
گورگ	ɡ ʊ ɾ ɡ
گورگەزێ	ɡ ʊ ɾ ɡ a z e̞ː
گون	ɡ ʊ n
گوند	ɡ ʊ n d
گوندنشین	ɡ u n d n ɪ ʃ iː n
گوندێن	ɡ ʊ n d e̞ː n
گوو	ɡ uː
گوڵاو	ɡ ʊ ɫ aː u̯
گوڵەبەڕۆژە	ɡ ʊ ɫ a b a r o̞ː ʒ a
گوێ	ɟ ø e̯
گوێز	ɟ ø e̯ z
گوێڕەش	ɟ ø e̯ r a ʃ
گڕکان	ɡ ə r k aː n
گژنیژ	ɡ ə ʒ n iː ʒ
گڵ	ɡ ə ɫ
گڵکۆ	ɡ ə ɫ k o̞ː
گۆ	ɡ o̞ː
گۆرانیبێژ	ɡ ɔː ɾ aː n iː b e̞ː ʒ
گۆرەوی	ɡ ɔː ɾ a w iː
گۆرەویچنە	ɡ ɔː ɾ a w iː t͡ʃ ə n a
گۆشت	ɡ o̞ː ʃ t
گۆڕستان	ɡ ɔː r ə s t aː n
گیا	ɟ ə j aː
گیان	ɟ j aː n
گیتار	ɟ iː t aː ɾ
گیسک	ɟ iː s k
گێزەر	ɟ e̞ː z a ɾ
گێلاس	ɟ e̞ː l aː s
گێژ	ɟ e̞ː ʒ
گەدە	ɡ a d a
گەردوون	ɡ a ɾ d uː n
گەرم	ɡ a ɾ m
گەز	ɡ a z
گەستن	ɡ a s t ə n
گەسک	ɡ a s ə k
گەلاوێژ	ɡ a l aː w e̞ː ʒ
گەمێ	ɡ a m e̞ː
گەمە	ɡ æ m æ
گەنج	ɡ a n d͡ʒ
گەنم	ɡ a n ə m
گەنین	ɡ a n iː n
گەنە	ɡ a n a
گەواد	ɡ a w aː d
گەورە	ɡ e w r e
گەڕەستێرە	ɡ a r a s t e̞ː ɾ a
گەڵا	ɡ a ɫ aː
گەیاندن	ɡ a j aː n d ə n
گەیشتن	ɡ a j ə ʃ t ə n
ڵ	ɫ
ھاتن	h aː t ə n
ھاویشتن	h aː w iː ʃ t ə n
ھاوین	h aː w iː n
ھاڕین	h aː r iː n
ھورمز	h ʊ ɾ m ə z
ھڵۆڵ	h ə ɫ o̞ː ɫ
ھۆندن	h o̞ː n d ə n
ھیوا	h iː w aː
ھێز	h e̞ː z
ھێزم	h e̞ː z ə m
ھێشتن	h e̞ː ʃ t ə n
ھێلکە	h e̞ː l k a
ھێنان	h e̞ː n aː n
ھەتوان	h a t w aː n
ھەتیو	h a t iː u̯
ھەرزان	h a ɾ z aː n
ھەرزن	h a ɾ z ə n
ھەرمێ	h a ɾ m e̞ː
ھەزار	h a z aː ɾ
ھەزارپێ	h a z aː ɾ p e̞ː
ھەزارە	h a z aː ɾ a
ھەسان	h a s aː n
ھەشت	h a ʃ t
ھەشتپێ	h a ʃ t p e̞ː
ھەموو	h a m uː
ھەنار	h a n aː ɾ
ھەناسە	h a n aː s a
ھەنجیر	h a n d͡ʒ iː ɾ
ھەنگوور	h a ŋ ɡ uː ɾ
ھەنگوین	h a ŋ ɡ ə w iː n
ھەوا	h a w aː
ھەور	h a u̯ ɾ
ھەورس	h a u̯ ɾ ə s
ھەولێر	h a u̯ l e̞ː ɾ
ھەویر	h a w iː ɾ
ھەوێ	h a w e̞ː
ھەوێن	h a w e̞ː n
ھەڕە	h a r a
ھەڕەماسی	h a r a m aː s iː
ھەژار	h a ʒ aː ɾ
ھەژدە	h a ʒ d a
ھەڵبژاردن	h a ɫ b ʒ aː ɾ d ə n
ھەڵم	h a ɫ m
ھەڵووژە	h a ɫ uː ʒ a
ھەڵۆ	h a ɫ o̞ː
ۆ	oː
یاد	j aː d
یانزە	j aː n z a
یۆنان	j o̞ː n aː n
یەمەن	j ɛ m a n
یەک	j ɛ k
ێ	eː
