ʼ	ʰ
чӣӈӈлэсс	t͡ʃʲ iː ŋː l ɛ sː
чӣӈӈлэсь	t͡ʃʲ iː ŋː l ɛ sʲ
чӣӈӈэль	t͡ʃʲ iː ŋː ɛ lʲ
чӯвв	t͡ʃʲ uː vː
чӯзэм	t͡ʃʲ uː z ɛ m
чӯмар	t͡ʃʲ uː m a r
чӯһпэ	t͡ʃʲ uː h p ɛ
ша̄бп	ʃ aː b p
шалльм	ʃ a lʲː m
шаммерь	ʃ a mʲː e rʲ
шко̄һт	ʃ k oː h t
шнӯра	ʃ n uː r a
шо̄йвым	ʃ oː j v ɨ m
шоабшэ	ʃ ɒ b ʃ ɛ
шуэннь	ʃ u̯ ɛ ɲː
шэ̄ннтэ	ʃ ɛː nː t ɛ
шэ̄ннтэмпе̄ййв	ʃ ɛː nː t ɛ m p i̯ e jː v
шэ̄ӈӈ	ʃ ɛː ŋː
шӣг	ʃ iː ɡ
шӯрр	ʃ uː rː
ыгка	ɨ ɡ k a
ыгкь	ɨ ɡʲ kʲ
ыдал	ɨ d a l
ыдӭнҍ	ɨ dʲ ɛ nʲ
ыйй	ɨ jː
ылл	ɨ lː
ылльп	ɨ lʲː pʲ
ысскар	ɨ sː k a r
ыӈас	ɨ ŋ a s
э̄ллманнт	ɛː lː m a nː t
э̄мас	ɛː m a s
э̄ххт	ɛː xː t
эвванпе̄ййв	ɛ vː a n p i̯ e jː v
эвванпе̄ййвпа̄лл	ɛ vː a n p i̯ e jː v p aː lː
эйй	ɛ jː
эллей	ɛ lː j e j
элтас	ɛ l t a s
элэнь	ɛ l ɛ ɲ
эчкас	ɛ t͡ʃʲ k a s
ю̄гке	j uː ɡ kʲ e
ю̄ккс	j uː kː s
ю̄нн	j uː nː
югке	j u ɡ kʲ e
югкмушш	j u ɡ k m u ʃː
юнн	j u nː
я̄ввьр	j e̯ a vʲː rʲ
я̄лак	j a l a k
я̄лах	j a l a x
ярьнӭхь	j a rʲ nʲ ɛ xʲ
ҋ	j̊
Ҋ	j̊
Ҍ	ʲ
ҍ	ʲ
ҏ	r̥
Ҏ	r̥
һ	ʰ
Һ	ʰ
ӆ	l̥
Ӆ	l̥
ӈ	ŋ
Ӈ	ŋ
ӊ	n̥
Ӊ	n̥
ӎ	m̥
Ӎ	m̥
ӓ	ʲa
Ӓ	ʲa
ӣввьй	iː vʲː j
ӣййв	iː jː v
ӣлле	j iː lː j e
ӣнн	iː nː
ӣнцкэнч	iː n t͡s k ɛ n t͡ʃʲ
ӣӈӈ	iː ŋː
ӣӈӈёадтмушш	j iː ŋː j ɒ d t m u ʃː
ӣӈӈма̄нн	iː ŋː m aː nː
ӭ	ʲe
Ӭ	ʲe
ӯлец	uː lʲ e t͡s
