â	a
cilfach	k ɪ l v a χ
cilgant	k ɪ l ɡ a n t
cilio	k ɪ l j ɔ
cilwen	k ɪ l w ɛ n
cilwg	k ɪ l ʊ ɡ
cilydd	k ɪ l ɨ̞ ð
cinio	k ɪ n j ɔ
cipio	k ɪ p j ɔ
cist	k iː s d
ciw	k ɪ u̯
ciwcymber	k ɪ u̯ k ə m b ɛ r
ciwcymber	k ɪ u̯ k ə m b a r
ciwcymber	k ɪ u̯ k ə m b a r
ciwcymbr	k ɪ u̯ k ə m b r
ciwcymbrau	k ɪ u̯ k ə m b r a ɨ̯
ciwcymbrau	k ɪ u̯ k ə m b r ɛ
ciwcymbrau	k ɪ u̯ k ə m b r a
ciwcymbrau	k ɪ u̯ k ə m b r ɛ
ciwcymbrau	k ɪ u̯ k ə m b r a
ciwdod	k ɪ u̯ d ɔ d
claddu	k l a ð ɨ̞
claf	k l aː v
clas	k l aː s
clau	k l a ɨ̯
clawdd	k l aː u̯ ð
clawr	k l a u̯ r
cledr	k l ɛ d r
cledd	k l eː ð
clefyd	k l ɛ v ɨ̞ d
clefyd y galon	k l ɛ v ɨ̞ d ə ɡ a l ɔ n
clefyd y gwair	k l ɛ v ɨ̞ d ə ɡ w a i̯ r
clefyd y sul	k l ɛ v ɨ̞ d ə s ɨː l
clêr	k l eː r
cleren	k l ɛ r ɛ n
clicio	k l ɪ k j ɔ
clicio	k l ɪ k ɔ
clirio	k l ɪ r j ɔ
clo	k l oː
cloan	k l ɔ a n
cloc	k l ɔ k
cloch	k l oː χ
cloch baban	k l oː χ b a b a n
cloch maban	k l oː χ m a b a n
clod	k l oː d
clodfawr	k l ɔ d v a u̯ r
clodforedd	k l ɔ d v ɔ r ɛ ð
clodfori	k l ɔ d v ɔ r i
clodwiw	k l ɔ d w ɪ u̯
clodydd	k l ɔ d ɨ̞ ð
cloddfa	k l ɔ ð v a
cloem	k l oː ɨ̯ m
cloen	k l oː ɨ̯ n
cloent	k l oː ɨ̯ n t
clof	k l oː v
clog	k l oː ɡ
cloi	k l ɔ i̯
clois	k l ɔ i̯ s
cloit	k l ɔ i̯ t
cloriau	k l ɔ r j a ɨ̯
cloriau	k l ɔ r j ɛ
cloriau	k l ɔ r j a
cloriau	k l ɔ r j ɛ
cloriau	k l ɔ r j a
closed	k l ɔ s ɛ d
closen	k l ɔ s ɛ n
closet	k l ɔ s ɛ t
clou	k l ɔ ɨ̯
clown	k l ɔ u̯ n
clun	k l ɨː n
clust	k l ɨː s d
clustdlws	k l ɨ̞ s d l ʊ s
clwb	k l ʊ b
clwb	k l uː b
clwb te	k l ʊ b t eː
clwt	k l ʊ t
clwyd	k l uː ɨ̯ d
clwyf	k l uː ɨ̯ v
clwyfau	k l ʊ ɨ̯ v a ɨ̯
clwyfau	k l ʊ ɨ̯ v ɛ
clwyfau	k l ʊ ɨ̯ v a
clwyfau	k l ʊ ɨ̯ v ɛ
clwyfau	k l ʊ ɨ̯ v a
clwyfo	k l ʊ ɨ̯ v ɔ
clwyfus	k l ʊ ɨ̯ v ɨ̞ s
cly	k l ɨː
clybiau	k l ə b j a ɨ̯
clybiau	k l ə b j ɛ
clybiau	k l ə b j a
clybiau	k l ə b j ɛ
clybiau	k l ə b j a
clyfar	k l ə v a r
clymog ddu	k l ə m ɔ ɡ ð ɨː
clymog japan	k l ə m ɔ ɡ d͡ʒ a p a n
clymu	k l ə m ɨ̞
clyw	k l ɪ u̯
clyw	k l ɨ u̯
clywaf	k l ə w a v
clywed	k l ə w ɛ d
clywed	k l ə w a d
clywed	k l ə w a d
clywedog	k l ə u̯ ɛ d ɔ ɡ
cnau	k n a ɨ̯
cnau cyll	k n a ɨ̯ k ɨ̞ ɬ
cnau ffrengig	k n a ɨ̯ f r ɛ ŋ ɪ ɡ
cnawd	k n a u̯ d
cnawdol	k n a u̯ d ɔ l
cneua	k n e ɨ̯ a
cneuen	k n e ɨ̯ ɛ n
cneuen	k n e ɨ̯ a n
cneuen	k n e ɨ̯ a n
cneuen ffrengig	k n e ɨ̯ ɛ n f r ɛ ŋ ɪ ɡ
cneuen ffrengig	k n e ɨ̯ a n f r ɛ ŋ ɪ ɡ
cneuen ffrengig	k n e ɨ̯ a n f r ɛ ŋ ɪ ɡ
cneuen gyll	k n e ɨ̯ ɛ n ɡ ɨ̞ ɬ
cneuen gyll	k n e ɨ̯ a n ɡ ɨ̞ ɬ
cneuen gyll	k n e ɨ̯ a n ɡ ɨ̞ ɬ
cnewyllyn	k n ɛ u̯ ə ɬ ɨ̞ n
cnoi	k n ɔ i̯
cnuchio	k n ɨ̞ χ j ɔ
cnud	k n ɨː d
cnwd	k n uː d
cobra	k ɔ b r a
cocsa	k ɔ k s a
coch	k oː χ
coch y berllan	k oː χ ə b ɛ r ɬ a n
cochlas	k ɔ χ l a s
cochyn	k ɔ χ ɨ̞ n
cod	k oː d
còd	k ɔ d
côd	k oː d
cod post	k oː d p oː s d
codau	k ɔ d a ɨ̯
codau	k ɔ d ɛ
codau	k ɔ d a
codau	k ɔ d ɛ
codau	k ɔ d a
coden	k ɔ d ɛ n
codi	k ɔ d ɪ
coed	k oː ɨ̯ d
coed afalau	k oː ɨ̯ d a v a l a ɨ̯
coed afalau	k oː ɨ̯ d a v a l ɛ
coed afalau	k oː ɨ̯ d a v a l a
coed afalau	k oː ɨ̯ d a v a l ɛ
coed afalau	k oː ɨ̯ d a v a l a
coeden	k ɔ ɨ̯ d ɛ n
coeden	k ɔ ɨ̯ d a n
coeden	k ɔ ɨ̯ d a n
coeden afalau	k ɔ ɨ̯ d ɛ n a v a l a ɨ̯
coeden afalau	k ɔ ɨ̯ d ɛ n a v a l ɛ
coeden afalau	k ɔ ɨ̯ d a n a v a l a
coeden afalau	k ɔ ɨ̯ d ɛ n v a l ɛ
coeden afalau	k ɔ ɨ̯ d a n v a l a
coeden afalau	k ɔ ɨ̯ d ɛ n a v a l ɛ
coeden afalau	k ɔ ɨ̯ d a n a v a l a
coeden afalau	k ɔ ɨ̯ d ɛ n v a l ɛ
coeden afalau	k ɔ ɨ̯ d a n v a l a
coedwig	k ɔ ɨ̯ d w ɪ ɡ
coeg	k oː ɨ̯ ɡ
coegog	k ɔ ɨ̯ ɡ ɔ ɡ
coel	k oː ɨ̯ l
coelcerth	k ɔ ɨ̯ l k ɛ r θ
coelio	k ɔ ɨ̯ l j ɔ
coes	k oː ɨ̯ s
cof	k oː v
cof	k oː
cof	k oː
cofbin	k ɔ v b ɪ n
cofia	k ɔ v j a
cofiai	k ɔ v j a i̯
cofiais	k ɔ v j a i̯ s
cofiais	k ɔ v j ɛ s
cofiais	k ɔ v j ɛ ʃ
cofiais	k ɔ v ɪ ʃ
cofiais	k ɔ v j ɛ s
cofiais	k ɔ v j ɛ ʃ
cofiais	k ɔ v ɪ ʃ
cofiem	k ɔ v j ɛ m
cofio	k ɔ v j ɔ
cofiwn	k ɔ v j ʊ n
cofnod	k ɔ v n ɔ d
cofnodi	k ɔ v n ɔ d i
cofnodion	k ɔ v n ɔ d j ɔ n
cofrestr	k oː v r ɛ s d r
cofrestrfa	k ɔ v r e s d r v a
cofrestrfeydd	k ɔ v r e s d r v e ɨ̯ ð
cofrestriad	k ɔ v r ɛ s d r j a d
cofrestriadau	k ɔ v r ɛ s d r j a d a ɨ̯
cofrestriadau	k ɔ v r ɛ s d r j a d ɛ
cofrestriadau	j a d a
cofrestriadau	k ɔ v r ɛ s d r j a d ɛ
cofrestriadau	j a d a
cofrestru	k ɔ v r ɛ s d r ɨ̞
cofrestrydd	k ɔ v r ɛ s d r ɨ̞ ð
cofrestryddion	k ɔ v r ɛ s d r ə ð j ɔ n
coffi	k ɔ f i
cog	k oː ɡ
coginio	k ɔ ɡ ɪ n j ɔ
conglfaen	k ɔ ŋ l v a ɨ̯ n
coleg	k ɔ l ɛ ɡ
colfen	k ɔ l v ɛ n
colfenni	k ɔ l v ɛ n i
colofn	k ɔ l ɔ v n
colomen	k ɔ l ɔ m ɛ n
colur	k ɔ l ɨ̞ r
colled	k ɔ ɬ ɛ d
colledion	k ɔ ɬ ɛ d j ɔ n
collen	k ɔ ɬ ɛ n
collen	k ɔ ɬ a n
collen	k ɔ ɬ a n
colli	k ɔ ɬ i
collnod	k ɔ ɬ n ɔ d
coma	k ɔ m a
condemni	k ɔ n d ɛ m n ɪ
condemnio	k ɔ n d ɛ m n j ɔ
cont	k ɔ n t
contract	k ɔ n t r a k t
contractau	k ɔ n t r a k t a ɨ̯
contractau	k ɔ n t r a k t ɛ
contractau	k ɔ n t r a k t a
contractau	k ɔ n t r a k t ɛ
contractau	k ɔ n t r a k t a
conwy	k ɔ n ʊ ɨ̯
conwydd	k ɔ n w ɨ̯ ð
conwydden	k ɔ n w ɨ̞ ð ɛ n
conwydden	k ɔ n w ə ð ɛ n
conwydden	k ɔ n w ɨ̞ ð a n
conwydden	k ɔ n w ə ð a n
conwydden	k ɔ n w ɨ̞ ð a n
conwydden	k ɔ n w ə ð a n
conyn	k ɔ n ɨ̞ n
cop	k ɔ p
copa	k ɔ p a
copi	k ɔ p i
copii	k ɔ p iː i
copïo	k ɔ p iː ɔ
copïwr	k ɔ p iː ʊ r
copïwyr	k ɔ p ɪ w ɨ̞ r
copog	k ɔ p ɔ ɡ
copyn	k ɔ p ɨ̞ n
cor	k ɔ r
côr	k oː r
côr y cewri	k oː r ə k ɛ u̯ r i
corcyn	k ɔ r k ɨ̞ n
cordd	k ɔ r ð
corff	k ɔ r f
corfflu	k ɔ r f l ɨ
corfflunio	k ɔ r f l ɨ̞ n j ɔ
corffluniwr	k ɔ r f l ɨ̞ n j ʊ r
corffluoedd	k ɔ r f l ɨː ɔ ɨ̯ ð
corffor	k ɔ r f ɔ r
corffori	k ɔ r f ɔ r ɪ
corgi	k ɔ r ɡ i
corgïaid	k ɔ r ɡ i a i̯ d
corgwn	k ɔ r ɡ ʊ n
corhedydd	k ɔ r h ɛ d ɨ̞ ð
corn	k ɔ r n
cornel	k ɔ r n ɛ l
cornel	k ɔ r n a l
cornel	k ɔ r n a l
corneli	k ɔ r n ɛ l i
coronafeirws	k ɔ r ɔ n a v e i̯ r ʊ s
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a ɨ̯
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s ɛ
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s ɛ
coronafeirysau	k ɔ r ɔ n a v e i̯ r ə s a
coronafirws	k ɔ r ɔ n a v ɪ r ʊ s
corryn	k ɔ r ɨ̞ n
corwg	k ɔ r ʊ ɡ
corhwyad	k ɔ r h ʊ ɨ̯ a d
corhwyaden	k ɔ r h ʊ ɨ̯ a d ɛ n
corhwyaden	k ɔ r h ʊ ɨ̯ a d a n
corhwyaden	k ɔ r h ʊ ɨ̯ a d a n
corhwyaid	k ɔ r h ʊ ɨ̯ a i̯ d
corhwyaid	k ɔ r h ʊ ɨ̯ ɛ d
corhwyaid	k ɔ r h ʊ ɨ̯ ɛ d
cosb	k oː s b
cosbau	k ɔ s b a ɨ̯
cosbau	k ɔ s b ɛ
cosbau	k ɔ s b a
cosbau	k ɔ s b ɛ
cosbau	k ɔ s b a
cosi	k ɔ s i
cosyn	k ɔ s ɨ̞ n
cot	k ɔ t
côt	k oː t
côt law	k oː t l aː u̯
cotiau	k ɔ t j a ɨ̯
cotiau	k ɔ t j ɛ
cotiau	k ɔ t j a
cotiau	k ɔ t j ɛ
cotiau	k ɔ t j a
cowyll	k ɔ u̯ ɨ̞ ɬ
crac	k r a k
craf	k r aː v
craf y geifr	k r aː v ə ɡ e i̯ v r
crair	k r a i̯ r
cramen	k r a m ɛ n
cras	k r aː s
crasfeydd	k r a s v e ɨ̯ ð
crasu	k r a s ɨ̞
crau	k r a ɨ̯
creadur	k r ɛ a d ɨ̞ r
crech	k r eː χ
cred	k r eː d
creda	k r ɛ d a
credaf	k r ɛ d a v
credaf	k r ɛ d a
credaf	k r ɛ d a
credant	k r ɛ d a n t
credent	k r ɛ d ɛ n t
creder	k r ɛ d ɛ r
credes	k r ɛ d ɛ s
credet	k r ɛ d ɛ t
credi	k r ɛ d ɪ
credit	k r ɛ d ɪ t
credo	k r ɛ d ɔ
credu	k r ɛ d ɨ
credyd	k r ɛ d ɨ̞ d
credydau	k r ɛ d ə d a ɨ̯
credydau	k r ɛ d ə d ɛ
credydau	k r ɛ d ə d a
credydau	k r ɛ d ə d ɛ
credydau	k r ɛ d ə d a
cref	k r eː v
cref	k r eː
cref	k r eː
crefydd	k r ɛ v ɨ̞ ð
crefyddol	k r ɛ v ə ð ɔ l
cregynna	k r ɛ ɡ ə n a
creision	k r e i̯ ʃ ɔ n
creision ŷd	k r e i̯ ʃ ɔ n ɨː d
creisionen	k r e i̯ ʃ ɔ n ɛ n
creisionen ŷd	k r e i̯ ʃ ɔ n ɛ n
creisionllyd	k r e i̯ ʃ ɔ n ɬ ɨ̞ d
crempog	k r ɛ m p ɔ ɡ
creto	k r ɛ t ɔ
creu	k r e ɨ̯
crëwr	k r ɛ ʊ r
crewyr	k r ɛ u̯ ɨ̞ r
crëyr	k r ɛ ɨ̞ r
crist	k r iː s t
cristion	k r ɪ s d j ɔ n
cristionogion	k r ɪ s d j ɔ n ɔ ɡ j ɔ n
cristnogaeth	k r ɪ s d n ɔ ɡ a ɨ̯ θ
cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
cristnogaeth	k r ɪ s d n ɔ ɡ ɛ θ
cristnogion	k r ɪ s d n ɔ ɡ j ɔ n
cristnogol	k r ɪ s d n ɔ ɡ ɔ l
criw	k r ɪ u̯
crocodeil	k r ɔ k ɔ d e i̯ l
crocodeilod	k r ɔ k ɔ d e i̯ l ɔ d
croen	k r oː ɨ̯ n
croeniog	k r ɔ ɨ̯ n j ɔ ɡ
croenliw	k r ɔ ɨ̯ n l ɪ u̯
croes	k r oː ɨ̯ s
croesair	k r ɔ ɨ̯ s a i̯ r
croesffordd	k r ɔ ɨ̯ s f ɔ r ð
croesgad	k r ɔ ɨ̯ s ɡ a d
croeshoeliad	k r ɔ ɨ̯ s h ɔ ɨ̯ l j a d
croeshoelio	k r ɔ ɨ̯ s h ɔ ɨ̯ l j ɔ
croesholi	k r ɔ ɨ̯ s h ɔ l ɪ
croesi	k r ɔ ɨ̯ s i
croeso	k r ɔ ɨ̯ s ɔ
croestorri	k r ɔ ɨ̯ s d ɔ r ɪ
crog	k r oː ɡ
croglen	k r ɔ ɡ l ɛ n
cromfach	k r ɔ m v a χ
cromlech	k r ɔ m l ɛ χ
cronni	k r ɔ n i
croth	k r oː θ
crwban	k r ʊ b a n
crwn	k r ʊ n
crwst	k r ʊ s d
crwt	k r ʊ t
crwth	k r uː θ
crwydr	k r ʊ ɨ̯ d r
crwyn	k r uː ɨ̯ n
crwys	k r uː ɨ̯ s
crych	k r ɨː χ
crychach	k r ə χ a χ
crychau	k r ə χ a ɨ̯
crychau	k r ə χ ɛ
crychau	k r ə χ a
crychau	k r ə χ ɛ
crychau	k r ə χ a
cryched	k r ə χ ɛ d
crychion	k r ə χ j ɔ n
crychydd	k r ə χ ɨ̞ ð
cryd	k r ɨː d
crydiau	k r ə d j a ɨ̯
crydiau	k r ə d j ɛ
crydiau	k r ə d j a
crydiau	k r ə d j ɛ
crydiau	k r ə d j a
crydd	k r ɨː ð
cryddiaeth	k r ə ð j a ɨ̯ θ
cryddiaeth	k r ə ð j ɛ θ
cryddiaeth	k r ə ð j ɛ θ
cryddion	k r ə ð j ɔ n
cryf	k r ɨː v
cryf	k r ɨː
cryf	k r ɨː
crymu	k r ə m ɨ
cryn	k r ɨ̞ n
crŷn	k r ɨː n
cryndod	k r ə n d ɔ d
crynhoad	k r ə n h ɔ a d
crynu	k r ə n ɨ
crynwr	k r ə n ʊ r
crynwyr	k r ə n w ɨ̞ r
crythau	k r ə θ a ɨ̯
crythau	k r ə θ ɛ
crythau	k r ə θ a
crythau	k r ə θ ɛ
crythau	k r ə θ a
cu	k ɨː
cucumer	k ɨ̞ k ɨ̞ m ɛ r
cudyn	k ɨ̞ d ɨ̞ n
cuddio	k ɪ ð j ɔ
cul	k ɨː l
culach	k ɨ̞ l a χ
culaf	k ɨ̞ l a v
culdir	k ɨ̞ l d ɪ r
culdiroedd	k ɨ̞ l d ɪ r ɔ ɨ̯ ð
culed	k ɨ̞ l ɛ d
culion	k ɨ̞ l j ɔ n
curo	k ɨ̞ r ɔ
cusan	k ɨ̞ s a n
cusanau	k ɨ̞ s a n a ɨ̯
cusanau	k ɨ̞ s a n ɛ
cusanau	k ɨ̞ s a n a
cusanau	k ɨ̞ s a n ɛ
cusanau	k ɨ̞ s a n a
cusanu	k ɨ̞ s a n ɨ
cut	k ɨ̞ t
cwar	k w a r
cwb	k ʊ b
cwbl	k ʊ b l
cwbl	k ʊ b ʊ l
cwbl	k ʊ b ʊ l
cwblhau	k ʊ b l h a ɨ̯
cwcer	k ʊ k ɛ r
cwch	k ʊ χ
cwd	k uː d
cweryl	k w ɛ r ɨ̞ l
cweryla	k w ɛ r ə l a
cwerylau	k w ɛ r ə l a ɨ̯
cwerylau	k w ɛ r ə l ɛ
cwerylau	k w ɛ r ə l a
cwerylgar	k w ɛ r ə l ɡ a r
cwerylon	k w ɛ r ə l ɔ n
cwerylwr	k w ɛ r ə l ʊ r
cwerylwyr	k w ɛ r ə l w ɨ̞ r
cwest	k w eː s d
cwestau	k w ɛ s d a ɨ̯
cwestau	k w ɛ s d ɛ
cwestau	k w ɛ s d a
cwestau	k w ɛ s d ɛ
cwestau	k w ɛ s d a
cwestiwn	k w ɛ s d j ʊ n
cwestiynau	k w ɛ s d j ə n a ɨ̯
cwestiynau	k w ɛ s d j ə n ɛ
cwestiynau	k w ɛ s d j ə n a
cwestiynau	k w ɛ s d j ə n ɛ
cwestiynau	k w ɛ s d j ə n a
cwffio	k ʊ f j ɔ
cwis	k w ɪ s
cwlwm	k ʊ l ʊ m
cwm	k ʊ m
cwmpas	k ʊ m p a s
cwmpawd	k ʊ m p a u̯ d
cwmwd	k ʊ m ʊ d
cwmwl	k ʊ m ʊ l
cwmws	k ʊ m ʊ s
cŵn	k uː n
cwningen	k ʊ n ɪ ŋ ɛ n
cwningen	k ʊ n ɪ ŋ a n
cwningen	k ʊ n ɪ ŋ a n
cwpan	k ʊ p a n
cwpanaid	k ʊ p a n a i̯ d
cwpanaid	k ʊ p a n ɛ d
cwpanaid	k ʊ p a n ɛ d
cwpaneidiau	k ʊ p a n e i̯ d j a ɨ̯
cwpaneidiau	k ʊ p a n e i̯ d j ɛ
cwpaneidiau	k ʊ p a n e i̯ d j a
cwpaneidiau	k ʊ p a n e i̯ d j ɛ
cwpaneidiau	k ʊ p a n e i̯ d j a
cwpla	k ʊ p l a
cwpwrdd	k ʊ p ʊ r ð
cwrdd	k ʊ r ð
cwrs	k ʊ r s
cwrw	k ʊ r u
cwsg	k uː s ɡ
cwsmer	k ʊ s m ɛ r
cwsmer	k ʊ s m a r
cwsmer	k ʊ s m a r
cwsmeriaid	k ʊ s m ɛ r j a i̯ d
cwsmeriaid	k ʊ s m ɛ r j ɛ d
cwsmeriaid	k ʊ s m ɛ r j ɛ d
cwstard	k ʊ s d a r d
cwstardiau	k ʊ s d a r d j a ɨ̯
cwstardiau	k ʊ s d a r d j ɛ
cwstardiau	k ʊ s d a r d j a
cwstardiau	k ʊ s d a r d j ɛ
cwstardiau	k ʊ s d a r d j a
cwt	k ʊ t
cwta	k ʊ t a
cwtiar	k ʊ t j a r
cwtsh	k ʊ t ʃ
cwtshys	k ʊ t ʃ ɨ̞ s
cwtsio	k ʊ t ʃ ɔ
cwyd	k uː ɨ̯ d
cwymp	k w ɨ̞ m p
cwympo	k w ɨ̞ m p ɔ
cwyn	k uː ɨ̯ n
cwynion	k ʊ ɨ̯ n j ɔ n
cwyno	k ʊ ɨ̯ n ɔ
cwyr	k uː ɨ̯ r
cybydd	k ə b ɨ̞ ð
cychwyn	k ə χ w ɨ̞ n
cyd	k ɨː d
cydbreswylwyr	k ɨː d b r ɛ s ʊ ɨ̯ l w ɨ̞ r
cydbwysedd	k ɨ̞ d b ʊ ɨ̯ s ɛ ð
cydbwysedd	k ɨ̞ d b ʊ ɨ̯ s a ð
cydbwysedd	k ɨ̞ d b ʊ ɨ̯ s a ð
cydgordio	k ɨ̞ d ɡ ɔ r d j ɔ
cydgordiol	k ɨ̞ d ɡ ɔ r d j ɔ l
cydseiniol	k ɨː d s e i̯ j ɔ l
cydseiniol	k ɨ̞ d s e i̯ j ɔ l
cydsynio	k ɨ̞ d s ə n j ɔ
cydweithiad	k ɨː d w e i̯ θ j a d
cydweithio	k ɨː d w e i̯ θ j ɔ
cydweithiwr	k ɨː d w e i̯ θ j ʊ r
cydweithiwr	k ɨ̞ d w e i̯ θ j ʊ r
cydweithrediad	k ɨː d w e i̯ θ r ɛ d j a d
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d a ɨ̯
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d ɛ
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d a
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d ɛ
cydweithrediadau	k ɨː d w e i̯ θ r ɛ d j a d a
cydweithredu	k ɨː d w e i̯ θ r ɛ d ɨ
cydweithredwr	k ɨː d w e i̯ θ r ɛ d ʊ r
cydweithredwyr	k ɨː d w e i̯ θ r ɛ d w ɨ̞ r
cydweithwyr	k ɨː d w e i̯ θ w ɨ̞ r
cydweithwyr	k ɨ̞ d w e i̯ θ w ɨ̞ r
cydwelediad	k ɨ̞ d w ɛ l ɛ d j a d
cydymdeimlad	k ɨː d ə m d e i̯ m l a d
cyfaill	k ə v a i̯ ɬ
cyfair	k ə v a i̯ r
cyfair	k ə v ɛ r
cyfair	k ə v ɛ r
cyfamod	k ə v a m ɔ d
cyfamodi	k ə v a m ɔ d i
cyfamser	k ə v a m s ɛ r
cyfamser	k ə v a m s a r
cyfamser	k ə v a m s a r
cyfan	k ə v a n
cyfan	k ə v a
cyfan	k ə v a
cyfandir	k ə v a n d ɪ r
cyfanswm	k ə v a n s ʊ m
cyfansymiau	k ə v a n s ə m j a ɨ̯
cyfansymiau	k ə v a n s ə m j ɛ
cyfansymiau	k ə v a n s ə m j a
cyfansymiau	k ə v a n s ə m j ɛ
cyfansymiau	k ə v a n s ə m j a
cyfarch	k ə v a r χ
cyfarchol	k ə v a r χ ɔ l
cyfaredd	k ə v a r ɛ ð
cyfareddol	k ə v a r ɛ ð ɔ l
cyfarfod	k ə v a r v ɔ d
cyfarfod	k w a r v ɔ d
cyfarfod	k w a r v ɔ d
cyfartal	k ə v a r t a l
cyfartaledd	k ə v a r t a l ɛ ð
cyfartalog	k ə v a r t a l ɔ ɡ
cyfarthiad	k ə v a r θ j a d
cyfarthiadau	k ə v a r θ j a d a ɨ̯
cyfarthiadau	k ə v a r θ j a d ɛ
cyfarthiadau	k ə v a r θ j a d a
cyfarthiadau	k ə v a r θ j a d ɛ
cyfarthiadau	k ə v a r θ j a d a
cyfarwydd	k ə v a r w ɨ̞ ð
cyfarwyddo	k ə v a r w ɨ ð ɔ
cyfarwyddwr	k ə v a r ʊ ɨ̯ ð ʊ r
cyfarwys	k ə v a r ʊ ɨ̯ s
cyfateb	k ə v a t ɛ b
cyfateb	k ə v a t a b
cyfateb	k ə v a t a b
cyfatebiaeth	k ə v a t ɛ b j a ɨ̯ θ
cyfatebiaeth	k ə v a t ɛ b j ɛ θ
cyfatebiaeth	k ə v a t ɛ b j ɛ θ
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ a ɨ̯
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ ɛ
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ a
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ ɛ
cyfatebiaethau	k ə v a t ɛ b j e ɨ̯ θ a
cyfatebol	k ə v a t ɛ b ɔ l
cyfathrach	k ə v a θ r a χ
cyfddydd	k ə v ð ɨ̞ ð
cyfeillgar	k ə v e i̯ ɬ ɡ a r
cyfeillion	k ə v e i̯ ɬ j ɔ n
cyfeiriau	k ə v e i̯ r j a ɨ̯
cyfeiriau	k ə v e i̯ r j ɛ
cyfeiriau	k ə v e i̯ r j a
cyfeiriau	k ə v e i̯ r j ɛ
cyfeiriau	k ə v e i̯ r j a
cyfeirio	k ə v e i̯ r j ɔ
cyfeirnod	k ə v e i̯ r n ɔ d
cyfeirnodau	k ə v e i̯ r n ɔ d a ɨ̯
cyfeirnodau	k ə v e i̯ r n ɔ d ɛ
cyfeirnodau	k ə v e i̯ r n ɔ d a
cyfeirnodau	k ə v e i̯ r n ɔ d ɛ
cyfeirnodau	k ə v e i̯ r n ɔ d a
cyfenw	k ə v ɛ n u
cyfer	k ə v ɛ r
cyfernod	k ə v ɛ r n ɔ d
cyfiawn	k ə v j a u̯ n
cyfiawnder	k ə v j a u̯ n d ɛ r
cyfiawnder	k ə v j a u̯ n d a r
cyfiawnder	k ə v j a u̯ n d a r
cyfiawnhad	k ə v j a u̯ n h aː d
cyfiawnhau	k ə v j a u̯ n h a ɨ̯
cyfieithu	k ə v j e i̯ θ ɨ
cyfieithydd	k ə v j e i̯ θ ɨ̞ ð
cyflafar	k ə v l a v a r
cyflafaredd	k ə v l a v a r ɛ ð
cyflafareddiad	k ə v l a v a r ɛ ð j a d
cyflafareddu	k ə v l a v a r ɛ ð ɨ
cyflafareddwr	k ə v l a v a r ɛ ð ʊ r
cyflawni	k ə v l a u̯ n i
cyfle	k ə v l ɛ
cyfle	k ə v l a
cyfle	k ə v l a
cyflogaeth	k ə v l ɔ ɡ a ɨ̯ θ
cyflogaeth	k ə v l ɔ ɡ ɛ θ
cyflogaeth	k ə v l ɔ ɡ ɛ θ
cyflogi	k ə v l ɔ ɡ i
cyflogwr	k ə v l ɔ ɡ ʊ r
cyflogwyr	k ə v l ɔ ɡ w ɨ̞ r
cyflwr	k ə v l ʊ r
cyflwyno	k ə v l ʊ ɨ̯ n ɔ
cyflym	k ə v l ɨ̞ m
cyflymach	k ə v l ə m a χ
cyflymaf	k ə v l ə m a v
cyflymder	k ə v l ə m d ɛ r
cyfnewid	k ə v n ɛ u̯ ɪ d
cyfnither	k ə v n ɪ θ ɛ r
cyfnither	k ə v n ɪ θ a r
cyfnither	k ə v n ɪ θ a r
cyfnod	k ə v n ɔ d
cyfnodol	k ə v n ɔ d ɔ l
cyfnodolion	k ə v n ɔ d ɔ l j ɔ n
cyfnodolyn	k ə v n ɔ d ɔ l ɨ̞ n
cyfnos	k ə v n ɔ s
cyfodi	k ə v ɔ d i
cyfoethog	k ə v ɔ ɨ̯ θ ɔ ɡ
cyfraddau	k ə v r a ð a ɨ̯
cyfraddau	k ə v r a ð ɛ
cyfraddau	k ə v r a ð a
cyfraddau	k ə v r a ð ɛ
cyfraddau	k ə v r a ð a
cyfraith	k ə v r a i̯ θ
cyfraith	k ə v r ɛ θ
cyfraith	k ə v r ɛ θ
cyfranddeiliad	k ə v r a n ð e i̯ l j a d
cyfranddeiliaid	k ə v r a n ð e i̯ l j a i̯ d
cyfranddeiliaid	k ə v r a n ð e i̯ l j ɛ d
cyfranddeiliaid	k ə v r a n ð e i̯ l j ɛ d
cyfrannog	k ə v r a n ɔ ɡ
cyfreithiol	k ə v r e i̯ θ j ɔ l
cyfreithiwr	k ə v r e i̯ θ j ʊ r
cyfreithlon	k ə v r e i̯ θ l ɔ n
cyfres	k ə v r ɛ s
cyfrif	k ə v r ɪ
cyfrifeg	k ə v r ɪ v ɛ ɡ
cyfrifiad	k ə v r ɪ v j a d
