abo	a b ɔ
porno	p ɔ ʀ n ɔ
porst	p ɔ ʀ s t
pos	p ɔ s
powětr	p ɔ w ɪ t ʀ
Pólska	p ʊ l s k a
pólski	p ʊ l s k i
pólšćina	p ʊ l ʃ t͡ʃ i n a
pólšćinje	p ʊ l ʃ t͡ʃ i j ɲ ɛ
pólšćinu	p ʊ l ʃ t͡ʃ i n u
pólšica	p ʊ l ʃ i t͡s a
póndźela	p ʊ n d͡ʒ ɛ l a
póst	p ʊ s t
prezident	p ʀ ɛ z i d ɛ n t
prěni	p ʀ ɪ n i
proch	p ʀ ɔ x
pronomen	p ʀ ɔ n ɔ m ɛ n
propeler	p ʀ ɔ p ɛ l ɛ ʀ
proso	p ʀ ɔ s ɔ
próca	p ʀ ʊ t͡s a
prócny	p ʀ ʊ t͡s n ɨ
prócowanje	p ʀ ʊ t͡s ɔ w a n j ɛ
próh	p ʀ ʊ
pruha	p ʀ u ɦ a
prut	p ʀ u t
pruze	p ʀ u z ɛ
přećel	p ʃ ɛ t͡ʃ ɛ l
přećela	p ʃ ɛ t͡ʃ ɛ l a
přećelach	p ʃ ɛ t͡ʃ ɛ l a x
přećelam	p ʃ ɛ t͡ʃ ɛ l a m
přećelej	p ʃ ɛ t͡ʃ ɛ l ɛ j
přećelemi	p ʃ ɛ t͡ʃ ɛ l ɛ m i
přećeljo	p ʃ ɛ t͡ʃ ɛ l j ɔ
přećelom	p ʃ ɛ t͡ʃ ɛ l ɔ m
přećelow	p ʃ ɛ t͡ʃ ɛ l ɔ w
přećelu	p ʃ ɛ t͡ʃ ɛ l u
přećiwo	p ʃ ɛ j t͡ʃ i w ɔ
přestrěć	p ʃ ɛ s t ʀ ɪ t͡ʃ
přez	p ʃ ɛ s
při	p ʃ i
psa	p s a
psyk	p s ɨ k
pšeńca	p ʃ ɛ j n t͡s a
pšeńcach	p ʃ ɛ j n t͡s a x
pšeńcam	p ʃ ɛ j n t͡s a m
pšeńcami	p ʃ ɛ j n t͡s a m i
pšeńcomaj	p ʃ ɛ j n t͡s ɔ m a j
pšeńcow	p ʃ ɛ j n t͡s ɔ w
pšeńcu	p ʃ ɛ j n t͡s u
pšeńcy	p ʃ ɛ j n t͡s ɨ
pšeńčna	p ʃ ɛ j n t͡ʃ n a
pšeńčnaj	p ʃ ɛ j n t͡ʃ n a j
pšeńčne	p ʃ ɛ j n t͡ʃ n ɛ
pšeńčneho	p ʃ ɛ j n t͡ʃ n ɛ ɦ ɔ
pšeńčnej	p ʃ ɛ j n t͡ʃ n ɛ j
pšeńčneje	p ʃ ɛ j n t͡ʃ n ɛ j ɛ
pšeńčneju	p ʃ ɛ j n t͡ʃ n ɛ j u
pšeńčnemu	p ʃ ɛ j n t͡ʃ n ɛ m u
pšeńčni	p ʃ ɛ j n t͡ʃ n i
pšeńčnoh	p ʃ ɛ j n t͡ʃ n ɔ
pšeńčnom	p ʃ ɛ j n t͡ʃ n ɔ m
pšeńčnu	p ʃ ɛ j n t͡ʃ n u
pšeńčny	p ʃ ɛ j n t͡ʃ n ɨ
pšeńčnych	p ʃ ɛ j n t͡ʃ n ɨ x
pšeńčnym	p ʃ ɛ j n t͡ʃ n ɨ m
pšeńčnymaj	p ʃ ɛ j n t͡ʃ n ɨ m a j
pšeńčnymi	p ʃ ɛ j n t͡ʃ n ɨ m i
ptak	p t a k
puć	p u t͡ʃ
pućowanje	p u t͡ʃ ɔ w a n j ɛ
pušćić	p u ʃ t͡ʃ i t͡ʃ
radło	ʀ a d w ɔ
radnica	ʀ a d n i t͡s a
rak	ʀ a k
ramjenja	ʀ a m j ɛ n j a
ramjenjom	ʀ a m j ɛ n j ɔ m
ramjenju	ʀ a m j ɛ n j u
ramjo	ʀ a j mʲ ɔ
ranje	ʀ a j ɲ ɛ
registrowanje	ʀ ɛ ɡ i s t ʀ ɔ w a j ɲ ɛ
rěč	ʀʲ ɪ j t͡ʃ
rěka	ʀʲ ɪ k a
rjebło	ʀ j ɛ b w ɔ
rjemjeń	ʀ j ɛ m j ɛ j n
rokot	ʀ ɔ k ɔ t
ropot	ʀ ɔ p ɔ t
rosa	ʀ ɔ s a
row	ʀ ɔ w
rozsoł	ʀ ɔ s s ɔ w
rozumić	ʀ ɔ z u m i t͡ʃ
róh	ʀ ʊ
rubać	ʀ u b a j t͡ʃ
rubał	ʀ u b a w
rubanje	ʀ u b a j ɲ ɛ
ruce	ʀ u t͡s ɛ
ruda	ʀ u d a
ruka	ʀ u k a
rukach	ʀ u k a x
rukam	ʀ u k a m
ruki	ʀ u k i
rukomaj	ʀ u k ɔ m a j
rukow	ʀ u k ɔ w
ruku	ʀ u k u
runy	ʀ u n ɨ
ruski	ʀ u s k i
ryby	ʀ ɨ b ɨ
ryć	ʀ ɨ t͡ʃ
ř	ʃ
sadźić	s a d͡ʒ i t͡ʃ
sanc	s a n t͡s
sanskrit	s a n s k ʀ i t
sće	s t͡ʃ ɛ
sćěna	s t͡ʃ ɪ n a
sedmy	s ɛ d m ɨ
serbski	s ɛ ʀ p s k i
serbstwo	s ɛ ʀ p s t w ɔ
serp	s ɛ ʀ p
sfirnisować	s f i ʀ ɲ i s ɔ w a j t͡ʃ
skora	s k ɔ ʀ a
skróń	s k ʀ ʊ j n
słabosć	s w a b ɔ s t͡ʃ
sława	s w a w a
słon	s w ɔ n
Słowjan	s w ɔ ɥ a n
słowo	s w ɔ w ɔ
słónco	s w ʊ n t͡s ɔ
slepy	s l ɛ p ɨ
slěborny	s l ɪ b ɔ ʀ n ɨ
slowka	s l ɔ w k a
směch	s m ɪ x
směw	s mʲ ɪ w
smjeć	s m j ɛ t͡ʃ
smjerć	s mʲ ɛ ʀ t͡ʃ
smoła	s m ɔ w a
smorkać	s m ɔ ʀ k a t͡ʃ
smój	s m ʊ j
smuha	s m u ɦ a
smy	s m ɨ
sněh	s n ɪ
sobota	s ɔ b ɔ t a
soja	s ɔ j a
sokoł	s ɔ k ɔ w
sołobik	s ɔ w ɔ b i k
sorna	s ɔ ʀ n a
sotra	s ɔ t ʀ a
sowa	s ɔ w a
spliška	s p l i j ʃ k a
spočatnje	s p ɔ j t͡ʃ a t ɲ ɛ
srjeda	s ʀʲ ɛ d a
sroka	s ʀ ɔ k a
staj	s t a j
starc	s t a ʀ t͡s
stary	s t a ʀ ɨ
stej	s t ɛ j
sto	s t ɔ
strašny	s t ʀ a ʃ n ɨ
strona	s t ʀ ɔ n a
strowy	s t ʀ ɔ w ɨ
su	s u
suchi	s u x i
sunyć	s u n ɨ j t͡ʃ
swěčka	s w ɪ t͡ʃ k a
swěčnik	s w ɪ t͡ʃ n i k
swětło	s w ɪ t w ɔ
swětły	s w ɪ t w ɨ
swój	s w ʊ j
sy	s ɨ
syc	s ɨ t͡s
syć	s ɨ t͡ʃ
sydom	s ɨ d ɔ m
sydomnaće	s ɨ d ɔ m n a t͡ʃ ɛ
sykora	s ɨ k ɔ ʀ a
sykorka	s ɨ k ɔ ʀ k a
sylza	s ɨ l z a
sym	s ɨ m
symjo	s ɨ m j ɔ
synagoga	s ɨ n a ɡ ɔ ɡ a
syno	s ɨ n ɔ
syrota	s ɨ ʀ ɔ t a
syry	s ɨ ʀ ɨ
šach	ʃ a x
šćehel	ʃ t͡ʃ ɛ ɦ ɛ l
šćenjo	ʃ t͡ʃ ɛ n j ɔ
šćihlica	ʃ t͡ʃ i ɦ l i t͡s a
šćuka	ʃ t͡ʃ u k a
šesty	ʃ ɛ s t ɨ
šěsć	ʃ ɪ s t͡ʃ
šěsnaće	ʃ ɪ s n a t͡ʃ ɛ
šić	ʃ i t͡ʃ
škowrončk	ʃ k ɔ w ʀ ɔ n t͡ʃ k
škra	ʃ k ʀ a
škrěkawa	ʃ k ʀ ɪ k a w a
šleski	ʃ l ɛ s k i
šlink	ʃ l i n k
Šołćic	ʃ ɔ w t͡ʃ i t͡s
šow	ʃ ɔ w
španiski	ʃ p a n i s k i
što	ʃ t ɔ
štom	ʃ t ɔ m
štó	ʃ t ʊ
štwórtk	ʃ t w ʊ ʀ t k
štwórty	ʃ t w ʊ ʀ t ɨ
štyrceći	ʃ t ɨ ʀ t͡s ɛ t͡ʃ i
štyri	ʃ t ɨ ʀ i
štyrjo	ʃ t ɨ ʀ j ɔ
štyrnaće	ʃ t ɨ ʀ n a t͡ʃ ɛ
Tadźikistan	t a j d͡ʒ i k i s t a n
tajić	t a j i t͡ʃ
tajki	t a j k i
tam	t a m
terapija	t ɛ ʀ a p i j a
tcha	t x a
tkać	t k a t͡ʃ
tołmač	t ɔ w m a t͡ʃ
toporo	t ɔ p ɔ ʀ ɔ
tón	t ʊ n
truk	t ʀ u k
třeći	t ʃ ɛ t͡ʃ i
třěcha	t͡ʃ ɪ x a
tři	t ʃ i
třiceći	t ʃ i t͡s ɛ t͡ʃ i
třinaće	t ʃ i n a t͡ʃ ɛ
třmjeń	t ʃ m j ɛ j n
třo	t ʃ ɔ
twjerdy	t ɥ ɛ ʀ d ɨ
twój	t w ʊ j
tydźeń	t ɨ d͡ʒ ɛ j n
tykač	t ɨ k a j t͡ʃ
tykać	t ɨ k a t͡ʃ
Waršawa	w a ʀ ʃ a w a
wčera	t͡ʃ ɛ ʀ a
wej	w ɛ j
wěc	w ɪ t͡s
wěčnosć	wʲ ɪ j t͡ʃ n ɔ s t͡ʃ
wědźacy	w ɪ d͡ʒ a t͡s ɨ
wědźał	wʲ ɪ j d͡ʒ a w
wědźany	wʲ ɪ j d͡ʒ a n ɨ
wědźeć	w ɪ d͡ʒ ɛ t͡ʃ
wědźenje	w ɪ d͡ʒ ɛ n j ɛ
wěnc	w ɪ n t͡s
wětr	w ɪ t ʀ
wětřik	w ɪ t ʃ i k
wichor	w i x ɔ ʀ
Wikisłownik	w i k i s w ɔ w n i k
wina	w i n a
wisać	w i s a t͡ʃ
wjapř	ɥ a p ʃ
wječor	ɥ ɛ t͡ʃ ɔ ʀ
wjechelca	ɥ ɛ x ɛ l t͡s a
wjelčica	ɥ ɛ l t͡ʃ i t͡s a
wjelk	ɥ ɛ l k
wjerjebina	wʲ ɛ j ʀʲ ɛ j bʲ i n a
wjes	ɥ ɛ s
wjewjerčka	wʲ ɛ j wʲ ɛ ʀ t͡ʃ k a
włoha	w w ɔ ɦ a
włosy	w ɔ s ɨ
włós	w ʊ s
włóžnić	v w ʊ ʒ n i t͡ʃ
włóžnjenje	w ʊ j ʒ ɲ ɛ j ɲ ɛ
wobjed	w ɔ b j ɛ t
wobjězd	w ɔ j bʲ ɪ s t
wobjězd	w ɔ j bʲ ɛ s t
wobora	w ɔ b ɔ ʀ a
wobraz	w ɔ b ʀ a s
wobruč	w ɔ b ʀ u t͡ʃ
wobswět	w ɔ p s w ɪ t
woda	w ɔ d a
wodźiwjeć	v ɔ d͡ʒ i ɥ ɛ t͡ʃ
woheń	w ɔ h ɛ j n
wojak	w ɔ j a k
wojakować	w ɔ j a k ɔ w a t͡ʃ
wojakowka	w ɔ j a k ɔ w k a
woječk	w ɔ j ɛ t͡ʃ k
wokatiw	w ɔ k a t i w
wokno	w ɔ k n ɔ
woko	w ɔ k ɔ
woł	w ɔ w
wołma	w ɔ w m a
wołoj	w ɔ w ɔ j
woman	w ɔ m a n
wopuška	w ɔ p u ʃ k a
worjech	w ɔ ʀ j ɛ x
worješk	w ɔ ʀ j ɛ ʃ k
wosmy	w ɔ s m ɨ
wosom	w ɔ s ɔ m
wotawa	w ɔ t a w a
wotbić	w ɔ d bʲ i j t͡ʃ
wowca	w ɔ w t͡s a
Wowčer	w ɔ w t͡ʃ ɛ ʀ
wowka	w ɔ w k a
woznam	w ɔ z n a m
wólša	w ʊ l ʃ a
wósk	w ʊ s k
wósom	w ʊ s ɔ m
wósomnaće	w ʊ s ɔ m n a t͡ʃ ɛ
wótc	w ʊ t t͡s
wrjós	w ʀ j ʊ s
wrobl	ʀ ɔ b l
wroblik	ʀ ɔ b l i k
wrota	w ʀ ɔ t a
wróna	w ʀ ʊ n a
wučić	w u t͡ʃ i t͡ʃ
wudowa	w u d ɔ w a
wudra	w u d ʀ a
wuhor	w u h ɔ ʀ
wucho	w u x ɔ
wukrajnik	w u k ʀ a j ɲ i k
wulki	w u l k i
wuměć	w u m ɪ t͡ʃ
wumjo	w u j mʲ ɔ
wutora	w u t ɔ ʀ a
wutroba	w u t ʀ ɔ b a
wuž	w u ʃ
wysoki	w ɨ s ɔ k i
wyši	w ɨ ʃ i
wyz	w ɨ s
z	z ɛ t
z	z
z	z
zabawny	z a b a w n ɨ
zaběrać	z a j bʲ ɪ ʀ a j t͡ʃ
zaběrać	z a j bʲ ɛ ʀ a j t͡ʃ
zahroda	z a ʀ ɔ d a
zahrodny	z a ʀ ɔ d n ɨ
zajac	z a j a t͡s
zasmjeć	z a s m j ɛ t͡ʃ
zatrašnje	z a t ʀ a ʃ n j ɛ
zažny	z a ʒ n ɨ
zdźer	z d͡ʒ ɛ ʀ
zechcyć	z ɛ x t͡s ɨ j t͡ʃ
zelenk	z ɛ l ɛ n k
zelenka	z ɛ l ɛ n k a
zeleny	z ɛ l ɛ n ɨ
zemi	z ɛ m i
zemja	z ɛ m j a
zemjach	z ɛ m j a x
zemje	z ɛ m j ɛ
zemjemi	z ɛ m j ɛ m i
zemjow	z ɛ m j ɔ w
zemju	z ɛ m j u
Zhorjelc	z ɔ ʀ j ɛ l t͡s
zignorować	z i ɡ n ɔ ʀ ɔ w a j t͡ʃ
zignorowawši	z i ɡ n ɔ ʀ ɔ w a w ʃ i
zignorujemoj	z i ɡ n ɔ ʀ u j ɛ m ɔ j
zignoruju	z i ɡ n ɔ ʀ u j u
złamać	z w a m a t͡ʃ
złoto	z w ɔ t ɔ
zły	z w ɨ
znać	z n a t͡ʃ
zrozumić	z ʀ ɔ z u m i t͡ʃ
zubr	z u b ʀ
zwěrina	z w ɪ ʀ i n a
zwěrjo	z wʲ ɪ j ʀʲ ɔ
zwěsćić	z wʲ ɪ s t͡ʃ i j t͡ʃ
zyba	z ɨ b a
zyma	z ɨ m a
žaba	ʒ a b a
žałza	ʒ a w z a
žałzy	ʒ a w z ɨ
železo	ʒ ɛ l ɛ z ɔ
želwja	ʒ ɛ l ɥ a
žerchej	ʒ ɛ ʀ x ɛ j
žet	ʒ ɛ t
žiła	ʒ i w a
žimać	ʒ i m a t͡ʃ
žiwoch	ʒ i w ɔ x
žiwy	ʒ i w ɨ
žołč	ʒ ɔ w t͡ʃ
žołdk	ʒ ɔ w t k
žołdź	ʒ ɔ w t͡ʃ
žołtk	ʒ ɔ w t k
žołty	ʒ ɔ w t ɨ
žołwja	ʒ ɔ w ɥ a
žona	ʒ ɔ n a
žortować	ʒ ɔ ʀ t ɔ w a t͡ʃ
žórło	ʒ ʊ ʀ w ɔ
žubr	ʒ u b ʀ
župa	ʒ u p a
župan	ʒ u p a n
