ং	ŋ
ওয়াশিংটন	o̯ a ʃ i ŋ ʈ ɔ n
ওয়াস্তা	o̯ a s t̪ aˑ
ওয়াহেগুরু	o̯ a h e ɡ u ɹ uˑ
ওয়াহেগুরু	o̯ a h e ɡ u ɾ uˑ
ওরফে	o ɾ o f eˑ
ওরফে	o ɾ o pʰ eˑ
ওল	o l
ওল	oː l
ওলদ	o l o d̪
ওলন্দাজ	o l o n d̪ a d ʑ
ওলন্দাজ	o l o n d̪ a d͡ʒ
ওলানচাষী	o l a n t ɕ a ʃ iˑ
ওলানচাষী	o l a n t͡ʃ a ʃ iˑ
ওলি	o l iˑ
ওশেনিয়া	o ʃ e n i̯ aˑ
ওষুধ	o ʃ u d̪
ওষুধ	o ʃ u d̪ʱ
ওষ্ঠ্য	o s tʰː oˑ
ওষ্ঠ্য	o ʂ ʈʰː oˑ
ওষ্ঠ্য	o ʃ tʰː oˑ
ওসমান	o s m a n
ওস্তাদ	o s t̪ a d̪
ওহাইও	o h a i̯ oˑ
ঔঁ	o m
ঔঁ	o u̯ m
ঔঁ	o ũ m
ঔঁ	oː m
ঔঁ	õ m
ঔষধ	o u̯ ʃ ɔ d̪
ক	k ɔː
ক	k ɔˑ
কই	k o i̯
কওয়া	k ɔ o̯ aˑ
কক্সবাজার	k ɔ k s b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e s b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e z b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e z b a z a ɾ
কক্সবাজার	k ɔ ɡ z b a d͡ʒ a ɾ
কক্সবাজার	k ɔ ɡ z b a z a ɾ
কখন	k ɔ kʰ ɔ n
কখন	k ɔ x ɔ n
কখন	x ɔ x ɔ n
কখনো	k ɔ kʰ o n oˑ
কঙ্কাল	k ɔ ŋ k a l
কচু	k ɔ t ɕ uˑ
কচু	k ɔ t͡ʃ uˑ
কচুয়া	k ɔ t ɕ u̯ aˑ
কচুয়া	k ɔ t͡ʃ u̯ aˑ
কটা	k ɔ ʈ a
কঠিন	k ɔ tʰ i n
কঠিন	k ɔ ʈʰ i n
কঠোর	k ɔ t̪ʰ a ɹ
কঠোর	k ɔ t̪ʰ a ɾ
কড়াই	k ɔ ɽ̟ a i̯
কণা	k ɔ n aˑ
কণ্ঠ্য	k ɔ n tʰː oˑ
কণ্ঠ্য	k ɔ ɳ ʈʰː oˑ
কথন	k ɔ t̪ʰ ɔ n
কথা	k ɔ t̪ʰ aˑ
কথাবার্তা	k ɔ t̪ʰ a b a ɹ t̪ aˑ
কথাবার্তা	k ɔ t̪ʰ a b a ɾ t̪ aˑ
কথ্য	k o t̪ʰː oˑ
কদবেল	k ɔ d̪ b e l
কদর	k ɔ d̪ o ɹ
কদর	k ɔ d̪ o ɾ
কদাচিৎ	k ɔ d̪ a t ɕ i t̪
কদাচিৎ	k ɔ d̪ a t͡ʃ i t̪
কনক	k ɔ n o k
কনুই	k o n u̯ iˑ
কপাল	k ɔ p a l
কপি	k o p iˑ
কপিত্থ	k o p i t̪ʰː oˑ
কফ	k ɔ f
কফ	k ɔ ɸ
কফ	k ɔː f
কফ	x ɔ ɸ
কফি	k ɔ f iˑ
কবর	k ɔ b o ɹ
কবর	k ɔ b o ɾ
কবর	q ɔ b o ɹ
কবর	q ɔ b o ɾ
কবি	k o b iˑ
কবিতা	k o b i t̪ aˑ
কবুল	k o b u l
কবে	k ɔ b eˑ
কম	k ɔ m
কম	k ɔː m
কমলা	k ɔ m l aˑ
কমলা	k ɔ m o l aˑ
কমা	k ɔ m a
কমানো	k ɔ m a n o
কম্পিউটার	k ɔ m p i u̯ t a ɹ
কম্পিউটার	k ɔ m p i u̯ ʈ a ɾ
কম্পিউটিং	k ɔ m p i u̯ t i ŋ
কম্পিউটিং	k ɔ m p i u̯ ʈ i ŋ
কম্বল	k ɔ m b o l
কয়থ	k ɔ e̯ o t̪
কয়লা	k ɔ e̯ l aˑ
কয়লাখনি	k ɔ e̯ l a kʰ o n iˑ
কয়েক	k ɔ e k
কয়েতবেল	k ɔ e̯ e t̪ b e l
কয়েথ	k ɔ e t̪
কয়েদ	k ɔ e d̪
করানো	k ɔ r a n o
করিম	k o ɹ i m
করিম	k o ɾ i m
করে	k o ɹ eˑ
করে	k o ɾ eˑ
করোনা	k ɔ ɹ o n aˑ
করোনা	k ɔ ɾ o n aˑ
করোনাভাইরাস	k ɔ ɹ o n a bʱ a i̯ ɹ a s
করোনাভাইরাস	k ɔ ɹ o n a v a i̯ ɹ a s
করোনাভাইরাস	k ɔ ɾ o n a bʱ a i̯ ɾ a s
করোনাভাইরাস	k ɔ ɾ o n a v a i̯ ɾ a s
কর্কট	k ɔ ɹ k ɔ t
কর্কট	k ɔ ɾ k ɔ t
কর্কট	k ɔ ɾ k ɔ ʈ
কর্কট	x ɔ ɹ x ɔ t
কর্ণ	k ɔ ɹ n oˑ
কর্ণ	k ɔ ɾ n oˑ
কর্ণপাত	k ɔ ɹ n o p a t̪
কর্ণপাত	k ɔ ɾ n o p a t̪
কর্ণাটক	k ɔ ɹ n a t ɔ k
কর্ণাটক	k ɔ ɾ n a ʈ ɔ k
কর্তৃত্ব	k o ɹ t̪ː ɹ i t̪ː oˑ
কর্তৃত্ব	k o ɾ t̪ː ɾ i t̪ː oˑ
কর্পূর	k ɔ ɹ p u ɹ
কর্পূর	k ɔ ɾ p u ɾ
কর্ম	k ɔ ɹ m oˑ
কর্ম	k ɔ ɾ m oˑ
কর্মকর্তা	k ɔ ɹ m ɔ k ɔ ɹ t̪ aˑ
কর্মকর্তা	k ɔ ɾ m ɔ k ɔ ɾ t̪ aˑ
কলকাতা	k o l k a t̪ aˑ
কলম	k ɔ l o m
কলহ	k ɔ l o h oˑ
কলা	k ɔ l äˑ
কলিকাতা	k o l i k a t̪ aˑ
কলিজা	k o l i d ʑ aˑ
কলিজা	k o l i d͡ʒ aˑ
কলেজ	k ɔ l e d ʑ
কলেজ	k ɔ l e d͡ʒ
কষ্ট	k ɔ s t oˑ
কষ্ট	k ɔ ʂ ʈ oˑ
কষ্ট	k ɔ ʃ t oˑ
কসম	k ɔ s o m
কসম	q ɔ s o m
কস্তুর	k o s t̪ u ɹ
কস্তুর	k o s t̪ u ɾ
কস্তুরী	k o s t̪ u ɹ iˑ
কস্তুরী	k o s t̪ u ɾ iˑ
কাঁকই	k ã k o i
কাঁকড়া	k a k ɹ aˑ
কাঁকড়া	k ã k ɽ aˑ
কাঁকড়া	k ã k ɾ aˑ
কাঁকন	k a k ɔ n
কাঁকন	k ã k ɔ n
কাঁকন	x a x ɔ n
কাঁকাল	k a k a l
কাঁকাল	k ã k a l
কাঁচা	k a t ɕ aˑ
কাঁচা	k ã t͡ʃ aˑ
কাঁচি	k a t ɕ iˑ
কাঁচি	k ã t͡ʃ iˑ
কাঁঠাল	k a tʰ a l
কাঁঠাল	k ã ʈʰ a l
কাঁড়	k a ɹ
কাঁড়	k a ɾ
কাঁড়	k ã ɽ
কাঁড়	k ã ɾ
কাঁড়	x a ɹ
কাঁদা	k a d̪ aˑ
কাঁদা	k ã d̪ aˑ
কাঁধ	k ã d̪ʱ
কাঁপা	k ã p aˑ
কাউন	k a u̯ n
কাউয়া	k a u̯ aˑ
কাউর	k a u̯ ɹ
কাউর	k a u̯ ɾ
কাকতালীয়	k a k o t̪ a l i̯ oˑ
কাকতালীয়	k a k t̪ a l i̯ oˑ
কাকাতুয়া	k a k a t̪ u̯ aˑ
কাগজ	k a ɡ o d ʑ
কাগজ	k a ɡ o d̪ z
কাগজ	k a ɡ o d͡ʒ
কাগজ	k a ɡ o z
কাগজ	k a ɣ o z
কাগজ	x a ɡ o z
কাগজ	x a ɣ o z
কাচ	k a t ɕ
কাচ	k a t͡ʃ
কাচ	k ã t͡ʃ
কাচা	k a t ɕ aˑ
কাচা	k a t͡ʃ aˑ
কাছ	k a t ɕ
কাছ	k a t͡ʃ
কাছা	k a t ɕʰ aˑ
কাছা	k a t͡ʃʰ aˑ
কাছে	k a t ɕʰ eˑ
কাছে	k a t͡ʃʰ eˑ
কাজ	k a d ʑ
কাজ	k a d͡ʒ
কাজাখস্তান	k a z a kʰ s t̪ a n
কাজী	k a d ʑ iˑ
কাজী	k a d͡ʒ iˑ
কাটা	k a t aˑ
কাটা	k a ʈ aˑ
কাঠ	k a tʰ
কাঠ	k a ʈ
কাঠ	k aː ʈ
কাঠি	k a ʈ̟ʰ i
কাঠিপোকা	k ä ʈ̟ʰ i p o k äˑ
কাড়া	k a ɹ aˑ
কাড়া	k a ɽ aˑ
কাড়া	k a ɾ aˑ
কাণ্ড	k a n d oˑ
কাণ্ড	k a ɳ ɖ oˑ
কাতার	k a t̪ a ɹ
কাতার	k a t̪ a ɾ
কাথিয়াবাড়	k a t̪ʰ i a b a ɹ
কাথিয়াবাড়	k a t̪ʰ i a b a ɽ
কাথিয়াবাড়	k a t̪ʰ i a b a ɾ
কাদা	k a d̪ aˑ
কান	k a n
কান	k a n oˑ
কান	k aː n
কানন	k a n o n
কানুন	k a n u n
কানুনগো	k a n u n ɡ oˑ
কান্না	k a nː aˑ
কাপড়	k a p o ɹ
কাপড়	k a p o ɽ
কাপড়	k a p o ɾ
কাপাস	k a p a ʃ
কাফের	k a f e ɹ
কাফের	k a f e ɾ
কাফের	k a f i ɹ
কাফের	k a f i ɾ
কাফের	k æ f e ɾ
কাফের	k ɛ f e ɹ
কাফেলা	k a f e l aˑ
কাবাডি	k a b a d iˑ
কাবাডি	k a b a ɖ iˑ
কাবাড্ডি	k a b a dː iˑ
কাবাড্ডি	k a b a ɖː iˑ
কাবাব	k a b a b
কাবুল	k a b u l
কাব্বাডি	k a bː a d iˑ
কাব্বাডি	k a bː a ɖ iˑ
কাম	k a m
কাম	k aː m
কামড়	k a m o ɽ̟
কামড়ানো	k a m ɽ̟ a n o
কামরা	k a m ɹ aˑ
কামরা	k a m ɾ aˑ
কামস্থান	k ä m ɔ s̠ t̪ʰ äˑ n
কামানো	k a m a n oˑ
কামার	k a m a ɹ
কামার	k a m a ɾ
কামিজ	k a m i z
কামিয়াবি	k a m i̯ a b iˑ
কায়দা	k a e̯ ɔ d̪ aˑ
কায়েনাত	k a e̯ n a t̪
কায়েম	k a e̯ m
কার	k a ɹ
কার	k a ɾ
কার	k aː ɾ
কারওয়ান	k a ɹ o̯ a n
কারওয়ান	k a ɾ o̯ a n
কারণ	k a r o n
কার্ডিয়াক	k a ɹ d i̯ a k
কার্ডিয়াক	k a ɾ ɖ i̯ a k
কার্তিক	k a ɹ t̪ i k
কার্তিক	k a ɾ t̪ i k
কার্তুজ	k a ɹ t̪ u d ʑ
কার্তুজ	k a ɾ t̪ u d͡ʒ
কার্য	k a ɹ d ʑ oˑ
কার্য	k a ɾ d͡ʒ oˑ
কাল	k a l
কালি	k a l iˑ
কালীপ্রসন্ন	k a l i p ɹ o ʃ ɔ nː oˑ
কালীপ্রসন্ন	k a l i p ɾ o ʃ ɔ nː oˑ
কালো	k a l oˑ
কাশা	k a ʃ a
কাশি	k a ʃ i
কাহিনি	k a h i n iˑ
কাহিনী	k a h i n iˑ
কি	k iː
কি	k iˑ
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɹ t̪ ɔ bː o b i m u ɹ oˑ
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɾ t̪ ɔ bː o b i m u ɽ oˑ
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɾ t̪ ɔ bː o b i m u ɽʱ oˑ
কিংকর্তব্যবিমূঢ়	k i ŋ k ɔ ɾ t̪ ɔ bː o b i m u ɾ h oˑ
কিংখাব	k i ŋ kʰ a b
কিংবা	k i ŋ b aˑ
কিছু	k i t ɕʰ uˑ
কিছু	k i t͡ʃʰ uˑ
কিছুক্ষণ	k i t ɕʰ u kʰː ɔ n
কিছুক্ষণ	k i t͡ʃʰ u kʰː ɔ n
কিডনি	k i d n iˑ
কিডনি	k i ɖ n iˑ
কিতাব	k i t̪ a b
কিপটা	k i p t aˑ
কিপটা	k i p ʈ aˑ
কিরগিজস্তান	k i ɹ ɡ i s t̪ a n
কিরগিজস্তান	k i ɹ ɡ i s t̪ʰ a n
কিরগিজস্তান	k i ɹ ɡ i z s t̪ a n
কিরগিজস্তান	k i ɾ ɡ i s t̪ a n
কিরগিজস্তান	k i ɾ ɡ i s t̪ʰ a n
কিরগিজস্তান	k i ɾ ɡ i z s t̪ a n
কিরণ	k i ɹ o n
কিরণ	k i ɾ o n
কিরীট	k i ɹ i t
কিরীট	k i ɾ i ʈ
কিল	k i l
কিল	k iː l
কিশমিশ	k i s m i s
কিশমিশ	k i ʃ m i ʃ
কিশোর	k i ʃ o ɹ
কিশোর	k i ʃ o ɾ
কিসমত	k i s m o t̪
কিসিম	k i s i m
কিসিম	k i ʃ i m
কিস্তিমাত	k i s t̪ i m a t̪
কুঁকড়া	k u k ɹ aˑ
কুঁকড়া	k ũ k ɽ aˑ
কুঁকড়া	k ũ k ɾ aˑ
কুঁচ	k u t ɕ
কুঁচ	k ũ t͡ʃ
কুঁড়ে	k u ɹ eˑ
কুঁড়ে	k u ɾ ɛˑ
কুঁড়ে	k ũ ɽ eˑ
কুঁড়ে	k ũ ɾ eˑ
কুঁড়ে	x u ɹ ɛˑ
কুঁদা	k u d̪ aˑ
কুঁদা	k ũ d̪ aˑ
কুঁদা	x u d̪ aˑ
কুইবেক	k u̯ i b e k
কুউ	k u̯ uˑ
কুকুর	k u k u ɹ
কুকুর	k u k u ɾ
কুঠরি	k u tʰ o ɹ iˑ
কুঠরি	k u ʈʰ o ɾ iˑ
কুড়াল	k u ɹ a l
কুড়াল	k u ɽ a l
কুড়াল	k u ɾ a l
কুড়ালি	k u ɹ a l iˑ
কুড়ালি	k u ɽ a l iˑ
কুড়ালি	k u ɾ a l iˑ
কুড়ি	k u ɹ iˑ
কুড়ি	k u ɽ iˑ
কুড়ি	k u ɾ iˑ
কুড়িগ্রাম	k u ɹ i ɡ ɹ a m
কুড়িগ্রাম	k u ɽ i ɡ ɾ a m
কুড়িগ্রাম	k u ɾ i ɡ ɾ a m
কুড়ুল	k u ɹ u l
কুড়ুল	k u ɽ u l
কুড়ুল	k u ɾ u l
কুতুবখানা	k u t̪ u b kʰ a n aˑ
কুতুবখানা	x u t̪ u b x a n aˑ
কুত্তা	k u t̪ː aˑ
কুদেতা	k u d̪ e t̪ aˑ
কুবের	k u b e ɹ
কুবের	k u b e ɾ
কুমড়া	k u m ɹ aˑ
কুমড়া	k u m ɽ aˑ
কুমড়া	k u m ɾ aˑ
কুমড়ো	k u m ɹ oˑ
কুমড়ো	k u m ɽ oˑ
কুমড়ো	k u m ɾ oˑ
কুমার	k u m a ɹ
কুমার	k u m a ɾ
কুমারীত্ব	k u m a ɹ i t̪ː oˑ
কুমারীত্ব	k u m a ɾ i t̪ː oˑ
কুমির	k u m i ɹ
কুমির	k u m i ɾ
কুমীর	k u m i ɹ
কুমীর	k u m i ɾ
কুম্ভ	k u m bʱ oˑ
কুম্ভ	k u m v oˑ
কুম্ভীর	k u m bʱ i ɹ
কুম্ভীর	k u m bʱ i ɾ
কুম্ভীর	k u m v i ɹ
কুম্ভীর	k u m v i ɾ
কুম্ভীর	k u m β i ɾ
কুম্ভীর	x u m β i ɹ
কুয়াশা	k u̯ a ʃ aˑ
কুরআন	k u ɹ a n
কুরআন	k u ɾ a n
কুরসি	k u ɾ s i
কুলখানি	k u l kʰ a n iˑ
কুষ্টিয়া	k u ʂ ʈ i̯ aˑ
কুষ্ঠ	k u s tʰ oˑ
কুষ্ঠ	k u ʂ ʈʰ oˑ
কুষ্ঠ	k u ʃ tʰ oˑ
কুসুম	k u ʃ u m
কুস্তি	k u s t̪ iˑ
কুস্তুন্তুনিয়া	k u s t̪ u n t̪ u n i̯ aˑ
কৃত্রিম	k ɹ i t̪ː ɹ i m
কৃত্রিম	k ɾ i t̪ː ɾ i m
কৃষি	k ɹ i ʃ iˑ
কৃষি	k ɾ i ʃ iˑ
কৃষিকার্য	k ɹ i ʃ i k a ɹ d ʑ oˑ
কৃষিকার্য	k ɾ i ʃ i k a ɾ d͡ʒ oˑ
কৃষ্ণ	k ɾ i ʃ n oˑ
কৃষ্ণ	x ɾ i ʃ n oˑ
কে	k eː
কে	k eˑ
কেঁচি	k e t ɕ iˑ
কেঁচি	k ɛ t̪ s iˑ
কেঁচি	k ɛ̃ s iˑ
কেঁচি	k ẽ t͡ʃ iˑ
কেঁচি	x ɛ s iˑ
কেঁচি	x ɛ̃ s iˑ
কেঁচো	k e t ɕ oˑ
কেঁচো	k ẽ t͡ʃ oˑ
কেউ	k e oˑ
কেউ	k e uˑ
কেউ	k e ʊ
কেও	k e oˑ
কেও	k e ʊ
কেওড়া	k æ o̯ ɹ aˑ
কেওড়া	k æ o̯ ɽ aˑ
কেওড়া	k æ o̯ ɾ aˑ
কেক	k e k
কেক	k eː k
কেচ্ছা	k e t ɕʰː aˑ
কেচ্ছা	k e t͡ʃʰː aˑ
কেচ্ছা	k ɛ t̪ sː aˑ
কেচ্ছা	x ɛ sː aˑ
কেটলি	k e t l iˑ
কেটলি	k e ʈ l iˑ
কেতকী	k e t̪ o k iˑ
কেতা	k e t̪ aˑ
কেদারা	k e d̪ a ɾ aˑ
কেন	k æ n
কেন	k æ n oˑ
কেন	k æː n
কেন	k ɛ n
কেন	k ɛ n oˑ
কেন	k ɛː n
কেন	x ɛ n
কেন	x ɛ n oˑ
কেনা	k e n a
কেনানো	k e n a n o
কেনে	k e n e
কেন্দ্র	k e n d̪ː ɾ oˑ
কেবল	k e b ɔ l
কেবল	k ɛ b o l
কেবল	k ɛ b ɔ l
কেমন	k æ m o n
কেমন	k ɛ m o n
কেয়ামত	k e a m ɔ t̪
কেরল	k e ɹ ɔ l
কেরল	k e ɾ ɔ l
কেরামত	k e ɹ a m ɔ t̪
কেরামত	k e ɾ a m ɔ t̪
কেরামতি	k e ɹ a m o t̪ iˑ
কেরামতি	k e ɾ a m o t̪ iˑ
কেরালা	k e ɹ a l aˑ
কেরালা	k e ɾ a l aˑ
কেরোসিন	k e ɹ o ʃ i n
কেরোসিন	k e ɾ o ʃ i n
কেল্লা	k e lː aˑ
কেল্লাফতে	k e lː a f o t̪ eˑ
কেষ্ট	k e ʂ ʈ o
কেষ্টবিষ্টু	k e ʂ ʈ o b i ʂ ʈ uˑ
কৈ	k o i̯
কোকিল	k o k i l
কোটি	k o ʈ̟ iˑ
কোঠা	k o tʰ aˑ
কোঠা	k o ʈʰ aˑ
কোণ	k o n
কোণ	k oː n
কোত	k o t̪
কোথাও	k o t̪ʰ a o̯
কোথায়	k o t̪ʰ a e̯
কোদাল	k o d̪ äˑ l
কোদালি	k o d̪ a l iˑ
কোন	k o n
কোন	k oː n
কোনখানে	k o n kʰ a n eˑ
কোনা	k o n a
কোনো	k o n oˑ
কোমর	k o m o ɹ
কোমর	k o m o ɾ
কোলবালিশ	k o l b a l i ʃ
কোশ	k oː s̠
কোশেশ	k o ʃ e ʃ
কোষ	k o ʃ
কোষ	k oː ʃ
কোষ্টা	k o ʂ ʈ aˑ
কোহিনূর	k o h i n u ɹ
কোহিনূর	k o h i n u ɾ
কৌঁসুলি	k o u̯ ʃ u l iˑ
কৌঁসুলি	k o ũ ʃ u l iˑ
কৌমুদী	k o u̯ m u d̪ iˑ
কৌলিক	k o u̯ l iˑ k
কৌশল	k o u̯ ʃ ɔ l
কৌশল	x o u̯ ʃ ɔ l
ক্যা	k æː
ক্যা	k æˑ
ক্যা	k ɛː
ক্যা	k ɛˑ
ক্যাঁ	k ɛ̃ˑ
ক্যাঁ	x ɛ̃ˑ
ক্যাঁয়চি	k æ̃ e̯ s iˑ
ক্যাঁয়চি	k æ̃ e̯ t͡ʃ iˑ
ক্যাঁয়চি	k ɛ e̯ t ɕ iˑ
ক্যাঁয়চি	k ɛ e̯ t̪ s iˑ
ক্যাঁয়চি	x ɛ e̯ s iˑ
ক্যানোপাস	k æ n o p a ʃ
ক্যানোপাস	k ɛ n o p a ʃ
ক্যান্ডি	k æ ɳ ɖ iˑ
ক্যান্ডি	k ɛ n d iˑ
ক্যালগারি	k æ l ɡ a ɾ iˑ
ক্যালগারি	k ɛ l ɡ a ɹ iˑ
ক্যালিফর্নিয়া	k æ l i f ɔ ɾ n i̯ aˑ
ক্যালিফর্নিয়া	k ɛ l i f ɔ ɹ n i̯ aˑ
ক্রমাগত	k ɹ ɔ m a ɡ ɔ t̪ oˑ
ক্রমাগত	k ɾ ɔ m a ɡ ɔ t̪ oˑ
ক্রিকেট	k ɹ i k e t
ক্রিকেট	k ɹ i k e ʈ
ক্রিকেট	k ɾ i k e t
ক্রিকেট	k ɾ i k e ʈ
ক্রিয়া	k ɹ i̯ aˑ
ক্রিয়া	k ɾ i̯ aˑ
ক্রিয়াপদ	k ɹ i̯ a p ɔ d̪
ক্রিয়াপদ	k ɾ i̯ a p ɔ d̪
ক্রুশ	k ɹ u ʃ
ক্রুশ	k ɾ u ʃ
ক্রুশ	k ɾ uː ʃ
ক্রোশ	k ɾ oː s̠
ক্লাস	k l äː s̠
ক্ষতি	kʰ o t̪ iˑ
ক্ষতিকর	kʰ o t̪ i k ɔ ɹ
ক্ষতিকর	kʰ o t̪ i k ɔ ɾ
ক্ষত্রিয়	kʰ o t̪ː ɹ i̯ oˑ
ক্ষত্রিয়	kʰ o t̪ː ɾ i̯ oˑ
ক্ষমতা	kʰ ɔ m o t̪ aˑ
ক্ষমতাশালী	kʰ ɔ m o t̪ a ʃ a l iˑ
ক্ষমা	kʰ ɔ m aˑ
ক্ষার	kʰ a ɹ
ক্ষার	kʰ a ɾ
ক্ষার	kʰ aː ɾ
ক্ষারমৃত্তিকা	kʰ a ɹ ɔ m ɹ i t̪ː i k aˑ
ক্ষারমৃত্তিকা	kʰ a ɾ ɔ m ɾ i t̪ː i k aˑ
ক্ষীর	kʰ i ɹ
ক্ষীর	kʰ i ɾ
ক্ষীর	kʰ iː ɾ
ক্ষুদ্র	kʰ u d̪ː ɾ oˑ
ক্ষুধা	kʰ u d̪ aˑ
ক্ষুধা	kʰ u d̪ʱ aˑ
ক্ষুধার্ত	kʰ u d̪ a ɾ t̪ oˑ
ক্ষুধার্ত	kʰ u d̪ʱ a ɾ t̪ oˑ
ক্ষেত্র	kʰ e t̪ː ɹ oˑ
ক্ষেত্র	kʰ e t̪ː ɾ oˑ
ক্ষেপ	kʰ e p
ক্ষেপ	kʰ eː p
ক্ষ্বীর	kʰ i ɹ
ক্ষ্বীর	kʰ i ɾ
ক্ষ্বীর	kʰ iː ɾ
কৎবেল	k ɔ t̪ b e l
খঞ্জর	kʰ ɔ n d ʑ ɔ ɹ
খঞ্জর	kʰ ɔ n d͡ʒ ɔ ɾ
খড়	kʰ ɔ ɽ
খড়্গ	kʰ ɔ ɖ ɡ oˑ
খড়্গ	kʰ ɔ ɹ ɡ oˑ
খড়্গ	kʰ ɔ ɽ ɡ oˑ
খড়্গ	kʰ ɔ ɾ ɡ oˑ
খড়্গ	kʰ ɔ ɾ ɡ ɔˑ
খড়্গ	x ɔ ɹ ɡ ɔˑ
খণ্ড	kʰ ɔ n d oˑ
খণ্ড	kʰ ɔ ɳ ɖ oˑ
খতম	kʰ ɔ t̪ o m
খত্তম	kʰ ɔ t̪ː o m
খত্তম	x ɔ t̪ː o m
খত্ম	kʰ ɔ t̪ː oˑ
খত্ম	x ɔ t̪ː oˑ
খন্দকার	kʰ ɔ n d̪ o k a ɹ
খন্দকার	kʰ ɔ n d̪ o k a ɾ
খবর	kʰ ɔ b o ɹ
খবর	kʰ ɔ b o ɾ
খবরদার	kʰ ɔ b o ɹ d̪ a ɹ
খবরদার	kʰ ɔ b o ɾ d̪ a ɾ
খবিশ	kʰ o b i ʃ
খবীস	kʰ ɔ̝ b iˑ s
খয়রাত	kʰ ɔ e̯ ɹ a t̪
খয়রাত	kʰ ɔ e̯ ɾ a t̪
খয়ের	kʰ ɔ e ɹ
খয়ের	kʰ ɔ e ɾ
খরগোশ	kʰ ɔ ɹ ɡ o s
খরগোশ	kʰ ɔ ɹ ɡ o ʃ
খরগোশ	kʰ ɔ ɾ ɡ o s
খরগোশ	kʰ ɔ ɾ ɡ o ʃ
খরগোশ	x ɔ ɹ ɡ o s
খরচ	kʰ ɔ ɹ o t ɕ
খরচ	kʰ ɔ ɾ o t͡ʃ
খসরু	kʰ o s ɾ uˑ
খসা	kʰ ɔ ʃ aˑ
খাঁচা	kʰ a t ɕ aˑ
খাঁচা	kʰ ã t͡ʃ aˑ
খাঁটি	kʰ a d iˑ
খাঁটি	kʰ a t iˑ
খাঁটি	kʰ a ʈ iˑ
খাঁটি	kʰ ã ʈ iˑ
খাঁটি	x a d iˑ
খাঁটি	x a t iˑ
খাঁড়া	kʰ a ɹ aˑ
খাঁড়া	kʰ a ɾ aˑ
খাঁড়া	kʰ ã ɽ aˑ
খাঁড়া	kʰ ã ɾ aˑ
খাঁড়া	x a ɹ aˑ
খাঁড়ি	kʰ a ɹ iˑ
খাঁড়ি	kʰ ã ɽ iˑ
খাঁড়ি	kʰ ã ɾ iˑ
খাই	kʰ a i̯
খাইশ	kʰ a i̯ ʃ
খাওয়া	kʰ a o̯ aˑ
খাওয়ানো	kʰ a w a n o
খাগড়া	kʰ a ɡ ɹ aˑ
খাগড়া	kʰ a ɡ ɽ aˑ
খাগড়া	kʰ a ɡ ɾ aˑ
খাজনা	kʰ a d ʑ n aˑ
খাজনা	kʰ a d͡ʒ n aˑ
খাজনা	kʰ a z n aˑ
খাজা	kʰ a d ʑ aˑ
খাজা	kʰ a d̪ z aˑ
খাজা	kʰ a d͡ʒ aˑ
খাজা	x a z aˑ
খাট	kʰ äː ʈ̟
খাটা	kʰ a t aˑ
খাটা	kʰ a ʈ aˑ
খাটুলি	kʰ a t u l iˑ
খাটুলি	kʰ a ʈ u l iˑ
খাট্টা	kʰ a tː aˑ
খাট্টা	kʰ a ʈː aˑ
খাড়া	kʰ a ɹ aˑ
খাড়া	kʰ a ɽ aˑ
খাড়া	kʰ a ɾ aˑ
খাড়ি	kʰ a ɹ iˑ
খাড়ি	kʰ a ɽ iˑ
খাড়ি	kʰ a ɾ iˑ
খাতা	kʰ a t̪ aˑ
খাতির	kʰ a t̪ i ɹ
খাতির	kʰ a t̪ i ɾ
খাদেম	kʰ a d̪ e m
খাদ্য	kʰ a d̪ː ɔˑ
খাদ্য	x a d̪ː ɔˑ
খান	kʰ a n
খান	kʰ aː n
খানকি	kʰ a n k iˑ
খানদান	kʰ a n d̪ a n
খানা	kʰ a n aˑ
খাবার	kʰ a b a ɹ
খাবার	kʰ a b a ɾ
খাবার	x a b a ɹ
খামচান	kʰ a m t ɕ a n
খামচান	kʰ a m t͡ʃ a n
খামাখা	kʰ a m a kʰ aˑ
খায়েশ	kʰ a e̯ ʃ
খারাপ	kʰ a ɹ a p
খারাপ	kʰ a ɾ a p
খারাব	kʰ a ɹ a b
খারাব	kʰ a ɾ a b
খাল	kʰ a l
খালি	kʰ a l iˑ
খালেদ	kʰ a l e d̪
খাসী	kʰ a ʃ iˑ
খাহেশ	kʰ a e̯ ʃ
খাহেশ	kʰ a h e ʃ
খিড়কি	kʰ i ɹ ɔ k iˑ
খিড়কি	kʰ i ɽ ɔ k iˑ
খিড়কি	kʰ i ɾ ɔ k iˑ
খিদা	kʰ i d̪ aˑ
খির	kʰ i ɹ
খির	kʰ i ɾ
খির	kʰ iː ɾ
খীর	kʰ i ɹ
খীর	kʰ i ɾ
খীর	kʰ iː ɾ
খুজুটিপাড়া	kʰ u d ʑ u t i p a ɹ aˑ
খুজুটিপাড়া	kʰ u d͡ʒ u ʈ i p a ɽ aˑ
