अ	ə
चमत्कार	t͡ɕ ə m ə t̪ k a ɾ
चरणे	t͡s ə ɾ ɳ e
चरणे	t͡s ə ɾ ɳ ə
चर्चा	t͡ɕ ə ɾ t͡ɕ a
चलाख	t͡ɕ ə l a kʰ
चव	t͡s ə ʋ
चवताळणे	t͡s ə ʋ t̪ a ɭ̆ ɳ e
चवताळणे	t͡s ə ʋ t̪ a ɭ̆ ɳ ə
चव्वीस	t͡s ə ʋ ʋ i s
चव्वेचाळीस	t͡s ə ʋ ʋ e t͡ɕ a ɭ̆ i s
चव्हाटा	t͡s ə ʋʱ a ʈ a
चश्मा	t͡ɕ ə ɕ m a
चष्मा	t͡ɕ ə ʂ m a
चहा	t͡ɕ ə ɦ a
चांगला	t͡s a ŋ ɡ l a
चांगले	t͡s a ŋ ɡ l e
चांदणी	t͡s a n d̪ ə ɳ i
चांदी	t͡s a n d̪ i
चाक	t͡s a k
चाकू	t͡s a k u
चाखणे	t͡s a kʰ ɳ e
चाखणे	t͡s a kʰ ɳ ə
चाटणे	t͡s a ʈ ɳ e
चाटणे	t͡s a ʈ ɳ ə
चाफा	t͡s a pʰ a
चामडी	t͡s a m ɖ i
चार	t͡ɕ a ɾ
चाल	t͡s a l
चालक	t͡ɕ a l ə k
चालणे	t͡s a l ɳ e
चालणे	t͡s a l ɳ ə
चालू	t͡s a l u
चाळ	t͡s a ɭ̆
चाळणे	t͡s a ɭ̆ ɳ e
चाळणे	t͡s a ɭ̆ ɳ ə
चाळीस	t͡ɕ a ɭ̆ i s
चावणे	t͡s a ʋ ɳ e
चावणे	t͡s a ʋ ɳ ə
चावी	t͡s a ʋ i
चाव्या	t͡s a ʋ j a
चाहणे	t͡ɕ a ɦ ɳ e
चाहणे	t͡ɕ a ɦ ɳ ə
चिंच	t͡ɕ i n t͡s ə
चिंतणे	t͡ɕ i n t̪ ə ɳ e
चिंतणे	t͡ɕ i n t̪ ə ɳ ə
चिंता	t͡ɕ i n t̪ a
चिकण	t͡ɕ i k ə ɳ
चिकणे	t͡ɕ i k ɳ e
चिकणे	t͡ɕ i k ɳ ə
चिखल	t͡ɕ i kʰ ə l
चिठ्ठी	t͡ɕ i ʈ ʈʰ i
चिठ्ठ्या	t͡ɕ i ʈ ʈʰ j a
चिडणे	t͡ɕ i ɖ ɳ e
चिडणे	t͡ɕ i ɖ ɳ ə
चित्ता	t͡ɕ i t̪ t̪ a
चित्तूर	t͡ɕ i t̪ t̪ u ɾ
चित्र	t͡ɕ i t̪ ɾ ə
चित्रकला	t͡ɕ i t̪ ɾ ə k l a
चित्रकार	t͡ɕ i t̪ ɾ ə k a ɾ
चित्रपट	t͡ɕ i t̪ ɾ ə p ə ʈ
चित्रे	t͡ɕ i t̪ ɾ e
चित्रे	t͡ɕ i t̪ ɾ ə
चिन्ह	t͡ɕ i nʱ ə
चिमणी	t͡ɕ i m ɳ i
चीक	t͡ɕ i k
चीज	t͡ɕ i d͡z
चीन	t͡ɕ i n
चीनी	t͡ɕ i n i
चुंबन	t͡ɕ u m b ə n
चुकणे	t͡s u k ɳ e
चुकणे	t͡s u k ɳ ə
चुकवणे	t͡s u k ə ʋ ɳ e
चुकवणे	t͡s u k ə ʋ ɳ ə
चूक	t͡s u k
चूळ	t͡s u ɭ̆
चेंडू	t͡ɕ e ɳ ɖ u
चेन्नई	t͡ɕ e n n ə i
चेपणे	t͡ɕ e p ɳ e
चेपणे	t͡ɕ e p ɳ ə
चेहरा	t͡ɕ e ɦ ɾ a
चॉकलेट	t͡ɕ ɔ k l e ʈ
चोख	t͡s o kʰ
चोखणे	t͡s o kʰ ɳ e
चोखणे	t͡s o kʰ ɳ ə
चोपणे	t͡s o p ɳ e
चोपणे	t͡s o p ɳ ə
चोर	t͡s o ɾ
चोरणे	t͡s o ɾ ɳ e
चोरणे	t͡s o ɾ ɳ ə
चोवीस	t͡s o ʋ i s
चौक	t͡s ə u k
चौकट	t͡s ə u k ə ʈ
चौकोन	t͡s ə u k o n
चौतीस	t͡s ə u t̪ i s
चौथे	t͡s ə u t̪ʰ e
चौथे	t͡s ə u t̪ʰ ə
चौदा	t͡s ə u d̪ a
चौधरी	t͡s ə u d̪ʱ ɾ i
चौरंग	t͡s ə u ɾ ə ŋ ɡ ə
छ	t͡ɕʰ ə
छंद	t͡ɕʰ ə n d̪ ə
छत्तीसगढ	t͡ɕʰ ə t̪ t̪ i s ɡ ə ɖʱ
छत्री	t͡ɕʰ ə t̪ ɾ i
छान	t͡ɕʰ a n
छायाचित्र	t͡ɕʰ a j a t͡ɕ i t̪ ɾ ə
ज	d͡z ə
ज	d͡ʑ ə
जंगली	d͡ʑ ə ŋ ɡ l i
जखम	d͡z ə kʰ ə m
जड	d͡z ə ɖ
जनावर	d͡z ə n a ʋ ə ɾ
जन्म	d͡ʑ ə n m ə
जन्मखूण	d͡ʑ ə n m ə kʰ u ɳ
जपणे	d͡z ə p ɳ e
जपणे	d͡z ə p ɳ ə
जपान	d͡ʑ ə p a n
जपानी	d͡ʑ ə p a n i
जप्त	d͡z ə p t̪ ə
जबडा	d͡z ə b ɖ a
जबाबदार	d͡z ə b a b d̪ a ɾ
जबाबदारी	d͡z ə b a b d̪ a ɾ i
जमणे	d͡z ə m ɳ e
जमणे	d͡z ə m ɳ ə
जमवणे	d͡z ə m ə ʋ ɳ e
जमवणे	d͡z ə m ə ʋ ɳ ə
जमाना	d͡z ə m a n a
जमीन	d͡z ə m i n
जय	d͡ʑ ə j
जयपूर	d͡ʑ ə j p u ɾ
जल	d͡ʑ ə l
जळणे	d͡z ə ɭ̆ ɳ e
जळणे	d͡z ə ɭ̆ ɳ ə
जळू	d͡z ə ɭ̆ u
जव	d͡z ə ʋ
जवळ	d͡ʑ ə ʋ ə ɭ̆
जहाज	d͡z ə ɦ a d͡z
जा	d͡ʑ a
जांभळा	d͡z a m bʱ ɭ̆ a
जाऊ	d͡z a u
जागणे	d͡z a ɡ ɳ e
जागणे	d͡z a ɡ ɳ ə
जागा	d͡z a ɡ a
जागे	d͡z a ɡ e
जागे	d͡z a ɡ ə
जाणणे	d͡z a ɳ ɳ e
जाणणे	d͡z a ɳ ɳ ə
जाणूनबुजून	d͡z a ɳ u n b u d͡z u n
जाणे	d͡z a ɳ e
जाणे	d͡z a ɳ ə
जादा	d͡ʑ a d̪ a
जानेवारी	d͡ʑ a n e ʋ a ɾ i
जाब	d͡z a b
जायफळ	d͡z a j pʰ ə ɭ̆
जारी	d͡ʑ a ɾ i
जाळणे	d͡z a ɭ̆ ɳ e
जाळणे	d͡z a ɭ̆ ɳ ə
जाळी	d͡ʑ a ɭ̆ i
जाळ्या	d͡z a ɭ̆ j a
जावई	d͡z a ʋ ə i
जास्त	d͡ʑ a s t̪ ə
जाहिरात	d͡ʑ a ɦ i ɾ a t̪
जाहीर	d͡ʑ a ɦ i ɾ
जिंकणे	d͡ʑ i ŋ k ɳ e
जिंकणे	d͡ʑ i ŋ k ɳ ə
जिज्ञासा	d͡ʑ i d͡ʑ n a s a
जिवंत	d͡ʑ i ʋ ə n t̪ ə
जिव्हाळा	d͡ʑ i ʋʱ a ɭ̆ a
जीभ	d͡ʑ i bʱ
जीव	d͡ʑ i ʋ
जीवन	d͡ʑ i ʋ ə n
जीवशास्त्र	d͡ʑ i ʋ ɕ a s t̪ ɾ ə
जीवाणू	d͡ʑ i ʋ a ɳ u
जुंपणे	d͡z u m p ə ɳ e
जुंपणे	d͡z u m p ə ɳ ə
जुगार	d͡z u ɡ a ɾ
जुलै	d͡ʑ u l ə i
जुळणे	d͡z u ɭ̆ ɳ e
जुळणे	d͡z u ɭ̆ ɳ ə
जुळवणे	d͡z u ɭ̆ ə ʋ ɳ e
जुळवणे	d͡z u ɭ̆ ə ʋ ɳ ə
जुळे	d͡z u ɭ̆ e
जुळे	d͡z u ɭ̆ ə
जून	d͡ʑ u n
जेवण	d͡ʑ e ʋ ə ɳ
जेवणे	d͡ʑ e ʋ ɳ e
जेवणे	d͡ʑ e ʋ ɳ ə
जैन	d͡ʑ ə i n
जैविक	d͡ʑ ə i ʋ i k
जॉर्डन	d͡ʑ ɔ ɾ ɖ ə n
जोखीम	d͡z o kʰ i m
जोडणे	d͡ʑ o ɖ ɳ e
जोर	d͡z o ɾ
जोरदार	d͡z o ɾ d̪ a ɾ
ज्ञ	d ɲ ə
ज्ञान	d͡ʑ n a n
ज्ञानी	d͡ʑ n a n i
ज्ञानेंद्रिय	d͡ʑ n a n e n d̪ ɾ i j
ज्यामिति	d͡ʑ j a m i t̪ i
झ	d͡zʱ ə
झ	d͡ʑʱ ə
झगडणे	d͡zʱ ə ɡ ə ɖ ɳ e
झगडणे	d͡zʱ ə ɡ ə ɖ ɳ ə
झटकणे	d͡zʱ ə ʈ ə k ɳ e
झटकणे	d͡zʱ ə ʈ ə k ɳ ə
झटका	d͡zʱ ə ʈ k a
झपाटणे	d͡zʱ ə p a ʈ ɳ e
झपाटणे	d͡zʱ ə p a ʈ ɳ ə
झवणे	d͡zʱ ə ʋ ɳ e
झवणे	d͡zʱ ə ʋ ɳ ə
झांज	d͡zʱ a n d͡z ə
झाकणे	d͡zʱ a k ɳ e
झाकणे	d͡zʱ a k ɳ ə
झाड	d͡zʱ a ɖ
झाडू	d͡zʱ a ɖ u
झाडे	d͡zʱ a ɖ e
झाडे	d͡zʱ a ɖ ə
झारखंड	d͡zʱ a ɾ kʰ ə ɳ ɖ ə
झाला	d͡ʑʱ a l a
झाले	d͡zʱ a l e
झाले	d͡zʱ a l ə
झाशी	d͡zʱ a ɕ i
झिजणे	d͡ʑʱ i d͡z ɳ e
झिजणे	d͡ʑʱ i d͡z ɳ ə
झुंज	d͡zʱ u n d͡z ə
झुंजणे	d͡zʱ u n d͡z ə ɳ e
झुंजणे	d͡zʱ u n d͡z ə ɳ ə
झुकणे	d͡zʱ u k ɳ e
झुकणे	d͡zʱ u k ɳ ə
झुमका	d͡zʱ u m k a
झुरणे	d͡zʱ u ɾ ɳ e
झुरणे	d͡zʱ u ɾ ɳ ə
झुलणे	d͡zʱ u l ɳ e
झुलणे	d͡zʱ u l ɳ ə
झुळूक	d͡zʱ u ɭ̆ u k
झेंडा	d͡ʑʱ e ɳ ɖ a
झेंडे	d͡ʑʱ e ɳ ɖ e
झेंडे	d͡ʑʱ e ɳ ɖ ə
झेलणे	d͡ʑʱ e l ɳ e
झेलणे	d͡ʑʱ e l ɳ ə
झोडणे	d͡zʱ o ɖ ɳ e
झोडणे	d͡zʱ o ɖ ɳ ə
झोप	d͡zʱ o p
झोपडी	d͡zʱ o p ɖ i
झोपणे	d͡zʱ o p ɳ e
झोपणे	d͡zʱ o p ɳ ə
ञ	j ə̃
ट	ʈ ə
टक	ʈ ə k
टक्कर	ʈ ə k k ə ɾ
टक्कल	ʈ ə k k ə l
टरबुजे	ʈ ə ɾ b u d͡ʑ e
टरबूज	ʈ ə ɾ b u d͡z
टळणे	ʈ ə ɭ̆ ɳ e
टळणे	ʈ ə ɭ̆ ɳ ə
टांगणे	ʈ a ŋ ɡ ə ɳ e
टांगणे	ʈ a ŋ ɡ ə ɳ ə
टाकणे	ʈ a k ɳ e
टाकणे	ʈ a k ɳ ə
टाळी	ʈ a ɭ̆ i
टिकणे	ʈ i k ɳ e
टिकणे	ʈ i k ɳ ə
टिकली	ʈ i k l i
टिकाऊ	ʈ i k a u
टिकाव	ʈ i k a ʋ
टीम	ʈ i m
टेकडी	ʈ e k ɖ i
टेकणे	ʈ e k ɳ e
टेकणे	ʈ e k ɳ ə
टोकियो	ʈ o k i j o
टोळी	ʈ o ɭ̆ i
ट्रेन	ʈ ɾ e n
ठ	ʈʰ ə
ठरणे	ʈʰ ə ɾ ɳ e
ठरणे	ʈʰ ə ɾ ɳ ə
ठरवणे	ʈʰ ə ɾ ə ʋ ɳ e
ठरवणे	ʈʰ ə ɾ ə ʋ ɳ ə
ठळक	ʈʰ ə ɭ̆ ə k
ठसा	ʈʰ ə s a
ठाऊक	ʈʰ a u k
ठाकरे	ʈʰ a k ɾ e
ठाण	ʈʰ a ɳ
ठाणे	ʈʰ a ɳ e
ठाम	ʈʰ a m
ठिकाण	ʈʰ i k a ɳ
ठिकाणे	ʈʰ i k a ɳ e
ठिकाणे	ʈʰ i k a ɳ ə
ठीक	ʈʰ i k
ठेंगणे	ʈʰ e ŋ ɡ ə ɳ e
ठेंगणे	ʈʰ e ŋ ɡ ə ɳ ə
ठेका	ʈʰ e k a
ठेकेदार	ʈʰ e k e d̪ a ɾ
ठोकणे	ʈʰ o k ɳ e
ठोकणे	ʈʰ o k ɳ ə
ड	ɖ ə
डबा	ɖ ə b a
डसणे	ɖ ə s ɳ e
डसणे	ɖ ə s ɳ ə
डांबर	ɖ a m b ə ɾ
डाखीण	ɖ a kʰ i ɳ
डाग	ɖ a ɡ
डाळ	ɖ a ɭ̆
डाळिंब	ɖ a ɭ̆ i m b ə
डिवचणे	ɖ i ʋ ə t͡s ɳ e
डिवचणे	ɖ i ʋ ə t͡s ɳ ə
डिसेंबर	ɖ i s e m b ə ɾ
डुंबणे	ɖ u m b ə ɳ e
डुंबणे	ɖ u m b ə ɳ ə
डोके	ɖ o k e
डोके	ɖ o k ə
डोळा	ɖ o ɭ̆ a
डोहाळा	ɖ o ɦ a ɭ̆ a
ढ	ɖʱ ə
ढग	ɖʱ ə ɡ
ढगाळ	ɖʱ ə ɡ a ɭ̆
ढोर	ɖʱ o ɾ
ण	ɳ ə
त	t̪ ə
तंत्र	t̪ ə n t̪ ɾ ə
तंत्रज्ञान	t̪ ə n t̪ ɾ ə d͡ʑ n a n
तंबाखू	t̪ ə m b a kʰ u
तंबू	t̪ ə m b u
तक्ता	t̪ ə k t̪ a
तक्ते	t̪ ə k t̪ e
तडजोड	t̪ ə ɖ d͡z o ɖ
तडफडणे	t̪ ə ɖ pʰ ə ɖ ɳ e
तडफडणे	t̪ ə ɖ pʰ ə ɖ ɳ ə
तथागत	t̪ ə t̪ʰ a ɡ ə t̪
तपकिरी	t̪ ə p k i ɾ i
तपासणे	t̪ ə p a s ɳ e
तपासणे	t̪ ə p a s ɳ ə
तबला	t̪ ə b l a
तब्येत	t̪ ə b j e t̪
तमिळ	t̪ ə m i ɭ̆
तयार	t̪ ə j a ɾ
तरंग	t̪ ə ɾ ə ŋ ɡ ə
तरंगणे	t̪ ə ɾ ə ŋ ɡ ə ɳ e
तरंगणे	t̪ ə ɾ ə ŋ ɡ ə ɳ ə
तरुण	t̪ ə ɾ u ɳ
तऱ्हा	t̪ ə ɾʱ a
तलवार	t̪ ə l ʋ a ɾ
तलाव	t̪ ə l a ʋ
तळणे	t̪ ə ɭ̆ ɳ e
तळणे	t̪ ə ɭ̆ ɳ ə
तसे	t̪ ə s e
तसे	t̪ ə s ə
तहान	t̪ ə ɦ a n
तांत्रिक	t̪ a n t̪ ɾ i k
तांदूळ	t̪ a n d̪ u ɭ̆
तांबडा	t̪ a m b ɖ a
ताक	t̪ a k
ताकद	t̪ a k ə d̪
ताकीद	t̪ a k i d̪
ताग	t̪ a ɡ
ताजे	t̪ a d͡z e
ताट	t̪ a ʈ
ताठ	t̪ a ʈʰ
ताण	t̪ a ɳ
ताणणे	t̪ a ɳ ɳ e
ताणणे	t̪ a ɳ ɳ ə
ताप	t̪ a p
तापणे	t̪ a p ɳ e
तापणे	t̪ a p ɳ ə
ताबा	t̪ a b a
तारण	t̪ a ɾ ə ɳ
तारा	t̪ a ɾ a
तारीफ	t̪ a ɾ i pʰ
तारे	t̪ a ɾ e
तालीम	t̪ a l i m
तालुका	t̪ a l u k a
तावणे	t̪ a ʋ ɳ e
तावणे	t̪ a ʋ ɳ ə
तास	t̪ a s
तिकडे	t̪ i k ɖ e
तिकडे	t̪ i k ɖ ə
तिजोरी	t̪ i d͡z o ɾ i
तिथे	t̪ i t̪ʰ e
तिथे	t̪ i t̪ʰ ə
तिरके	t̪ i ɾ k e
तिरके	t̪ i ɾ k ə
तिरुचिरापल्ली	t̪ i ɾ u t͡ɕ i ɾ a p ə l l i
तिरुवनंतपुरम	t̪ i ɾ u ʋ n ə n t̪ ə p u ɾ ə m
तिला	t̪ i l a
तिसरे	t̪ i s ɾ e
ती	t̪ i
तीळ	t̪ i ɭ̆
तुटणे	t̪ u ʈ ɳ e
तुटणे	t̪ u ʈ ɳ ə
तुम्ही	t̪ u mʱ i
तुरुंग	t̪ u ɾ u ŋ ɡ ə
तुला	t̪ u l a
तुळसी	t̪ u ɭ̆ s i
तू	t̪ u
तूप	t̪ u p
तूळ	t̪ u ɭ̆
तृप्ती	t̪ ɾ u p t̪ i
तेंडुलकर	t̪ e ɳ ɖ u l k ə ɾ
तेरा	t̪ e ɾ a
तेल	t̪ e l
तेलुगू	t̪ e l u ɡ u
तेवीस	t̪ e ʋ i s
तेहतीस	t̪ e ɦ t̪ i s
तो	t̪ o
तोंड	t̪ o ɳ ɖ ə
तोंडे	t̪ o ɳ ɖ e
तोंडे	t̪ o ɳ ɖ ə
तोडणे	t̪ o ɖ ɳ e
तोडणे	t̪ o ɖ ɳ ə
तोलणे	t̪ o l ɳ e
तोलणे	t̪ o l ɳ ə
तोळा	t̪ o ɭ̆ a
त्रेचाळीस	t̪ ɾ e t͡ɕ a ɭ̆ i s
थ	t̪ʰ ə
थंड	t̪ʰ ə ɳ ɖ ə
थकणे	t̪ʰ ə k ɳ e
थकणे	t̪ʰ ə k ɳ ə
थट्टा	t̪ʰ ə ʈ ʈ a
थर	t̪ʰ ə ɾ
थरथरणे	t̪ʰ ə ɾ t̪ʰ ə ɾ ɳ e
थरथरणे	t̪ʰ ə ɾ t̪ʰ ə ɾ ɳ ə
थवा	t̪ʰ ə ʋ a
थांबणे	t̪ʰ a m b ɳ e
थांबणे	t̪ʰ a m b ɳ ə
थायलंड	t̪ʰ a j l ə ɳ ɖ ə
थाळी	t̪ʰ a ɭ̆ i
थिजणे	t̪ʰ i d͡z ɳ e
थिजणे	t̪ʰ i d͡z ɳ ə
थुंकणे	t̪ʰ u ŋ k ɳ e
थुंकणे	t̪ʰ u ŋ k ɳ ə
थुंकी	t̪ʰ u ŋ k i
थेंब	t̪ʰ e m b ə
थेट	t̪ʰ e ʈ
थोडे	t̪ʰ o ɖ e
थोडे	t̪ʰ o ɖ ə
थोबाड	t̪ʰ o b a ɖ
द	d ə
दक्ष	d̪ ə k ʂ ə
दक्षिण	d̪ ə k ʂ i ɳ
दगड	d̪ ə ɡ ə ɖ
दचकणे	d̪ ə t͡s ə k ɳ e
दबाव	d̪ ə b a ʋ
दमणे	d̪ ə m ɳ e
दमणे	d̪ ə m ɳ ə
दया	d̪ ə j a
दरबार	d̪ ə ɾ b a ɾ
दरवाजा	d̪ ə ɾ ʋ a d͡z a
दरी	d̪ ə ɾ i
दर्या	d̪ ə ɾ j a
दलाल	d̪ ə l a l
दवाखाना	d̪ ə ʋ a kʰ a n a
दहा	d̪ ə ɦ a
दहावे	d̪ ə ɦ a ʋ e
दहावे	d̪ ə ɦ a ʋ ə
दही	d̪ ə ɦ i
दाखल	d̪ a kʰ ə l
दाखवणे	d̪ a kʰ ə ʋ ɳ e
दाखवणे	d̪ a kʰ ə ʋ ɳ ə
दाट	d̪ a ʈ
दाटणे	d̪ a ʈ ɳ e
दाटणे	d̪ a ʈ ɳ ə
दाढी	d̪ a ɖʱ i
दात	d̪ a t̪
दाता	d̪ a t̪ a
दाते	d̪ a t̪ e
दाते	d̪ a t̪ ə
दादा	d̪ a d̪ a
दाब	d̪ a b
दाबणे	d̪ a b ɳ e
दाबणे	d̪ a b ɳ ə
दार	d̪ a ɾ
दारू	d̪ a ɾ u
दारे	d̪ a ɾ e
दारे	d̪ a ɾ ə
दिग्दर्शक	d̪ i ɡ d̪ ə ɾ ɕ ə k
दिन	d̪ i n
दिपणे	d̪ i p ɳ e
दिपणे	d̪ i p ɳ ə
दिल	d̪ i l
दिल्ली	d̪ i l l i
दिवस	d̪ i ʋ ə s
दिवा	d̪ i ʋ a
दिवाणे	d̪ i ʋ a ɳ e
दिवाणे	d̪ i ʋ a ɳ ə
दिवाळी	d̪ i ʋ a ɭ̆ i
दिवे	d̪ i ʋ e
दिवे	d̪ i ʋ ə
दिसणे	d̪ i s ɳ e
दिसणे	d̪ i s ɳ ə
दीदी	d̪ i d̪ i
दीर	d̪ i ɾ
दुकान	d̪ u k a n
दुखणे	d̪ u kʰ ɳ e
दुखणे	d̪ u kʰ ɳ ə
दुधी	d̪ u d̪ʱ i
दुरुस्त	d̪ u ɾ u s t̪ ə
दुर्ग	d̪ u ɾ ɡ ə
दुसरे	d̪ u s ɾ e
दूध	d̪ u d̪ʱ
दूर	d̪ u ɾ
दृश्य	d̪ ɾ u ɕ j ə
दृश्ये	d̪ ɾ u ɕ j e
दृश्ये	d̪ ɾ u ɕ j ə
देणे	d̪ e ɳ e
देणे	d̪ e ɳ ə
देव	d̪ e ʋ
देवी	d̪ e ʋ i
देव्या	d̪ e ʋ j a
दोन	d̪ o n
दोनदा	d̪ o n d̪ a
दोन्ही	d̪ o nʱ i
दोरी	d̪ o ɾ i
दौडणे	d̪ ə u ɖ ɳ e
दौडणे	d̪ ə u ɖ ɳ ə
दौरा	d̪ ə u ɾ a
दौलत	d̪ ə u l ə t̪
द्राक्ष	d̪ ɾ a k ʂ ə
ध	d̪ʱ ə
धंदा	d̪ʱ ə n d̪ a
धंदे	d̪ʱ ə n d̪ e
धक्का	d̪ʱ ə k k a
धक्कादायक	d̪ʱ ə k k a d̪ a j ə k
धगधगणे	d̪ʱ ə ɡ d̪ʱ ə ɡ ɳ e
धगधगणे	d̪ʱ ə ɡ d̪ʱ ə ɡ ɳ ə
धडकणे	d̪ʱ ə ɖ ə k ɳ e
धडकणे	d̪ʱ ə ɖ ə k ɳ ə
धडा	d̪ʱ ə ɖ a
धनादेश	d̪ʱ ə n a d̪ e ɕ
धनुष्य	d̪ʱ ə n u ʂ j ə
धन्य	d̪ʱ ə n j ə
धबधबा	d̪ʱ ə b d̪ʱ ə b a
धमनी	d̪ʱ ə m n i
धमन्या	d̪ʱ ə m ə n j a
धरणे	d̪ʱ ə ɾ ɳ e
धरणे	d̪ʱ ə ɾ ɳ ə
धर्म	d̪ʱ ə ɾ m ə
धर्मग्रंथ	d̪ʱ ə ɾ m ə ɡ ɾ ə n t̪ʰ ə
धर्मनिरपेक्ष	d̪ʱ ə ɾ m ə n i ɾ ə p e k ʂ ə
धर्मनिरपेक्षता	d̪ʱ ə ɾ m ə n i ɾ ə p e k ʂ ə t̪ a
धर्मशाळा	d̪ʱ ə ɾ m ə ɕ a ɭ̆ a
धाडणे	d̪ʱ a ɖ ɳ e
धाडणे	d̪ʱ a ɖ ɳ ə
धाडस	d̪ʱ a ɖ ə s
धातू	d̪ʱ a t̪ u
धाप	d̪ʱ a p
धाराशिव	d̪ʱ a ɾ a ɕ i ʋ
धार्मिक	d̪ʱ a ɾ m i k
धार्मिकता	d̪ʱ a ɾ m i k t̪ a
धावणे	d̪ʱ a ʋ ɳ e
धावणे	d̪ʱ a ʋ ɳ ə
धिमे	d̪ʱ i m e
धिमे	d̪ʱ i m ə
धुंद	d̪ʱ u n d̪ ə
धूर	d̪ʱ u ɾ
धूळ	d̪ʱ u ɭ̆
धैर्य	d̪ʱ ə i ɾ j ə
ध्यान	d̪ʱ j a n
ध्वज	d̪ʱ ʋ ə d͡ʑ
न	n ə
नऊ	n ə u
नकाशा	n ə k a ɕ a
नक्कल	n ə k k ə l
नजर	n ə d͡z ə ɾ
नजराणा	n ə d͡z ɾ a ɳ a
नजीक	n ə d͡ʑ i k
नट	n ə ʈ
नटी	n ə ʈ i
नणंद	n ə ɳ ə n d̪ ə
नपुंसकलिंग	n ə p u u s ə k l i ŋ ɡ ə
नमाज	n ə m a d͡ʑ
नमुना	n ə m u n a
नयन	n ə j ə n
नळ	n ə ɭ̆
नवरा	n ə ʋ ɾ a
नवरी	n ə ʋ ɾ i
नववे	n ə ʋ ʋ e
नववे	n ə ʋ ʋ ə
नवस	n ə ʋ ə s
नवा	n ə ʋ a
नवे	n ə ʋ e
नव्वद	n ə ʋ ʋ ə d̪
नव्व्याण्णव	n ə ʋ ʋ j a ɳ ɳ ə ʋ
नशीब	n ə ɕ i b
नष्ट	n ə ʂ ʈ ə
नस	n ə s
नाक	n a k
नाकपुडी	n a k p u ɖ i
नाकपुड्या	n a k p u ɖ j a
नाका	n a k a
नाके	n a k e
नाके	n a k ə
नाखुश	n a kʰ u ɕ
नागपूर	n a ɡ p uː ɾ
नागरिक	n a ɡ ə ɾ i k
नाच	n a t͡s
नाचक्की	n a t͡ɕ ə k k i
नाचणे	n a t͡s ɳ e
नाचणे	n a t͡s ɳ ə
नाचवणे	n a t͡s ə ʋ ɳ e
नाचवणे	n a t͡s ə ʋ ɳ ə
नाट	n a ʈ
नाडी	n a ɖ i
नाणं	n a ɳ ə
नाणे	n a ɳ e
नाणे	n a ɳ ə
नात	n a t̪
नाताळ	n a t̪ a ɭ̆
नातीण	n a t̪ i ɳ
नातू	n a t̪ u
नाते	n a t̪ e
नाते	n a t̪ ə
नापसंत	n a p ə s ə n t̪ ə
नाम	n a m
नारळ	n a ɾ ə ɭ̆
नाव	n a ʋ
नावाजणे	n a ʋ a d͡z ɳ e
नावाजणे	n a ʋ a d͡z ɳ ə
नावाडी	n a ʋ a ɖ i
नाश	n a ɕ
नाशिक	n a ɕ i k
नाश्ता	n a ɕ t̪ a
नाष्टा	n a ʂ ʈ a
नासणे	n a s ɳ e
नासणे	n a s ɳ ə
नास्तिक	n a s t̪ i k
नास्तिकता	n a s t̪ i k t̪ a
नाही	n a ɦ i
नि	n i
निका	n i k a
निखळणे	n i kʰ ə ɭ̆ ɳ e
निखळणे	n i kʰ ə ɭ̆ ɳ ə
निजणे	n i d͡z ɳ e
निदान	n i d̪ a n
निद्रा	n i d̪ ɾ a
निधि	n i d̪ʱ i
निपजणे	n i p ə d͡z ɳ e
निपजणे	n i p ə d͡z ɳ ə
निबर	n i b ə ɾ
निभावणे	n i bʱ a ʋ ɳ e
निभावणे	n i bʱ a ʋ ɳ ə
नियम	n i j ə m
निरोध	n i ɾ o d̪ʱ
निर्जीव	n i ɾ d͡ʑ i ʋ
निर्भय	n i ɾ bʱ ə j
निर्मळ	n i ɾ m ə ɭ̆
निर्माता	n i ɾ m a t̪ a
निर्माते	n i ɾ m a t̪ e
निर्मिती	n i ɾ m i t̪ i
निवडणूक	n i ʋ ə ɖ ɳ u k
निवळणे	n i ʋ ə ɭ̆ ɳ e
निवळणे	n i ʋ ə ɭ̆ ɳ ə
निवारा	n i ʋ a ɾ a
निव्वळ	n i ʋ ʋ ə ɭ̆
निशिगंध	n i ɕ i ɡ ə n d̪ʱ ə
निष्णात	n i ʂ ɳ a t̪
निसटणे	n i s ə ʈ ɳ e
निसटणे	n i s ə ʈ ɳ ə
निस्तरणे	n i s t̪ ə ɾ ɳ e
निस्तरणे	n i s t̪ ə ɾ ɳ ə
नेणे	n e ɳ e
नेणे	n e ɳ ə
नेतृत्व	n e t̪ ɾ u t̪ ʋ ə
नेत्र	n e t̪ ɾ ə
नेपाळ	n e p a ɭ̆
नेपाळी	n e p a ɭ̆ i
नेसणे	n e s ɳ e
नेसणे	n e s ɳ ə
नैऋत्य	n ə i ɾ u t̪ j ə
नोंदणे	n o n d̪ & # kʰ 2 A ; ɳ e
नोकर	n o k ə ɾ
नोव्हेंबर	n o ʋʱ e m b ə ɾ
न्याहारी	n j a ɦ a ɾ i
न्हावी	nʱ a ʋ i
प	p ə
पंख	p ə ŋ kʰ ə
पंखा	p ə ŋ kʰ a
पंखे	p ə ŋ kʰ e
पंचवीस	p ə n t͡ɕ ʋ i s
पंचेचाळीस	p ə n t͡s e t͡ɕ a ɭ̆ i s
