ϣϩⲓϭ	ʃ h i c
ⲙⲉⲛⲣⲓⲧ	m ə n ɾ iː t
ⲙⲉⲣⲓ	m e ʔ r ə
ⲙⲉⲧⲣⲉⲙⲛⲭⲏⲙⲓ	m ə t ɾ ə m ə n kʰ eː m ə
ⲙⲏⲧ	m a t
ⲙⲏⲧ	m eː t
ⲙⲏⲧ	m i t
ⲙⲓⲑⲣⲁⲥ	m i tʰ r a s
ⲙⲓⲕⲓ	m iː k ə
ⲙⲓⲛ	m iː n
ⲙⲓⲟⲥ	m i oː s
ⲙⲓⲥⲉ	m iː s ə
ⲙⲓⲥⲓ	m iː s ə
ⲙⲕⲁϩ	a m k a h
ⲙⲕⲁϩ	e m k a h
ⲙⲕⲁϩ	ə m kʼ a h
ⲙⲛⲁⲓ	a m n a i̯
ⲙⲛⲁⲓ	e m n a ɪ̯
ⲙⲛⲁⲓ	ə m n a i̯
ⲙⲛⲧⲣⲙⲛⲕⲏⲙⲉ	m ə n t ɾ ə m ə n k eː m ə
ⲙⲟϣⲓ	m o ʔ ʃ ə
ⲙⲟⲟⲩ	m o w
ⲙⲟⲩϯ	m uː t ə
ⲙⲟⲩⲉⲓ	m uː j
ⲙⲟⲩⲓ	m uː j
ⲙⲟⲩⲓ	m uː ʔ
ⲙⲟⲩⲕⲓ	m uː k ə
ⲙⲟⲩⲥⲁ	m u s a
ⲙⲣⲓⲥ	m̩ r i s
ⲙⲣⲱ	ə m ɾ oː ʔ
ⲙⲫⲟⲟⲩ	a m b u w
ⲙⲫⲟⲟⲩ	e m f o ʔ w
ⲙⲫⲟⲟⲩ	ə m pʰ o w
ⲙⲱⲓⲧ	m o i t
ⲙⲱⲓⲧ	m oː i̯ t
ⲙⲱⲓⲧ	m u i̯ t
ⲙⲱⲟⲩ	m o u
ⲙⲱⲟⲩ	m oː w
ⲙⲱⲟⲩ	m u w
ⲛⲁϩⲃⲓ	n a h ʔ b i
ⲛⲁϫϩⲉ	n a t͡ʃ h ə
ⲛⲁϫϩⲓ	n a d͡ʒ h i
ⲛⲁϫϩⲓ	n a t͡ʃ h ə
ⲛⲁϫϩⲓ	n a ɟ h a
ⲛⲁⲓ	n a i̯
ⲛⲉϥⲑⲏⲙ	n eː f tʰ ɛː m
ⲛⲉϥⲧⲏⲙ	n e f t ɛː m
ⲛⲉϩⲃⲓ	n e h ʔ b i
ⲛⲉⲃⲑⲱ	n ɛ β t h o
ⲛⲉⲙ	n ə m
ⲛⲉⲧⲁ	n ɛ t a
ⲛⲉⲧⲟ	n ɛ t ɔ
ⲛⲏⲃ	n a b
ⲛⲏⲃ	n eː b
ⲛⲏⲃ	n i b
ⲛⲏⲉⲧϣⲟⲡ	n eː ʔ ə t ʃ o p
ⲛⲑⲛⲁⲩ	e n e θ n a ʊ̯
ⲛⲑⲛⲁⲩ	ʔ ə n d n a w
ⲛⲑⲛⲁⲩ	ʔ ə n tʰ n a w
ⲛⲑⲟϥ	n̩ tʰ ɔ f
ⲛⲑⲟⲥ	ʔ ə n tʰ o s
ⲛⲑⲱⲟⲩ	ʔ ə n tʰ oː w
ⲛⲑⲱⲧⲉⲛ	ʔ ə n tʰ oː t ə n
ⲛⲓⲃⲉⲛ	n i v e n
ⲛⲓⲃⲉⲛ	n i w a n
ⲛⲓⲃⲉⲛ	n iː β ə n
ⲛⲓⲕⲏ	n iː k ɛ
ⲛⲕⲟⲧⲕ	ʔ ə n k o ʔ t ə k
ⲛⲟϥⲣⲓ	n o f r i
ⲛⲟϥⲣⲓ	n o f ɾ ə
ⲛⲟϥⲣⲓ	n u f ɾ a
ⲛⲟⲃⲓ	n ɔ v i
ⲛⲟⲩϥⲉ	n uː f ə
ⲛⲟⲩϩⲙ	n uː h ə m
ⲛⲟⲩϯ	n u d i
ⲛⲟⲩϯ	n u t i
ⲛⲟⲩϯ	n uː t ə
ⲛⲟⲩⲛ	n uː n
ⲛⲟⲩⲣⲉ	n uː ɾ ə
ⲛⲟⲩⲣⲓ	n uː ɾ ə
ⲛⲟⲩⲧⲉ	n uː t ə
ⲛⲟⲩⲧⲉⲙ	n uː t ə m
ⲛⲟⲩⲧⲙ	n uː t ə m
ⲛⲥⲁ	ə n s a ʔ
ⲛⲧⲱⲣⲉ	n t oː ɾ ə
ⲟⲃⲓⲟⲛ	o b j o n
ⲟⲉⲓⲕ	o i̯ k
ⲟⲙⲓ	o ʔ m ə
ⲟⲩϩⲟⲗ	uː h o l
ⲟⲩϩⲟⲣ	u h o r
ⲟⲩϩⲟⲣ	u h u r
ⲟⲩϩⲟⲣ	uː h o r
ⲟⲩϫⲁⲓ	u d͡ʒ a j
ⲟⲩϫⲁⲓ	u ɡ a ɪ̯
ⲟⲩϫⲁⲓ	uː t͡ʃʼ a j
ⲟⲩⲁϩⲉ	w a ʔ h ə
ⲟⲩⲁⲁⲓⲉ	w a a i
ⲟⲩⲁⲓ	u w a ɪ̯
ⲟⲩⲁⲓ	w a j
ⲟⲩⲁⲓⲛⲓⲛ	w a j n iː n
ⲟⲩⲉϩⲓ	w e ʔ h ə i
ⲟⲩⲉⲉⲓ	w e e j
ⲟⲩⲉⲣⲧ	u w e r t
ⲟⲩⲉⲣⲧ	w a ɾ t
ⲟⲩⲉⲣⲧ	w e ɾ t
ⲟⲩⲏⲣ	w eː r
ⲟⲩⲗⲏ	uː l eː ʔ
ⲟⲩⲟϩ	w o h
ⲟⲩⲟⲉⲓⲛ	w o i̯ n
ⲟⲩⲟⲟϩⲉ	w o ʔ h ə
ⲟⲩⲣⲟ	u r ɔ
ⲟⲩⲥⲓⲣⲉ	u s iː ɾ ə
ⲟⲩⲥⲓⲣⲓ	ʔ uː s iː ɾ ə
ⲟⲩⲧⲁϩ	u t a h
ⲟⲩⲧⲉϩ	u t e h
ⲟⲩⲱϣ	u w o ʃ
ⲟⲩⲱϣ	w oː ʃ
ⲟⲩⲱϣ	w u ʃ
ⲟⲩⲱϫⲉ	w oː t͡ʃ ə
ⲟⲩⲱⲓ	w oː i
ⲟⲩⲱⲓⲛⲓ	w oː i̯ n ə
ⲡⲁϣⲟⲛϯ	p a ʃ o n t ə
ⲡⲁⲡⲉ	p a p ə
ⲡⲁⲣⲑⲉⲛⲱⲛ	p a r tʰ ə n ɔː n
ⲡⲁⲣⲙϩⲟⲧⲡ	p a r m̩ h ɔ t p
ⲡⲁⲫⲛⲟⲩϯ	p a pʰ n uː t ə
ⲡⲉⲃⲓϫ	b ə b iː kʲ
ⲡⲉⲣⲓⲇⲱⲛ	p ɛ r i d oː n
ⲡⲉⲣⲥⲉⲫⲟⲛⲏ	p e r s e pʰ o n ɛː
ⲡⲉⲧⲃⲉ	p ɛ t b ɛ
ⲡⲉⲧⲉⲫⲣⲏ	p ə t ə pʰ ɾ eː ʔ
ⲡⲉⲧⲣⲟⲥ	p e t r o s
ⲡⲏ	p eː ʔ
ⲡⲓϣⲉⲛⲛⲟⲩϥⲓ	p ə ʃ ə n n uː f ə
ⲡⲓϣⲱⲓ	p ə ʃ oː i̯
ⲡⲓⲛ	p iː n
ⲡⲓⲣⲱⲟⲩ	p ə ɾ oː u̯
ⲡⲓⲧⲉ	p iː t ə
ⲡⲗⲏⲧⲱⲣⲓⲱⲛ	p l a i t ɔː r i o n
ⲡⲟⲥⲓⲇⲱⲛ	p ɔ s iː d oː n
ⲡⲟⲥⲓⲧⲱⲛ	p ɔ s iː d oː n
ⲡⲣⲁⲓⲧⲱⲣⲓⲟⲛ	p r a i t ɔː r i o n
ⲡⲧⲁϩ	p t a h
ⲣⲁⲕⲟϯ	r a k o t i
ⲣⲁⲕⲟϯ	ɾ a k u d a
ⲣⲁⲕⲟϯ	ɾ a kʼ o ʔ t ə
ⲣⲁⲙⲁⲟ	r a m a ɔ
ⲣⲉⲙⲛϫⲱⲓⲗⲓ	ɾ ə m ə n t͡ʃʼ oː i̯ l ə
ⲣⲉⲙⲛⲭⲏⲙⲓ	r ə m ə n kʰ eː m ə
ⲣⲏ	r eː ʔ
ⲣⲙⲙⲁⲟ	r m̩ m a ɔ
ⲣⲙⲟⲩϯ	ə r m o u t i
ⲣⲙⲟⲩⲧⲉ	ə r m o u t e
ⲣⲟ	r o ʔ
ⲣⲟⲉⲓⲥ	ɾ o j s
ⲣⲟⲙⲡⲉ	ɾ o m p ə
ⲣⲟⲙⲡⲓ	r o m p i
ⲣⲟⲙⲡⲓ	ɾ o m p ə
ⲣⲟⲙⲡⲓ	ɾ u m b a
ⲣⲟⲩϩⲓ	r u h i
ⲣⲟⲩϩⲓ	ɾ u h a
ⲣⲟⲩϩⲓ	ɾ uː h ə
ⲣⲣⲟ	ə r r o ʔ
ⲣⲣⲱ	ə r r oː ʔ
ⲣⲱϧⲓ	r oː x ə
ⲣⲱϩⲉ	r oː h ə
ⲣⲱⲙⲉ	r ɔː m e
ⲣⲱⲙⲉ	r ɔː m ə
ⲣⲱⲙⲏ	r ɔː m ɛː
ⲣⲱⲙⲓ	r o m i
ⲣⲱⲙⲓ	ɾ oː m ə
ⲣⲱⲙⲓ	ɾ u m a
ⲥϧⲁⲓ	a s x a i̯
ⲥϧⲁⲓ	e s x a ɪ̯
ⲥϧⲁⲓ	ə s x a i̯
ⲥⲁ	s a ʔ
ⲥⲁϣϥ	ʃ a ʃ f
ⲥⲁϧ	s a x
ⲥⲁϧⲙⲓ	s a x m ə
ⲥⲁϫⲓ	s a d͡ʒ i
ⲥⲁϫⲓ	s a ʔ t͡ʃ ə
ⲥⲁϫⲓ	s a ʔ ɟ a
ⲥⲁⲑⲉⲣⲓ	s a d a ʔ ɾ a
ⲥⲁⲑⲉⲣⲓ	s a tʰ e ʔ ɾ ə
ⲥⲁⲑⲉⲣⲓ	s a θ e r i
ⲥⲁⲕ	s a k
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a r a t͡ʃ o u ʃ
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a ɾ a kʲ oː w ʃ
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a ɾ a t͡ʃʰ oː w ʃ
ⲥⲁⲣⲁϭⲱⲟⲩϣ	s a ɾ a ʃ u w ʃ
ⲥⲁⲣⲁⲕⲱϯ	s a ɾ a kʼ oː t ə
ⲥⲁⲣⲁⲡⲓⲥ	s a ɾ a p iː s
ⲥⲁⲣⲡⲱⲧ	s a ɾ p oː t
ⲥⲁⲧⲉⲉⲣⲉ	s a t e ʔ ɾ ə
ⲥⲁⲩ	s a w
ⲥⲁⲭⲙⲓ	s a k h m iː
ⲥⲁⳉϥ	ʃ a x f
ⲥⲃⲱ	a s w u
ⲥⲃⲱ	e s v o
ⲥⲃⲱ	ə s β oː ʔ
ⲥⲉ	s i
ⲥⲉϩ	s e h
ⲥⲉⲣⲁⲡⲓⲥ	s ɛ ɾ a p iː s
ⲥⲏ	s ɛː
ⲥⲏⲓⲛⲓ	s æ j n i
ⲥⲑⲟⲓ	a s d u i̯
ⲥⲑⲟⲓ	e s θ o ɪ̯
ⲥⲑⲟⲓ	ə s tʰ o i̯
ⲥⲓϯ	s iː t ə
ⲥⲓⲙ	s iː m
ⲥⲓⲧⲉ	s iː t ə
ⲥⲓⲱⲟⲩⲛⲓ	ə s j oː u̯ n ə
ⲥⲓⲱⲟⲩⲧ	sʲ oː w t
ⲥⲛⲁϥ	s n a f
ⲥⲛⲁⲩ	e s n a v
ⲥⲛⲁⲩ	s n a w
ⲥⲛⲉⲩ	s n e w
ⲥⲛⲟϥ	s n ɔ f
ⲥⲟⲃϯ	s o β t ə
ⲥⲟⲕ	s o k
ⲥⲟⲟⲩ	s o u
ⲥⲟⲟⲩ	s o w
ⲥⲟⲟⲩ	s u w
ⲥⲟⲣⲧ	s ɔ r t
ⲥⲭⲟⲗⲏ	s kʰ o l eː
ⲥⲭⲟⲗⲏ	s kʰ o l ɛː
ⲥⲱⲃⲉ	s oː β ə
ⲥⲱⲃⲓ	s oː β ə
ⲥⲱⲛⲓ	s o n i
ⲥⲱⲛⲓ	s oː n ə
ⲥⲱⲛⲓ	s u n a
ⲥⲱⲧⲉⲙ	s oː t ə m
ⲥⲱⲧⲙ	s oː t ə m
ⲥⲱⲧⲙⲉ	s o t m ɛ
ⲧⲁⲛⲧⲁⲑⲟ	t a n t a tʰ o
ⲧⲁⲩ	t a u̯
ⲧⲃⲛⲏ	t ə β n eː ʔ
ⲧⲏ	t eː
ⲧⲏⲃ	tʼ eː b
ⲧⲏⲏⲃⲉ	t eː ʔ β ə
ⲧⲏⲩ	t eː w
ⲧⲓⲟⲩ	d i w
ⲧⲓⲟⲩ	t i u
ⲧⲓⲟⲩ	tʼ iː w
ⲧⲟ	t o
ⲧⲟⲟⲩ	t o u̯
ⲧⲟⲟⲩⲧⲉ	t o w t ə
ⲧⲟⲩⲃⲟ	d u w u ʔ
ⲧⲟⲩⲃⲟ	t uː β o ʔ
ⲧⲱⲃⲉ	t oː β ə
ⲧⲱⲃⲓ	d oː β i , d oː w i
ⲧⲱⲃⲓ	t oː β ə
ⲧⲱⲟⲩ	tʼ oː u̯
ⲧⲱⲣⲓ	d u ɾ a
ⲧⲱⲣⲓ	t o r i
ⲧⲱⲣⲓ	tʼ oː ɾ ə
ⲫⲁⲓ	pʰ a i̯
ⲫⲁⲛⲟⲥ	p h a n o s
ⲫⲉ	b a ʔ
ⲫⲉ	f e
ⲫⲉ	pʰ e ʔ
ⲫⲓϯ	b i d a
ⲫⲓϯ	f i t i
ⲫⲓϯ	pʰ iː t ə
ⲫⲓⲃ	pʰ iː b
ⲫⲓⲃ	ʔ ə p h iː β
ⲫⲓⲗⲟⲥⲟⲫⲓⲁ	pʰ i l o s o pʰ i a
ⲫⲓⲛ	pʰ iː n
ⲫⲓⲥⲓ	b i s a
ⲫⲓⲥⲓ	f i s i
ⲫⲓⲥⲓ	pʰ iː s ə
ⲫⲟⲓⲃⲁⲙⲙⲱⲛ	b i f a m m ɔ n
ⲫⲟⲓⲃⲁⲙⲙⲱⲛ	pʰ o j β a m m ɔ n
ⲫⲟⲣϣⲓ	b u r ʃ a
ⲫⲟⲣϣⲓ	f o r ʃ i
ⲫⲟⲣϣⲓ	pʰ o ɾ ʃ ə
ⲭⲁⲕⲓ	kʰ a k i
ⲭⲁⲙⲉ	k a m a ʔ
ⲭⲁⲙⲉ	k a m e
ⲭⲁⲙⲉ	kʰ a m e ʔ
ⲭⲏⲙⲓ	k i m i
ⲭⲏⲙⲓ	k iː m i
ⲭⲏⲙⲓ	k ɪ m i
ⲭⲏⲙⲓ	kʰ eː m ə
ⲭⲓⲙⲁⲣⲣⲁⲓⲥ	kʰ i m a r a i s
ⲭⲣⲩⲥⲁⲱⲣ	kʰ r u s a ɔː r
ⲭⲱ	k o
ⲭⲱ	k u ʔ
ⲭⲱ	kʰ oː ʔ
ⲯⲁϯ	p s a ʔ t ə
ⲯⲁⲧⲉ	p s a ʔ t ə
ⲯⲓⲧ	b s i t
ⲯⲓⲧ	e p s i t
ⲯⲓⲧ	p s iː t
ⲱⲓⲕ	o ɪ̯ k
ⲱⲓⲕ	oː i̯ k
ⲱⲓⲕ	u i̯ k
ⲱⲛϧ	oː n ə x
ⲱⲟⲩ	oː w
