־יה	i ɟ ɟ ɔː
עבד	a v a d
עבד	e v e d
עבד	e͡i v ɛ ɾ
עבד	o v ə ɾ
עבד	ʔ a v a d
עבד	ʕ a v a ð
עבד	ʕ a β a ð
עבד	ʕ e v e ð
עבד	ʕ e β e ð
עבד	ʕ æ v æ ð
עבד	ʕ ɔ v æ ð
עבד	ʕ ɔː v aː a ð
עבד	ʕ ɔː v aː ð
עבד	ʕ ɛː v ɛ ð
עבודה	a v e͡i d ɔ
עבודה	a v o͡i d u
עבודה	a v ø͡i d u
עבודה	ŋ a v o d ä
עבודה	ə v a͡u d ɔ
עבודה	ə v o͡u d ə
עבודה	ʔ a v o d ä
עבודה	ʕ a v oː ð äː
עבודה	ʕ a v oː ð ɔː
עבודה	ʕ a β oː ð äː
עבודה	ʕ æ v øː ð ɔː
עברי	ʕ i v r iː
עברי	ʕ i v ʀ iː
עברית	ʕ i v r iː θ
עברית	ʕ i v ʀ iː θ
עברית	ʕ i β r iː θ
עגבת	ä ɡ e̞ v e̞ t
עגבת	ʕ a ɡ ɡ ɛː v ɛ θ
עדשה	ʕ a ð ɔː ʃ ɔː
עדשה	ʕ æ ð ɔː ʃ ɔː
עולם	ʕ eː l ɔː m
עולם	ʕ oː l ɔː m
עולם	ʕ øː l ɔː m
עומר	ʕ oː m ɛ ʀ̟
עונש	ʕ eː n æ ʃ
עונש	ʕ oː n ɛ ʃ
עונש	ʕ øː n æ ʃ
עורב	ʕ oː ʀ̟ eː e v
עזה	a z a
עזה	ŋ a z a
עזה	ʔ a z a
עטיפה	ʕ ɑ tˤ iː f ɔː
עטרה	ʕ ɑ tˤ ɔː ʀ̟ ɔː
עיט	ʕ a j i θ
עיט	ʕ aː j i θ
עייף	ʕ aː j a ɸ
עייף	ʕ aː j e ɸ
עייף	ʕ e j j e ɸ
עייף	ʕ i j j eː f
עייף	ʕ i ɟ ɟ eː f
עייף	ʕ ɔː j aː f
עייף	ʕ ɔː j eː f
עייף	ʕ ɔː j æː f
עייפות	ʕ a j e ɸ uː θ
עייפות	ʕ aː j eː f uː θ
עייפות	ʕ æː j eː f uː θ
עין	ʕ a j i n
עין	ʕ aː j i n
עיר	ʕ iː ʀ̟
על	ŋ a l
על	ʔ ä l
על	ʔ ɑ ɫ
על	ʕ a l
על	ʕ æ l
עלינו	u l a j n i
עם	ʕ a m
עם	ʕ aː m
עם	ʕ i m
עם	ʕ æ m
עמורה	ʔ eː m i r r æˑ
עמורה	ʕ a m oː ʀ ɔː
עמורה	ʕ æ m eː r ɔː
עמורה	ʕ æ m øː r ɔː
עמק	ʕ e m æ q
עמק	ʕ eː m ɛ q
עץ	ŋ e s
עץ	ʕ eː sˤ
עצם	ŋ e t͡s e m
עצם	ʕ ɛː sˤ ɛ m
עקרב	ʕ a q r ɔː v
עקרב	ʕ a q ʀ ɔː ɔ v
ערב	ʕ ɛː ʀ̟ ɛ v
ערוה	ʕ ɛ ʀ v ɔː
ערך	ʕ aː r a x
ערך	ʕ eː r æ χ
ערך	ʕ eː ʀ ɛ χ
ערך	ʕ ɔː r æː χ
ערך	ʕ ɔː ʀ aː χ
ערפל	ʕ a ʀ ɔː f ɛː l
ערש	ʕ æː r æ s
ערש	ʕ ɛː ʀ ɛ s
עשה	ŋ a s a
עשה	ʕ ɔː s ɔː ɔ
עשור	ʕ aː s oː r
עשור	ʕ ɔː s oː ʀ̟
עשר	ʕ æː s æ r
עשר	ʕ ɒː ʃ ɒ r
עשר	ʕ ɔ s ɔː r
עשר	ʕ ɔː s ɔː r
עשר	ʕ ɔˑ s ɔː ɔ rˤ
עשר	ʕ ɛː s ɛ rˤ
עשרה	ʕ a s ɔˑ ʀ ɔː
עשרה	ʕ æ s r eː
עשרה	ʕ æ s ɔ r ɔː
עשרה	ʕ æ s ɔː r ɔː
עשרה	ʕ ɒː ʃ ɒː r ɒˑ
עשרה	ʕ ɛ s rˤ eː
עת	ʕ eː e θ
עת	ʕ eː θ
פליט	pʰ aː l iː tˤ
פלשת	pʰ a l ɛː ʃ ɛ θ
פלשת	pʰ æ l æː ʃ æ θ
פלשתינה	pʰ ɔː l æ s tʰ iː n ɔː
פלשתינה	pʰ ɔː l ɛ s tʰ iː n ɔː
פן	f e̞ n
פן	p e̞ n
פן	p ä n
פרי	p ə̆ r iː
פרי	pʰ a ʀ iː
פרעה	p a r ʕ oː
פרעה	pʰ a ʀ ʕ oː
פרצוף	pʰ a r sˤ uː f
פרצוף	pʰ a ʀ sˤ uː f
פשר	pʰ eː ʃ æ r
פשר	pʰ eː ʃ ɛ ʀ
צאל	sˤ ĕ ʔ eː l
צאן	sˤ oː n
צבי	sˤ a v iː
צבי	sˤ ɑ v iː
צבע	t͡s e̞ v ä
צבע	t͡s e̞ v ä ʕ
צדע	t͡s ɛ d a ŋ
צדק	t͡s e d ə k
צחוק	s e h o ʁ
צחוק	sˤ e ħ eː q
צחוק	sˤ e ħ eː ɡ
צחוק	sˤ o ħ oː q
צחוק	sˤ ø ħ øː ɡ
צחק	s ɑ h a ɢ
צחק	s ɒ h æ ʁ
צחק	sʶ a ħ a q
צחק	sʶ ɔː ħ a q
צחק	sʶ ɔː ħ a ɡ
צחק	sˤ a ħ a kˤ
צחק	t͡sˤ a ħ a kˤ
ציון	s i j o n
ציון	sˤ i ɟ ɟ oː n
ציון	sˤ iˑ j oː n
ציון	sˤ iˑ j øː n
ציון	t͡s i j o ɪ n
צל	sˤ eː l
צמח	s e̞ m ä ħ
צמח	sˤ æː m æ ħ
צמח	sˤ ɛː m a ħ
צריך	sˤ aː r i x
צרפת	sˤ ɔː r æ f æː θ
צרפת	sˤ ɔː ʀ f aː θ
צ׳וצ׳ה	t͡ʃ u t͡ʃ e̞
צ׳וצ׳ה	t͡ʃ u t͡ʃ ä
צ׳חלה	t͡ʃ ä ʀ̥ l ä
צ׳חלות	t͡ʃ ä ʀ̥ l o̞ t
צ׳חלת	t͡ʃ ä ʀ̥ l ä t
קבוט	k ä v u t
קבוט	q ɔː v uː tˤ
קדום	q aː ð uː m
קדום	q ɔː ð uː m
קדשה	q ĕ ð eː ʃ ɔː
קדשה	q ŭ ð u ʃ ʃ ɔː
קדשה	ɡ d e̞ ʃ ä
קדשה	ɡ d u ʃ ä
קו	q aː v
קו	q æː w
קו	ɡ æː w
קו	ʁ æ v
קוד	q eː ð
קוד	q oː ð
קוד	ɡ eː ð
קוד	ɡ øː ð
קוד	ʁ o d
קול	q oː l
קול	ʔ oː l
קולונל	k o̞ l o̞ n e̞ l
קולונלים	k o̞ l o̞ n e̞ l i m
קומוס	k o̞ m o̞ s
קומוס	q oː m o s
קומי	k o̞ m e̞
קומי	k o̞ m e̞ j
קומי	k o̞ m i
קומי	k u m i
קומי	q oː m eː
קומי	q uː m iː
קומיס	k o̞ m e̞ s
קומיס	q oː m e s
קוממיות	q oː m ə m i j j uː θ
קוממיות	q oː m ə m iː j j uː θ
קוף	q oː f
קור	q eː r
קור	q oː ʀ
קור	q uː r
קור	q uː ʀ
קור	ɡ eː r
קור	ɡ uː r
קור	ɡ øː r
קור	ʁ o r
קור	ʁ u r
קורנס	k u ʁ̞ n ä s
קורנס	q u rˤ n ɔː s
קיים	q a ɟ ɟ eː m
קיים	q a ɟ ɟ ɔː m
קיים	q i j j eː m
קיים	q æ j j ɔː m
קלה	q̟ ɑ l l ɔː
קן	q eː n
קן	ɡ eː n
קעקע	q a ʕ ă q a ʕ
קעקע	q aː ʕ a q aː ʕ
קר	q aː ʀ
קר	q æː r
קר	ɡ æː r
קר	ʁ æ r
קרא	q ɔː r ɔː
קרא	q ɔː ʀ ɔː
קרא	ɡ ɔː r ɔː
קרא	ʁ ɒ r ɒ
קרה	q ɔː r ɔː
קרה	q ɔː ʀ ɔː
קרה	ɡ ɔː r ɔː
קרה	ʁ ɒ r ɒ
קרח	q ɛː ʀ̟ a ħ
קרע	q ɔː r æː ʕ
קרע	q ɔː ʀ aː ʕ
קשת	k e ʃ e θ
קשת	ʔ e ʃ e t
רבקה	r i b k a
רבקה	r i b k aː
רבקה	r i b ʔ a
רבקה	r i f k ɔ
רבקה	r i β k a
רבקה	r i β k aː
רבקה	ʁ i f k a
רבקה	ʁ i f k ɔ
רגל	r e ʁ e l
רגל	r æː ʁ æ l
רגל	ʀ ɛː ʁ ɛ l
רגם	r ɔː ʁ aː m
רגם	ʀ ɔː ʁ aː m
רוח	r i a χ
רוח	ʀ̟ uː w a ħ
רוחב	r eː ħ æ v
רוחב	r øː ħ æ v
רוחב	ʀ oː ħ a v
רושם	r eː ʃ æ m
רושם	r øː ʃ æ m
רושם	ʀ oː ʃ ɛ m
רחוק	r ɔ ħ eː q
רחוק	r ɔ ħ øː ɡ
רחוק	r ɔː ħ eː q
רחוק	r ɔː ħ øː ɡ
רחוק	ʀ ɔˑ ħ oː o q
רחל	r ɔ ħ eː l
רחל	r ɔː ħ eː l
רחל	ʀ ɔˑ ħ eː e l
ריח	ʀ̟ eː j ä ħ
ריקע	r i q q e j j æ ʕ
ריקע	r i q q eː j æ ʕ
ריקע	r i ɡ ɡ e j j æ ʕ
ריקע	r i ɡ ɡ eː j æ ʕ
ריקע	r i ʁ ʁ e j j æ
ריקע	ʀ i q q e j j a ʕ
ריקע	ʀ i q q e ɟ ɟ a ʕ
ריקע	ʀ i q q eː a ʕ
ריקע	ʀ i q q eː j a ʕ
רכב	ʀ̟ ɛː χ ɛ v
רע	r æː ʕ
רע	ʀ aː a ʕ
רעש	r æː ʕ æ ʃ
רעש	r ɔː ʕ æː ʃ
רעש	ʀ aː ʕ a ʃ
רעש	ʀ ɔː ʕ aː ʃ
רצה	r ɔː s̴ ɔː
רצה	ʀ̟ ɔː sˤ ɔː
רקיע	r ɒ ʁ i j j æ
רקיע	r ɔː q i j j æ ʕ
רקיע	r ɔː q iː j æ ʕ
רקיע	r ɔː ɡ i j j æ ʕ
רקיע	r ɔː ɡ iː j æ ʕ
רקיע	ʀ ɔː q i j j a ʕ
רקיע	ʀ ɔː q i ɟ ɟ a ʕ
רקיע	ʀ ɔː q iː a ʕ
רקיע	ʀ ɔː q iː j a ʕ
רקע	r e ʁ æ
רקע	r æː q æ ʕ
רקע	r æː ɡ æ ʕ
רקע	r ɒ ʁ æ
רקע	r ɔː q æː ʕ
רקע	r ɔː ɡ æː ʕ
רקע	ʀ ɔː q aː ʕ
רקע	ʀ ɛː q a ʕ
רשם	r ɔː ʃ æː m
רשם	ʀ ɔː ʃ aː m
שאלה	ʃ ä ʔ eː l ɔː
שבוע	ʃ ɔː v u w w a ʕ
שבוע	ʃ ɔː v uː a ʕ
שבט	ʃ a v ɔː ɔ tˤ
שבט	ʃ eː v ɑ tˤ
שבט	ʃ eː v ɛ tˤ
שבט	ʃ æ v ɔː tˤ
שבע	ʃ æː v æ ʕ
שבע	ʃ ɒː b æˑ
שבע	ʃ ɛː v a ʕ
שבעה	ʃ i v ʕ ɔː
שבעה	ʃ ɒː b æː æˑ
שבת	ʃ a b b ɔː θ
שבת	ʃ e β eː θ
שבת	ʃ e̞ v e̞ tʰ
שבת	ʃ ɛː v ɛː ɛ θ
שבת	ʃ ɛː v ɛː θ
שדה	s ɔː ð æː
שדה	s ɔː ð ɛː
שדה	ɬ aː ð ɛː
שהר	s aː h a ʀ
שהר	s ä ä ɾ
שהר	s ä ä ʁ̞
שהר	s ä ʁ̞
שהר	s äː ʁ̞
שהר	s æ h æ r
שהר	s æ h æː r
שהר	s æː h æ r
שהר	s æː h æː r
שוטף	ʃ eː tˤ eː f
שוטף	ʃ oː tˤ eː f
שוטף	ʃ øː tˤ eː f
שולחן	ʃ u l ħ aː n
שולחן	ʃ u l ħ ɔː n
שומר	ʃ eː m eː r
שומר	ʃ oː m eː ʀ
שומר	ʃ u m m aː ʀ
שומר	ʃ u m m æː r
שומר	ʃ u m m ɔː r
שומר	ʃ u m m ɔː ʀ
שומר	ʃ øː m eː r
שועל	ʃ uː ʕ ɔː l
שורש	ʃ oː ʀ̟ ɛ ʃ
שחק	s ɒ h æ ʁ
שחק	s ɔː ħ a q
שחק	s ɔː ħ a ɡ
שחק	ɬ a ħ a kˤ
שחר	ʃ a ħ a r
שיהיה	ʃ ɛ j e
שיהיה	ʃ ɛ ɪ̯ j e
שייר	ʃ i j ɔː r
שייר	ʃ i j ɔː ʀ
שיר	ʃ iː r
שיר	ʃ iː ʀ
שישה	ʃ i ʃ ʃ æˑ
שישה	ʃ i ʃ ʃ ɔː
שכל	s eː χ æ l
שכל	s eː χ ɛ l
שלום	ʃ aː l oː m
שלום	ʃ ɔː l oː m
שלוש	ʃ eː l ɒ ʃ
שלוש	ʃ ɔ l eː ʃ
שלוש	ʃ ɔ l øː ʃ
שלוש	ʃ ɔː l eː ʃ
שלוש	ʃ ɔː l øː ʃ
שלוש	ʃ ɔˑ l oː o ʃ
שלושה	ʃ a l oˑ ʃ ɔː
שלושה	ʃ eː l ɒː ʃ æˑ
שלושה	ʃ æ l e ʃ ɔː
שלושה	ʃ æ l eː ʃ ɔː
שלושה	ʃ æ l ø ʃ ɔː
שלושה	ʃ æ l øː ʃ ɔː
שמונה	ʃ a m oˑ n ɔː
שמונה	ʃ æ m e n ɔː
שמונה	ʃ æ m eː n ɔː
שמונה	ʃ æ m ø n ɔː
שמונה	ʃ æ m øː n ɔː
שמונה	ʃ ɒː m ɒː n æˑ
שמים	ʃ ɔː m aː j i m
שמים	ʃ ɔː m æː j i m
שמע	ʃ a m aː a ʕ
שמע	ʃ eː m a ʕ
שמע	ʃ eː m æ ʕ
שמע	ʃ æ m æː ʕ
שמע	ʃ ɔ m aː ʕ
שמע	ʃ ɔː m aː ʕ
שמע	ʃ ɔˑ m aː a ʕ
שמש	ʃ ɛː m ɛ ʃ
שן	ʃ eː e n
שן	ʃ eː n
שנה	ʃ ɔː n ɔː
שניים	ʃ a n aː j i m
שניים	ʃ eː n ə m
שניים	ʃ æ n æː j i m
שנער	ʃ i n ʕ ɔː r
שנער	ʃ i n ʕ ɔː ʀ
שעה	ʃ ɔː ʕ ɔː
שפחה	ʃ ɪ f χ ə
שפם	s aː f aː m
שפם	s ɔː f ɔː m
שקר	ʃ e k e ʁ
שקר	ʃ e ʔ e r
שרונה	ʃ ä ʁ̞ o̞ n ä
שש	ʃ eː e ʃ
שש	ʃ eː ʃ
שש	ʃ æ ʃ
שתיים	ʃ a tʰ aː j iː m
שתיים	ʃ i tʰ tʰ a j m
שתיים	ʃ i tʰ tʰ ə m
שתיים	ʃ t a j m
שתיים	ʃ tʰ a i m
שתיים	ʃ tʰ a j i m
שתיים	ʃ tʰ aː j iː m
שתיים	ʔ ɛ ʃ t a j m
שתיים	ʔ ɛ ʃ tʰ aː j iː m
שתיים	ʔ ɛ ʃ tʰ æ j i m
תאום	tʰ e ʔ eː m
תאום	tʰ o ʔ oː m
תאום	tʰ ø ʔ øː m
תאומים	tʰ e ʔ eː m iː m
תאומים	tʰ o ʔ oː m iː m
תאומים	tʰ ø ʔ øː m iː m
תום	tʰ eː m
תום	tʰ oː m
תום	tʰ øː m
תורה	tʰ eː r ɔː
תורה	tʰ oː ʀ ɔː
תורה	tʰ øː r ɔː
תזוזה	d͡z u z a
תחת	t a x ə s
תיש	tʰ aː j i ʃ
תיש	tʰ æː j i ʃ
תלמוד	tʰ a l m uː ð
תלמוד	tʰ æ l m uː ð
תלתל	t a l t aː l
תלתל	t a l t eː l
תלתל	t æ l t æː l
תמה	tʰ eː m a h
תמה	tʰ eː m æ h
תעופה	tʰ u ʕ uː f ɔː
תפארת	t i f ʔ ɛ r ɛ θ
תפוח	t a pː uː w a ħ
תקנה	t a k u n u
תקנה	t æ ʁ ɒ n ɒ
תקנה	t æː ɡ ɡ ɔː n ɔː
תשע	t i ʃ ʃ æˑ
תשע	tʰ eː ʃ a ʕ
תשע	tʰ eː ʃ æ ʕ
תשעה	t i ʃ ʃ æː æˑ
תשעה	tʰ i ʃ ʕ ɔː
