ア	a̠
キャパオーバー	kʲ a̠ p a̠ o̞ː b a̠ː
キャパシタ	kʲ a̠ p a̠ ɕ i̥ t a̠
キャビア	kʲ a̠ bʲ i a̠
キャミ	kʲ a̠ mʲ i
キャラ	kʲ a̠ ɾ a̠
キャラソン	kʲ a̠ ɾ a̠ s õ̞ ɴ
キャラデザ	kʲ a̠ ɾ a̠ d e̞ z a̠
キャラバン	kʲ a̠ ɾ a̠ b ã̠ ɴ
キャリア	kʲ a̠ ɾʲ i a̠
キャン	kʲ ã̠ ɴ
キャンデー	kʲ ã̠ n d e̞ː
キャンベラ	kʲ ã̠ m b e̞ ɾ a̠
キョ	kʲ o̞
キョンシー	kʲ õ̞ ɰ̃ ɕ iː
キラー	kʲ i ɾ a̠ː
キリシタン	kʲ i ɾʲ i ɕ i t ã̠ ɴ
キロ	kʲ i ɾ o̞
キロカロリー	kʲ i ɾ o̞ k a̠ ɾ o̞ ɾʲ iː
キロビット	kʲ i ɾ o̞ bʲ i t̚ t o̞
キンキ	kʲ ĩ ŋʲ kʲ i
キンセアニェーラ	kʲ ĩ ɰ̃ s e̞ a̠ ɲ̟ e̞ː ɾ a̠
キンパ	kʲ ĩ m p a̠
キー	kʲ iː
キーセン	kʲ iː s ẽ̞ ɴ
キーバインド	kʲ iː b a̠ ĩ n d o̞
キーパーソン	kʲ iː p a̠ː s õ̞ ɴ
キーボード	kʲ iː b o̞ː d o̞
キーマン	kʲ iː m ã̠ ɴ
ギ	ɡʲ i
ギア	ɡʲ i a̠
ギェ	ɡʲ e̞
ギガ	ɡʲ i ɡ a̠
ギガビット	ɡʲ i ɡ a̠ bʲ i t̚ t o̞
ギシギシアンアン	ɡʲ i ɕ i ɡʲ i ɕ i ã̠ ɰ̃ ã̠ ɴ
ギター	ɡʲ i t a̠ː
ギニア	ɡʲ i ɲ̟ i a̠
ギビバイト	ɡʲ i bʲ i b a̠ i t o̞
ギビビット	ɡʲ i bʲ i bʲ i t̚ t o̞
ギャ	ɡʲ a̠
ギャバ	ɡʲ a̠ b a̠
ギャバジン	ɡʲ a̠ b a̠ ʑ ĩ ɴ
ギャラ	ɡʲ a̠ ɾ a̠
ギャラリー	ɡʲ a̠ ɾ a̠ ɾʲ iː
ギョ	ɡʲ o̞
ギヨチン	ɡʲ i j o̞ t͡ɕ ĩ ɴ
ギリシア	ɡʲ i ɾʲ i ɕ i a̠
ギリシャ	ɡʲ i ɾʲ i ɕ a̠
ギロチン	ɡʲ i ɾ o̞ t͡ɕ ĩ ɴ
ギー	ɡʲ iː
ク゚	ŋ ɯ̟ᵝ
ク゚ヮ	ŋ ɰᵝ a̠
ケ	k e̞
ケ゚	ŋ e̞
ケア	k e̞ a̠
ケイ	k e̞ i
ケセラセラ	k e̞ s e̞ ɾ a̠ s e̞ ɾ a̠
ケッタ	k e̞ t̚ t a̠
ケッパー	k e̞ p̚ p a̠ː
ケトン	k e̞ t õ̞ ɴ
ケナーフェ	k e̞ n a̠ː ɸ e̞
ケニア	k e̞ ɲ̟ i a̠
ケミ	k e̞ mʲ i
ケモナー	k e̞ m o̞ n a̠ː
ケモノ	k e̞ m o̞ n o̞
ケラチン	k e̞ ɾ a̠ t͡ɕ ĩ ɴ
ケラヴァ	k e̞ ɾ a̠ b a̠
ケレド	k e̞ ɾ e̞ d o̞
ケロイド	k e̞ ɾ o̞ i d o̞
ケン	k ẽ̞ ɴ
ケンタッキー	k ẽ̞ n t a̠ k̚ʲ kʲ iː
ケント	k ẽ̞ n t o̞
ケー	k e̞ː
ケーキ	k e̞ː kʲ i
ケージ	k e̞ː ʑ i
ケージービー	k e̞ː ʑ iː bʲ iː
ゲ	ɡ e̞
ゲイ	ɡ e̞ i
ゲイバー	ɡ e̞ i b a̠ː
ゲェジ	ɡ e̞ː ʑ i
ゲット	ɡ e̞ t̚ t o̞
ゲットー	ɡ e̞ t̚ t o̞ː
ゲニピン	ɡ e̞ ɲ̟ i pʲ ĩ ɴ
ゲラ	ɡ e̞ ɾ a̠
ゲリマンダー	ɡ e̞ ɾʲ i m ã̠ n d a̠ː
ゲリラ	ɡ e̞ ɾʲ i ɾ a̠
ゲレンデ	ɡ e̞ ɾ ẽ̞ n d e̞
ゲロゲロ	ɡ e̞ ɾ o̞ ɡ e̞ ɾ o̞
ゲーセン	ɡ e̞ː s ẽ̞ ɴ
ゲート	ɡ e̞ː t o̞
ゲーマー	ɡ e̞ː m a̠ː
コ	k o̞
コ゚	ŋ o̞
コア	k o̞ a̠
コアラ	k o̞ a̠ ɾ a̠
コイン	k o̞ ĩ ɴ
コインパ	k o̞ ĩ m p a̠
コウタイ	k o̞ː t a̠ i
コカイン	k o̞ k a̠ ĩ ɴ
コカコーラ	k o̞ k a̠ k o̞ː ɾ a̠
コケコッコー	k o̞ k e̞ k o̞ k̚ k o̞ː
ココア	k o̞ k o̞ a̠
コサイン	k o̞ s a̠ ĩ ɴ
コシャリ	k o̞ ɕ a̠ ɾʲ i
コセカント	k o̞ s e̞ k ã̠ n t o̞
コタンジェント	k o̞ t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
コッチョリ	k o̞ t̚ t͡ɕ o̞ ɾʲ i
コットン	k o̞ t̚ t õ̞ ɴ
コッペパン	k o̞ p̚ p e̞ p ã̠ ɴ
コテ	k o̞ t e̞
コナン	k o̞ n ã̠ ɴ
コネ	k o̞ n e̞
コネチカット	k o̞ n e̞ t͡ɕ i k a̠ t̚ t o̞
コピペ	k o̞ pʲ i p e̞
コピー	k o̞ pʲ iː
コボラー	k o̞ b o̞ ɾ a̠ː
コマ	k o̞ m a̠
コマソン	k o̞ m a̠ s õ̞ ɴ
コマンド	k o̞ m ã̠ n d o̞
コミ	k o̞ mʲ i
コミッショナー	k o̞ mʲ i ɕː o̞ n a̠ː
コミッション	k o̞ mʲ i ɕː õ̞ ɴ
コメ	k o̞ m e̞
コメコン	k o̞ m e̞ k õ̞ ɴ
コメンテーター	k o̞ m ẽ̞ n t e̞ː t a̠ː
コメント	k o̞ m ẽ̞ n t o̞
コモロ	k o̞ m o̞ ɾ o̞
コヨーテ	k o̞ j o̞ː t e̞
コラット	k o̞ ɾ a̠ t̚ t o̞
コラボ	k o̞ ɾ a̠ b o̞
コラボレーション	k o̞ ɾ a̠ b o̞ ɾ e̞ː ɕ õ̞ ɴ
コラーゲン	k o̞ ɾ a̠ː ɡ ẽ̞ ɴ
コリアンダー	k o̞ ɾʲ i ã̠ n d a̠ː
コリン	k o̞ ɾʲ ĩ ɴ
コレラ	k o̞ ɾ e̞ ɾ a̠
コロケーション	k o̞ ɾ o̞ k e̞ː ɕ õ̞ ɴ
コロッケ	k o̞ ɾ o̞ k̚ k e̞
コロナ	k o̞ ɾ o̞ n a̠
コロニー	k o̞ ɾ o̞ ɲ̟ iː
コロネ	k o̞ ɾ o̞ n e̞
コロネット	k o̞ ɾ o̞ n e̞ t̚ t o̞
コロポン	k o̞ ɾ o̞ p õ̞ ɴ
コロラド	k o̞ ɾ o̞ ɾ a̠ d o̞
コロン	k o̞ ɾ õ̞ ɴ
コロンビア	k o̞ ɾ õ̞ m bʲ i a̠
コロンボ	k o̞ ɾ õ̞ m b o̞
コローナイ	k o̞ ɾ o̞ː n a̠ i
コンカフェ	k õ̞ ŋ k a̠ ɸ e̞
コンキリエ	k õ̞ ŋʲ kʲ i ɾʲ i e̞
コンゴ	k õ̞ ŋ ɡ o̞
コンサバ	k õ̞ ɰ̃ s a̠ b a̠
コンサート	k õ̞ ɰ̃ s a̠ː t o̞
コンセント	k õ̞ ɰ̃ s ẽ̞ n t o̞
コンセントレーション	k õ̞ ɰ̃ s ẽ̞ n t o̞ ɾ e̞ː ɕ õ̞ ɴ
コンソメ	k õ̞ ɰ̃ s o̞ m e̞
コンタミ	k õ̞ n t a̠ mʲ i
コンタミネーション	k õ̞ n t a̠ mʲ i n e̞ː ɕ õ̞ ɴ
コンダラ	k õ̞ n d a̠ ɾ a̠
コンテ	k õ̞ n t e̞
コンテナ	k õ̞ n t e̞ n a̠
コンデジ	k õ̞ n d e̞ ʑ i
コンデンサ	k õ̞ n d ẽ̞ ɰ̃ s a̠
コント	k õ̞ n t o̞
コンパ	k õ̞ m p a̠
コンビ	k õ̞ m bʲ i
コンビニ	k õ̞ m bʲ i ɲ̟ i
コンビニエント	k õ̞ m bʲ i ɲ̟ i ẽ̞ n t o̞
コンビネーション	k õ̞ m bʲ i n e̞ː ɕ õ̞ ɴ
コンピ	k õ̞ m pʲ i
コンピレーション	k õ̞ m pʲ i ɾ e̞ː ɕ õ̞ ɴ
コンボ	k õ̞ m b o̞
コンポジション	k õ̞ m p o̞ ʑ i ɕ õ̞ ɴ
コンポタ	k õ̞ m p o̞ t a̠
コンポーザー	k õ̞ m p o̞ː z a̠ː
コンポーネント	k õ̞ m p o̞ː n ẽ̞ n t o̞
コンマ	k õ̞ mː a̠
コーカソイド	k o̞ː k a̠ s o̞ i d o̞
コーカンド	k o̞ː k ã̠ n d o̞
コーダ	k o̞ː d a̠
コーダー	k o̞ː d a̠ː
コーチ	k o̞ː t͡ɕ i
コーチシナ	k o̞ː t͡ɕ i ɕ i n a̠
コーデ	k o̞ː d e̞
コート	k o̞ː t o̞
コード	k o̞ː d o̞
コーナー	k o̞ː n a̠ː
コーヒー	k o̞ː ç iː
コーヒーメーカー	k o̞ː ç iː m e̞ː k a̠ː
コーラ	k o̞ː ɾ a̠
コーラン	k o̞ː ɾ ã̠ ɴ
コーリャン	k o̞ː ɾʲ ã̠ ɴ
ゴ	ɡ o̞
ゴア	ɡ o̞ a̠
ゴジラ	ɡ o̞ ʑ i ɾ a̠
ゴミ	ɡ o̞ mʲ i
ゴミパンダ	ɡ o̞ mʲ i p ã̠ n d a̠
ゴリアテ	ɡ o̞ ɾʲ i a̠ t e̞
ゴリラ	ɡ o̞ ɾʲ i ɾ a̠
ゴンドラ	ɡ õ̞ n d o̞ ɾ a̠
ゴー	ɡ o̞ː
ゴーギャン	ɡ o̞ː ɡʲ ã̠ ɴ
ゴードン	ɡ o̞ː d õ̞ ɴ
ゴーヤ	ɡ o̞ː j a̠
ゴーヤー	ɡ o̞ː j a̠ː
サ	s a̠
サ゚	t͡s a̠
サイイド	s a̠ i i d o̞
サイキッカー	s a̠ i kʲ i k̚ k a̠ː
サイケ	s a̠ i k e̞
サイコ	s a̠ i k o̞
サイコロジー	s a̠ i k o̞ ɾ o̞ ʑ iː
サイゴン	s a̠ i ɡ õ̞ ɴ
サイダー	s a̠ i d a̠ː
サイチェン	s a̠ i t͡ɕ ẽ̞ ɴ
サイト	s a̠ i t o̞
サイド	s a̠ i d o̞
サイドバー	s a̠ i d o̞ b a̠ː
サイパン	s a̠ i p ã̠ ɴ
サイフォン	s a̠ i ɸ õ̞ ɴ
サイベリアン	s a̠ i b e̞ ɾʲ i ã̠ ɴ
サイホン	s a̠ i h õ̞ ɴ
サイモン	s a̠ i m õ̞ ɴ
サイレン	s a̠ i ɾ ẽ̞ ɴ
サイレント	s a̠ i ɾ ẽ̞ n t o̞
サイレージ	s a̠ i ɾ e̞ː ʑ i
サイロ	s a̠ i ɾ o̞
サイン	s a̠ ĩ ɴ
サキソホン	s a̠ kʲ i̥ s o̞ h õ̞ ɴ
サジダ	s a̠ ʑ i d a̠
サセン	s a̠ s ẽ̞ ɴ
サタン	s a̠ t ã̠ ɴ
サッカリン	s a̠ k̚ k a̠ ɾʲ ĩ ɴ
サッカー	s a̠ k̚ k a̠ː
サッシ	s a̠ ɕː i
サッチャー	s a̠ t̚ t͡ɕ a̠ː
サテライト	s a̠ t e̞ ɾ a̠ i t o̞
サトシ	s a̠ t o̞ ɕ i
サド	s a̠ d o̞
サニタイザ	s a̠ ɲ̟ i t a̠ i z a̠
サニタイザー	s a̠ ɲ̟ i t a̠ i z a̠ː
サハリン	s a̠ h a̠ ɾʲ ĩ ɴ
サハーバ	s a̠ h a̠ː b a̠
サバ	s a̠ b a̠
サバゲー	s a̠ b a̠ ɡ e̞ː
サバンナ	s a̠ b ã̠ nː a̠
サパー	s a̠ p a̠ː
サビ	s a̠ bʲ i
サファイア	s a̠ ɸ a̠ i a̠
サファリ	s a̠ ɸ a̠ ɾʲ i
サボタージ	s a̠ b o̞ t a̠ː ʑ i
サボテン	s a̠ b o̞ t ẽ̞ ɴ
サボン	s a̠ b õ̞ ɴ
サポーター	s a̠ p o̞ː t a̠ː
サポート	s a̠ p o̞ː t o̞
サマー	s a̠ m a̠ː
サミット	s a̠ mʲ i t̚ t o̞
サモア	s a̠ m o̞ a̠
サモサ	s a̠ m o̞ s a̠
サラ	s a̠ ɾ a̠
サラエボ	s a̠ ɾ a̠ e̞ b o̞
サラサ	s a̠ ɾ a̠ s a̠
サラダ	s a̠ ɾ a̠ d a̠
サラチキ	s a̠ ɾ a̠ t͡ɕ i kʲ i
サラファン	s a̠ ɾ a̠ ɸ ã̠ ɴ
サラマンダー	s a̠ ɾ a̠ m ã̠ n d a̠ː
サラミ	s a̠ ɾ a̠ mʲ i
サラリーマン	s a̠ ɾ a̠ ɾʲ iː m ã̠ ɴ
サラー	s a̠ ɾ a̠ː
サラーラ	s a̠ ɾ a̠ː ɾ a̠
サリン	s a̠ ɾʲ ĩ ɴ
サリー	s a̠ ɾʲ iː
サリード	s a̠ ɾʲ iː d o̞
サレンダー	s a̠ ɾ ẽ̞ n d a̠ː
サロメ	s a̠ ɾ o̞ m e̞
サン	s ã̠ ɴ
サンオン	s ã̠ ɰ̃ õ̞ ɴ
サンシェード	s ã̠ ɰ̃ ɕ e̞ː d o̞
サンダカン	s ã̠ n d a̠ k ã̠ ɴ
サンダー	s ã̠ n d a̠ː
サンデー	s ã̠ n d e̞ː
サントラ	s ã̠ n t o̞ ɾ a̠
サンド	s ã̠ n d o̞
サンドイッチ	s ã̠ n d o̞ i t̚ t͡ɕ i
サンドイッチマン	s ã̠ n d o̞ i t̚ t͡ɕ i m ã̠ ɴ
サンドペーパー	s ã̠ n d o̞ p e̞ː p a̠ː
サンナッチ	s ã̠ nː a̠ t̚ t͡ɕ i
サンバ	s ã̠ m b a̠
サンバイザー	s ã̠ m b a̠ i z a̠ː
サンバー	s ã̠ m b a̠ː
サンボードロモ	s ã̠ m b o̞ː d o̞ ɾ o̞ m o̞
サン・マリノ	s ã̠ mː a̠ ɾʲ i n o̞
サージ	s a̠ː ʑ i
サーチライト	s a̠ː t͡ɕ i ɾ a̠ i t o̞
サード	s a̠ː d o̞
サーバー	s a̠ː b a̠ː
サーファー	s a̠ː ɸ a̠ː
サーベイ	s a̠ː b e̞ i
サーボ	s a̠ː b o̞
サーランギ	s a̠ː ɾ ã̠ ŋʲ ɡʲ i
サーロイン	s a̠ː ɾ o̞ ĩ ɴ
ザ	d͡z a̠
ザイチェン	d͡z a̠ i t͡ɕ ẽ̞ ɴ
ザカー	d͡z a̠ k a̠ː
ザカート	d͡z a̠ k a̠ː t o̞
ザギン	d͡z a̠ ɡʲ ĩ ɴ
ザビーハ	d͡z a̠ bʲ iː h a̠
ザボン	d͡z a̠ b õ̞ ɴ
ザポリージャ	d͡z a̠ p o̞ ɾʲ iː ʑ a̠
ザンビア	d͡z ã̠ m bʲ i a̠
ザー	d͡z a̠ː
ザーメン	d͡z a̠ː m ẽ̞ ɴ
シ	ɕ i
シアン	ɕ i ã̠ ɴ
シェ	ɕ e̞
シェリー	ɕ e̞ ɾʲ iː
シエラレオネ	ɕ i e̞ ɾ a̠ ɾ e̞ o̞ n e̞
シオン	ɕ i õ̞ ɴ
シカゴ	ɕ i̥ k a̠ ɡ o̞
シガレット	ɕ i ɡ a̠ ɾ e̞ t̚ t o̞
シガー	ɕ i ɡ a̠ː
シチリア	ɕ i t͡ɕ i ɾʲ i a̠
シット	ɕ i t̚ t o̞
シナ	ɕ i n a̠
シナモン	ɕ i n a̠ m õ̞ ɴ
シナリオ	ɕ i n a̠ ɾʲ i o̞
シニヨン	ɕ i ɲ̟ i j õ̞ ɴ
シネマ	ɕ i n e̞ m a̠
シノラー	ɕ i n o̞ ɾ a̠ː
シビア	ɕ i bʲ i a̠
シフォン	ɕ i ɸ õ̞ ɴ
シベリア	ɕ i b e̞ ɾʲ i a̠
シマ	ɕ i m a̠
シモン	ɕ i m õ̞ ɴ
シャ	ɕ a̠
シャイ	ɕ a̠ i
シャイラ	ɕ a̠ i ɾ a̠
シャゲダン	ɕ a̠ ɡ e̞ d ã̠ ɴ
シャッター	ɕ a̠ t̚ t a̠ː
シャトー	ɕ a̠ t o̞ː
シャドウバン	ɕ a̠ d o̞ː b ã̠ ɴ
シャドー	ɕ a̠ d o̞ː
シャネラー	ɕ a̠ n e̞ ɾ a̠ː
シャハーダ	ɕ a̠ h a̠ː d a̠
シャボテン	ɕ a̠ b o̞ t ẽ̞ ɴ
シャボン	ɕ a̠ b õ̞ ɴ
シャリーア	ɕ a̠ ɾʲ iː a̠
シャン	ɕ ã̠ ɴ
シャンチー	ɕ ã̠ ɲ̟ t͡ɕ iː
シャンデリア	ɕ ã̠ n d e̞ ɾʲ i a̠
シャンパン	ɕ ã̠ m p ã̠ ɴ
シャンメリー	ɕ ã̠ mː e̞ ɾʲ iː
シャー	ɕ a̠ː
シャーベット	ɕ a̠ː b e̞ t̚ t o̞
シャーペン	ɕ a̠ː p ẽ̞ ɴ
シャーレ	ɕ a̠ː ɾ e̞
シヤッター	ɕ a̠ t̚ t a̠ː
ショ	ɕ o̞
ショコラ	ɕ o̞ k o̞ ɾ a̠
ショタコン	ɕ o̞ t a̠ k õ̞ ɴ
ショット	ɕ o̞ t̚ t o̞
ショットガン	ɕ o̞ t̚ t o̞ ɡ ã̠ ɴ
ショッパー	ɕ o̞ p̚ p a̠ː
ショパン	ɕ o̞ p ã̠ ɴ
ショー	ɕ o̞ː
ショート	ɕ o̞ː t o̞
ショートカットキー	ɕ o̞ː t o̞ k a̠ t̚ t o̞ kʲ iː
ショートトン	ɕ o̞ː t o̞ t õ̞ ɴ
ショーパン	ɕ o̞ː p ã̠ ɴ
シリア	ɕ i ɾʲ i a̠
シロヴィキ	ɕ i ɾ o̞ bʲ i kʲ i
シンガー	ɕ ĩ ŋ ɡ a̠ː
シンシア	ɕ ĩ ɰ̃ ɕ i a̠
シンジケート	ɕ ĩ ɲ̟ d͡ʑ i k e̞ː t o̞
シンセ	ɕ ĩ ɰ̃ s e̞
シンセサイザー	ɕ ĩ ɰ̃ s e̞ s a̠ i z a̠ː
シンデレラ	ɕ ĩ n d e̞ ɾ e̞ ɾ a̠
シンノリン	ɕ ĩ nː o̞ ɾʲ ĩ ɴ
シンパ	ɕ ĩ m p a̠
シンフォニー	ɕ ĩ ɰ̃ ɸ o̞ ɲ̟ iː
シヴァ	ɕ i b a̠
シー	ɕ iː
シーア	ɕ iː a̠
シーイー	ɕ iː iː
シーサー	ɕ iː s a̠ː
シーザーサラダ	ɕ iː z a̠ː s a̠ ɾ a̠ d a̠
シーソー	ɕ iː s o̞ː
シータ	ɕ iː t a̠
シーチキン	ɕ iː t͡ɕ i kʲ ĩ ɴ
シート	ɕ iː t o̞
シード	ɕ iː d o̞
ジ	d͡ʑ i
ジ	ʑ i
ジェ	d͡ʑ e̞
ジェイ	d͡ʑ e̞ i
ジェイソン	d͡ʑ e̞ː s õ̞ ɴ
ジェシカ	d͡ʑ e̞ ɕ i k a̠
ジェダイ	d͡ʑ e̞ d a̠ i
ジェット	d͡ʑ e̞ t̚ t o̞
ジェニー	d͡ʑ e̞ ɲ̟ iː
ジェネギャ	d͡ʑ e̞ n e̞ ɡʲ a̠
ジェノサイド	d͡ʑ e̞ n o̞ s a̠ i d o̞
ジェノヴァ	d͡ʑ e̞ n o̞ b a̠
ジェラシー	d͡ʑ e̞ ɾ a̠ ɕ iː
ジェラート	d͡ʑ e̞ ɾ a̠ː t o̞
ジェロントロジー	d͡ʑ e̞ ɾ õ̞ n t o̞ ɾ o̞ ʑ iː
ジェンダー	d͡ʑ ẽ̞ n d a̠ː
ジェー	d͡ʑ e̞ː
ジゴロ	d͡ʑ i ɡ o̞ ɾ o̞
ジッパー	d͡ʑ i p̚ p a̠ː
ジハード	d͡ʑ i h a̠ː d o̞
ジビエ	d͡ʑ i bʲ i e̞
ジミー	d͡ʑ i mʲ iː
ジャ	d͡ʑ a̠
ジャガタラ	d͡ʑ a̠ ɡ a̠ t a̠ ɾ a̠
ジャガー	d͡ʑ a̠ ɡ a̠ː
ジャケ	d͡ʑ a̠ k e̞
ジャケット	d͡ʑ a̠ k e̞ t̚ t o̞
ジャケパン	d͡ʑ a̠ k e̞ p ã̠ ɴ
ジャッキー	d͡ʑ a̠ k̚ʲ kʲ iː
ジャパン	d͡ʑ a̠ p ã̠ ɴ
ジャボ	d͡ʑ a̠ b o̞
ジャマイカ	d͡ʑ a̠ m a̠ i k a̠
ジャンキー	d͡ʑ ã̠ ŋʲ kʲ iː
ジャンバー	d͡ʑ ã̠ m b a̠ː
ジャンパー	d͡ʑ ã̠ m p a̠ː
ジャンベ	d͡ʑ ã̠ m b e̞
ジャージー	d͡ʑ a̠ː ʑ iː
ジャーマニー	d͡ʑ a̠ː m a̠ ɲ̟ iː
ジョ	d͡ʑ o̞
ジョイ	d͡ʑ o̞ i
ジョイント	d͡ʑ o̞ ĩ n t o̞
ジョッキ	d͡ʑ o̞ k̚ʲ kʲ i
ジョッキー	d͡ʑ o̞ k̚ʲ kʲ iː
ジョン	d͡ʑ õ̞ ɴ
ジョンソン	d͡ʑ õ̞ ɰ̃ s õ̞ ɴ
ジョーカー	d͡ʑ o̞ː k a̠ː
ジョージ	d͡ʑ o̞ː ʑ i
ジョージア	d͡ʑ o̞ː ʑ i a̠
ジョーゼット	d͡ʑ o̞ː z e̞ t̚ t o̞
ジョーダン	d͡ʑ o̞ː d ã̠ ɴ
ジレンマ	d͡ʑ i ɾ ẽ̞ mː a̠
ジレー	d͡ʑ i ɾ e̞ː
ジロ	d͡ʑ i ɾ o̞
ジン	d͡ʑ ĩ ɴ
ジンジャー	d͡ʑ ĩ ɲ̟ d͡ʑ a̠ː
ジヴァニア	d͡ʑ i b a̠ ɲ̟ i a̠
ジー	d͡ʑ iː
ジーパン	d͡ʑ iː p ã̠ ɴ
ズ	d͡z ɨᵝ
ズ	z ɨᵝ
セ	s e̞
セイタン	s e̞ː t ã̠ ɴ
セオドライト	s e̞ o̞ d o̞ ɾ a̠ i t o̞
セカパ	s e̞ k a̠ p a̠
セカント	s e̞ k ã̠ n t o̞
セカンド	s e̞ k ã̠ n d o̞
セコイア	s e̞ k o̞ i a̠
セコハン	s e̞ k o̞ h ã̠ ɴ
セット	s e̞ t̚ t o̞
セト	s e̞ t o̞
セトリ	s e̞ t o̞ ɾʲ i
セミオーダー	s e̞ mʲ i o̞ː d a̠ː
セミコロン	s e̞ mʲ i k o̞ ɾ õ̞ ɴ
セミナー	s e̞ mʲ i n a̠ː
セメダイン	s e̞ m e̞ d a̠ ĩ ɴ
セメント	s e̞ m ẽ̞ n t o̞
セラピー	s e̞ ɾ a̠ pʲ iː
セリン	s e̞ ɾʲ ĩ ɴ
セレナーデ	s e̞ ɾ e̞ n a̠ː d e̞
セレナード	s e̞ ɾ e̞ n a̠ː d o̞
セレモニー	s e̞ ɾ e̞ m o̞ ɲ̟ iː
セレン	s e̞ ɾ ẽ̞ ɴ
セレーネー	s e̞ ɾ e̞ː n e̞ː
セロ	s e̞ ɾ o̞
セロハン	s e̞ ɾ o̞ h ã̠ ɴ
セロリ	s e̞ ɾ o̞ ɾʲ i
センサ	s ẽ̞ ɰ̃ s a̠
センサー	s ẽ̞ ɰ̃ s a̠ː
センター	s ẽ̞ n t a̠ː
センチ	s ẽ̞ ɲ̟ t͡ɕ i
センチメーター	s ẽ̞ ɲ̟ t͡ɕ i m e̞ː t a̠ː
センテナリアン	s ẽ̞ n t e̞ n a̠ ɾʲ i ã̠ ɴ
セント	s ẽ̞ n t o̞
センド	s ẽ̞ n d o̞
セーキ	s e̞ː kʲ i
セーター	s e̞ː t a̠ː
セーデッカ	s e̞ː d e̞ k̚ k a̠
セーラ	s e̞ː ɾ a̠
セーラー	s e̞ː ɾ a̠ː
ゼ	d͡z e̞
ゼタビット	d͡z e̞ t a̠ bʲ i t̚ t o̞
ゼット	d͡z e̞ t̚ t o̞
ゼネコン	d͡z e̞ n e̞ k õ̞ ɴ
ゼビバイト	d͡z e̞ bʲ i b a̠ i t o̞
ゼビビット	d͡z e̞ bʲ i bʲ i t̚ t o̞
ゼベダイ	d͡z e̞ b e̞ d a̠ i
ゼミ	d͡z e̞ mʲ i
ゼラチン	d͡z e̞ ɾ a̠ t͡ɕ ĩ ɴ
ゼロ	d͡z e̞ ɾ o̞
ゼータ	d͡z e̞ː t a̠
ゼーレ	d͡z e̞ː ɾ e̞
ソ	s o̞
ソカ	s o̞ k a̠
ソシャゲ	s o̞ ɕ a̠ ɡ e̞
ソッコー	s o̞ k̚ k o̞ː
ソテー	s o̞ t e̞ː
ソドミー	s o̞ d o̞ mʲ iː
ソナタ	s o̞ n a̠ t a̠
ソナー	s o̞ n a̠ː
ソネット	s o̞ n e̞ t̚ t o̞
ソノシート	s o̞ n o̞ ɕ iː t o̞
ソビエト	s o̞ bʲ i e̞ t o̞
ソファー	s o̞ ɸ a̠ː
ソマリ	s o̞ m a̠ ɾʲ i
ソマリア	s o̞ m a̠ ɾʲ i a̠
ソリトン	s o̞ ɾʲ i t õ̞ ɴ
ソロモン	s o̞ ɾ o̞ m õ̞ ɴ
ソンベ	s õ̞ m b e̞
ソヴィエト	s o̞ bʲ i e̞ t o̞
ソーキ	s o̞ː kʲ i
ソーサー	s o̞ː s a̠ː
ソーセージ	s o̞ː s e̞ː ʑ i
ソーダ	s o̞ː d a̠
ソート	s o̞ː t o̞
ソード	s o̞ː d o̞
ゾ	d͡z o̞
ゾロ	d͡z o̞ ɾ o̞
ゾンビ	d͡z õ̞ m bʲ i
タ	t a̠
タイ	t a̠ i
タイア	t a̠ i a̠
タイガ	t a̠ i ɡ a̠
タイガー	t a̠ i ɡ a̠ː
タイゴン	t a̠ i ɡ õ̞ ɴ
タイタン	t a̠ i t ã̠ ɴ
タイマン	t a̠ i m ã̠ ɴ
タイヤ	t a̠ i j a̠
タイラント	t a̠ i ɾ ã̠ n t o̞
タイーホ	t a̠ iː h o̞
タオチオ	t a̠ o̞ t͡ɕ i o̞
タガイタイ	t a̠ ɡ a̠ i t a̠ i
タキオン	t a̠ kʲ i õ̞ ɴ
タキシード	t a̠ kʲ i̥ ɕ iː d o̞
タキーヤ	t a̠ kʲ iː j a̠
タケノコ	t a̠ k e̞ n o̞ k o̞
タシケント	t a̠ ɕ i k ẽ̞ n t o̞
タタミゼ	t a̠ t a̠ mʲ i z e̞
タダイ	t a̠ d a̠ i
タチ	t a̠ t͡ɕ i
タッチ	t a̠ t̚ t͡ɕ i
タッパ	t a̠ p̚ p a̠
タテガミオオカミ	t a̠ t e̞ ɡ a̠ mʲ i o̞ː k a̠ mʲ i
タハーラ	t a̠ h a̠ː ɾ a̠
タバコ	t a̠ b a̠ k o̞
タヒチ	t a̠ ç i t͡ɕ i
タヒーナ	t a̠ ç iː n a̠
タピオカ	t a̠ pʲ i o̞ k a̠
タマリン	t a̠ m a̠ ɾʲ ĩ ɴ
タリエリーニ	t a̠ ɾʲ i e̞ ɾʲ iː ɲ̟ i
タレイア	t a̠ ɾ e̞ː a̠
タレント	t a̠ ɾ ẽ̞ n t o̞
タンカー	t ã̠ ŋ k a̠ː
タンキニ	t ã̠ ŋʲ kʲ i ɲ̟ i
タンゴ	t ã̠ ŋ ɡ o̞
タンザニア	t ã̠ n d͡z a̠ ɲ̟ i a̠
タンジェント	t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
