A	ə
kaua	k ɔ w w ə
kāua	k aː w w ə
Kauaʻi	k ə w w ɐ ʔ i
Kauhi	k ɐ w h i
Kauhi	k ɔ w h i
kauka	k ɐ w k ə
kauka	k ɔ w k ə
kaukani	k ə w k ɐ n i
kaukau	k ɐ w k ɐ w
kaukau	k ɔ w k ɔ w
Kaulana	k ə w l ɐ n ə
kaulaʻi	k ɐ w l ɐ ʔ i
kaulaʻi	k ɔ w l ɐ ʔ i
kaumaha	k ɐ w m ɐ h ə
kaumaha	k ɔ w m ɐ h ə
kaumokuʻāina	k ɐ w m o k u ʔ aː j n ə
kaumokuʻāina	k ɔ w m o k u ʔ aː j n ə
Kauō	k ə w oː
Kauʻi	k ɐ w ʔ i
Kauʻi	k ɔ w ʔ i
Kauʻilani	k ɐ w ʔ i l ɐ n i
Kauʻilani	k ɔ w ʔ i l ɐ n i
kawa	k ɐ ʋ ə
Kawai	k ə ʋ ɐ j
Kawai	k ə ʋ ɛ j
Kawailani	k ə ʋ ɐ j l ɐ n i
Kawailani	k ə ʋ ɛ j l ɐ n i
Kawehi	k ə ʋ ɛ h i
Kawelo	k ə ʋ ɛ l o
Kāwelu	k aː ʋ ɛ l u
Kawena	k ə ʋ ɛ n ə
Kāwika	k aː ʋ i k ə
kāwili	k aː ʋ i l i
kaʻa	k ɐ ʔ ə
kāʻahi	k aː ʔ ɐ h i
kaʻaka	k ə ʔ ɐ k ə
kāʻalo	k aː ʔ ɐ l o
Kāʻanapali	k aː ʔ ə n ə p ɐ l i
Kaʻanāʻanā	k ə ʔ ə n aː ʔ ə n aː
Kaʻaukai	k ə ʔ ə w k ɐ j
Kaʻaukai	k ə ʔ ə w k ɛ j
kaʻawale	k ɐ ʔ ə ʋ ɐ l e
kaʻe	k ɐ ʔ e
Kaʻehu	k ə ʔ ɛ h u
Kaʻena	k ə ʔ ɛ n ə
Kaʻepaokaʻāwela	k ə ʔ ɛ p ə o k ɐ ʔ aː ʋ ɛ l ə
kaʻi	k ɐ ʔ i
Kaʻili	k ə ʔ i l i
Kaʻimi	k ə ʔ i m i
Kaʻiulani	k ə ʔ j u l ɐ n i
kaʻo	k ɐ ʔ o
Kaʻohu	k ə ʔ o h u
kaʻokaʻo	k ɐ ʔ o k ɐ ʔ o
kaʻu	k ɐ ʔ u
Kaʻuhane	k ə ʔ u h ɐ n e
kaʻukaʻu	k ɐ ʔ u k ɐ ʔ u
kea	k ɛ j ə
Keahi	k e j ɐ h i
Keaka	k e j ɐ k ə
keakea	k ɛ j ə k ɛ j ə
Keala	k e j ɐ l ə
Kealalaina	k e j ə l ə l ɐ j n ə
Kealalaina	k e j ə l ə l ɛ j n ə
Kealani	k e j ə l ɐ n i
Kealiʻi	k e j ə l i ʔ i
Kealoha	k e j ə l o h ə
Keanu	k e j ɐ n u
Keao	k e j ɐ o̯
Keaopō	k e j ə o̯ p oː
Keawe	k e j ɐ ʋ e
keha	k ɛ h ə
Kēhau	k eː h ɐ w
Kēhau	k eː h ɔ w
Kēhaulani	k eː h ə w l ɐ n i
kēia	k eː j j ə
Keikilani	k e j t i l ɐ n i
Keimoka	k e j m o k ə
keka	k ɛ k ə
Kekeka	k ɛ k ɛ k ə
kekele	k ɛ k ɛ l ɛ
Kēkēmapa	k eː k eː m ɐ p ə
Kekepa	k ɛ k ɛ p ə
Kekoa	k e k o w ə
Kekokia	k e k o t i j ə
Kelawea	k ɛ l ə ʋ ɛ j ə
keleawe	k e l e j ɐ ʋ e
Keleka	k ɛ l ɛ k ə
Kelekia	k e l e t i j ə
Kelekolio	k e l e k o l i j o
Kelemānia	k e l e m aː n i j ə
Kelewine	k e l e ʋ i n e
Kelupaina	k e l u p ɐ j n ə
Kelupaina	k e l u p ɛ j n ə
Kenekī	k e n e t iː
kenekoa	k ɛ n ɛ k o w ə
Kenemaka	k e n e m ɐ k ə
Keō	k e j oː
Keoki	k e j o t i
Keokia	k e j o t i j ə
Keola	k e j o l ə
Keona	k e j o n ə
Keonaona	k e j o n ɐ o̯ n ə
Keone	k e j o n e
Keoni	k e j o n i
keonimana	k e j o n i m ɐ n ə
kepa	k ɛ p ə
Kepakemapa	k e p ə k e m ɐ p ə
Kepanī	k e p ə n iː
Kepania	k e p ə n i j ə
Kepano	k e p ɐ n o
Kepola	k e p o l ə
keu	k ɛ w
Keʻala	k e ʔ ɐ l ə
Keʻalohilani	k e ʔ ə l o h i l ɐ n i
keʻehi	k ɛ ʔ ɛ h i
keʻena	k ɛ ʔ ɛ n ə
keʻokeʻo	k ɛ ʔ o k ɛ ʔ o
kī	t iː
kia	t i j ə
Kiana	t i j ɐ n ə
kiawe	t i j ɐ ʋ e
kiaʻi	t i j ɐ ʔ i
Kiele	t i ɛ l ɛ
kīhāpai	t iː h aː p ɐ j
kīhāpai	t iː h aː p ɛ j
Kīhei	t iː h ɛ j
kīhei	t iː h ɛ j
kika	t i k ə
Kikako	t i k ɐ k o
kikī	t i t iː
kīkī	t iː t iː
kikiki	t i t i t i
Kikilia	t i t i l i j ə
Kikinē	t i t i n eː
kiko	t i k o
kikokiko	t i k o t i k o
kīkoʻo	t iː k o ʔ o
kila	t i l ə
Kila	t i l ə
kilakila	t i l ə t i l ə
Kilia	t i l i j ə
kilika	t i l i k ə
Kilikina	t i l i t i n ə
kiliona	t i l i j o n ə
kilo	t i l o
kilohana	t i l o h ɐ n ə
kilohi	t i l o h i
kime	t i m e
Kimo	t i m o
Kimokeo	t i m o k ɛ j o
Kimona	t i m o n ə
kimu	t i m u
Kina	t i n ə
Kini	t i n i
Kinikiu	t i n i t j u
kinipōpō	t i n i p oː p oː
kino	t i n o
kinoea	t i n o w ɛ j ə
Kinohi	t i n o h i
kinopaʻa	t i n o p ɐ ʔ ə
kinowai	t i n o ʋ ɐ j
kinowai	t i n o ʋ ɛ j
kio	t i j o
Kione	t i j o n e
kipa	t i p ə
kipaku	t i p ɐ k u
kipi	t i p i
kipikelia	t i p i k e l i j ə
Kipola	t i p o l ə
kīpuka	t iː p u k ə
kīwila	t iː ʋ i l ə
kīʻaha	t iː ʔ ɐ h ə
kiʻe	t i ʔ e
kiʻekiʻe	t i ʔ e t i ʔ e
kiʻi	t i ʔ i
kiʻiʻoniʻoni	t i ʔ i ʔ o n i ʔ o n i
Koa	k o w ə
koaea	k o w ɐ e̯ j ə
koali	k o w ɐ l i
kōina	k oː i n ə
kokoleka	k o k o l ɛ k ə
kōkua	k oː k u w ə
Kōlea	k oː l ɛ j ə
kōlea	k oː l ɛ j ə
Koleka	k o l ɛ k ə
Kōleka	k oː l ɛ k ə
koloa	k o l o w ə
Kolokea	k o l o k ɛ j ə
Kololako	k o l o l ɐ k o
Kolomepia	k o l o m e p i j ə
Kolomona	k o l o m o n ə
Kolomupia	k o l o m u p i j ə
Kolosa	k o l o k ə
Koma	k o m ə
komohana	k o m o h ɐ n ə
kona	k o n ə
konakona	k o n ə k o n ə
kōnane	k oː n ɐ n e
Konekikuka	k o n e t i k u k ə
kopa	k o p ə
Kopaea	k o p ɐ e̯ j ə
kōpaʻa	k oː p ɐ ʔ ə
Korineto	k o l i n ɛ k o
kou	k o w
koʻa	k o ʔ ə
kōʻai	k oː ʔ ɐ j
kōʻai	k oː ʔ ɛ j
kōʻala	k oː ʔ ɐ l ə
kua	k u w ə
kuahao	k u w ə h ɐ o̯
kuahine	k u w ə h i n e
Kūaliʻi	k uː ə l i ʔ i
kuamoʻo	k u w ə m o ʔ o
kuaʻana	k u w ə ʔ ɐ n ə
Kuekena	k u w ɛ k ɛ n ə
Kuekene	k u w ɛ k ɛ n ɛ
kuene	k u w ɛ n ɛ
Kuete	k u w ɛ k ɛ
kuhia	k u h i j ə
kuhina	k u h i n ə
kui	k u w i
Kuikilana	k u w i t i l ɐ n ə
Kuikilani	k u w i t i l ɐ n i
kuikui	k u w i k u w i
Kuilei	k u w i l ɛ j
kuka	k u k ə
kūkaepele	k uː k ə e̯ p ɛ l ɛ
Kukana	k u k ɐ n ə
kuki	k u t i
kukui	k u k u w i
kukula	k u k u l ə
kukuluaeʻo	k u k u l u w ɐ e̯ ʔ o
kula	k u l ə
Kula	k u l ə
kulāiwi	k u l aː i ʋ i
kūlana	k uː l ɐ n ə
kūlanakauhale	k uː l ɐ n ə k ɐ w h ɐ l e
kūlanakauhale	k uː l ɐ n ə k ɔ w h ɐ l e
kulanui	k u l ə n u w i
kulaʻi	k u l ɐ ʔ i
kuleana	k u l e j ɐ n ə
Kuleke	k u l ɛ k ɛ
Kulia	k u l i j ə
kūlou	k uː l o w
kūmau	k uː m ɐ w
kūmau	k uː m ɔ w
kumuhana	k u m u h ɐ n ə
kumukānāwai	k u m u k aː n aː ʋ ɐ j
kumukānāwai	k u m u k aː n aː ʋ ɛ j
kumulāʻau	k u m u l aː ʔ ɐ w
kumulāʻau	k u m u l aː ʔ ɔ w
kuna	k u n ə
Kuna	k u n ə
kūnou	k uː n o w
Kupelo	k u p ɛ l o
kupuna	k u p u n ə
kūʻai	k uː ʔ ɐ j
kūʻai	k uː ʔ ɛ j
kūʻauhau	k uː ʔ ɐ w h ɐ w
kūʻauhau	k uː ʔ ɔ w h ɔ w
kuʻihao	k u ʔ i h ɐ o̯
kuʻina	k u ʔ i n ə
kūʻokoʻa	k uː ʔ o k o ʔ ə
Kuʻualoha	k u ʔ u w ə l o h ə
Kuʻuipo	k u ʔ u w i p o
Kuʻulei	k u ʔ u l ɛ j
Kuʻuleialoha	k u ʔ u l e j j ə l o h ə
Lāhainā	l aː h ə j n aː
Lahapa	l ə h ɐ p ə
Lāhela	l aː h ɛ l ə
lahilahi	l ə h i l ɐ h i
laholio	l ə h o l i j o
lāhui	l aː h u w i
laka	l ɐ k ə
Laka	l ɐ k ə
Lakalo	l ə k ɐ l o
Lākana	l aː k ɐ n ə
lākana	l aː k ɐ n ə
Lakawia	l ə k ə ʋ i j ə
lākou	l aː k o w
lala	l ɐ l ə
Lalie	l ə l i e
lalo	l ɐ l o
lana	l ɐ n ə
Lanakila	l ə n ə t i l ə
lanakila	l ɐ n ə t i l ə
Lānaʻi	l aː n ɐ ʔ i
lani	l ɐ n i
Lani	l ɐ n i
Laniākea	l ɐ n i j aː k ɛ j ə
Laosa	l ɐ o̯ k ə
lāpaki	l aː p ɐ t i
lau	l ɐ w
lau	l ɔ w
lāua	l aː w w ə
laukōnā	l ɐ w k oː n aː
laukōnā	l ɔ w k oː n aː
laulā	l ə w l aː
lauoho	l ɐ w o h o
lauoho	l ɔ w o h o
lawaiʻa	l ɐ ʋ ə i ʔ ə
lawe	l ɐ ʋ e
lawena	l ə ʋ ɛ n ə
laʻa	l ɐ ʔ ə
Laʻakea	l ɐ ʔ ə k ɛ j ə
lāʻau	l aː ʔ ɐ w
lāʻau	l aː ʔ ɔ w
lāʻiki	l aː ʔ i t i
Lea	l ɛ j ə
Lehua	l e h u w ə
lehulehu	l ɛ h u l ɛ h u
lei	l ɛ j
Lei	l ɛ j
Leialoha	l e j j ə l o h ə
Leikawiʻika	l e j k ə ʋ i ʔ i k ə
Leilani	l e j l ɐ n i
Leimomi	l e j m o m i
Leinani	l e j n ɐ n i
Leināʻala	l e j n aː ʔ ɐ l ə
lele	l ɛ l ɛ
Leleākūhonua	l e l e j aː k uː h o n u w ə
lelele	l ɛ l ɛ l ɛ
lelemu	l ɛ l ɛ m u
lena	l ɛ n ə
lenalena	l ɛ n ə l ɛ n ə
leo	l ɛ j o
leoleo	l e j o l ɛ j o
lepa	l ɛ p ə
lepe	l ɛ p ɛ
lepeamoa	l ɛ p ɛ j ə m o w ə
Lepeka	l ɛ p ɛ k ə
lepelepe	l e p ɛ l ɛ p ɛ
lepelepeamoa	l e p e l e p e j ə m o w ə
lepo	l ɛ p o
lepu	l ɛ p u
lewa	l ɛ ʋ ə
Lewi	l ɛ ʋ i
leʻa	l ɛ ʔ ə
leʻo	l ɛ ʔ o
Likeke	l i k ɛ k ɛ
Likenekaina	l i k e n e k ɐ j n ə
Likenekaina	l i k e n e k ɛ j n ə
Likepona	l i k e p o n ə
Lilia	l i l i j ə
Liliana	l i l i j ɐ n ə
Lilinoe	l i l i n o w e
lima	l i m ə
limahana	l i m ə h ɐ n ə
limalima	l i m ə l i m ə
lio	l i j o
liona	l i j o n ə
Lituania	l i k u w ə n i j ə
liu	l j u
loa	l o w ə
Loika	l o̯ i k ə
Loka	l o k ə
Lokalia	l o k ə l i j ə
Lokelani	l o k e l ɐ n i
lokomaikaʻi	l o k o m ə j k ɐ ʔ i
lolouila	l o l o w w i l ə
Loma	l o m ə
lonoā	l o n o w aː
Lopaka	l o p ɐ k ə
loukuaka	l o w k u w ɐ k ə
lua	l u w ə
luahine	l u w ə h i n e
luakaha	l u w ə k ɐ h ə
Luana	l u w ɐ n ə
luana	l u w ɐ n ə
lūauʻi	l uː ɐ w ʔ i
lūauʻi	l uː ɔ w ʔ i
luaʻi	l u w ɐ ʔ i
Lui	l u w i
Luika	l u w i k ə
Luikiana	l u w i t i j ɐ n ə
Luka	l u k ə
Lukemapuka	l u k e m ə p u k ə
Lukia	l u t i j ə
Lūkia	l uː t i j ə
Lūkini	l uː t i n i
Lulia	l u l i j ə
luma	l u m ə
lumaʻi	l u m ɐ ʔ i
luna	l u n ə
Luʻukia	l u ʔ u t i j ə
ma	m ə
maha	m ɐ h ə
mahae	m ə h ɐ e̯
māhaehae	m aː h ɐ e̯ h ɐ e̯
mahāha	m ə h aː h ə
mahalo	m ə h ɐ l o
mahana	m ə h ɐ n ə
māhana	m aː h ɐ n ə
māhea	m aː h ɛ j ə
Māhealani	m aː h e j ə l ɐ n i
mahele	m ə h ɛ l ɛ
Mahelona	m ə h e l o n ə
mahi	m ɐ h i
mahina	m ə h i n ə
Mahina	m ə h i n ə
mahiole	m ə h i j o l e
Mahiʻai	m ə h i ʔ ɐ j
Mahiʻai	m ə h i ʔ ɛ j
mahiʻai	m ə h i ʔ ɐ j
mahiʻai	m ə h i ʔ ɛ j
Māhoe	m aː h o w e
mahū	m ə h uː
mai	m ɐ j
mai	m ɛ j
māihi	m aː j h i
maikaʻi	m ə j k ɐ ʔ i
Maikaʻi	m ə j k ɐ ʔ i
maila	m ɐ j l ə
maila	m ɛ j l ə
maile	m ɐ j l e
maile	m ɛ j l e
Maile	m ɐ j l e
Maile	m ɛ j l e
Maine	m ɐ j n e
Maine	m ɛ j n e
maipoinaiaʻu	m ɐ j p o̯ i n ə i j ɐ ʔ u
maipoinaiaʻu	m ɛ j p o̯ i n ə i j ɐ ʔ u
maiʻa	m ɐ j ʔ ə
maiʻa	m ɛ j ʔ ə
maiʻao	m ə j ʔ ɐ o̯
māiʻuʻu	m aː j ʔ u ʔ u
maka	m ɐ k ə
Maka	m ɐ k ə
makaaniani	m ɐ k ə ɐ n i j ɐ n i
makahiki	m ə k ə h i t i
makai	m ə k ɐ j
makai	m ə k ɛ j
Makaio	m ə k ɐ j j o
Makaio	m ə k ɛ j j o
Makakukeka	m ə k ə k u k ɛ k ə
makala	m ə k ɐ l ə
Makaleka	m ə k ə l ɛ k ə
Makalika	m ə k ə l i k ə
Makamae	m ə k ə m ɐ e̯
Makana	m ə k ɐ n ə
makana	m ə k ɐ n ə
makanahele	m ɐ k ə n ə h ɛ l ɛ
makani	m ə k ɐ n i
Makanui	m ə k ə n u w i
makapiapia	m ɐ k ə p i j ə p i j ə
mākaukau	m aː k ə w k ɐ w
mākaukau	m aː k ə w k ɔ w
Makawela	m ə k ə ʋ ɛ l ə
mākaʻi	m aː k ɐ ʔ i
makaʻina	m ɐ k ə ʔ i n ə
makaʻu	m ə k ɐ ʔ u
make	m ɐ k e
Makelika	m ə k e l i k ə
makemake	m ɐ k e m ɐ k e
makemakika	m ɐ k e m ə t i k ə
Makia	m ə t i j ə
mākia	m aː t i j ə
Makoa	m ə k o w ə
mākou	m aː k o w
makua	m ə k u w ə
makuahine	m ɐ k u w ə h i n e
makule	m ə k u l e
mala	m ɐ l ə
māla	m aː l ə
Malaea	m ə l ɐ e̯ j ə
Malaia	m ə l ɐ j j ə
Malaia	m ə l ɛ j j ə
Malaisia	m ə l ə j t i j ə
Malaki	m ə l ɐ t i
malama	m ə l ɐ m ə
mālamalama	m aː l ə m ə l ɐ m ə
male	m ɐ l e
Maleka	m ə l ɛ k ə
Maleko	m ə l ɛ k o
Malia	m ə l i j ə
malihini	m ə l i h i n i
malino	m ə l i n o
malo	m ɐ l o
malolo	m ə l o l o
malu	m ɐ l u
malū	m ə l uː
mālua	m aː l u w ə
mālualua	m aː l u w ə l u w ə
maluhia	m ə l u h i j ə
mama	m ɐ m ə
māmaki	m aː m ɐ t i
mamao	m ə m ɐ o̯
mamaʻo	m ə m ɐ ʔ o
mana	m ɐ n ə
manamana	m ɐ n ə m ɐ n ə
manawa	m ə n ɐ ʋ ə
manaʻo	m ə n ɐ ʔ o
manaʻolana	m ə n ɐ ʔ o l ɐ n ə
manaʻoʻiʻo	m ə n ɐ ʔ o ʔ i ʔ o
manene	m ə n ɛ n ɛ
maneʻo	m ə n ɛ ʔ o
manō	m ə n oː
manu	m ɐ n u
Manu	m ɐ n u
Manuela	m ə n u w ɛ l ə
manuhelekū	m ɐ n u h ɛ l ɛ k uː
maoli	m ɐ o̯ l i
maopopo	m ə o̯ p o p o
Māpuana	m aː p u w ɐ n ə
Mareko	m ə l ɛ k o
Maria	m ə l i j ə
mau	m ɐ w
mau	m ɔ w
māua	m aː w w ə
Maui	m ɐ w w i
Maui	m ɔ w w i
Māui	m aː w w i
mauka	m ɐ w k ə
mauka	m ɔ w k ə
mauli	m ɐ w l i
mauli	m ɔ w l i
mauna	m ɐ w n ə
mauna	m ɔ w n ə
māuna	m aː u n ə
Maunaloa	m ɐ w n ə l o w ə
Maunaloa	m ɔ w n ə l o w ə
māunauna	m aː u n ə u n ə
mauʻu	m ɐ w ʔ u
mauʻu	m ɔ w ʔ u
maʻa	m ɐ ʔ ə
maʻalahi	m ɐ ʔ ə l ɐ h i
māʻalo	m aː ʔ ɐ l o
māʻaloʻalo	m aː ʔ ɐ l o ʔ ɐ l o
maʻamaʻa	m ɐ ʔ ə m ɐ ʔ ə
maʻemaʻe	m ə ʔ e m ɐ ʔ e
māʻeʻele	m aː ʔ ɛ ʔ ɛ l ɛ
maʻi	m ɐ ʔ i
maʻo	m ɐ ʔ o
māʻona	m aː ʔ ɐ n ə
mea	m ɛ j ə
mehame	m e h ɐ m e
mehameha	m ɛ h ə m ɛ h ə
mehana	m e h ɐ n ə
Mei	m ɛ j
Mekiko	m e t i k o
mele	m ɛ l ɛ
Mele	m ɛ l ɛ
Meleana	m e l e j ɐ n ə
Melelana	m e l e l ɐ n ə
melemele	m ɛ l ɛ m ɛ l ɛ
Melepona	m e l e p o n ə
meli	m ɛ l i
Melia	m e l i j ə
melia	m e l i j ə
Menehune	m ɛ n ɛ h u n e
menehune	m ɛ n ɛ h u n e
Mika	m i k ə
mika	m i k ə
mīka	m iː k ə
Mikala	m i k ɐ l ə
mikanele	m i k ə n ɛ l ɛ
Mikaʻela	m i k ə ʔ ɛ l ə
Mikaʻele	m i k ə ʔ ɛ l ɛ
miki	m i t i
Mikikana	m i t i k ɐ n ə
Mikikipi	m i t i t i p i
mīkini	m iː t i n i
Mikouli	m i k o w l i
Mileka	m i l ɛ k ə
Miliama	m i l i j ɐ m ə
Mililani	m i l i l ɐ n i
miliona	m i l i j o n ə
Mima	m i m ə
mina	m i n ə
Minekoka	m i n e k o k ə
mio	m i j o
moa	m o w ə
mōakaaka	m oː ɐ k ə ɐ k ə
moamoa	m o w ə m o w ə
moana	m o w ɐ n ə
Moana	m o w ɐ n ə
Moani	m o w ɐ n i
moe	m o w e
moehewa	m o w ɛ h ɛ ʋ ə
moena	m o w ɛ n ə
mōhai	m oː h ɐ j
mōhai	m oː h ɛ j
Mohameka	m o h ə m ɛ k ə
Mokekao	m o k e k ɐ o̯
Mokihana	m o t i h ɐ n ə
mokuhonua	m o k u h o n u w ə
mokulele	m o k u l ɛ l ɛ
mokuʻāina	m o k u ʔ aː j n ə
Molokaʻi	m o l o k ɐ ʔ i
Momilani	m o m i l ɐ n i
momona	m o m o n ə
mona	m o n ə
monakō	m o n ə k oː
Monekana	m o n e k ɐ n ə
Monokolia	m o n o k o l i j ə
moʻa	m o ʔ ə
moʻopuna	m o ʔ o p u n ə
mua	m u w ə
mukuela	m u k u w ɛ l ə
na	n ə
nae	n ɐ e̯
naha	n ɐ h ə
nahele	n ə h ɛ l ɛ
nāhelehele	n aː h e l ɛ h ɛ l ɛ
nahenahe	n ɐ h e n ɐ h e
Nahuma	n ə h u m ə
Naigeria	n ə j k e l i j ə
Nāinoa	n aː j n o w ə
Naiʻa	n ɐ j ʔ ə
Naiʻa	n ɛ j ʔ ə
naka	n ɐ k ə
Nakoa	n ə k o w ə
naku	n ɐ k u
nakulu	n ə k u l u
Nālani	n aː l ɐ n i
nalo	n ɐ l o
nalu	n ɐ l u
Nāmaka	n aː m ɐ k ə
nana	n ɐ n ə
nāna	n aː n ə
nanahana	n ɐ n ə h ɐ n ə
nānahu	n aː n ɐ h u
nānaku	n aː n ɐ k u
Nanea	n ə n ɛ j ə
Nani	n ɐ n i
nani	n ɐ n i
Naomi	n ɐ o̯ m i
Nāpua	n aː p u w ə
nāu	n aː w
nāuki	n aː u t i
Nāwai	n aː ʋ ɐ j
Nāwai	n aː ʋ ɛ j
Nazareta	n ɐ k ə l ɛ k ə
naʻau	n ə ʔ ɐ w
naʻau	n ə ʔ ɔ w
naʻauao	n ə ʔ ɐ w w ɐ o̯
naʻauao	n ə ʔ ɔ w w ɐ o̯
naʻaukake	n ə ʔ ɐ w k ɐ k e
naʻaukake	n ə ʔ ɔ w k ɐ k e
naʻaupō	n ə ʔ ɐ w p oː
naʻaupō	n ə ʔ ɔ w p oː
naʻauʻauā	n ə ʔ ɐ w ʔ ə w w aː
naʻauʻauā	n ə ʔ ɔ w ʔ ə w w aː
naʻi	n ɐ ʔ i
naʻu	n ɐ ʔ u
nea	n ɛ j ə
Nehemia	n e h e m i j ə
nehinei	n e h i n ɛ j
Nekelana	n e k e l ɐ n ə
Nekewa	n ɛ k ɛ ʋ ə
nene	n ɛ n ɛ
neo	n ɛ j o
Nepalaka	n e p ə l ɐ k ə
Newaka	n e ʋ ɐ k ə
neʻe	n ɛ ʔ ɛ
Nihoa	n i h o w ə
nihoa	n i h o w ə
Nīhoa	n iː h o w ə
ninaninau	n i n ə n i n ɐ w
ninaninau	n i n ə n i n ɔ w
nīnau	n iː n ɐ w
nīnau	n iː n ɔ w
nīnauele	n iː n ə w w ɛ l ɛ
niu	n j u
niuhi	n j u h i
Niʻihau	n i ʔ i h ɐ w
Niʻihau	n i ʔ i h ɔ w
Noa	n o w ə
noa	n o w ə
Noelani	n o w e l ɐ n i
Nohea	n o h ɛ j ə
Nohealani	n o h e j ə l ɐ n i
nohona	n o h o n ə
noio	n o̯ i j o
Nolewai	n o l e ʋ ɐ j
Nolewai	n o l e ʋ ɛ j
nona	n o n ə
Nowemapa	n o ʋ e m ɐ p ə
noʻa	n o ʔ ə
noʻeau	n o ʔ e j ɐ w
noʻeau	n o ʔ e j ɔ w
nuha	n u h ə
Nuhōlani	n u h oː l ɐ n i
nui	n u w i
Nuioka	n u w i j o k ə
Nukilani	n u t i l ɐ n i
Nūkilani	n uː t i l ɐ n i
nunuha	n u n u h ə
Nuʻuanu	n u ʔ u w ɐ n u
Nuʻuhiwa	n u ʔ u h i ʋ ə
ōewe	oː ɛ ʋ ɛ
okaoka	o k ə o k ə
oki	o t i
ola	o l ə
ōlaʻi	oː l ɐ ʔ i
ona	o n ə
Oʻahu	o ʔ ɐ h u
pae	p ɐ e̯
paepae	p ɐ e̯ p ɐ e̯
paha	p ɐ h ə
pāheahea	p aː h ɛ j ə h ɛ j ə
pāheu	p aː h ɛ w
pāhoehoe	p aː h o w e h o w e
pahu	p ɐ h u
pahupaʻikiʻi	p ɐ h u p ɐ ʔ i t i ʔ i
paiki	p ɐ j t i
paiki	p ɛ j t i
paila	p ɐ j l ə
paila	p ɛ j l ə
paina	p ɐ j n ə
paina	p ɛ j n ə
paio	p ɐ j j o
paio	p ɛ j j o
paka	p ɐ k ə
pakakē	p ə k ə k eː
pākali	p aː k ɐ l i
pākaua	p aː k ɐ w w ə
pākaua	p aː k ɔ w w ə
pākaukau	p aː k ə w k ɐ w
pākaukau	p aː k ə w k ɔ w
pākeke	p aː k ɛ k ɛ
Pakitana	p ə t i k ɐ n ə
pakū	p ə k uː
pākuʻina	p aː k u ʔ i n ə
pala	p ɐ l ə
palai	p ə l ɐ j
palai	p ə l ɛ j
palaka	p ə l ɐ k ə
palaki	p ə l ɐ t i
Palakiko	p ə l ə t i k o
Palakila	p ə l ə t i l ə
pālākiō	p aː l aː t i j oː
palala	p ə l ɐ l ə
pālala	p aː l ɐ l ə
Palani	p ə l ɐ n i
palaoa	p ə l ɐ o̯ w ə
Palapala	p ə l ə p ɐ l ə
palapala	p ɐ l ə p ɐ l ə
palaʻo	p ə l ɐ ʔ o
pale	p ɐ l e
palekana	p ɐ l e k ɐ n ə
Palekekine	p ə l e k e t i n e
pāleo	p aː l ɛ j o
pāleoleo	p aː l e j o l ɛ j o
Palesetine	p ə l e k e t i n e
pali	p ɐ l i
Palika	p ə l i k ə
pālima	p aː l i m ə
palu	p ɐ l u
pālua	p aː l u w ə
pāluna	p aː l u n ə
pana	p ɐ n ə
panakō	p ə n ə k oː
panalāʻau	p ə n ə l aː ʔ ɐ w
panalāʻau	p ə n ə l aː ʔ ɔ w
pane	p ɐ n e
Pane	p ɐ n e
Panekoka	p ə n e k o k ə
Panekola	p ə n e k o l ə
panepane	p ɐ n e p ɐ n e
pani	p ɐ n i
Paniolo	p ə n i j o l o
pano	p ɐ n o
panoa	p ə n o w ə
papakema	p ɐ p ə k ɛ m ə
pāpale	p aː p ɐ l e
pāpālina	p aː p aː l i n ə
papamū	p ɐ p ə m uː
pāpapa	p aː p ɐ p ə
pāpaʻa	p aː p ɐ ʔ ə
pāpaʻi	p aː p ɐ ʔ i
papekema	p ɐ p ɛ k ɛ m ə
papekiko	p ə p e t i k o
pau	p ɐ w
pau	p ɔ w
Pauahi	p ə w w ɐ h i
pauaho	p ɐ w w ɐ h o
pauaho	p ɔ w w ɐ h o
paukikī	p ɐ w t i t iː
paukikī	p ɔ w t i t iː
Paulo	p ɐ w l o
Paulo	p ɔ w l o
pāwai	p aː ʋ ɐ j
pāwai	p aː ʋ ɛ j
pāwela	p aː ʋ ɛ l ə
pāweo	p aː ʋ ɛ j o
paʻa	p ɐ ʔ ə
paʻahao	p ɐ ʔ ə h ɐ o̯
paʻakai	p ɐ ʔ ə k ɐ j
paʻakai	p ɐ ʔ ə k ɛ j
paʻanaʻau	p ɐ ʔ ə n ə ʔ ɐ w
paʻanaʻau	p ɐ ʔ ə n ə ʔ ɔ w
pāʻani	p aː ʔ ɐ n i
paʻapū	p ɐ ʔ ə p uː
pāʻele	p aː ʔ ɛ l ɛ
paʻi	p ɐ ʔ i
Pāʻia	p aː ʔ i j ə
pāʻina	p aː ʔ i n ə
pāʻoihana	p aː ʔ o̯ i h ɐ n ə
Paʻuwela	p ɐ ʔ u ʋ ɛ l ə
pea	p ɛ j ə
pehea	p ɛ h ɛ j ə
pekapeka	p ɛ k ə p ɛ k ə
Peke	p ɛ k ɛ
Pekelo	p ɛ k ɛ l o
pekupeku	p ɛ k u p ɛ k u
pēla	p eː l ə
pelapela	p ɛ l ə p ɛ l ə
Pele	p ɛ l ɛ
Pelekāne	p ɛ l ɛ k aː n e
Pelekānia	p ɛ l ɛ k aː n i j ə
Pelekia	p e l e t i j ə
pelekikena	p ɛ l ɛ t i k ɛ n ə
Pelekila	p e l e t i l ə
