A	a
bazenegitzate	b a s̺ e n e ɡ i t͡s̻ a t e
bazenegitzate	b a s̻ e n e ɡ i t͡s̻ a t e
bazeneki	b a s̻ e n e k i
bazenekite	b a s̻ e n e k i t e
bazenekizki	b a s̻ e n e k i s̻ k i
bazenekizkite	b a s̻ e n e k i s̻ k i t e
bazenekusa	b a s̻ e n e k u s̺ a
bazenekusate	b a s̻ e n e k u s̺ a t e
bazenekuski	b a s̻ e n e k u s̺ k i
bazenekuskite	b a s̻ e n e k u s̺ k i t e
bazenentzu	b a s̻ e n e n t͡s̻ u
bazenentzute	b a s̻ e n e n t͡s̻ u t e
bazenentzuzki	b a s̻ e n e n t͡s̻ u s̻ k i
bazenentzuzkite	b a s̻ e n e n t͡s̻ u s̻ k i t e
bazenerakuski	b a s̻ e n e ɾ a k u s̺ k i
bazenerakuskite	b a s̻ e n e ɾ a k u s̺ k i t e
bazenerakutsa	b a s̻ e n e ɾ a k u t͡s̺ a
bazenerakutsate	b a s̻ e n e ɾ a k u t͡s̺ a t e
bazeneuka	b a s̺ e n e u̯ k a
bazeneuka	b a s̻ e n e u̯ k a
bazeneukate	b a s̺ e n e u̯ k a t e
bazeneukate	b a s̻ e n e u̯ k a t e
bazeneuzka	b a s̺ e n e u̯ s̺ k a
bazeneuzka	b a s̻ e n e u̯ s̻ k a
bazeneuzkate	b a s̺ e n e u̯ s̺ k a t e
bazeneuzkate	b a s̻ e n e u̯ s̻ k a t e
bazeneza	b a s̺ e n e s̺ a
bazeneza	b a s̻ e n e s̻ a
bazenezagu	b a s̻ e n e s̻ a ɡ u
bazenezagute	b a s̻ e n e s̻ a ɡ u t e
bazenezaguzki	b a s̻ e n e s̻ a ɡ u s̻ k i
bazenezaguzkite	b a s̻ e n e s̻ a ɡ u s̻ k i t e
bazenezate	b a s̺ e n e s̺ a t e
bazenezate	b a s̻ e n e s̻ a t e
bazenihardu	b a s̻ e n i a r d u
bazenihardu	b a s̻ e n i h a r d u
bazeniharduka	b a s̻ e n i a r d u k a
bazeniharduka	b a s̻ e n i h a r d u k a
bazenihardukate	b a s̻ e n i a r d u k a t e
bazenihardukate	b a s̻ e n i h a r d u k a t e
bazenihardute	b a s̻ e n i a r d u t e
bazenihardute	b a s̻ e n i h a r d u t e
bazenirau	b a s̻ e n i ɾ a u̯
bazeniraute	b a s̻ e n i ɾ a u̯ t e
bazenirudi	b a s̻ e n i ɾ u d i
bazenirudite	b a s̻ e n i ɾ u d i t e
bazenitu	b a s̻ e n i t u
bazenituzte	b a s̻ e n i t u s̻ t e
bazenitza	b a s̺ e n i t͡s̻ a
bazenitza	b a s̻ e n i t͡s̻ a
bazenitzate	b a s̺ e n i t͡s̻ a t e
bazenitzate	b a s̻ e n i t͡s̻ a t e
bazentoz	b a s̺ e n t o s̺
bazentoz	b a s̻ e n t o s̻
bazentozte	b a s̺ e n t o s̺ t e
bazentozte	b a s̻ e n t o s̻ t e
bazenu	b a s̻ e n u
bazenute	b a s̻ e n u t e
bazeunde	b a s̺ e u̯ n d e
bazeunde	b a s̻ e u̯ n d e
bazeundete	b a s̺ e u̯ n d e t e
bazeundete	b a s̻ e u̯ n d e t e
bazina	b a s̺ i ɲ a
bazina	b a s̻ i n a
bazina	b a s̻ i ɲ a
bazindezaguzki	b a s̻ i n d e s̻ a ɡ u s̻ k i
bazindezaguzkigu	b a s̻ i n d e s̻ a ɡ u s̻ k i ɡ u
bazindezaguzkit	b a s̻ i n d e s̻ a ɡ u s̻ k i t
bazindezaguzkite	b a s̻ i n d e s̻ a ɡ u s̻ k i t e
bazindezaguzte	b a s̻ i n d e s̻ a ɡ u s̻ t e
bazindezaguztegu	b a s̻ i n d e s̻ a ɡ u s̻ t e ɡ u
bazindezaguztet	b a s̻ i n d e s̻ a ɡ u s̻ t e t
bazindezaguztete	b a s̻ i n d e s̻ a ɡ u s̻ t e t e
bazindoaz	b a s̺ i n d o a s̺
bazindoaz	b a s̻ i n d o a s̻
bazindoazte	b a s̺ i n d o a s̺ t e
bazindoazte	b a s̻ i n d o a s̻ t e
bazinduzka	b a s̺ i n d u s̺ k a
bazinduzka	b a s̻ i n d u s̻ k a
bazinduzkagu	b a s̺ i n d u s̺ k a ɡ u
bazinduzkagu	b a s̻ i n d u s̻ k a ɡ u
bazinduzkat	b a s̺ i n d u s̺ k a t
bazinduzkat	b a s̻ i n d u s̻ k a t
bazinduzkate	b a s̺ i n d u s̺ k a t e
bazinduzkate	b a s̻ i n d u s̻ k a t e
bazinduzkategu	b a s̺ i n d u s̺ k a t e ɡ u
bazinduzkategu	b a s̻ i n d u s̻ k a t e ɡ u
bazinduzkatet	b a s̺ i n d u s̺ k a t e t
bazinduzkatet	b a s̻ i n d u s̻ k a t e t
bazinduzkatete	b a s̺ i n d u s̺ k a t e t e
bazinduzkatete	b a s̻ i n d u s̻ k a t e t e
bazinete	b a s̺ i ɲ e t e
bazinete	b a s̻ i n e t e
bazinete	b a s̻ i ɲ e t e
bazintez	b a s̺ i n t e s̺
bazintez	b a s̻ i n t e s̻
bazintezte	b a s̺ i n t e s̺ t e
bazintezte	b a s̻ i n t e s̻ t e
bazintu	b a s̻ i n t u
bazintugu	b a s̻ i n t u ɡ u
bazintut	b a s̻ i n t u t
bazintuzte	b a s̻ i n t u s̻ t e
bazintuztegu	b a s̻ i n t u s̻ t e ɡ u
bazintuztet	b a s̻ i n t u s̻ t e t
bazintuztete	b a s̻ i n t u s̻ t e t e
bazintza	b a s̺ i n t͡s̻ a
bazintza	b a s̻ i n t͡s̻ a
bazintzagu	b a s̺ i n t͡s̻ a ɡ u
bazintzagu	b a s̻ i n t͡s̻ a ɡ u
bazintzat	b a s̺ i n t͡s̻ a t
bazintzat	b a s̻ i n t͡s̻ a t
bazintzate	b a s̺ i n t͡s̻ a t e
bazintzate	b a s̻ i n t͡s̻ a t e
bazintzategu	b a s̺ i n t͡s̻ a t e ɡ u
bazintzategu	b a s̻ i n t͡s̻ a t e ɡ u
bazintzatet	b a s̺ i n t͡s̻ a t e t
bazintzatet	b a s̻ i n t͡s̻ a t e t
bazintzatete	b a s̺ i n t͡s̻ a t e t e
bazintzatete	b a s̻ i n t͡s̻ a t e t e
bazkaldu	b a s̻ k a l d u
bazkari	b a s̺ k a ɾ i
bazkari	b a s̻ k a ɾ i
bazter	b a s̺ t e r
bazter	b a s̻ t e r
baztertu	b a s̺ t e r t u
baztertu	b a s̻ t e r t u
be	b e
bebil	b e b i l
bebiltza	b e b i l t͡s̻ a
becquerel	b e k e ɾ e l
bedeinkatu	b e d e i̯ n k a t u
bederatzi	b e d e ɾ a t͡s̻ i
bederatzigarren	b e d e ɾ a t͡s̻ i ɡ a r e n
bedi	b e d i
begi	b e ɡ i
begira	b e ɡ i ɾ a
begiratu	b e ɡ i ɾ a t u
begiratuko	b e ɡ i ɾ a t u k o
begiratze	b e ɡ i ɾ a t͡s̻ e
begiratzen	b e ɡ i ɾ a t͡s̻ e n
begite	b e ɡ i t e
begitza	b e ɡ i t͡s̻ a
bego	b e ɡ o
behar	b e a r
behar	b e h a r
behartsu	b e a r t͡s̺ u
behartsu	b e a r t͡s̻ u
behartsu	b e h a r t͡s̺ u
behartu	b e a r t u
behartu	b e h a r t u
behatz	b e a t͡s̻
behatz	b e h a t͡s̻
behi	b e h i
behi	b e i̯
behikunde	b e h i k u n d e
behikunde	b e i̯ k u n d e
behor	b e h o r
behor	b e o r
bekain	b e k a i̯ n
bekatu	b e k a t u
beki	b e k i
bekie	b e k i e
bekite	b e k i t e
bekizki	b e k i s̻ k i
bekizkite	b e k i s̻ k i t e
bekusa	b e k u s̺ a
bekusate	b e k u s̺ a t e
bekuski	b e k u s̺ k i
bekuskite	b e k u s̺ k i t e
belar	b e l a r
belarri	b e l a r i
belaun	b e l a u̯ n
belaunburu	b e l a u̯ m b u ɾ u
beldur	b e l d u r
bele	b e l e
belgikar	b e l ɡ i k a r
beltx	b e l t͡ʃ
beltz	b e l t͡s̻
belz	b e l s̻
bentzu	b e n t͡s̻ u
bentzute	b e n t͡s̻ u t e
bentzuzki	b e n t͡s̻ u s̻ k i
bentzuzkite	b e n t͡s̻ u s̻ k i t e
bepuru	b e p u ɾ u
bera	b e ɾ a
berakuski	b e ɾ a k u s̺ k i
berakuskite	b e ɾ a k u s̺ k i t e
berakutsa	b e ɾ a k u t͡s̺ a
berakutsate	b e ɾ a k u t͡s̺ a t e
beraz	b e ɾ a s̺
beraz	b e ɾ a s̻
berde	b e r d e
berdin	b e r d i n
berdindu	b e r d i n d u
berdintasun	b e r d i n t a s̺ u n
berdintsu	b e r d i n t͡s̺ u
berdintsu	b e r d i n t͡s̻ u
berdintza	b e r d i n t͡s̻ a
bere	b e ɾ e
beren	b e ɾ e n
bereziki	b e ɾ e s̺ i k i
bereziki	b e ɾ e s̻ i k i
berezitasun	b e ɾ e s̺ i t a s̺ u n
berezitasun	b e ɾ e s̻ i t a s̺ u n
berilio	b e ɾ i l i o
bermatu	b e r m a t u
berme	b e r m e
bero	b e ɾ o
beroa	b e ɾ o a
beroate	b e ɾ o a t e
beroatza	b e ɾ o a t͡s̻ a
beroatzate	b e ɾ o a t͡s̻ a t e
berori	b e ɾ o ɾ i
berpiztu	b e r p i s̻ t u
berregin	b e r e ɡ i n
berri	b e r i
berriro	b e r i ɾ o
berritu	b e r i t u
berrogei	b e r o ɡ e i̯
bertso	b e r t͡s̺ o
bertsolari	b e r t͡s̺ o l a ɾ i
bertsolari	b e r t͡s̻ o l a ɾ i
berun	b e ɾ u n
besape	b e s̺ a p e
besarkada	b e s̺ a r k a d a
besarkatu	b e s̺ a r k a t u
beso	b e s̺ o
beste	b e s̺ t e
besterendu	b e s̺ t e ɾ e n d u
betaurreko	b e t a u̯ r e k o
betazal	b e t a s̺ a l
betazal	b e t a s̻ a l
bete	b e t e
beti	b e t i
betile	b e t i l e
betile	b e t i ʎ e
betor	b e t o r
betoz	b e t o s̺
betoz	b e t o s̻
betza	b e t͡s̻ a
beude	b e u̯ d e
beuka	b e u̯ k a
beukate	b e u̯ k a t e
beutza	b e u̯ t͡s̻ a
beuzka	b e u̯ s̺ k a
beuzka	b e u̯ s̻ k a
beuzkate	b e u̯ s̺ k a t e
beuzkate	b e u̯ s̻ k a t e
beza	b e s̺ a
beza	b e s̻ a
bezagu	b e s̻ a ɡ u
bezagute	b e s̻ a ɡ u t e
bezaguzki	b e s̻ a ɡ u s̻ k i
bezaguzkite	b e s̻ a ɡ u s̻ k i t e
bezala	b e s̺ a l a
bezala	b e s̻ a l a
bezate	b e s̺ a t e
bezate	b e s̻ a t e
bi	b i
bibote	b i b o t e
bide	b i d e
bidegorri	b i d e ɡ o r i
bidesari	b i d e s̺ a ɾ i
bielorrusiera	b i e l o r u s̺ i e ɾ a
biera	b i e ɾ a
bigarren	b i ɡ a r e n
bihar	b i a r
bihar	b i h a r
bihardu	b i a r d u
bihardu	b i h a r d u
biharduka	b i a r d u k a
biharduka	b i h a r d u k a
bihardukate	b i a r d u k a t e
bihardukate	b i h a r d u k a t e
bihardute	b i a r d u t e
bihardute	b i h a r d u t e
biharko	b i a r k o
biharko	b i h a r k o
biharrera	b i a r e ɾ a
biharrera	b i h a r e ɾ a
bihartik	b i a r t i k
bihartik	b i h a r t i k
bihitegi	b i h i t e ɡ i
bihitegi	b i t e ɡ i
bihoa	b i h o a
bihoa	b i x o a
bihoaz	b i h o a s̻
bihoaz	b i x o a s̺
bihoaz	b i x o a s̻
bihotz	b i h o t͡s̻
bihotz	b i o t͡s̻
bihur	b i h u r
bihur	b i u r
bihurri	b i h u r i
bihurri	b i u r i
bihurritu	b i h u r i t u
bihurritu	b i u r i t u
bihurtu	b i h u r t u
bihurtu	b i u r t u
bikain	b i k a i̯ n
bikoitz	b i k o i̯ t͡s̻
bikote	b i k o t e
bila	b i l a
bila	b i ʎ a
bilatu	b i l a t u
bilatu	b i ʎ a t u
bilbotar	b i l b o t a r
bildil	b i l d i l
bildu	b i l d u
bilur	b i l u r
bilur	b i ʎ u r
biologia	b i o l o ɡ i a
biologiak	b i o l o ɡ i a k
bira	b i ɾ a
birao	b i ɾ a o
birau	b i ɾ a u̯
biraute	b i ɾ a u̯ t e
biribilketa	b i ɾ i b i l k e t a
birika	b i ɾ i k a
birudi	b i ɾ u d i
birudite	b i ɾ u d i t e
bisita	b i s̺ i t a
bista	b i s̺ t a
bisuts	b i s̺ u t͡s̺
bitartean	b i t a r t e a n
bitez	b i t e s̺
bitez	b i t e s̻
bitza	b i t͡s̻ a
bitzate	b i t͡s̻ a t e
biz	b i s̺
biz	b i s̻
bizar	b i s̻ a r
bizi	b i s̺ i
bizi	b i s̻ i
bizikleta	b i s̻ i k l e t a
bizimodu	b i s̺ i m o d u
bizimodu	b i s̻ i m o d u
bizitza	b i s̺ i t͡s̻ a
bizitza	b i s̻ i t͡s̻ a
bizkar	b i s̺ k a r
bizkar	b i s̻ k a r
bizpahiru	b i s̺ p a i̯ ɾ u
bizpahiru	b i s̻ p a h i ɾ u
bizpahiru	b i s̻ p a i̯ ɾ u
biztanle	b i s̺ t a n l e
biztanle	b i s̻ t a n l e
bloke	b l o k e
boilur	b o i̯ l u r
boilur	b o ʎ u r
bolada	b o l a d a
bolante	b o l a n t e
boligrafo	b o l i ɡ r a f o
boro	b o ɾ o
boronde	b o ɾ o n d e
borrero	b o r e ɾ o
bosgarren	b o s̺ ɡ a r e n
boskoitz	b o s̺ k o i̯ t͡s̻
bosniera	b o s̺ n i e ɾ a
bost	b o s̺
bost	b o s̺ t
bosten	b o s̺ t e n
bostortz	b o s̺ t o r t͡s̻
bota	b o t a
botere	b o t e ɾ e
botila	b o t i l a
botila	b o t i ʎ a
boto	b o t o
botoi	b o t o i̯
boz	b o s̺
boz	b o s̻
bozkatu	b o s̻ k a t u
bozketa	b o s̺ k e t a
bozketa	b o s̻ k e t a
bretoiera	b r e t o i̯ e ɾ a
brusa	b r u s̺ a
bukatu	b u k a t u
bular	b u l a r
bularki	b u l a r k i
bularretako	b u l a r e t a k o
bulgariera	b u l ɡ a ɾ i e ɾ a
bumeran	b u m e ɾ a n
burdina	b u r d i n a
burdina	b u r d i ɲ a
burdinbide	b u r d i m b i d e
burdingintza	b u r d i n ɡ i n t͡s̻ a
burko	b u r k o
buru	b u ɾ u
burugogor	b u ɾ u ɡ o ɡ o r
buruil	b u ɾ u i̯ l
burukomin	b u ɾ u k o m i n
burumuin	b u ɾ u m u i̯ n
burusoil	b u ɾ u s̺ o i̯ l
buruz	b u ɾ u s̻
busti	b u s̺ t i
bustialdi	b u s̺ t i a l d i
bustidura	b u s̺ t i d u ɾ a
buztan	b u s̻ t a n
bypass	b a i̯ p a s̺
byte	b a i̯ t
büü	b y y
c	k
c	s̻
caboverdetar	k a b o b e r d e t a r
camembert	k a m e m b e r
camembert	k a m e m b e r t
camping	k a m p i n
campus	k a m p u s̺
cancer	k a n s̺ e r
cancer	k a n s̻ e r
capoeira	k a p o e i̯ ɾ a
capricornus	k a p r i k o r n u s̺
carmeltazita	k a r m e l t a s̺ i t a
carmeltazita	k a r m e l t a s̻ i t a
casting	k a s̺ t i n
catering	k a t e ɾ i n
cava	k a b a
cello	t͡ʃ e l o
chantilly	ʃ a n t i ʎ i
charleston	t͡ʃ a r l e s̺ t o n
charter	t͡ʃ a r t e r
chauvinista	t͡ʃ o b i n i s̺ t a
chef	t͡ʃ e f
chef	ʃ e f
chihuahua	t͡ʃ i w a w a
cicerone	s̺ i s̺ e ɾ o n e
cicerone	s̻ i s̻ e ɾ o n e
clown	k l a u̯ n
collage	k o l a ʃ
collage	k o l a ʒ
collie	k o l i
copyleft	k o p i l e f t
copyright	k o p i r a i̯ t
corpus	k o r p u s̺
costarricar	k o s̺ t a r i k a r
coulomb	k u l o m
coulomb	k u l o m b
country	k a u̯ n t r i
cowboy	k a u̯ b o i̯
cricket	k r i k e t
croissant	k r w a s̺ a n
cromlech	k r o m l e t͡ʃ
cross	k r o s̺
cumbia	k u m b i a
curling	k u r l i n
curriculum	k u r i k u l u m
curry	k u r i
d	d e
da	d a
dabil	d a b i l
dabilela	d a b i l e l a
dabilela	d a b i ʎ e l a
dabilen	d a b i l e n
dabilen	d a b i ʎ e n
dabilke	d a b i l k e
dabiltza	d a b i l t͡s̻ a
dabiltzala	d a b i l t͡s̻ a l a
dabiltzan	d a b i l t͡s̻ a n
dabilzke	d a b i l s̺ k e
dabilzke	d a b i l s̻ k e
dadila	d a d i l a
dadila	d a d i ʎ a
dadin	d a d i n
dagi	d a ɡ i
dagigu	d a ɡ i ɡ u
dagik	d a ɡ i k
dagin	d a ɡ i n
dagit	d a ɡ i t
dagite	d a ɡ i t e
dagitza	d a ɡ i t͡s̻ a
dagitzagu	d a ɡ i t͡s̻ a ɡ u
dagitzak	d a ɡ i t͡s̻ a k
dagitzan	d a ɡ i t͡s̻ a n
dagitzat	d a ɡ i t͡s̻ a t
dagitzate	d a ɡ i t͡s̻ a t e
dagitzazu	d a ɡ i t͡s̻ a s̺ u
dagitzazu	d a ɡ i t͡s̻ a s̻ u
dagitzazue	d a ɡ i t͡s̻ a s̺ u e
dagitzazue	d a ɡ i t͡s̻ a s̻ u e
dagizu	d a ɡ i s̺ u
dagizu	d a ɡ i s̻ u
dagizue	d a ɡ i s̺ u e
dagizue	d a ɡ i s̻ u e
dago	d a ɡ o
dagoela	d a ɡ o e l a
dagoen	d a ɡ o e n
dagoke	d a ɡ o k e
dagonil	d a ɡ o n i l
daiteke	d a i̯ t e k e
daitekek	d a i̯ t e k e k
daiteken	d a i̯ t e k e n
daitezela	d a i̯ t e s̺ e l a
daitezela	d a i̯ t e s̻ e l a
daitezen	d a i̯ t e s̺ e n
daitezen	d a i̯ t e s̻ e n
daitezke	d a i̯ t e s̺ k e
daitezke	d a i̯ t e s̻ k e
daitezkek	d a i̯ t e s̺ k e k
daitezkek	d a i̯ t e s̻ k e k
daitezken	d a i̯ t e s̺ k e n
daitezken	d a i̯ t e s̻ k e n
dakar	d a k a r
daki	d a k i
dakigu	d a k i ɡ u
dakik	d a k i k
dakin	d a k i n
dakit	d a k i t
dakite	d a k i t e
dakizki	d a k i s̻ k i
dakizkigu	d a k i s̻ k i ɡ u
dakizkik	d a k i s̻ k i k
dakizkin	d a k i s̻ k i n
dakizkit	d a k i s̻ k i t
dakizkite	d a k i s̻ k i t e
dakizkizu	d a k i s̻ k i s̻ u
dakizkizue	d a k i s̻ k i s̻ u e
dakizu	d a k i s̻ u
dakizue	d a k i s̻ u e
dakusa	d a k u s̺ a
dakusagu	d a k u s̺ a ɡ u
dakusak	d a k u s̺ a k
dakusan	d a k u s̺ a n
dakusat	d a k u s̺ a t
dakusate	d a k u s̺ a t e
dakusazu	d a k u s̺ a s̻ u
dakusazue	d a k u s̺ a s̻ u e
dakuski	d a k u s̺ k i
dakuskigu	d a k u s̺ k i ɡ u
dakuskik	d a k u s̺ k i k
dakuskin	d a k u s̺ k i n
dakuskit	d a k u s̺ k i t
dakuskite	d a k u s̺ k i t e
dakuskizu	d a k u s̺ k i s̻ u
dakuskizue	d a k u s̺ k i s̻ u e
damu	d a m u
damutu	d a m u t u
daniera	d a n i e ɾ a
dantza	d a n t͡s̻ a
dantzu	d a n t͡s̻ u
dantzugu	d a n t͡s̻ u ɡ u
dantzuk	d a n t͡s̻ u k
dantzun	d a n t͡s̻ u n
dantzut	d a n t͡s̻ u t
dantzute	d a n t͡s̻ u t e
dantzuzki	d a n t͡s̻ u s̻ k i
dantzuzkigu	d a n t͡s̻ u s̻ k i ɡ u
dantzuzkik	d a n t͡s̻ u s̻ k i k
dantzuzkin	d a n t͡s̻ u s̻ k i n
dantzuzkit	d a n t͡s̻ u s̻ k i t
dantzuzkite	d a n t͡s̻ u s̻ k i t e
dantzuzkizu	d a n t͡s̻ u s̻ k i s̻ u
dantzuzkizue	d a n t͡s̻ u s̻ k i s̻ u e
dantzuzu	d a n t͡s̻ u s̻ u
dantzuzue	d a n t͡s̻ u s̻ u e
darakuski	d a ɾ a k u s̺ k i
darakuskigu	d a ɾ a k u s̺ k i ɡ u
darakuskik	d a ɾ a k u s̺ k i k
darakuskin	d a ɾ a k u s̺ k i n
darakuskit	d a ɾ a k u s̺ k i t
darakuskite	d a ɾ a k u s̺ k i t e
darakuskizu	d a ɾ a k u s̺ k i s̻ u
darakuskizue	d a ɾ a k u s̺ k i s̻ u e
darakutsa	d a ɾ a k u t͡s̺ a
darakutsagu	d a ɾ a k u t͡s̺ a ɡ u
darakutsak	d a ɾ a k u t͡s̺ a k
darakutsan	d a ɾ a k u t͡s̺ a n
darakutsat	d a ɾ a k u t͡s̺ a t
darakutsate	d a ɾ a k u t͡s̺ a t e
darakutsazu	d a ɾ a k u t͡s̺ a s̻ u
darakutsazue	d a ɾ a k u t͡s̺ a s̻ u e
darama	d a ɾ a m a
daratulu	d a ɾ a t u l u
dardara	d a r d a ɾ a
dardaratu	d a r d a ɾ a t u
darik	d a ɾ i k
darin	d a ɾ i n
daroa	d a ɾ o a
daroagu	d a ɾ o a ɡ u
daroak	d a ɾ o a k
daroan	d a ɾ o a n
daroat	d a ɾ o a t
daroate	d a ɾ o a t e
daroatza	d a ɾ o a t͡s̻ a
daroatzagu	d a ɾ o a t͡s̻ a ɡ u
daroatzak	d a ɾ o a t͡s̻ a k
daroatzan	d a ɾ o a t͡s̻ a n
daroatzat	d a ɾ o a t͡s̻ a t
daroatzate	d a ɾ o a t͡s̻ a t e
daroatzazu	d a ɾ o a t͡s̻ a s̻ u
daroatzazue	d a ɾ o a t͡s̻ a s̻ u e
daroazu	d a ɾ o a s̺ u
daroazu	d a ɾ o a s̻ u
daroazue	d a ɾ o a s̺ u e
daroazue	d a ɾ o a s̻ u e
dateke	d a t e k e
dator	d a t o r
datorke	d a t o r k e
datorrela	d a t o r e l a
datorren	d a t o r e n
datoz	d a t o s̺
datoz	d a t o s̻
datozela	d a t o s̺ e l a
datozela	d a t o s̻ e l a
datozen	d a t o s̺ e n
datozen	d a t o s̻ e n
datozke	d a t o s̺ k e
datozke	d a t o s̻ k e
datu	d a t u
datxekie	d a t͡ʃ e k i e
datxekigu	d a t͡ʃ e k i ɡ u
datxekik	d a t͡ʃ e k i k
datxekin	d a t͡ʃ e k i n
datxekio	d a t͡ʃ e k i o
datxekit	d a t͡ʃ e k i t
datxekizu	d a t͡ʃ e k i s̺ u
datxekizu	d a t͡ʃ e k i s̻ u
datxekizue	d a t͡ʃ e k i s̺ u e
datxekizue	d a t͡ʃ e k i s̻ u e
datxezkie	d a t͡ʃ e s̺ k i e
datxezkie	d a t͡ʃ e s̻ k i e
datxezkigu	d a t͡ʃ e s̺ k i ɡ u
datxezkigu	d a t͡ʃ e s̻ k i ɡ u
datxezkik	d a t͡ʃ e s̺ k i k
datxezkik	d a t͡ʃ e s̻ k i k
datxezkin	d a t͡ʃ e s̺ k i n
datxezkin	d a t͡ʃ e s̻ k i n
datxezkio	d a t͡ʃ e s̺ k i o
datxezkio	d a t͡ʃ e s̻ k i o
datxezkit	d a t͡ʃ e s̺ k i t
datxezkit	d a t͡ʃ e s̻ k i t
datxezkizu	d a t͡ʃ e s̺ k i s̺ u
datxezkizu	d a t͡ʃ e s̻ k i s̻ u
datxezkizue	d a t͡ʃ e s̺ k i s̺ u e
datxezkizue	d a t͡ʃ e s̻ k i s̻ u e
datza	d a t͡s̻ a
daude	d a u̯ d e
daudeke	d a u̯ d e k e
daudela	d a u̯ d e l a
dauden	d a u̯ d e n
dauka	d a u̯ k a
daukagu	d a u̯ k a ɡ u
daukak	d a u̯ k a k
daukan	d a u̯ k a n
daukat	d a u̯ k a t
daukate	d a u̯ k a t e
daukazu	d a u̯ k a s̺ u
daukazu	d a u̯ k a s̻ u
daukazue	d a u̯ k a s̺ u e
daukazue	d a u̯ k a s̻ u e
dautza	d a u̯ t͡s̻ a
dauzka	d a u̯ s̺ k a
dauzka	d a u̯ s̻ k a
dauzkagu	d a u̯ s̺ k a ɡ u
dauzkagu	d a u̯ s̻ k a ɡ u
dauzkak	d a u̯ s̺ k a k
dauzkak	d a u̯ s̻ k a k
dauzkan	d a u̯ s̺ k a n
dauzkan	d a u̯ s̻ k a n
dauzkat	d a u̯ s̺ k a t
dauzkat	d a u̯ s̻ k a t
dauzkate	d a u̯ s̺ k a t e
dauzkate	d a u̯ s̻ k a t e
dauzkazu	d a u̯ s̺ k a s̺ u
dauzkazu	d a u̯ s̻ k a s̻ u
dauzkazue	d a u̯ s̺ k a s̺ u e
dauzkazue	d a u̯ s̻ k a s̻ u e
dazagu	d a s̻ a ɡ u
dazagugu	d a s̻ a ɡ u ɡ u
dazaguk	d a s̻ a ɡ u k
dazagun	d a s̻ a ɡ u n
dazagut	d a s̻ a ɡ u t
dazagute	d a s̻ a ɡ u t e
dazaguzki	d a s̻ a ɡ u s̻ k i
dazaguzkigu	d a s̻ a ɡ u s̻ k i ɡ u
dazaguzkik	d a s̻ a ɡ u s̻ k i k
dazaguzkin	d a s̻ a ɡ u s̻ k i n
dazaguzkit	d a s̻ a ɡ u s̻ k i t
dazaguzkite	d a s̻ a ɡ u s̻ k i t e
dazaguzkizu	d a s̻ a ɡ u s̻ k i s̻ u
dazaguzkizue	d a s̻ a ɡ u s̻ k i s̻ u e
dazaguzu	d a s̻ a ɡ u s̻ u
dazaguzue	d a s̻ a ɡ u s̻ u e
de	d e
deabru	d e a b r u
deabrukeria	d e a b r u k e ɾ i a
dei	d e i̯
deia	d e i̯ a
deien	d e i̯ e n
deiez	d e i̯ e s̺
deiez	d e i̯ e s̻
deira	d e i̯ ɾ a
deiri	d e i̯ ɾ i
deitara	d e i̯ t a ɾ a
deitu	d e i̯ t u
deitura	d e i̯ t u ɾ a
denda	d e n d a
dendari	d e n d a ɾ i
derrigortu	d e r i ɡ o r t u
desagertu	d e s̺ a ɡ e r t u
desberdin	d e s̺ b e r d i n
desberdintasun	d e s̺ b e r d i n t a s̺ u n
desegigo	d e s̺ e ɡ i ɡ o
desegin	d e s̺ e ɡ i n
desira	d e s̺ i ɾ a
desiratu	d e s̺ i ɾ a t u
deskargatu	d e s̺ k a r ɡ a t u
despit	d e s̺ p i t
dezaala	d e s̺ a a l a
dezaala	d e s̻ a a l a
dezaan	d e s̺ a a n
dezaan	d e s̻ a a n
dezadala	d e s̺ a d a l a
dezadala	d e s̻ a d a l a
dezadan	d e s̺ a d a n
dezadan	d e s̻ a d a n
dezagula	d e s̺ a ɡ u l a
dezagula	d e s̻ a ɡ u l a
dezagun	d e s̺ a ɡ u n
dezagun	d e s̻ a ɡ u n
dezake	d e s̺ a k e
dezake	d e s̻ a k e
dezakegu	d e s̺ a k e ɡ u
dezakegu	d e s̻ a k e ɡ u
dezakek	d e s̺ a k e k
dezakek	d e s̻ a k e k
dezaken	d e s̺ a k e n
dezaken	d e s̻ a k e n
dezaket	d e s̺ a k e t
dezaket	d e s̻ a k e t
dezakete	d e s̺ a k e t e
dezakete	d e s̻ a k e t e
dezakezu	d e s̺ a k e s̺ u
dezakezu	d e s̻ a k e s̻ u
dezakezue	d e s̺ a k e s̺ u e
dezakezue	d e s̻ a k e s̻ u e
dezala	d e s̺ a l a
dezala	d e s̻ a l a
dezan	d e s̺ a n
dezan	d e s̻ a n
dezanala	d e s̺ a n a l a
dezanala	d e s̻ a n a l a
dezanan	d e s̺ a n a n
dezanan	d e s̻ a n a n
dezatela	d e s̺ a t e l a
dezatela	d e s̻ a t e l a
dezaten	d e s̺ a t e n
dezaten	d e s̻ a t e n
dezazuela	d e s̺ a s̺ u e l a
dezazuela	d e s̻ a s̻ u e l a
dezazuen	d e s̺ a s̺ u e n
dezazuen	d e s̻ a s̻ u e n
dezazula	d e s̺ a s̺ u l a
dezazula	d e s̻ a s̻ u l a
