ABŞ	ɑ b ʃ
cihad	d͡z i h ɑ d
cincilim	d͡z i n d͡z i l i m
cincilim	d͡ʒ i n d͡ʒ i l i m
cinsi	d͡z i n s i
cinsi	d͡ʒ i n s i
civi	d͡z i v i
civi	d͡ʒ i v i
cizgi	d͡z i z d͡ʒ i
cizgi	d͡ʒ i z ɡ i
cizyə	d͡z i z j æ
cizyə	d͡ʒ i z j æ
cuhud	d͡z u h u d
cuhud	d͡ʒ u h u d
cücə	d͡z y d͡z æ
cücə	d͡ʒ y d͡ʒ æ
cümhuriyyət	d͡z y m h uː r i j æ t
cümhuriyyət	d͡ʒ y m h uː r i j æ t
cümlə	d͡z y m l æ
cümlə	d͡ʒ y m l æ
cüt	d͡z y t
cüt	d͡ʒ y t
cütlük	d͡z y t l y k
cütlük	d͡ʒ y t l y k
cütçü	d͡z y t t͡s y
cütçü	d͡ʒ y t t͡ʃ y
cütçülük	d͡z y t t͡s y l y k
cütçülük	d͡ʒ y t t͡ʃ y l y k
cındır	d͡z ɯ n d ɯ r
cındır	d͡ʒ ɯ n d ɯ r
cırmaq	d͡z ɯ r m ɑ χ
cırmaq	d͡ʒ ɯ r m ɑ χ
cırıq	d͡z ɯ r ɯ χ
cırıq	d͡ʒ ɯ r ɯ χ
cığal	d͡ʒ ɯ ɣ ɑ ɫ
cığır	d͡z ɯ ɣ ɯ r
cığır	d͡ʒ ɯ ɣ ɯ r
cəbhəçi	d͡z æ p h æ t͡s i
cəbhəçi	d͡ʒ æ p h æ t͡ʃ i
cəbri	d͡z æ b r i
cəbri	d͡ʒ æ b r i
cəhan	d͡ʒ æ h ɑ n
cəhd	d͡z æ h d
cəhd	d͡ʒ æ h d
cəm	d͡z æ m
cəm	d͡ʒ æ m
cəmi	d͡z æ m i
cəmi	d͡ʒ æ m i
cəmiyyət	d͡z æ m i j æ t
cəmiyyət	d͡ʒ æ m i j æ t
cənab	d͡ʒ æ n ɑ b
cərimə	d͡z æ r i m æ
cərimə	d͡ʒ æ r i m æ
cəsarət	d͡z æ s ɑː r æ t
cəsarət	d͡ʒ æ s ɑː r æ t
cəvabən	d͡z æ v ɑː b æ n
cəvabən	d͡ʒ æ v ɑː b æ n
cəvabən	d͡ʒ ɑ v ɑː b æ n
cəviz	d z æ v i z
cəviz	d͡ʒ æ v i z
cəza	d͡z æ z ɑ
cəza	d͡ʒ æ z ɑ
cəzalandırmaq	d͡z æ z ɑ ɫ ɑ n d ɯ r m ɑ χ
cəzalandırmaq	d͡ʒ æ z ɑ ɫ ɑ n d ɯ r m ɑ χ
cəzalandırıcı	d͡z æ z ɑ ɫ ɑ n d ɯ r ɯ d͡z ɯ
cəzalandırıcı	d͡ʒ æ z ɑ ɫ ɑ n d ɯ r ɯ d͡ʒ ɯ
cəzalanmaq	d͡z æ z ɑ ɫ ɑ n m ɑ χ
cəzalanmaq	d͡ʒ æ z ɑ ɫ ɑ n m ɑ χ
dad	d ɑ d
dad	d ɑː d
dadı	d ɑ d ɯ
daha	d ɑ h ɑ
daim	d ɑ i m
daima	d ɑ i m ɑ
dairəvi	d ɑ i r æ v i
dal	d ɑ ɫ
dala	d ɑ ɫ ɑ
dalandar	d ɑ ɫ ɑ n d ɑ r
dalaq	d ɑ ɫ ɑ χ
dalbadal	d ɑ ɫ b ɑ d ɑ ɫ
daldırmaq	d ɑ ɫ d ɯ r m ɑ χ
dalmaq	d ɑ ɫ m ɑ χ
dalğa	d ɑ ɫ ɣ ɑ
dalınca	d ɑ ɫ ɯ n d͡z ɑ
dalınca	d ɑ ɫ ɯ n d͡ʒ ɑ
damaq	d ɑ m ɑ x
damaqarxası	d ɑ m ɑ ɣ ɑ r x a s ɯ
damaqortası	d ɑ m ɑ ɣ o r t ɑ s ɯ
damaqönü	d ɑ m ɑ ɣ œ n y
damar	d ɑ m ɑ r
damcı	d ɑ m d͡z ɯ
damcı	d ɑ m d͡ʒ ɯ
damla	d ɑ m ɫ ɑ
damğalı	d ɑ m ɣ ɑ ɫ ɯ
dan	d ɑ n
danimarkalı	d ɑ n i m ɑ r k ɑ ɫ ɯ
danmaq	d ɑ mː ɑ χ
danmaq	d ɑ n m ɑ χ
danna	d ɑ nː ɑ
danışdırmaq	d ɑ n ɯ ʃ d ɯ r
danışmaq	d a n ɯ ʃ m ɑ χ
danışıq	d ɑ n ɯ ʃ ɯ χ
dar	d ɑ r
daramaq	d ɑ r ɑ m ɑ χ
daraq	d ɑ r ɑ χ
daraq	t ɑ r ɑ χ
dartmaq	d ɑ r t m ɑ χ
darvaza	d ɑ r v ɑ z ɑ
darılmaq	d ɑ r ɯ ɫ m ɑ χ
dava	d ɑː v ɑ
davamçı	d ɑ v ɑ m t͡s ɯ
davamçı	d ɑ v ɑ m t͡ʃ ɯ
davar	d ɑ v ɑ r
daxil	d ɑː χ i l
daxili	d ɑː χ i l i
daxma	d ɑ x m ɑ
day	d ɑ j
dayamaq	d a j ɑ m ɑ χ
dayanacaq	d ɑ j ɑ n ɑ d͡ʒ ɑ χ
dayandırmaq	d ɑ j ɑ n d ɯ r m ɑ x
dayanmaq	d a j ɑ mː ɑ χ
dayanmaq	d a j ɑ n m ɑ χ
dayça	d ɑ j t͡s ɑ
dayça	d ɑ j t͡ʃ ɑ
dayı	d ɑ j ɯ
dayıoğlu	d ɑ j ɯ o ɣ ɫ u
dayıqızı	d ɑ j ɯ ɡ ɯ z ɯ
dayə	d aː j æ
daz	d ɑ z
dağlı	d ɑ ɣ ɫ ɯ
dağılmaq	d ɑ ɣ ɯ ɫ m ɑ χ
dağılmaq	d ɑː ɫ m ɑ χ
dağıntı	d ɑ ɣ ɯ n t ɯ
daş	d ɑ ʃ
daşımaq	d ɑ ʃ ɯ m ɑ χ
daşşaq	d ɑ ʃː ɑ χ
deaktivləşdirmək	d e ɑ k t i v l æ ʃ t i r m æ k
dekabr	d e k a b r̥̩
demək	d e m æ k
devirmək	d e v i r m æ j
devirmək	d e v i r m æ k
deyinmək	d e j i n m æ c
deyəsən	d e j æ s æ n
deyəsən	d i j æ s æ n
deşik	d e ʃ i j
deşik	d e ʃ i ç
didik	d i d i c
didmək	d i d m æ c
didərgin	d i d æ r ɟ i n
digər	d i d͡ʒ æ r
digər	d i ɟ æ r
dik	d i c
dik	d i t͡ʃ
dikbaş	d i k b ɑ ʃ
dikbaş	d i t͡ʃ b ɑ ʃ
dikmək	d i c m æ c
dikmək	d i k m æ j
dikmək	d i t͡ʃ m æ ç
diktor	d i k t o r
dil	d i l
dilab	d i ɫ ɑ b
dilab	d i ɫ ɑ f
dilim	d i l i m
dilimi	d i l i m i
dilmanc	d i l m ɑ n d͡z
dilmanc	d i l m ɑ n d͡ʒ
dilçi	d i l t͡s i
dilçi	d i l t͡ʃ i
dilçilik	d i l t͡s i l i j
dilçilik	d i l t͡s i l i k
dilçilik	d i l t͡ʃ i l i j
dilçilik	d i l t͡ʃ i l i k
dilənmək	d i l æ mː æ j
dilənmək	d i l æ mː æ k
dilənmək	d i l æ n m æ j
dilənmək	d i l æ n m æ k
dilənçi	d i l æ n t͡s i
dilənçi	d i l æ n t͡ʃ i
dilənçilik	d i l æ n t͡s i l i t͡ʃ
dilənçilik	d i l æ n t͡ʃ i l i k
din	d i n
dincəlmək	d i n d͡z æ l m æ j
dincəlmək	d i n d͡z æ l m æ k
dincəlmək	d i n d͡ʒ æ l m æ j
dincəlmək	d i n d͡ʒ æ l m æ k
dindar	d i n d a r
dindirmə	d i n d i r m æ
dinləmək	d i n l æ m æ c
dinləmək	d i n l æ m ɑ χ
dinləmək	d i nː æ m æ c
dinozavr	d i n ɔ ʐ ɑː v ɾ
diqqət	d i ɡː æ t
dirçəliş	d i r t͡s æ l i ʃ
dirçəliş	d i r t͡ʃ æ l i ʃ
diskriminasiya	d i s k r i m i n ɑ s i j a
divar	d i v ɑ r
divar	d u v ɑ r
diş	d i ʃ
dişləmək	d i ʃ t æ m æ j
dişləmək	d i ʃ t æ m æ k
dişləmək	d i ʃ t æ m ɑ χ
dolab	d o ɫ ɑ b
dolamac	d o ɫ ɑ m ɑ d͡z
dolaşmaq	d o ɫ ɑ ʃ m ɑ x
doldurmaq	d o ɫ d u r m ɑ χ
dolma	d o ɫ m ɑ
dolmaq	d o ɫ m ɑ χ
dolu	d o ɫ u
dolğun	d o ɫ ɣ u n
dombalaq	d o mː b ɑ l ɑ x
dondurma	d o n d u r m ɑ
dondurmaq	d o n d u r m ɑ χ
dongra	d o ɴ r ɑ
donmaq	d o mː ɑ χ
donmaq	d o n m ɑ χ
donuz	d o n u z
donuz	d o ɴ u z
donuz	d o ʊ z
doqquz	d o k q u z
doqquzuncu	d o kː u z u n d͡ʒ u
doqquzuncu	d o ɡː u z u n d͡ʒ u
dost	d o s t
dostluq	d o s t ɫ u χ
dostluq	d o s tː u χ
dovşan	d o u̯ v ʃ ɑ n
dovşan	d o ʋ ʃ ɑ n
doxsanıncı	d o x s ɑ n ɯ n d͡ʒ ɯ
doğmaq	d o ɣ m ɑ χ
doğramaq	d o ɣ r ɑ m ɑ χ
doğrudan	d o ɣ r u d ɑ n
doğrudan	d o ɣ u r d ɑ n
doğrudan	d oː d ɑ n
doğulmaq	d o ɣ u ɫ m ɑ χ
dua	d u ɑ
dublyaj	d u b l j ɑ ʒ
dulus	d u ɫ u s
dulusçu	d u ɫ u s t͡s u
dulusçu	d u ɫ u s t͡ʃ u
duman	d u m ɑ n
durmaq	d u r m ɑ χ
durna	d u r n ɑ
duruş	d u r u ʃ
durğuzmaq	d u r ɣ u z m ɑ x
dustaq	d u s t ɑ χ
duvaq	d u v ɑ x
dux	d u χ
duymaq	d u j m ɑ χ
duyğu	d u j ɣ u
döl	d œ l
dölləndirmək	d œ lː æ n d i r m æ c
dönmək	d œ mː æ j
dönmək	d œ mː æ k
dönmək	d œ n m æ j
dönmək	d œ n m æ k
dönüş	d œ n y ʃ
dönər	d œ n æ r
dönərxana	d œ n æ r χ ɑ n ɑ
dörd	d œ r d
dördgöz	d œ r d d͡ʒ œ z
dördgöz	d œ r d ɟ œ z
dördüncü	d œ ɾ d y n d͡ʒ y
dövlət	d œ w l æ t
dövlət	d œ y̯ v l æ t
dövr	d œ v r
dövri	d e v r i
dövri	d œ v r i
dövri	d œ v r y
dövriyyə	d œ v r i j æ
dövrə	d œ v r æ
dövrəvi	d œ v r æ v i
döymək	d œ j m æ c
döymək	d œ j m æ j
döymək	d œ j m ɑ χ
döymək	d œ ɡ m e j
döymək	d œ ɡ m æ j
döyüş	d œ j y ʃ
dözmək	d œ z m æ j
dözmək	d œ z m æ k
dözülməz	d œ z y l m æ z
dözüm	d œ z y m
dözümlü	d œ z y m l y
dözümlülük	d œ z y m l y l y j
dözümlülük	d œ z y m l y l y k
dözümsüz	d œ z y m s y z
dözümsüzlük	d œ z y m s y z l y j
dözümsüzlük	d œ z y m s y z l y k
döşək	d œ ʃ æ j
döşək	d œ ʃ æ k
döşəkağı	d œ ʃ æ j ɑ ɣ ɯ
dübarə	d y b aː r æ
düha	d y h ɑ
dükan	d y c a n
dükan	d y t͡ʃ a n
dükan	t y c a n
dükan	t y t͡ʃ a n
dükançı	d y c a n t͡ʃ ɯ
dükançı	d y t͡ʃ a n t͡s ɯ
dülgər	d y l ɟ æ r
dünyəvi	d y n j æː v i
dünən	d y n æ n
dürüst	d y r y s t
dürüstlük	d y ɾ y s d y ç
düyü	d y j y
düyü	d y ɟ ɪ
düyə	d y j ɑ
düz	d y z
düzbucaqlı	d y z b u d͡z ɑ ɣ ɫ ɯ
düzbucaqlı	d y z b u d͡ʒ ɑ ɣ ɫ ɯ
düzgün	d y z ɟ y n
düzəlmək	d y z æ l m e j
düzəlmək	d y z æ l m æ j
düzəlmək	d y z æ l m æ k
düzəlmək	d y z æ l m ɑ χ
düzəltmək	d y z æ l t m e j
düzəltmək	d y z æ l t m æ c
düzəltmək	d y z æ l t m æ j
düzəltmək	d y z æ t m ɑ χ
düzən	d y z æ n
düş	d y ʃ
düş	t y ʃ
düşman	d y ʃ m ɑː n
düşmək	d y ʃ m æ k
düşmək	t y ʃ m æ k
düşmən	d y ʃ m æ n
düşmənçilik	d y ʃ m æ n t͡s i l i t͡ʃ
düşmənçilik	d y ʃ m æ n t͡ʃ i l i j
düşmənçilik	d y ʃ m æ n t͡ʃ i l i k
düşmənçilik	d y ʃ m æ n t͡ʃ i l i ç
düşünmək	d y ʃ y mː æ j
düşünmək	d y ʃ y mː ɑ χ
dılaq	d ɯ ɫ ɑ χ
dıllaq	d ɯ ɫː ɑ χ
dındıq	d ɯ n d ɯ x
dırmıq	d ɯ r m ɯ χ
dırnaq	d ɯ r n ɑ χ
dığa	d ɯ ɣ ɑ
dışarı	d ɯ ʃ ɑ r ɯ
dəb	d æ b
dədə	d æ d æ
dəfnə	d æ f n æ
dəftər	d æ f t æ r
dəfə	d æ f æ
dəhənz	d æ h æ n z
dəli	d æ l i
dəlixana	d æ l i χ ɑ n ɑ
dələ	d æ l æ
dəm	d æ m
dəmiryol	d æ m i r j o ɫ
dəmirçi	d æ m i r t͡s i
dəmirçi	d æ m i r t͡ʃ i
dəmləmək	d æ m l æ m æ j
dəmləmək	d æ m l æ m æ k
dəmləmək	d æ m l æ m æ ç
dənizçilik	d æ n i z t͡s i l i ç
dənizçilik	d æ n i z t͡ʃ i l i k
dənə	d æ n æ
dəqiq	d æ ɡ i ɡ
dəqiqə	d æ j ɡ æ
dəqiqə	d æ ɡ i ɡ æ
dəqiqə	d æ ɡ iː ɡ æ
dəqiqə	d æ ɡː æ
dəqiqə	d æː ɡ æ
dəqiqə	d ɑ ɣ ɑ
dərd	d æ r d
dərhal	d æ r h ɑ ɫ
dəri	d æ r i
dərin	d æ r i n
dərinlik	d æ r i n l i j
dərman	d æ r m ɑ n
dərs	d æ r s
dərzi	d æ r z i
dəstək	d æ s t æ j
dəstək	d æ s t æ ç
dəstəmaz	d æ s t æ m ɑ z
dəxil	d æ x i l
dəxl	d æ x l
dəxmə	d æ x m æ
dəyirman	d æ j i r m ɑ n
dəyişdirmək	d æ j i ʃ d i r m æ j
dəyişdirmək	d æ j i ʃ d i r m æ k
dəyişdirmək	d æ j i ʃ t i r m æ j
dəyişdirmək	d æ j i ʃ t i r m æ k
dəyişik	d æ j i ʃ i c
dəyişkən	d æ j i ʃ c æ n
dəyişmək	d æ j i ʃ m æ j
dəyişmək	d æ j i ʃ m æ k
dəymiş	d æ j m i ʃ
dəymək	d æ j m æ j
dəymək	d æ j m æ k
dəymək	d æ j m ɑ χ
dəyməz	d æ j m æ z
dəyə	d æ j æ
dəyər	d æ j æ r
ecgahan	e d͡ʒ ɟ ɑ h ɑ n
ecgahan	e j d͡z ɑ h ɑ n
ecgahan	e j d͡z ɑː n
ecgahan	e j d͡ʒ ɑ h ɑ n
ecgahan	e j d͡ʒ ɑː n
ecgahan	e ʒ ɟ æ h i n
ecgahan	e ʒ ɟ ɑ h ɑ n
ecgahan	e ʒ ɟ ɑ n
ecgahan	e ʒ ɟ ɑː n
ecgahan	æ d͡z d͡ʒ ɑ h ɑ n
ecgahan	æ d͡ʒ ɟ ɑ h ɑ n
ecgahan	æ ʒ ɟ e j i n
edam	eː d a m
ehtiram	e h t i r ɑ m
ehtiramlı	e h t i r ɑ m ɫ ɯ
ehtiramsız	e h t i r ɑ m s ɯ z
ehtiras	e h t i r ɑ s
ehtiyatla	e h t i j ɑ t ɫ ɑ
elita	e l i t ɑ
elitar	e l i t ɑ r
elxan	e l χ ɑ n
elçilik	e l t͡s i l i t͡ʃ
elçilik	e l t͡ʃ i l i k
elçilik	e l t͡ʃ i l i ç
elə	e l æ
eləmək	e l æ m æ k
en	e n
endirmə	e n d i r m æ
endirmək	e n d i r m æ c
enlər	ɛ n l æ r
enmək	e mː æ k
enmək	e n m æ j
enmək	e n m æ k
ensiklopedik	e n s i k l ɑ p ɛ d i k
epidemiologiya	e p i d e m i o ɫ o ɟ i j ɑ
epidemioloji	e p i d e m i o l o ʒ ɯ
epidemiya	e p i d e m i j ɑ
ertə	e r t æ
ertələmə	e r t æ l æ m æ
etdirmək	e t d i r m æ j
etdirmək	e t d i r m æ k
etdirmək	e tː i r m æ j
etdirmək	e tː i r m æ k
etimoloji	e t i m o l o ʒ ɯ
etiraf	eː t i r ɑ f
etiraz	eː t i r ɑ z
etmək	e t m æ j
etmək	e t m æ k
ev	e v
evcik	e v d͡z i t͡ʃ
evcik	e v d͡ʒ i j
evcik	e v d͡ʒ i k
evlənmək	e v l æ mː æ j
evlənmək	e v l æ mː æ k
evsiz	e v s i z
eybəcər	e j b æ d͡z æ r
eybəcər	e j b æ d͡ʒ æ r
eyham	e j h ɑ m
eyib	e j i b
eyib	æ j i b
eyib	æ ɟ i b
eyib	ɑ j ɯ b
eyləmək	e j l æ m æ k
eyləmək	e j l æ m ɑ χ
eyni	e j n i
eyni	ɑ j n ɯ
eynək	e j n æ j
eynək	e j n æ k
eynək	e j n æ ç
eşitmək	e ʃ i t m æ j
eşitmək	e ʃ i t m æ k
fabrik	f ɑ b r i k
fahişə	f ɑ h i ʃ æ
fahişəlik	f ɑ h i ʃ æ l i k
fahişəxana	f ɑ h i ʃ æ χ ɑ n ɑ
faiz	f ɑ i z
faiz	f ɑ j ɯ z
fani	f ɑː n i
fars	f ɑ r s
faşizm	f ɑ ʃ i z m
ferma	f e r m ɑ
fikirləşmək	f i c i r l æ ʃ m æ j
fikirləşmək	f i c i rː æ ʃ m æ j
film	f i l m
filologiya	f i l ɑ l oˑ ɟ i j ɑ
firqə	f i r ɡ æ
fit	f i t
fitnə	f i t n æ
fonoloji	f o n o ɫ o ʒ ɯ
futbolçu	f u t b o ɫ t͡s u
futbolçu	f u t b o ɫ t͡ʃ u
fövqəladə	f œ v ɡ æ l ɑː d æ
fövqəladə	f œ v ɡ ɑ ɫ ɑ d ɑ
füzelyaj	f y z e l j ɑ ʒ
fındıq	f ɯ n d ɯ χ
fındıqqıran	f ɯ n d ɯ ɣ ɡ ɯ r ɑ n
fırtına	f ɯ ɾ t ɯ n ɑ
fəaliyyət	f æ ɑ l i j æ t
fəhlə	f æ h l æ
fəlsəfə	f æ l s æ f æ
fərli	f æ r l i
fərli	f æ rː i
fərq	f æ r ɡ
fərqlənmək	f æ r ɡ l æ mː æ j
fərqlənmək	f æ r ɡ l æ mː æ k
fəryad	f æ r j ɑ d
fəsil	f æ s i l
gah	ɟ ɑ h
gec	d͡ʒ e d͡z
gec	ɟ e d͡ʒ
gecə	d͡ʒ e d͡z æ
gecə	ɟ e d͡ʒ æ
gecəqondu	d͡ʒ e d͡z æ ɡ o n d u
gecəqondu	ɟ e d͡ʒ æ ɡ o n d u
general	ɟ e n e r ɑ ɫ
geniş	d͡ʒ e n i ʃ
geniş	ɟ e n i ʃ
genişlənmək	ɟ e n i ʃ l æ mː æ c
genişlənmək	ɟ e n i ʃ l æ n m æ c
geri	ɟ e r i
getmək	d͡ʒ e t m ɑ χ
getmək	ɟ e t m æ c
getmək	ɟ e t m æ j
getmək	ɟ e t m æ ç
geydirmə	ɟ e j d i r m æ
geyim	d͡ʒ e j i m
geyim	ɟ e j i m
geyinmək	d̟͡ʒ iː n m ɑ χ
geyinmək	ɟ e j i n m æ k
geymək	d̟͡ʒ iː m ɑ χ
geymək	ɟ e j m æ k
gic	d͡ʒ i d͡z
gic	ɟ i d͡ʒ
gicdıllaq	ɟ i ʒ d ɯ ɫː ɑ χ
gicgah	d͡ʒ i d͡z d͡ʒ ɑ h
gicgah	ɟ i d͡ʒ ɟ ɑ h
giley	d͡ʒ i l e j
giley	ɟ i l e j
gileylənmək	d͡ʒ i l e j l æ n m æ t͡ʃ
gileylənmək	ɟ i l e j l æ n m æ c
gilə	d͡ʒ i l æ
gilə	ɟ i l æ
girdə	ɟ i r d æ
giriş	ɟ i r i ʃ
girişmək	ɟ i r i ʃ m æ c
girmək	d͡ʒ i r m ɑ χ
girmək	ɟ i r m e j
girmək	ɟ i r m æ k
giryə	ɟ i r j æ
gizli	d͡ʒ i z l i
gizli	ɟ i z d i
gizli	ɟ i z l i
gizlin	d͡ʒ i z l i n
gizlin	ɟ i z d i n
gizlin	ɟ i z l i n
gizləmək	ɟ i z d æ m æ k
gizləmək	ɟ i z l æ m æ k
gizlənmək	ɟ i z d æ n m æ k
gizlənmək	ɟ i z l æ n m æ k
gizlənpaç	ɟ i z d æ n p ɑ t͡ʃ
gizlənpaç	ɟ i z l æ n p ɑ t͡ʃ
gizlətmək	d͡ʒ i z l æ t m ɑ χ
gizlətmək	ɟ i z d æ t m æ k
gizlətmək	ɟ i z l æ t m æ k
gombul	ɟ o m b u ɫ
gop	ɟ o p
gopçu	ɟ o p t͡ʃ u
gor	ɟ o r
gorbagor	ɟ o r b ɑ ɟ o r
gurluq	ɟ u r ɫ u χ
gurluq	ɟ u rː u χ
göbələk	ɟ œ b æ l æ j
göbələk	ɟ œ b æ l æ k
göl	d͡ʒ œ l
göl	ɟ œ l
gömmək	ɟ œ mː æ j
gömmək	ɟ œ mː æ k
göndərmək	d͡ʒ œ n d æ r m ɑ χ
göndərmək	ɟ œ n d æ r m æ k
görmək	d͡ʒ œ r m ɑ χ
görmək	ɟ œ r m æ k
görünmək	d͡ʒ œ r y n m æ t͡ʃ
görünmək	ɟ œ r y n m æ k
görüş	d͡ʒ œ r y ʃ
görüş	ɟ œ r y ʃ
görüşdürmək	ɟ œ r y ʃ d y r m æ c
görüşmək	d͡ʒ œ r y ʃ m æ t͡ʃ
görüşmək	ɟ œ r y ʃ m æ c
görə	d͡ʒ œ r æ
görə	ɟ œ r æ
görəsən	d͡ʒ œ r æ s æ n
görəsən	ɟ œ r æ s æ n
göstəriş	d͡ʒ œ s t æ r i ʃ
göstəriş	ɟ œ s t æ r i ʃ
göstərmək	d͡ʒ œ s t æ r m ɑ χ
göstərmək	ɟ œ s t æ r m æ k
göt	d͡ʒ œ t
göt	ɟ œ t
götvərən	d͡ʒ œ t v æ r æ n
götvərən	ɟ œ t v æ r æ n
götvərənlik	ɟ œ t v æ r æ n l i k
götürmək	ɟ œ t y r m æ k
gövdə	ɟ œ v d æ
göy	d͡ʒ œ j
göy	ɟ œ j
göydələn	ɟ œ j d æ l æ n
göyərti	d͡ʒ œ j æ r t i
göyərti	ɟ œ j æ r t i
göyərti	ɟ œ ɟ æ r t i
göyərçin	d͡ʒ œ j æ r t͡s i n
göyərçin	ɟ œ j æ r t͡ʃ i n
göyərçin	ɟ œ ɟ æ r t͡ʃ i n
gözlük	d͡ʒ œ z l y t͡ʃ
gözlük	ɟ œ z l y c
gözləmək	d͡ʒ œ z l æ m ɑ χ
gözləmək	ɟ œ z d æ m e j
gözləmək	ɟ œ z d æ m æ c
gözləmək	ɟ œ z l æ m æ c
gözlənilməz	ɟ œ z d æ n i l m æ z
gözlənilməz	ɟ œ z l æ n i l m æ z
gözlənti	ɟ œ z d æ n t i
gözlənti	ɟ œ z l æ n t i
gözmuncuğu	d͡ʒ œ z m u n d͡z u ɣ u
gözmuncuğu	ɟ œ z m u n d͡ʒ u ɣ u
gözüaçıq	d͡ʒ œ z y ɑ t͡s ɯ χ
gözüaçıq	ɟ œ z y ɑ t͡ʃ ɯ χ
güc	d͡ʒ y ʒ
güclü	d͡ʒ y d͡z l y
güclü	d͡ʒ y ʒ l ɪ
güclü	ɟ y d͡ʒ l y
gül	ɟ y l
gülab	d͡ʒ y l ɑ b
gülab	ɟ y l ɑ b
güllə	ɟ y lː æ
güllələmək	d ʒ y lː æ l æ m ɑ χ
güllələmək	ɟ y lː æ l æ m æ k
gülmək	d͡ʒ y l m ɑ χ
gülmək	ɟ y l m æ c
gülümsəmək	ɟ y l y m s æ m æ j
gülümsəmək	ɟ y l y m s æ m æ k
gülüş	ɟ y l y ʃ
gülərüz	ɟ y l æ r y z
gülərüzlü	ɟ y l æ r y z l y
güləş	d͡ʒ y l æ ʃ
güləş	ɟ y l æ ʃ
güləşçi	d͡ʒ y l æ ʃ t͡s i
güləşçi	ɟ y l æ ʃ t͡ʃ i
gümüş	ɟ y m y ʃ
gün	d͡ʒ y n
gün	ɟ y n
günah	d͡ʒ y n ɑ h
günah	ɟ u n ɑ h
günah	ɟ y n ɑ h
günahkar	d͡ʒ u n a h t͡ʃ ɑ r
günahkar	ɟ u n a h c ɑ r
günahkar	ɟ y n a h c ɑ r
günahsız	d͡ʒ y n ɑ h s ɯ z
günahsız	ɟ u n ɑ h s ɯ z
günahsız	ɟ y n ɑ h s ɯ z
güncəl	d͡ʒ y n d͡z æ l
güncəl	ɟ y n d͡ʒ æ l
gündüz	d͡ʒ y n d y z
gündüz	ɟ y n d y z
gündəlik	d͡ʒ y n d æ l i k
gündəlik	ɟ y n d æ l i k
günorta	ɟ y n o r t ɑ
günya	ɟ y n j ɑ
günəbaxan	ɟ y n æ b ɑ x ɑ n
günəş	ɟ y n æ ʃ
gürcü	d͡ʒ y r d͡z y
gürcü	ɟ y r d͡ʒ y
güvənmək	ɟ y v æ mː æ j
güvənmək	ɟ y v æ n m æ k
gəlin	d͡ʒ æ l ɪ n
gəlin	ɟ æ l i n
gəlincik	d͡ʒ æ l i n d͡z i t͡ʃ
gəlincik	ɟ æ l i n d͡ʒ i c
gəlmə	ɟ æ l m æ
gəlmək	ɟ æ l m æ c
gəlmək	ɟ æ l m æ j
gəlmək	ɟ æ l m æ ç
gəmi	d͡ʒ æ m i
gəmi	ɟ æ m i
gəmirici	d͡ʒ æ m i r i d͡z i
gəmirici	ɟ æ m i r i d͡ʒ i
gəmirmək	ɟ æ m i r m æ ç
gənc	d͡ʒ æ n d͡z
gənc	ɟ æ n d͡ʒ
gənclik	d͡ʒ æ n d͡z l i t͡ʃ
gənclik	ɟ æ n d͡ʒ l i k
gərgin	ɟ æ r ɟ i n
gərək	ɟ æ r æ j
gərək	ɟ æ r æ k
gərəkmək	ɟ æ r æ c m æ ç
gətirmək	ɟ æ t i r m æ c
gəzdirmək	d͡ʒ æ z d i r m ɑ χ
gəzdirmək	ɟ æ z d i r m e j
gəzdirmək	ɟ æ z d i r m æ j
gəzdirmək	ɟ æ z d i r m æ k
gəzmək	d͡ʒ æ z m ɑ χ
gəzmək	ɟ æ z m e j
gəzmək	ɟ æ z m æ j
gəzmək	ɟ æ z m æ k
hadisə	h ɑˑ d i s æ
hakim	h ɑː k i m
hakimiyyət	h ɑː k i m i j æ t
hakimiyyət	h ɑː t͡ʃ i m i j æ t
hakimiyyətçi	h ɑː c i m i j æ t t͡ʃ i
hakimiyyətçi	h ɑː t͡ʃ i m i j æ t t͡s i
halbuki	h ɑ ɫ b u k i
hamar	h ɑ m ɑ r
hamilə	h ɑ m i l æ
hamiləlik	h ɑː m i l æ l i c
hamı	h ɑ mː ɯ
hamısı	h ɑ m s ɯ
hamısı	h ɑ mː ɯ s ɯ
hansı	h ɑ n s ɯ
hanı	h ɑ n ɯ
haqq	h ɑ ɡ
haqq	h ɑ χ
haqqında	h ɑ kː ɯ n d ɑ
haqqında	h ɑ ɢː ɯ n d ɑ
hara	h ɑ r ɑ
harada	h ɑ r ɑ d a
haradan	h ɑ r ɑ d a n
haralı	h ɑ r ɑ ɫ ɯ
harasa	h ɑ r ɑ s ɑ
haraya	h ɑ r ɑ j ɑ
harda	h ɑ r d a
hardasa	h ɑ r d ɑ s ɑ
hasa	h ɑ s ɑ
hasar	h ɑ s ɑ r
hasilat	h ɑː s i ɫ ɑ t
hava	h ɑ v ɑ
havaxt	h ɑ v ɑ χ t
hayan	h ɑ j ɑ n
hazır	h ɑ z ɯ r
hazır	h ɑː z ɯ r̥
hazırkı	h ɑ z ɯ r k i
hazırkı	h ɑ z ɯ r k ɯ
hazırlamaq	h ɑ z ɯ r ɫ ɑ m ɑ χ
