अ	ɐ
खिलानेवाली	kʰ ɪ l äː n eː ʋ äː l iː
खिलानेवालीं	kʰ ɪ l äː n eː ʋ äː l ĩː
खिलानेवाले	kʰ ɪ l äː n eː ʋ äː l eː
खिलाफ	kʰ ɪ l äː pʰ
खिलाफ	x ɪ l äː f
खिलाफ़	kʰ ɪ l äː pʰ
खिलाफ़	x ɪ l äː f
खिलाया	kʰ ɪ l äː j äː
खिलायी	kʰ ɪ l äː j iː
खिलायीं	kʰ ɪ l äː j ĩː
खिलाये	kʰ ɪ l äː j eː
खिलायें	kʰ ɪ l äː j ẽː
खिलायेंगी	kʰ ɪ l äː j ẽː ŋ ɡ iː
खिलायेंगे	kʰ ɪ l äː j ẽː ŋ ɡ eː
खिलायेगा	kʰ ɪ l äː j eː ɡ äː
खिलायेगी	kʰ ɪ l äː j eː ɡ iː
खिलिएगा	kʰ ɪ l ɪ eː ɡ äː
खिलिये	kʰ ɪ l i j eː
खिलियेगा	kʰ ɪ l i j eː ɡ äː
खिलियो	kʰ ɪ l i j oː
खिलूँगा	kʰ ɪ l ũː ŋ ɡ äː
खिलूँगी	kʰ ɪ l ũː ŋ ɡ iː
खिलेंगी	kʰ ɪ l ẽː ŋ ɡ iː
खिलेंगे	kʰ ɪ l ẽː ŋ ɡ eː
खिलेगा	kʰ ɪ l eː ɡ äː
खिलौना	kʰ ɪ l ɔː n äː
खिसकना	kʰ ɪ s ɐ k n äː
खिसकाना	kʰ ɪ s k äː n äː
खींचकर	kʰ ĩː t͡ʃ k ɐ ɾ
खींचता	kʰ ĩː t͡ʃ t̪ äː
खींचतान	kʰ ĩː t͡ʃ t̪ ä̃ː n
खींचना	kʰ ĩː t͡ʃ n äː
खींचनेवाला	kʰ ĩː t͡ʃ n eː ʋ äː l äː
खींचनेवाली	kʰ ĩː t͡ʃ n eː ʋ äː l iː
खींचनेवालीं	kʰ ĩː t͡ʃ n eː ʋ äː l ĩː
खींचनेवाले	kʰ ĩː t͡ʃ n eː ʋ äː l eː
खींचा	kʰ ĩː t͡ʃ äː
खींचिये	kʰ ĩː t͡ʃ i j eː
खींचियेगा	kʰ ĩː t͡ʃ i j eː ɡ äː
खींचियो	kʰ ĩː t͡ʃ i j oː
खींचूँगा	kʰ ĩː t͡ʃ ũː ŋ ɡ äː
खींचूँगी	kʰ ĩː t͡ʃ ũː ŋ ɡ iː
खींचेंगी	kʰ ĩː t͡ʃ ẽː ŋ ɡ iː
खींचेंगे	kʰ ĩː t͡ʃ ẽː ŋ ɡ eː
खींचेगा	kʰ ĩː t͡ʃ eː ɡ äː
खीजना	kʰ iː d͡ʒ n äː
खीरा	kʰ iː ɾ äː
खीसा	kʰ iː s äː
खुजलाना	kʰ ʊ d͡ʒ l äː n äː
खुड़ला	kʰ ʊ ɽ l äː
खुदगर्ज़	kʰ ʊ d̪ ɡ ɐ ɾ d͡ʒ
खुदगर्ज़	kʰ ʊ d̪ ɡ ɐ ɾ z
खुदाई	kʰ ʊ d̪ äː iː
खुनस	kʰ ʊ n ɐ s
खुबानी	kʰ ʊ b äː n iː
खुरंट	kʰ ʊ ɾ ɐ̃ ɳ ʈ
खुरंड	kʰ ʊ ɾ ɐ̃ ɳ ɖ
खुरचन	kʰ ʊ ɾ t͡ʃ ɐ̃ n
खुरचना	kʰ ʊ ɾ ɐ t͡ʃ n äː
खुरण्ट	kʰ ʊ ɾ ɐ̃ ɳ ʈ
खुरण्ड	kʰ ʊ ɾ ɐ̃ ɳ ɖ
खुरपा	kʰ ʊ ɾ p äː
खुराक	kʰ ʊ ɾ äː k
खुलकर	kʰ ʊ l k ɐ ɾ
खुलता	kʰ ʊ l t̪ äː
खुलना	kʰ ʊ l n äː
खुलनेवाला	kʰ ʊ l n eː ʋ äː l äː
खुलनेवाली	kʰ ʊ l n eː ʋ äː l iː
खुलनेवालीं	kʰ ʊ l n eː ʋ äː l ĩː
खुलनेवाले	kʰ ʊ l n eː ʋ äː l eː
खुलवा	kʰ ʊ l ʋ äː
खुलवाइये	kʰ ʊ l ʋ äː i j eː
खुलवाइयेगा	kʰ ʊ l ʋ äː i j eː ɡ äː
खुलवाइयो	kʰ ʊ l ʋ äː i j oː
खुलवाई	kʰ ʊ l ʋ äː iː
खुलवाईं	kʰ ʊ l ʋ äː ĩː
खुलवाऊँ	kʰ ʊ l ʋ äː ũː
खुलवाऊँगा	kʰ ʊ l ʋ äː ũː ŋ ɡ äː
खुलवाऊँगी	kʰ ʊ l ʋ äː ũː ŋ ɡ iː
खुलवाए	kʰ ʊ l ʋ äː eː
खुलवाएँ	kʰ ʊ l ʋ äː ẽː
खुलवाएँगी	kʰ ʊ l ʋ äː ẽː ŋ ɡ iː
खुलवाएँगे	kʰ ʊ l ʋ äː ẽː ŋ ɡ eː
खुलवाएगा	kʰ ʊ l ʋ äː eː ɡ äː
खुलवाएगी	kʰ ʊ l ʋ äː eː ɡ iː
खुलवाओ	kʰ ʊ l ʋ äː oː
खुलवाओगी	kʰ ʊ l ʋ äː oː ɡ iː
खुलवाओगे	kʰ ʊ l ʋ äː oː ɡ eː
खुलवाकर	kʰ ʊ l ʋ äː k ɐ ɾ
खुलवाके	kʰ ʊ l ʋ äː k eː
खुलवाता	kʰ ʊ l ʋ äː t̪ äː
खुलवाती	kʰ ʊ l ʋ äː t̪ iː
खुलवातीं	kʰ ʊ l ʋ äː t̪ ĩː
खुलवाते	kʰ ʊ l ʋ äː t̪ eː
खुलवाना	kʰ ʊ l ʋ äː n äː
खुलवानी	kʰ ʊ l ʋ äː n iː
खुलवानीं	kʰ ʊ l ʋ äː n ĩː
खुलवाने	kʰ ʊ l ʋ äː n eː
खुलवानेवाला	kʰ ʊ l ʋ äː n eː ʋ äː l äː
खुलवानेवाली	kʰ ʊ l ʋ äː n eː ʋ äː l iː
खुलवानेवालीं	kʰ ʊ l ʋ äː n eː ʋ äː l ĩː
खुलवानेवाले	kʰ ʊ l ʋ äː n eː ʋ äː l eː
खुलवाया	kʰ ʊ l ʋ äː j äː
खुलवायी	kʰ ʊ l ʋ äː j iː
खुलवायीं	kʰ ʊ l ʋ äː j ĩː
खुलवाये	kʰ ʊ l ʋ äː j eː
खुलवायें	kʰ ʊ l ʋ äː j ẽː
खुलवायेंगी	kʰ ʊ l ʋ äː j ẽː ŋ ɡ iː
खुलवायेंगे	kʰ ʊ l ʋ äː j ẽː ŋ ɡ eː
खुलवायेगा	kʰ ʊ l ʋ äː j eː ɡ äː
खुलवायेगी	kʰ ʊ l ʋ äː j eː ɡ iː
खुला	kʰ ʊ l äː
खुलापन	kʰ ʊ l äː p ɐ̃ n
खुलासा	kʰ ʊ l äː s äː
खुलिये	kʰ ʊ l i j eː
खुलियेगा	kʰ ʊ l i j eː ɡ äː
खुलियो	kʰ ʊ l i j oː
खुलूँगा	kʰ ʊ l ũː ŋ ɡ äː
खुलूँगी	kʰ ʊ l ũː ŋ ɡ iː
खुलेंगी	kʰ ʊ l ẽː ŋ ɡ iː
खुलेंगे	kʰ ʊ l ẽː ŋ ɡ eː
खुलेआम	kʰ ʊ l eː ä̃ː m
खुलेगा	kʰ ʊ l eː ɡ äː
खूँटा	kʰ ũː ʈ äː
खूँदना	kʰ ũː d̪̚ n äː
खूंटा	kʰ ũː ʈ äː
खूटा	kʰ uː ʈ äː
खून	kʰ ũː n
खेड़ा	kʰ eː ɽ äː
खेतिहर	kʰ eː t̪ ɪ ɦ ɐ ɾ
खेना	kʰ eː n äː
खेलकर	kʰ eː l k ɐ ɾ
खेलता	kʰ eː l t̪ äː
खेलना	kʰ eː l n äː
खेलनेवाला	kʰ eː l n eː ʋ äː l äː
खेलनेवाली	kʰ eː l n eː ʋ äː l iː
खेलनेवालीं	kʰ eː l n eː ʋ äː l ĩː
खेलनेवाले	kʰ eː l n eː ʋ äː l eː
खेला	kʰ eː l äː
खेलिये	kʰ eː l i j eː
खेलियेगा	kʰ eː l i j eː ɡ äː
खेलियो	kʰ eː l i j oː
खेलूँगा	kʰ eː l ũː ŋ ɡ äː
खेलूँगी	kʰ eː l ũː ŋ ɡ iː
खेलेंगी	kʰ eː l ẽː ŋ ɡ iː
खेलेंगे	kʰ eː l ẽː ŋ ɡ eː
खेलेगा	kʰ eː l eː ɡ äː
खेवा	kʰ eː ʋ äː
खैरा	kʰ ɛː ɾ äː
खैरात	kʰ ɛː ɾ äː t̪
खैरात	x ɛː ɾ äː t̪
खोंखला	kʰ õː kʰ l äː
खोंड़ा	kʰ õː ɽ äː
खोंसना	kʰ õː s n äː
खोआ	kʰ oː äː
खोकला	kʰ oː k l äː
खोका	kʰ oː k äː
खोखल	kʰ oː kʰ ɐ l
खोखला	kʰ oː kʰ l äː
खोखा	kʰ oː kʰ äː
खोजकर	kʰ oː d͡ʒ k ɐ ɾ
खोजकर्ता	kʰ oː d͡ʒ k ɐ ɾ t̪ äː
खोजकर्ताओ	kʰ oː d͡ʒ k ɐ ɾ t̪ äː oː
खोजकर्ताओं	kʰ oː d͡ʒ k ɐ ɾ t̪ äː õː
खोजता	kʰ oː d͡ʒ t̪ äː
खोजना	kʰ oː d͡ʒ n äː
खोजनेवाला	kʰ oː d͡ʒ n eː ʋ äː l äː
खोजनेवाली	kʰ oː d͡ʒ n eː ʋ äː l iː
खोजनेवालीं	kʰ oː d͡ʒ n eː ʋ äː l ĩː
खोजनेवाले	kʰ oː d͡ʒ n eː ʋ äː l eː
खोजा	kʰ oː d͡ʒ äː
खोजिये	kʰ oː d͡ʒ i j eː
खोजियेगा	kʰ oː d͡ʒ i j eː ɡ äː
खोजियो	kʰ oː d͡ʒ i j oː
खोजूँगा	kʰ oː d͡ʒ ũː ŋ ɡ äː
खोजूँगी	kʰ oː d͡ʒ ũː ŋ ɡ iː
खोजेंगी	kʰ oː d͡ʒ ẽː ŋ ɡ iː
खोजेंगे	kʰ oː d͡ʒ ẽː ŋ ɡ eː
खोजेगा	kʰ oː d͡ʒ eː ɡ äː
खोटा	kʰ oː ʈ äː
खोदकर	kʰ oː d̪ k ɐ ɾ
खोदता	kʰ oː d̪̚ t̪ äː
खोदती	kʰ oː d̪̚ t̪ iː
खोदतीं	kʰ oː d̪̚ t̪ ĩː
खोदते	kʰ oː d̪̚ t̪ eː
खोदना	kʰ oː d̪̚ n äː
खोदनी	kʰ oː d̪̚ n iː
खोदनीं	kʰ oː d̪̚ n ĩː
खोदने	kʰ oː d̪̚ n eː
खोदनेवाला	kʰ oː d̪̚ n eː ʋ äː l äː
खोदनेवाली	kʰ oː d̪̚ n eː ʋ äː l iː
खोदनेवालीं	kʰ oː d̪̚ n eː ʋ äː l ĩː
खोदनेवाले	kʰ oː d̪̚ n eː ʋ äː l eː
खोदा	kʰ oː d̪ äː
खोदिये	kʰ oː d̪ i j eː
खोदियेगा	kʰ oː d̪ i j eː ɡ äː
खोदियो	kʰ oː d̪ i j oː
खोदूँगा	kʰ oː d̪ ũː ŋ ɡ äː
खोदूँगी	kʰ oː d̪ ũː ŋ ɡ iː
खोदेंगी	kʰ oː d̪ ẽː ŋ ɡ iː
खोदेंगे	kʰ oː d̪ ẽː ŋ ɡ eː
खोदेगा	kʰ oː d̪ eː ɡ äː
खोना	kʰ oː n äː
खोया	kʰ oː j äː
खोलकर	kʰ oː l k ɐ ɾ
खोलता	kʰ oː l t̪ äː
खोलना	kʰ oː l n äː
खोलनेवाला	kʰ oː l n eː ʋ äː l äː
खोलनेवाली	kʰ oː l n eː ʋ äː l iː
खोलनेवालीं	kʰ oː l n eː ʋ äː l ĩː
खोलनेवाले	kʰ oː l n eː ʋ äː l eː
खोला	kʰ oː l äː
खोलिये	kʰ oː l i j eː
खोलियेगा	kʰ oː l i j eː ɡ äː
खोलियो	kʰ oː l i j oː
खोलूँगा	kʰ oː l ũː ŋ ɡ äː
खोलूँगी	kʰ oː l ũː ŋ ɡ iː
खोलेंगी	kʰ oː l ẽː ŋ ɡ iː
खोलेंगे	kʰ oː l ẽː ŋ ɡ eː
खोलेगा	kʰ oː l eː ɡ äː
खौलना	kʰ ɔː l n äː
ख्यात	kʰ j äː t̪
ख्याति	kʰ j äː t̪ iː
ख्वाब	kʰ ʋ äː b
ख्वाब	x ʋ äː b
ग	ɡ ɐ
गँजेड़ियो	ɡ ɐ̃ n d͡ʒ eː ɽ i j oː
गँजेड़ियों	ɡ ɐ̃ n d͡ʒ eː ɽ i j õː
गँजेड़ी	ɡ ɐ̃ n d͡ʒ eː ɽ iː
गँवाना	ɡ ɐ̃ ʋ äː n äː
गँवार	ɡ ɐ̃ ʋ äː ɾ
गँवारपन	ɡ ɐ̃ ʋ äː ɾ p ɐ̃ n
गंगई	ɡ ɐ̃ ŋ ɡ ɐ iː
गंगा	ɡ ɐ̃ ŋ ɡ äː
गंगाजल	ɡ ɐ̃ ŋ ɡ äː d͡ʒ ɐ l
गंगास्नान	ɡ ɐ̃ ŋ ɡ äː s n ä̃ː n
गंगौटी	ɡ ɐ̃ ŋ ɡ ɔː ʈ iː
गंज	ɡ ɐ̃ n d͡ʒ
गंजा	ɡ ɐ̃ n d͡ʒ äː
गंजी	ɡ ɐ̃ n d͡ʒ iː
गंजीना	ɡ ɐ̃ n d͡ʒ iː n äː
गंजीफ़ा	ɡ ɐ̃ n d͡ʒ iː f äː
गंजीफ़ा	ɡ ɐ̃ n d͡ʒ iː pʰ äː
गंजे	ɡ ɐ̃ n d͡ʒ eː
गंतव्य	ɡ ɐ̃ n̪ t̪ ɐ ʋ jᵊ
गंद	ɡ ɐ̃ n̪ d̪
गंदगी	ɡ ɐ̃ n̪ d̪ ɐ ɡ iː
गंदा	ɡ ɐ̃ n̪ d̪ äː
गंदी	ɡ ɐ̃ n̪ d̪ iː
गंदुम	ɡ ɐ̃ n̪ d̪ ʊ̃ m
गंध	ɡ ɐ̃ n̪ d̪ʱ
गंधक	ɡ ɐ̃ n̪ d̪ʱ ɐ k
गंधकाम्ल	ɡ ɐ̃ n̪ d̪ʱ k ä̃ː m lᵊ
गंधाना	ɡ ɐ̃ n̪ d̪ʱ äː n äː
गंधार	ɡ ɐ̃ n̪ d̪ʱ äː ɾ
गंभीर	ɡ ɐ̃ m bʱ iː ɾ
गंभीरता	ɡ ɐ̃ m bʱ iː ɾ t̪ äː
गंवाना	ɡ ɐ̃ m w äː n äː
गई	ɡ ɐ iː
गईं	ɡ ɐ ĩː
गऊ	ɡ ɐ uː
गए	ɡ ɐ eː
गगन	ɡ ɐ ɡ ɐ̃ n
गगनचुंबी	ɡ ɐ ɡ ɐ̃ n t͡ʃ ʊ̃ m b iː
गगनचुम्बी	ɡ ɐ ɡ ɐ̃ n t͡ʃ ʊ̃ m b iː
गगनभेदी	ɡ ɐ ɡ ɐ̃ n bʱ eː d̪ iː
गगरी	ɡ ɐ ɡ ɾ iː
गज	ɡ ɐ d͡ʒ
गजदंत	ɡ ɐ d͡ʒ d̪ ɐ̃ n̪ t̪
गजर	ɡ ɐ d͡ʒ ɐ ɾ
गजरा	ɡ ɐ d͡ʒ ɾ äː
गजल	ɡ ɐ d͡ʒ ɐ l
गज़	ɡ ɐ d͡ʒ
गज़	ɡ ɐ z
गज़र	ɡ ɐ d͡ʒ ɐ ɾ
गज़र	ɡ ɐ z ɐ ɾ
गज़ल	ɡ ɐ d͡ʒ ɐ l
गज़ल	ɡ ɐ z ɐ l
गजानन	ɡ ɐ d͡ʒ äː n ɐ̃ n
गटकना	ɡ ɐ ʈ ɐ k n äː
गट्टा	ɡ ɐ ʈ̚ ʈ äː
गट्ठा	ɡ ɐ ʈ̚ ʈʰ äː
गठजोड़	ɡ ɐ ʈʰ d͡ʒ oː ɽ
गठन	ɡ ɐ ʈʰ ɐ̃ n
गठबंधन	ɡ ɐ ʈʰ b ɐ̃ n̪ d̪ʱ ɐ̃ n
गठरियाँ	ɡ ɐ ʈʰ ɾ i j ä̃ː
गठरियों	ɡ ɐ ʈʰ ɾ i j õː
गठरी	ɡ ɐ ʈʰ ɾ iː
गठित	ɡ ɐ ʈʰ ɪ t̪
गठिया	ɡ ɐ ʈʰ i j äː
गठीला	ɡ ɐ ʈʰ iː l äː
गड़गड़ाना	ɡ ɐ ɽ ɡ ɐ ɽ äː n äː
गड़गड़ाहट	ɡ ɐ ɽ ɡ ɐ ɽ äː ɦ ɐ ʈ
गड़ना	ɡ ɐ ɽ n äː
गड़बड़	ɡ ɐ ɽ b ɐ ɽ
गड़बड़झाला	ɡ ɐ ɽ b ɐ ɽ d͡ʒʱ äː l äː
गड़बड़ाहट	ɡ ɐ ɽ ɐ b ɽ äː ɦ ɐ ʈ
गड़वाना	ɡ ɐ ɽ ʋ äː n äː
गड़ाना	ɡ ɐ ɽ äː n äː
गड्ढा	ɡ ɐ ɖ̚ ɖʱ äː
गढ़	ɡ ɐ ɽʱ
गढ़ना	ɡ ɐ ɽʱ n äː
गढ़वाल	ɡ ɐ ɽʱ ʋ äː l
गढ़ा	ɡ ɐ ɽʱ äː
गढ़ी	ɡ ɐ ɽʱ iː
गढ़ो	ɡ ɐ ɽʱ oː
गढ़ों	ɡ ɐ ɽʱ õː
गढी	ɡ ɐ ɽʱ iː
गण	ɡ ɐ̃ n
गण	ɡ ɐ̃ ɳ
गणक	ɡ ɐ ɳ ɐ k
गणतंत्र	ɡ ɐ̃ ɳ t̪ ɐ̃ n̪ t̪ ɾᵊ
गणना	ɡ ɐ̃ ɳ n äː
गणनीय	ɡ ɐ̃ ɳ n iː jᵊ
गणपति	ɡ ɐ ɳ ɐ p t̪ iː
गणराज्य	ɡ ɐ̃ ɳ ɾ äː d͡ʒ jᵊ
गणिका	ɡ ɐ ɳ ɪ k äː
गणित	ɡ ɐ ɳ ɪ t̪
गणितज्ञ	ɡ ɐ ɳ ɪ t̪ ɐ ɡ jᵊ
गणितीय	ɡ ɐ ɳ ɪ t̪ iː jᵊ
गणेश	ɡ ɐ ɳ eː ʃ
गणेशगंज	ɡ ɐ ɳ eː ʃ ɡ ɐ̃ n d͡ʒ
गणों	ɡ ɐ ɳ õː
गत	ɡ ɐ t̪
गति	ɡ ɐ t̪ iː
गतिकी	ɡ ɐ t̪ ɪ k iː
गतिज	ɡ ɐ t̪ ɪ d͡ʒ
गतिमान	ɡ ɐ t̪ ɪ m ä̃ː n
गतियाँ	ɡ ɐ t̪ i j ä̃ː
गतियो	ɡ ɐ t̪ i j oː
गतियों	ɡ ɐ t̪ i j õː
गतिरोध	ɡ ɐ t̪ ɪ ɾ oː d̪ʱ
गतिविधि	ɡ ɐ t̪ ɪ ʋ ɪ d̪ʱ iː
गतिशील	ɡ ɐ t̪ ɪ ʃ iː l
गतिहीन	ɡ ɐ t̪ ɪ ɦ ĩː n
गतिहीनता	ɡ ɐ t̪ ɪ ɦ ĩː n̪ t̪ äː
गत्ता	ɡ ɐ t̪̚ t̪ äː
गदा	ɡ ɐ d̪ äː
गद्दा	ɡ ɐ d̪̚ d̪ äː
गद्दियाँ	ɡ ɐ d̪̚ d̪ i j ä̃ː
गद्दियो	ɡ ɐ d̪̚ d̪ i j oː
गद्दियों	ɡ ɐ d̪̚ d̪ i j õː
गद्दी	ɡ ɐ d̪̚ d̪ iː
गद्य	ɡ ɐ d̪ jᵊ
गधा	ɡ ɐ d̪ʱ äː
गधे	ɡ ɐ d̪ʱ eː
गधो	ɡ ɐ d̪ʱ oː
गधों	ɡ ɐ d̪ʱ õː
गनी	ɡ ɐ n iː
गनीमत	ɡ ɐ n iː m ɐ t̪
गन्दा	ɡ ɐ̃ n̪ d̪ äː
गन्ना	ɡ ɐ̃ n n äː
गन्ने	ɡ ɐ̃ n n eː
गन्नो	ɡ ɐ̃ n n oː
गन्नों	ɡ ɐ̃ n n õː
गप	ɡ ɐ p
गपशप	ɡ ɐ p ʃ ɐ p
गपोड़	ɡ ɐ p oː ɽ
गफलत	ɡ ɐ pʰ l ɐ t̪
गबरुओ	ɡ ɐ b ɾ ʊ oː
गबरुओं	ɡ ɐ b ɾ ʊ õː
गबरू	ɡ ɐ b ɾ uː
गब्बर	ɡ ɐ b̚ b ɐ ɾ
गम	ɡ ɐ̃ m
गमछा	ɡ ɐ̃ m t͡ʃʰ äː
गमन	ɡ ɐ m ɐ̃ n
गमला	ɡ ɐ̃ m l äː
गम्भीर	ɡ ɐ̃ m bʱ iː ɾ
गम्य	ɡ ɐ̃ m jᵊ
गम्यता	ɡ ɐ̃ m j ɐ t̪ äː
गयंद	ɡ ɐ j ɐ̃ n̪ d̪
गया	ɡ ɐ j äː
गया	ɡ ɐ jᵊ
गया	ɡ ɪ äː
गयाना	ɡ ɐ j äː n äː
गयी	ɡ ɐ j iː
गयीं	ɡ ɐ j ĩː
गये	ɡ ɐ j eː
गर	ɡ ɐ ɾ
गरकट	ɡ ɐ ɾ k ɐ ʈ
गरज	ɡ ɐ ɾ ɐ d͡ʒ
गरजना	ɡ ɐ ɾ ɐ d͡ʒ n äː
गरम	ɡ ɐ ɾ ɐ̃ m
गरमाना	ɡ ɐ ɾ m äː n äː
गरवीदा	ɡ ɐ ɾ ʋ iː d̪ äː
गरारी	ɡ ɐ ɾ äː ɾ iː
गरिमा	ɡ ɐ ɾ ɪ m äː
गरियाना	ɡ ɐ ɾ i j äː n äː
गरीब	ɡ ɐ ɾ iː b
गरीब	ɣ ɐ ɾ iː b
गरीबी	ɡ ɐ ɾ iː b iː
गरु	ɡ ɐ ɾ uː
गरुड	ɡ ɐ ɾ ʊ ɖ
गरुड़	ɡ ɐ ɾ ʊ ɽ
गरुड़द्वार	ɡ ɐ ɾ ʊ ɽ d̪ w äː ɾ
गरेबान	ɡ ɐ ɾ eː b ä̃ː n
गरेर	ɡ ɐ ɾ eː ɾ
गरेरना	ɡ ɐ ɾ eː ɾ n äː
गरेरा	ɡ ɐ ɾ eː ɾ äː
गरेरी	ɡ ɐ ɾ eː ɾ iː
गर्त	ɡ ɐ ɾ t̪
गर्द	ɡ ɐ ɾ d̪
गर्दन	ɡ ɐ ɾ d̪ ɐ̃ n
गर्दनें	ɡ ɐ ɾ d̪ ɐ n ẽː
गर्दनों	ɡ ɐ ɾ d̪ ɐ n õː
गर्दिश	ɡ ɐ ɾ d̪ ɪ ʃ
गर्भ	ɡ ɐ ɾ bʱ
गर्भधारण	ɡ ɐ ɾ bʱ ɐ d̪ʱ äː ɾ ɐ̃ ɳ
गर्भधारित	ɡ ɐ ɾ bʱ ɐ d̪ʱ äː ɾ ɪ t̪
गर्भनली	ɡ ɐ ɾ bʱ ɐ̃ n l iː
गर्भनाड़ियाँ	ɡ ɐ ɾ bʱ n äː ɽ i j ä̃ː
गर्भनाड़ी	ɡ ɐ ɾ bʱ n äː ɽ iː
गर्भनाल	ɡ ɐ ɾ bʱ ɐ n äː l
गर्भपात	ɡ ɐ ɾ bʱ p äː t̪
गर्भपातो	ɡ ɐ ɾ bʱ p äː t̪ oː
गर्भपातों	ɡ ɐ ɾ bʱ p äː t̪ õː
गर्भवती	ɡ ɐ ɾ bʱ ʋ ɐ t̪ iː
गर्भवती	ɡ ɐ ɾ bʱᵊ ʋ ɐ t̪ iː
गर्भस्थ	ɡ ɐ ɾ bʱ ɐ s t̪ʰ
गर्भस्राव	ɡ ɐ ɾ bʱ ɐ s ɾ äː ʋ
गर्भाधान	ɡ ɐ ɾ bʱ äː d̪ʱ ä̃ː n
गर्भावस्था	ɡ ɐ ɾ bʱ äː ʋ ɐ s t̪ʰ äː
गर्भाशय	ɡ ɐ ɾ bʱ äː ʃ ɐ j
गर्म	ɡ ɐ ɾ m
गर्म	ɡ ɐ ɾ ɐ̃ m
गर्मागर्म	ɡ ɐ ɾ m äː ɡ ɐ ɾ m
गर्मागर्म	ɡ ɐ ɾ m äː ɡ ɐ ɾ ɐ̃ m
गर्मागर्म	ɡ ɐ ɾ ɐ m äː ɡ ɐ ɾ ɐ̃ m
गर्माना	ɡ ɐ ɾ m äː n äː
गर्मी	ɡ ɐ ɾ m iː
गर्लफ़्रेंड	ɡ ɐ ɾ l f ɾ ẽː ɳ ɖ
गर्लफ़्रेंड	ɡ ɐ ɾ l pʰ ɾ ẽː ɳ ɖ
गर्लफ्रेंड	ɡ ɐ ɾ l f ɾ ẽː ɳ ɖ
गर्लफ्रेंड	ɡ ɐ ɾ l pʰ ɾ ẽː ɳ ɖ
गर्व	ɡ ɐ ɾ ʋ
गलगंड	ɡ ɐ l ɡ ɐ̃ ɳ ɖ
गलगण्ड	ɡ ɐ l ɡ ɐ̃ ɳ ɖ
गलत	ɡ ɐ l ɐ t̪
गलत	ɣ ɐ l ɐ t̪
गलतियाँ	ɡ ɐ l t̪ i j ä̃ː
गलतियो	ɡ ɐ l t̪ i j oː
गलतियों	ɡ ɐ l t̪ i j õː
गलती	ɡ ɐ l t̪ iː
गलतुंडिका	ɡ ɐ l t̪ ʊ̃ ɳ ɖ ɪ k äː
गलतुण्डिका	ɡ ɐ l t̪ ʊ̃ ɳ ɖ ɪ k äː
गलन	ɡ ɐ l ɐ̃ n
गलना	ɡ ɐ l n äː
गलनांक	ɡ ɐ l n ä̃ː ŋ k
गलबाँही	ɡ ɐ l b ä̃ː ɦ iː
गलमुच्छा	ɡ ɐ l m ʊ t̚ t͡ʃʰ äː
गलसुआ	ɡ ɐ l s ʊ äː
गला	ɡ ɐ l äː
गलियाना	ɡ ɐ l i j äː n äː
गलियारा	ɡ ɐ l i j äː ɾ äː
गली	ɡ ɐ l iː
गलील	ɡ ɐ l iː l
गले	ɡ ɐ l eː
गलो	ɡ ɐ l oː
गलों	ɡ ɐ l õː
गवाक्ष	ɡ ɐ ʋ äː k ʃ
गवारा	ɡ ɐ ʋ äː ɾ äː
गवाह	ɡ ɐ ʋ äːʱ
गवाही	ɡ ɐ ʋ äː ɦ iː
गवैया	ɡ ɐ ʋ ɐ̯ i j äː
गश्त	ɡ ɐ ʃ t̪
गस्सा	ɡ ɐ s s äː
गहन	ɡ ɛ ɦ ɛ̃ n
गहना	ɡ ɛʱ n äː
गहरा	ɡ ɛʱ ɾ äː
गहराई	ɡ ɛʱ ɾ äː iː
गहरी	ɡ ɛʱ ɾ iː
गहरे	ɡ ɛʱ ɾ eː
गहल	ɡ ɛ ɦ ɛ l
ग़	ɡ ɐ
ग़	ɣ ɐ
ग़जल	ɡ ɐ d͡ʒ ɐ l
ग़जल	ɣ ɐ d͡ʒ ɐ l
ग़ज़ब	ɡ ɐ d͡ʒ ɐ b
ग़ज़ब	ɡ ɐ z ɐ b
ग़ज़ब	ɣ ɐ d͡ʒ ɐ b
ग़ज़ब	ɣ ɐ z ɐ b
ग़ज़ल	ɡ ɐ d͡ʒ ɐ l
ग़ज़ल	ɡ ɐ z ɐ l
ग़ज़ल	ɣ ɐ z ɐ l
ग़ज़ा	ɡ ɐ d͡ʒ äː
ग़ज़ा	ɣ ɐ z äː
ग़ज़्वा	ɡ ɐ d͡ʒ ʋ äː
ग़ज़्वा	ɣ ɐ z ʋ äː
ग़द्दार	ɡ ɐ d̪̚ d̪ äː ɾ
ग़द्दार	ɣ ɐ d̪̚ d̪ äː ɾ
ग़नीमत	ɡ ɐ n iː m ɐ t̪
ग़नीमत	ɣ ɐ n iː m ɐ t̪
ग़फ़लत	ɡ ɐ pʰ l ɐ t̪
ग़फ़लत	ɣ ɐ f l ɐ t̪
ग़बन	ɡ ɐ b ɐ̃ n
ग़बन	ɣ ɐ b ɐ̃ n
ग़म	ɡ ɐ̃ m
ग़म	ɣ ɐ̃ m
ग़मज़दा	ɡ ɐ m ɐ d͡ʒ d̪ äː
ग़मज़दा	ɣ ɐ m ɐ z d̪ äː
ग़मो	ɡ ɐ m oː
ग़मो	ɣ ɐ m oː
ग़मों	ɡ ɐ m õː
ग़मों	ɣ ɐ m õː
ग़म्ज़ा	ɡ ɐ̃ m d͡ʒ äː
