ԱԱ	ɑ ɑ́
ատամները	ɑ t ɑ m n é ɾ ə
ատդուշի	ɑ t d u ʃ í
ատել	ɑ t é l
ատելություն	ɑ t e l u t͡sʰ j ú n
ատեն	ɑ t é n
ատենախոսություն	ɑ t e n ɑ χ o s u t͡sʰ j ú n
ատեստատ	ɑ t e s t ɑ́ t
ատկատ	ɑ t k ɑ́ t
ատյան	ɑ t j ɑ́ n
ատյան	ɑ t͡s j ɑ́ n
ատոլ	ɑ t ó l
ատոմ	ɑ t ó m
ատոմային	ɑ t o m ɑ j í n
ատոք	ɑ t ó kʰ
ատտա	ɑ tː ɑ́
ատրագույն	ɑ t ɾ ɑ ɡ ú j n
ատրճան	ɑ t ə ɾ t͡ʃ ɑ́ n
ատրճանակ	ɑ t ə ɾ t͡ʃ ɑ n ɑ́ k
ատրուշան	ɑ t ɾ u ʃ ɑ́ n
ար	ɑ ɾ
արա	ɑ ɾ ɑ́
արա	ɑ́ ɾ ɑ
արաբ	ɑ ɾ ɑ́ b
արաբական	ɑ ɾ ɑ b ɑ k ɑ́ n
արաբերեն	ɑ ɾ ɑ b e ɾ é n
արագ	ɑ ɾ ɑ́ ɡ
արագաշարժ	ɑ ɾ ɑ ɡ ɑ ʃ ɑ́ ɾ ʒ
արագաչափ	ɑ ɾ ɑ ɡ ɑ t͡ʃʰ ɑ́ pʰ
արագարար	ɑ ɾ ɑ ɡ ɑ ɾ ɑ́ ɾ
արագացում	ɑ ɾ ɑ ɡ ɑ t͡sʰ ú m
արագացուցիչ	ɑ ɾ ɑ ɡ ɑ t͡sʰ u t͡sʰ í t͡ʃʰ
արագիլ	ɑ ɾ ɑ ɡ í l
արագոնացի	ɑ ɾ ɑ ɡ o n ɑ t͡sʰ í
արագոներեն	ɑ ɾ ɑ ɡ o n e ɾ é n
արագություն	ɑ ɾ ɑ ɡ u t͡sʰ j ú n
արած	ɑ ɾ ɑ́ t͡s
արածել	ɑ ɾ ɑ t͡s é l
արածեցնել	ɑ ɾ ɑ t͡s e t͡sʰ n é l
արական	ɑ ɾ ɑ k ɑ́ n
արահետ	ɑ ɾ ɑ h é t
արաղ	ɑ ɾ ɑ́ ʁ
արամբի	ɑ ɾ ɑ m b í
արամեացի	ɑ ɾ ɑ m e ɑ t͡sʰ í
արամեերեն	ɑ ɾ ɑ m eː ɾ é n
արամերեն	ɑ ɾ ɑ m e ɾ é n
արատ	ɑ ɾ ɑ́ t
արատավոր	ɑ ɾ ɑ t ɑ v ó ɾ
արար	ɑ ɾ ɑ́ ɾ
արարած	ɑ ɾ ɑ ɾ ɑ́ t͡s
արարել	ɑ ɾ ɑ ɾ é l
արարիչ	ɑ ɾ ɑ ɾ í t͡ʃʰ
արարյալ	ɑ ɾ ɑ ɾ j ɑ́ l
արարողություն	ɑ ɾ ɑ ɾ o ʁ u t͡sʰ j ú n
արարք	ɑ ɾ ɑ́ ɾ kʰ
արաց	ɑ ɾ ɑ́ t͡sʰ
արբանյակ	ɑ ɾ b ɑ n j ɑ́ k
արբանյակային	ɑ ɾ b ɑ n j ɑ k ɑ j í n
արբել	ɑ ɾ b é l
արբենալ	ɑ ɾ b e n ɑ́ l
արբուն	ɑ ɾ b ú n
արբունք	ɑ ɾ pʰ ú ŋ kʰ
արգահատել	ɑ ɾ ɡ ɑ h ɑ t é l
արգանակ	ɑ ɾ ɡ ɑ n ɑ́ k
արգանդ	ɑ ɾ ɡ ɑ́ n d
արգանդային	ɑ ɾ ɡ ɑ n d ɑ j í n
արգանդափող	ɑ ɾ ɡ ɑ n d ɑ pʰ ó ʁ
արգասիք	ɑ ɾ ɡ ɑ s í kʰ
արգավանդ	ɑ ɾ ɡ ɑ v ɑ́ n d
արգել	ɑ ɾ kʰ é l
արգելակ	ɑ ɾ kʰ e l ɑ́ k
արգելան	ɑ ɾ kʰ e l ɑ́ n
արգելել	ɑ ɾ kʰ e l é l
արգելոց	ɑ ɾ kʰ e l ó t͡sʰ
արգելք	ɑ ɾ kʰ é l kʰ
արգոն	ɑ ɾ ɡ ó n
արգումենտ	ɑ ɾ ɡ u m é n t
արդ	ɑ ɾ d
արդ	ɑ ɾ tʰ
արդար	ɑ ɾ tʰ ɑ́ ɾ
արդարադատություն	ɑ ɾ tʰ ɑ ɾ ɑ d ɑ t u t͡sʰ j ú n
արդարացի	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ í
արդարացնել	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ n é l
արդարացում	ɑ ɾ tʰ ɑ ɾ ɑ t͡sʰ ú m
արդարություն	ɑ ɾ tʰ ɑ ɾ u t͡sʰ j ú n
արդարև	ɑ ɾ tʰ ɑ ɾ é v
արդեն	ɑ ɾ tʰ é n
արդի	ɑ ɾ d í
արդիական	ɑ ɾ d i j ɑ k ɑ́ n
արդիականացում	ɑ ɾ d i j ɑ k ɑ n ɑ t͡sʰ ú m
արդյամբ	ɑ ɾ d j ɑ́ m pʰ
արդյան	ɑ ɾ d j ɑ́ n
արդյուն	ɑ ɾ tʰ j ú n
արդյունաբերական	ɑ ɾ tʰ j u n ɑ b e ɾ ɑ k ɑ́ n
արդյունաբերություն	ɑ ɾ tʰ j u n ɑ b e ɾ u t͡sʰ j ú n
արդյունավետ	ɑ ɾ tʰ j u n ɑ v é t
արդյունք	ɑ ɾ tʰ j ú ŋ kʰ
արդյոք	ɑ ɾ tʰ j ó kʰ
արդուկ	ɑ ɾ tʰ ú k
արդուկել	ɑ ɾ tʰ u k é l
արեգ	ɑ ɾ é ɡ
արեգակ	ɑ ɾ e ɡ ɑ́ k
արեգակնային	ɑ ɾ e ɡ ɑ k n ɑ j í n
արթնանալ	ɑ ɾ tʰ n ɑ n ɑ́ l
արթնացնել	ɑ ɾ tʰ n ɑ t͡sʰ n é l
արթուն	ɑ ɾ tʰ ú n
արժան	ɑ ɾ ʒ ɑ́ n
արժանահավատ	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ́ t
արժանահավատություն	ɑ ɾ ʒ ɑ n ɑ h ɑ v ɑ t u t͡sʰ j ú n
արժանանալ	ɑ ɾ ʒ ɑ n ɑ n ɑ́ l
արժանապատվություն	ɑ ɾ ʒ ɑ n ɑ p ɑ t v u t͡sʰ j ú n
արժանի	ɑ ɾ ʒ ɑ n í
արժել	ɑ ɾ ʒ é l
արժեմ	ɑ ɾ ʒ é m
արժենալ	ɑ ɾ ʒ e n ɑ́ l
արժեք	ɑ ɾ ʒ é kʰ
արժեքավորել	ɑ ɾ ʒ e kʰ ɑ v o ɾ é l
արժեքի	ɑ ɾ ʒ e kʰ í
արժույթ	ɑ ɾ ʒ ú j tʰ
արի	ɑ ɾ í
արիական	ɑ ɾ i j ɑ k ɑ́ n
արիշտա	ɑ ɾ i ʃ t ɑ́
արիություն	ɑ ɾ i j u t͡sʰ j ú n
արխ	ɑ ɾ χ
արխալուղ	ɑ ɾ χ ɑ l ú ʁ
արխային	ɑ ɾ χ ɑ j í n
արխիվ	ɑ ɾ χ í v
արծաթ	ɑ ɾ t͡s ɑ́ tʰ
արծաթապատ	ɑ ɾ t͡s ɑ tʰ ɑ p ɑ́ t
արծաթասիրություն	ɑ ɾ t͡s ɑ tʰ ɑ s i ɾ u t͡sʰ j ú n
արծաթե	ɑ ɾ t͡s ɑ tʰ é
արծաթի	ɑ ɾ t͡s ɑ tʰ í
արծաթյա	ɑ ɾ t͡s ɑ tʰ j ɑ́
արծարծել	ɑ ɾ t͡s ɑ ɾ t͡s é l
արծիվ	ɑ ɾ t͡s í v
արծնել	ɑ ɾ t͡s n é l
արծվաբույն	ɑ ɾ t͡s v ɑ b ú j n
արծվաբուն	ɑ ɾ t͡s v ɑ b ú n
արծվառյուծ	ɑ ɾ t͡s v ɑ r j ú t͡s
արծվի	ɑ ɾ t͡s v í
արծրունյաց	ɑ ɾ t͡s ɾ u n j ɑ́ t͡sʰ
արկ	ɑ ɾ k
արկանել	ɑ ɾ k ɑ n é l
արկել	ɑ ɾ k é l
արկղ	ɑ́ ɾ k ə ʁ
արհամարհ	ɑ r h ɑ m ɑ́ ɾ
արհամարհ	ɑ ɾ h ɑ m ɑ́ ɾ
արհամարհել	ɑ r h ɑ m ɑ ɾ é l
արհամարհել	ɑ ɾ h ɑ m ɑ ɾ é l
արհեստ	ɑ ɾ h é s t
արհեստական	ɑ ɾ h e s t ɑ k ɑ́ n
արհեստանոց	ɑ ɾ h e s t ɑ n ó t͡sʰ
արհեստավոր	ɑ ɾ h e s t ɑ v ó ɾ
արձագանք	ɑ ɾ d͡z ɑ ɡ ɑ́ ŋ kʰ
արձագանքել	ɑ ɾ d͡z ɑ ɡ ɑ ŋ kʰ é l
արձակ	ɑ ɾ t͡sʰ ɑ́ k
արձակել	ɑ ɾ t͡sʰ ɑ k é l
արձակուրդ	ɑ ɾ t͡sʰ ɑ k ú ɾ tʰ
արձան	ɑ ɾ d͡z ɑ́ n
արձան	ɑ ɾ t͡sʰ ɑ́ n
արձանագրել	ɑ ɾ d͡z ɑ n ɑ ɡ ɾ é l
արձանագրություն	ɑ ɾ d͡z ɑ n ɑ ɡ ɾ u t͡sʰ j ú n
արճիճ	ɑ ɾ t͡ʃ í t͡ʃ
արմ	ɑ ɾ m
արմանալ	ɑ ɾ m ɑ n ɑ́ l
արմավ	ɑ ɾ m ɑ́ v
արմավենի	ɑ ɾ m ɑ v e n í
արմատ	ɑ ɾ m ɑ́ t
արմատաքի	ɑ ɾ m ɑ t ɑ kʰ í
արմո	ɑ ɾ m ó
արմունկ	ɑ ɾ m ú ŋ k
արմունկոսկր	ɑ ɾ m u ŋ k ó s k ə ɾ
արյուն	ɑ ɾ j ú n
արյունաբանություն	ɑ ɾ j u n ɑ b ɑ n u t͡sʰ j ú n
արյունահոսել	ɑ ɾ j u n ɑ h o s é l
արյունահոսություն	ɑ ɾ j u n ɑ h o s u t͡sʰ j ú n
արյունաքամ	ɑ ɾ j u n ɑ kʰ ɑ́ m
արյունոտ	ɑ ɾ j u n ó t
արնախում	ɑ ɾ n ɑ χ ú m
արշալույս	ɑ ɾ ʃ ɑ l ú j s
արշավ	ɑ ɾ ʃ ɑ́ v
արշավանք	ɑ ɾ ʃ ɑ v ɑ́ ŋ kʰ
արշավել	ɑ ɾ ʃ ɑ v é l
արշին	ɑ ɾ ʃ í n
արշիպելագ	ɑ ɾ ʃ i p e l ɑ́ ɡ
արոս	ɑ ɾ ó s
արոտ	ɑ ɾ ó t
արոտավայր	ɑ ɾ o t ɑ v ɑ́ j ɾ
արոր	ɑ ɾ ó ɾ
արորել	ɑ ɾ o ɾ é l
արու	ɑ ɾ ú
արույր	ɑ ɾ ú j ɾ
արուն	ɑ ɾ ú n
արջ	ɑ ɾ t͡ʃʰ
արջամուկ	ɑ ɾ t͡ʃʰ ɑ m ú k
արջառ	ɑ ɾ t͡ʃʰ ɑ́ r
արջասպ	ɑ ɾ d͡ʒ ɑ́ s p
արջուկ	ɑ ɾ t͡ʃʰ ú k
արսեն	ɑ ɾ s é n
արվարձան	ɑ ɾ v ɑ ɾ d͡z ɑ́ n
արվեստ	ɑ ɾ v é s t
արվեստագետ	ɑ ɾ v e s t ɑ ɡ é t
արտ	ɑ ɾ t
արտագաղթ	ɑ ɾ t ɑ ɡ ɑ́ χ tʰ
արտագաղթել	ɑ ɾ t ɑ ɡ ɑ χ tʰ é l
արտագաղթող	ɑ ɾ t ɑ ɡ ɑ χ tʰ ó ʁ
արտադրանք	ɑ ɾ t ɑ d ɾ ɑ́ ŋ kʰ
արտադրել	ɑ ɾ t ɑ d ɾ é l
արտադրող	ɑ ɾ t ɑ d ɾ ó ʁ
արտադրողականություն	ɑ ɾ t ɑ d ɾ o ʁ ɑ k ɑ n u t͡sʰ j ú n
արտադրություն	ɑ ɾ t ɑ d ɾ u t͡sʰ j ú n
արտալա	ɑ ɾ t ɑ l ɑ́
արտախուրակ	ɑ ɾ t ɑ χ u ɾ ɑ́ k
արտակարգ	ɑ ɾ t ɑ k ɑ́ ɾ kʰ
արտահայտություն	ɑ ɾ t ɑ h ɑ j t u t͡sʰ j ú n
արտահանձնում	ɑ ɾ t ɑ h ɑ n d͡z n ú m
արտահանում	ɑ ɾ t ɑ h ɑ n ú m
արտահերթ	ɑ ɾ t ɑ h é ɾ tʰ
արտահոսք	ɑ ɾ t ɑ h ó s kʰ
արտամղել	ɑ ɾ t ɑ m ə ʁ é l
արտամղում	ɑ ɾ t ɑ m ə ʁ ú m
արտամղվել	ɑ ɾ t ɑ m ə ʁ v é l
արտաշիրմել	ɑ ɾ t ɑ ʃ i ɾ m é l
արտաշիրմում	ɑ ɾ t ɑ ʃ i ɾ m ú m
արտապատվիրում	ɑ ɾ t ɑ p ɑ t v i ɾ ú m
արտառոց	ɑ ɾ t ɑ r ó t͡sʰ
արտասահման	ɑ ɾ t ɑ s ɑ h m ɑ́ n
արտասահմանցի	ɑ ɾ t ɑ s ɑ h m ɑ n t͡sʰ í
արտասանել	ɑ ɾ t ɑ s ɑ n é l
արտասանություն	ɑ ɾ t ɑ s ɑ n u t͡sʰ j ú n
արտասովոր	ɑ ɾ t ɑ s o v ó ɾ
արտասունք	ɑ ɾ t ɑ s ú ŋ kʰ
արտասուք	ɑ ɾ t ɑ s ú kʰ
արտասվել	ɑ ɾ t ɑ s v é l
արտավար	ɑ ɾ t ɑ v ɑ́ ɾ
արտարժույթ	ɑ ɾ t ɑ ɾ ʒ ú j tʰ
արտացոլում	ɑ ɾ t ɑ t͡sʰ o l ú m
արտաքին	ɑ ɾ t ɑ kʰ í n
արտաքո	ɑ ɾ t ɑ kʰ ó
արտաքուստ	ɑ ɾ t ɑ kʰ ú s t
արտաքսել	ɑ ɾ t ɑ kʰ s é l
արտգործնախարարություն	ɑ ɾ t ɡ o ɾ t͡s n ɑ χ ɑ ɾ ɑ ɾ u t͡sʰ j ú n
արտոնագիր	ɑ ɾ t o n ɑ ɡ í ɾ
արտոնություն	ɑ ɾ t o n u t͡sʰ j ú n
արտոսր	ɑ ɾ t ó s ə ɾ
արտորալ	ɑ ɾ t o ɾ ɑ́ l
արտորայք	ɑ ɾ t o ɾ ɑ́ j kʰ
արտույտ	ɑ ɾ t ú j t
արտևան	ɑ ɾ t e v ɑ́ n
արտևանունք	ɑ ɾ t e v ɑ n ú ŋ kʰ
արցախյան	ɑ ɾ t͡sʰ ɑ χ j ɑ́ n
արցախցի	ɑ ɾ t͡sʰ ɑ χ t͡sʰ í
արցունք	ɑ ɾ t͡sʰ ú ŋ kʰ
արցունքաբեր	ɑ ɾ t͡sʰ u ŋ kʰ ɑ b é ɾ
արփենի	ɑ ɾ pʰ e n í
արփի	ɑ ɾ pʰ í
արքա	ɑ ɾ kʰ ɑ́
արքադ	ɑ ɾ kʰ ɑ́ d
արքայադուստր	ɑ ɾ kʰ ɑ j ɑ d ú s t ə ɾ
արքայազն	ɑ ɾ kʰ ɑ j ɑ́ z ə n
արքայախնձոր	ɑ ɾ kʰ ɑ j ɑ χ ə n d͡z ó ɾ
արքայական	ɑ ɾ kʰ ɑ j ɑ k ɑ́ n
արքայամոր	ɑ ɾ kʰ ɑ j ɑ m ó ɾ
արքայամորի	ɑ ɾ kʰ ɑ j ɑ m o ɾ í
արքայանարինջ	ɑ ɾ kʰ ɑ j ɑ n ɑ ɾ í n d͡ʒ
արքայասպան	ɑ ɾ kʰ ɑ j ɑ s p ɑ́ n
արքայություն	ɑ ɾ kʰ ɑ j u t͡sʰ j ú n
արքատ	ɑ ɾ kʰ ɑ́ t
արքունի	ɑ ɾ kʰ u n í
արքունիք	ɑ ɾ kʰ u n í kʰ
արև	ɑ ɾ é v
արևադարձ	ɑ ɾ e v ɑ d ɑ́ ɾ t͡sʰ
արևածագ	ɑ ɾ e v ɑ t͡s ɑ́ kʰ
արևածաղիկ	ɑ ɾ e v ɑ t͡s ɑ ʁ í k
արևակեզ	ɑ ɾ e v ɑ k é z
արևային	ɑ ɾ e v ɑ j í n
արևապաշտպան	ɑ ɾ e v ɑ p ɑ ʃ p ɑ́ n
արևապաշտպան	ɑ ɾ e v ɑ p ɑ ʃ t p ɑ́ n
արևելագետ	ɑ ɾ e v e l ɑ ɡ é t
արևելագիտական	ɑ ɾ e v e l ɑ ɡ i t ɑ k ɑ́ n
արևելահայ	ɑ ɾ e v e l ɑ h ɑ́ j
արևելահայերեն	ɑ ɾ e v e l ɑ h ɑ j e ɾ é n
արևելյան	ɑ ɾ e v e l j ɑ́ n
արևելք	ɑ ɾ e v é l kʰ
արևմուտք	ɑ ɾ e v m ú t kʰ
արևմտահայ	ɑ ɾ e v m ə t ɑ h ɑ́ j
արևմտահայերեն	ɑ ɾ e v m ə t ɑ h ɑ j e ɾ é n
արևմտյան	ɑ ɾ e v m ə t j ɑ́ n
ափ	ɑ pʰ
ափափա	ɑ pʰ ɑ pʰ ɑ́
ափի	ɑ pʰ í
ափիոն	ɑ pʰ i j ó n
ափիոն	ɑ pʰ j ó n
ափու	ɑ pʰ ú
ափսար	ɑ pʰ s ɑ́ ɾ
ափսե	ɑ pʰ s é
ափսոս	ɑ pʰ s ó s
ափսոսանք	ɑ pʰ s o s ɑ́ ŋ kʰ
աք	ɑ kʰ
աքաղաղ	ɑ kʰ ɑ ʁ ɑ́ ʁ
աքայական	ɑ kʰ ɑ j ɑ k ɑ́ n
աքացի	ɑ kʰ ɑ t͡sʰ í
աքեմենյան	ɑ kʰ e m e n j ɑ́ n
աքիլեսյան	ɑ kʰ i l e s j ɑ́ n
աքիլլեսյան	ɑ kʰ i lː e s j ɑ́ n
աքիս	ɑ kʰ í s
աքլոր	ɑ kʰ l ó ɾ
աքլորականչ	ɑ kʰ l o ɾ ɑ k ɑ́ n t͡ʃʰ
աքլորանալ	ɑ kʰ l o ɾ ɑ n ɑ́ l
աքսիոմ	ɑ kʰ s i j ó m
աքսոր	ɑ kʰ s ó ɾ
աքսորաբնակ	ɑ kʰ s o ɾ ɑ b ə n ɑ́ k
աքսորաբնակություն	ɑ kʰ s o ɾ ɑ b ə n ɑ k u t͡sʰ j ú n
աքսորական	ɑ kʰ s o ɾ ɑ k ɑ́ n
աքսորակից	ɑ kʰ s o ɾ ɑ k í t͡sʰ
աքսորանք	ɑ kʰ s o ɾ ɑ́ ŋ kʰ
աքսորավայր	ɑ kʰ s o ɾ ɑ v ɑ́ j ɾ
աքսորատեղի	ɑ kʰ s o ɾ ɑ t e ʁ í
աքսորել	ɑ kʰ s o ɾ é l
աքսորյալ	ɑ kʰ s o ɾ j ɑ́ l
աքսորում	ɑ kʰ s o ɾ ú m
աքսորվել	ɑ kʰ s o ɾ v é l
աքցան	ɑ kʰ t͡sʰ ɑ́ n
աքքադերեն	ɑ kʰː ɑ d e ɾ é n
աֆարերեն	ɑ f ɑ ɾ e ɾ é n
աֆերիմ	ɑ f e ɾ í m
աֆերիստ	ɑ f e ɾ í s t
աֆղան	ɑ f ʁ ɑ́ n
աֆղաներեն	ɑ f ʁ ɑ n e ɾ é n
աֆրիկական	ɑ f ɾ i k ɑ k ɑ́ n
աֆրիկանս	ɑ f ɾ i k ɑ́ n s
աֆրիկացի	ɑ f ɾ i k ɑ t͡sʰ í
աֆրիկյան	ɑ f ɾ i k j ɑ́ n
բ	b ə
բʻ	b̤
բաբան	b ɑ b ɑ́ n
բագաժնիկ	b ɑ ɡ ɑ ʒ n í k
բագաժնիկ	b ɑ ɡ ɑ́ ʒ n i k
բագին	b ɑ ɡ í n
բադ	b ɑ d
բադակտուց	b ɑ d ɑ k ə t ú t͡sʰ
բադմինտոն	b ɑ d m i n t ó n
բադրիջան	b ɑ d ɾ i d͡ʒ ɑ́ n
բազա	b ɑ z ɑ́
բազազ	b ɑ z ɑ́ z
բազալտ	b ɑ z ɑ́ l t
բազե	b ɑ z é
բազկաթան	b ɑ z k ɑ tʰ ɑ́ n
բազկաթոռ	b ɑ z k ɑ tʰ ó r
բազկերակ	b ɑ z k e ɾ ɑ́ k
բազմաբևեռություն	b ɑ z m ɑ b e v e r u t͡sʰ j ú n
բազմագիտակարգային	b ɑ z m ɑ ɡ i t ɑ k ɑ ɾ kʰ ɑ j í n
բազմագույն	b ɑ z m ɑ ɡ ú j n
բազմազան	b ɑ z m ɑ z ɑ́ n
բազմազանություն	b ɑ z m ɑ z ɑ n u t͡sʰ j ú n
բազմաթիվ	b ɑ z m ɑ tʰ í v
բազմածաղիկ	b ɑ z m ɑ t͡s ɑ ʁ í k
բազմակնություն	b ɑ z m ɑ k ə n u t͡sʰ j ú n
բազմամարդ	b ɑ z m ɑ m ɑ́ ɾ tʰ
բազմանալ	b ɑ z m ɑ n ɑ́ l
բազմապատկել	b ɑ z m ɑ p ɑ t k é l
բազմապատկիչ	b ɑ z m ɑ p ɑ t k í t͡ʃʰ
բազմապատկում	b ɑ z m ɑ p ɑ t k ú m
բազմաստվածություն	b ɑ z m ɑ s t v ɑ t͡s u t͡sʰ j ú n
բազմացում	b ɑ z m ɑ t͡sʰ ú m
բազմել	b ɑ z m é l
բազմերանգ	b ɑ z m e ɾ ɑ́ ŋ ɡ
բազմիցս	b ɑ z m í t͡sʰ ə s
բազմոց	b ɑ z m ó t͡sʰ
բազմություն	b ɑ z m u t͡sʰ j ú n
բազուկ	b ɑ z ú k
բազում	b ɑ z ú m
բազրիք	b ɑ z ɾ í kʰ
բաժ	b ɑ ʒ
բաժակ	b ɑ ʒ ɑ́ k
բաժանել	b ɑ ʒ ɑ n é l
բաժանմունք	b ɑ ʒ ɑ n m ú ŋ kʰ
բաժանորդ	b ɑ ʒ ɑ n ó ɾ tʰ
բաժանորդագիր	b ɑ ʒ ɑ n o ɾ tʰ ɑ ɡ í ɾ
բաժանում	b ɑ ʒ ɑ n ú m
բաժանվել	b ɑ ʒ ɑ n v é l
բաժին	b ɑ ʒ í n
բաժնել	b ɑ ʒ n é l
բաժնետոմս	b ɑ ʒ n e t ó m s
բալ	b ɑ l
բալալայկա	b ɑ l ɑ l ɑ́ j k ɑ
բալախ	b ɑ l ɑ́ χ
բալակլավա	b ɑ l ɑ k l ɑ v ɑ́
բալանս	b ɑ l ɑ́ n s
բալատուր	b ɑ l ɑ t ú ɾ
բալատրենի	b ɑ l ɑ t ɾ e n í
բալենի	b ɑ l e n í
բալետ	b ɑ l é t
բալթիկ	b ɑ l tʰ í k
բալիկ	b ɑ l í k
բալնիցա	b ɑ l n i t͡sʰ ɑ́
բալօղի	b ɑ l o ʁ í
բախ	b ɑ χ
բախել	b ɑ χ é l
բախյուն	b ɑ χ j ú n
բախում	b ɑ χ ú m
բախչա	b ɑ χ t͡ʃʰ ɑ́
բախտ	b ɑ χ t
բախտախաղ	b ɑ χ t ɑ χ ɑ́ ʁ
բակ	b ɑ k
բակլա	b ɑ k l ɑ́
բակտերիա	b ɑ k t é ɾ i j ɑ
բակտրերեն	b ɑ k t ɾ e ɾ é n
բահ	b ɑ h
բահակ	b ɑ h ɑ́ k
բահամյան	b ɑ h ɑ m j ɑ́ n
բահայի	b ɑ h ɑ j í
բահեր	b ɑ h é ɾ
բահերի	b ɑ h e ɾ í
բահի	b ɑ h í
բահիկ	b ɑ h í k
բաղ	b ɑ ʁ
բաղադրիչ	b ɑ ʁ ɑ d ɾ í t͡ʃʰ
բաղաձայն	b ɑ ʁ ɑ d͡z ɑ́ j n
բաղարջ	b ɑ ʁ ɑ́ ɾ d͡ʒ
բաղբանջել	b ɑ ʁ b ɑ n d͡ʒ é l
բաղբաջանք	b ɑ ʁ b ɑ d͡ʒ ɑ́ ŋ kʰ
բաղբաջել	b ɑ ʁ b ɑ d͡ʒ é l
բաղդատական	b ɑ ʁ d ɑ t ɑ k ɑ́ n
բաղեղ	b ɑ ʁ é ʁ
բաղխել	b ɑ χː é l
բաղխում	b ɑ χː ú m
բաղկանալ	b ɑ χ k ɑ n ɑ́ l
բաղձալ	b ɑ ʁ d͡z ɑ́ l
բաղձանք	b ɑ ʁ d͡z ɑ́ ŋ kʰ
բաղնիք	b ɑ ʁ n í kʰ
բաղչա	b ɑ χ t͡ʃʰ ɑ́
բաճկոն	b ɑ t͡ʃ k ó n
բամբակ	b ɑ m b ɑ́ k
բամբաս	b ɑ m b ɑ́ s
բամբասանք	b ɑ m b ɑ s ɑ́ ŋ kʰ
բամբասել	b ɑ m b ɑ s é l
բամբարա	b ɑ m b ɑ ɾ ɑ́
բամբիշ	b ɑ m b í ʃ
բամիա	b ɑ m i j ɑ́
բայ	b ɑ j
բայղուշ	b ɑ j ʁ ú ʃ
բայոց	b ɑ j ó t͡sʰ
բայց	b ɑ j t͡sʰ
բան	b ɑ n
բանադրանք	b ɑ n ɑ d ɾ ɑ́ ŋ kʰ
բանալ	b ɑ n ɑ́ l
բանալի	b ɑ n ɑ l í
բանախոս	b ɑ n ɑ χ ó s
բանակ	b ɑ n ɑ́ k
բանական	b ɑ n ɑ k ɑ́ n
բանականություն	b ɑ n ɑ k ɑ n u t͡sʰ j ú n
բանակցել	b ɑ n ɑ k t͡sʰ é l
բանակցել	b ɑ n ɑ k ə t͡sʰ é l
բանակցություն	b ɑ n ɑ k t͡sʰ u t͡sʰ j ú n
բանաձև	b ɑ n ɑ d͡z é v
բանան	b ɑ n ɑ́ n
բանասեր	b ɑ n ɑ s é ɾ
բանասիրություն	b ɑ n ɑ s i ɾ u t͡sʰ j ú n
բանաստեղծ	b ɑ n ɑ s t é χ t͡s
բանաստեղծություն	b ɑ n ɑ s t e χ t͡s u t͡sʰ j ú n
բանաստեղծուհի	b ɑ n ɑ s t e χ t͡s u h í
բանավեճ	b ɑ n ɑ v é t͡ʃ
բանավոր	b ɑ n ɑ v ó ɾ
բանբեր	b ɑ n b é ɾ
բանդա	b ɑ n d ɑ́
բանդագուշել	b ɑ n d ɑ ɡ u ʃ é l
բանել	b ɑ n é l
բաներ	b ɑ n é ɾ
բանեցնել	b ɑ n e t͡sʰ n é l
բանկ	b ɑ ŋ k
բանկա	b ɑ ŋ k ɑ́
բանկային	b ɑ ŋ k ɑ j í n
բանկլ	b ɑ́ ŋ k ə l
բաննա	b ɑ nː ɑ́
բանուկ	b ɑ n ú k
բանջար	b ɑ n d͡ʒ ɑ́ ɾ
բանջարանոց	b ɑ n d͡ʒ ɑ ɾ ɑ n ó t͡sʰ
բանջարեղեն	b ɑ n d͡ʒ ɑ ɾ e ʁ é n
բանսարկու	b ɑ n s ɑ ɾ k ú
բանվոր	b ɑ n v ó ɾ
բանտ	b ɑ n t
բանտարկել	b ɑ n t ɑ ɾ k é l
բանտարկյալ	b ɑ n t ɑ ɾ k j ɑ́ l
բանտարկություն	b ɑ n t ɑ ɾ k u t͡sʰ j ú n
բաշ	b ɑ ʃ
բաշիբոզուկ	b ɑ ʃ i b o z ú k
բաշխել	b ɑ ʃ χ é l
բաշկիրերեն	b ɑ ʃ k i ɾ e ɾ é n
բաոբաբ	b ɑ o b ɑ́ b
բաջաղանք	b ɑ d͡ʒ ɑ ʁ ɑ́ ŋ kʰ
բաջաղել	b ɑ d͡ʒ ɑ ʁ é l
բաջանաղ	b ɑ d͡ʒ ɑ n ɑ́ ʁ
բաջի	b ɑ d͡ʒ í
բառ	b ɑ r
բառագիրք	b ɑ r ɑ ɡ í ɾ kʰ
բառադի	b ɑ r ɑ d í
բառախաղ	b ɑ r ɑ χ ɑ́ ʁ
բառակազմություն	b ɑ r ɑ k ɑ z m u t͡sʰ j ú n
բառակապակցություն	b ɑ r ɑ k ɑ p ɑ k t͡sʰ u t͡sʰ j ú n
բառամթերք	b ɑ r ɑ m ə tʰ é ɾ kʰ
բառապաշար	b ɑ r ɑ p ɑ ʃ ɑ́ ɾ
բառապատճեն	b ɑ r ɑ p ɑ t̚ t͡ʃ é n
բառապատճենում	b ɑ r ɑ p ɑ t̚ t͡ʃ e n ú m
