NG	e̞nd͡ʑi
농담	no̞ŋda̠m
농담하다	ˈno̞ːŋda̠mɦa̠da̠
농민	no̞ŋmin
농부	no̞ŋbu
농어	no̞ŋʌ̹
농업	no̞ŋʌ̹p̚
농장	no̞ŋd͡ʑa̠ŋ
높다	no̞p̚t͈a̠
높이	no̞pʰi
높이다	no̞pʰida̠
놓다	no̞tʰa̠
놓치다	no̞t̚t͡ɕʰida̠
뇌	nwe̞
뇌	nwe̞ː
뇌	nwe̞ː
뇌물	nwe̞muɭ
뇌우	nwe̞u
뇨소	ɲjosʰo̞
누	nu
누구	nuɡu
누구세요	nuɡusʰe̞jo
누나	ˈnuːna̠
누난	nuna̠n
누다	nuda̠
누두	nudu
누들	nudɯɭ
누리다	nuɾida̠
누악쇼트	nua̠kɕ͈jotʰɯ
누이	nui
누이동생	nuido̞ŋsʰe̞ŋ
누쿠알로파	nukʰua̠ɭɭo̞pʰa̠
눅다	nuk̚t͈a̠
눈	nun
눈	nun
눈	nuːn
눈길	nunk͈iɭ
눈동자	nundo̞ŋd͡ʑa̠
눈물	nunmuɭ
눈불개	nunbuɭɡe̞
눈사람	ˈnuːns͈a̠ɾa̠m
눈사태	ˈnuːnsʰa̠tʰe̞
눈송이	ˈnuːns͈o̞ŋi
눈치	nunt͡ɕʰi
눋다	ˈnuːt̚t͈a̠
눕다	ˈnuːp̚t͈a̠
눠	nwɘː
뉘우치다	nɥiut͡ɕʰida̠
뉴델리	ɲjude̞ɭʎi
뉴스	ɲjusʰɯ
뉴욕	ɲjujok̚
뉴질랜드	ɲjud͡ʑiɭɭe̞ndɯ
뉴트리아	ɲjutʰɯɾia̠
뉵	ɲjuk̚
느껴지다	nɯk͈jʌ̹d͡ʑida̠
느끼다	nɯk͈ida̠
느끼하다	nɯk͈iɦa̠da̠
느낌	nɯk͈im
느냐	nɯɲja̠
느티나무	nɯtʰina̠mu
늑대인간	nɯk̚t͈e̞inɡa̠n
는다	nɯnda̠
는지	nɯnd͡ʑi
늘다	nɯɭda̠
늘리다	nɯɭʎida̠
늘어나다	nɯɾʌ̹na̠da̠
늙다	nɯk̚t͈a̠
늙은이	nɯɭɡɯni
능격	nɯŋɡjʌ̹k̚
능동태	nɯŋdo̞ŋtʰe̞
늦잠	nɯt̚t͡ɕ͈a̠m
늦추다	nɯt̚t͡ɕʰuda̠
늪	nɯp̚
니코틴	nikʰo̞tʰin
니호늄	niβo̞ɲjum
닉네임	niŋne̞im
닉스타말화	niks͈ɯtʰa̠ma̠ɾβwa̠
닙	nip̚
닝샤	niŋɕʰja̠
다	ta̠
다	ta̠ː
다	ta̠
다	ta̠
다가가다	ta̠ɡa̠ɡa̠da̠
다가오다	ta̠ɡa̠o̞da̠
다각형	ta̠ɡa̠kçjʌ̹ŋ
다거다	ta̠ɡʌ̹da̠
다다르다	ta̠da̠ɾɯda̠
다다미	ta̠da̠mi
다락	ta̠ɾa̠k̚
다락방	ta̠ɾa̠k̚p͈a̠ŋ
다래	ta̠ɾe̞
다르다	ta̠ɾɯda̠
다른	ta̠ɾɯn
다름슈타튬	ta̠ɾɯmɕʰjutʰa̠tʰjum
다마네기	ta̠ma̠ne̞ɡi
다방	ta̠ba̠ŋ
다섯	ta̠sʰʌ̹t̚
다소	ta̠sʰo̞
다수	ta̠sʰu
다신론	ta̠ɕʰinno̞n
다엽	ta̠jʌ̹p̚
다윗	ta̠ɥit̚
다이아몬드	ta̠ia̠mo̞ndɯ
다이어그램	ta̠iʌ̹ɡɯɾe̞m
다이어트	ta̠iʌ̹tʰɯ
다정하다	ta̠d͡ʑʌ̹ŋɦa̠da̠
다지다	ta̠d͡ʑida̠
다치다	ta̠t͡ɕʰida̠
다카	ta̠kʰa̠
다투다	ta̠tʰuda̠
다툼	ta̠tʰum
다하다	ˈta̠ːɦa̠da̠
다행	ta̠ɦe̞ŋ
닥치다	ta̠k̚t͡ɕʰida̠
단념	ˈta̠ːnɲjʌ̹m
단단하다	ta̠nda̠nɦa̠da̠
단발	ta̠nba̠ɭ
단발	ˈta̠ːnba̠ɭ
단발	ˈta̠ːnba̠ɭ
단백질	ˈta̠ːnbe̞k̚t͡ɕ͈iɭ
단순하다	ta̠nsʰunɦa̠da̠
단위	ta̠nɥi
단천	ta̠nt͡ɕʰʌ̹n
단풍나무	ta̠npʰuŋna̠mu
달걀	ta̠ɭɡja̠ɭ
달구다	ta̠ɭɡuda̠
달구지	ta̠ɭɡud͡ʑi
달라지다	ta̠ɭɭa̠d͡ʑida̠
달러	ta̠ɭɭʌ̹
달려가다	ta̠ɭʎjʌ̹ɡa̠da̠
달려오다	ta̠ɭʎjʌ̹o̞da̠
달리다	ta̠ɭʎida̠
달빛	ta̠ɭp͈it̚
달아나다	ta̠ɾa̠na̠da̠
달팽이	ta̠ɭpʰe̞ŋi
달하다	ta̠ɾɦa̠da̠
닭갈비	ta̠k̚k͈a̠ɭbi
닭고기	ta̠k̚k͈o̞ɡi
닭살	ta̠ks͈a̠ɭ
닭쌈	ta̠ks͈a̠m
닮음	ta̠ɭmɯm
닳다	ta̠ɭtʰa̠
담박	ta̠mba̠k̚
담박하다	ta̠mba̠kʰa̠da̠
담배갑	ˈta̠ːmbe̞ɡa̠p̚
담백	ta̠mbe̞k̚
담뱃대	ˈta̠ːmbe̞t̚t͈e̞
담벼락	ta̠mp͈jʌ̹ɾa̠k̚
담보물	ta̠mbo̞muɭ
담요	ˈta̠ːmɲjo
담임	ta̠mim
담황	ˈta̠ːmβwa̠ŋ
답	ta̠p̚
답	ta̠p̚
답다	ta̠p̚t͈a̠
답정너	ta̠p̚t͡ɕ͈ʌ̹ŋnʌ̹
답하다	ta̠pʰa̠da̠
당	ta̠ŋ
당구	ta̠ŋɡu
당근	ta̠ŋɡɯn
당나귀	ta̠ŋna̠ɡɥi
당뇨병	ta̠ŋɲjop͈jʌ̹ŋ
당당하다	ta̠ŋda̠ŋɦa̠da̠
당면	ta̠ŋmjʌ̹n
당밀	ta̠ŋmiɭ
당시	ta̠ŋɕʰi
당시	ta̠ŋɕʰi
당신들	ta̠ŋɕʰindɯɭ
당연	ta̠ŋjʌ̹n
당연하다	ta̠ŋjʌ̹nɦa̠da̠
당연히	ta̠ŋjʌ̹nʝi
당장	ta̠ŋd͡ʑa̠ŋ
당질	ta̠ŋd͡ʑiɭ
당하다	ta̠ŋɦa̠da̠
당황	ta̠ŋβwa̠ŋ
닿다	ˈta̠ːtʰa̠
대가	ˈte̞ːɡa̠
대개	ˈte̞ːɡe̞
대검집	ˈte̞ːɡʌ̹md͡ʑip̚
대관령	ˈte̞ːɡwa̠ɭʎjʌ̹ŋ
대교구	te̞ɡjoɡu
대구	ˈte̞ːɡu
대구	te̞ɡu
대기	ˈte̞ːɡi
대기실	ˈte̞ːɡiɕʰiɭ
대기하다	ˈte̞ːɡiɦa̠da̠
대나무	te̞na̠mu
대농갱이	te̞no̞ŋɡe̞ŋi
대다	ˈte̞ːda̠
대다	te̞da̠
대다	te̞da̠
대다수	ˈte̞ːda̠sʰu
대단하다	ˈte̞ːda̠nɦa̠da̠
대두	te̞du
대략	ˈte̞ːɾja̠k̚
대령	ˈte̞ːɾjʌ̹ŋ
대로	te̞ɾo̞
대륙송사리	ˈte̞ːɾjuks͈o̞ŋsʰa̠ɾi
대륙종개	ˈte̞ːɾjuk̚t͡ɕ͈o̞ŋɡe̞
대리인	ˈte̞ːɾiin
대리점	ˈte̞ːɾid͡ʑʌ̹m
대만	te̞ma̠n
대명사	te̞mjʌ̹ŋsʰa̠
대모	ˈte̞ːmo̞
대박	ˈte̞ːba̠k̚
대북	te̞buk̚
대사관	ˈte̞ːsʰa̠ɡwa̠n
대상	te̞sʰa̠ŋ
대상자	te̞sʰa̠ŋd͡ʑa̠
대서양	ˈte̞ːsʰʌ̹ja̠ŋ
대수	ˈte̞ːsʰu
대신하다	ˈte̞ːɕʰinɦa̠da̠
대야	te̞ja̠
대여섯	ˈte̞ːjʌ̹sʰʌ̹t̚
대역폭	te̞jʌ̹k̚pʰo̞k̚
대우	te̞u
대위	ˈte̞ːɥi
대장	ˈte̞ːd͡ʑa̠ŋ
대저택	te̞d͡ʑʌ̹tʰe̞k̚
대주교	ˈte̞ːd͡ʑuɡjo
대중	ˈte̞ːd͡ʑuŋ
대책	ˈte̞ːt͡ɕʰe̞k̚
대표	ˈte̞ːpʰjo
대표단	ˈte̞ːpʰjoda̠n
대표적	ˈte̞ːpʰjod͡ʑʌ̹k̚
대프리카	te̞pʰɯɾikʰa̠
대하다	ˈte̞ːɦa̠da̠
대학	ˈte̞ːɦa̠k̚
대학교	ˈte̞ːɦa̠k̚k͈jo
대학생	ˈte̞ːɦa̠ks͈e̞ŋ
대학수학능력시험	ˈte̞ːɦa̠ks͈uɦa̠ŋnɯŋɲjʌ̹kɕ͈iɦʌ̹m
대학원생	te̞ɦa̠ɡwʌ̹nsʰe̞ŋ
대한민국	ˈte̞ːɦa̠nminɡuk̚
대합실	ˈte̞ːɦa̠pɕ͈iɭ
대형	ˈte̞ːʝjʌ̹ŋ
대화	ˈte̞ːβwa̠
대황어	ˈte̞ːβwa̠ŋʌ̹
대회	ˈte̞ːβwe̞
댁	te̞k̚
댐	te̞m
댕기흰죽지	te̞ŋɡiʝind͡ʑuk̚t͡ɕ͈i
더구나	tʌ̹ɡuna̠
더듬이다리	tʌ̹dɯmida̠ɾi
더럽다	ˈtɘːɾʌ̹p̚t͈a̠
더브늄	tʌ̹bɯɲjum
더블유	t͈ʌ̹bɯɭʎju
더욱	tʌ̹uk̚
더위	tʌ̹ɥi
더하다	tʌ̹ɦa̠da̠
덕	tʌ̹k̚
덕분	tʌ̹k̚p͈un
덕천	tʌ̹k̚t͡ɕʰʌ̹n
덕택	tʌ̹k̚tʰe̞k̚
덕트	tʌ̹k̚tʰɯ
던	tʌ̹n
던데	tʌ̹nde̞
던지다	tʌ̹nd͡ʑida̠
던지럽다	ˈtɘːnd͡ʑiɾʌ̹p̚t͈a̠
덜	tɘːɭ
덜다	ˈtɘːɭda̠
덤불해오라기	tʌ̹mbuɾɦe̞o̞ɾa̠ɡi
덥다	ˈtɘːp̚t͈a̠
덧	tʌ̹t̚
덧글	tʌ̹t̚k͈ɯɭ
덧니	tʌ̹nni
덧붙다	tʌ̹t̚p͈ut̚t͈a̠
덧붙이다	tʌ̹t̚p͈ut͡ɕʰida̠
덧셈	tʌ̹t̚s͈e̞m
덮개	tʌ̹p̚k͈e̞
덮다	tʌ̹p̚t͈a̠
덮밥	tʌ̹p̚p͈a̠p̚
덮이다	tʌ̹pʰida̠
데려가다	te̞ɾjʌ̹ɡa̠da̠
데리다	te̞ɾida̠
데메테르	te̞me̞tʰe̞ɾɯ
데모	te̞mo̞
데바나가리	te̞ba̠na̠ɡa̠ɾi
데뷔	te̞bɥi
데이터	te̞itʰʌ̹
데이터베이스	te̞itʰʌ̹be̞isʰɯ
데이트	te̞itʰɯ
데이트하다	te̞itʰɯɦa̠da̠
덴마크	te̞nma̠kxɯ
덴푸라	te̞npʰuɾa̠
델리	te̞ɭʎi
도가니	to̞ɡa̠ni
도검	to̞ɡʌ̹m
도구	ˈto̞ːɡu
도금	ˈto̞ːɡɯm
도기	to̞ɡi
도깨비	to̞k͈e̞bi
도끼	to̞k͈i
도다리	to̞da̠ɾi
도달하다	ˈto̞ːda̠ɾɦa̠da̠
도대체	to̞de̞t͡ɕʰe̞
도덕	ˈto̞ːdʌ̹k̚
도도마	to̞do̞ma̠
도라지	to̞ɾa̠d͡ʑi
도로	ˈto̞ːɾo̞
도롱뇽	to̞ɾo̞ŋɲjoŋ
도리	to̞ɾi
도박	to̞ba̠k̚
도서관	to̞sʰʌ̹ɡwa̠n
도시	to̞ɕʰi
도안	to̞a̠n
도우미	to̞umi
도움	to̞um
도입	ˈto̞ːip̚
도자기	to̞d͡ʑa̠ɡi
도장	to̞d͡ʑa̠ŋ
도저히	ˈto̞ːd͡ʑʌ̹ʝi
도적	to̞d͡ʑʌ̹k̚
도중	ˈto̞ːd͡ʑuŋ
도착하다	ˈto̞ːt͡ɕʰa̠kʰa̠da̠
도체	ˈto̞ːt͡ɕʰe̞
도쿄	to̞kçjo
도토리	to̞tʰo̞ɾi
도플갱어	to̞pʰɯɭɡe̞ŋʌ̹
도하	to̞ɦa̠
도화뱅어	to̞βwa̠be̞ŋʌ̹
독립	to̞ŋnip̚
독살	to̞ks͈a̠ɭ
독서실	to̞ks͈ʌ̹ɕʰiɭ
독소	to̞ks͈o̞
독신	to̞kɕ͈in
독신자	to̞kɕ͈ind͡ʑa̠
독일어	to̞ɡiɾʌ̹
독재	to̞k̚t͡ɕ͈e̞
독재자	to̞k̚t͡ɕ͈e̞d͡ʑa̠
돈가스	to̞nɡa̠sʰɯ
돈까스	to̞nk͈a̠sʰɯ
돋다	to̞t̚t͈a̠
돋보기	to̞t̚p͈o̞ɡi
돋우다	to̞duda̠
돌가자미	to̞ɭɡa̠d͡ʑa̠mi
돌격	to̞ɭɡjʌ̹k̚
돌고기	to̞ɭɡo̞ɡi
돌고래	to̞ɭɡo̞ɾe̞
돌려주다	to̞ɭʎjʌ̹d͡ʑuda̠
돌마자	to̞ɭma̠d͡ʑa̠
돌보다	ˈto̞ːɭbo̞da̠
돌상어	to̞ɭsʰa̠ŋʌ̹
돌솥	ˈto̞ːɭsʰo̞t̚
돌아가다	to̞ɾa̠ɡa̠da̠
돌아가시다	to̞ɾa̠ɡa̠ɕʰida̠
돌아다니다	to̞ɾa̠da̠nida̠
돌아보다	to̞ɾa̠bo̞da̠
돌아서다	to̞ɾa̠sʰʌ̹da̠
돌아오다	to̞ɾa̠o̞da̠
돌이키다	to̞ɾikçida̠
돌잔치	to̞ɭd͡ʑa̠nt͡ɕʰi
돗자리	to̞t̚t͡ɕ͈a̠ɾi
동	to̞ŋ
동	to̞ːŋ
동공	ˈto̞ːŋɡo̞ŋ
동굴	ˈto̞ːŋɡuɭ
동그라미	to̞ŋɡɯɾa̠mi
동남	to̞ŋna̠m
동남아시아	to̞ŋna̠ma̠ɕʰia̠
동네	ˈto̞ːŋne̞
동력	ˈto̞ːŋɲjʌ̹k̚
동료	to̞ŋɲjo
동맥	ˈto̞ːŋme̞k̚
동물	ˈto̞ːŋmuɭ
동물학	to̞ŋmuɾɦa̠k̚
동반자	to̞ŋba̠nd͡ʑa̠
동방	to̞ŋba̠ŋ
동방종개	to̞ŋba̠ŋd͡ʑo̞ŋɡe̞
동사리	to̞ŋsʰa̠ɾi
동시	ˈto̞ːŋɕʰi
동안	to̞ŋa̠n
동양	to̞ŋja̠ŋ
동의	to̞ŋɰi
동의어	to̞ŋɰiʌ̹
동의하다	to̞ŋɰiɦa̠da̠
동이	to̞ŋi
동일하다	to̞ŋiɾɦa̠da̠
동자개	to̞ŋd͡ʑa̠ɡe̞
동전	to̞ŋd͡ʑʌ̹n
동지	to̞ŋd͡ʑi
동창	to̞ŋt͡ɕʰa̠ŋ
동티모르	to̞ŋtʰimo̞ɾɯ
동포	to̞ŋpʰo̞
동해	to̞ŋɦe̞
동해	ˈto̞ːŋɦe̞
동행	to̞ŋɦe̞ŋ
동화	ˈto̞ːŋβwa̠
돛대	to̞t̚t͈e̞
돼	twe̞
돼지	ˈtwe̞ːd͡ʑi
되	twe̞
되게	ˈtwe̞ːɡe̞
되다	twe̞da̠
되돌리다	twe̞do̞ɭʎida̠
되찾다	twe̞t͡ɕʰa̠t̚t͈a̠
되풀이하다	twe̞pʰuɾiɦa̠da̠
된장녀	ˈtwe̞ːnd͡ʑa̠ŋɲjʌ̹
된장찌개	ˈtwe̞ːnd͡ʑa̠ŋt͡ɕ͈iɡe̞
됨됨	twe̞mdwe̞m
됨됨이	twe̞mdwe̞mi
두	tuː
두개골	tuɡe̞ɡo̞ɭ
두건	tuɡʌ̹n
두견	tuɡjʌ̹n
두근거리다	tuɡɯnɡʌ̹ɾida̠
두껍다	tuk͈ʌ̹p̚t͈a̠
두다	tuda̠
두더지	tudʌ̹d͡ʑi
두덩	tudʌ̹ŋ
두드러지다	tudɯɾʌ̹d͡ʑida̠
두드리다	tudɯɾida̠
두려움	tuɾjʌ̹um
두려워하다	tuɾjʌ̹wʌ̹ɦa̠da̠
두루미	tuɾumi
두르다	tuɾɯda̠
두리안	tuɾia̠n
두만가시고기	tuma̠nɡa̠ɕʰiɡo̞ɡi
두목	tumo̞k̚
두발	tuba̠ɭ
두상	tusʰa̠ŋ
두서너	tusʰʌ̹nʌ̹
두서넛	tusʰʌ̹nʌ̹t̚
두어	tuʌ̹
두어서넛	tuʌ̹sʰʌ̹nʌ̹t̚
두줄망둑	ˈtuːd͡ʑuɭma̠ŋduk̚
두째	tut͡ɕ͈e̞
두통	tutʰo̞ŋ
둔치다	tunt͡ɕʰida̠
둘	tuːɭ
둘러보다	tuɭɭʌ̹bo̞da̠
둘러싸다	tuɭɭʌ̹s͈a̠da̠
둘째	ˈtuːɭt͡ɕ͈e̞
둥간어	tuŋɡa̠nʌ̹
둥글다	tuŋɡɯɭda̠
둬	twɘː
뒤따르다	ˈtɥiːt͈a̠ɾɯda̠
뒤섞다	tɥisʰʌ̹k̚t͈a̠
뒤쥐	tɥid͡ʑɥi
뒤집다	tɥid͡ʑip̚t͈a̠
뒤쫓다	ˈtɥiːt͡ɕ͈o̞t̚t͈a̠
뒷간	ˈtɥiːt̚k͈a̠n
뒷다리	tɥit̚t͈a̠ɾi
뒷모습	ˈtɥiːnmo̞sʰɯp̚
뒹굴다	tɥiŋɡuɭda̠
뒹굴뒹굴	tɥiŋɡuɭdɥiŋɡuɭ
듀오	tjuo̞
드라마	tɯɾa̠ma̠
드러나다	tɯɾʌ̹na̠da̠
드렁허리	tɯɾʌ̹ŋɦʌ̹ɾi
드론	tɯɾo̞n
드르렁드르렁	tɯɾɯɾʌ̹ŋdɯɾɯɾʌ̹ŋ
드물다	tɯmuɭda̠
드시다	tɯɕʰida̠
득	tɯk̚
득남	tɯŋna̠m
득템	tɯk̚tʰe̞m
들	tɯɭ
들	tɯːɭ
들	tɯɭ
들것	tɯɭɡʌ̹t̚
들끓다	tɯɭk͈ɯɭtʰa̠
들다	tɯɭda̠
들르다	tɯɭɭɯda̠
들쇠고래	tɯɭsʰwe̞ɡo̞ɾe̞
들어가다	tɯɾʌ̹ɡa̠da̠
들여다보다	tɯɾjʌ̹da̠bo̞da̠
들이다	tɯɾida̠
들키다	tɯɭkçida̠
들판	ˈtɯːɭpʰa̠n
듯	tɯt̚
등	tɯŋ
등록기	tɯŋno̞k̚k͈i
등반	tɯŋba̠n
등받이	tɯŋba̠di
등산	tɯŋsʰa̠n
등산하다	tɯŋsʰa̠nɦa̠da̠
등신	ˈtɯːŋɕʰin
등심	tɯŋɕʰim
등유	tɯŋju
등자	tɯŋd͡ʑa̠
등장인물	tɯŋd͡ʑa̠ŋinmuɭ
등장하다	tɯŋd͡ʑa̠ŋɦa̠da̠
등줄숭어	tɯŋt͡ɕ͈uɭsʰuŋʌ̹
디귿	tiɡɯt̚
디바이스	tiba̠isʰɯ
디스프로슘	tisʰɯpʰɯɾo̞ɕʰjum
디자이너	tid͡ʑa̠inʌ̹
디자인	tid͡ʑa̠in
디제이	tid͡ʑe̞i
딜리	tiɭʎi
따개비	t͈a̠ɡe̞bi
따님	t͈a̠nim
따뜻	t͈a̠t͈ɯt̚
따뜻하다	t͈a̠t͈ɯtʰa̠da̠
따라가다	t͈a̠ɾa̠ɡa̠da̠
따라서	t͈a̠ɾa̠sʰʌ̹
따라오다	t͈a̠ɾa̠o̞da̠
따르다	t͈a̠ɾɯda̠
따름	t͈a̠ɾɯm
따사롭다	t͈a̠sʰa̠ɾo̞p̚t͈a̠
따오기	t͈a̠o̞ɡi
따옴표	t͈a̠o̞mpʰjo
따지다	t͈a̠d͡ʑida̠
딱	t͈a̠k̚
딱다그르르딱다그르르하다	t͈a̠k̚t͈a̠ɡɯɾɯɾɯt͈a̠k̚t͈a̠ɡɯɾɯɾɯɦa̠da̠
딱지	t͈a̠k̚t͡ɕ͈i
딴	t͈a̠n
딸	t͈a̠ɭ
딸기	ˈt͈a̠ːɭɡi
딸딸이	t͈a̠ɭt͈a̠ɾi
땃쥐	t͈a̠t̚t͡ɕ͈ɥi
땅	t͈a̠ŋ
때로	t͈e̞ɾo̞
때문	t͈e̞mun
땐스	t͈e̞nsʰɯ
땔나무	ˈt͈e̞ːɭɭa̠mu
땜납	ˈt͈e̞ːmna̠p̚
떠오르다	t͈ʌ̹o̞ɾɯda̠
떠올리다	t͈ʌ̹o̞ɭʎida̠
떡국	t͈ʌ̹k̚k͈uk̚
떡납줄갱이	t͈ʌ̹ŋna̠p̚t͡ɕ͈uɭɡe̞ŋi
떡볶이	t͈ʌ̹k̚p͈o̞k͈i
떨다	ˈt͈ɘːɭda̠
떨어뜨리다	t͈ʌ̹ɾʌ̹t͈ɯɾida̠
떫디떫다	ˈt͈ɘːɭt͈it͈ʌ̹ɭt͈a̠
떽	t͈e̞k̚
뗀노	t͈e̞nno̞
또는	t͈o̞nɯn
또다시	t͈o̞da̠ɕʰi
또한	t͈o̞ɦa̠n
똑같이	t͈o̞k̚k͈a̠t͡ɕʰi
똑똑	t͈o̞k̚t͈o̞k̚
똑똑이	t͈o̞k̚t͈o̞ɡi
똥개	t͈o̞ŋk͈e̞
똥남아	t͈o̞ŋna̠ma̠
똥싸다	t͈o̞ŋs͈a̠da̠
똥양인	t͈o̞ŋja̠ŋin
똥차	t͈o̞ŋt͡ɕʰa̠
뚜껑	t͈uk͈ʌ̹ŋ
뚜렷하다	t͈uɾjʌ̹tʰa̠da̠
뚜쟁이	t͈ud͡ʑe̞ŋi
뚝배기	t͈uk̚p͈e̞ɡi
뚝섬	t͈uks͈ʌ̹m
뚫다	t͈uɭtʰa̠
뛰르끼예	t͈ɥiɾɯk͈ije̞
뛰어가다	t͈ɥiʌ̹ɡa̠da̠
뛰어나다	t͈ɥiʌ̹na̠da̠
뛰어넘다	t͈ɥiʌ̹nʌ̹mt͈a̠
뜨거워지다	t͈ɯɡʌ̹wʌ̹d͡ʑida̠
뜨겁다	t͈ɯɡʌ̹p̚t͈a̠
뜨다	t͈ɯda̠
뜨다	t͈ɯda̠
뜨락또르	t͈ɯɾa̠k̚t͈o̞ɾɯ
뜬소문	t͈ɯnsʰo̞mun
뜯다	t͈ɯt̚t͈a̠
뜻	t͈ɯt̚
뜻밖	t͈ɯt̚p͈a̠k̚
뜻밖에	t͈ɯt̚p͈a̠k͈e̞
뜻하다	t͈ɯtʰa̠da̠
띠	t͈i
띠동갑	t͈ido̞ŋɡa̠p̚
띠앗	t͈ia̠t̚
띵호아	t͈iŋβo̞a̠
라고	ɾa̠ɡo̞
라고스	ɾa̠ɡo̞sʰɯ
라니	ɾa̠ni
라돈	ɾa̠do̞n
라디에이터	ɾa̠die̞itʰʌ̹
라디오	ɾa̠dio̞
라마	ɾa̠ma̠
라며	ɾa̠mjʌ̹
라벨	ɾa̠be̞ɭ
라볶이	ɾa̠bo̞k͈i
라서	ɾa̠sʰʌ̹
라선	ɾa̠sʰʌ̹n
라오스	ɾa̠o̞sʰɯ
라오어	ɾa̠o̞ʌ̹
라우터	ɾa̠utʰʌ̹
라운지	ɾa̠und͡ʑi
라이벌	ɾa̠ibʌ̹ɭ
라이베리아	ɾa̠ibe̞ɾia̠
라이선스	ɾa̠isʰʌ̹nsʰɯ
라이터	ɾa̠itʰʌ̹
라이트세이버	ɾa̠itʰɯsʰe̞ibʌ̹
라이플	ɾa̠ipʰɯɭ
라지오	ɾa̠d͡ʑio̞
라트비아어	ɾa̠tʰɯbia̠ʌ̹
라한	ɾa̠ɦa̠n
란타넘	ɾa̠ntʰa̠nʌ̹m
랍비	ɾa̠p̚p͈i
랜섬웨어	ɾe̞nsʰʌ̹mwe̞ʌ̹
랠리	ɾe̞ɭʎi
랩톱	ɾe̞p̚tʰo̞p̚
랭	ɾe̞ŋ
랴오닝	ɾja̠o̞niŋ
략어	ɾja̠ɡʌ̹
량	ɾja̠ŋ
량반	ɾja̠ŋba̠n
러더포듐	ɾʌ̹dʌ̹pʰo̞djum
러브호텔	ɾʌ̹bɯβo̞tʰe̞ɭ
러시아	ɾʌ̹ɕʰia̠
럭비	ɾʌ̹k̚p͈i
럼	ɾʌ̹m
레	ɾe̞
레늄	ɾe̞ɲjum
레닌그라드	ɾe̞ninɡɯɾa̠dɯ
레스토랑	ɾe̞sʰɯtʰo̞ɾa̠ŋ
레슬링	ɾe̞sʰɯɭʎiŋ
레위기	ɾe̞ɥiɡi
레위니옹	ɾe̞ɥinio̞ŋ
레이스	ɾe̞isʰɯ
레이저	ɾe̞id͡ʑʌ̹
레이캬비크	ɾe̞ikçja̠bikxɯ
레인지	ɾe̞ind͡ʑi
레일	ɾe̞iɭ
레즈비언	ɾe̞d͡ʑɯbiʌ̹n
레코드	ɾe̞kʰo̞dɯ
레퍼토리	ɾe̞pʰʌ̹tʰo̞ɾi
렌즈	ɾe̞nd͡ʑɯ
려관	ɾjʌ̹ɡwa̠n
력사	ɾjʌ̹ks͈a̠
련	ɾjʌ̹n
련방	ɾjʌ̹nba̠ŋ
렬도	ɾjʌ̹ɭt͈o̞
령	ɾjʌ̹ŋ
령도자	ɾjʌ̹ŋdo̞d͡ʑa̠
령사	ɾjʌ̹ŋsʰa̠
례	ɾje̞
로	ɾo̞
로고	ɾo̞ɡo̞
로동	ɾo̞do̞ŋ
로듐	ɾo̞djum
로마	ɾo̞ma̠
로마자	ɾo̞ma̠d͡ʑa̠
로메	ɾo̞me̞
로션	ɾo̞ɕʰjʌ̹n
로조	ɾo̞d͡ʑo̞
록	ɾo̞k̚
롤러코스터	ɾo̞ɭɭʌ̹kʰo̞sʰɯtʰʌ̹
롯	ɾo̞t̚
뢴트게늄	ɾwe̞ntʰɯɡe̞ɲjum
료법	ɾjobʌ̹p̚
룘	ɾjoɭ
루마니아어	ɾuma̠nia̠ʌ̹
루멘	ɾume̞n
루바슈카	ɾuba̠ɕʰjukʰa̠
루비듐	ɾubidjum
루시	ɾuɕʰi
루시퍼	ɾuɕʰipʰʌ̹
루안다	ɾua̠nda̠
루카	ɾukʰa̠
루테늄	ɾutʰe̞ɲjum
루테튬	ɾutʰe̞tʰjum
룩셈부르크	ɾuks͈e̞mbuɾɯkxɯ
류블랴나	ɾjubɯɭʎja̠na̠
륙	ɾjuk̚
륙십	ɾjukɕ͈ip̚
르네상스	ɾɯne̞sʰa̠ŋsʰɯ
르완다	ɾɯwa̠nda̠
를	ɾɯɭ
리	ɾi
리가	ɾiɡa̠
리더	ɾidʌ̹
리모넨	ɾimo̞ne̞n
리무진	ɾimud͡ʑin
리버모륨	ɾibʌ̹mo̞ɾjum
리비도	ɾibido̞
리비아	ɾibia̠
리셉션	ɾis͈e̞pɕ͈jʌ̹n
리야드	ɾija̠dɯ
리옹	ɾio̞ŋ
리우데자네이루	ɾiude̞d͡ʑa̠ne̞iɾu
리원	ɾiwʌ̹n
리을	ɾiɯɭ
리투아니아어	ɾitʰua̠nia̠ʌ̹
리튬	ɾitʰjum
리히텐슈타인	ɾiʝitʰe̞nɕʰjutʰa̠in
린	ɾin
린스	ɾinsʰɯ
릴롱궤	ɾiɭɭo̞ŋɡwe̞
릴리스	ɾiɭʎisʰɯ
림	ɾim
립	ɾip̚
립자	ɾip̚t͡ɕ͈a̠
링크	ɾiŋkxɯ
마가린	ma̠ɡa̠ɾin
마노	ma̠no̞
마니	ma̠ni
마니다	ma̠nida̠
마닐라	ma̠niɭɭa̠
마다	ma̠da̠
마당	ma̠da̠ŋ
마디	ma̠di
마라톤	ma̠ɾa̠tʰo̞n
마력	ˈma̠ːɾjʌ̹k̚
마련	ma̠ɾjʌ̹n
