ͷ	t͡sʼ
λευκότεροσ	l e ɸ k o t e r o s
λευκότεροσ	l e ʍ k o t ɛ r o s
λευκόφθαλμοσ	l e f k o f θ a l m o s
λευκόφθαλμοσ	l e u̯ k ó pʰ tʰ a l m o s
λευκόφθαλμοσ	l e ɸ k o ɸ θ a l m o s
λευκόφθαλμοσ	l e ʍ k o pʰ tʰ a l m o s
λευκώ	l e f k o
λευκώ	l e u̯ k ɔ̌ː
λευκώ	l e ɸ k o
λευκώ	l e ʍ k o
λευκώλενοσ	l e f k o l e n o s
λευκώλενοσ	l e u̯ k ɔ̌ː l e n o s
λευκώλενοσ	l e ɸ k o l e n o s
λευκώλενοσ	l e ʍ k o l ɛ n o s
λευκώνιον	l e f k o n i o n
λευκώνιον	l e u̯ k ɔ̌ː n i o n
λευκώνιον	l e ɸ k o n i o n
λευκώνιον	l e ʍ k o n i o n
λευρόσ	l e u̯ r ó s
λευρόσ	l e v r o s
λευρόσ	l e w r o s
λευρόσ	l e β r o s
λεχέεσσι	l e ç e e s i
λεχέεσσι	l e ç e e s s i
λεχέεσσι	l e kʰ é e s s i
λεχέεσσι	l e x e e s s i
λεχέεσσι	l ɛ kʰ ɛ ɛ s s i
λεχώ	l e kʰ ɔ̌ː
λεχώ	l e x o
λεχώ	l ɛ kʰ o
λεωνίδασ	l e o n i ð a s
λεωνίδασ	l e ɔː n í d aː s
λεωνίδασ	l ɛ o n i d a s
λεωνίδεω	l e o n i ð e o
λεωνίδεω	l e ɔː n í d e ɔː
λεωνίδεω	l ɛ o n i d ɛ o
λεωνίδηι	l e o n i ð i
λεωνίδηι	l e ɔː n í d ɛː i̯
λεωνίδηι	l ɛ o n i d e
λεωνίδην	l e o n i ð i n
λεωνίδην	l e ɔː n í d ɛː n
λεωνίδην	l ɛ o n i d e n
λεωνίδησ	l e o n i ð i s
λεωνίδησ	l e ɔː n í d ɛː s
λεωνίδησ	l ɛ o n i d e s
λεωνίδου	l e o n i ð u
λεωνίδου	l e ɔː n í d oː
λεωνίδου	l ɛ o n i d u
λεωσθένησ	l e o s θ e n i s
λεωσθένησ	l e ɔː s tʰ é n ɛː s
λεωσθένησ	l ɛ o s tʰ ɛ n e s
λεωτυχίδησ	l e o t i ç i ð i s
λεωτυχίδησ	l e o t y ç i ð i s
λεωτυχίδησ	l e o t y x i ð i s
λεωτυχίδησ	l e ɔː t y kʰ í d ɛː s
λεωτυχίδησ	l ɛ o t y kʰ i d e s
λεύκ'	l e f k
λεύκ'	l e ɸ k
λεύκ'	l e ʍ k
λεύκ'	l ě u̯ k
λεύκη	l e f c i
λεύκη	l e ɸ k i
λεύκη	l e ʍ k e
λεύκη	l ě u̯ k ɛː
λεύκινοσ	l e f c i n o s
λεύκινοσ	l e ɸ k i n o s
λεύκινοσ	l e ʍ k i n o s
λεύκινοσ	l ě u̯ k i n o s
λεύκιοσ	l e f c i o s
λεύκιοσ	l e ɸ k i o s
λεύκιοσ	l e ʍ k i o s
λεύκιοσ	l ě u̯ k i o s
λεύκιπποσ	l e f c i p o s
λεύκιπποσ	l e f c i p p o s
λεύκιπποσ	l e ɸ k i p p o s
λεύκιπποσ	l e ʍ k i p p o s
λεύκιπποσ	l ě u̯ k i p p o s
λεύκουλλοσ	l e f k u l l o s
λεύκουλλοσ	l e f k u l o s
λεύκουλλοσ	l e ɸ k u l l o s
λεύκουλλοσ	l e ʍ k u l l o s
λεύκουλλοσ	l ě u̯ k oː l l o s
λεώσ	l e o s
λεώσ	l e ɔ̌ː s
λεώσ	l ɛ o s
λῆδοσ	l e d o s
λῆδοσ	l i ð o s
λῆδοσ	l ɛ̂ː d o s
λῆμμα	l e m m a
λῆμμα	l i m a
λῆμμα	l i m m a
λῆμμα	l ɛ̂ː m m a
λῆμνοσ	l e m n o s
λῆμνοσ	l i m n o s
λῆμνοσ	l ɛ̂ː m n o s
λῆνοσ	l e n o s
λῆνοσ	l i n o s
λῆνοσ	l ɛ̂ː n o s
λῆροσ	l e r o s
λῆροσ	l i r o s
λῆροσ	l ɛ̂ː r o s
ληθαργία	l e tʰ a r ɡ i a
ληθαργία	l i θ a r ɣ i a
ληθαργία	l i θ a r ʝ i a
ληθαργία	l ɛː tʰ a r ɡ í aː
ληθαργίαι	l e tʰ a r ɡ i a
ληθαργίαι	l e tʰ a r ɡ i ɛ
ληθαργίαι	l i θ a r ɣ i a
ληθαργίαι	l i θ a r ɣ i ɛ
ληθαργίαι	l i θ a r ʝ i a
ληθαργίαι	l i θ a r ʝ i e
ληθαργίαι	l ɛː tʰ a r ɡ í a i̯
ληθαργίαι	l ɛː tʰ a r ɡ í aː i̯
ληθαργίαιν	l e tʰ a r ɡ i ɛ n
ληθαργίαιν	l i θ a r ɣ i ɛ n
ληθαργίαιν	l i θ a r ʝ i e n
ληθαργίαιν	l ɛː tʰ a r ɡ í a i̯ n
ληθαργίαισ	l e tʰ a r ɡ i ɛ s
ληθαργίαισ	l i θ a r ɣ i ɛ s
ληθαργίαισ	l i θ a r ʝ i e s
ληθαργίαισ	l ɛː tʰ a r ɡ í a i̯ s
ληθαργίαν	l e tʰ a r ɡ i a n
ληθαργίαν	l i θ a r ɣ i a n
ληθαργίαν	l i θ a r ʝ i a n
ληθαργίαν	l ɛː tʰ a r ɡ í aː n
ληθαργίασ	l e tʰ a r ɡ i a s
ληθαργίασ	l i θ a r ɣ i a s
ληθαργίασ	l i θ a r ʝ i a s
ληθαργίασ	l ɛː tʰ a r ɡ í aː s
ληθαργιῶν	l e tʰ a r ɡ i o n
ληθαργιῶν	l i θ a r ɣ i o n
ληθαργιῶν	l i θ a r ʝ i o n
ληθαργιῶν	l ɛː tʰ a r ɡ i ɔ̂ː n
ληΐζομαι	l e i z o m ɛ
ληΐζομαι	l i i z o m e
ληΐζομαι	l i i z o m ɛ
ληΐζομαι	l ɛː í z d o m a i̯
ληιστήσ	l e s t e s
ληιστήσ	l i s t i s
ληιστήσ	l ɛː i̯ s t ɛ̌ː s
ληισταί	l e s t ɛ
ληισταί	l i s t e
ληισταί	l i s t ɛ
ληισταί	l ɛː i̯ s t ǎ i̯
ληιστεία	l e s t i a
ληιστεία	l i s t i a
ληιστεία	l ɛː i̯ s t ěː aː
ληιστείαν	l e s t i a n
ληιστείαν	l i s t i a n
ληιστείαν	l ɛː i̯ s t ěː aː n
ληιστείασ	l e s t i a s
ληιστείασ	l i s t i a s
ληιστείασ	l ɛː i̯ s t ěː aː s
ληιστικόν	l e s t i k o n
ληιστικόν	l i s t i k o n
ληιστικόν	l ɛː i̯ s t i k ó n
ληιστικόσ	l e s t i k o s
ληιστικόσ	l i s t i k o s
ληιστικόσ	l ɛː i̯ s t i k ó s
ληνόσ	l e n o s
ληνόσ	l i n o s
ληνόσ	l ɛː n ó s
ληπτόσ	l e p t o s
ληπτόσ	l i p t o s
ληπτόσ	l ɛː p t ó s
λητώ	l e t o
λητώ	l i t o
λητώ	l ɛː t ɔ̌ː
λῖνοσ	l i n o s
λῖνοσ	l îː n o s
λιβάνινοσ	l i b a n i n o s
λιβάνινοσ	l i b á n i n o s
λιβάνινοσ	l i v a n i n o s
λιβάνινοσ	l i β a n i n o s
λιβία	l i b i a
λιβία	l i v i a
λιβία	l i β i a
λιβία	l iː b í aː
λιβανοθήκη	l i b a n o tʰ e k e
λιβανοθήκη	l i b a n o tʰ ɛ̌ː k ɛː
λιβανοθήκη	l i v a n o θ i c i
λιβανοθήκη	l i β a n o θ i k i
λιβανωτόσ	l i b a n o t o s
λιβανωτόσ	l i b a n ɔː t ó s
λιβανωτόσ	l i v a n o t o s
λιβανωτόσ	l i β a n o t o s
λιβανώτινοσ	l i b a n o t i n o s
λιβανώτινοσ	l i b a n ɔ̌ː t i n o s
λιβανώτινοσ	l i v a n o t i n o s
λιβανώτινοσ	l i β a n o t i n o s
λιβυρνόσ	l i b y r n o s
λιβυρνόσ	l i b y r n ó s
λιβυρνόσ	l i v i r n o s
λιβυρνόσ	l i v y r n o s
λιβυρνόσ	l i β y r n o s
λιβύη	l i b y e
λιβύη	l i b ý ɛː
λιβύη	l i v i i
λιβύη	l i v y i
λιβύη	l i β y i
λιγνύσ	l i ɡ n y s
λιγνύσ	l i ɡ n y̌ː s
λιγνύσ	l i ɣ n i s
λιγνύσ	l i ɣ n y s
λιγυστική	l i ɡ y s t i k e
λιγυστική	l i ɡ y s t i k ɛ̌ː
λιγυστική	l i ɣ y s t i k i
λιγυστική	l i ʝ i s t i c i
λιγυστική	l i ʝ y s t i c i
λιγύσ	l i ɡ y s
λιγύσ	l i ɡ ý s
λιγύσ	l i ɣ y s
λιγύσ	l i ʝ i s
λιγύσ	l i ʝ y s
λιγύφθογγοσ	l i ɡ y pʰ tʰ o ŋ ɡ o s
λιγύφθογγοσ	l i ɡ ý pʰ tʰ o ŋ ɡ o s
λιγύφθογγοσ	l i ɣ y ɸ θ o ŋ ɡ o s
λιγύφθογγοσ	l i ʝ i f θ o ŋ ɡ o s
λιγύφθογγοσ	l i ʝ y f θ o ŋ ɡ o s
λιθάργυροσ	l i tʰ a r ɡ y r o s
λιθάργυροσ	l i tʰ á r ɡ y r o s
λιθάργυροσ	l i θ a r ɣ y r o s
λιθάργυροσ	l i θ a r ʝ i r o s
λιθάργυροσ	l i θ a r ʝ y r o s
λιθίζων	l i tʰ i z o n
λιθίζων	l i tʰ í z d ɔː n
λιθίζων	l i θ i z o n
λιθαργύρινοσ	l i tʰ a r ɡ y r i n o s
λιθαργύρινοσ	l i tʰ a r ɡ ý r i n o s
λιθαργύρινοσ	l i θ a r ɣ y r i n o s
λιθαργύρινοσ	l i θ a r ʝ i r i n o s
λιθαργύρινοσ	l i θ a r ʝ y r i n o s
λιθολάβοσ	l i tʰ o l a b o s
λιθολάβοσ	l i tʰ o l á b o s
λιθολάβοσ	l i θ o l a v o s
λιθολάβοσ	l i θ o l a β o s
λιθόκολλα	l i tʰ o k o l l a
λιθόκολλα	l i tʰ ó k o l l a
λιθόκολλα	l i θ o k o l a
λιθόκολλα	l i θ o k o l l a
λιθόσπερμον	l i tʰ o s p ɛ r m o n
λιθόσπερμον	l i tʰ ó s p e r m o n
λιθόσπερμον	l i θ o s p e r m o n
λικίννιοσ	l i c i n i o s
λικίννιοσ	l i c i n n i o s
λικίννιοσ	l i k i n n i o s
λικίννιοσ	l i k í n n i o s
λικιννία	l i c i n i a
λικιννία	l i c i n n i a
λικιννία	l i k i n n i a
λικιννία	l i k i n n í aː
λικμάω	l i k m a o
λικμάω	l i k m á ɔː
λιλαίομαι	l i l ǎ i̯ o m a i̯
λιλαίομαι	l i l e o m e
λιλαίομαι	l i l ɛ o m ɛ
λιλύβαιον	l i l i v e o n
λιλύβαιον	l i l y b ɛ o n
λιλύβαιον	l i l y v e o n
λιλύβαιον	l i l y β ɛ o n
λιλύβαιον	l i l ý b a i̯ o n
λιμένα	l i m e n a
λιμένα	l i m é n a
λιμένα	l i m ɛ n a
λιμένασ	l i m e n a s
λιμένασ	l i m é n a s
λιμένασ	l i m ɛ n a s
λιμένεσ	l i m e n e s
λιμένεσ	l i m é n e s
λιμένεσ	l i m ɛ n ɛ s
λιμένι	l i m e n i
λιμένι	l i m é n i
λιμένι	l i m ɛ n i
λιμένοσ	l i m e n o s
λιμένοσ	l i m é n o s
λιμένοσ	l i m ɛ n o s
λιμένων	l i m e n o n
λιμένων	l i m é n ɔː n
λιμένων	l i m ɛ n o n
λιμήν	l i m e n
λιμήν	l i m i n
λιμήν	l i m ɛ̌ː n
λιμόσ	l i m o s
λιμόσ	l iː m ó s
λινόζωστισ	l i n o z o s t i s
λινόζωστισ	l i n ó z d ɔː s t i s
λιπάρα	l i p a r a
λιπάρα	l i p á r aː
λιπαρόσ	l i p a r o s
λιπαρόσ	l i p a r ó s
λιπῶν	l i p o n
λιπῶν	l i p ɔ̂ː n
λιπών	l i p o n
λιπών	l i p ɔ̌ː n
λισσόμενοσ	l i s o m e n o s
λισσόμενοσ	l i s s o m e n o s
λισσόμενοσ	l i s s o m ɛ n o s
λισσόμενοσ	l i s s ó m e n o s
λισσόσ	l i s o s
λισσόσ	l i s s o s
λισσόσ	l i s s ó s
λιτή	l i t e
λιτή	l i t i
λιτή	l i t ɛ̌ː
λιτόσ	l i t o s
λιτόσ	l i t ó s
λιτόσ	l iː t ó s
λιτότησ	l i t o t e s
λιτότησ	l i t o t i s
λιτότησ	l iː t ó t ɛː s
λιτότητα	l i t o t e t a
λιτότητα	l i t o t i t a
λιτότητα	l iː t ó t ɛː t a
λοβόσ	l o b o s
λοβόσ	l o b ó s
λοβόσ	l o v o s
λοβόσ	l o β o s
λογίζομαι	l o ɡ i z o m ɛ
λογίζομαι	l o ɡ í z d o m a i̯
λογίζομαι	l o ɣ i z o m ɛ
λογίζομαι	l o ʝ i z o m e
λογεῖον	l o ɡ êː o n
λογεῖον	l o ɡ i o n
λογεῖον	l o ɣ i o n
λογεῖον	l o ʝ i o n
λογικόσ	l o ɡ i k o s
λογικόσ	l o ɡ i k ó s
λογικόσ	l o ɣ i k o s
λογικόσ	l o ʝ i k o s
λογισμόσ	l o ɡ i z m o s
λογισμόσ	l o ɡ i z m ó s
λογισμόσ	l o ɣ i z m o s
λογισμόσ	l o ʝ i z m o s
λογιστικόσ	l o ɡ i s t i k o s
λογιστικόσ	l o ɡ i s t i k ó s
λογιστικόσ	l o ɣ i s t i k o s
λογιστικόσ	l o ʝ i s t i k o s
λογομαχία	l o ɡ o m a kʰ i a
λογομαχία	l o ɡ o m a kʰ í aː
λογομαχία	l o ɣ o m a ç i a
λογομαχία	l o ɣ o m a x i a
λογχῖτισ	l o ŋ kʰ i t i s
λογχῖτισ	l o ŋ kʰ îː t i s
λογχῖτισ	l o ŋ x i t i s
λογχῖτισ	l o ɲ ç i t i s
λοιγόν	l i ɣ o n
λοιγόν	l o i̯ ɡ ó n
λοιγόν	l y ɡ o n
λοιγόν	l y ɣ o n
λοιγόσ	l i ɣ o s
λοιγόσ	l o i̯ ɡ ó s
λοιγόσ	l y ɡ o s
λοιγόσ	l y ɣ o s
λοιμόσ	l i m o s
λοιμόσ	l o i̯ m ó s
λοιμόσ	l y m o s
λοιπόσ	l i p o s
λοιπόσ	l o i̯ p ó s
λοιπόσ	l y p o s
λοκρίσ	l o k r i s
λοκρίσ	l o k r í s
λοκροί	l o k r i
λοκροί	l o k r ǒ i̯
λοκροί	l o k r y
λοκρούσ	l o k r ǒː s
λοκρούσ	l o k r u s
λοκρῶν	l o k r o n
λοκρῶν	l o k r ɔ̂ː n
λοκρόσ	l o k r o s
λοκρόσ	l o k r ó s
λονδίνη	l o n d i n e
λονδίνη	l o n d i n i
λονδίνη	l o n d ǐː n ɛː
λοξόσ	l o k s o s
λοξόσ	l o k s ó s
λοπάσ	l o p a s
λοπάσ	l o p á s
λοπαδοῦσσα	l o p a d ôː s s a
λοπαδοῦσσα	l o p a d u s s a
λοπαδοῦσσα	l o p a ð u s a
λοπαδοῦσσα	l o p a ð u s s a
λορδόσ	l o r d o s
λορδόσ	l o r d ó s
λορδόσ	l o r ð o s
λοῦσισ	l ôː s i s
λοῦσισ	l u s i s
λοῦσσον	l ôː s s o n
λοῦσσον	l u s o n
λοῦσσον	l u s s o n
λουκίλλιοσ	l oː k í l l i o s
λουκίλλιοσ	l u c i l i o s
λουκίλλιοσ	l u c i l l i o s
λουκίλλιοσ	l u k i l l i o s
λουκᾶσ	l oː k âː s
λουκᾶσ	l u k a s
λουκερία	l oː k e r í aː
λουκερία	l u c e r i a
λουκερία	l u k e r i a
λουκερία	l u k ɛ r i a
λουκρήτιοσ	l oː k r ɛ̌ː t i o s
λουκρήτιοσ	l u k r e t i o s
λουκρήτιοσ	l u k r i t i o s
λουκρητία	l oː k r ɛː t í aː
λουκρητία	l u k r e t i a
λουκρητία	l u k r i t i a
λουσοί	l oː s ǒ i̯
λουσοί	l u s i
λουσοί	l u s y
λουτάτιοσ	l oː t ǎː t i o s
λουτάτιοσ	l u t a t i o s
λοχέοσ	l o ç e o s
λοχέοσ	l o kʰ é o s
λοχέοσ	l o kʰ ɛ o s
λοχέοσ	l o x e o s
λούκη	l ǒː k ɛː
λούκη	l u c i
λούκη	l u k e
λούκη	l u k i
λούπησ	l ǒː p ɛː s
λούπησ	l u p e s
λούπησ	l u p i s
λούππισ	l ǒː p p iː s
λούππισ	l u p i s
λούππισ	l u p p i s
λούσιοσ	l ǒː s i o s
λούσιοσ	l u s i o s
λούω	l ǒː ɔː
λούω	l u o
λῦε	l i e
λῦε	l y e
λῦε	l y ɛ
λῦε	l ŷː e
λῦμα	l i m a
λῦμα	l y m a
λῦμα	l ŷː m a
λῦσαν	l i s a n
λῦσαν	l y s a n
λῦσαν	l ŷː s a n
λῦσε	l i s e
λῦσε	l y s e
λῦσε	l y s ɛ
λῦσε	l ŷː s e
λυέτω	l i e t o
λυέτω	l y e t o
λυέτω	l y ɛ t o
λυέτω	l yː é t ɔː
λυέτων	l i e t o n
λυέτων	l y e t o n
λυέτων	l y ɛ t o n
λυέτων	l yː é t ɔː n
λυέτωσαν	l i e t o s a n
λυέτωσαν	l y e t o s a n
λυέτωσαν	l y ɛ t o s a n
λυέτωσαν	l yː é t ɔː s a n
λυγρά	l i ɣ r a
λυγρά	l y ɡ r a
λυγρά	l y ɡ r á
λυγρά	l y ɡ r ǎː
λυγρά	l y ɣ r a
λυγρῶι	l i ɣ r o
λυγρῶι	l y ɡ r o
λυγρῶι	l y ɡ r ɔ̂ː i̯
λυγρῶι	l y ɣ r o
λυγρόν	l i ɣ r o n
λυγρόν	l y ɡ r o n
λυγρόν	l y ɡ r ó n
λυγρόν	l y ɣ r o n
λυγρόσ	l i ɣ r o s
λυγρόσ	l y ɡ r o s
λυγρόσ	l y ɡ r ó s
λυγρόσ	l y ɣ r o s
λυδία	l i ð i a
λυδία	l y d i a
λυδία	l y ð i a
λυδία	l yː d í aː
λυδόσ	l i ð o s
λυδόσ	l y d o s
λυδόσ	l y ð o s
λυδόσ	l yː d ó s
λυθείσ	l i θ i s
λυθείσ	l y tʰ ěː s
λυθείσ	l y tʰ i s
λυθείσ	l y θ i s
λυθεῖτε	l i θ i t e
λυθεῖτε	l y tʰ êː t e
λυθεῖτε	l y tʰ i t ɛ
λυθεῖτε	l y θ i t e
λυθῶ	l i θ o
λυθῶ	l y tʰ o
λυθῶ	l y tʰ ɔ̂ː
λυθῶ	l y θ o
λυκάβασ	l i k a v a s
λυκάβασ	l y k a b a s
λυκάβασ	l y k a v a s
λυκάβασ	l y k a β a s
λυκάβασ	l y k á b aː s
λυκάνθρωποσ	l i k a n θ r o p o s
λυκάνθρωποσ	l y k a n tʰ r o p o s
λυκάνθρωποσ	l y k a n θ r o p o s
λυκάνθρωποσ	l y k á n tʰ r ɔː p o s
λυκάονοσ	l i k a o n o s
λυκάονοσ	l y k a o n o s
λυκάονοσ	l y k ǎː o n o s
λυκάων	l i k a o n
λυκάων	l y k a o n
λυκάων	l y k ǎː ɔː n
λυκία	l i c i a
λυκία	l y c i a
λυκία	l y k i a
λυκία	l y k í aː
λυκίδασ	l i c i ð a s
λυκίδασ	l y c i ð a s
λυκίδασ	l y k i d a s
λυκίδασ	l y k i ð a s
λυκίδασ	l y k í d aː s
λυκίη	l i c i i
λυκίη	l y c i i
λυκίη	l y k i e
λυκίη	l y k i i
λυκίη	l y k í ɛː
λυκίησ	l i c i i s
λυκίησ	l y c i i s
λυκίησ	l y k i e s
λυκίησ	l y k i i s
λυκίησ	l y k í ɛː s
λυκίων	l i c i o n
λυκίων	l y c i o n
λυκίων	l y k i o n
λυκίων	l y k í ɔː n
λυκαβηττόσ	l i k a v i t o s
λυκαβηττόσ	l y k a b e t t o s
λυκαβηττόσ	l y k a b ɛː t t ó s
λυκαβηττόσ	l y k a v i t t o s
λυκαβηττόσ	l y k a β i t t o s
λυκαονία	l i k a o n i a
λυκαονία	l y k a o n i a
λυκαονία	l y k aː o n í aː
λυκοκτόνον	l i k o k t o n o n
λυκοκτόνον	l y k o k t o n o n
λυκοκτόνον	l y k o k t ó n o n
λυκομήδησ	l i k o m i ð i s
λυκομήδησ	l y k o m e d e s
λυκομήδησ	l y k o m i ð i s
λυκομήδησ	l y k o m ɛ̌ː d ɛː s
λυκοπάνθηρ	l i k o p a n θ i r
λυκοπάνθηρ	l y k o p a n tʰ e r
λυκοπάνθηρ	l y k o p a n θ i r
λυκοπάνθηρ	l y k o p á n tʰ ɛː r
λυκοῦργοσ	l i k u r ɣ o s
λυκοῦργοσ	l y k ôː r ɡ o s
λυκοῦργοσ	l y k u r ɡ o s
λυκοῦργοσ	l y k u r ɣ o s
λυκόπολισ	l i k o p o l i s
λυκόπολισ	l y k o p o l i s
λυκόπολισ	l y k ó p o l i s
λυκόφρων	l i k o f r o n
λυκόφρων	l y k o f r o n
λυκόφρων	l y k o pʰ r o n
λυκόφρων	l y k o ɸ r o n
λυκόφρων	l y k ó pʰ r ɔː n
λυοίτην	l i i t i n
λυοίτην	l y y t e n
λυοίτην	l y y t i n
λυοίτην	l yː ǒ i̯ t ɛː n
λυπέω	l i p e o
λυπέω	l y p e o
λυπέω	l y p ɛ o
λυπέω	l yː p é ɔː
λυρικόσ	l i r i k o s
λυρικόσ	l y r i k o s
λυρικόσ	l y r i k ó s
λυριστήσ	l i r i s t i s
λυριστήσ	l y r i s t e s
λυριστήσ	l y r i s t i s
λυριστήσ	l y r i s t ɛ̌ː s
λυρνησσόσ	l i r n i s o s
λυρνησσόσ	l y r n e s s o s
λυρνησσόσ	l y r n i s s o s
λυρνησσόσ	l y r n ɛː s s ó s
λυρτόσ	l i r t o s
λυρτόσ	l y r t o s
λυρτόσ	l y r t ó s
λυσίασ	l i s i a s
λυσίασ	l y s i a s
λυσίασ	l y s í aː s
λυσίμαχοσ	l i s i m a x o s
λυσίμαχοσ	l y s i m a kʰ o s
λυσίμαχοσ	l y s i m a x o s
λυσίμαχοσ	l yː s í m a kʰ o s
λυσίστρατοσ	l i s i s t r a t o s
λυσίστρατοσ	l y s i s t r a t o s
λυσίστρατοσ	l yː s í s t r a t o s
λυσικλῆσ	l i s i k l i s
λυσικλῆσ	l y s i k l e s
λυσικλῆσ	l y s i k l i s
λυσικλῆσ	l yː s i k l ɛ̂ː s
λυσιμάχεια	l i s i m a ç i a
λυσιμάχεια	l y s i m a ç i a
λυσιμάχεια	l y s i m a kʰ i a
λυσιμάχεια	l y s i m a x i a
λυσιμάχεια	l yː s i m á kʰ eː a
λυσιστράτη	l i s i s t r a t i
λυσιστράτη	l y s i s t r a t e
λυσιστράτη	l y s i s t r a t i
λυσιστράτη	l yː s i s t r á t ɛː
λυσιτανία	l i s i t a n i a
λυσιτανία	l y s i t a n i a
λυσιτανία	l yː s i t aː n í aː
λυτικόσ	l i t i k o s
λυτικόσ	l y t i k o s
λυτικόσ	l y t i k ó s
λυτόσ	l i t o s
λυτόσ	l y t o s
λυτόσ	l y t ó s
λυχνίσ	l i x n i s
λυχνίσ	l y kʰ n i s
λυχνίσ	l y kʰ n í s
λυχνίσ	l y x n i s
λυχνῖτισ	l i x n i t i s
λυχνῖτισ	l y kʰ n i t i s
λυχνῖτισ	l y kʰ n îː t i s
λυχνῖτισ	l y x n i t i s
λυχνοῦχοσ	l i x n u x o s
λυχνοῦχοσ	l y kʰ n ôː kʰ o s
λυχνοῦχοσ	l y kʰ n u kʰ o s
λυχνοῦχοσ	l y x n u x o s
λυόντων	l i o n d o n
λυόντων	l y o n t o n
λυόντων	l yː ó n t ɔː n
λῶιοσ	l o o s
λῶιοσ	l ɔ̂ː i̯ o s
λῶμα	l o m a
λῶμα	l ɔ̂ː m a
λωΐσ	l o i s
λωΐων	l o i o n
λωΐων	l ɔː í ɔː n
λωρυμνόν	l o r i m n o n
λωρυμνόν	l o r y m n o n
λωρυμνόν	l ɔː r y m n ó n
λωτοφάγοσ	l o t o f a ɣ o s
λωτοφάγοσ	l o t o pʰ a ɡ o s
λωτοφάγοσ	l o t o ɸ a ɣ o s
λωτοφάγοσ	l ɔː t o pʰ á ɡ o s
λωτόσ	l o t o s
λωτόσ	l ɔː t ó s
λόγοιν	l o ɡ y n
λόγοιν	l o ɣ y n
λόγοιν	l o ʝ i n
λόγοιν	l o ʝ y n
λόγοιν	l ó ɡ o i̯ n
λόγοισ	l o ɡ y s
λόγοισ	l o ɣ y s
λόγοισ	l o ʝ i s
λόγοισ	l o ʝ y s
λόγοισ	l ó ɡ o i̯ s
λόγον	l o ɡ o n
λόγον	l o ɣ o n
λόγον	l ó ɡ o n
λόγοσ	l o ɡ o s
λόγοσ	l o ɣ o s
λόγοσ	l ó ɡ o s
λόγχη	l o ŋ kʰ e
λόγχη	l o ŋ x i
λόγχη	l o ɲ ç i
λόγχη	l ó ŋ kʰ ɛː
λόγωι	l o ɡ o
λόγωι	l o ɣ o
λόγωι	l ó ɡ ɔː i̯
λόλλιοσ	l o l i o s
λόλλιοσ	l o l l i o s
λόλλιοσ	l ó l l i o s
λόφοσ	l o f o s
λόφοσ	l o pʰ o s
λόφοσ	l o ɸ o s
λόφοσ	l ó pʰ o s
λόχοι	l o ç i
λόχοι	l o ç y
λόχοι	l o kʰ y
λόχοι	l o x y
λόχοι	l ó kʰ o i̯
λόχον	l o kʰ o n
λόχον	l o x o n
λόχον	l ó kʰ o n
λόχοσ	l o kʰ o s
λόχοσ	l o x o s
λόχοσ	l ó kʰ o s
λύγδαμισ	l i ɣ ð a m i s
λύγδαμισ	l y ɡ d a m i s
λύγδαμισ	l y ɣ ð a m i s
λύγδαμισ	l ý ɡ d a m i s
λύγδη	l i ɣ ð i
λύγδη	l y ɡ d e
λύγδη	l y ɣ ð i
λύγδινοσ	l i ɣ ð i n o s
λύγδινοσ	l y ɡ d i n o s
λύγδινοσ	l y ɣ ð i n o s
λύγδινοσ	l ý ɡ d i n o s
λύγδοσ	l i ɣ ð o s
λύγδοσ	l y ɡ d o s
λύγδοσ	l y ɣ ð o s
λύγδοσ	l ý ɡ d o s
λύγινοσ	l i ʝ i n o s
λύγινοσ	l y ɡ i n o s
λύγινοσ	l y ɣ i n o s
λύγινοσ	l y ʝ i n o s
λύγινοσ	l ý ɡ i n o s
λύγκοσ	l i ŋ ɡ o s
λύγκοσ	l y ŋ k o s
λύγκοσ	l y ŋ ɡ o s
λύγκοσ	l ý ŋ k o s
λύγξ	l i ŋ k s
λύγξ	l y ŋ k s
λύγξ	l ý ŋ k s
λύγοσ	l i ɣ o s
λύγοσ	l y ɡ o s
λύγοσ	l y ɣ o s
λύγοσ	l ý ɡ o s
λύδδα	l i ð a
λύδδα	l y d d a
λύδδα	l y ð ð a
λύδδα	l ý d d a
λύει	l i i
λύει	l y i
λύει	l y̌ː eː
λύειν	l i i n
λύειν	l y i n
λύειν	l y̌ː eː n
λύεισ	l i i s
λύεισ	l y i s
λύεισ	l y̌ː eː s
λύεται	l i e t e
λύεται	l y e t e
λύεται	l y e t ɛ
λύεται	l y ɛ t ɛ
λύεται	l y̌ː e t a i̯
λύετε	l i e t e
λύετε	l y e t e
λύετε	l y ɛ t ɛ
λύετε	l y̌ː e t e
λύετον	l i e t o n
λύετον	l y e t o n
λύετον	l y ɛ t o n
λύετον	l y̌ː e t o n
λύηι	l i i
λύηι	l y e
λύηι	l y i
λύηι	l y̌ː ɛː i̯
λύηισ	l i i s
λύηισ	l y e s
λύηισ	l y i s
λύηισ	l y̌ː ɛː i̯ s
λύητε	l i i t e
λύητε	l y e t ɛ
λύητε	l y i t e
λύητε	l y̌ː ɛː t e
λύητον	l i i t o n
λύητον	l y e t o n
λύητον	l y i t o n
λύητον	l y̌ː ɛː t o n
λύθρον	l i θ r o n
λύθρον	l y tʰ r o n
λύθρον	l y θ r o n
λύθρον	l ý tʰ r o n
λύκαινα	l i c e n a
