ॐ	oːm
गहराई	ɡɛːʱɾɑːiː
गाजर	ɡɑːd͡ʒəɾ
ग़ाज़ियाबाद	ɡɑːziːjɑːbɑːd̪
गाड़ना	ɡɑːɽnɑː
गाड़ा	ɡɑːɽɑː
गाढ़ा	ɡɑːɽʱɑː
गाण्डू	ɡɑːnɖuː
गाना	ˈɡɑːnɑː
गाम	ɡɑːm
गाय	ɡɑːj
गायक	ɡɑːjək
गायकी	ɡɑːjəkiː
गायन	ɡɑːjən
गायब	ɡɑːjəb
ग़ायब	ɡɑːjəb
गांगुली	ɡɑːŋɡʊliː
गांजा	ˈɡãːn̪dʒaː
गांठ	ɡɑːnʈʰ
गांठकट	ɡɑːnʈʰkəʈ
गांड	ɡɑːnɖ
गांडू	ɡɑːnɖuː
गांधीगिरी	ɡɑːnd̪ʱiːɡɪɾiː
गांभीर्य	ɡɑːmbʱiːɾj
गांव	ɡɑ̃ːʋ
गांसू	ɡɑːnsuː
गाँजा	ɡɑːɲd͡ʒɑː
गाँडू	ɡɑ̃ːɖuː
गाँधी	ɡɑ̃ːd̪ʱiː
गाँधीनगर	ɡɑ̃ːd̪ʱiːnɡəɾ
गाँववाला	ɡɑ̃ːʋʋɑːlɑː
गिनतारा	ɡɪnt̪ɑːɾɑː
गिनती	ɡɪnt̪iː
गिनना	ɡɪnnɑː
गिरगिट	ɡɪɾɡɪʈ
गिरना	ɡɪɾnɑː
गिरफ़्त	ɡɪɾəft̪
गिरफ़्तार	ɡɪɾəft̪ɑːɾ
गिरफ़्तारी	ɡɪɾəft̪ɑːɾiː
गिरमिट	ɡɪɾmɪʈ
गिरमिटिया	ɡɪɾmɪʈiːjɑː
गिरा	ɡɪɾɑː
गिराना	ɡɪɾɑːnɑː
गिरोह	ɡɪɾoːʱ
गिलहरी	ɡɪlɛːʱɾiː
गिला	ɡɪlɑː
गिलास	ɡɪlɑːs
गुआम	ɡʊɑːm
गुओमिंदांग	ɡʊoːmɪnd̪ɑːŋɡ
गुज़रना	ɡʊzəɾnɑː
गुजरात	ɡʊd͡ʒɾɑːt̪
गुजरांवाला	ɡʊd͡ʒɾɑ̃ːʋɑːlɑː
गुझिया	ɡʊd͡ʒʱiːjɑː
गुठली	ɡʊʈʰliː
गुड़	ɡʊɽ
गुणधर्म	ɡʊnd̪ʱəɾm
गुणांक	ɡʊnɑːŋk
गुदड़ी	ɡʊd̪ɽiː
गुदा	ɡʊd̪ɑː
गुदाद्वार	ɡʊd̪ɑːd̪ʋɑːɾ
गुनगुनाना	ɡʊnɡʊnɑːnɑː
गुनाह	ɡʊnɑːʱ
गुप्तचर	ɡʊpt̪t͡ʃəɾ
गुप्तांग	ɡʊpt̪ɑːŋɡ
गुफ़्तगू	ɡʊft̪əɡuː
गुफ़्तगू	ɡʊft̪ɡuː
गुफ़्तार	ɡʊft̪ɑːɾ
गुबरैला	ɡʊbɾɛːlɑː
गुम	ɡʊm
गुमनाम	ɡʊmnɑːm
गुमशुदा	ɡʊmʃʊd̪ɑː
गुमसुम	ɡʊmsʊm
गुरबानी	ɡʊɾbɑːniː
गुरु	ɡʊɾʊ
गुरुकुल	ɡʊɾʊkʊl
गुरुत्वीय	ɡʊɾʊt̪ʋiːj
गुरुद्वारा	ɡʊɾʊd̪ʋɑːɾɑː
गुरू	ɡʊɾuː
ग़ुरूर	ɡʊɾuːɾ
गुलज़ार	ɡʊlzɑːɾ
गुलदस्ता	ɡʊld̪əst̪ɑː
गुलदान	ɡʊld̪ɑːn
गुलशन	ɡʊlʃən
गुलाब	ɡʊlɑːb
गुलूबंद	ɡʊluːbənd̪
गुलेल	ɡʊleːl
गुवाहाटी	ɡʊʋɑːɦɑːʈiː
गुस्ताख़	ɡʊst̪ɑːkʰ
गुस्ताख़	ɡʊst̪ɑːx
गुस्ताख़ी	ɡʊst̪ɑːkʰiː
गुस्ताख़ी	ɡʊst̪ɑːxiː
ग़ुस्सा	ɡʊssɑː
गुह	ɡuːʱ
गुहार	ɡʊɦɑːɾ
गुंजाइश	ɡʊɲd͡ʒɑːɪʃ
गुंडा	ɡʊnɖɑː
गुंडागर्दी	ɡʊnɖɑːɡəɾd̪iː
गूंगा	ɡuːŋɡɑː
गूंजना	ɡuːɲd͡ʒnɑː
गृह	ɡɾɪɦə
गृहमंत्री	ɡɾɪʱmənt̪ɾiː
गृहयुद्ध	ɡɾɪʱjʊd̪d̪ʱ
गृहस्थ	ɡɾɪɦəst̪ʰ
गे	ɡeː
गेय	ɡeːj
गेरू	ɡeːɾuː
ग़ैर	ɡɛːɾ
ग़ैरक़ानूनी	ɡɛːɾkɑːnuːniː
ग़ैरक़ानूनी	ɣɛːɾqɑːnuːniː
ग़ैरमौजूदगी	ɡɛːɾmɔːd͡ʒuːd̪ɡiː
गैलन	ɡɛːlən
गैस	ɡæːs
गैस	ɡɛːs
गैंडा	ɡɛːnɖɑː
गोड़ना	ɡoːɽnɑː
ग़ोता	ɡoːt̪ɑː
ग़ोताख़ोर	ɡoːt̪ɑːkʰoːɾ
ग़ोताख़ोर	ɣoːt̪ɑːxoːɾ
गोपनीयता	ɡoːpniːjət̪ɑː
गोपी	ɡoːpiː
गोबर	ɡoːbəɾ
गोबरैला	ɡoːbɾɛːlɑː
गोभी	ɡoːbʱiː
गोमूत्र	ɡoːmuːt̪ɾ
गोरक्षा	ɡoːɾəkʃɑː
गोरिल्ला	ɡoːɾɪlɑː
गोरू	ɡoːɾuː
गोल	ɡoːl
गोलगप्पा	ɡoːlɡəppɑː
गोलबंदी	ɡoːlbənd̪iː
गोलमाल	ɡoːlmɑːl
गोली	ɡoːliː
गोलीबारी	ɡoːliːbɑːɾiː
गोश्त	ɡoːʃt̪
गोंद	ɡoːnd̪
ग़ौरतलब	ɡɔːɾt̪ələb
गौरव	ɡɔːɾəʋ
गौरवान्वित	ɡɔːɾəʋɑːnʋɪt̪
गौशाला	ɡɔːʃɑːlɑː
गंगाजल	ɡəŋɡɑːd͡ʒəl
गंजा	ɡəɲd͡ʒɑː
गंतव्य	ɡənt̪əʋj
गंदगी	ɡənd̪əɡiː
गंदा	ɡənd̪ɑː
गंभीर	ɡəmbʱiːɾ
गंवाना	ɡə̃ʋɑːnɑː
ग्यारह	ɡjɑːɾɑː
ग्यारह	ɡjɑːɾəʱ
ग्राहक	ɡɾɑːɦək
ग्रीष्म	ɡɾiːʃm
ग्रीस	ɡɾiːs
ग्रंथालय	ɡɾənt̪ʰɑːlɛː
ग्लासगो	ɡlɑːsɡoː
ग्वारपाठा	ɡʋɑːɾpɑːʈʰɑː
ग्वाला	ɡʋɑːlɑː
ग्वालियर	ɡʋɑːliːjəɾ
घ	ɡʱə
घटना	ɡʱəʈnɑː
घटाना	ɡʱəʈɑːnɑː
घटित	ɡʱəʈɪt̪
घटिया	ɡʱəʈiːjɑː
घड़ियाल	ɡʱəɽiːjɑːl
घन	ɡʱən
घनचक्कर	ɡʱənt͡ʃəkkəɾ
घनत्व	ɡʱənət̪ʋ
घना	ɡʱənɑː
घनीय	ɡʱəniːj
घबराना	ɡʱəbɾɑːnɑː
घबराहट	ɡʱəbɾɑːɦəʈ
घमासान	ɡʱəmɑːsɑːn
घमंड	ɡʱəmənɖ
घमंडी	ɡʱəmənɖiː
घर	ɡʱəɾ
घरेलू	ɡʱəɾeːluː
घर्षण	ɡʱəɾʃən
घसीटना	ɡʱəsiːʈnɑː
घाटा	ɡʱɑːʈɑː
घाटी	ɡʱɑːʈiː
घात	ɡʱɑːt̪
घातीय	ɡʱɑːt̪iːj
घाना	ɡʱɑːnɑː
घायल	ɡʱɑːjəl
घाव	ɡʱɑːʋ
घिरना	ɡʱɪɾnɑː
घी	ɡʱiː
घुटना	ɡʱʊʈnɑː
घुड़	ɡʱʊɽ
घुड़सवार	ɡʱʊɽəsʋɑːɾ
घुसपैठ	ɡʱʊspɛːʈʰ
घुसपैठिया	ɡʱʊspɛːʈʰiːjɑː
घुंघरू	ɡʱʊŋɡʱɾuː
घुंडी	ɡʱʊnɖiː
घुँघरू	ɡʱʊ̃ɡʱɾuː
घूम	ɡʱuːm
घूर	ɡʱuːɾ
घूरना	ɡʱuːɾnɑː
घूर्णन	ɡʱuːɾnən
घूसख़ोर	ɡʱuːskʰoːɾ
घूसख़ोर	ɡʱuːsxoːɾ
घूसख़ोरी	ɡʱuːskʰoːɾiː
घूसख़ोरी	ɡʱuːsxoːɾiː
घूंट	ɡʱuːnʈ
घृणास्पद	ɡʱɾɪnɑːspəd̪
घेरना	ɡʱeːɾnɑː
घेरा	ɡʱeːɾɑː
घेराव	ɡʱeːɾɑːʋ
घोटाला	ɡʱoːʈɑːlɑː
घोड़ा	ɡʱoːɽɑː
घोराही	ɡʱoːɾɑːɦiː
घोल	ɡʱoːl
घोलना	ɡʱoːlnɑː
घोषित	ɡʱoːʃɪt̪
घोंघा	ɡʱoːŋɡʱɑː
घंटा	ɡʱənʈɑː
ङ	ŋə
च	t͡ʃə
चकाचौंध	t͡ʃəkɑːt͡ʃɔːnd̪ʱ
चक्कर	t͡ʃəkkəɾ
चक्र	t͡ʃəkɾ
चक्रवर्ती	t͡ʃəkɾəʋəɾt̪iː
चक्रव्यूह	t͡ʃəkɾəʋjuːʱ
चक्षुदान	t͡ʃəkʃʊd̪ɑːn
चखना	t͡ʃəkʰnɑː
चटकारा	t͡ʃəʈkɑːɾɑː
चटगांव	t͡ʃəʈɡɑ̃ːʋ
चट्टान	t͡ʃəʈʈɑːn
चड्डी	t͡ʃəɖɖiː
चढ़ना	tʃəɽʱn̪aː
चढ़ाई	t͡ʃəɽʱɑːiː
चतुराई	t͡ʃət̪ʊɾɑːiː
चतुर्थ	t͡ʃət̪ʊɾt̪ʰ
चना	t͡ʃənɑː
चन्द्र	t͡ʃənd̪ɾ
चन्द्रबिन्दु	t͡ʃənd̪ɾəbɪnd̪uː
चन्द्रमा	t͡ʃənd̪ɾəmɑː
चपत	t͡ʃəpət̪
चपरासी	t͡ʃəpɾɑːsiː
चपेट	t͡ʃəpeːʈ
चबाना	t͡ʃəbɑːnɑː
चमक	t͡ʃəmək
चमगादड़	t͡ʃəmɡɑːd̪əɽ
चमची	t͡ʃəmt͡ʃiː
चमड़ा	t͡ʃəmɽɑː
चमत्कार	t͡ʃəmət̪kɑːɾ
चमत्कारी	t͡ʃəmət̪kɑːɾiː
चयन	t͡ʃəjən
चरण	t͡ʃəɾən
चरना	t͡ʃəɾnɑː
चरबी	tʃərbiː
चरमपंथी	t͡ʃəɾəmpənt̪ʰiː
चरवाहा	t͡ʃəɾʋɑːɦɑː
चरागाह	t͡ʃəɾɑːɡɑːʱ
चरित्र	t͡ʃəɾɪt̪ɾ
चर्च	t͡ʃəɾt͡ʃ
चर्चित	ˈt͡ʃəɾt͡ʃɪt̪
चर्म	t͡ʃəɾm
चल	t͡ʃəl
चलचित्र	t͡ʃəlt͡ʃɪt̪ɾ
चलचित्रण	t͡ʃəlt͡ʃɪt̪ɾən
चलना	t͡ʃəlnɑː
चलवाना	t͡ʃəlʋɑːnɑː
चलाना	t͡ʃəlɑːnɑː
चवन्नी	t͡ʃəʋənniː
चवालीस	t͡ʃəʋɑːliːs
चश्मा	t͡ʃəʃmɑː
चषक	t͡ʃəʃək
चाकलेट	t͡ʃɑːkleːʈ
चाचा	t͡ʃɑːt͡ʃɑː
चाची	t͡ʃɑːt͡ʃiː
चाप	t͡ʃɑːp
चाबी	t͡ʃɑːbiː
चाभी	tʃaːbʱiː
चायख़ाना	t͡ʃɑːjkʰɑːnɑː
चायख़ाना	t͡ʃɑːjxɑːnɑː
चायदान	t͡ʃɑːjd̪ɑːn
चायदानी	t͡ʃɑːjd̪ɑːniː
चारपाई	t͡ʃɑːɾpɑːiː
चाल	t͡ʃɑːl
चालक	t͡ʃɑːlək
चालान	t͡ʃɑːˈl̪ɑːn̪
चालीस	t͡ʃɑːliːs
चालीसपद	t͡ʃɑːliːspəd̪
चालुक्य	t͡ʃɑːlʊkj
चाव	t͡ʃɑːʋ
चाशनी	tʃɑːʃniː
चाह	t͡ʃɑːʱ
चाहत	t͡ʃɑːɦət̪
चाहना	t͡ʃɑːʱnɑː
चाहे	t͡ʃɑːɦeː
चांद	t͡ʃɑːnd̪
चांदी	t͡ʃɑːnd̪iː
चांपानेर	t͡ʃɑːmpɑːneːɾ
चांसलर	t͡ʃɑːnsləɾ
चाँटा	t͡ʃɑ̃ːʈɑː
चाँद	t͡ʃɑːnd̪
चाँदनी	t͡ʃɑːnd̪niː
चाँदी	t͡ʃɑːnd̪iː
चिक	t͡ʃɪk
चिकना	t͡ʃɪknɑː
चिड़िया	t͡ʃɪɽiːjɑː
चिढ़	t͡ʃɪɽʱ
चिढ़ना	t͡ʃɪɽʱnɑː
चिढ़ाना	t͡ʃɪɽʱɑːnɑː
चित	t͡ʃɪt̪
चित्त	t͡ʃɪt̪t̪
चित्ताकर्षक	t͡ʃɪt̪t̪ɑːkəɾʃək
चित्रकला	t͡ʃɪt̪ɾkəlɑː
चित्रकार	t͡ʃɪt̪ɾəkɑːɾ
चित्रकारी	t͡ʃɪt̪ɾəkɑːɾiː
चित्रण	t͡ʃɪt̪ɾən
चित्रित	t͡ʃɪt̪ɾɪt̪
चिथड़ा	t͡ʃɪt̪ʰɽɑː
चिपकना	t͡ʃɪpəknɑː
चिपकू	t͡ʃɪpkuː
चिपचिपा	t͡ʃɪpt͡ʃɪpɑː
चिमटा	t͡ʃɪmʈɑː
चिमनी	t͡ʃɪmniː
चिरस्थायित्व	t͡ʃɪɾst̪ʰɑːjɪt̪ʋ
चिरस्थायी	t͡ʃɪɾst̪ʰɑːjiː
चिरंजीव	t͡ʃɪɾəɲd͡ʒiːʋ
चिलम	t͡ʃɪləm
चिलवन	t͡ʃɪlʋən
चिंगहई	t͡ʃɪŋɡʱəiː
चिंगारी	t͡ʃɪŋɡɑːɾiː
चिंता	t͡ʃɪnt̪ɑː
चीख़ना	t͡ʃiːkʰnɑː
चीख़ना	t͡ʃiːxnɑː
चीज़	t͡ʃiːz
चीड़	t͡ʃiːɽ
चीता	t͡ʃiːt̪ɑː
चीन	t͡ʃiːn
चीनी	t͡ʃiːniː
चींटा	t͡ʃiːnʈɑː
चुकना	t͡ʃʊknɑː
चुकाना	t͡ʃʊkɑːnɑː
चुकंदर	t͡ʃʊkənd̪əɾ
चुगना	t͡ʃʊɡnɑː
चुटकी	t͡ʃʊʈkiː
चुटकुला	t͡ʃʊʈkʊlɑː
चुड़ैल	t͡ʃʊɽɛːl
चुदाना	tʃʊd̪aːn̪aː
चुनौती	t͡ʃʊnɔːt̪iː
चुपड़ना	t͡ʃʊpəɽnɑː
चुप्पी	t͡ʃʊppiː
चुभना	t͡ʃʊbʱnɑː
चुम्बन	t͡ʃʊmbən
चुम्मा	t͡ʃʊmmɑː
चुलबुल	t͡ʃʊlbʊl
चुल्ल	t͡ʃʊll
चुसना	tʃʊsn̪aː
चुंबक	t͡ʃʊmbək
चुंबकत्व	t͡ʃʊmbkət̪ʋ
चुंबकीय	t͡ʃʊmbəkiːj
चूची	t͡ʃuːt͡ʃiː
चूचुक	t͡ʃuːt͡ʃʊk
चूज़ा	t͡ʃuːzɑː
चूड़ी	t͡ʃuːɽiː
चूतड़	t͡ʃuːt̪əɽ
चूतिया	t͡ʃuːt̪iːjɑː
चूना	t͡ʃuːnɑː
चूर्ण	t͡ʃuːɾn
चूल्हा	t͡ʃuːlɦɑː
चूहा	t͡ʃuːɦɑː
चेक	t͡ʃeːk
चेचक	t͡ʃeːt͡ʃək
चेचेन	t͡ʃeːt͡ʃeːn
चेतना	t͡ʃeːt̪ənɑː
चेतना	t͡ʃeːt̪nɑː
चेताना	t͡ʃeːt̪ɑːnɑː
चेप	t͡ʃeːp
चेरापूंजी	t͡ʃeːɾɑːpuːɲd͡ʒiː
चेला	t͡ʃeːlɑː
चेहरा	t͡ʃeːʱɾɑː
चैट	t͡ʃɛːʈ
चॉकलेट	t͡ʃɔːkəleːʈ
चॉकलेट	t͡ʃɔːkleːʈ
चोखा	t͡ʃoːkʰɑː
चोग़ा	t͡ʃoːɡɑː
चोटी	t͡ʃoːʈiː
चोर	t͡ʃoːɾ
चोरना	t͡ʃoːɾnɑː
चोरी	t͡ʃoːɾiː
चोल	t͡ʃoːl
चोंच	t͡ʃoːɲt͡ʃ
चौड़ा	t͡ʃɔːɽɑː
चौताल	t͡ʃɔːt̪ɑːl
चौथ	t͡ʃɔːt̪ʰ
चौथा	t͡ʃɔːt̪ʰɑː
चौपाई	t͡ʃɔːpɑːiː
चौबीस	t͡ʃɔːbiːs
चौरानवे	t͡ʃɔːɾɑːnʋeː
चौरासी	t͡ʃɔːɾɑːsiː
चौराहा	t͡ʃɔːɾɑːɦɑː
चौवन	t͡ʃɔːʋən
चौहत्तर	t͡ʃɔːɦət̪t̪əɾ
चौंकना	t͡ʃɔːŋknɑː
चौंकाना	t͡ʃɔːŋkɑːnɑː
चौंतीस	t͡ʃɔːnt̪iːs
चौंसठ	t͡ʃɔːnsəʈʰ
चंकट	t͡ʃəŋkəʈ
चंद	t͡ʃənd̪
चंदा	t͡ʃənd̪ɑː
चंद्र	t͡ʃənd̪ɾ
चंद्रगुप्त	t͡ʃənd̪ɾəɡʊpt̪
चंद्रग्रहण	t͡ʃənd̪ɾəɡɾɛːʱn
चंद्रमा	t͡ʃənd̪ɾəmɑː
चंपा	t͡ʃəmpɑː
च्वॉइस	t͡ʃʋɔːɪs
छ	t͡ʃʰə
छक्का	t͡ʃʰəkkɑː
छटपटाना	t͡ʃʰəʈpəʈɑːnɑː
छटा	t͡ʃʰəʈɑː
छड़	t͡ʃʰəɽ
छड़ी	t͡ʃʰəɽiː
छतरी	t͡ʃʰət̪ɾiː
छत्तीस	t͡ʃʰət̪t̪iːs
छन	t͡ʃʰən
छननी	t͡ʃʰənniː
छप्पन	t͡ʃʰəppən
छब्बीस	t͡ʃʰəbbiːs
छब्बीस	t͡ʃʰəbbɪs
छमाही	t͡ʃʰəmɑːɦiː
छर्रा	t͡ʃʰəɾɾɑː
छल	t͡ʃʰəl
छलकना	t͡ʃʰələknɑː
छलिया	t͡ʃʰəliːjɑː
छली	t͡ʃʰəliː
छविमयी	t͡ʃʰəʋɪməjiː
छह	t͡ʃʰəʱ
छाछ	t͡ʃʰɑːt͡ʃʰ
छाती	t͡ʃʰɑːt̪iː
छात्रवृत्ति	t͡ʃʰɑːt̪ɾəʋɾɪt̪t̪iː
छात्रसंघ	t͡ʃʰɑːt̪ɾəsəŋɡʱ
छात्रावास	t͡ʃʰɑːt̪ɾɑːʋɑːs
छानना	t͡ʃʰɑːnnɑː
छाप	t͡ʃʰɑːp
छापा	t͡ʃʰɑːpɑː
छापाख़ाना	t͡ʃʰɑːpɑːkʰɑːnɑː
छापाख़ाना	t͡ʃʰɑːpɑːxɑːnɑː
छापामार	t͡ʃʰɑːpɑːmɑːɾ
छापेख़ाना	t͡ʃʰɑːpeːkʰɑːnɑː
छापेख़ाना	t͡ʃʰɑːpeːxɑːnɑː
छायावाद	t͡ʃʰɑːjɑːʋɑːd̪
छाल	tʃʰaːl
छाला	t͡ʃʰɑːlɑː
छावनी	t͡ʃʰɑːʋniː
छांटना	t͡ʃʰɑːnʈnɑː
छाँव	t͡ʃʰɑ̃ːʋ
छिटकना	t͡ʃʰɪʈəknɑː
छिड़काव	t͡ʃʰɪɽkɑːʋ
छितराना	t͡ʃʰɪt̪ɾɑːnɑː
छिन	t͡ʃʰɪn
छिपाना	t͡ʃʰɪpɑːnɑː
छियानवे	t͡ʃʰiːjɑːnʋeː
छियालीस	t͡ʃʰiːjɑːliːs
छियासठ	t͡ʃʰiːjɑːsəʈʰ
छियासी	t͡ʃʰiːjɑːsiː
छिलका	t͡ʃʰɪlkɑː
छिहत्तर	t͡ʃʰɪɦət̪t̪əɾ
छीनाझपटी	t͡ʃʰiːnɑːd͡ʒʱəpʈiː
छुट	t͡ʃʰʊʈ
छुट्टी	ˈtʃʰʊʈʈiː
छुपना	t͡ʃʰʊpnɑː
छुपाना	t͡ʃʰʊpɑːnɑː
छूट	t͡ʃʰuːʈ
छूटना	t͡ʃʰuːʈnɑː
छूना	t͡ʃʰuːnɑː
छेड़	t͡ʃʰeːɽ
छेड़छाड़	t͡ʃʰeːɽt͡ʃʰɑːɽ
छेद	t͡ʃʰeːd̪
छेदना	t͡ʃʰeːd̪nɑː
छै	t͡ʃʰɛː
छोकरी	t͡ʃʰoːkɾiː
छोग्याल	t͡ʃʰoːɡjɑːl
छोटा	t͡ʃʰoːʈɑː
छोटू	t͡ʃʰoːʈuː
छोड़ना	t͡ʃʰoːɽnɑː
छोरा	t͡ʃʰoːɾɑː
छोरी	t͡ʃʰoːɾiː
छोला	t͡ʃʰoːlɑː
छोले	t͡ʃʰoːleː
छंटना	t͡ʃʰənʈnɑː
छंद	t͡ʃʰənd̪
ज	d͡ʒə
ज़	d͡ʒə
ज़	zə
ज़कात	zəkɑːt̪
जकार्ता	d͡ʒəkɑːɾt̪ɑː
ज़ख़ीरा	zəkʰiːɾɑː
ज़ख़ीरा	zəxiːɾɑː
ज़ख़्म	zəkʰm
ज़ख़्म	zəxm
ज़ख़्मी	zəkʰmiː
ज़ख़्मी	zəxmiː
जगमगाना	d͡ʒəɡməɡɑːnɑː
जगह	d͡ʒəɡɑː
जगाना	d͡ʒəɡɑːnɑː
जज	d͡ʒəd͡ʒ
जज़ा	d͡ʒəzɑː
जज़ीरा	d͡ʒəziːɾɑː
जज़्बात	d͡ʒəzbɑːt̪
जटा	d͡ʒəʈɑː
जटिल	d͡ʒəʈɪl
जड़	d͡ʒəɽ
जताना	d͡ʒət̪ɑːnɑː
जदयू	d͡ʒəd̪juː
जन	d͡ʒən
जनकपुर	d͡ʒənəkpʊɾ
जनजाति	d͡ʒənd͡ʒɑːt̪iː
जनतंत्र	d͡ʒənt̪ənt̪ɾ
जननी	d͡ʒənniː
जनपद	d͡ʒənpəd̪
जनप्रतिनिधि	d͡ʒənpɾət̪ɪnɪd̪ʱiː
जनभाषा	d͡ʒənbʱɑːʃɑː
जनमतसंग्रह	d͡ʒənmət̪səŋɡɾəʱ
जनरल	d͡ʒənɾəl
जनवरी	d͡ʒənʋəɾiː
जनसांख्यिकी	d͡ʒənsɑːŋkʰjɪkiː
जनसंख्या	d͡ʒənsəŋkʰjɑː
जनाज़ा	d͡ʒənɑːzɑː
जनाधार	d͡ʒənɑːd̪ʱɑːɾ
ज़नाना	zənɑːnɑː
जनाब	d͡ʒənɑːb
जनूब	d͡ʒənuːb
जनूबी	d͡ʒənuːbiː
जनेऊ	d͡ʒəneːuː
जन्नत	d͡ʒənnət̪
जन्मदिन	d͡ʒənəmd̪ɪn
जन्मना	d͡ʒənmnɑː
जन्मभूमि	d͡ʒənmbʱuːmiː
ज़फ़र	zəfəɾ
जब	d͡ʒəb
जबड़ा	d͡ʒəbɽɑː
ज़बान	zəbɑːn
ज़बानी	zəbɑːniː
ज़ब्त	zəbt̪
जमना	d͡ʒəmnɑː
जमशेदपुर	d͡ʒəmʃeːd̪pʊɾ
जमाअत	d͡ʒəmɑːət̪
जमाई	d͡ʒəmɑːiː
जमाख़ोरी	d͡ʒəmaːxoːriː
जमात	d͡ʒəmɑːt̪
ज़मानत	zəmɑːnət̪
जमाना	d͡ʒəmɑːnɑː
जमाव	d͡ʒəmɑːʋ
जमीन	d͡ʒəmiːn
ज़मीन	zəmiːn
ज़मीनी	zəmiːniː
जमीयत	d͡ʒəmiːjət̪
ज़मीर	zəmiːɾ
ज़मीं	zəmĩː
जम्हूरियत	d͡ʒəmɦuːɾiːjət̪
जय	d͡ʒəj
जयकार	d͡ʒəjəkɑːɾ
ज़रिया	zəɾiːjɑː
ज़रूर	zəruːr
जरूरी	d͡ʒəɾuːɾiː
जर्जर	d͡ʒəɾd͡ʒəɾ
जर्मनी	d͡ʒəɾmən̪iː
ज़र्रा	zəɾɾɑː
जलज	d͡ʒələd͡ʒ
जलजमाव	d͡ʒəld͡ʒəmɑːʋ
ज़लज़ला	zəlzəlɑː
जलना	d͡ʒəlnɑː
जलपान	d͡ʒəlpɑːn
जलवा	d͡ʒəlʋɑː
जलसा	d͡ʒəlsɑː
जलारेख	d͡ʒəlɑːɾeːkʰ
जलाल	d͡ʒəlɑːl
जलालाबाद	d͡ʒəlɑːlɑːbɑːd̪
जलाशय	d͡ʒəlɑːʃəj
जलीय	d͡ʒəliːj
जल्द	d͡ʒəld̪
जल्दबाज़ी	d͡ʒəld̪bɑːziː
जल्दी	d͡ʒəld̪iː
जवार	d͡ʒəʋɑːɾ
जवारी	d͡ʒəʋɑːɾiː
जस्ता	d͡ʒəst̪ɑː
जहन्नुम	d͡ʒɛːʱnnʊm
ज़हरीला	zɛːʱɾiːlɑː
ज़हरीली	zɛːʱɾiːliː
जहाज़	d͡ʒəɦɑːz
जहान	d͡ʒəɦɑːn
जहाँगीर	d͡ʒəɦɑ̃ːɡiːɾ
जाएगा	d͡ʒɑːeːɡɑː
जागना	d͡ʒɑːɡnɑː
जागरूकता	d͡ʒɑːɡɾuːkt̪ɑː
जाड़ा	d͡ʒɑːɽɑː
ज़ात	zɑːt̪
जाति	d͡ʒɑːt̪iː
जातिगत	d͡ʒɑːt̪ɪɡət̪
जातिवाद	d͡ʒɑːt̪iːʋɑːd̪
जातिवादी	d͡ʒɑːt̪iːʋɑːd̪iː
जातीय	d͡ʒɑːt̪iːj
जादू	d͡ʒɑːd̪uː
जादूगर	d͡ʒɑːd̪uːɡəɾ
जादूगरनी	d͡ʒɑːd̪uːɡəɾniː
जानकार	d͡ʒɑːnkɑːɾ
जानना	d͡ʒɑːnnɑː
जानबूझकर	d͡ʒɑːnbuːd͡ʒʱkəɾ
जानवर	d͡ʒɑːnʋəɾ
जाना	d͡ʒɑːnɑː
जानी	d͡ʒɑːniː
जाम	d͡ʒɑːm
ज़ायक़ा	zɑːjkɑː
ज़ायक़ा	zɑːjqɑː
जायज़	d͡ʒɑːjəz
जायज़ा	d͡ʒɑːjəzɑː
जायदाद	d͡ʒɑːjəd̪ɑːd̪
जायफल	d͡ʒɑːjpʰəl
ज़ाया	zɑːjɑː
जारी	d͡ʒɑːɾiː
जाल	d͡ʒɑːl
जाला	d͡ʒɑːlɑː
जावा	d͡ʒɑːʋɑː
जासूसी	d͡ʒɑːsuːsiː
ज़ाहिर	zɑːɦɪɾ
जाहिल	d͡ʒɑːɦɪl
जांघ	d͡ʒɑːŋɡʱ
जाँघ	d͡ʒɑ̃ːɡʱ
जाँघिया	d͡ʒɑ̃ːɡʱiːjɑː
जाँच	d͡ʒɑ̃ːt͡ʃ
जाँचना	d͡ʒɑ̃ːt͡ʃnɑː
जाँबाज़	d͡ʒɑ̃ːbɑːz
ज़िक्र	zɪkɾ
जिजीविषा	d͡ʒɪd͡ʒiːʋɪʃɑː
जिज्ञासा	d͡ʒɪɡjɑːsɑː
जितना	d͡ʒɪt̪nɑː
जिताना	d͡ʒɪt̪ɑːnɑː
ज़िद	zɪd̪
जिन	d͡ʒɪn
जिनका	d͡ʒɪnkɑː
जिन्हें	d͡ʒɪnɦẽ
जिन्होंने	d͡ʒɪnɦoːnneː
जिबुती	d͡ʒɪbʊt̪iː
जिमीकंद	d͡ʒɪmiːkənd̪
जियरा	d͡ʒiːjəɾɑː
ज़िला	zɪlɑː
ज़िलाधीश	zɪlɑːd̪ʱiːʃ
जिस	d͡ʒɪs
जिसका	d͡ʒɪskɑː
जिसको	d͡ʒɪskoː
जिसने	d͡ʒɪsneː
जिसमें	d͡ʒɪsmẽ
जिसे	d͡ʒɪseː
ज़िंदा	zɪnd̪ɑː
ज़िंदाबाद	zɪnd̪ɑːbɑːd̪
जी	d͡ʒiː
जीजा	d͡ʒiːd͡ʒɑː
