aaleniana	alenjana
convulsionado	kombulsjonado
convulsionados	kombulsjonados
convulsionar	kombulsjonaɾ
convulsión	kombulsjon
convusco	kombusko
conyugalidad	konɟ͡ʝuɡalidad
conyugal	konɟ͡ʝuɡal
cónyuge	konɟ͡ʝuxe
conyuntura	konɟ͡ʝuntuɾa
cookie	kuki
cooperada	koopeɾada
cooperadas	koopeɾadas
cooperado	koopeɾado
cooperados	koopeɾados
cooptada	koobtada
cooptadas	koobtadas
cooptado	koobtado
cooptados	koobtados
coordenada	koordenada
coordenadas	koordenadas
coordinada	koordinada
coordinadas	koordinadas
coordinado	koordinado
coordinados	koordinados
coordinante	koordinante
coordinar	koordinaɾ
copada	kopada
copadas	kopadas
copado	kopado
copados	kopados
copa	kopa
copal	kopal
copear	kopeaɾ
copela	kopela
copenhague	kopenaɡe
copernicana	kopernikana
copernicanas	kopernikanas
copernicano	kopernikano
copernicanos	kopernikanos
copérnico	koperniko
copeteada	kopeteada
copeteadas	kopeteadas
copeteado	kopeteado
copeteados	kopeteados
copetear	kopeteaɾ
copetón	kopeton
copiada	kopjada
copiadas	kopjadas
copiado	kopjado
copiados	kopjados
copia	kopja
copias	kopjas
copilotar	kopilotaɾ
copiosa	kopjosa
copiosas	kopjosas
copiosísimo	kopjosisimo
copioso	kopjoso
copiosos	kopjosos
copla	kopla
coplanaria	koplanaɾja
coplanarias	koplanaɾjas
coplanario	koplanaɾjo
coplanarios	koplanaɾjos
coplanar	koplanaɾ
coposo	koposo
coprófago	kopɾofaɡo
copta	kobta
copudo	kopudo
copulada	kopulada
copuladas	kopuladas
copulado	kopulado
copulados	kopulados
copula	kopula
copular	kopulaɾ
coque	koke
coquero	kokeɾo
coqueteada	koketeada
coqueteadas	koketeadas
coqueteado	koketeado
coqueteados	koketeados
coquito	kokito
coracha	koɾat͡ʃa
coracoacromial	koɾakoakɾomjal
coracoclavicular	koɾakoklabikulaɾ
coracohumeral	koɾakoumeɾal
cora	koɾa
coral	koɾal
coránico	koɾaniko
corán	koɾan
corbata	korbata
corchetera	kort͡ʃeteɾa
corcho	kort͡ʃo
córcholis	kort͡ʃolis
corchoso	kort͡ʃoso
corcova	korkoba
corcovas	korkobas
corcoveada	korkobeada
corcoveadas	korkobeadas
corcoveado	korkobeado
corcoveados	korkobeados
corcovear	korkobeaɾ
cordada	kordada
cordadas	kordadas
cordado	kordado
cordados	kordados
cordal	kordal
cordero	kordeɾo
cordino	kordino
córdoba	kordoba
cordón	kordon
coreada	koɾeada
coreadas	koɾeadas
coreado	koɾeado
coreados	koɾeados
corea	koɾea
coreana	koɾeana
coreanas	koɾeanas
coreano	koɾeano
coreanos	koɾeanos
coreografiada	koɾeoɡɾafjada
coreografiadas	koɾeoɡɾafjadas
coreografiado	koɾeoɡɾafjado
coreografiados	koɾeoɡɾafjados
coreografiar	koɾeoɡɾafjaɾ
corimbos	koɾimbos
corlado	korlado
corlar	korlaɾ
corleado	korleado
corlear	korleaɾ
cornada	kornada
corneada	korneada
corneadas	korneadas
corneado	korneado
corneados	korneados
cornear	korneaɾ
corneja	kornexa
cornejo	kornexo
córner	korneɾ
cornete	kornete
corno	korno
corología	koɾoloxia
coronada	koɾonada
coronadas	koɾonadas
coronado	koɾonado
coronados	koɾonados
corona	koɾona
coronal	koɾonal
coronar	koɾonaɾ
coronel	koɾonel
corporativa	korpoɾatiba
corporativas	korpoɾatibas
corporativo	korpoɾatibo
corporativos	korpoɾatibos
corporomental	koɾ.po.ɾo.mental
corpulentísimo	korpulentisimo
corpuscular	korpuskulaɾ
corpus	korpus
corraleja	koralexa
corral	koral
corralón	koralon
correa	korea
correctísimo	koreɡtisimo
correcto	koreɡto
correctora	koreɡtoɾa
correctoras	koreɡtoɾas
correctores	koreɡtoɾes
corrector	koreɡtoɾ
corredactor	koredaɡtoɾ
corredora	koredoɾa
corredoras	koredoɾas
corredores	koredoɾes
corredor	koredoɾ
corregida	korexida
corregidas	korexidas
corregido	korexido
corregidos	korexidos
correligionario	korelixjonaɾjo
correlimos	korelimos
correntío	korentio
corresponder	korespondeɾ
correspondida	korespondida
correspondidas	korespondidas
correspondido	korespondido
correspondidos	korespondidos
corresponsal	koresponsal
correteada	koreteada
correteadas	koreteadas
correteado	koreteado
correteados	koreteados
corretear	koreteaɾ
correveidile	ko.re.beidi.le
corrida	korida
corrido	korido
corriente	korjente
corroborada	koroboɾada
corroboradas	koroboɾadas
corroborado	koroboɾado
corroborador	koroboɾadoɾ
corroborados	koroboɾados
corroída	koroida
corroídas	koroidas
corroído	koroido
corroídos	koroidos
corrompida	korompida
corrompidas	korompidas
corrompido	korompido
corrompidos	korompidos
corrugada	koruɡada
corrugadas	koruɡadas
corrugado	koruɡado
corrugados	koruɡados
corrugar	koruɡaɾ
corrugo	koruɡo
corrugó	koruɡo
corrugue	koruɡe
corrugué	koruɡe
corrupta	korubta
corruptas	korubtas
corruptible	korubtible
corrupto	korubto
corruptos	korubtos
corsa	korsa
corsas	korsas
corso	korso
corsos	korsos
cortada	kortada
cortadas	kortadas
cortadita	kortadita
cortaditas	kortaditas
cortadito	kortadito
cortaditos	kortaditos
cortado	kortado
cortados	kortados
cortarramas	kortaramas
cortejado	kortexado
corte	korte
corticotropina	kortikotɾopina
cortinado	kortinado
cortina	kortina
corto	korto
coruñés	koɾuɲes
corva	korba
corvar	korbaɾ
corvo	korbo
cosa	kosa
cosas	kosas
cosechada	koset͡ʃada
cosechadas	koset͡ʃadas
cosechado	koset͡ʃado
cosechados	koset͡ʃados
cosecha	kose.tʃa
cosechar	koset͡ʃaɾ
cosedora	kosedoɾa
coselete	koselete
coser	ko.ser
cosida	kosida
cosidas	kosidas
cosido	kosido
cosidos	kosidos
cosifa	kosifa
cosificar	kosifikaɾ
cosí	kosi
cósmico	kosmiko
cosmogonía	kosmoɡonia
cosmos	kosmos
cosmovisión	kosmobisjon
cospel	kospel
costada	kostada
costadas	kostadas
costadito	kostadito
costado	kostado
costados	kostados
costa	kosta
costal	kostal
costar	kostaɾ
costas	kostas
costás	kostas
costeada	kosteada
costeadas	kosteadas
costeado	kosteado
costeados	kosteados
costea	kostea
costeamos	kosteamos
costeando	kosteando
costeara	kosteaɾa
costeará	kosteaɾa
costeáramos	kosteaɾamos
costearas	kosteaɾas
costearás	kosteaɾas
costeareis	kosteaɾeis
costearemos	kosteaɾemos
costeares	kosteaɾes
costearíamos	kosteaɾiamos
costear	kosteaɾ
costeas	kosteas
costeaste	kosteaste
costee	kostee
costeemos	kosteemos
costees	kostees
coste	kos.te
costeo	kosteo
costo	kosto
costra	kostɾa
costumbre	kostumbɾe
costura	kostu.ɾa
costurerita	kostuɾeɾita
cotejada	kotexada
cotejadas	kotexadas
cotejado	kotexado
cotejados	kotexados
cotejar	kotexaɾ
coteje	kotexe
cotejé	kotexe
cotejo	kotexo
cotejó	kotexo
cotidiana	kotidjana
cotidianas	kotidjanas
cotidiano	kotidjano
cotidianos	kotidjanos
coto	koto
cotorreada	kotoreada
cotorreadas	kotoreadas
cotorreado	kotoreado
cotorreados	kotoreados
cotorrear	kotoreaɾ
cotufa	kotufa
country	kantɾi
courier	kuɾjeɾ
covacha	kobat͡ʃa
coxis	koɡsis
coyol	koɟ͡ʝol
coyote	koɟ͡ʝote
craba	kɾaba
crac	kɾak
crackear	kɾakeaɾ
craneal	kɾaneal
cranear	kɾaneaɾ
cráneo	kɾaneo
crápula	kɾapula
crasa	kɾasa
crasas	kɾasas
cras	kɾas
craso	kɾaso
crasos	kɾasos
crayón	kɾaʝon
creada	kɾeada
creadas	kɾeadas
creado	kɾeado
creados	kɾeados
crear	kɾeaɾ
credibilidades	kɾedibilidades
credibilidad	kɾedibilidad
crédito	kɾedito
créditos	kɾeditos
crédulo	kɾedulo
creen	kɾeen
creer	kɾeeɾ
creíble	kɾeible
creída	kɾeida
creídas	kɾeidas
creído	kɾeido
creídos	kɾeidos
cremada	kɾemada
cremadas	kɾemadas
cremado	kɾemado
cremados	kɾemados
crema	kɾema
cremar	kɾemaɾ
cremastérico	kɾemasteɾiko
cremáster	kɾemasteɾ
crematoria	kɾematoɾja
crematorias	kɾematoɾjas
crematorio	kɾematoɾjo
crematorios	kɾematoɾjos
crenado	kɾenado
crencha	kɾent͡ʃa
creo	kɾeo
crepitada	kɾepitada
crepitadas	kɾepitadas
crepitado	kɾepitado
crepitados	kɾepitados
crepuscular	kɾepuskulaɾ
cresta	kɾesta
creta	kɾeta
crevar	kɾebaɾ
creyente	kɾeɟ͡ʝente
creyentes	kɾeɟ͡ʝentes
criada	kɾjada
criadas	kɾjadas
criado	kɾjado
criados	kɾjados
cría	kɾi.a
cria	kɾja
críalo	kɾialo
criar	kɾjaɾ
criatura	kɾjatuɾa
cribada	kɾibada
cribadas	kɾibadas
cribado	kɾibado
cribados	kɾibados
criba	kɾiba
cribar	kɾibaɾ
criboso	kɾiboso
crimen	kɾimen
criminal	kɾiminal
criminoso	kɾiminoso
crinar	kɾinaɾ
crin	kɾin
criopreservada	kɾjopɾeserbada
criopreservadas	kɾjopɾeserbadas
criopreservado	kɾjopɾeserbado
criopreservados	kɾjopɾeserbados
criopreservar	kɾjopɾeserbaɾ
críptido	kɾibtido
crisálida	kɾisalida
crisantemo	kɾisantemo
crisis	kɾisis
crisma	kɾisma
crismar	kɾismaɾ
crisol	kɾisol
crisóstomo	kɾisostomo
crispada	kɾispada
crispadas	kɾispadas
crispado	kɾispado
crispados	kɾispados
cristalina	kɾistalina
cristalinas	kɾistalinas
cristalino	kɾistalino
cristalinos	kɾistalinos
cristalito	kɾistalito
cristal	kɾistal
cristalografía	kɾistaloɡɾafia
cristalográfica	kɾistaloɡɾafika
cristalográficas	kɾistaloɡɾafikas
cristalográfico	kɾistaloɡɾafiko
cristalográficos	kɾistaloɡɾafikos
cristiana	kɾistjana
cristianar	kɾistjanaɾ
cristianas	kɾistjanas
cristiandad	kɾistjandad
cristianismo	kɾistjanismo
cristián	kɾistjan
cristiano	kɾistjano
cristianos	kɾistjanos
cristóbal	kɾistobal
cristo	kɾisto
cristopher	kɾistofeɾ
criticada	kɾitikada
criticadas	kɾitikadas
criticadera	kɾitikadeɾa
criticado	kɾitikado
criticados	kɾitikados
criticar	kɾitikaɾ
crítico	kɾitiko
criticón	kɾitikon
croada	kɾoada
croadas	kɾoadas
croado	kɾoado
croados	kɾoados
croar	kɾoaɾ
crocante	kɾokante
crocodilomorfo	kɾokodilomorfo
crol	kɾol
cromada	kɾomada
cromadas	kɾomadas
cromado	kɾomado
cromados	kɾomados
croma	kɾoma
cromamos	kɾomamos
cromando	kɾomando
cromara	kɾomaɾa
cromará	kɾomaɾa
cromáramos	kɾomaɾamos
cromaras	kɾomaɾas
cromarás	kɾomaɾas
cromareis	kɾomaɾeis
cromaremos	kɾomaɾemos
cromares	kɾomaɾes
cromaríamos	kɾomaɾiamos
cromar	kɾomaɾ
cromas	kɾomas
cromaste	kɾomaste
cromático	kɾomatiko
cromatológico	kɾomatoloxiko
crome	kɾome
cromé	kɾome
cromemos	kɾomemos
cromes	kɾomes
cromo	kɾomo
cromosfera	kɾomosfeɾa
cromosomático	kɾomosomatiko
cronificada	kɾonifikada
cronificadas	kɾonifikadas
cronificado	kɾonifikado
cronificados	kɾonifikados
cronista	kɾonista
cronógrafo	kɾonoɡɾafo
cronología	kɾonoloxia
cronológica	kɾonoloxika
cronológicas	kɾonoloxikas
cronológico	kɾonoloxiko
cronológicos	kɾonoloxikos
cronometrada	kɾonometɾada
cronometradas	kɾonometɾadas
cronometrado	kɾonometɾado
cronometrados	kɾonometɾados
croqueta	kɾoketa
crótalo	kɾotalo
crotamitón	kɾotamiton
croto	kɾoto
crotorada	kɾotoɾada
crotoradas	kɾotoɾadas
crotorado	kɾotoɾado
crotorados	kɾotoɾados
crotorar	kɾotoɾaɾ
crotoreada	kɾotoɾeada
crotoreadas	kɾotoɾeadas
crotoreado	kɾotoɾeado
crotoreados	kɾotoɾeados
crowdfunding	kɾaudfandin
crueldad	kɾueldað
cruelísimo	kɾwelisimo
crujida	kɾuxida
crujidas	kɾuxidas
crujido	kɾuxido
crujidos	kɾuxidos
ctónico	ktoniko
cuaderno	kwaderno
cuado	kwado
cuadrado	kwadɾado
cuadragésimo	kwadɾaxesimo
cuadrática	kwadɾatika
cuadráticas	kwadɾatikas
cuadrático	kwadɾatiko
cuadráticos	kwadɾatikos
cuadriculada	kwadɾikulada
cuadriculadas	kwadɾikuladas
cuadriculado	kwadɾikulado
cuadriculados	kwadɾikulados
cuadriculares	kwadɾikulaɾes
cuadricular	kwadɾikulaɾ
cuadrimomento	kwadɾimomento
cuadringentésimo	kwadɾinxentesimo
cuadriplicada	kwadɾiplikada
cuadriplicadas	kwadɾiplikadas
cuadriplicado	kwadɾiplikado
cuadriplicados	kwadɾiplikados
cuadriplicar	kwadɾiplikaɾ
cuadrivector	kwadɾibeɡtoɾ
cuádruple	kwadɾuple
cuadruplicada	kwadɾuplikada
cuadruplicadas	kwadɾuplikadas
cuadruplicado	kwadɾuplikado
cuadruplicados	kwadɾuplikados
cuadruplicar	kwadɾuplikaɾ
cuadrupolar	kwadɾupolaɾ
cuadrupolo	kwadɾupolo
cuajada	kwaxada
cuajadas	kwaxadas
cuajado	kwaxado
cuajados	kwaxados
cuajo	kwaxo
cualidad	kwalidad
cualificada	kwalifikada
cualificadas	kwalifikadas
cualificado	kwalifikado
cualificados	kwalifikados
cualificar	kwalifikaɾ
cuál	kwal
cualquiera	kwalkjeɾa
cualquieras	kwalkjeɾas
cualquier	kwalkjeɾ
cuando	kwando
cuándo	kwando
cuan	kwan
cuán	kwan
cuanta	kwanta
cuantía	kwantia
cuantil	kwantil
cuanto	kwanto
cuánto	kwanto
cuara	kwaɾa
cuarenta	kwaɾenta
cuarentón	kwaɾenton
cuaresmeño	kwaɾesmeɲo
cuarta	kwarta
cuartas	kwartas
cuarteada	kwarteada
cuarteadas	kwarteadas
cuarteado	kwarteado
cuarteador	kwarteadoɾ
cuarteados	kwarteados
cuarteadura	kwarteaduɾa
cuartelar	kwartelaɾ
cuartel	kwartel
cuartero	kwarteɾo
cuarterón	kwarteɾon
cuartetero	kwarteteɾo
cuartil	kwartil
cuarto	kwarto
cuartos	kwartos
cuásar	kwasaɾ
cuasicristal	kwasikɾistal
cuate	kwate
cuatro	kwatɾo
cuatromil	kwatɾomil
cuauhtémoc	kwautemok
cuba	kuba
cubalibre	kubalibɾe
cubana	kubana
cubanas	kubanas
cubano	kubano
cubanos	kubanos
cubata	kubata
cubeo	kubeo
cubicada	kubikada
cubicadas	kubikadas
cubicado	kubikado
cubicados	kubikados
cubicar	kubikaɾ
cubil	kubil
cubismo	kuβiz.mo
cubital	kubital
cubiteño	kubiteɲo
cúbito	kubito
cuboideo	kuboideo
cuboideonavicular	kuboideonabikulaɾ
cuboides	kuboides
cubo	kubo
cubra	kubɾa
cubramos	kubɾamos
cubras	kubɾas
cubrebocas	kubɾebokas
cubro	kubɾo
cuca	kuka
cucarachero	kukaɾat͡ʃeɾo
cucarachón	kukaɾat͡ʃon
cucarda	kukarda
cuchara	kut͡ʃaɾa
cuchar	kut͡ʃaɾ
cuchicheada	kut͡ʃit͡ʃeada
cuchicheadas	kut͡ʃit͡ʃeadas
cuchicheado	kut͡ʃit͡ʃeado
cuchicheados	kut͡ʃit͡ʃeados
cuchichear	kut͡ʃit͡ʃeaɾ
cuchi	kut͡ʃi
cuchí	kut͡ʃi
cuchilla	kutʃi.ʎa
cuchillo	kutʃi.ʎo
cuchitril	ku.tʃitɾil
cuco	kuko
cucuruca	kukuɾuka
cucurucho	kukuɾut͡ʃo
cuenca	kwenka
cuencana	kwenkana
cuencanas	kwenkanas
cuencano	kwenkano
cuencanos	kwenkanos
cuenco	kwenko
cuentacuentos	kwentakwentos
cuenta	kwenta
cuera	kweɾa
cuerda	kwerda
cuerdas	kwerdas
cuerdo	kwerdo
cuerdos	kwerdos
cuerear	kweɾeaɾ
cuerna	kwerna
cuerno	kwerno
cuero	kweɾo
cuerpeada	kwerpeada
cuerpeadas	kwerpeadas
cuerpeado	kwerpeado
cuerpeados	kwerpeados
cuerpo	kwerpo
cúes	kues
cuestionada	kwestjonada
cuestionadas	kwestjonadas
cuestionado	kwestjonado
cuestionador	kwestjonadoɾ
cuestionados	kwestjonados
cuestionario	kwestjonaɾjo
cuestión	kwestjon
cuetear	kweteaɾ
cuete	kwete
cueva	kweβa
cuévano	kwe.ba.no
cuidada	kwidada
cuidadas	kwidadas
cuidado	kwidado
cuidador	kwidadoɾ
cuidados	kwidados
cuida	kwida
cuidao	kwidao
cuidar	kwidaɾ
cuides	kwides
cuilta	kwilta
cuina	kwina
cuitada	kwitada
cuitadas	kwitadas
cuitado	kwitado
cuitados	kwitados
cuita	kwita
cuitar	kwitaɾ
cuitlacoche	kwitlakot͡ʃe
cu	ku
culantro	kulantɾo
culeada	kuleada
culeadas	kuleadas
culeado	kuleado
culeados	kuleados
culear	kuleaɾ
culebra	kulebɾa
culebreada	kulebɾeada
culebreadas	kulebɾeadas
culebreado	kulebɾeado
culebreados	kulebɾeados
culebrear	kulebɾeaɾ
culebro	kule.bro
culiada	kuljada
culiadas	kuljadas
culiado	kuljado
culiados	kuljados
culinaria	kulinaɾja
culinarias	kulinaɾjas
culinario	kulinaɾjo
culinarios	kulinaɾjos
culín	kulin
culminada	kulminada
culminadas	kulminadas
culminado	kulminado
culminados	kulminados
culminante	kulminante
culminantes	kulminantes
culminar	kulminaɾ
culmo	kulmo
culo	kulo
culona	kulona
culón	kulon
culpable	kulpable
culpada	kulpada
culpadas	kulpadas
culpado	kulpado
culpados	kulpados
culterana	kulteɾana
culteranas	kulteɾanas
culterano	kulteɾano
culteranos	kulteɾanos
cultísimo	kultisimo
cultivada	kultibada
cultivadas	kultibadas
cultivado	kultibado
cultivados	kultibados
cultivar	kultibaɾ
culturada	kultuɾada
culturadas	kultuɾadas
culturado	kultuɾado
culturados	kultuɾados
cultura	kultuɾa
cultural	kultuɾal
culturar	kultuɾaɾ
culture	kultuɾe
cultureta	kultuɾeta
culturetas	kultuɾetas
culturista	kultuɾista
cuma	kuma
cumanagoto	kumanaɡoto
cumbia	kumbja
cumbre	kumbɾe
cummingtonita	kumintonita
cumpa	kumpa
cumpleañero	kumpleaɲeɾo
cumpleaños	kumpleaɲos
cumplida	kumplida
cumplidas	kumplidas
cumplido	kumplido
cumplidos	kumplidos
cumplimentada	kumplimentada
cumplimentadas	kumplimentadas
cumplimentado	kumplimentado
cumplimentados	kumplimentados
cumplimentar	kumplimentaɾ
cumplirse	kumplirse
cumulada	kumulada
cumuladas	kumuladas
cumulado	kumulado
cumulados	kumulados
cumular	kumulaɾ
cumulativo	kumulatibo
cuñada	kuɲada
cuñadas	kuɲadas
cuñado	kuɲado
cuñados	kuɲados
cuña	kuɲa
cuna	kuna
cuncuna	kunkuna
cundida	kundida
cundidas	kundidas
cundido	kundido
cundidos	kundidos
cundir	kundiɾ
cunear	kuneaɾ
cuño	kuɲo
cuón	kwon
cuórum	kwoɾum
cuota	kwota
cupe	kupe
cupera	kupeɾa
cuperas	kupeɾas
cupero	kupeɾo
cuperos	kupeɾos
cupo	kupo
cúprico	kupɾiko
cúpula	kupula
curable	kuɾable
curada	kuɾada
curadas	kuɾadas
curadera	kuɾadeɾa
curado	kuɾado
curados	kuɾados
cura	kuɾa
curanipe	kuɾanipe
curare	kuɾaɾe
curar	kuɾaɾ
curatoria	kuɾatoɾja
curatorias	kuɾatoɾjas
curatorio	kuɾatoɾjo
curatorios	kuɾatoɾjos
cúrcuma	kurkuma
curicano	kuɾikano
curico	kuɾiko
curicó	kuɾiko
curio	kuɾjo
curioseada	kuɾjoseada
curioseadas	kuɾjoseadas
curioseado	kuɾjoseado
curioseados	kuɾjoseados
curiosear	kuɾjoseaɾ
curiosidad	kuɾjosidad
curioso	kuɾjoso
curita	kuɾita
curitiba	kuɾitiba
curo	kuɾo
currada	kurada
curradas	kuradas
currado	kurado
currados	kurados
currante	kurante
currantes	kurantes
currar	kuraɾ
currelar	kurelaɾ
currículo	kurikulo
curro	kuro
curruca	kuruka
currutaca	kurutaka
curry	kari
cursada	kursada
cursadas	kursadas
cursado	kursado
cursados	kursados
cursante	kursante
cursilería	kursileɾia
curso	kurso
cursores	kursoɾes
cursor	kursoɾ
curtida	kurtida
curtidas	kurtidas
curtido	kurtido
curtidos	kurtidos
curtir	kurtiɾ
curvada	kurbada
curvadas	kurbadas
curvado	kurbado
curvados	kurbados
curva	kurba
curvina	kurbina
curvo	kurbo
cuscatleco	kuskatleko
cusco	kusko
cuscús	kuskus
cus	kus
cúspide	kuspide
custodiada	kustodjada
custodiadas	kustodjadas
custodiado	kustodjado
custodiados	kustodjados
custodia	kustodja
custodiar	kustodjaɾ
custodias	kustodjas
custodio	kustodjo
custodios	kustodjos
cutáneo	kutaneo
cúter	kuteɾ
cuticular	kutikulaɾ
cuto	kuto
cutre	ku.tɾe
cuya	kuɟ͡ʝa
cuyana	kuɟ͡ʝana
cuyanas	kuɟ͡ʝanas
cuyano	kuɟ͡ʝano
cuyanos	kuɟ͡ʝanos
cuy	kwi
cuyo	kuɟ͡ʝo
daba	daba
daca	daka
dactilografía	daɡtiloɡɾafia
dactilografiado	daɡtiloɡɾafjado
dactilografiar	daɡtiloɡɾafjaɾ
da	da
dada	dada
dadas	dadas
dádiva	dadiba
dado	dado
dados	dados
daimio	daimjo
daiquiri	daikiɾi
dais	dais
dale	dale
dales	dales
dálet	daled
dalia	dalja
dálmata	dalmata
dálmatas	dalmatas
dalmática	dalmatika
dalmáticas	dalmatikas
dalmático	dalmatiko
dalmáticos	dalmatikos
dama	dama
damasco	damasko
damasquinado	damaskinado
damián	damjan
damos	damos
dañada	daɲada
dañadas	daɲadas
dañado	daɲado
dañados	daɲados
dan	dan
dandismo	dandismo
dando	dando
dandy	dandi
dani	dani
daniel	danjel
dañinear	daɲineaɾ
daño	daɲo
danta	danta
dantesca	danteska
dantescas	danteskas
dantesco	dantesko
dantescos	danteskos
danubio	danubjo
dapsona	dabsona
dará	daɾa
darás	daɾas
dar	daɾ
daremos	daɾemos
darlusar	darlusaɾ
darmstatio	daɾmsta.tjo
darwiniana	daɾwinjana
darwinianas	daɾwinjanas
darwiniano	daɾwinjano
darwinianos	daɾwinjanos
darwinismo	daɾwinismo
datada	datada
datadas	datadas
data	data
datado	datado
datados	datados
datar	dataɾ
dátil	datil
datos	datos
david	dabid
dayana	daɟ͡ʝana
dealer	dileɾ
deambulada	deambulada
deambuladas	deambuladas
deambulado	deambulado
deambulados	deambulados
deambular	deambulaɾ
debajo	debaxo
debatida	debatida
debatidas	debatidas
debatido	debatido
debatidos	debatidos
debatir	debatiɾ
debe	debe
deben	deben
deber	debeɾ
debida	debida
debidas	debidas
debido	debido
debidos	debidos
debiéndosele	debjendosele
débil	debil
debilidad	debilidad
debilitada	debilitada
debilitadas	debilitadas
debilitado	debilitado
debilitados	debilitados
debilitar	debilitaɾ
debitada	debitada
debitadas	debitadas
debitado	debitado
debitados	debitados
debutada	debutada
debutadas	debutadas
debutado	debutado
debutados	debutados
debut	debu
década	dekada
decaer	dekaeɾ
decaída	dekaida
decaídas	dekaidas
decaído	dekaido
decaídos	dekaidos
decalcomanía	dekalkomania
decana	dekana
decanas	dekanas
decanato	dekanato
decano	dekano
decanos	dekanos
decantada	dekantada
decantadas	dekantadas
decantado	dekantado
decantados	dekantados
decantar	dekantaɾ
decanto	dekanto
decapar	dekapaɾ
decapitada	dekapitada
decapitadas	dekapitadas
decapitado	dekapitado
decapitados	dekapitados
decapitar	dekapitaɾ
dechado	det͡ʃado
declamada	deklamada
declamadas	deklamadas
declamado	deklamado
declamados	deklamados
declarada	deklaɾada
declaradas	deklaɾadas
declarado	deklaɾado
declarados	deklaɾados
declarar	deklaɾaɾ
declarársele	deklaɾarsele
declinada	deklinada
declinadas	deklinadas
declinado	deklinado
declinados	deklinados
declinar	deklinaɾ
decodificada	dekodifikada
decodificadas	dekodifikadas
decodificado	dekodifikado
decodificados	dekodifikados
decodificar	dekodifikaɾ
decolada	dekolada
decoladas	dekoladas
decolado	dekolado
decolados	dekolados
decolorada	dekoloɾada
decoloradas	dekoloɾadas
decolorado	dekoloɾado
decolorados	dekoloɾados
decolorar	dekoloɾaɾ
decomisada	dekomisada
decomisadas	dekomisadas
decomisado	dekomisado
decomisados	dekomisados
decomisionar	dekomisjonaɾ
deconstruir	dekonstɾwiɾ
decorada	dekoɾada
decoradas	dekoɾadas
decorado	dekoɾado
decorados	dekoɾados
decorativa	dekoɾatiba
decoro	dekoɾo
decrementar	dekɾementaɾ
decremento	dekɾemento
decretada	dekɾetada
decretadas	dekɾetadas
decretado	dekɾetado
decretados	dekɾetados
decumano	dekumano
decusado	dekusado
dedal	deðal
de	de
dé	de
dedicada	dedikada
dedicadas	dedikadas
dedica	dedika
dedicado	dedikado
dedicados	dedikados
dedicáis	dedikais
dedicamos	dedikamos
dedicando	dedikando
dedicara	dedikaɾa
dedicará	dedikaɾa
dedicáramos	dedikaɾamos
dedicaras	dedikaɾas
dedicarás	dedikaɾas
dedicar	dedikaɾ
dedicareis	dedikaɾeis
dedicaréis	dedikaɾeis
dedicaremos	dedikaɾemos
dedicares	dedikaɾes
dedicaríamos	dedikaɾiamos
dedicarías	dedikaɾias
dedicarse	dedikarse
dedicársela	dedikarsela
dedicas	dedikas
dedicaste	dedikaste
dedico	dediko
dedique	dedike
dediquéis	dedikeis
dediquemos	dedikemos
dediques	dedikes
dedo	dedo
deductiva	deduɡtiba
deductivas	deduɡtibas
deductivo	deduɡtibo
deductivos	deduɡtibos
defecada	defekada
defecadas	defekadas
defecado	defekado
defecados	defekados
defeña	defeɲa
defeñas	defeɲas
defendamos	defendamos
defendemos	defendemos
defenderá	defendeɾa
defenderás	defendeɾas
defender	defendeɾ
defenderemos	defendeɾemos
defenderíamos	defendeɾiamos
defendíamos	defendiamos
defendida	defendida
defendidas	defendidas
defendido	defendido
defendidos	defendidos
defenestrada	defenestɾada
defenestradas	defenestɾadas
defenestrado	defenestɾado
defenestrados	defenestɾados
defenestrar	defenestɾaɾ
defeño	defeɲo
defeños	defeɲos
defensada	defensada
defensadas	defensadas
defensa	defensa
defensado	defensado
defensados	defensados
defensar	defensaɾ
defense	defen.se
defensión	defensjon
defensora	defensoɾa
defensoras	defensoɾas
defensores	defensoɾes
deferida	defeɾida
deferidas	defeɾidas
deferido	defeɾido
deferidos	defeɾidos
defina	defina
definamos	definamos
definas	definas
define	define
defines	defines
definíamos	definiamos
definida	definida
definidas	definidas
definido	definido
definidos	definidos
definimos	definimos
definirá	definiɾa
definirás	definiɾas
definir	definiɾ
definiremos	definiɾemos
definiríamos	definiɾiamos
definiste	definiste
defino	defino
deflagrada	deflaɡɾada
deflagradas	deflaɡɾadas
deflagrado	deflaɡɾado
deflagrados	deflaɡɾados
deflorada	defloɾada
defloradas	defloɾadas
deflorado	defloɾado
deflorados	defloɾados
defloras	defloɾas
defoliada	defoljada
defoliadas	defoljadas
defoliado	defoljado
defoliados	defoljados
defoliar	defoljaɾ
deformada	deformada
deformadas	deformadas
deformado	deformado
deformados	deformados
defraudada	defɾaudada
defraudadas	defɾaudadas
defraudado	defɾaudado
defraudados	defɾaudados
degano	deɡano
degenerada	dexeneɾada
degeneradas	dexeneɾadas
degenerado	dexeneɾado
degenerados	dexeneɾados
deglutida	deɡlutida
deglutidas	deɡlutidas
deglutido	deɡlutido
deglutidos	deɡlutidos
degradada	deɡɾadada
degradadas	deɡɾadadas
degradado	deɡɾadado
degradados	deɡɾadados
degustada	deɡustada
degustadas	deɡustadas
degustado	deɡustado
degustados	deɡustados
dehesa	dee.sa
deidad	deidad
deidades	deidades
deificada	deifikada
