а	a
тив	tʰ i w̜
товч	tʰ ɔ w t͡ɕʰ
тоглоом	tʰ ɔ ɡ ɮ ɔː m
тогооч	tʰ ɔ ɢ ɔː t͡ʃʰ
тогос	tʰ ɔ ɢ ə s
тогтоол	tʰ ɔ ɡ tʰ ɔ ɮ
тогтоомж	tʰ ɔ ɡ tʰ ɔ m t͡ɕ
тогтоох	tʰ ɔ ɡ tʰ ɔ x
тойруу	tʰ ɔ i r ʊ
толгой	tʰ ɔ ɮ ɢ ɔ i
толь	tʰ œ ɮ
том	tʰ ɔ m
томох	tʰ ɔ m ə x
томсох	tʰ ɔ m s ə x
тоншуул	tʰ ɔ ŋ ʃ ʊ ɮ
тоор	tʰ ɔː r
тоормос	tʰ ɔː r m ə s
тоосго	tʰ ɔː s ə q
тор	tʰ ɔ r
торго	tʰ ɔ r ə ɢ
тос	tʰ ɔ s
тоть	tʰ œ tʰ
трактор	tʰ r a kʰ tʰ ə r
трамвай	tʰ r a m w̜ a i
тува	tʰ ʊ w̜ aˑ
тува	tʰ ʊ w̜ äˑ
туг	tʰ ʊ k
тулуй	tʰ ʊ ɮ ʊ i
тунадас	tʰ ʊ n t ə s
турк	tʰ ʊˑ r kʰ
туршлага	tʰ ʊ r ʃ ɮ ə ɢ
тусламж	tʰ ʊ s ɮ ə m t͡ɕ
туулай	tʰ ʊː ɮ a i
тухай	tʰ ʊ x a i
тухайд	tʰ ʊ x a i t
тухайн	tʰ ʊ χ æː ɴ̟
тэвнэ	tʰ i w ə n
тэвчих	tʰ i w̜ t͡ʃʰ i x
тэвчээр	tʰ i w̜ t͡ʃʰ eː r
тэвэр	tʰ i w ə r
тэг	tʰ i ɡ
тэд	tʰ e tʰ
тэмцэгч	tʰ e m t͡sʰ e ɡ t͡ʃʰ
тэмцэх	tʰ i m t͡s i x
тэмцээн	tʰ i m t͡s eː ŋ
тэмээ	tʰ i m e
тэнгэр	tʰ e ŋ ɡ e r
тэнгэр	tʰ ɘ ŋ ɘ ɾ
тэнгэс	tʰ i ŋ ɡ ə s
тэр	tʰ e r
тэрс	tʰ i r s
тэрэг	tʰ i r ə ɡ
тэс	tʰ i s
түймэр	tʰ u i m ə r
түлхэх	t u ɮ x ə x
түлэгдэлт	tʰ u ɮ ə ɡ t ə ɮ tʰ
түмэд	tʰ u m ə̟ t
түүнийх	tʰ uː n iː x
түүх	tʰ uː x
төвд	tʰ ɵ w̜ t
төвөд	tʰ u p ɘ t
төвөд	tʰ ɵ w u t
төгрөг	tʰ ɵ ɡ r ə ɡ
төр	tʰ ɵ r
төрсөн	tʰ ɵ r s u ŋ
төстэй	tʰ o s tʰ e
төсөвлөх	tʰ o s ə w ɮ ə x
у	ʊ
уг	ʊ ɡ
удаа	ʊ t a
удган	ʊ t ɢ ə ŋ
удирдамж	ʊ t i r t a m t͡ʃ
удирдах	ʊ tʲ ə r t ə x
удирдлага	ʊ tʲ ə r t ɮ ə ɢ
украин	ʊ kʰ r a i ŋ
улаан	ʊ ɮ aː ŋ
улаангом	ʊ ɮ aː ŋ ɡ ɔ m
улаанцав	ʊ ɮ a n t͡sʰ ə w
уламжлалт	ʊ ɮ ə m t͡ɕ ɮ ə ɮ tʰ
улиас	ʊ ɮʲ a s
улиастай	ʊ ɮ i a s tʰ a i
улс	ʊ ɮ s
унах	ʊ n ə x
унгах	ʊ ŋ ɡ a x
унтах	ʊ n tʰ a x
унтраах	ʊ n tʰ r aː x
унтрах	ʊ n tʰ r a x
унших	ʊ n ʃ ə x
урвах	ʊ r w ə x
урлаг	ʊ r ɮ a ɡ
уруул	ʊ r ʊ ɮ
ус	ʊ s
ус	ʊ s ʊ
утаа	ʊ tʰ a
утас	ʊ tʰ ə s
утга	ʊ tʰ ə ɢ
уу	ʊː
уул	ʊː ɮ
уулс	ʊː ɮ s
уур	ʊː r
уурга	ʊː r ə ɢ
уурхай	ʊː r x a i
уух	ʊː χ
уучлаарай	ʊː t͡ʃʰ ɮ aː r a i
уушги	ʊː ʃ ə ɡʲ
ф	f
ф	pʰ
файл	f a i ɮ
факс	f a kʰ s
факсдах	f a kʰ s t a x
ферм	f e r m
фильм	f i ɮʲ m
финланд	f i n ɮ a n t
финлянд	f i n ɮ j a n t
фото	f ɔ tʰ ɔˑ
фото	pʰ ɔ tʰ ɔˑ
франц	f r äˑ n t͜sʰ
фронт	f r ɔˑ n tʰ
фронт	pʰ r ɔˑ n tʰ
футболк	f ʊ tʰ p ɔ ɮ kʰ
х	x
хаалга	x aː ɮ ə ɢ
хаан	x aː ŋ
хаана	x aː n
хаах	x aː x
хавар	x a w̜ ə r
хавирга	x a wʲ r ə ɢ
хавч	x a w t͡ɕʰ
хавчих	x a w t͡ɕʰ ə x
хаг	x a ɡ
хага	x a ɢ
хагарах	x a ɢ r ə x
хад	x a t
хадаас	x a t aː s
хадаг	x a t ə ɡ
хадуур	x a t ʊ r
хазаар	x a t͡s a r
хазах	x a t͡s ə x
хайлмаг	x a i ɮ m ə ɡ
хайнаг	x a i n ə ɡ
хайр	χ æː r
хайрлах	x a i r ɮ ə x
хайх	x a i x
хайч	χ æː t͡ʃʰ
хайчлах	χ æː t͡ʃʰ ɮ ə χ
халаад	x a ɮ a t
халдах	x a ɮ t a x
халдвар	x a ɮ t w̜ a r
халдваргүй	χ a ɮ t w ə̠ r ɡ ʉ͜i
халдварт	χ a ɮ t w ə̠ r tʰ
халуун	x a ɮ ʊː ŋ
халх	x a ɮ x
хамгаалах	x a m ɡ aː ɮ a x
хамт	x a m tʰ
хан	χ ä ŋ
хана	χ ä n
ханз	x a n t͡s
хараацай	x a r aː t͡sʰ a ɪ
харайх	x a r a i x
харандаа	x a r ə n t a
харваа	x a r w a
харваач	x a r w a t͡ɕʰ
харгана	x a r ɢ ə n
харин	x a rʲ ə ŋ
хариу	x a rʲ ʊ
харьяа	x a rʲ j aː
харьяалах	x a rʲ j aː ɮ a x
хас	χ a s
хасаг	x ɐ s ɐ k
хасаг	χ a s ə k̠
хатмал	x a tʰ m ə ɮ
хахууль	x a x ʊ ɮʲ
хаялах	x a j ɮ ə x
хаях	x a j ə x
хдхв	x eː t eː x eː w eː
хиам	xʲ aː m
хижээл	x i t͡ɕ e ɮ
хий	x iː
хиймэл	x iː m ə ɮ
хийх	x iː x
хил	x i ɮ
хирс	x i r s
хог	x ɔ ɡ
хойг	x ɔ i ɡ
хойд	χ œː tʰ
хойно	x ɔ i n
хол	χ ɔ ɬ
холбоо	χ ɔ ɮ p ɔː
холтос	x ɔ ɮ tʰ ə s
хонох	x ɔ n ɔ x
хонь	x ɔ nʲ
хоньчин	x ɔ nʲ t͡ʃʰ i ŋ
хоол	x ɔː ɮ
хорвоо	x ɔ r w ɔ
хордох	x ɔ r t ə x
хорсох	x ɔ r s ə x
хорхой	x ɔ r x ɔ i
хос	x ɔ s
хот	x ɔ tʰ
хотон	χ ɔ tʰ o ŋ
хотын	x ɔ tʰ i ŋ
хошного	x ɔ ʃ n ə ɢ
хоёр	χ ɔ j ʊ r
хуанли	x ʊ a ŋ ɮ i
хуваарь	x ʊ w̜ aː rʲ
хуванцар	x ʊ w̜ ə n t͡s ə r
хувилбар	x ʊ wʲ ə ɮ p ə r
хувсьгал	x u v ə s x ɑ ɮ
хувцас	x ʊ w t͡sʰ ə s
хувь	x ʊ wʲ
хувьсгал	x ʊ̈ w̜ s ɡ ə ɮ
хугацаа	x ʊ ɢ t͡sʰ a
худал	x ʊ t ə ɮ
худалдах	x ʊ t ə ɮ t ə x
худалч	x ʊ t ə ɮ t͡ɕʰ
хударга	x ʊ t r ə ɢ
хужаа	x ʊ t͡ʃ aː
хуй	x ʊ i
хулгана	x ʊ ɮ ɢ ə n
хулуу	x ʊ ɮ ʊː
хулхи	x ʊ ɮ xʲ
хумс	x ʊ m s
хун	x ʊ n
хураамж	x ʊ r aː m t͡ʃ
хурал	x ʊ r ə ɮ
хурга	x ʊ r ə ɢ
хурим	x ʊ rʲ ə m
хуруу	x ʊ r ʊ
хуруувч	x ʊ r ʊ w t͡ɕʰ
хурхирах	x ʊ rʲ xʲ ə r ə x
хусах	x ʊ s ə x
хутга	x ʊ tʰ ə ɢ
хуудас	x ʊː t a s
хууль	x ʊː ɮʲ
хуульч	x ʊː ɬʲ t͡ʃʰ
хуульчлах	x ʊː ɬʲ t͡ʃʰ ɬ a x
хуурах	x ʊː r ə x
хуурга	x ʊː r ə ɢ
хуушуур	x ʊː ʃ ʊ r
хэбид	x i p i t
хэвэл	x e v e ɮ
хэдэрлэх	x e t ə r ɮ ə x
хэзээ	x i t͡s eː
хэл	x e ɮ
хэл	x ə l
хэлэлцэх	x i ɮ ə ɮ t͡sʰ ə x
хэлэх	x i ɮ ə x
хэм	x i m
хэмжээ	x i m t͡ɕ e
хэн	x i ŋ
хэрэг	k e r e ɡ
хэрэг	x i r ə ɡ
хэрэглэгдэх	x i r ə ɡ ɮ ə ɡ t ə
хэрэглэгдэхүүн	x i r i ɡ ɮ i ɡ t i x uː ŋ
хэрэглэл	x i r ə ɡ ɮ ə ɮ
хэрэглэх	k e r e ɡ l e x ʉ
хэрэглэх	x i r ə ɡ ɮ ə x
хэрэглээ	x i r ə ɡ ɮ e
хэрэглүүр	x i r ə ɡ ɮ u r
хэрэгтэй	x i r ə ɡ tʰ e
хэрүүл	x i r u ɮ
хэтэвч	x e tʰ ə w t͡ɕʰ
хэхрэх	x i x r i x
хээр	x ɛ e r
хязгаар	xʲ a t͜s ɢ aː r
хялгас	xʲ a ɮ ʁ a s
хянган	x j a ŋ ɡ a ŋ
хяргах	xʲ a r ɢ ə x
хярс	xʲ a r s
хятад	x j a tʰ a t
хятад	χʲ a tʰ ə t
хүзүү	x u t͡s u
хүлэх	x u ɮ ə x
хүмүүн	x u m uː ŋ
хүнд	x u n t
хүнс	x u n s
хүнтэй	x u n tʰ eː
хүнцэл	x u n t͡s i ɮ
хүрз	x u r t s
хүрхрээ	x u r x r e
хүрэл	x u r ə ɮ
хүрэлзгэнэ	x u r ə ɮ t͡s ɡ ə n
хүрэх	x u r ə x
хүсэх	x u s ə x
хүч	x u t͡ɕʰ
хүү	x uː
хүүгэд	x uː x ə t
хүүхэд	x uː x ə t
хүүхэлдэй	x uː x ə ɮ t e
хөвгүүн	x ɵ w̜ ɡ uː ŋ
хөвүүн	x ɵ w̜ ɡ uː ŋ
хөгжим	x ɵ ɡ t͡ʃ i m
хөгжимчин	x o ɡ t͡ɕ ə m t͡ɕʰ ə ŋ
хөдлөх	x o t ɮ ə x
хөдөлмөр	x ɵ t ɵ ɮ m ɵ r
хөлдөх	x ɵ ɮ t ɵ x
хөлдөөгч	x o ɮ t o ɡ t͡ɕʰ
хөлдөөх	x ɵ ɮ t oː x
хөмрүүлэх	x o m r u ɮ ə x
хөмрөх	x o m r ə x
хөмүүн	x o m u ŋ
хөндий	x o n t i
хөнжил	x ɵ n t͡ɕ ə ɮ
хөнөг	x o n ə ɡ
хөргүүр	x ɵ r ɡ uː r
хөргөгч	x ɵ r ɡ ɵ ɡ t͡ʃʰ
хөрс	x o r s
хөрш	x o r ʃ
хөрөө	x o r o
хөх	x ɵ x
хөхүүр	x o x u r
хөхөх	x ɵ x ə x
хөших	x ɵ ʃ i x
хөөмий	x ɵː m iː
хөөрөг	x oː r ə ɡ
ц	t͡sʰ
цаасан	t͡sʰ aː s ə ŋ
цавуу	t͡sʰ a w ʊ
цаг	t͜sʰ ä k̠
цагаан	t͡s a ɢ aː ŋ
цаглабар	t͡s a ɡ ɮ a p a r
цадиг	t͡sʰ a tʲ ə ɡ
цай	t͜sʰ æː
цайллага	t͡sʰ a i ɮ ɮ ə ɢ
цайны	t͜sʰ æː n iː
цайных	t͜sʰ æː n iː x
цайр	t͡sʰ a i r
цамц	t͡s a m t͡s
цангаа	t͡sʰ a ŋ ɢ a
цангах	t͡sʰ a ŋ ɢ ə x
царс	t͡sʰ a r s
цас	t͡sʰ a s
цас	t͡ʃʰ ɐ s
цирк	t͡s i r kʰ
цогц	t͡sʰ ɔ ɡ t͡sʰ
цогцос	t͡sʰ ɔ ɡ t͡sʰ ə s
цонх	t͡s ɔ ŋ x
цохих	t͡sʰ ɔ xʲ ə x
цуйван	t͡sʰ ʊ i w ə ŋ
цус	t͡sʰ ʊ s
цэвэрлэх	t͡sʰ e w ə r ɮ ə x
цэг	t͡s i ɡ
цэрэг	t͡sʰ e r ə ɡ
цэцэг	t͡ʃʰ i t͡ʃʰ ɘ k
цүүц	t͡sʰ uː t͡sʰ
цөл	t͡sʰ ø ɮ
цөлхөөв	t͡s ɵ ɮ x oː w̜
цөцгий	t͡sʰ o t͡sʰ ɡ i
цөөн	t͡sʰ oː ŋ
ч	t͡ʃʰ
чавхдас	t͡ɕʰ a w x t ə s
чагнаал	t͡ɕʰ a ɡ n a ɮ
чанар	t͡ɕʰ a n ə r
чанарлаг	t͡ɕʰ a n ə r ɮ ə ɡ
чек	t͡ʃʰ e kʰ
чемодан	t͡ʃʰ e m t a ŋ
чи	t͡ʃʰ i
чийг	t͡ɕʰ iː ɡ
чийдэн	t͡ɕʰ iː t ə ŋ
чингис	t͡ɕʰ i ŋ ɡ ə s
чинжүү	t͡ʃʰ i n t͡ʃ uː
чих	t͡ɕʰ i x
чухаг	t͡ɕʰ ʊ x ə ɡ
чухал	t͡ɕʰ ʊ x ə ɮ
чөмөг	t͡ɕʰ o m ə ɡ
ш	ʃ
шаазгай	ʃ aː t͡s ɢ a i
шаардах	ʃ aː r t ə x
шаардлага	ʃ aː r t ɮ ə ɢ
шавар	ʃ a w ə r
шал	ʃ a ɮ
шалбархай	ʃ a ɮ p a r x a i
шалгалт	ʃ a ɮ ɢ ə ɮ tʰ
шалгах	ʃ a ɮ ɢ ə x
шалгуур	ʃ a ɮ ɢ ʊ r
шалтаг	ʃ a ɮ tʰ ə ɡ
шалтгаа	ʃ a ɮ tʰ ɡ a
шалтгаа	ʃ a ɮ tʰ ɢ a
шалтгаан	ʃ a ɮ tʰ ɢ a ŋ
шанаа	ʃ a n a
шанд	ʃ a n t
шанз	ʃ a n t͡s
шар	ʃ a r
шатаах	ʃ a tʰ a x
шатар	ʃ a tʰ ə r
шафа	ʃ a f a
шахах	ʃ a x ə x
швед	ʃ w̜ e t
швейцари	ʃ e̞ f t͜sʰ äˑ r
шивнэх	ʃ i w n ə x
шивээс	ʃ i w e s
шийдвэр	ʃ iː t w ə r
шийжүү	ʃ iː t͡ɕ u
шил	ʃ i ɮ
шилбэ	ʃ i ɮ p
шилүүс	ʃ i ɮ u s
шингэн	ʃ i ŋ ɡ ə ŋ
шиньжян	ʃ i nʲ t͡ʃ j a ŋ
шинэ	ʃ i n
шинэлэг	ʃ i n ɮ ə ɡ
ширхэг	ʃ i r x e ɡ
ширээ	ʃ i r e
шодой	ʃ ɔ t ɔ i
шоколад	ʃ ɔ kʰ ɮ a t
шонхор	ʃ ɔ ŋ x ɔ r
шоо	ʃ ɔː
шоргоолж	ʃ ɔ r ɡ ɔː ɮ t͡ʃ
шорлог	ʃ ɔ r ɮ ə ɡ
шороо	ʃ ɔ r ɔː
шпагетти	ʃ pʰ a ɡ e tʰ tʰ
шувуу	ʃ ʊ w ʊ
шугам	ʃ ʊ ɢ ə m
шулуун	ʃ ʊ ɮ ʊ ŋ
шуугиан	ʃ ʊː ɡʲ a ŋ
шуудан	ʃ ʊː t a ŋ
шээх	ʃ eː x
шүд	ʃ u d
шүлс	ʃ u ɮ s
шүлэг	ʃ u ɮ e ɡ
шүүдэр	ʃ uː t ə r
шүүр	ʃ uː r
шүүрдэх	ʃ uː r t i x
шүүс	ʃ uː s
шүүслэг	ʃ uː s ɮ ə ɡ
шүүслэх	ʃ uː s ɮ ə x
шөнө	ʃ ɵ n
щ	ʃ
ы	i
ь	ʲ
э	e
э	i
эв	i w
эвэр	e w ə r
эд	e tʰ
эзэн	i t͡s ə ŋ
экзистэнциализм	ɛ q z i s t ɛ n t s j ɑ l i z m
элэг	i ɮ ə ɡ
эм	i m
эмнэлэг	i m n ə ɮ ə ɡ
эмч	i m t͡ʃʰ
эмчилгээ	e m t͡ɕʰ ə ɮ ɡ e
эмэгтэй	e m ə ɡ tʰ e
эмээ	e m e
эмээл	i m e ɮ
энд	e n t
энх	e ŋ x
энэ	e n
энэтхэг	i n i tʰ x i ɡ
эр	i r
эргэх	i r ɡ i x
эрдэнэ	e r t ə n
эрдэнэт	i r t i n i tʰ
эрзээн	i r t͡s eː ŋ
эрх	i r x
эрхийвч	i r x i w t͡ɕʰ
эрхтэн	i r x tʰ i ŋ
эрхүү	e r x uː
эрхүүд	e r x uː t
эрч	i r t͡ɕʰ
эрүү	e r u
эсгий	i s ɡ i
эх	i x
эхлэх	e x ɮ ə x
эхнэр	i x n i r
ээмэг	eː m i k
ю	j u
ю	j ʊ
юм	j ʊ m
юмдүүжин	j ʊ m t uː t͡ʃ i ŋ
юмсан	j ʊ m s a ŋ
юу	j ʊː
я	j a
яагаад	j aː ɢ a t
яам	j aː m
явдал	j a w t ə ɮ
явц	j a w t͡sʰ
явцуу	j a w t͡sʰ ʊ
ялгал	j a ɮ ɢ a ɮ
ялгах	j a ɮ ɢ a x
ямаа	j a m a
ямар	j a m ə r
яндан	j a n t a ŋ
янжуур	j a ŋ t͡ɕ ʊ r
янз	j a n t͡s
янхан	j a ŋ x a ŋ
япон	j ä pʰ ɔˑ ŋ
яс	j a s
ястан	j ä s tʰ ə ŋ
ятга	j a tʰ ə ɢ
ятуу	j a tʰ ʊ
ё	j ɔ
ёл	j ɔ ɮ
ёотон	j ɔː tʰ ʊ ɴ̟
ёс	j ɔ s
ёслол	j ɔ s ɮ ʊ ɮ
ёсны	j ɔ s n iː
ёстой	j ɔ s tʰ œː
ү	u
үг	u ɡ
үгийн	u ɡ i ŋ
үгүй	u ɡ u i̯
үдэш	u t i ʃ
үе	u j
үзэм	u t͡s ə̆ m
үзэх	u t͡s ə x
үзүүр	u t͡s u r
үйл	u i ɮ
үйлдвэр	u i ɮ t w ə r
үйлдвэржих	u i ɮ t w ə r t͡ɕ ə x
үйлдвэрлэл	u i ɮ t w ə r ɮ ə ɮ
үйлдвэрлэх	u i ɮ t w ə r ɮ ə x
үйлдвэрчин	u i ɮ t w ə r t͡ɕʰ ə ŋ
үйлдэл	u i ɮ t ə ɮ
үйлдэржилт	u i ɮ t w e r t͡ɕ ə ɮ tʰ
үйлдэх	u i ɮ t ə x
үйлчилгээ	u ɮ t͡ʃʰ i ɮ ɡ eː
үйлчлэл	u i ɮ t͡ʃʰ ɮ i ɮ
үйлчлэх	u i ɮ t͡ɕʰ ɮ ə x
үйлчлүүлэгч	u i ɮ t͡ʃʰ ɮ uː ɮ i ɡ t͡ʃʰ
үйлчлүүлэх	u i ɮ t͡ʃʰ ɮ uː ɮ i x
үлээх	u ɮ e x
үндэс	u n t ə s
үндэсний	u n t i s n iː
үндэстэн	u n t ə s t ə ŋ
үнс	u n s
үнсэх	u n s i x
үнэ	u n
үнэг	u n ə ɡ
үнэн	u n ə ŋ
үнээ	u n e
үр	u r
үсрэх	u s r i x
үсэг	u s ə ɡ
үтрэм	u tʰ r ə m
үтрээ	u tʰ r e
үхэр	u x ə r
үүл	uː l
үүргэвч	uː r ɡ i w̜ t͡ʃʰ
ө	œ
ө	ɵ
ө	o
өвдөг	o w t ə ɡ
өвс	o w s
өвөл	ɵ w̜ ɵ ɮ
өвөр	o w o r
өглөө	ɵ ɡ ɮ oː
өгөх	o ɡ ə x
өд	o t
өдөр	ɵ t ə r
өлгий	ɵ ɮ ɡ iː
өлмий	o ɮ m i
өлсгөлөн	o ɮ s ɡ ə ɮ ə ŋ
өлсөх	o ɮ s ə x
өмд	ɵ m t
өмнө	ɵ m n
өмсөх	o m s ə x
өнгө	ɵ ŋ k
өндөрхаан	ɵ n t ɵ r x aː ŋ
өнчин	o n t͡ɕʰ ə ŋ
өр	ɵ r
өргөн	ø r k ø ŋ
өрсөлдөгч	ɵ r s ɵ ɮ t ɵ ɡ t͡ʃʰ
өрсөлдөх	ɵ r s u ɮ t u x
өрсөлдөөн	ɵ r s ɵ ɮ t oː ŋ
өрсөх	ɵ r s u x
өрөм	o r ə m
өтгөн	o tʰ ɡ ə ŋ
өчүүхэн	o t͡ɕʰ u x ə ŋ
өөлд	oː ɮ tʰ
өөр	oː r
өөрийн	ɵː r iː ŋ
өөрийнхөө	ɵː r iː ŋ x ɵː
өөрчлөлт	oː r t͡ɕʰ ɮ ə ɮ tʰ
өөрчлөх	oː r t͡ɕʰ ɮ ə x
өөх	oː x
өөхлөг	oː x ɮ ə ɡ
өөш	oː ʃ
